time,Chicago,pts.away,score,pts.home,LA Clippers
6:39.0,Defensive rebound by R. Lopez,,7-10,,
6:33.0,Z. LaVine misses 2-pt shot at rim (block by T. Harris),,7-10,,
6:30.0,,,7-10,,Defensive rebound by D. Jordan
6:19.0,,,7-10,,T. Wallace misses 2-pt shot from 6 ft
6:14.0,,,7-10,,Offensive rebound by D. Gallinari
6:14.0,,,7-10,,D. Gallinari misses 2-pt shot at rim
6:13.0,Defensive rebound by Z. LaVine,,7-10,,
6:00.0,Z. LaVine misses 3-pt shot from 26 ft,,7-10,,
6:00.0,,,7-10,,Defensive rebound by D. Jordan
5:46.0,,,7-10,,T. Harris misses 2-pt shot from 1 ft (block by R. Lopez)
5:44.0,Defensive rebound by Z. LaVine,,7-10,,
5:31.0,P. Zipser makes 2-pt shot from 15 ft (assist by R. Lopez),2,9-10,,
5:29.0,,,9-10,,LA Clippers full timeout
5:29.0,,,9-10,,L. Williams enters the game for D. Gallinari
5:29.0,D. Valentine enters the game for Z. LaVine,,9-10,,
5:12.0,,,9-10,,T. Harris misses 2-pt shot from 4 ft
5:10.0,Defensive rebound by R. Lopez,,9-10,,
5:06.0,,,9-10,,Personal foul by T. Wallace (drawn by P. Zipser)
5:02.0,D. Valentine misses 2-pt shot from 15 ft,,9-10,,
5:00.0,,,9-10,,Defensive rebound by Team
4:42.0,,,9-12,2,T. Harris makes 2-pt shot from 2 ft
4:39.0,,,9-12,,Personal foul by T. Wallace (drawn by J. Grant)
4:39.0,B. Portis enters the game for P. Zipser,,9-12,,
4:28.0,J. Holiday makes 3-pt shot from 26 ft (assist by R. Lopez),3,12-12,,
4:07.0,,,12-15,3,T. Harris makes 3-pt shot from 25 ft (assist by L. Williams)
3:47.0,R. Lopez misses 2-pt shot from 21 ft,,12-15,,
3:44.0,,,12-15,,Defensive rebound by D. Jordan
3:38.0,,,12-15,,D. Jordan misses 2-pt shot from 2 ft (block by D. Valentine)
3:34.0,,,12-15,,Offensive rebound by D. Jordan
3:33.0,,,12-17,2,D. Jordan makes 2-pt shot from 1 ft
3:25.0,D. Valentine misses 3-pt shot from 23 ft,,12-17,,
3:23.0,,,12-17,,Defensive rebound by T. Harris
3:11.0,,,12-17,,L. Williams misses 2-pt shot from 17 ft
3:07.0,Defensive rebound by J. Grant,,12-17,,
2:57.0,B. Portis misses 2-pt shot from 4 ft,,12-17,,
2:55.0,,,12-17,,Defensive rebound by D. Jordan
2:40.0,,,12-17,,A. Bradley misses 2-pt shot from 14 ft
2:36.0,Defensive rebound by B. Portis,,12-17,,
2:21.0,R. Lopez makes 2-pt shot from 1 ft (assist by D. Valentine),2,14-17,,
2:21.0,Shooting foul by A. Bradley (drawn by R. Lopez),,14-17,,
2:21.0,Chicago full timeout,,14-17,,
2:21.0,,,14-17,,M. Harrell enters the game for D. Jordan
2:21.0,,,14-17,,D. Gallinari enters the game for A. Bradley
2:21.0,,,14-17,,W. Johnson enters the game for T. Harris
2:21.0,R. Lopez makes free throw 1 of 1,1,15-17,,
2:05.0,,,15-17,,M. Harrell misses 2-pt shot from 9 ft
2:03.0,Defensive rebound by B. Portis,,15-17,,
1:51.0,Turnover by R. Lopez (traveling),,15-17,,
1:37.0,,,15-19,2,M. Harrell makes 2-pt shot from 1 ft (assist by T. Wallace)
1:24.0,B. Portis makes 2-pt shot from 7 ft,2,17-19,,
1:14.0,,,17-19,,D. Gallinari misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by J. Grant,,17-19,,
0:57.0,R. Lopez misses 2-pt shot from 3 ft,,17-19,,
0:54.0,,,17-19,,Defensive rebound by T. Wallace
0:50.0,,,17-22,3,W. Johnson makes 3-pt shot from 22 ft (assist by L. Williams)
0:24.0,J. Grant misses 2-pt shot from 21 ft,,17-22,,
0:20.0,,,17-22,,Defensive rebound by W. Johnson
0:09.0,Personal take foul by D. Valentine (drawn by L. Williams),,17-22,,
0:09.0,,,17-22,,M. Teodosic enters the game for T. Wallace
0:09.0,C. Felicio enters the game for J. Grant,,17-22,,
0:09.0,D. Nwaba enters the game for R. Lopez,,17-22,,
0:04.0,,,17-22,,L. Williams misses 3-pt shot from 23 ft
0:02.0,,,17-22,,M. Harrell misses 2-pt shot from 1 ft
0:02.0,,,17-22,,Offensive rebound by M. Harrell
0:01.0,Defensive rebound by D. Valentine,,17-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Turnover by B. Portis (lost ball; steal by D. Gallinari),,17-22,,
11:40.0,,,17-22,,L. Williams misses 2-pt shot from 6 ft
11:36.0,Defensive rebound by C. Felicio,,17-22,,
11:30.0,B. Portis misses 2-pt shot from 17 ft,,17-22,,
11:26.0,,,17-22,,Defensive rebound by D. Gallinari
11:18.0,,,17-22,,Shooting foul by D. Nwaba (drawn by L. Williams)
11:18.0,,,17-23,1,L. Williams makes free throw 1 of 2
11:18.0,,,17-24,1,L. Williams makes free throw 2 of 2
11:07.0,C. Felicio makes 2-pt shot from 2 ft (assist by D. Valentine),2,19-24,,
10:59.0,,,19-24,,Turnover by M. Harrell (traveling)
10:41.0,C. Felicio misses 2-pt shot from 17 ft,,19-24,,
10:37.0,,,19-24,,Defensive rebound by M. Teodosic
10:35.0,,,19-26,2,M. Harrell makes 2-pt shot from 1 ft (assist by M. Teodosic)
10:09.0,C. Felicio misses 2-pt shot from 10 ft,,19-26,,
10:09.0,Offensive rebound by Team,,19-26,,
10:09.0,,,19-26,,Loose ball foul by W. Johnson (drawn by B. Portis)
10:03.0,D. Valentine misses 3-pt shot from 26 ft,,19-26,,
10:00.0,,,19-26,,Defensive rebound by M. Teodosic
9:43.0,,,19-26,,Turnover by W. Johnson (lost ball; steal by R. Arcidiacono)
9:34.0,B. Portis misses 2-pt shot from 19 ft,,19-26,,
9:32.0,,,19-26,,Defensive rebound by W. Johnson
9:28.0,,,19-28,2,L. Williams makes 2-pt shot from 2 ft
9:25.0,Chicago full timeout,,19-28,,
9:25.0,Z. LaVine enters the game for R. Arcidiacono,,19-28,,
9:08.0,D. Nwaba misses 2-pt shot from 2 ft,,19-28,,
9:05.0,Offensive rebound by C. Felicio,,19-28,,
9:05.0,C. Felicio makes 2-pt shot at rim,2,21-28,,
8:54.0,Personal foul by C. Felicio (drawn by D. Gallinari),,21-28,,
8:48.0,,,21-31,3,D. Gallinari makes 3-pt shot from 25 ft (assist by L. Williams)
8:29.0,D. Valentine makes 2-pt shot from 10 ft (assist by B. Portis),2,23-31,,
8:23.0,,,23-33,2,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams)
8:06.0,D. Valentine misses 3-pt shot from 23 ft,,23-33,,
8:03.0,,,23-33,,Defensive rebound by M. Harrell
8:00.0,,,23-33,,Shooting foul by Z. LaVine (drawn by L. Williams)
8:00.0,,,23-34,1,L. Williams makes free throw 1 of 3
8:00.0,,,23-35,1,L. Williams makes free throw 2 of 3
8:00.0,P. Zipser enters the game for C. Felicio,,23-35,,
8:00.0,,,23-36,1,L. Williams makes free throw 3 of 3
7:51.0,P. Zipser makes 3-pt shot from 24 ft (assist by D. Valentine),3,26-36,,
7:38.0,,,26-38,2,D. Gallinari makes 2-pt shot from 3 ft
7:19.0,Z. LaVine makes 2-pt shot from 2 ft,2,28-38,,
7:10.0,,,28-40,2,D. Gallinari makes 2-pt shot from 1 ft (assist by M. Teodosic)
7:10.0,,,28-40,,Shooting foul by P. Zipser (drawn by D. Gallinari)
7:10.0,,,28-41,1,D. Gallinari makes free throw 1 of 1
6:56.0,,,28-41,,A. Bradley enters the game for W. Johnson
6:51.0,D. Valentine misses 3-pt shot from 26 ft,,28-41,,
6:51.0,,,28-41,,Defensive rebound by D. Gallinari
6:44.0,,,28-43,2,M. Harrell makes 2-pt shot from 2 ft (assist by L. Williams)
6:44.0,Chicago full timeout,,28-43,,
6:44.0,R. Lopez enters the game for B. Portis,,28-43,,
6:44.0,J. Grant enters the game for D. Nwaba,,28-43,,
6:44.0,J. Holiday enters the game for D. Valentine,,28-43,,
6:27.0,P. Zipser makes 3-pt shot from 27 ft (assist by J. Grant),3,31-43,,
6:15.0,Personal foul by P. Zipser (drawn by D. Gallinari),,31-43,,
6:15.0,,,31-44,1,D. Gallinari makes free throw 1 of 2
6:15.0,,,31-45,1,D. Gallinari makes free throw 2 of 2
6:02.0,Shooting foul by A. Bradley (drawn by Z. LaVine),,31-45,,
6:02.0,Z. LaVine makes free throw 1 of 2,1,32-45,,
6:02.0,Z. LaVine makes free throw 2 of 2,1,33-45,,
5:49.0,,,33-45,,L. Williams misses 3-pt shot from 28 ft
5:47.0,Defensive rebound by Z. LaVine,,33-45,,
5:31.0,J. Grant misses 3-pt shot from 27 ft,,33-45,,
5:27.0,,,33-45,,Defensive rebound by M. Harrell
5:20.0,,,33-45,,M. Harrell misses 2-pt shot from 4 ft
5:17.0,,,33-45,,Offensive rebound by M. Teodosic
5:11.0,,,33-45,,M. Teodosic misses 3-pt shot from 27 ft
5:08.0,Defensive rebound by Z. LaVine,,33-45,,
4:59.0,P. Zipser makes 3-pt shot from 27 ft (assist by Z. LaVine),3,36-45,,
4:51.0,Personal foul by J. Holiday (drawn by L. Williams),,36-45,,
4:51.0,,,36-46,1,L. Williams makes free throw 1 of 2
4:51.0,,,36-46,,D. Jordan enters the game for M. Harrell
4:51.0,,,36-46,,T. Harris enters the game for D. Gallinari
4:51.0,,,36-47,1,L. Williams makes free throw 2 of 2
4:42.0,J. Holiday misses 3-pt shot from 25 ft,,36-47,,
4:39.0,,,36-47,,Defensive rebound by A. Bradley
4:35.0,,,36-47,,Turnover by A. Bradley (bad pass)
4:35.0,,,36-47,,T. Wallace enters the game for M. Teodosic
4:23.0,Turnover by P. Zipser (out of bounds lost ball),,36-47,,
4:23.0,,,36-47,,LA Clippers full timeout
4:23.0,B. Portis enters the game for P. Zipser,,36-47,,
4:02.0,,,36-49,2,T. Harris makes 2-pt shot from 4 ft (assist by A. Bradley)
3:41.0,Z. LaVine misses 2-pt shot from 1 ft,,36-49,,
3:37.0,,,36-49,,Defensive rebound by T. Wallace
3:29.0,,,36-49,,T. Wallace misses 2-pt shot from 11 ft
3:27.0,Defensive rebound by J. Grant,,36-49,,
3:06.0,R. Lopez makes 2-pt shot from 13 ft (assist by Z. LaVine),2,38-49,,
2:48.0,,,38-49,,Turnover by L. Williams (bad pass; steal by Z. LaVine)
2:44.0,J. Holiday makes 3-pt shot from 24 ft (assist by Z. LaVine),3,41-49,,
2:24.0,D. Nwaba enters the game for Z. LaVine,,41-49,,
2:15.0,,,41-51,2,T. Harris makes 2-pt shot from 2 ft
2:06.0,R. Lopez makes 2-pt shot from 1 ft (assist by B. Portis),2,43-51,,
1:49.0,,,43-51,,T. Harris misses 2-pt shot from 17 ft
1:44.0,,,43-51,,Offensive rebound by A. Bradley
1:44.0,,,43-53,2,A. Bradley makes 2-pt shot at rim
1:32.0,B. Portis misses 3-pt shot from 25 ft,,43-53,,
1:29.0,,,43-53,,Defensive rebound by T. Wallace
1:23.0,,,43-55,2,L. Williams makes 2-pt shot from 18 ft
1:09.0,R. Lopez misses 2-pt shot from 4 ft,,43-55,,
1:04.0,Offensive rebound by B. Portis,,43-55,,
1:04.0,B. Portis makes 2-pt shot at rim,2,45-55,,
1:00.0,,,45-57,2,L. Williams makes 2-pt shot from 10 ft (assist by T. Wallace)
0:52.0,Z. LaVine enters the game for D. Nwaba,,45-57,,
0:51.0,J. Holiday makes 2-pt shot from 2 ft (assist by J. Grant),2,47-57,,
0:38.0,,,47-57,,Turnover by A. Bradley (out of bounds lost ball)
0:33.0,Z. LaVine makes 2-pt shot from 1 ft,2,49-57,,
0:11.0,,,49-57,,L. Williams misses 3-pt shot from 25 ft
0:08.0,,,49-57,,Offensive rebound by T. Wallace
0:08.0,,,49-57,,T. Wallace misses 2-pt shot from 4 ft
0:08.0,Defensive rebound by B. Portis,,49-57,,
0:01.0,Z. LaVine makes 3-pt shot from 25 ft,3,52-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,P. Zipser misses 3-pt shot from 25 ft,,52-57,,
11:44.0,,,52-57,,Defensive rebound by M. Teodosic
11:33.0,,,52-57,,M. Teodosic misses 3-pt shot from 25 ft
11:31.0,,,52-57,,Offensive rebound by D. Jordan
11:09.0,,,52-57,,Turnover by D. Gallinari (traveling)
11:08.0,Shooting foul by D. Jordan (drawn by R. Lopez),,52-57,,
11:08.0,R. Lopez makes free throw 1 of 2,1,53-57,,
11:08.0,R. Lopez makes free throw 2 of 2,1,54-57,,
11:00.0,,,54-59,2,M. Teodosic makes 2-pt shot from 1 ft
10:49.0,Shooting foul by M. Teodosic (drawn by J. Grant),,54-59,,
10:49.0,J. Grant makes free throw 1 of 2,1,55-59,,
10:49.0,J. Grant makes free throw 2 of 2,1,56-59,,
10:36.0,,,56-59,,M. Teodosic misses 2-pt shot from 17 ft
10:32.0,Defensive rebound by J. Holiday,,56-59,,
10:23.0,J. Grant misses 3-pt shot from 26 ft,,56-59,,
10:19.0,,,56-59,,Defensive rebound by D. Jordan
10:03.0,,,56-62,3,D. Gallinari makes 3-pt shot from 25 ft (assist by T. Harris)
9:37.0,J. Holiday misses 3-pt shot from 25 ft,,56-62,,
9:33.0,Offensive rebound by R. Lopez,,56-62,,
9:33.0,R. Lopez misses 2-pt shot at rim,,56-62,,
9:33.0,Offensive rebound by R. Lopez,,56-62,,
9:30.0,R. Lopez misses 2-pt shot at rim,,56-62,,
9:29.0,,,56-62,,Defensive rebound by M. Teodosic
9:22.0,,,56-65,3,M. Teodosic makes 3-pt shot from 25 ft (assist by A. Bradley)
9:08.0,P. Zipser makes 3-pt shot from 24 ft (assist by J. Holiday),3,59-65,,
8:51.0,,,59-67,2,T. Harris makes 2-pt shot from 1 ft
8:37.0,Turnover by J. Holiday (bad pass; steal by M. Teodosic),,59-67,,
8:32.0,,,59-69,2,A. Bradley makes 2-pt shot from 2 ft (assist by T. Harris)
8:31.0,Chicago full timeout,,59-69,,
8:19.0,Z. LaVine misses 3-pt shot from 24 ft,,59-69,,
8:17.0,,,59-69,,Defensive rebound by T. Harris
8:17.0,Personal foul by P. Zipser (drawn by D. Gallinari),,59-69,,
8:03.0,,,59-69,,D. Gallinari misses 2-pt shot from 16 ft
7:57.0,,,59-69,,Offensive rebound by D. Jordan
7:57.0,,,59-69,,D. Jordan misses 2-pt shot at rim
7:56.0,Defensive rebound by J. Grant,,59-69,,
7:53.0,Z. LaVine makes 2-pt shot from 2 ft (assist by P. Zipser),2,61-69,,
7:34.0,,,61-71,2,T. Harris makes 2-pt shot from 2 ft (assist by D. Gallinari)
7:18.0,P. Zipser misses 2-pt shot from 22 ft,,61-71,,
7:15.0,,,61-71,,Defensive rebound by D. Gallinari
7:09.0,,,61-73,2,D. Gallinari makes 2-pt shot from 1 ft
6:43.0,J. Holiday makes 2-pt shot from 16 ft (assist by P. Zipser),2,63-73,,
6:29.0,,,63-76,3,T. Harris makes 3-pt shot from 25 ft (assist by A. Bradley)
6:11.0,R. Lopez misses 2-pt shot from 7 ft,,63-76,,
6:09.0,,,63-76,,Defensive rebound by D. Gallinari
5:59.0,,,63-76,,T. Harris misses 2-pt shot from 9 ft
5:56.0,Defensive rebound by R. Lopez,,63-76,,
5:51.0,J. Grant makes 2-pt shot from 1 ft,2,65-76,,
5:51.0,,,65-76,,Violation by T. Harris (def goaltending)
5:41.0,,,65-76,,Offensive foul by D. Jordan (drawn by J. Grant)
5:41.0,,,65-76,,Turnover by D. Jordan (offensive foul)
5:41.0,,,65-76,,W. Johnson enters the game for D. Gallinari
5:41.0,,,65-76,,T. Wallace enters the game for M. Teodosic
5:26.0,Z. LaVine misses 2-pt shot from 8 ft,,65-76,,
5:23.0,,,65-76,,Defensive rebound by W. Johnson
5:09.0,,,65-76,,D. Jordan misses 2-pt shot from 3 ft
5:07.0,Defensive rebound by P. Zipser,,65-76,,
5:01.0,Shooting foul by W. Johnson (drawn by Z. LaVine),,65-76,,
5:01.0,Z. LaVine makes free throw 1 of 2,1,66-76,,
5:01.0,Z. LaVine makes free throw 2 of 2,1,67-76,,
5:01.0,,,67-76,,LA Clippers full timeout
5:01.0,B. Portis enters the game for P. Zipser,,67-76,,
4:35.0,,,67-76,,T. Harris misses 2-pt shot from 13 ft
4:34.0,Defensive rebound by Z. LaVine,,67-76,,
4:20.0,J. Holiday makes 3-pt shot from 22 ft (assist by B. Portis),3,70-76,,
4:06.0,,,70-76,,W. Johnson misses 2-pt shot from 20 ft
4:03.0,Defensive rebound by Z. LaVine,,70-76,,
3:56.0,R. Lopez misses 2-pt shot from 1 ft,,70-76,,
3:55.0,,,70-76,,Defensive rebound by D. Jordan
3:51.0,,,70-76,,Shooting foul by Z. LaVine (drawn by T. Wallace)
3:51.0,,,70-77,1,T. Wallace makes free throw 1 of 2
3:51.0,,,70-77,,L. Williams enters the game for A. Bradley
3:51.0,D. Valentine enters the game for Z. LaVine,,70-77,,
3:51.0,,,70-78,1,T. Wallace makes free throw 2 of 2
3:39.0,Turnover by B. Portis (bad pass; steal by W. Johnson),,70-78,,
3:35.0,,,70-78,,Shooting foul by D. Valentine (drawn by T. Wallace)
3:35.0,,,70-79,1,T. Wallace makes free throw 1 of 2
3:35.0,,,70-80,1,T. Wallace makes free throw 2 of 2
3:24.0,D. Valentine makes 2-pt shot from 7 ft,2,72-80,,
3:09.0,,,72-82,2,T. Harris makes 2-pt shot from 12 ft
2:58.0,J. Holiday misses 3-pt shot from 23 ft,,72-82,,
2:55.0,,,72-82,,Defensive rebound by W. Johnson
2:52.0,,,72-84,2,L. Williams makes 2-pt shot at rim
2:36.0,D. Valentine misses 3-pt shot from 26 ft,,72-84,,
2:34.0,Offensive rebound by R. Lopez,,72-84,,
2:18.0,J. Grant makes 3-pt shot from 25 ft (assist by R. Lopez),3,75-84,,
2:03.0,,,75-84,,Turnover by T. Wallace (bad pass; steal by D. Valentine)
2:01.0,Shooting foul by T. Harris (drawn by B. Portis),,75-84,,
2:01.0,B. Portis makes free throw 1 of 2,1,76-84,,
2:01.0,,,76-84,,M. Harrell enters the game for D. Jordan
2:01.0,B. Portis makes free throw 2 of 2,1,77-84,,
1:45.0,,,77-86,2,T. Wallace makes 2-pt shot from 5 ft (assist by L. Williams)
1:41.0,Shooting foul by W. Johnson (drawn by D. Valentine),,77-86,,
1:41.0,D. Valentine makes free throw 1 of 2,1,78-86,,
1:41.0,D. Valentine makes free throw 2 of 2,1,79-86,,
1:25.0,,,79-86,,Turnover by L. Williams (bad pass; steal by B. Portis)
1:22.0,Turnover by B. Portis (lost ball; steal by W. Johnson),,79-86,,
1:20.0,,,79-86,,Shooting foul by D. Valentine (drawn by T. Harris)
1:20.0,,,79-86,,T. Harris misses free throw 1 of 2
1:20.0,,,79-86,,Offensive rebound by Team
1:20.0,,,79-87,1,T. Harris makes free throw 2 of 2
1:08.0,Turnover by J. Holiday (step out of bounds),,79-87,,
0:56.0,,,79-87,,L. Williams misses 2-pt shot from 17 ft
0:54.0,Defensive rebound by J. Holiday,,79-87,,
0:43.0,Offensive charge foul by J. Grant (drawn by M. Harrell),,79-87,,
0:43.0,Turnover by J. Grant (offensive foul),,79-87,,
0:43.0,C. Felicio enters the game for R. Lopez,,79-87,,
0:34.0,,,79-87,,T. Harris misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by J. Holiday,,79-87,,
0:27.0,J. Grant misses 3-pt shot from 26 ft,,79-87,,
0:25.0,Offensive rebound by B. Portis,,79-87,,
0:25.0,Shooting foul by W. Johnson (drawn by B. Portis),,79-87,,
0:25.0,B. Portis makes free throw 1 of 2,1,80-87,,
0:25.0,R. Arcidiacono enters the game for J. Grant,,80-87,,
0:25.0,B. Portis makes free throw 2 of 2,1,81-87,,
0:02.0,,,81-87,,L. Williams misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by B. Portis,,81-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,81-87,,Shooting foul by B. Portis (drawn by D. Gallinari)
11:38.0,,,81-88,1,D. Gallinari makes free throw 1 of 2
11:38.0,,,81-89,1,D. Gallinari makes free throw 2 of 2
11:13.0,R. Arcidiacono makes 2-pt shot from 3 ft (assist by D. Nwaba),2,83-89,,
10:48.0,,,83-89,,M. Harrell misses 2-pt shot from 9 ft
10:47.0,Defensive rebound by B. Portis,,83-89,,
10:42.0,B. Portis misses 3-pt shot from 25 ft,,83-89,,
10:42.0,,,83-89,,Defensive rebound by T. Wallace
10:30.0,,,83-92,3,D. Gallinari makes 3-pt shot from 26 ft (assist by M. Harrell)
10:12.0,D. Valentine misses 3-pt shot from 26 ft,,83-92,,
10:12.0,,,83-92,,Defensive rebound by M. Harrell
10:01.0,,,83-92,,Turnover by D. Gallinari (turnover)
10:01.0,,,83-92,,Loose ball foul by D. Gallinari (drawn by B. Portis)
10:01.0,,,83-92,,M. Teodosic enters the game for W. Johnson
9:46.0,,,83-92,,Personal foul by T. Wallace (drawn by C. Felicio)
9:29.0,D. Valentine misses 2-pt shot from 1 ft,,83-92,,
9:25.0,Offensive rebound by B. Portis,,83-92,,
9:25.0,B. Portis misses 2-pt shot at rim,,83-92,,
9:24.0,Offensive rebound by B. Portis,,83-92,,
9:24.0,B. Portis misses 2-pt shot at rim,,83-92,,
9:23.0,,,83-92,,Defensive rebound by D. Gallinari
9:20.0,,,83-92,,L. Williams misses 3-pt shot from 25 ft
9:17.0,Defensive rebound by B. Portis,,83-92,,
9:10.0,Shooting foul by L. Williams (drawn by D. Nwaba),,83-92,,
9:10.0,D. Nwaba makes free throw 1 of 2,1,84-92,,
9:10.0,D. Nwaba makes free throw 2 of 2,1,85-92,,
8:58.0,,,85-94,2,M. Harrell makes 2-pt shot from 2 ft (assist by M. Teodosic)
8:39.0,R. Arcidiacono misses 3-pt shot from 24 ft,,85-94,,
8:35.0,,,85-94,,Defensive rebound by L. Williams
8:34.0,,,85-94,,Shooting foul by D. Valentine (drawn by T. Wallace)
8:34.0,,,85-95,1,T. Wallace makes free throw 1 of 2
8:34.0,Z. LaVine enters the game for R. Arcidiacono,,85-95,,
8:34.0,,,85-96,1,T. Wallace makes free throw 2 of 2
8:23.0,B. Portis misses 3-pt shot from 24 ft,,85-96,,
8:21.0,,,85-96,,Defensive rebound by T. Wallace
8:17.0,,,85-98,2,M. Harrell makes 2-pt shot from 2 ft (assist by T. Wallace)
8:17.0,Chicago full timeout,,85-98,,
8:17.0,P. Zipser enters the game for C. Felicio,,85-98,,
8:05.0,Z. LaVine misses 2-pt shot from 2 ft,,85-98,,
8:02.0,,,85-98,,Defensive rebound by M. Harrell
7:58.0,,,85-100,2,L. Williams makes 2-pt shot from 1 ft (assist by T. Wallace)
7:46.0,D. Valentine misses 2-pt shot from 17 ft,,85-100,,
7:45.0,Offensive rebound by B. Portis,,85-100,,
7:45.0,,,85-100,,Loose ball foul by M. Teodosic (drawn by B. Portis)
7:45.0,J. Holiday enters the game for D. Valentine,,85-100,,
7:35.0,P. Zipser misses 2-pt shot from 6 ft,,85-100,,
7:33.0,Offensive rebound by B. Portis,,85-100,,
7:33.0,B. Portis misses 2-pt shot from 1 ft (block by M. Harrell),,85-100,,
7:33.0,,,85-100,,Defensive rebound by M. Harrell
7:22.0,Jump ball: M. Harrell vs. P. Zipser (T. Wallace gains possession),,,,Jump ball: M. Harrell vs. P. Zipser (T. Wallace gains possession)
7:20.0,,,85-100,,Turnover by T. Wallace (lost ball; steal by J. Holiday)
7:18.0,,,85-100,,A. Bradley enters the game for T. Wallace
7:11.0,B. Portis makes 2-pt shot from 2 ft (assist by Z. LaVine),2,87-100,,
7:05.0,,,87-100,,Shooting foul by B. Portis (drawn by M. Harrell)
7:05.0,,,87-100,,M. Harrell misses free throw 1 of 2
7:05.0,,,87-100,,Offensive rebound by Team
7:05.0,,,87-100,,T. Harris enters the game for D. Gallinari
7:05.0,,,87-100,,M. Harrell misses free throw 2 of 2
7:03.0,Defensive rebound by B. Portis,,87-100,,
6:41.0,B. Portis misses 2-pt shot from 13 ft (block by M. Harrell),,87-100,,
6:41.0,Offensive rebound by Team,,87-100,,
6:41.0,Turnover by Team (shot clock),,87-100,,
6:30.0,,,87-100,,L. Williams misses 3-pt shot from 26 ft
