time,Washington,pts.away,score,pts.home,Boston
4:41.0,,,71-67,,Offensive charge foul by A. Horford (drawn by M. Gortat)
4:41.0,,,71-67,,Turnover by A. Horford (offensive foul)
4:26.0,,,71-67,,Personal foul by T. Rozier (drawn by M. Gortat)
4:19.0,B. Beal misses 2-pt shot from 1 ft,,71-67,,
4:17.0,,,71-67,,Defensive rebound by K. Irving
4:03.0,,,71-67,,Turnover by K. Irving (bad pass)
3:53.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,73-67,,
3:40.0,,,73-67,,K. Irving misses 2-pt shot from 6 ft (block by M. Gortat)
3:40.0,,,73-67,,Offensive rebound by Team
3:40.0,K. Oubre enters the game for M. Morris,,73-67,,
3:38.0,,,73-67,,M. Morris misses 3-pt shot from 22 ft
3:35.0,Defensive rebound by K. Oubre,,73-67,,
3:25.0,Shooting foul by M. Morris (drawn by J. Wall),,73-67,,
3:25.0,J. Wall makes free throw 1 of 2,1,74-67,,
3:25.0,J. Wall makes free throw 2 of 2,1,75-67,,
3:11.0,,,75-69,2,M. Smart makes 2-pt shot from 10 ft
2:54.0,J. Wall misses 2-pt shot from 16 ft,,75-69,,
2:52.0,,,75-69,,Defensive rebound by T. Rozier
2:44.0,,,75-71,2,M. Morris makes 2-pt shot from 2 ft (assist by M. Smart)
2:22.0,O. Porter makes 3-pt shot from 24 ft (assist by M. Gortat),3,78-71,,
2:03.0,,,78-71,,A. Horford misses 2-pt shot from 20 ft
2:00.0,Defensive rebound by B. Beal,,78-71,,
1:56.0,B. Beal misses 3-pt shot from 25 ft (block by A. Horford),,78-71,,
1:52.0,Offensive rebound by O. Porter,,78-71,,
1:49.0,B. Beal misses 3-pt shot from 29 ft,,78-71,,
1:49.0,Offensive rebound by O. Porter,,78-71,,
1:47.0,Turnover by K. Oubre (step out of bounds),,78-71,,
1:47.0,,,78-71,,J. Tatum enters the game for K. Irving
1:47.0,,,78-71,,D. Theis enters the game for A. Horford
1:47.0,J. Meeks enters the game for B. Beal,,78-71,,
1:47.0,M. Scott enters the game for M. Gortat,,78-71,,
1:35.0,,,78-71,,T. Rozier misses 2-pt shot from 20 ft
1:34.0,,,78-71,,Offensive rebound by D. Theis
1:34.0,,,78-71,,D. Theis misses 2-pt shot at rim
1:33.0,Defensive rebound by J. Wall,,78-71,,
1:12.0,M. Scott misses 2-pt shot from 11 ft,,78-71,,
1:12.0,,,78-71,,Defensive rebound by T. Rozier
1:08.0,,,78-71,,Shooting foul by J. Wall (drawn by D. Theis)
1:08.0,,,78-72,1,D. Theis makes free throw 1 of 2
1:08.0,T. Satoransky enters the game for J. Wall,,78-72,,
1:08.0,,,78-73,1,D. Theis makes free throw 2 of 2
0:53.0,Offensive foul by M. Scott (drawn by T. Rozier),,78-73,,
0:53.0,Turnover by M. Scott (offensive foul),,78-73,,
0:32.0,,,78-73,,M. Morris misses 2-pt shot from 13 ft
0:29.0,Defensive rebound by M. Scott,,78-73,,
0:22.0,Shooting foul by M. Morris (drawn by O. Porter),,78-73,,
0:22.0,O. Porter makes free throw 1 of 3,1,79-73,,
0:22.0,O. Porter makes free throw 2 of 3,1,80-73,,
0:22.0,O. Porter misses free throw 3 of 3,,80-73,,
0:19.0,,,80-73,,Defensive rebound by D. Theis
0:03.0,,,80-76,3,T. Rozier makes 3-pt shot from 22 ft (assist by D. Theis)
0:00.0,M. Scott misses 3-pt shot from 53 ft,,80-76,,
0:00.0,Offensive rebound by Team,,80-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Shooting foul by J. Brown (drawn by O. Porter),,80-76,,
11:46.0,O. Porter makes free throw 1 of 2,1,81-76,,
11:46.0,O. Porter misses free throw 2 of 2,,81-76,,
11:44.0,,,81-76,,Defensive rebound by D. Theis
11:33.0,,,81-79,3,M. Smart makes 3-pt shot from 25 ft
11:17.0,K. Oubre misses 2-pt shot from 11 ft,,81-79,,
11:16.0,,,81-79,,Defensive rebound by J. Tatum
11:12.0,,,81-79,,Shooting foul by J. Meeks (drawn by J. Tatum)
11:12.0,,,81-79,,J. Tatum misses free throw 1 of 2
11:12.0,,,81-79,,Offensive rebound by Team
11:12.0,,,81-80,1,J. Tatum makes free throw 2 of 2
10:53.0,M. Scott makes 2-pt shot from 3 ft (assist by J. Meeks),2,83-80,,
10:35.0,,,83-82,2,D. Theis makes 2-pt shot from 1 ft (assist by M. Smart)
10:21.0,J. Meeks misses 3-pt shot from 25 ft,,83-82,,
10:20.0,Offensive rebound by Team,,83-82,,
10:20.0,,,83-82,,Loose ball foul by J. Brown (drawn by O. Porter)
10:20.0,M. Morris enters the game for O. Porter,,83-82,,
10:13.0,M. Morris makes 2-pt shot from 4 ft (assist by T. Satoransky),2,85-82,,
10:01.0,,,85-82,,M. Smart misses 3-pt shot from 26 ft
10:01.0,,,85-82,,Offensive rebound by Team
10:01.0,Loose ball foul by J. Meeks (drawn by D. Theis),,85-82,,
9:48.0,,,85-84,2,J. Tatum makes 2-pt shot from 8 ft
9:20.0,T. Satoransky misses 3-pt shot from 25 ft,,85-84,,
9:17.0,,,85-84,,Defensive rebound by T. Rozier
9:12.0,,,85-87,3,J. Tatum makes 3-pt shot from 26 ft (assist by T. Rozier)
9:11.0,Washington full timeout,,85-87,,
9:11.0,J. Wall enters the game for J. Meeks,,85-87,,
9:11.0,B. Beal enters the game for T. Satoransky,,85-87,,
8:56.0,J. Wall misses 3-pt shot from 25 ft,,85-87,,
8:50.0,Offensive rebound by M. Scott,,85-87,,
8:50.0,M. Scott misses 2-pt shot at rim (block by D. Theis),,85-87,,
8:47.0,Offensive rebound by M. Scott,,85-87,,
8:43.0,B. Beal makes 2-pt shot from 1 ft,2,87-87,,
8:27.0,,,87-87,,J. Tatum misses 2-pt shot from 2 ft (block by M. Morris)
8:24.0,,,87-87,,Offensive rebound by M. Smart
8:22.0,,,87-89,2,D. Theis makes 2-pt shot from 7 ft (assist by M. Smart)
8:06.0,M. Morris misses 3-pt shot from 25 ft,,87-89,,
8:03.0,,,87-89,,Defensive rebound by J. Brown
7:53.0,,,87-89,,D. Theis misses 2-pt shot from 15 ft
7:49.0,Defensive rebound by B. Beal,,87-89,,
7:40.0,M. Scott misses 3-pt shot from 25 ft,,87-89,,
7:36.0,Offensive rebound by J. Wall,,87-89,,
7:34.0,B. Beal makes 2-pt shot from 10 ft (assist by J. Wall),2,89-89,,
7:27.0,,,89-89,,Boston full timeout
7:27.0,,,89-89,,K. Irving enters the game for M. Smart
7:18.0,,,89-92,3,T. Rozier makes 3-pt shot from 27 ft
6:59.0,B. Beal misses 2-pt shot from 16 ft,,89-92,,
6:57.0,,,89-92,,Defensive rebound by J. Brown
6:38.0,,,89-92,,Offensive foul by D. Theis (drawn by B. Beal)
6:38.0,,,89-92,,Turnover by D. Theis (offensive foul)
6:38.0,,,89-92,,A. Horford enters the game for D. Theis
6:38.0,O. Porter enters the game for M. Scott,,89-92,,
6:29.0,Shooting foul by J. Tatum (drawn by J. Wall),,89-92,,
6:29.0,J. Wall misses free throw 1 of 2,,89-92,,
6:29.0,Offensive rebound by Team,,89-92,,
6:29.0,J. Wall makes free throw 2 of 2,1,90-92,,
6:18.0,,,90-95,3,K. Irving makes 3-pt shot from 27 ft
5:49.0,J. Wall makes 2-pt shot from 21 ft,2,92-95,,
5:24.0,,,92-95,,A. Horford misses 2-pt shot from 17 ft
5:21.0,Defensive rebound by B. Beal,,92-95,,
5:16.0,K. Oubre makes 2-pt shot from 2 ft (assist by J. Wall),2,94-95,,
4:51.0,,,94-95,,K. Irving misses 2-pt shot from 1 ft
4:49.0,Defensive rebound by K. Oubre,,94-95,,
4:34.0,K. Oubre makes 3-pt shot from 23 ft (assist by J. Wall),3,97-95,,
4:11.0,,,97-95,,Turnover by T. Rozier (out of bounds lost ball)
4:11.0,,,97-95,,M. Smart enters the game for T. Rozier
4:00.0,B. Beal makes 2-pt shot from 4 ft (assist by J. Wall),2,99-95,,
4:00.0,Shooting foul by M. Smart (drawn by B. Beal),,99-95,,
4:00.0,B. Beal makes free throw 1 of 1,1,100-95,,
3:46.0,,,100-95,,Turnover by K. Irving (bad pass; steal by J. Wall)
3:43.0,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall),2,102-95,,
3:43.0,,,102-95,,Boston full timeout
3:31.0,,,102-95,,Turnover by J. Tatum (bad pass)
3:16.0,J. Wall misses 2-pt shot from 19 ft,,102-95,,
3:14.0,Offensive rebound by K. Oubre,,102-95,,
2:57.0,B. Beal misses 3-pt shot from 25 ft,,102-95,,
2:56.0,,,102-95,,Defensive rebound by Team
2:43.0,,,102-95,,Shooting foul by O. Porter (drawn by J. Tatum)
2:43.0,,,102-96,1,J. Tatum makes free throw 1 of 2
2:43.0,,,102-97,1,J. Tatum makes free throw 2 of 2
2:26.0,K. Oubre makes 2-pt shot at rim (assist by J. Wall),2,104-97,,
