time,San Antonio,pts.away,score,pts.home,Indiana
10:21.0,D. Murray makes 2-pt shot from 1 ft,2,26-31,,
10:03.0,,,26-31,,T. Leaf misses 2-pt shot from 14 ft
10:01.0,Defensive rebound by D. Murray,,26-31,,
9:56.0,Turnover by D. Murray (bad pass),,26-31,,
9:40.0,,,26-31,,C. Joseph misses 2-pt shot from 11 ft
9:36.0,,,26-31,,Offensive rebound by A. Jefferson
9:36.0,,,26-31,,A. Jefferson misses 2-pt shot from 2 ft (block by P. Gasol)
9:36.0,,,26-31,,Offensive rebound by Team
9:27.0,,,26-31,,Turnover by C. Joseph (bad pass; steal by D. Bertans)
9:14.0,P. Gasol makes 2-pt shot at rim,2,28-31,,
8:58.0,,,28-31,,A. Jefferson misses 2-pt shot from 16 ft
8:55.0,Defensive rebound by D. Murray,,28-31,,
8:49.0,D. Murray misses 2-pt shot from 3 ft (block by A. Jefferson),,28-31,,
8:49.0,Offensive rebound by Team,,28-31,,
8:49.0,,,28-31,,T. Young enters the game for T. Leaf
8:41.0,P. Gasol makes 2-pt shot from 14 ft (assist by D. Green),2,30-31,,
8:41.0,Shooting foul by A. Jefferson (drawn by P. Gasol),,30-31,,
8:41.0,,,30-31,,D. Collison enters the game for J. Young
8:41.0,L. Aldridge enters the game for D. Bertans,,30-31,,
8:41.0,P. Gasol misses free throw 1 of 1,,30-31,,
8:39.0,,,30-31,,Defensive rebound by T. Young
8:20.0,,,30-33,2,D. Collison makes 2-pt shot from 18 ft (assist by A. Jefferson)
8:02.0,Turnover by K. Anderson (bad pass; steal by A. Jefferson),,30-33,,
7:56.0,,,30-33,,C. Joseph misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by P. Gasol,,30-33,,
7:44.0,P. Gasol makes 3-pt shot from 26 ft (assist by K. Anderson),3,33-33,,
7:30.0,,,33-36,3,L. Stephenson makes 3-pt shot from 23 ft (assist by T. Young)
7:28.0,San Antonio full timeout,,33-36,,
7:28.0,,,33-36,,D. Sabonis enters the game for C. Joseph
7:28.0,,,33-36,,B. Bogdanovic enters the game for A. Jefferson
7:28.0,R. Gay enters the game for K. Anderson,,33-36,,
7:09.0,D. Green misses 2-pt shot from 16 ft,,33-36,,
7:07.0,,,33-36,,Defensive rebound by D. Sabonis
6:55.0,,,33-36,,Turnover by L. Stephenson (bad pass)
6:55.0,,,33-36,,V. Oladipo enters the game for L. Stephenson
6:38.0,L. Aldridge misses 2-pt shot from 3 ft,,33-36,,
6:35.0,,,33-36,,Defensive rebound by T. Young
6:32.0,,,33-36,,D. Collison misses 2-pt shot from 1 ft (block by P. Gasol)
6:32.0,,,33-36,,Offensive rebound by Team
6:31.0,,,33-36,,Turnover by V. Oladipo (bad pass)
6:08.0,L. Aldridge misses 3-pt shot from 27 ft,,33-36,,
6:03.0,Offensive rebound by D. Green,,33-36,,
6:02.0,L. Aldridge makes 2-pt shot from 6 ft (assist by P. Gasol),2,35-36,,
6:02.0,Shooting foul by D. Collison (drawn by L. Aldridge),,35-36,,
6:02.0,L. Aldridge makes free throw 1 of 1,1,36-36,,
5:52.0,,,36-36,,Shooting foul by D. Green (drawn by V. Oladipo)
5:52.0,,,36-37,1,V. Oladipo makes free throw 1 of 2
5:52.0,B. Paul enters the game for P. Gasol,,36-37,,
5:52.0,,,36-38,1,V. Oladipo makes free throw 2 of 2
5:36.0,R. Gay makes 2-pt shot from 14 ft,2,38-38,,
5:24.0,,,38-40,2,T. Young makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
5:10.0,D. Murray misses 2-pt shot from 15 ft,,38-40,,
5:06.0,,,38-40,,Defensive rebound by D. Sabonis
5:03.0,,,38-43,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by D. Sabonis)
5:02.0,San Antonio full timeout,,38-43,,
5:02.0,M. Ginobili enters the game for D. Murray,,38-43,,
5:02.0,P. Mills enters the game for D. Green,,38-43,,
4:47.0,M. Ginobili misses 2-pt shot from 14 ft,,38-43,,
4:45.0,,,38-43,,Defensive rebound by B. Bogdanovic
4:30.0,,,38-45,2,T. Young makes 2-pt shot from 5 ft (assist by B. Bogdanovic)
4:10.0,L. Aldridge makes 2-pt shot from 16 ft,2,40-45,,
3:45.0,,,40-45,,V. Oladipo misses 2-pt shot from 10 ft
3:43.0,Defensive rebound by L. Aldridge,,40-45,,
3:28.0,L. Aldridge misses 2-pt shot from 13 ft,,40-45,,
3:24.0,,,40-45,,Defensive rebound by D. Sabonis
3:21.0,,,40-47,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by D. Collison)
3:04.0,P. Mills misses 2-pt shot from 19 ft,,40-47,,
3:01.0,,,40-47,,Defensive rebound by B. Bogdanovic
2:53.0,,,40-49,2,D. Sabonis makes 2-pt shot from 19 ft (assist by D. Collison)
2:33.0,B. Paul makes 3-pt shot from 26 ft (assist by R. Gay),3,43-49,,
2:17.0,,,43-49,,Turnover by D. Sabonis (traveling)
2:17.0,K. Anderson enters the game for R. Gay,,43-49,,
