time,New York,pts.away,score,pts.home,Charlotte
9:40.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by R. Baker),2,25-37,,
9:30.0,,,25-37,,J. Lamb misses 2-pt shot from 13 ft
9:25.0,Defensive rebound by K. O'Quinn,,25-37,,
9:22.0,Shooting foul by J. Lamb (drawn by D. McDermott),,25-37,,
9:22.0,D. McDermott misses free throw 1 of 2,,25-37,,
9:22.0,Offensive rebound by Team,,25-37,,
9:22.0,D. McDermott makes free throw 2 of 2,1,26-37,,
9:08.0,,,26-39,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by N. Batum)
8:52.0,D. McDermott misses 2-pt shot from 20 ft,,26-39,,
8:50.0,,,26-39,,Defensive rebound by F. Kaminsky
8:43.0,,,26-39,,Turnover by N. Batum (bad pass)
8:36.0,Turnover by K. O'Quinn (bad pass; steal by N. Batum),,26-39,,
8:32.0,,,26-41,2,N. Batum makes 2-pt shot from 1 ft
8:19.0,F. Ntilikina makes 2-pt shot from 1 ft (assist by R. Baker),2,28-41,,
8:06.0,,,28-41,,Offensive foul by J. O'Bryant (drawn by L. Thomas)
8:06.0,,,28-41,,Turnover by J. O'Bryant (offensive foul)
8:06.0,E. Kanter enters the game for K. O'Quinn,,28-41,,
8:06.0,C. Lee enters the game for D. McDermott,,28-41,,
7:52.0,E. Kanter makes 2-pt shot from 9 ft,2,30-41,,
7:37.0,,,30-43,2,J. Lamb makes 2-pt shot from 1 ft (assist by N. Batum)
7:14.0,L. Thomas misses 2-pt shot from 2 ft (block by N. Batum),,30-43,,
7:10.0,Offensive rebound by L. Thomas,,30-43,,
7:08.0,E. Kanter misses 2-pt shot from 17 ft,,30-43,,
7:05.0,,,30-43,,Defensive rebound by N. Batum
7:03.0,,,30-45,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by J. O'Bryant)
6:54.0,New York full timeout,,30-45,,
6:54.0,,,30-45,,D. Howard enters the game for N. Batum
6:54.0,,,30-45,,M. Kidd-Gilchrist enters the game for J. O'Bryant
6:54.0,,,30-45,,K. Walker enters the game for M. Carter-Williams
6:54.0,J. Jack enters the game for F. Ntilikina,,30-45,,
6:39.0,C. Lee misses 3-pt shot from 23 ft,,30-45,,
6:37.0,Offensive rebound by E. Kanter,,30-45,,
6:34.0,R. Baker misses 3-pt shot from 25 ft,,30-45,,
6:31.0,,,30-45,,Defensive rebound by Team
6:21.0,,,30-45,,M. Kidd-Gilchrist misses 2-pt shot from 8 ft (block by R. Baker)
6:19.0,Defensive rebound by R. Baker,,30-45,,
6:13.0,C. Lee misses 3-pt shot from 22 ft,,30-45,,
6:10.0,Offensive rebound by L. Thomas,,30-45,,
6:07.0,L. Thomas misses 3-pt shot from 25 ft,,30-45,,
6:07.0,,,30-45,,Defensive rebound by J. Lamb
5:54.0,,,30-45,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
5:51.0,,,30-45,,Offensive rebound by M. Kidd-Gilchrist
5:46.0,,,30-48,3,F. Kaminsky makes 3-pt shot from 24 ft (assist by M. Kidd-Gilchrist)
5:32.0,E. Kanter makes 2-pt shot from 15 ft (assist by C. Lee),2,32-48,,
5:16.0,Personal foul by J. Jack (drawn by D. Howard),,32-48,,
5:16.0,M. Beasley enters the game for L. Thomas,,32-48,,
5:08.0,,,32-51,3,F. Kaminsky makes 3-pt shot from 27 ft
4:52.0,Turnover by J. Jack (lost ball; steal by K. Walker),,32-51,,
4:48.0,,,32-53,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by D. Howard)
4:22.0,Turnover by C. Lee (bad pass),,32-53,,
4:22.0,,,32-53,,M. Williams enters the game for F. Kaminsky
4:12.0,,,32-55,2,K. Walker makes 2-pt shot from 2 ft
4:12.0,,,32-55,,Shooting foul by M. Beasley (drawn by K. Walker)
4:12.0,,,32-55,,N. Batum enters the game for J. Lamb
4:12.0,,,32-56,1,K. Walker makes free throw 1 of 1
3:57.0,Shooting foul by M. Williams (drawn by M. Beasley),,32-56,,
3:57.0,M. Beasley misses free throw 1 of 2,,32-56,,
3:57.0,Offensive rebound by Team,,32-56,,
3:57.0,M. Beasley makes free throw 2 of 2,1,33-56,,
3:45.0,,,33-56,,K. Walker misses 2-pt shot from 11 ft
3:44.0,,,33-56,,Offensive rebound by Team
3:30.0,D. McDermott enters the game for R. Baker,,33-56,,
3:21.0,,,33-58,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft
3:11.0,Shooting foul by K. Walker (drawn by J. Jack),,33-58,,
3:11.0,J. Jack makes free throw 1 of 2,1,34-58,,
3:11.0,J. Jack makes free throw 2 of 2,1,35-58,,
3:00.0,,,35-58,,M. Williams misses 3-pt shot from 27 ft
2:58.0,Defensive rebound by Team,,35-58,,
2:58.0,,,35-58,,Charlotte full timeout
2:46.0,M. Beasley makes 2-pt shot from 3 ft (assist by J. Jack),2,37-58,,
2:32.0,Personal foul by E. Kanter (drawn by D. Howard),,37-58,,
2:26.0,,,37-58,,K. Walker misses 2-pt shot from 17 ft
2:19.0,Defensive rebound by M. Beasley,,37-58,,
2:10.0,M. Beasley misses 2-pt shot from 10 ft,,37-58,,
2:08.0,,,37-58,,Defensive rebound by M. Williams
1:59.0,,,37-58,,Turnover by M. Williams (bad pass; steal by E. Kanter)
1:52.0,J. Jack misses 2-pt shot from 10 ft,,37-58,,
1:46.0,,,37-58,,Defensive rebound by M. Kidd-Gilchrist
1:35.0,,,37-58,,D. Howard misses 2-pt shot from 7 ft
1:33.0,,,37-58,,Offensive rebound by N. Batum
1:19.0,,,37-60,2,K. Walker makes 2-pt shot from 2 ft
1:06.0,J. Jack makes 2-pt shot from 1 ft,2,39-60,,
0:50.0,Personal foul by J. Jack (drawn by D. Howard),,39-60,,
0:46.0,,,39-60,,Turnover by M. Williams (bad pass; steal by E. Kanter)
0:39.0,J. Jack misses 3-pt shot from 24 ft,,39-60,,
0:36.0,Offensive rebound by M. Beasley,,39-60,,
0:36.0,M. Beasley misses 2-pt shot at rim (block by N. Batum),,39-60,,
0:36.0,,,39-60,,Defensive rebound by N. Batum
0:31.0,,,39-60,,K. Walker misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by C. Lee,,39-60,,
0:10.0,D. McDermott makes 3-pt shot from 23 ft (assist by J. Jack),3,42-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,M. Beasley makes 2-pt shot from 6 ft,2,44-60,,
11:22.0,,,44-62,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by N. Batum)
11:02.0,E. Kanter misses 2-pt shot from 6 ft,,44-62,,
10:58.0,,,44-62,,Defensive rebound by M. Kidd-Gilchrist
10:58.0,,,44-62,,Charlotte full timeout
10:49.0,,,44-62,,N. Batum misses 2-pt shot from 16 ft
10:49.0,,,44-62,,Offensive rebound by Team
10:49.0,Loose ball foul by L. Thomas (drawn by D. Howard),,44-62,,
10:36.0,,,44-62,,K. Walker misses 3-pt shot from 23 ft
10:32.0,Defensive rebound by M. Beasley,,44-62,,
10:23.0,C. Lee misses 3-pt shot from 25 ft,,44-62,,
10:19.0,,,44-62,,Defensive rebound by D. Howard
10:09.0,,,44-62,,M. Kidd-Gilchrist misses 2-pt shot from 20 ft
10:04.0,Defensive rebound by C. Lee,,44-62,,
9:51.0,L. Thomas misses 2-pt shot from 2 ft (block by M. Williams),,44-62,,
9:49.0,Offensive rebound by M. Beasley,,44-62,,
9:47.0,Turnover by M. Beasley (lost ball; steal by M. Williams),,44-62,,
9:41.0,,,44-62,,K. Walker misses 2-pt shot from 1 ft
9:35.0,,,44-62,,Offensive rebound by M. Kidd-Gilchrist
9:35.0,,,44-64,2,M. Kidd-Gilchrist makes 2-pt shot at rim
9:14.0,E. Kanter makes 2-pt shot from 15 ft (assist by J. Jack),2,46-64,,
8:47.0,,,46-66,2,M. Williams makes 2-pt shot from 11 ft (assist by M. Kidd-Gilchrist)
8:35.0,J. Jack misses 2-pt shot from 13 ft,,46-66,,
8:33.0,,,46-66,,Defensive rebound by M. Kidd-Gilchrist
8:31.0,,,46-68,2,M. Kidd-Gilchrist makes 2-pt shot at rim
8:31.0,,,46-68,,Shooting foul by M. Beasley (drawn by M. Kidd-Gilchrist)
8:31.0,,,46-69,1,M. Kidd-Gilchrist makes free throw 1 of 1
8:12.0,M. Beasley makes 2-pt shot from 4 ft,2,48-69,,
7:58.0,,,48-72,3,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker)
7:46.0,C. Lee misses 3-pt shot from 25 ft,,48-72,,
7:43.0,,,48-72,,Defensive rebound by D. Howard
7:32.0,,,48-72,,Turnover by K. Walker (bad pass; steal by L. Thomas)
7:27.0,L. Thomas makes 2-pt shot from 1 ft,2,50-72,,
7:09.0,,,50-74,2,M. Williams makes 2-pt shot from 9 ft (assist by K. Walker)
7:09.0,Violation by M. Beasley (def goaltending),,50-74,,
6:51.0,M. Beasley misses 2-pt shot from 16 ft,,50-74,,
6:47.0,,,50-74,,Defensive rebound by M. Williams
6:30.0,,,50-74,,N. Batum misses 2-pt shot from 22 ft
6:28.0,Defensive rebound by Team,,50-74,,
6:28.0,,,50-74,,J. Lamb enters the game for N. Batum
6:28.0,K. O'Quinn enters the game for E. Kanter,,50-74,,
6:28.0,D. Dotson enters the game for L. Thomas,,50-74,,
6:28.0,D. McDermott enters the game for C. Lee,,50-74,,
6:20.0,D. McDermott misses 3-pt shot from 27 ft,,50-74,,
6:14.0,,,50-74,,Defensive rebound by D. Howard
6:10.0,,,50-74,,Shooting foul by K. O'Quinn (drawn by D. Howard)
6:10.0,,,50-75,1,D. Howard makes free throw 1 of 2
6:10.0,,,50-75,,D. Howard misses free throw 2 of 2
6:04.0,Defensive rebound by K. O'Quinn,,50-75,,
6:00.0,Turnover by J. Jack (out of bounds lost ball),,50-75,,
5:50.0,,,50-75,,K. Walker misses 2-pt shot from 14 ft
5:46.0,Defensive rebound by D. Dotson,,50-75,,
5:39.0,K. O'Quinn makes 2-pt shot from 19 ft (assist by D. McDermott),2,52-75,,
5:25.0,,,52-75,,J. Lamb misses 2-pt shot from 17 ft
5:20.0,,,52-75,,Offensive rebound by D. Howard
5:14.0,,,52-77,2,M. Williams makes 2-pt shot from 9 ft (assist by D. Howard)
5:02.0,J. Jack makes 2-pt shot from 19 ft (assist by K. O'Quinn),2,54-77,,
4:46.0,,,54-77,,Offensive foul by D. Howard (drawn by M. Beasley)
4:46.0,,,54-77,,Turnover by D. Howard (offensive foul)
4:46.0,,,54-77,,F. Kaminsky enters the game for M. Williams
4:33.0,Offensive foul by K. O'Quinn (drawn by K. Walker),,54-77,,
4:33.0,Turnover by K. O'Quinn (offensive foul),,54-77,,
4:25.0,Personal foul by K. O'Quinn (drawn by J. Lamb),,54-77,,
4:18.0,,,54-77,,J. Lamb misses 2-pt shot from 1 ft
4:15.0,,,54-77,,Offensive rebound by D. Howard
4:15.0,,,54-77,,D. Howard misses 2-pt shot at rim
4:15.0,,,54-77,,Offensive rebound by D. Howard
4:05.0,,,54-80,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by K. Walker)
3:48.0,M. Beasley makes 3-pt shot from 25 ft (assist by J. Jack),3,57-80,,
3:32.0,,,57-80,,D. Howard misses 2-pt shot from 6 ft (block by K. O'Quinn)
3:32.0,Defensive rebound by Team,,57-80,,
3:32.0,,,57-80,,Loose ball foul by M. Kidd-Gilchrist (drawn by D. Dotson)
3:32.0,F. Ntilikina enters the game for J. Jack,,57-80,,
3:18.0,M. Beasley makes 2-pt shot from 2 ft (assist by F. Ntilikina),2,59-80,,
3:18.0,,,59-80,,Violation by D. Howard (def goaltending)
2:55.0,,,59-82,2,D. Howard makes 2-pt shot from 1 ft
2:47.0,D. Dotson misses 2-pt shot from 14 ft,,59-82,,
2:44.0,Offensive rebound by D. Dotson,,59-82,,
2:31.0,K. O'Quinn misses 2-pt shot from 4 ft (block by M. Kidd-Gilchrist),,59-82,,
2:31.0,Offensive rebound by Team,,59-82,,
2:31.0,New York full timeout,,59-82,,
2:31.0,,,59-82,,N. Batum enters the game for D. Howard
2:31.0,,,59-82,,M. Carter-Williams enters the game for M. Kidd-Gilchrist
2:31.0,,,59-82,,J. O'Bryant enters the game for K. Walker
2:24.0,M. Beasley misses 2-pt shot from 16 ft,,59-82,,
2:21.0,Offensive rebound by M. Beasley,,59-82,,
2:21.0,Turnover by M. Beasley (bad pass),,59-82,,
2:05.0,,,59-82,,Turnover by M. Carter-Williams (bad pass; steal by K. O'Quinn)
1:56.0,M. Beasley misses 2-pt shot from 3 ft,,59-82,,
1:56.0,,,59-82,,Defensive rebound by Team
1:56.0,Loose ball foul by D. McDermott (drawn by J. Lamb),,59-82,,
1:56.0,,,59-83,1,J. Lamb makes free throw 1 of 2
1:56.0,L. Thomas enters the game for M. Beasley,,59-83,,
1:56.0,,,59-84,1,J. Lamb makes free throw 2 of 2
1:40.0,L. Thomas makes 2-pt shot from 2 ft,2,61-84,,
1:40.0,Shooting foul by F. Kaminsky (drawn by L. Thomas),,61-84,,
1:40.0,L. Thomas makes free throw 1 of 1,1,62-84,,
1:24.0,,,62-86,2,J. O'Bryant makes 2-pt shot from 14 ft
1:08.0,L. Thomas misses 2-pt shot from 5 ft (block by F. Kaminsky),,62-86,,
1:05.0,,,62-86,,Defensive rebound by J. Lamb
0:50.0,,,62-88,2,M. Carter-Williams makes 2-pt shot from 1 ft (assist by N. Batum)
0:36.0,D. McDermott misses 2-pt shot from 2 ft (block by F. Kaminsky),,62-88,,
0:32.0,,,62-88,,Defensive rebound by J. O'Bryant
0:30.0,,,62-88,,J. Lamb misses 3-pt shot from 26 ft
0:30.0,Defensive rebound by K. O'Quinn,,62-88,,
0:24.0,F. Ntilikina makes 2-pt shot from 1 ft,2,64-88,,
0:00.0,,,64-88,,J. Lamb misses 3-pt shot from 22 ft
0:00.0,,,64-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,64-88,,Turnover by N. Batum (bad pass; steal by F. Ntilikina)
11:38.0,F. Ntilikina makes 2-pt shot at rim,2,66-88,,
11:24.0,,,66-90,2,J. O'Bryant makes 2-pt shot at rim (assist by M. Carter-Williams)
11:07.0,D. Dotson makes 2-pt shot from 18 ft (assist by K. O'Quinn),2,68-90,,
10:54.0,,,68-90,,Turnover by M. Carter-Williams (bad pass; steal by D. McDermott)
10:40.0,L. Thomas misses 3-pt shot from 25 ft,,68-90,,
10:31.0,,,68-90,,Defensive rebound by F. Kaminsky
10:24.0,,,68-92,2,F. Kaminsky makes 2-pt shot from 10 ft
10:08.0,F. Ntilikina misses 2-pt shot from 21 ft,,68-92,,
10:05.0,,,68-92,,Defensive rebound by J. Lamb
10:00.0,,,68-95,3,J. Lamb makes 3-pt shot from 24 ft (assist by J. O'Bryant)
9:45.0,K. O'Quinn makes 2-pt shot from 13 ft (assist by D. Dotson),2,70-95,,
9:31.0,,,70-95,,J. O'Bryant misses 2-pt shot from 15 ft
9:27.0,Defensive rebound by D. McDermott,,70-95,,
9:24.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by F. Ntilikina),2,72-95,,
9:24.0,,,72-95,,Charlotte full timeout
9:24.0,,,72-95,,M. Kidd-Gilchrist enters the game for J. O'Bryant
9:24.0,R. Baker enters the game for K. O'Quinn,,72-95,,
9:24.0,M. Beasley enters the game for L. Thomas,,72-95,,
8:57.0,,,72-95,,F. Kaminsky misses 2-pt shot from 10 ft
8:55.0,,,72-95,,Offensive rebound by M. Kidd-Gilchrist
8:54.0,,,72-95,,M. Kidd-Gilchrist misses 2-pt shot at rim
8:54.0,Defensive rebound by R. Baker,,72-95,,
8:54.0,,,72-95,,Personal foul by M. Carter-Williams (drawn by R. Baker)
8:44.0,D. Dotson makes 2-pt shot from 14 ft (assist by M. Beasley),2,74-95,,
8:24.0,,,74-95,,Turnover by M. Kidd-Gilchrist (lost ball; steal by D. Dotson)
8:18.0,Turnover by D. Dotson (lost ball; steal by M. Kidd-Gilchrist),,74-95,,
8:01.0,,,74-95,,M. Carter-Williams misses 2-pt shot from 2 ft
8:01.0,,,74-95,,Offensive rebound by M. Kidd-Gilchrist
8:01.0,,,74-95,,Shooting foul by D. Dotson (drawn by M. Kidd-Gilchrist)
8:01.0,,,74-96,1,M. Kidd-Gilchrist makes free throw 1 of 2
8:01.0,,,74-97,1,M. Kidd-Gilchrist makes free throw 2 of 2
7:57.0,Turnover by M. Beasley (traveling),,74-97,,
7:39.0,,,74-99,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by J. Lamb)
7:27.0,M. Beasley makes 3-pt shot from 25 ft (assist by D. Dotson),3,77-99,,
7:10.0,,,77-101,2,F. Kaminsky makes 2-pt shot from 5 ft (assist by M. Carter-Williams)
6:58.0,M. Beasley misses 2-pt shot from 1 ft,,77-101,,
6:55.0,,,77-101,,Defensive rebound by M. Kidd-Gilchrist
6:51.0,,,77-101,,F. Kaminsky misses 3-pt shot from 24 ft
6:48.0,Defensive rebound by F. Ntilikina,,77-101,,
6:46.0,Turnover by F. Ntilikina (bad pass; steal by J. Lamb),,77-101,,
6:44.0,Personal foul by D. McDermott (drawn by J. Lamb),,77-101,,
6:44.0,R. Sessions enters the game for D. McDermott,,77-101,,
6:44.0,J. Noah enters the game for D. Dotson,,77-101,,
6:38.0,,,77-101,,Turnover by M. Carter-Williams (lost ball; steal by J. Noah)
6:24.0,Shooting foul by F. Kaminsky (drawn by M. Beasley),,77-101,,
6:24.0,M. Beasley makes free throw 1 of 2,1,78-101,,
6:24.0,,,78-101,,K. Walker enters the game for N. Batum
6:24.0,,,78-101,,D. Howard enters the game for M. Carter-Williams
6:24.0,M. Beasley makes free throw 2 of 2,1,79-101,,
6:06.0,,,79-101,,D. Howard misses 2-pt shot from 11 ft (block by J. Noah)
6:02.0,Defensive rebound by M. Beasley,,79-101,,
5:58.0,M. Beasley misses 3-pt shot from 24 ft,,79-101,,
5:56.0,,,79-101,,Defensive rebound by F. Kaminsky
5:38.0,,,79-103,2,J. Lamb makes 2-pt shot from 14 ft (assist by F. Kaminsky)
5:24.0,Turnover by R. Sessions (bad pass),,79-103,,
5:24.0,W. Hernangomez enters the game for M. Beasley,,79-103,,
5:15.0,,,79-103,,Turnover by F. Kaminsky (traveling)
5:06.0,F. Ntilikina makes 2-pt shot from 11 ft,2,81-103,,
4:44.0,,,81-105,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by J. Lamb)
4:28.0,W. Hernangomez makes 2-pt shot from 2 ft (assist by R. Baker),2,83-105,,
4:28.0,Shooting foul by D. Howard (drawn by W. Hernangomez),,83-105,,
4:28.0,,,83-105,,J. O'Bryant enters the game for D. Howard
4:28.0,W. Hernangomez makes free throw 1 of 1,1,84-105,,
4:11.0,,,84-105,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
