time,Milwaukee,pts.away,score,pts.home,New Orleans
7:47.0,Jump ball: D. Cousins vs. J. Henson (G. Antetokounmpo gains possession),,,,Jump ball: D. Cousins vs. J. Henson (G. Antetokounmpo gains possession)
7:44.0,G. Antetokounmpo makes 2-pt shot from 20 ft,2,14-10,,
7:19.0,,,14-13,3,E. Moore makes 3-pt shot from 25 ft (assist by D. Cousins)
7:07.0,G. Antetokounmpo misses 2-pt shot from 7 ft,,14-13,,
6:59.0,Offensive rebound by G. Antetokounmpo,,14-13,,
6:59.0,G. Antetokounmpo makes 2-pt shot at rim,2,16-13,,
6:48.0,,,16-15,2,A. Davis makes 2-pt shot from 7 ft (assist by D. Cousins)
6:32.0,,,16-15,,New Orleans full timeout
6:32.0,T. Maker enters the game for G. Antetokounmpo,,16-15,,
6:27.0,K. Middleton misses 2-pt shot from 16 ft,,16-15,,
6:24.0,,,16-15,,Defensive rebound by A. Davis
6:12.0,Personal foul by K. Middleton (drawn by D. Cousins),,16-15,,
6:12.0,M. Brogdon enters the game for G. Payton,,16-15,,
6:06.0,,,16-15,,D. Cousins misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by T. Maker,,16-15,,
5:56.0,K. Middleton misses 2-pt shot from 17 ft,,16-15,,
5:52.0,,,16-15,,Defensive rebound by E. Moore
5:44.0,,,16-17,2,D. Cousins makes 2-pt shot from 2 ft (assist by J. Holiday)
5:44.0,,,16-17,,Shooting foul by T. Maker (drawn by D. Cousins)
5:44.0,,,16-18,1,D. Cousins makes free throw 1 of 1
5:26.0,Shooting foul by A. Davis (drawn by E. Bledsoe),,16-18,,
5:26.0,E. Bledsoe misses free throw 1 of 2,,16-18,,
5:26.0,Offensive rebound by Team,,16-18,,
5:26.0,,,16-18,,J. Nelson enters the game for R. Rondo
5:26.0,,,16-18,,D. Cunningham enters the game for A. Davis
5:26.0,R. Vaughn enters the game for J. Henson,,16-18,,
5:26.0,E. Bledsoe makes free throw 2 of 2,1,17-18,,
5:10.0,,,17-18,,Turnover by D. Cousins (bad pass)
4:57.0,E. Bledsoe makes 3-pt shot from 26 ft (assist by K. Middleton),3,20-18,,
4:41.0,,,20-18,,Turnover by J. Holiday (bad pass; steal by E. Bledsoe)
4:36.0,E. Bledsoe misses 2-pt shot from 2 ft,,20-18,,
4:31.0,Offensive rebound by K. Middleton,,20-18,,
4:31.0,K. Middleton makes 2-pt shot at rim,2,22-18,,
4:16.0,,,22-20,2,D. Cousins makes 2-pt shot from 16 ft
4:02.0,M. Brogdon makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,24-20,,
3:47.0,,,24-20,,D. Cousins misses 2-pt shot from 1 ft
3:43.0,,,24-20,,Offensive rebound by D. Cousins
3:43.0,,,24-20,,D. Cousins misses 2-pt shot at rim
3:42.0,Defensive rebound by R. Vaughn,,24-20,,
3:41.0,K. Middleton misses 2-pt shot from 2 ft,,24-20,,
3:41.0,Offensive rebound by T. Maker,,24-20,,
3:41.0,Shooting foul by D. Cunningham (drawn by T. Maker),,24-20,,
3:41.0,T. Maker misses free throw 1 of 2,,24-20,,
3:41.0,Offensive rebound by Team,,24-20,,
3:41.0,,,24-20,,D. Miller enters the game for E. Moore
3:41.0,T. Maker makes free throw 2 of 2,1,25-20,,
3:27.0,,,25-20,,Offensive charge foul by D. Cousins (drawn by K. Middleton)
3:27.0,,,25-20,,Turnover by D. Cousins (offensive foul)
3:05.0,K. Middleton makes 3-pt shot from 23 ft (assist by M. Brogdon),3,28-20,,
2:56.0,,,28-23,3,D. Cousins makes 3-pt shot from 25 ft (assist by J. Holiday)
2:32.0,M. Brogdon makes 3-pt shot from 26 ft,3,31-23,,
2:23.0,,,31-23,,Shooting foul by T. Maker (drawn by D. Cousins)
2:23.0,Milwaukee full timeout,,31-23,,
2:23.0,,,31-24,1,D. Cousins makes free throw 1 of 2
2:23.0,,,31-25,1,D. Cousins makes free throw 2 of 2
2:23.0,G. Antetokounmpo enters the game for E. Bledsoe,,31-25,,
2:23.0,J. Bolomboy enters the game for T. Maker,,31-25,,
2:11.0,K. Middleton misses 2-pt shot from 17 ft,,31-25,,
2:09.0,,,31-25,,Defensive rebound by J. Holiday
1:56.0,,,31-25,,D. Cunningham misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
1:55.0,,,31-25,,O. Asik enters the game for D. Cousins
1:55.0,,,31-25,,Offensive rebound by Team
1:47.0,,,31-27,2,J. Nelson makes 2-pt shot from 18 ft
1:26.0,M. Brogdon misses 2-pt shot from 11 ft,,31-27,,
1:19.0,Offensive rebound by J. Bolomboy,,31-27,,
1:13.0,J. Bolomboy makes 2-pt shot at rim (assist by K. Middleton),2,33-27,,
1:06.0,,,33-30,3,J. Nelson makes 3-pt shot from 25 ft (assist by J. Holiday)
0:46.0,G. Antetokounmpo makes 2-pt shot from 6 ft,2,35-30,,
0:34.0,,,35-32,2,J. Holiday makes 2-pt shot from 2 ft
0:18.0,G. Antetokounmpo makes 2-pt shot from 7 ft,2,37-32,,
0:00.0,,,37-32,,J. Holiday misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by G. Antetokounmpo,,37-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,37-34,2,E. Moore makes 2-pt shot from 8 ft (assist by D. Miller)
11:31.0,G. Antetokounmpo makes 2-pt shot from 15 ft,2,39-34,,
11:10.0,,,39-34,,D. Miller misses 2-pt shot from 9 ft
11:07.0,Defensive rebound by M. Brogdon,,39-34,,
11:02.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,39-34,,
10:59.0,,,39-34,,Defensive rebound by A. Davis
10:49.0,,,39-37,3,D. Miller makes 3-pt shot from 23 ft (assist by A. Davis)
10:21.0,J. Bolomboy makes 2-pt shot from 12 ft (assist by M. Brogdon),2,41-37,,
10:02.0,,,41-37,,Shooting foul by J. Bolomboy (drawn by A. Davis)
10:02.0,,,41-38,1,A. Davis makes free throw 1 of 2
10:02.0,,,41-39,1,A. Davis makes free throw 2 of 2
9:48.0,M. Brogdon misses 3-pt shot from 25 ft,,41-39,,
9:45.0,,,41-39,,Defensive rebound by A. Davis
9:37.0,,,41-41,2,A. Davis makes 2-pt shot from 20 ft
9:19.0,D. Liggins makes 2-pt shot from 21 ft,2,43-41,,
9:04.0,,,43-43,2,D. Cunningham makes 2-pt shot from 1 ft (assist by J. Nelson)
8:53.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,43-43,,
8:50.0,,,43-43,,Defensive rebound by D. Cunningham
8:38.0,,,43-43,,E. Moore misses 3-pt shot from 25 ft
8:34.0,Defensive rebound by R. Vaughn,,43-43,,
8:11.0,R. Vaughn makes 2-pt shot from 12 ft,2,45-43,,
7:57.0,,,45-43,,A. Davis misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by J. Bolomboy,,45-43,,
7:47.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,47-43,,
7:22.0,,,47-43,,J. Nelson misses 2-pt shot from 1 ft
7:20.0,Defensive rebound by G. Antetokounmpo,,47-43,,
7:18.0,R. Vaughn misses 3-pt shot from 24 ft,,47-43,,
7:18.0,Offensive rebound by M. Brogdon,,47-43,,
7:13.0,M. Brogdon misses 2-pt shot from 8 ft (block by A. Davis),,47-43,,
7:13.0,,,47-43,,Defensive rebound by E. Moore
7:08.0,,,47-46,3,D. Miller makes 3-pt shot from 22 ft (assist by J. Nelson)
7:08.0,Milwaukee full timeout,,47-46,,
7:08.0,,,47-46,,D. Cousins enters the game for D. Cunningham
7:08.0,J. Henson enters the game for R. Vaughn,,47-46,,
7:08.0,E. Bledsoe enters the game for J. Bolomboy,,47-46,,
6:44.0,J. Henson misses 2-pt shot from 16 ft,,47-46,,
6:38.0,,,47-46,,Defensive rebound by D. Miller
6:26.0,,,47-49,3,D. Miller makes 3-pt shot from 24 ft (assist by J. Nelson)
6:08.0,M. Brogdon misses 2-pt shot from 17 ft,,47-49,,
6:05.0,,,47-49,,Defensive rebound by D. Cousins
5:59.0,,,47-51,2,A. Davis makes 2-pt shot from 1 ft (assist by D. Cousins)
5:40.0,E. Bledsoe misses 3-pt shot from 25 ft,,47-51,,
5:40.0,,,47-51,,Defensive rebound by D. Cousins
5:36.0,,,47-51,,Turnover by D. Cousins (out of bounds lost ball)
5:36.0,K. Middleton enters the game for M. Brogdon,,47-51,,
5:32.0,G. Antetokounmpo makes 3-pt shot from 24 ft (assist by K. Middleton),3,50-51,,
5:20.0,,,50-51,,Turnover by A. Davis (turnover)
5:06.0,G. Antetokounmpo misses 2-pt shot at rim,,50-51,,
5:03.0,,,50-51,,Defensive rebound by E. Moore
4:56.0,,,50-51,,Turnover by J. Nelson (lost ball; steal by G. Antetokounmpo)
4:52.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,52-51,,
4:38.0,,,52-51,,D. Miller misses 3-pt shot from 26 ft
4:36.0,Defensive rebound by J. Henson,,52-51,,
4:23.0,,,52-51,,Personal foul by E. Moore (drawn by E. Bledsoe)
4:23.0,,,52-51,,R. Rondo enters the game for J. Nelson
4:23.0,,,52-51,,J. Holiday enters the game for E. Moore
4:09.0,Turnover by Team (shot clock),,52-51,,
3:48.0,,,52-51,,Turnover by D. Cousins (lost ball; steal by E. Bledsoe)
3:45.0,E. Bledsoe misses 2-pt shot from 3 ft (block by J. Holiday),,52-51,,
3:45.0,Offensive rebound by Team,,52-51,,
3:45.0,,,52-51,,D. Cunningham enters the game for A. Davis
3:35.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,54-51,,
3:26.0,,,54-51,,Shooting foul by D. Liggins (drawn by J. Holiday)
3:26.0,,,54-52,1,J. Holiday makes free throw 1 of 2
3:26.0,,,54-52,,J. Holiday misses free throw 2 of 2
3:25.0,,,54-52,,Offensive rebound by D. Cousins
3:22.0,,,54-54,2,D. Cousins makes 2-pt shot from 2 ft
2:58.0,Turnover by E. Bledsoe (lost ball; steal by R. Rondo),,54-54,,
2:51.0,,,54-56,2,D. Cunningham makes 2-pt shot from 2 ft (assist by R. Rondo)
2:36.0,D. Liggins makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,57-56,,
2:25.0,,,57-58,2,D. Cousins makes 2-pt shot from 1 ft (assist by D. Miller)
2:25.0,,,57-58,,Shooting foul by J. Henson (drawn by D. Cousins)
2:25.0,,,57-58,,New Orleans full timeout
2:25.0,G. Payton enters the game for D. Liggins,,57-58,,
2:25.0,,,57-59,1,D. Cousins makes free throw 1 of 1
2:06.0,G. Payton misses 3-pt shot from 23 ft,,57-59,,
2:06.0,,,57-59,,Defensive rebound by R. Rondo
1:52.0,,,57-59,,R. Rondo misses 2-pt shot from 1 ft
1:49.0,Defensive rebound by K. Middleton,,57-59,,
1:48.0,G. Payton makes 2-pt shot from 2 ft (assist by K. Middleton),2,59-59,,
1:48.0,Shooting foul by J. Holiday (drawn by G. Payton),,59-59,,
1:48.0,G. Payton misses free throw 1 of 1,,59-59,,
1:45.0,,,59-59,,Defensive rebound by D. Cunningham
1:21.0,,,59-62,3,R. Rondo makes 3-pt shot from 22 ft (assist by D. Cousins)
1:00.0,G. Payton misses 2-pt shot from 2 ft (block by D. Miller),,59-62,,
1:00.0,,,59-62,,Defensive rebound by J. Holiday
0:44.0,,,59-62,,Turnover by R. Rondo (bad pass; steal by E. Bledsoe)
0:38.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,59-62,,
0:37.0,,,59-62,,Defensive rebound by Team
0:29.0,,,59-62,,Turnover by J. Holiday (bad pass; steal by G. Payton)
0:25.0,G. Payton makes 2-pt shot from 1 ft,2,61-62,,
0:01.0,,,61-62,,Turnover by D. Cousins (lost ball; steal by J. Henson)
0:01.0,,,61-62,,Personal foul by D. Cousins (drawn by J. Henson)
0:01.0,J. Henson makes free throw 1 of 2,1,62-62,,
0:01.0,,,62-62,,O. Asik enters the game for D. Cousins
0:01.0,J. Henson makes free throw 2 of 2,1,63-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,63-62,,Turnover by E. Moore (bad pass; steal by G. Payton)
11:18.0,K. Middleton misses 3-pt shot from 24 ft (block by A. Davis),,63-62,,
11:18.0,,,63-62,,Defensive rebound by R. Rondo
11:11.0,,,63-62,,Shooting foul by G. Payton (drawn by E. Moore)
11:11.0,,,63-62,,E. Moore misses free throw 1 of 2
11:11.0,,,63-62,,Offensive rebound by Team
11:11.0,,,63-63,1,E. Moore makes free throw 2 of 2
10:59.0,J. Henson makes 2-pt shot at rim (assist by K. Middleton),2,65-63,,
10:35.0,,,65-63,,Turnover by A. Davis (lost ball; steal by G. Antetokounmpo)
10:31.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,65-63,,
10:31.0,,,65-63,,Defensive rebound by Team
10:09.0,,,65-63,,J. Holiday misses 3-pt shot from 26 ft
10:09.0,Defensive rebound by J. Henson,,65-63,,
10:00.0,E. Bledsoe makes 3-pt shot from 25 ft,3,68-63,,
9:55.0,,,68-66,3,E. Moore makes 3-pt shot from 25 ft (assist by J. Holiday)
9:31.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,68-66,,
9:31.0,Offensive rebound by E. Bledsoe,,68-66,,
9:28.0,E. Bledsoe makes 2-pt shot at rim,2,70-66,,
9:28.0,,,70-66,,New Orleans full timeout
9:16.0,,,70-69,3,E. Moore makes 3-pt shot from 23 ft (assist by A. Davis)
9:00.0,Turnover by E. Bledsoe (bad pass; steal by R. Rondo),,70-69,,
8:37.0,,,70-71,2,J. Holiday makes 2-pt shot from 2 ft (assist by R. Rondo)
8:18.0,E. Bledsoe misses 3-pt shot from 26 ft,,70-71,,
8:15.0,,,70-71,,Defensive rebound by R. Rondo
7:57.0,,,70-71,,D. Cousins misses 2-pt shot from 1 ft (block by J. Henson)
7:57.0,,,70-71,,Offensive rebound by Team
7:52.0,,,70-71,,D. Cousins misses 2-pt shot from 2 ft (block by J. Henson)
7:50.0,Defensive rebound by K. Middleton,,70-71,,
7:50.0,Shooting foul by A. Davis (drawn by G. Antetokounmpo),,70-71,,
7:50.0,G. Antetokounmpo makes free throw 1 of 2,1,71-71,,
7:50.0,G. Antetokounmpo makes free throw 2 of 2,1,72-71,,
7:41.0,,,72-74,3,J. Holiday makes 3-pt shot from 23 ft (assist by E. Moore)
7:27.0,K. Middleton makes 2-pt shot from 16 ft (assist by E. Bledsoe),2,74-74,,
7:15.0,,,74-74,,A. Davis misses 2-pt shot from 7 ft
7:15.0,,,74-74,,Offensive rebound by A. Davis
7:10.0,,,74-74,,A. Davis misses 2-pt shot at rim
7:09.0,Defensive rebound by J. Henson,,74-74,,
7:05.0,E. Bledsoe makes 3-pt shot from 22 ft (assist by G. Payton),3,77-74,,
6:46.0,,,77-74,,Offensive foul by D. Cousins (drawn by J. Henson)
6:46.0,,,77-74,,Turnover by D. Cousins (offensive foul)
6:35.0,Turnover by E. Bledsoe (discontinued dribble),,77-74,,
6:22.0,,,77-74,,Turnover by D. Cousins (lost ball; steal by J. Henson)
6:18.0,G. Payton misses 2-pt shot from 2 ft,,77-74,,
6:17.0,,,77-74,,Defensive rebound by Team
6:03.0,,,77-74,,Turnover by R. Rondo (traveling)
5:44.0,K. Middleton misses 3-pt shot from 25 ft,,77-74,,
5:39.0,,,77-74,,Defensive rebound by D. Cousins
5:32.0,,,77-76,2,R. Rondo makes 2-pt shot from 17 ft
5:18.0,G. Antetokounmpo makes 2-pt shot from 20 ft (assist by E. Bledsoe),2,79-76,,
4:58.0,,,79-76,,Turnover by R. Rondo (bad pass; steal by G. Antetokounmpo)
4:53.0,E. Bledsoe misses 2-pt shot from 1 ft (block by D. Cousins),,79-76,,
4:51.0,Offensive rebound by G. Antetokounmpo,,79-76,,
4:51.0,G. Payton makes 2-pt shot at rim (assist by G. Antetokounmpo),2,81-76,,
4:51.0,,,81-76,,New Orleans full timeout
4:51.0,,,81-76,,D. Cunningham enters the game for R. Rondo
4:51.0,,,81-76,,J. Nelson enters the game for A. Davis
4:51.0,,,81-76,,D. Miller enters the game for E. Moore
4:25.0,,,81-76,,J. Nelson misses 2-pt shot from 22 ft
4:22.0,Defensive rebound by J. Henson,,81-76,,
4:16.0,K. Middleton misses 2-pt shot from 18 ft,,81-76,,
4:11.0,,,81-76,,Defensive rebound by D. Cunningham
4:08.0,Personal foul by K. Middleton (drawn by D. Cousins),,81-76,,
3:56.0,,,81-78,2,D. Cunningham makes 2-pt shot from 2 ft (assist by D. Miller)
3:37.0,G. Payton misses 3-pt shot from 23 ft,,81-78,,
3:34.0,,,81-78,,Defensive rebound by J. Holiday
3:23.0,,,81-78,,J. Nelson misses 3-pt shot from 25 ft
3:18.0,,,81-78,,Offensive rebound by D. Cousins
3:17.0,,,81-78,,J. Holiday misses 2-pt shot from 13 ft
3:17.0,Defensive rebound by E. Bledsoe,,81-78,,
3:12.0,Shooting foul by J. Nelson (drawn by G. Antetokounmpo),,81-78,,
3:12.0,G. Antetokounmpo misses free throw 1 of 2,,81-78,,
3:12.0,Offensive rebound by Team,,81-78,,
3:12.0,M. Brogdon enters the game for G. Payton,,81-78,,
3:12.0,T. Maker enters the game for J. Henson,,81-78,,
3:12.0,G. Antetokounmpo misses free throw 2 of 2,,81-78,,
3:10.0,,,81-78,,Defensive rebound by D. Cousins
2:59.0,,,81-80,2,D. Cousins makes 2-pt shot from 1 ft (assist by J. Holiday)
2:43.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,83-80,,
2:24.0,,,83-80,,D. Miller misses 3-pt shot from 27 ft
2:21.0,Defensive rebound by E. Bledsoe,,83-80,,
2:09.0,,,83-80,,Personal foul by J. Nelson (drawn by G. Antetokounmpo)
2:09.0,,,83-80,,A. Davis enters the game for D. Cousins
2:09.0,R. Vaughn enters the game for G. Antetokounmpo,,83-80,,
2:01.0,K. Middleton misses 2-pt shot from 10 ft,,83-80,,
1:54.0,Offensive rebound by T. Maker,,83-80,,
1:45.0,Turnover by K. Middleton (lost ball; steal by J. Nelson),,83-80,,
1:42.0,,,83-80,,Shooting foul by M. Brogdon (drawn by J. Holiday)
1:42.0,,,83-80,,J. Holiday misses free throw 1 of 2
1:42.0,,,83-80,,Offensive rebound by Team
1:42.0,,,83-81,1,J. Holiday makes free throw 2 of 2
1:19.0,E. Bledsoe makes 2-pt shot from 16 ft,2,85-81,,
1:08.0,,,85-83,2,J. Holiday makes 2-pt shot from 2 ft (assist by J. Nelson)
0:56.0,E. Bledsoe misses 3-pt shot from 26 ft,,85-83,,
0:52.0,,,85-83,,Defensive rebound by D. Cunningham
0:42.0,,,85-83,,J. Holiday misses 2-pt shot from 2 ft
0:40.0,,,85-83,,Offensive rebound by A. Davis
0:40.0,,,85-85,2,A. Davis makes 2-pt shot at rim
0:31.0,E. Bledsoe misses 2-pt shot from 5 ft (block by A. Davis),,85-85,,
0:27.0,,,85-85,,Defensive rebound by J. Holiday
0:10.0,,,85-87,2,A. Davis makes 2-pt shot at rim (assist by D. Miller)
0:03.0,,,85-87,,Personal take foul by J. Nelson (drawn by K. Middleton)
0:03.0,D. Liggins enters the game for E. Bledsoe,,85-87,,
0:00.0,K. Middleton misses 2-pt shot at rim,,85-87,,
0:00.0,Offensive rebound by Team,,85-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,M. Brogdon makes 2-pt shot from 12 ft,2,87-87,,
11:35.0,,,87-87,,D. Cunningham misses 2-pt shot from 1 ft (block by T. Maker)
11:31.0,Defensive rebound by G. Antetokounmpo,,87-87,,
11:31.0,,,87-87,,Shooting block foul by A. Davis (drawn by G. Antetokounmpo)
11:31.0,G. Antetokounmpo makes free throw 1 of 2,1,88-87,,
11:31.0,G. Antetokounmpo makes free throw 2 of 2,1,89-87,,
11:20.0,,,89-87,,Turnover by J. Nelson (bad pass; steal by G. Antetokounmpo)
11:18.0,Shooting foul by D. Cunningham (drawn by G. Antetokounmpo),,89-87,,
11:18.0,G. Antetokounmpo misses free throw 1 of 2,,89-87,,
11:18.0,Offensive rebound by Team,,89-87,,
11:18.0,G. Antetokounmpo makes free throw 2 of 2,1,90-87,,
10:55.0,,,90-87,,E. Moore misses 3-pt shot from 23 ft
10:51.0,Defensive rebound by T. Maker,,90-87,,
10:41.0,M. Brogdon makes 2-pt shot from 6 ft,2,92-87,,
10:31.0,,,92-87,,A. Davis misses 2-pt shot from 16 ft
10:31.0,Defensive rebound by Team,,92-87,,
10:31.0,,,92-87,,Loose ball foul by D. Cunningham (drawn by D. Liggins)
10:21.0,M. Brogdon makes 2-pt shot from 7 ft,2,94-87,,
10:07.0,,,94-89,2,D. Cunningham makes 2-pt shot from 1 ft (assist by J. Nelson)
9:52.0,Turnover by M. Brogdon (step out of bounds),,94-89,,
9:52.0,,,94-89,,D. Cousins enters the game for D. Miller
9:52.0,,,94-89,,J. Holiday enters the game for D. Cunningham
9:34.0,,,94-91,2,A. Davis makes 2-pt shot from 12 ft (assist by D. Cousins)
9:21.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,94-91,,
9:19.0,,,94-91,,Defensive rebound by D. Cousins
9:12.0,,,94-91,,Turnover by J. Holiday (traveling)
9:00.0,M. Brogdon misses 3-pt shot from 24 ft,,94-91,,
8:57.0,,,94-91,,Defensive rebound by J. Nelson
8:56.0,,,94-91,,Shooting foul by M. Brogdon (drawn by A. Davis)
8:56.0,,,94-92,1,A. Davis makes free throw 1 of 2
8:56.0,,,94-93,1,A. Davis makes free throw 2 of 2
8:31.0,D. Liggins makes 2-pt shot from 21 ft (assist by T. Maker),2,96-93,,
8:11.0,,,96-95,2,D. Cousins makes 2-pt shot at rim (assist by J. Holiday)
8:01.0,R. Vaughn makes 2-pt shot from 15 ft (assist by G. Antetokounmpo),2,98-95,,
7:43.0,,,98-97,2,D. Cousins makes 2-pt shot from 2 ft (assist by J. Holiday)
7:26.0,D. Liggins misses 2-pt shot from 18 ft,,98-97,,
7:24.0,,,98-97,,Defensive rebound by A. Davis
7:09.0,,,98-97,,D. Cousins misses 3-pt shot from 25 ft
7:09.0,,,98-97,,Offensive rebound by E. Moore
7:02.0,,,98-99,2,A. Davis makes 2-pt shot from 2 ft (assist by E. Moore)
7:01.0,Milwaukee full timeout,,98-99,,
7:01.0,K. Middleton enters the game for T. Maker,,98-99,,
7:01.0,J. Henson enters the game for R. Vaughn,,98-99,,
6:50.0,G. Antetokounmpo misses 2-pt shot from 13 ft,,98-99,,
6:46.0,,,98-99,,Defensive rebound by D. Cousins
6:30.0,,,98-99,,Turnover by D. Cousins (bad pass; steal by M. Brogdon)
6:09.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,98-99,,
6:06.0,,,98-99,,Defensive rebound by D. Cousins
6:03.0,,,98-102,3,J. Holiday makes 3-pt shot from 25 ft (assist by E. Moore)
5:34.0,K. Middleton makes 3-pt shot from 22 ft (assist by G. Antetokounmpo),3,101-102,,
5:15.0,,,101-102,,E. Moore misses 2-pt shot from 20 ft
5:09.0,Defensive rebound by J. Henson,,101-102,,
5:04.0,K. Middleton misses 3-pt shot from 23 ft,,101-102,,
5:00.0,,,101-102,,Defensive rebound by A. Davis
4:51.0,,,101-104,2,E. Moore makes 2-pt shot from 6 ft (assist by J. Nelson)
4:35.0,M. Brogdon misses 2-pt shot from 12 ft,,101-104,,
4:32.0,,,101-104,,Defensive rebound by A. Davis
4:28.0,,,101-104,,J. Nelson misses 3-pt shot from 25 ft
4:20.0,,,101-104,,Offensive rebound by D. Cousins
4:20.0,,,101-106,2,D. Cousins makes 2-pt shot at rim
3:56.0,K. Middleton misses 3-pt shot from 28 ft,,101-106,,
3:53.0,,,101-106,,Defensive rebound by A. Davis
3:39.0,,,101-108,2,J. Holiday makes 2-pt shot from 2 ft (assist by D. Cousins)
3:39.0,Milwaukee full timeout,,101-108,,
3:39.0,,,101-108,,New Orleans full timeout
3:39.0,E. Bledsoe enters the game for D. Liggins,,101-108,,
3:32.0,J. Henson makes 2-pt shot at rim (assist by K. Middleton),2,103-108,,
3:12.0,,,103-108,,J. Holiday misses 2-pt shot from 9 ft
3:11.0,,,103-108,,Offensive rebound by Team
3:09.0,,,103-108,,A. Davis misses 2-pt shot from 21 ft
3:06.0,Defensive rebound by K. Middleton,,103-108,,
2:47.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton),2,105-108,,
2:34.0,,,105-110,2,A. Davis makes 2-pt shot from 17 ft (assist by E. Moore)
2:10.0,K. Middleton misses 3-pt shot from 25 ft (block by A. Davis),,105-110,,
2:08.0,,,105-110,,Defensive rebound by D. Cousins
2:04.0,,,105-110,,Turnover by D. Cousins (bad pass; steal by E. Bledsoe)
1:59.0,Offensive charge foul by E. Bledsoe (drawn by D. Cousins),,105-110,,
