time,Charlotte,pts.away,score,pts.home,Toronto
3:18.0,,,12-20,2,J. Valanciunas makes 2-pt shot from 5 ft
3:04.0,J. Lamb misses 2-pt shot from 11 ft,,12-20,,
3:04.0,,,12-20,,Defensive rebound by K. Lowry
2:54.0,,,12-22,2,S. Ibaka makes 2-pt shot from 1 ft (assist by K. Lowry)
2:53.0,Charlotte full timeout,,12-22,,
2:53.0,,,12-22,,F. VanVleet enters the game for O. Anunoby
2:53.0,,,12-22,,J. Poeltl enters the game for K. Lowry
2:53.0,,,12-22,,C. Miles enters the game for J. Valanciunas
2:53.0,M. Monk enters the game for M. Carter-Williams,,12-22,,
2:53.0,C. Zeller enters the game for D. Howard,,12-22,,
2:37.0,J. Lamb makes 2-pt shot from 5 ft (assist by C. Zeller),2,14-22,,
2:14.0,,,14-25,3,F. VanVleet makes 3-pt shot from 25 ft (assist by S. Ibaka)
2:05.0,,,14-25,,Personal foul by F. VanVleet (drawn by M. Monk)
1:55.0,Shooting foul by J. Poeltl (drawn by C. Zeller),,14-25,,
1:55.0,C. Zeller misses free throw 1 of 2,,14-25,,
1:55.0,Offensive rebound by Team,,14-25,,
1:55.0,D. Bacon enters the game for M. Kidd-Gilchrist,,14-25,,
1:55.0,C. Zeller makes free throw 2 of 2,1,15-25,,
1:33.0,,,15-28,3,C. Miles makes 3-pt shot from 25 ft (assist by F. VanVleet)
1:25.0,Charlotte full timeout,,15-28,,
1:25.0,,,15-28,,P. Siakam enters the game for S. Ibaka
1:19.0,M. Monk makes 3-pt shot from 25 ft (assist by C. Zeller),3,18-28,,
1:01.0,,,18-30,2,J. Poeltl makes 2-pt shot from 1 ft (assist by F. VanVleet)
0:49.0,F. Kaminsky misses 2-pt shot from 5 ft,,18-30,,
0:48.0,Offensive rebound by Team,,18-30,,
0:48.0,Shooting foul by J. Poeltl (drawn by C. Zeller),,18-30,,
0:48.0,C. Zeller makes free throw 1 of 2,1,19-30,,
0:48.0,C. Zeller makes free throw 2 of 2,1,20-30,,
0:35.0,Personal foul by D. Bacon (drawn by D. DeRozan),,20-30,,
0:31.0,,,20-32,2,J. Poeltl makes 2-pt shot from 2 ft (assist by F. VanVleet)
0:31.0,,,20-32,,Shooting foul by F. Kaminsky (drawn by J. Poeltl)
0:31.0,,,20-32,,N. Powell enters the game for D. DeRozan
0:31.0,,,20-32,,J. Poeltl misses free throw 1 of 1
0:29.0,Defensive rebound by Team,,20-32,,
0:17.0,Shooting foul by P. Siakam (drawn by F. Kaminsky),,20-32,,
0:17.0,F. Kaminsky makes free throw 1 of 2,1,21-32,,
0:17.0,F. Kaminsky makes free throw 2 of 2,1,22-32,,
0:07.0,,,22-32,,J. Poeltl misses 2-pt shot from 6 ft (block by M. Monk)
0:03.0,Defensive rebound by F. Kaminsky,,22-32,,
0:01.0,J. Lamb makes 3-pt shot from 24 ft (assist by F. Kaminsky),3,25-32,,
0:00.0,,,25-32,,N. Powell misses 3-pt shot from 43 ft
0:00.0,,,25-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,J. Lamb misses 2-pt shot from 1 ft,,25-32,,
11:48.0,Offensive rebound by Team,,25-32,,
11:48.0,Shooting foul by F. VanVleet (drawn by C. Zeller),,25-32,,
11:48.0,C. Zeller makes free throw 1 of 2,1,26-32,,
11:48.0,C. Zeller misses free throw 2 of 2,,26-32,,
11:45.0,,,26-32,,Defensive rebound by P. Siakam
11:38.0,,,26-32,,C. Miles misses 3-pt shot from 25 ft
11:35.0,Defensive rebound by D. Bacon,,26-32,,
11:29.0,D. Bacon misses 2-pt shot from 19 ft,,26-32,,
11:27.0,,,26-32,,Defensive rebound by N. Powell
11:11.0,,,26-32,,C. Miles misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by M. Monk,,26-32,,
11:03.0,M. Monk misses 2-pt shot from 9 ft,,26-32,,
11:00.0,,,26-32,,Defensive rebound by P. Siakam
10:51.0,,,26-34,2,N. Powell makes 2-pt shot from 3 ft (assist by F. VanVleet)
10:32.0,F. Kaminsky makes 3-pt shot from 23 ft (assist by J. Lamb),3,29-34,,
10:10.0,,,29-36,2,P. Siakam makes 2-pt shot from 2 ft
9:54.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by C. Zeller),3,32-36,,
9:40.0,,,32-36,,N. Powell misses 2-pt shot from 16 ft
9:38.0,Defensive rebound by J. Lamb,,32-36,,
9:33.0,J. Lamb misses 3-pt shot from 24 ft,,32-36,,
9:29.0,,,32-36,,Defensive rebound by N. Powell
9:28.0,Personal block foul by J. Lamb (drawn by F. VanVleet),,32-36,,
9:28.0,N. Batum enters the game for D. Bacon,,32-36,,
9:11.0,,,32-39,3,N. Powell makes 3-pt shot from 23 ft (assist by F. VanVleet)
8:56.0,J. Lamb makes 2-pt shot from 5 ft (assist by M. Monk),2,34-39,,
8:45.0,,,34-41,2,F. VanVleet makes 2-pt shot from 5 ft
8:45.0,,,34-41,,Shooting foul by M. Monk (drawn by F. VanVleet)
8:45.0,,,34-41,,F. VanVleet misses free throw 1 of 1
8:43.0,Defensive rebound by F. Kaminsky,,34-41,,
8:30.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by M. Monk),2,36-41,,
8:14.0,,,36-43,2,J. Poeltl makes 2-pt shot from 1 ft (assist by C. Miles)
7:53.0,N. Batum misses 2-pt shot from 7 ft,,36-43,,
7:50.0,,,36-43,,Defensive rebound by P. Siakam
7:48.0,,,36-43,,Shooting foul by J. Lamb (drawn by N. Powell)
7:48.0,,,36-44,1,N. Powell makes free throw 1 of 2
7:48.0,,,36-44,,K. Lowry enters the game for F. VanVleet
7:48.0,,,36-45,1,N. Powell makes free throw 2 of 2
7:31.0,M. Monk makes 3-pt shot from 25 ft,3,39-45,,
7:21.0,,,39-45,,Toronto full timeout
7:21.0,,,39-45,,J. Valanciunas enters the game for J. Poeltl
7:21.0,D. Howard enters the game for M. Monk,,39-45,,
7:21.0,M. Carter-Williams enters the game for C. Zeller,,39-45,,
7:16.0,,,39-45,,Offensive foul by J. Valanciunas (drawn by M. Carter-Williams)
7:16.0,,,39-45,,Turnover by J. Valanciunas (offensive foul)
7:00.0,F. Kaminsky misses 2-pt shot from 3 ft (block by P. Siakam),,39-45,,
7:00.0,Offensive rebound by D. Howard,,39-45,,
6:54.0,D. Howard misses 2-pt shot from 3 ft,,39-45,,
6:54.0,,,39-45,,Defensive rebound by K. Lowry
6:40.0,,,39-47,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by K. Lowry)
6:29.0,Turnover by N. Batum (bad pass; steal by C. Miles),,39-47,,
6:21.0,,,39-49,2,C. Miles makes 2-pt shot from 1 ft (assist by K. Lowry)
6:05.0,N. Batum makes 2-pt shot from 20 ft (assist by M. Carter-Williams),2,41-49,,
5:49.0,,,41-52,3,K. Lowry makes 3-pt shot from 25 ft
5:32.0,Shooting foul by J. Valanciunas (drawn by D. Howard),,41-52,,
5:32.0,D. Howard makes free throw 1 of 2,1,42-52,,
5:32.0,,,42-52,,S. Ibaka enters the game for C. Miles
5:32.0,,,42-52,,D. DeRozan enters the game for P. Siakam
5:32.0,M. Kidd-Gilchrist enters the game for J. Lamb,,42-52,,
5:32.0,D. Howard makes free throw 2 of 2,1,43-52,,
5:12.0,,,43-54,2,K. Lowry makes 2-pt shot from 18 ft
4:59.0,M. Carter-Williams misses 2-pt shot from 12 ft,,43-54,,
4:57.0,,,43-54,,Defensive rebound by J. Valanciunas
4:50.0,Personal foul by F. Kaminsky (drawn by S. Ibaka),,43-54,,
4:50.0,M. Williams enters the game for F. Kaminsky,,43-54,,
4:46.0,,,43-54,,N. Powell misses 3-pt shot from 25 ft
4:44.0,Defensive rebound by D. Howard,,43-54,,
4:30.0,N. Batum misses 2-pt shot from 16 ft,,43-54,,
4:28.0,,,43-54,,Defensive rebound by S. Ibaka
4:23.0,Personal foul by M. Carter-Williams (drawn by K. Lowry),,43-54,,
4:23.0,,,43-55,1,K. Lowry makes free throw 1 of 2
4:23.0,,,43-56,1,K. Lowry makes free throw 2 of 2
4:09.0,M. Kidd-Gilchrist makes 2-pt shot from 20 ft (assist by N. Batum),2,45-56,,
3:54.0,,,45-56,,O. Anunoby enters the game for N. Powell
3:40.0,Jump ball: J. Valanciunas vs. M. Kidd-Gilchrist (K. Lowry gains possession),,,,Jump ball: J. Valanciunas vs. M. Kidd-Gilchrist (K. Lowry gains possession)
3:37.0,,,45-58,2,K. Lowry makes 2-pt shot from 1 ft
3:25.0,Shooting foul by J. Valanciunas (drawn by D. Howard),,45-58,,
3:25.0,D. Howard makes free throw 1 of 2,1,46-58,,
3:25.0,,,46-58,,J. Poeltl enters the game for J. Valanciunas
3:25.0,D. Howard misses free throw 2 of 2,,46-58,,
3:21.0,Offensive rebound by M. Carter-Williams,,46-58,,
3:09.0,D. Howard makes 2-pt shot from 1 ft,2,48-58,,
2:54.0,,,48-60,2,D. DeRozan makes 2-pt shot from 15 ft
2:37.0,Shooting foul by J. Poeltl (drawn by M. Carter-Williams),,48-60,,
2:37.0,Charlotte full timeout,,48-60,,
2:37.0,,,48-60,,L. Nogueira enters the game for J. Poeltl
2:37.0,M. Carter-Williams makes free throw 1 of 2,1,49-60,,
2:37.0,M. Carter-Williams makes free throw 2 of 2,1,50-60,,
2:26.0,,,50-63,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan)
2:11.0,Turnover by M. Carter-Williams (bad pass; steal by O. Anunoby),,50-63,,
2:04.0,,,50-63,,L. Nogueira misses 2-pt shot from 2 ft
2:02.0,Defensive rebound by D. Howard,,50-63,,
1:54.0,Turnover by M. Carter-Williams (lost ball; steal by L. Nogueira),,50-63,,
1:47.0,,,50-63,,Turnover by D. DeRozan (lost ball; steal by N. Batum)
1:44.0,Shooting foul by K. Lowry (drawn by M. Kidd-Gilchrist),,50-63,,
1:44.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,51-63,,
1:44.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,52-63,,
1:21.0,,,52-63,,S. Ibaka misses 3-pt shot from 25 ft
1:18.0,,,52-63,,Offensive rebound by O. Anunoby
1:08.0,,,52-65,2,S. Ibaka makes 2-pt shot from 16 ft (assist by D. DeRozan)
0:53.0,M. Williams misses 3-pt shot from 24 ft,,52-65,,
0:51.0,,,52-65,,Defensive rebound by O. Anunoby
0:47.0,,,52-65,,Shooting foul by M. Carter-Williams (drawn by K. Lowry)
0:47.0,,,52-66,1,K. Lowry makes free throw 1 of 2
0:47.0,M. Monk enters the game for M. Carter-Williams,,52-66,,
0:47.0,,,52-67,1,K. Lowry makes free throw 2 of 2
0:28.0,Turnover by D. Howard (bad pass; steal by K. Lowry),,52-67,,
0:20.0,,,52-67,,Shooting foul by M. Monk (drawn by D. DeRozan)
0:20.0,,,52-67,,D. DeRozan misses free throw 1 of 2
0:20.0,,,52-67,,Offensive rebound by Team
0:20.0,,,52-68,1,D. DeRozan makes free throw 2 of 2
0:09.0,Turnover by N. Batum (bad pass),,52-68,,
0:05.0,,,52-71,3,K. Lowry makes 3-pt shot from 27 ft
0:00.0,M. Kidd-Gilchrist misses 2-pt shot from 22 ft,,52-71,,
0:00.0,Offensive rebound by Team,,52-71,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,D. Howard makes 2-pt shot from 13 ft (assist by M. Carter-Williams),2,54-71,,
11:26.0,,,54-71,,J. Valanciunas misses 3-pt shot from 24 ft
11:22.0,Defensive rebound by M. Carter-Williams,,54-71,,
11:17.0,D. Howard makes 2-pt shot from 19 ft (assist by M. Carter-Williams),2,56-71,,
11:02.0,,,56-71,,S. Ibaka misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by M. Kidd-Gilchrist,,56-71,,
10:55.0,Shooting foul by D. DeRozan (drawn by M. Kidd-Gilchrist),,56-71,,
10:55.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,57-71,,
10:55.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,58-71,,
10:35.0,,,58-71,,Turnover by K. Lowry (lost ball; steal by M. Williams)
10:35.0,,,58-71,,Personal foul by K. Lowry (drawn by M. Williams)
10:13.0,M. Carter-Williams misses 3-pt shot from 26 ft,,58-71,,
10:11.0,Offensive rebound by D. Howard,,58-71,,
10:09.0,D. Howard makes 2-pt shot from 3 ft,2,60-71,,
10:04.0,,,60-71,,Toronto full timeout
10:01.0,,,60-71,,Turnover by K. Lowry (turnover)
9:45.0,M. Kidd-Gilchrist makes 2-pt shot from 21 ft (assist by D. Howard),2,62-71,,
9:21.0,,,62-71,,K. Lowry misses 2-pt shot from 7 ft
9:18.0,,,62-71,,Offensive rebound by Team
9:18.0,Loose ball foul by D. Howard (drawn by K. Lowry),,62-71,,
9:10.0,,,62-71,,S. Ibaka misses 2-pt shot from 16 ft
9:10.0,,,62-71,,Offensive rebound by J. Valanciunas
9:07.0,,,62-73,2,J. Valanciunas makes 2-pt shot from 1 ft
8:58.0,Shooting foul by J. Valanciunas (drawn by M. Carter-Williams),,62-73,,
8:58.0,M. Carter-Williams makes free throw 1 of 2,1,63-73,,
8:58.0,,,63-73,,J. Poeltl enters the game for J. Valanciunas
8:58.0,M. Carter-Williams makes free throw 2 of 2,1,64-73,,
8:48.0,,,64-73,,D. DeRozan misses 2-pt shot from 12 ft
8:48.0,Defensive rebound by M. Carter-Williams,,64-73,,
8:38.0,M. Williams makes 2-pt shot from 5 ft (assist by N. Batum),2,66-73,,
8:25.0,,,66-73,,Turnover by S. Ibaka (lost ball; steal by M. Williams)
8:22.0,M. Carter-Williams makes 2-pt shot from 2 ft (assist by M. Kidd-Gilchrist),2,68-73,,
8:22.0,Shooting foul by K. Lowry (drawn by M. Carter-Williams),,68-73,,
8:22.0,M. Carter-Williams makes free throw 1 of 1,1,69-73,,
8:11.0,,,69-73,,K. Lowry misses 3-pt shot from 25 ft
8:07.0,Defensive rebound by D. Howard,,69-73,,
8:00.0,,,69-73,,Personal foul by J. Poeltl (drawn by D. Howard)
8:00.0,D. Howard makes free throw 1 of 2,1,70-73,,
8:00.0,D. Howard makes free throw 2 of 2,1,71-73,,
7:49.0,,,71-75,2,D. DeRozan makes 2-pt shot from 19 ft
7:33.0,Offensive charge foul by M. Carter-Williams (drawn by K. Lowry),,71-75,,
7:33.0,Turnover by M. Carter-Williams (offensive foul),,71-75,,
7:20.0,,,71-75,,Turnover by O. Anunoby (out of bounds lost ball)
7:02.0,D. Howard misses 2-pt shot from 7 ft,,71-75,,
7:00.0,,,71-75,,Defensive rebound by S. Ibaka
6:53.0,,,71-75,,S. Ibaka misses 2-pt shot from 3 ft
6:49.0,Defensive rebound by M. Carter-Williams,,71-75,,
6:43.0,M. Carter-Williams misses 2-pt shot from 8 ft,,71-75,,
6:40.0,,,71-75,,Defensive rebound by S. Ibaka
6:35.0,,,71-77,2,D. DeRozan makes 2-pt shot from 8 ft
6:12.0,D. Howard makes 2-pt shot from 1 ft,2,73-77,,
5:54.0,,,73-77,,D. DeRozan misses 2-pt shot from 2 ft
5:54.0,Defensive rebound by Team,,73-77,,
5:54.0,,,73-77,,C. Miles enters the game for O. Anunoby
5:43.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,73-77,,
5:43.0,Offensive rebound by Team,,73-77,,
5:39.0,,,73-77,,P. Siakam enters the game for S. Ibaka
5:39.0,J. Lamb enters the game for N. Batum,,73-77,,
5:36.0,Jump ball: C. Miles vs. M. Kidd-Gilchrist (M. Carter-Williams gains possession),,,,Jump ball: C. Miles vs. M. Kidd-Gilchrist (M. Carter-Williams gains possession)
5:24.0,D. Howard misses 2-pt shot from 2 ft,,73-77,,
5:24.0,Offensive rebound by M. Williams,,73-77,,
5:16.0,M. Williams misses 2-pt shot at rim,,73-77,,
5:16.0,,,73-77,,Defensive rebound by D. DeRozan
5:12.0,,,73-79,2,D. DeRozan makes 2-pt shot from 2 ft
4:53.0,M. Carter-Williams misses 2-pt shot from 15 ft,,73-79,,
4:53.0,,,73-79,,Defensive rebound by P. Siakam
4:45.0,,,73-82,3,K. Lowry makes 3-pt shot from 25 ft
4:44.0,Charlotte full timeout,,73-82,,
4:44.0,F. Kaminsky enters the game for M. Williams,,73-82,,
4:22.0,M. Kidd-Gilchrist makes 2-pt shot from 3 ft (assist by D. Howard),2,75-82,,
4:08.0,,,75-82,,C. Miles misses 3-pt shot from 25 ft
4:06.0,Defensive rebound by F. Kaminsky,,75-82,,
3:56.0,J. Lamb makes 2-pt shot from 2 ft (assist by D. Howard),2,77-82,,
3:39.0,,,77-82,,C. Miles misses 3-pt shot from 22 ft
3:36.0,Defensive rebound by D. Howard,,77-82,,
3:27.0,M. Kidd-Gilchrist makes 2-pt shot from 7 ft (assist by F. Kaminsky),2,79-82,,
3:27.0,Shooting foul by D. DeRozan (drawn by M. Kidd-Gilchrist),,79-82,,
3:27.0,C. Zeller enters the game for D. Howard,,79-82,,
3:27.0,M. Kidd-Gilchrist misses free throw 1 of 1,,79-82,,
3:25.0,,,79-82,,Defensive rebound by P. Siakam
3:09.0,,,79-84,2,C. Miles makes 2-pt shot from 11 ft (assist by D. DeRozan)
2:47.0,Turnover by J. Lamb (lost ball; steal by J. Poeltl),,79-84,,
2:39.0,,,79-86,2,J. Poeltl makes 2-pt shot from 2 ft (assist by D. DeRozan)
2:17.0,Shooting foul by P. Siakam (drawn by M. Carter-Williams),,79-86,,
2:17.0,M. Carter-Williams makes free throw 1 of 2,1,80-86,,
2:17.0,,,80-86,,F. VanVleet enters the game for K. Lowry
2:17.0,M. Carter-Williams makes free throw 2 of 2,1,81-86,,
2:00.0,,,81-86,,P. Siakam misses 2-pt shot from 8 ft
1:59.0,Defensive rebound by M. Carter-Williams,,81-86,,
1:53.0,J. Lamb makes 2-pt shot from 7 ft (assist by M. Carter-Williams),2,83-86,,
1:38.0,,,83-88,2,P. Siakam makes 2-pt shot from 1 ft (assist by D. DeRozan)
1:17.0,Turnover by C. Zeller (out of bounds lost ball),,83-88,,
1:17.0,M. Monk enters the game for M. Carter-Williams,,83-88,,
1:05.0,,,83-91,3,F. VanVleet makes 3-pt shot from 23 ft (assist by P. Siakam)
0:55.0,F. Kaminsky makes 2-pt shot from 12 ft,2,85-91,,
0:43.0,,,85-93,2,D. DeRozan makes 2-pt shot from 14 ft
0:38.0,Offensive foul by C. Zeller (drawn by F. VanVleet),,85-93,,
0:38.0,Turnover by C. Zeller (offensive foul),,85-93,,
0:38.0,,,85-93,,N. Powell enters the game for D. DeRozan
0:32.0,,,85-93,,F. VanVleet misses 2-pt shot from 1 ft
0:28.0,Defensive rebound by C. Zeller,,85-93,,
0:09.0,M. Monk misses 3-pt shot from 25 ft,,85-93,,
0:07.0,,,85-93,,Defensive rebound by N. Powell
0:01.0,,,85-93,,Turnover by N. Powell (lost ball; steal by J. Lamb)
0:00.0,J. Lamb misses 2-pt shot from 15 ft,,85-93,,
0:00.0,Offensive rebound by Team,,85-93,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Personal foul by J. Lamb (drawn by L. Nogueira),,85-93,,
11:36.0,,,85-93,,C. Miles misses 3-pt shot from 24 ft
11:34.0,Defensive rebound by M. Monk,,85-93,,
11:27.0,F. Kaminsky misses 2-pt shot from 4 ft,,85-93,,
11:25.0,Offensive rebound by F. Kaminsky,,85-93,,
11:20.0,M. Monk makes 3-pt shot from 27 ft (assist by J. Lamb),3,88-93,,
10:57.0,,,88-96,3,L. Nogueira makes 3-pt shot from 25 ft (assist by F. VanVleet)
10:45.0,,,88-96,,Personal foul by L. Nogueira (drawn by M. Monk)
10:35.0,F. Kaminsky misses 3-pt shot from 25 ft,,88-96,,
10:33.0,Offensive rebound by C. Zeller,,88-96,,
10:33.0,Shooting foul by L. Nogueira (drawn by C. Zeller),,88-96,,
10:33.0,C. Zeller makes free throw 1 of 2,1,89-96,,
10:33.0,C. Zeller makes free throw 2 of 2,1,90-96,,
10:22.0,,,90-96,,N. Powell misses 3-pt shot from 22 ft
10:19.0,Defensive rebound by F. Kaminsky,,90-96,,
10:12.0,M. Monk misses 2-pt shot from 22 ft,,90-96,,
10:12.0,,,90-96,,Defensive rebound by F. VanVleet
10:05.0,,,90-99,3,N. Powell makes 3-pt shot from 23 ft (assist by F. VanVleet)
10:04.0,Charlotte full timeout,,90-99,,
10:04.0,,,90-99,,K. Lowry enters the game for C. Miles
9:52.0,N. Batum misses 3-pt shot from 25 ft,,90-99,,
9:52.0,,,90-99,,Defensive rebound by P. Siakam
9:32.0,,,90-102,3,K. Lowry makes 3-pt shot from 22 ft (assist by F. VanVleet)
9:14.0,J. Lamb makes 3-pt shot from 24 ft,3,93-102,,
9:00.0,Personal foul by C. Zeller (drawn by N. Powell),,93-102,,
8:56.0,,,93-102,,F. VanVleet misses 2-pt shot from 14 ft
8:53.0,Defensive rebound by J. Lamb,,93-102,,
8:43.0,J. Lamb misses 3-pt shot from 26 ft,,93-102,,
8:43.0,,,93-102,,Defensive rebound by Team
8:23.0,,,93-102,,F. VanVleet misses 2-pt shot from 2 ft
8:21.0,Defensive rebound by F. Kaminsky,,93-102,,
8:11.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by N. Batum),2,95-102,,
7:53.0,,,95-102,,P. Siakam misses 3-pt shot from 25 ft
7:50.0,,,95-102,,Offensive rebound by K. Lowry
7:48.0,,,95-102,,K. Lowry misses 3-pt shot from 23 ft
7:48.0,Defensive rebound by N. Batum,,95-102,,
7:32.0,F. Kaminsky misses 2-pt shot from 16 ft,,95-102,,
7:28.0,,,95-102,,Defensive rebound by L. Nogueira
7:21.0,,,95-104,2,K. Lowry makes 2-pt shot from 2 ft
7:05.0,C. Zeller misses 2-pt shot from 5 ft,,95-104,,
7:03.0,,,95-104,,Defensive rebound by Team
7:03.0,D. Howard enters the game for M. Monk,,95-104,,
7:03.0,M. Carter-Williams enters the game for C. Zeller,,95-104,,
7:03.0,,,95-104,,Toronto full timeout
7:03.0,,,95-104,,S. Ibaka enters the game for F. VanVleet
7:03.0,,,95-104,,D. DeRozan enters the game for P. Siakam
6:48.0,,,95-104,,L. Nogueira misses 2-pt shot from 2 ft
6:46.0,Defensive rebound by D. Howard,,95-104,,
6:39.0,M. Carter-Williams misses 2-pt shot from 2 ft,,95-104,,
6:35.0,,,95-104,,Defensive rebound by N. Powell
6:33.0,,,95-107,3,K. Lowry makes 3-pt shot from 25 ft
6:21.0,,,95-107,,Personal foul by L. Nogueira (drawn by M. Carter-Williams)
6:21.0,,,95-107,,J. Valanciunas enters the game for L. Nogueira
6:14.0,F. Kaminsky makes 2-pt shot from 7 ft,2,97-107,,
6:03.0,,,97-109,2,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry)
