time,New York,pts.away,score,pts.home,LA Clippers
6:57.0,,,10-13,,C. Williams misses 3-pt shot from 25 ft
6:53.0,,,10-13,,Offensive rebound by T. Harris
6:51.0,,,10-13,,Offensive charge foul by M. Teodosic (drawn by T. Hardaway)
6:51.0,,,10-13,,Turnover by M. Teodosic (offensive foul)
6:51.0,,,10-13,,LA Clippers full timeout
6:51.0,,,10-13,,L. Williams enters the game for M. Teodosic
6:42.0,T. Hardaway misses 3-pt shot from 28 ft,,10-13,,
6:40.0,,,10-13,,Defensive rebound by Team
6:40.0,Loose ball foul by E. Kanter (drawn by D. Jordan),,10-13,,
6:25.0,,,10-13,,T. Harris misses 2-pt shot from 1 ft
6:19.0,,,10-13,,Offensive rebound by D. Jordan
6:19.0,,,10-15,2,D. Jordan makes 2-pt shot at rim
6:08.0,Turnover by C. Lee (bad pass; steal by C. Williams),,10-15,,
6:08.0,,,10-15,,Turnover by C. Williams (bad pass; steal by E. Kanter)
5:59.0,E. Mudiay misses 3-pt shot from 25 ft,,10-15,,
5:55.0,,,10-15,,Defensive rebound by A. Rivers
5:49.0,,,10-15,,A. Rivers misses 2-pt shot from 1 ft
5:49.0,,,10-15,,Offensive rebound by D. Jordan
5:43.0,,,10-17,2,D. Jordan makes 2-pt shot at rim
5:28.0,C. Lee makes 3-pt shot from 23 ft (assist by T. Hardaway),3,13-17,,
5:17.0,,,13-20,3,A. Rivers makes 3-pt shot from 25 ft (assist by C. Williams)
5:06.0,Turnover by C. Lee (lost ball; steal by A. Rivers),,13-20,,
5:04.0,L. Thomas enters the game for M. Beasley,,13-20,,
5:02.0,,,13-22,2,L. Williams makes 2-pt shot from 1 ft (assist by C. Williams)
4:47.0,T. Hardaway misses 3-pt shot from 24 ft,,13-22,,
4:43.0,Offensive rebound by E. Mudiay,,13-22,,
4:42.0,E. Kanter makes 2-pt shot from 6 ft (assist by E. Mudiay),2,15-22,,
4:33.0,,,15-22,,A. Rivers misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by E. Kanter,,15-22,,
4:24.0,Turnover by T. Hardaway (bad pass; steal by D. Jordan),,15-22,,
4:16.0,,,15-24,2,D. Jordan makes 2-pt shot at rim (assist by T. Harris)
4:05.0,New York full timeout,,15-24,,
4:05.0,F. Ntilikina enters the game for C. Lee,,15-24,,
3:58.0,L. Thomas makes 3-pt shot from 22 ft (assist by E. Mudiay),3,18-24,,
3:42.0,,,18-24,,Turnover by C. Williams (out of bounds lost ball)
3:32.0,E. Mudiay makes 2-pt shot from 18 ft,2,20-24,,
3:11.0,,,20-24,,A. Rivers misses 2-pt shot from 1 ft
3:07.0,Defensive rebound by T. Hardaway,,20-24,,
2:52.0,E. Kanter misses 2-pt shot from 5 ft (block by D. Jordan),,20-24,,
2:49.0,Offensive rebound by E. Kanter,,20-24,,
2:47.0,E. Kanter makes 2-pt shot from 10 ft (assist by L. Thomas),2,22-24,,
2:25.0,,,22-26,2,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams)
2:11.0,E. Mudiay misses 2-pt shot from 17 ft,,22-26,,
2:08.0,,,22-26,,Defensive rebound by D. Jordan
2:05.0,,,22-26,,Shooting foul by F. Ntilikina (drawn by L. Williams)
2:05.0,,,22-26,,W. Johnson enters the game for D. Jordan
2:05.0,,,22-26,,S. Thornwell enters the game for C. Williams
2:05.0,,,22-26,,M. Harrell enters the game for A. Rivers
2:05.0,,,22-27,1,L. Williams makes free throw 1 of 2
2:05.0,,,22-28,1,L. Williams makes free throw 2 of 2
1:52.0,L. Thomas misses 3-pt shot from 25 ft,,22-28,,
1:48.0,,,22-28,,Defensive rebound by W. Johnson
1:43.0,,,22-28,,L. Williams misses 2-pt shot from 17 ft
1:43.0,Defensive rebound by E. Kanter,,22-28,,
1:29.0,E. Kanter misses 2-pt shot from 2 ft (block by M. Harrell),,22-28,,
1:29.0,Offensive rebound by L. Thomas,,22-28,,
1:24.0,Turnover by L. Thomas (lost ball; steal by S. Thornwell),,22-28,,
1:19.0,,,22-30,2,M. Harrell makes 2-pt shot from 1 ft (assist by T. Harris)
1:10.0,K. O'Quinn enters the game for E. Kanter,,22-30,,
1:10.0,T. Burke enters the game for E. Mudiay,,22-30,,
1:08.0,T. Burke makes 3-pt shot from 23 ft (assist by T. Hardaway),3,25-30,,
0:42.0,,,25-30,,L. Williams misses 2-pt shot from 21 ft
0:39.0,Defensive rebound by K. O'Quinn,,25-30,,
0:31.0,Turnover by T. Burke (bad pass; steal by T. Harris),,25-30,,
0:29.0,Personal foul by F. Ntilikina (drawn by T. Harris),,25-30,,
0:23.0,,,25-30,,Shooting foul by K. O'Quinn (drawn by T. Harris)
0:23.0,,,25-31,1,T. Harris makes free throw 1 of 2
0:23.0,,,25-31,,C. Williams enters the game for L. Williams
0:23.0,,,25-32,1,T. Harris makes free throw 2 of 2
0:10.0,,,25-32,,Personal take foul by M. Harrell (drawn by T. Burke)
0:10.0,,,25-32,,S. Dekker enters the game for T. Harris
0:05.0,T. Burke misses 2-pt shot from 16 ft,,25-32,,
0:01.0,,,25-32,,Defensive rebound by S. Dekker
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Personal foul by M. Beasley (drawn by S. Dekker),,25-32,,
11:37.0,,,25-34,2,S. Dekker makes 2-pt shot from 1 ft (assist by W. Johnson)
11:20.0,T. Burke misses 3-pt shot from 26 ft,,25-34,,
11:16.0,,,25-34,,Defensive rebound by M. Harrell
11:08.0,,,25-34,,Shooting foul by T. Williams (drawn by M. Harrell)
11:08.0,,,25-34,,M. Harrell misses free throw 1 of 2
11:08.0,,,25-34,,Offensive rebound by Team
11:08.0,,,25-35,1,M. Harrell makes free throw 2 of 2
10:52.0,F. Ntilikina makes 3-pt shot from 25 ft (assist by T. Williams),3,28-35,,
10:35.0,,,28-35,,Turnover by S. Dekker (bad pass; steal by F. Ntilikina)
10:27.0,T. Burke makes 2-pt shot at rim (assist by F. Ntilikina),2,30-35,,
10:22.0,Personal foul by F. Ntilikina (drawn by L. Williams),,30-35,,
10:14.0,,,30-35,,S. Dekker misses 2-pt shot from 1 ft
10:11.0,Defensive rebound by K. O'Quinn,,30-35,,
9:58.0,F. Ntilikina misses 3-pt shot from 24 ft,,30-35,,
9:54.0,,,30-35,,Defensive rebound by S. Dekker
9:46.0,,,30-37,2,L. Williams makes 2-pt shot from 13 ft (assist by S. Thornwell)
9:29.0,M. Beasley makes 2-pt shot from 1 ft,2,32-37,,
9:29.0,Shooting foul by S. Dekker (drawn by M. Beasley),,32-37,,
9:29.0,,,32-37,,M. Teodosic enters the game for W. Johnson
9:29.0,C. Lee enters the game for F. Ntilikina,,32-37,,
9:29.0,M. Beasley makes free throw 1 of 1,1,33-37,,
9:18.0,,,33-37,,L. Williams misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by Team,,33-37,,
8:58.0,T. Williams makes 3-pt shot from 27 ft (assist by K. O'Quinn),3,36-37,,
8:50.0,,,36-39,2,M. Harrell makes 2-pt shot at rim (assist by L. Williams)
8:33.0,Turnover by M. Beasley (traveling),,36-39,,
8:33.0,,,36-39,,D. Jordan enters the game for S. Dekker
8:18.0,,,36-39,,Shooting foul by M. Beasley (drawn by M. Harrell)
8:18.0,,,36-40,1,M. Harrell makes free throw 1 of 2
8:18.0,,,36-41,1,M. Harrell makes free throw 2 of 2
8:00.0,C. Lee misses 2-pt shot from 19 ft,,36-41,,
7:56.0,,,36-41,,Defensive rebound by M. Teodosic
7:50.0,,,36-43,2,L. Williams makes 2-pt shot from 8 ft
7:37.0,K. O'Quinn misses 2-pt shot from 17 ft,,36-43,,
7:37.0,Offensive rebound by M. Beasley,,36-43,,
7:32.0,K. O'Quinn misses 2-pt shot from 17 ft,,36-43,,
7:32.0,,,36-43,,Defensive rebound by D. Jordan
7:18.0,,,36-43,,Turnover by M. Harrell (lost ball; steal by T. Williams)
7:14.0,Turnover by T. Williams (bad pass),,36-43,,
7:14.0,,,36-43,,LA Clippers full timeout
7:14.0,,,36-43,,T. Harris enters the game for S. Thornwell
7:14.0,,,36-43,,A. Rivers enters the game for M. Harrell
7:14.0,T. Hardaway enters the game for T. Williams,,36-43,,
7:00.0,,,36-45,2,D. Jordan makes 2-pt shot at rim (assist by L. Williams)
6:43.0,M. Beasley makes 2-pt shot from 1 ft,2,38-45,,
6:43.0,Shooting foul by A. Rivers (drawn by M. Beasley),,38-45,,
6:43.0,M. Beasley misses free throw 1 of 1,,38-45,,
6:41.0,,,38-45,,Defensive rebound by T. Harris
6:30.0,,,38-47,2,L. Williams makes 2-pt shot from 5 ft
6:06.0,T. Burke makes 2-pt shot from 13 ft,2,40-47,,
6:04.0,,,40-47,,Turnover by D. Jordan (turnover)
6:04.0,E. Kanter enters the game for K. O'Quinn,,40-47,,
5:56.0,T. Hardaway makes 2-pt shot from 8 ft,2,42-47,,
5:46.0,,,42-47,,T. Harris misses 3-pt shot from 26 ft
5:43.0,Defensive rebound by E. Kanter,,42-47,,
5:35.0,T. Burke misses 2-pt shot from 16 ft,,42-47,,
5:32.0,Offensive rebound by E. Kanter,,42-47,,
5:31.0,E. Kanter makes 2-pt shot at rim,2,44-47,,
5:24.0,,,44-47,,Shooting foul by M. Beasley (drawn by L. Williams)
5:24.0,,,44-48,1,L. Williams makes free throw 1 of 2
5:24.0,L. Thomas enters the game for M. Beasley,,44-48,,
5:24.0,,,44-49,1,L. Williams makes free throw 2 of 2
5:13.0,T. Hardaway makes 2-pt shot from 10 ft,2,46-49,,
5:04.0,,,46-49,,L. Williams misses 2-pt shot from 4 ft (block by E. Kanter)
5:04.0,,,46-49,,Offensive rebound by Team
5:04.0,,,46-49,,C. Williams enters the game for L. Williams
4:59.0,,,46-49,,M. Teodosic misses 3-pt shot from 24 ft
4:54.0,,,46-49,,Offensive rebound by M. Teodosic
4:49.0,,,46-49,,Shooting foul by E. Kanter (drawn by T. Harris)
4:49.0,,,46-49,,T. Harris misses free throw 1 of 2
4:49.0,,,46-49,,Offensive rebound by Team
4:49.0,E. Mudiay enters the game for T. Burke,,46-49,,
4:49.0,,,46-50,1,T. Harris makes free throw 2 of 2
4:33.0,T. Hardaway misses 2-pt shot from 13 ft,,46-50,,
4:29.0,,,46-50,,Defensive rebound by D. Jordan
4:26.0,,,46-50,,Turnover by M. Teodosic (bad pass)
4:17.0,C. Lee makes 3-pt shot from 22 ft (assist by E. Mudiay),3,49-50,,
3:59.0,,,49-50,,A. Rivers misses 3-pt shot from 23 ft
3:55.0,,,49-50,,Offensive rebound by A. Rivers
3:51.0,,,49-53,3,M. Teodosic makes 3-pt shot from 23 ft (assist by T. Harris)
3:36.0,E. Mudiay misses 2-pt shot from 17 ft,,49-53,,
3:32.0,,,49-53,,Defensive rebound by D. Jordan
3:15.0,,,49-53,,A. Rivers misses 2-pt shot from 1 ft
3:13.0,Defensive rebound by T. Hardaway,,49-53,,
3:09.0,E. Kanter makes 2-pt shot at rim (assist by T. Hardaway),2,51-53,,
2:47.0,,,51-55,2,A. Rivers makes 2-pt shot from 1 ft (assist by T. Harris)
2:37.0,,,51-55,,Personal foul by C. Williams (drawn by L. Thomas)
2:37.0,New York full timeout,,51-55,,
2:37.0,,,51-55,,L. Williams enters the game for A. Rivers
2:23.0,T. Hardaway misses 3-pt shot from 25 ft,,51-55,,
2:18.0,,,51-55,,Defensive rebound by L. Williams
2:04.0,,,51-55,,C. Williams misses 3-pt shot from 24 ft
2:01.0,Defensive rebound by E. Mudiay,,51-55,,
1:42.0,E. Kanter makes 2-pt shot from 6 ft,2,53-55,,
1:23.0,,,53-57,2,L. Williams makes 2-pt shot from 18 ft (assist by D. Jordan)
1:06.0,C. Lee makes 3-pt shot from 24 ft (assist by E. Mudiay),3,56-57,,
0:54.0,,,56-57,,M. Teodosic misses 3-pt shot from 23 ft
0:52.0,Defensive rebound by T. Hardaway,,56-57,,
0:43.0,T. Hardaway makes 2-pt shot from 13 ft (assist by C. Lee),2,58-57,,
0:35.0,,,58-57,,L. Williams misses 2-pt shot from 17 ft
0:31.0,,,58-57,,Offensive rebound by D. Jordan
0:29.0,,,58-57,,D. Jordan misses 2-pt shot from 1 ft
0:27.0,Defensive rebound by L. Thomas,,58-57,,
0:25.0,E. Mudiay misses 2-pt shot from 1 ft (block by T. Harris),,58-57,,
0:25.0,Offensive rebound by Team,,58-57,,
0:25.0,,,58-57,,Technical foul by D. Jordan
0:25.0,C. Lee misses technical free throw,,58-57,,
0:25.0,Offensive rebound by Team,,58-57,,
0:09.0,T. Hardaway makes 2-pt shot at rim (assist by E. Mudiay),2,60-57,,
0:01.0,,,60-57,,L. Williams misses 3-pt shot from 25 ft
0:00.0,,,60-57,,Offensive rebound by C. Williams
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,60-60,3,T. Harris makes 3-pt shot from 25 ft (assist by A. Rivers)
11:14.0,E. Mudiay misses 2-pt shot from 7 ft,,60-60,,
11:12.0,,,60-60,,Defensive rebound by T. Harris
11:07.0,,,60-62,2,C. Williams makes 2-pt shot at rim (assist by T. Harris)
11:07.0,New York full timeout,,60-62,,
11:07.0,L. Thomas enters the game for M. Beasley,,60-62,,
10:49.0,L. Thomas misses 3-pt shot from 25 ft,,60-62,,
10:46.0,,,60-62,,Defensive rebound by D. Jordan
10:38.0,,,60-65,3,A. Rivers makes 3-pt shot from 25 ft
10:24.0,T. Hardaway misses 3-pt shot from 25 ft,,60-65,,
10:22.0,,,60-65,,Defensive rebound by A. Rivers
10:10.0,,,60-67,2,T. Harris makes 2-pt shot from 11 ft
9:57.0,E. Kanter misses 2-pt shot from 18 ft,,60-67,,
9:55.0,,,60-67,,Defensive rebound by D. Jordan
9:36.0,,,60-67,,C. Williams misses 2-pt shot from 2 ft
9:34.0,Defensive rebound by E. Kanter,,60-67,,
9:30.0,C. Lee makes 2-pt shot from 11 ft (assist by E. Mudiay),2,62-67,,
9:08.0,,,62-67,,T. Harris misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by E. Kanter,,62-67,,
8:54.0,T. Hardaway misses 3-pt shot from 25 ft,,62-67,,
8:51.0,,,62-67,,Defensive rebound by D. Jordan
8:42.0,,,62-67,,C. Williams misses 3-pt shot from 23 ft
8:39.0,,,62-67,,Offensive rebound by D. Jordan
8:36.0,,,62-70,3,A. Rivers makes 3-pt shot from 26 ft (assist by T. Harris)
8:17.0,E. Mudiay makes 2-pt shot from 17 ft (assist by T. Hardaway),2,64-70,,
8:01.0,,,64-72,2,M. Teodosic makes 2-pt shot from 20 ft (assist by D. Jordan)
7:43.0,Turnover by E. Mudiay (bad pass; steal by M. Teodosic),,64-72,,
7:43.0,Personal take foul by L. Thomas (drawn by M. Teodosic),,64-72,,
7:34.0,Personal foul by L. Thomas (drawn by M. Teodosic),,64-72,,
7:29.0,Personal foul by L. Thomas (drawn by A. Rivers),,64-72,,
7:20.0,,,64-75,3,A. Rivers makes 3-pt shot from 26 ft (assist by C. Williams)
6:59.0,T. Hardaway makes 2-pt shot from 4 ft,2,66-75,,
6:52.0,Personal foul by E. Mudiay (drawn by A. Rivers),,66-75,,
6:52.0,F. Ntilikina enters the game for E. Mudiay,,66-75,,
6:52.0,T. Burke enters the game for C. Lee,,66-75,,
6:47.0,,,66-75,,Shooting foul by E. Kanter (drawn by T. Harris)
6:47.0,,,66-76,1,T. Harris makes free throw 1 of 2
6:47.0,,,66-77,1,T. Harris makes free throw 2 of 2
6:32.0,Shooting foul by C. Williams (drawn by T. Hardaway),,66-77,,
6:32.0,T. Hardaway makes free throw 1 of 2,1,67-77,,
6:32.0,T. Hardaway makes free throw 2 of 2,1,68-77,,
6:18.0,,,68-80,3,A. Rivers makes 3-pt shot from 26 ft
6:05.0,T. Burke misses 2-pt shot from 6 ft (block by D. Jordan),,68-80,,
6:02.0,,,68-80,,Defensive rebound by D. Jordan
5:58.0,,,68-80,,C. Williams misses 2-pt shot from 6 ft
5:55.0,Defensive rebound by E. Kanter,,68-80,,
5:45.0,F. Ntilikina misses 2-pt shot from 20 ft,,68-80,,
5:45.0,,,68-80,,Defensive rebound by C. Williams
5:34.0,,,68-80,,Turnover by M. Teodosic (bad pass)
5:20.0,,,68-80,,Personal foul by C. Williams (drawn by T. Hardaway)
5:20.0,,,68-80,,L. Williams enters the game for C. Williams
5:10.0,E. Kanter misses 2-pt shot from 4 ft,,68-80,,
5:08.0,,,68-80,,Defensive rebound by D. Jordan
5:03.0,,,68-82,2,D. Jordan makes 2-pt shot at rim (assist by L. Williams)
5:02.0,New York full timeout,,68-82,,
5:02.0,K. O'Quinn enters the game for E. Kanter,,68-82,,
4:42.0,L. Thomas misses 3-pt shot from 22 ft,,68-82,,
4:39.0,,,68-82,,Defensive rebound by A. Rivers
4:26.0,,,68-82,,T. Harris misses 2-pt shot from 6 ft
4:21.0,Defensive rebound by K. O'Quinn,,68-82,,
4:12.0,F. Ntilikina misses 3-pt shot from 22 ft,,68-82,,
4:10.0,,,68-82,,Defensive rebound by D. Jordan
3:52.0,,,68-84,2,A. Rivers makes 2-pt shot at rim
3:33.0,F. Ntilikina misses 2-pt shot from 18 ft,,68-84,,
3:29.0,,,68-84,,Defensive rebound by D. Jordan
3:24.0,Personal foul by T. Hardaway (drawn by D. Jordan),,68-84,,
3:24.0,,,68-84,,D. Jordan misses free throw 1 of 2
3:24.0,,,68-84,,Offensive rebound by Team
3:24.0,T. Williams enters the game for L. Thomas,,68-84,,
3:24.0,,,68-84,,S. Thornwell enters the game for M. Teodosic
3:24.0,,,68-85,1,D. Jordan makes free throw 2 of 2
3:09.0,T. Burke makes 2-pt shot from 20 ft,2,70-85,,
2:52.0,,,70-87,2,L. Williams makes 2-pt shot from 15 ft
2:38.0,Turnover by T. Burke (bad pass),,70-87,,
2:38.0,,,70-87,,LA Clippers full timeout
2:21.0,,,70-87,,A. Rivers misses 2-pt shot from 1 ft
2:18.0,Defensive rebound by K. O'Quinn,,70-87,,
2:06.0,,,70-87,,Def 3 sec tech foul by S. Thornwell
2:06.0,T. Hardaway makes technical free throw,1,71-87,,
2:06.0,,,71-87,,W. Johnson enters the game for D. Jordan
2:06.0,,,71-87,,M. Harrell enters the game for A. Rivers
2:00.0,T. Burke misses 2-pt shot from 14 ft,,71-87,,
1:57.0,,,71-87,,Defensive rebound by T. Harris
1:52.0,,,71-87,,L. Williams misses 3-pt shot from 25 ft
1:47.0,Defensive rebound by T. Burke,,71-87,,
1:46.0,,,71-87,,Personal foul by W. Johnson (drawn by T. Burke)
1:30.0,T. Williams makes 3-pt shot from 22 ft (assist by T. Burke),3,74-87,,
1:11.0,,,74-89,2,T. Harris makes 2-pt shot from 7 ft
0:56.0,T. Hardaway makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,76-89,,
0:42.0,,,76-89,,Shooting foul by F. Ntilikina (drawn by L. Williams)
0:42.0,,,76-89,,L. Williams misses free throw 1 of 2
0:42.0,,,76-89,,Offensive rebound by Team
0:42.0,,,76-90,1,L. Williams makes free throw 2 of 2
0:27.0,T. Hardaway makes 2-pt shot from 1 ft (assist by T. Williams),2,78-90,,
0:10.0,Personal foul by K. O'Quinn (drawn by L. Williams),,78-90,,
0:10.0,,,78-91,1,L. Williams makes free throw 1 of 2
0:10.0,,,78-91,,S. Dekker enters the game for T. Harris
0:10.0,,,78-92,1,L. Williams makes free throw 2 of 2
0:01.0,T. Burke misses 2-pt shot from 1 ft,,78-92,,
0:01.0,Offensive rebound by T. Williams,,78-92,,
0:00.0,T. Williams misses 2-pt shot at rim,,78-92,,
0:00.0,,,78-92,,Defensive rebound by S. Dekker
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,78-92,,Personal foul by S. Dekker (drawn by K. O'Quinn)
11:28.0,T. Williams makes 2-pt shot from 1 ft (assist by E. Mudiay),2,80-92,,
11:05.0,,,80-94,2,W. Johnson makes 2-pt shot from 18 ft (assist by M. Harrell)
10:41.0,M. Beasley misses 2-pt shot from 3 ft,,80-94,,
10:39.0,,,80-94,,Defensive rebound by L. Williams
10:37.0,,,80-96,2,M. Harrell makes 2-pt shot at rim (assist by L. Williams)
10:28.0,K. O'Quinn misses 2-pt shot from 3 ft (block by W. Johnson),,80-96,,
10:28.0,C. Lee enters the game for T. Burke,,80-96,,
10:28.0,Jump ball: W. Johnson vs. K. O'Quinn (E. Mudiay gains possession),,,,Jump ball: W. Johnson vs. K. O'Quinn (E. Mudiay gains possession)
10:28.0,Defensive rebound by Team,,80-96,,
10:19.0,Shooting foul by W. Johnson (drawn by E. Mudiay),,80-96,,
10:19.0,E. Mudiay makes free throw 1 of 2,1,81-96,,
10:19.0,E. Mudiay misses free throw 2 of 2,,81-96,,
10:16.0,,,81-96,,Defensive rebound by S. Dekker
10:05.0,,,81-98,2,M. Harrell makes 2-pt shot from 7 ft (assist by L. Williams)
9:42.0,Shooting foul by S. Thornwell (drawn by E. Mudiay),,81-98,,
9:42.0,E. Mudiay makes free throw 1 of 2,1,82-98,,
9:42.0,E. Mudiay makes free throw 2 of 2,1,83-98,,
9:34.0,,,83-98,,Shooting foul by K. O'Quinn (drawn by L. Williams)
9:34.0,,,83-99,1,L. Williams makes free throw 1 of 2
9:34.0,,,83-99,,M. Teodosic enters the game for W. Johnson
9:34.0,,,83-100,1,L. Williams makes free throw 2 of 2
9:24.0,M. Beasley misses 2-pt shot from 7 ft,,83-100,,
9:21.0,,,83-100,,Defensive rebound by M. Harrell
9:16.0,,,83-100,,S. Thornwell misses 2-pt shot from 2 ft
9:16.0,Defensive rebound by Team,,83-100,,
9:16.0,,,83-100,,Loose ball foul by M. Harrell (drawn by K. O'Quinn)
8:59.0,M. Beasley makes 2-pt shot at rim,2,85-100,,
8:41.0,,,85-100,,L. Williams misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by M. Beasley,,85-100,,
8:23.0,Turnover by K. O'Quinn (lost ball; steal by S. Thornwell),,85-100,,
8:18.0,,,85-102,2,M. Harrell makes 2-pt shot from 1 ft (assist by M. Teodosic)
8:02.0,C. Lee misses 3-pt shot from 22 ft,,85-102,,
7:58.0,,,85-102,,Defensive rebound by S. Dekker
7:54.0,,,85-104,2,S. Dekker makes 2-pt shot from 1 ft (assist by M. Teodosic)
7:53.0,New York full timeout,,85-104,,
7:53.0,,,85-104,,A. Rivers enters the game for S. Thornwell
7:53.0,E. Kanter enters the game for K. O'Quinn,,85-104,,
7:38.0,Turnover by E. Mudiay (bad pass; steal by M. Teodosic),,85-104,,
7:35.0,,,85-106,2,S. Dekker makes 2-pt shot at rim (assist by M. Harrell)
7:09.0,E. Mudiay misses 2-pt shot from 18 ft,,85-106,,
7:05.0,,,85-106,,Defensive rebound by L. Williams
6:57.0,,,85-108,2,M. Harrell makes 2-pt shot at rim (assist by L. Williams)
6:46.0,M. Beasley misses 2-pt shot from 6 ft,,85-108,,
6:41.0,Offensive rebound by E. Kanter,,85-108,,
6:41.0,E. Kanter misses 2-pt shot at rim,,85-108,,
6:40.0,,,85-108,,Defensive rebound by A. Rivers
6:38.0,,,85-110,2,M. Harrell makes 2-pt shot from 1 ft (assist by L. Williams)
6:38.0,New York full timeout,,85-110,,
6:38.0,T. Hardaway enters the game for T. Williams,,85-110,,
6:38.0,F. Ntilikina enters the game for E. Mudiay,,85-110,,
6:38.0,L. Kornet enters the game for C. Lee,,85-110,,
6:38.0,D. Dotson enters the game for M. Beasley,,85-110,,
6:20.0,Turnover by L. Kornet (bad pass; steal by M. Harrell),,85-110,,
6:11.0,,,85-110,,L. Williams misses 3-pt shot from 28 ft
6:07.0,Defensive rebound by E. Kanter,,85-110,,
6:00.0,E. Kanter makes 2-pt shot from 9 ft (assist by F. Ntilikina),2,87-110,,
5:44.0,,,87-110,,M. Harrell misses 2-pt shot from 9 ft
5:41.0,,,87-110,,Offensive rebound by M. Harrell
5:40.0,,,87-112,2,M. Harrell makes 2-pt shot from 6 ft
5:23.0,D. Dotson misses 2-pt shot from 6 ft,,87-112,,
5:20.0,,,87-112,,Defensive rebound by M. Harrell
5:14.0,,,87-112,,B. Marjanovic enters the game for M. Harrell
5:09.0,,,87-112,,Turnover by A. Rivers (bad pass; steal by E. Kanter)
5:04.0,D. Dotson makes 2-pt shot from 6 ft,2,89-112,,
4:39.0,,,89-112,,S. Dekker misses 2-pt shot from 3 ft
4:36.0,,,89-112,,Offensive rebound by B. Marjanovic
4:36.0,,,89-114,2,B. Marjanovic makes 2-pt shot at rim
4:26.0,E. Kanter misses 2-pt shot from 12 ft,,89-114,,
4:24.0,,,89-114,,Defensive rebound by S. Dekker
4:17.0,,,89-114,,L. Williams misses 3-pt shot from 28 ft
4:14.0,,,89-114,,Offensive rebound by B. Marjanovic
4:14.0,Personal foul by E. Kanter (drawn by B. Marjanovic),,89-114,,
4:14.0,,,89-114,,S. Thornwell enters the game for M. Teodosic
4:14.0,,,89-114,,W. Johnson enters the game for L. Williams
