time,Miami,pts.away,score,pts.home,Detroit
8:52.0,G. Dragic misses 2-pt shot from 14 ft,,5-7,,
8:48.0,,,5-7,,Defensive rebound by A. Drummond
8:46.0,,,5-7,,Turnover by A. Drummond (bad pass; steal by K. Olynyk)
8:23.0,J. Winslow misses 2-pt shot from 21 ft,,5-7,,
8:21.0,,,5-7,,Defensive rebound by A. Drummond
8:17.0,,,5-7,,S. Johnson misses 3-pt shot from 26 ft
8:13.0,Defensive rebound by B. Adebayo,,5-7,,
8:04.0,B. Adebayo makes 2-pt shot at rim (assist by G. Dragic),2,7-7,,
7:52.0,,,7-7,,Detroit full timeout
7:34.0,,,7-9,2,A. Drummond makes 2-pt shot from 3 ft (assist by B. Griffin)
7:15.0,B. Adebayo misses 2-pt shot from 6 ft,,7-9,,
7:11.0,,,7-9,,Defensive rebound by B. Griffin
7:03.0,,,7-9,,I. Smith misses 2-pt shot from 6 ft (block by J. Richardson)
6:59.0,Defensive rebound by K. Olynyk,,7-9,,
6:55.0,,,7-9,,Personal foul by R. Bullock (drawn by B. Adebayo)
6:49.0,J. Richardson makes 2-pt shot from 3 ft,2,9-9,,
6:28.0,,,9-9,,B. Griffin misses 3-pt shot from 26 ft
6:28.0,,,9-9,,Offensive rebound by A. Drummond
6:22.0,,,9-11,2,A. Drummond makes 2-pt shot from 4 ft
6:04.0,G. Dragic misses 3-pt shot from 25 ft,,9-11,,
6:01.0,,,9-11,,Defensive rebound by A. Drummond
5:53.0,,,9-13,2,I. Smith makes 2-pt shot from 1 ft
5:46.0,Miami full timeout,,9-13,,
5:46.0,,,9-13,,H. Ellenson enters the game for A. Drummond
5:46.0,,,9-13,,L. Galloway enters the game for R. Bullock
5:46.0,J. Johnson enters the game for J. Richardson,,9-13,,
5:46.0,W. Ellington enters the game for K. Olynyk,,9-13,,
5:31.0,G. Dragic makes 2-pt shot from 1 ft,2,11-13,,
4:59.0,,,11-15,2,I. Smith makes 2-pt shot from 18 ft
4:44.0,W. Ellington misses 3-pt shot from 24 ft,,11-15,,
4:44.0,,,11-15,,Defensive rebound by I. Smith
4:33.0,,,11-15,,H. Ellenson misses 2-pt shot from 3 ft
4:30.0,,,11-15,,B. Griffin misses 2-pt shot from 1 ft
4:30.0,,,11-15,,Offensive rebound by B. Griffin
4:30.0,,,11-15,,Offensive rebound by B. Griffin
4:29.0,,,11-15,,B. Griffin misses 2-pt shot from 1 ft
4:29.0,,,11-15,,Offensive rebound by B. Griffin
4:28.0,,,11-15,,B. Griffin misses 2-pt shot from 1 ft
4:28.0,,,11-15,,Offensive rebound by B. Griffin
4:24.0,,,11-17,2,B. Griffin makes 2-pt shot from 1 ft
4:16.0,Shooting foul by B. Griffin (drawn by B. Adebayo),,11-17,,
4:16.0,B. Adebayo misses free throw 1 of 2,,11-17,,
4:16.0,Offensive rebound by Team,,11-17,,
4:16.0,T. Johnson enters the game for J. Winslow,,11-17,,
4:16.0,B. Adebayo misses free throw 2 of 2,,11-17,,
4:11.0,Jump ball: I. Smith vs. W. Ellington (B. Griffin gains possession),,,,Jump ball: I. Smith vs. W. Ellington (B. Griffin gains possession)
4:11.0,,,11-17,,Offensive rebound by Team
3:59.0,,,11-17,,Shooting foul by J. Johnson (drawn by B. Griffin)
3:59.0,,,11-17,,B. Griffin misses free throw 1 of 2
3:59.0,,,11-17,,Offensive rebound by Team
3:59.0,,,11-18,1,B. Griffin makes free throw 2 of 2
3:47.0,G. Dragic misses 2-pt shot from 11 ft,,11-18,,
3:45.0,,,11-18,,Defensive rebound by B. Griffin
3:45.0,Personal foul by B. Adebayo (drawn by B. Griffin),,11-18,,
3:45.0,K. Olynyk enters the game for B. Adebayo,,11-18,,
3:26.0,,,11-21,3,L. Galloway makes 3-pt shot from 27 ft (assist by B. Griffin)
3:13.0,J. Johnson makes 3-pt shot from 26 ft (assist by T. Johnson),3,14-21,,
2:51.0,,,14-21,,Turnover by L. Galloway (bad pass; steal by T. Johnson)
2:41.0,K. Olynyk misses 2-pt shot from 3 ft,,14-21,,
2:40.0,Offensive rebound by K. Olynyk,,14-21,,
2:37.0,K. Olynyk makes 2-pt shot from 1 ft,2,16-21,,
2:14.0,,,16-23,2,I. Smith makes 2-pt shot from 12 ft (assist by B. Griffin)
1:56.0,J. Johnson makes 2-pt shot from 2 ft (assist by K. Olynyk),2,18-23,,
1:41.0,,,18-23,,H. Ellenson misses 2-pt shot from 1 ft
1:38.0,,,18-23,,Offensive rebound by H. Ellenson
1:31.0,,,18-23,,Turnover by B. Griffin (bad pass; steal by W. Ellington)
1:29.0,W. Ellington makes 2-pt shot from 1 ft,2,20-23,,
1:29.0,Shooting foul by S. Johnson (drawn by W. Ellington),,20-23,,
1:29.0,,,20-23,,R. Bullock enters the game for S. Johnson
1:29.0,,,20-23,,A. Tolliver enters the game for I. Smith
1:29.0,,,20-23,,A. Drummond enters the game for B. Griffin
1:29.0,J. Richardson enters the game for G. Dragic,,20-23,,
1:29.0,W. Ellington makes free throw 1 of 1,1,21-23,,
1:17.0,,,21-25,2,A. Drummond makes 2-pt shot from 2 ft (assist by L. Galloway)
1:03.0,W. Ellington misses 3-pt shot from 26 ft,,21-25,,
0:59.0,,,21-25,,Defensive rebound by A. Drummond
0:54.0,,,21-27,2,L. Galloway makes 2-pt shot from 17 ft
0:36.0,K. Olynyk makes 2-pt shot from 2 ft (assist by W. Ellington),2,23-27,,
0:24.0,,,23-27,,H. Ellenson misses 3-pt shot from 26 ft
0:20.0,Defensive rebound by W. Ellington,,23-27,,
0:05.0,J. Richardson misses 2-pt shot from 1 ft (block by A. Drummond),,23-27,,
0:04.0,Offensive rebound by Team,,23-27,,
0:02.0,J. Johnson makes 3-pt shot from 25 ft (assist by J. Richardson),3,26-27,,
0:00.0,,,26-27,,L. Galloway misses 3-pt shot from 40 ft
0:00.0,,,26-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,T. Johnson misses 2-pt shot from 10 ft (block by A. Drummond),,26-27,,
11:42.0,Offensive rebound by J. Johnson,,26-27,,
11:40.0,J. Johnson makes 2-pt shot from 9 ft,2,28-27,,
11:40.0,Shooting foul by H. Ellenson (drawn by J. Johnson),,28-27,,
11:40.0,J. Johnson makes free throw 1 of 1,1,29-27,,
11:29.0,,,29-27,,A. Drummond misses 2-pt shot from 4 ft
11:26.0,Defensive rebound by T. Johnson,,29-27,,
11:19.0,Turnover by T. Johnson (bad pass; steal by A. Drummond),,29-27,,
11:14.0,,,29-27,,R. Bullock misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by J. Johnson,,29-27,,
10:54.0,J. Richardson makes 3-pt shot from 26 ft (assist by J. Johnson),3,32-27,,
10:34.0,,,32-27,,Turnover by R. Bullock (bad pass; steal by W. Ellington)
10:24.0,J. Johnson misses 3-pt shot from 26 ft,,32-27,,
10:20.0,,,32-27,,Defensive rebound by A. Tolliver
10:17.0,,,32-27,,R. Bullock misses 3-pt shot from 25 ft
10:14.0,,,32-27,,Offensive rebound by A. Drummond
10:14.0,,,32-27,,Turnover by A. Drummond (lost ball; steal by J. Richardson)
10:14.0,,,32-27,,Personal foul by A. Drummond (drawn by J. Richardson)
9:52.0,Turnover by K. Olynyk (lost ball; steal by A. Drummond),,32-27,,
9:44.0,,,32-27,,Turnover by A. Drummond (lost ball; steal by T. Johnson)
9:39.0,K. Olynyk makes 2-pt shot at rim (assist by J. Richardson),2,34-27,,
9:32.0,,,34-27,,Detroit full timeout
9:32.0,,,34-27,,S. Johnson enters the game for H. Ellenson
9:21.0,,,34-30,3,R. Bullock makes 3-pt shot from 25 ft (assist by L. Galloway)
9:00.0,W. Ellington misses 3-pt shot from 26 ft,,34-30,,
8:57.0,Offensive rebound by J. Johnson,,34-30,,
8:57.0,J. Johnson misses 2-pt shot from 1 ft,,34-30,,
8:57.0,Offensive rebound by Team,,34-30,,
8:55.0,K. Olynyk misses 3-pt shot from 27 ft,,34-30,,
8:50.0,,,34-30,,Defensive rebound by R. Bullock
8:44.0,,,34-30,,Turnover by S. Johnson (bad pass; steal by J. Richardson)
8:37.0,Turnover by T. Johnson (bad pass),,34-30,,
8:26.0,,,34-30,,L. Galloway misses 3-pt shot from 27 ft
8:22.0,Defensive rebound by K. Olynyk,,34-30,,
8:08.0,K. Olynyk makes 2-pt shot from 3 ft,2,36-30,,
7:51.0,,,36-30,,Turnover by R. Bullock (bad pass; steal by J. Johnson)
7:43.0,T. Johnson misses 3-pt shot from 23 ft,,36-30,,
7:41.0,,,36-30,,Defensive rebound by S. Johnson
7:37.0,,,36-30,,Shooting foul by J. Richardson (drawn by S. Johnson)
7:37.0,,,36-31,1,S. Johnson makes free throw 1 of 2
7:37.0,,,36-31,,B. Griffin enters the game for L. Galloway
7:37.0,,,36-31,,I. Smith enters the game for A. Tolliver
7:37.0,,,36-32,1,S. Johnson makes free throw 2 of 2
7:17.0,W. Ellington misses 3-pt shot from 24 ft,,36-32,,
7:14.0,,,36-32,,Defensive rebound by S. Johnson
6:58.0,,,36-34,2,A. Drummond makes 2-pt shot from 1 ft (assist by S. Johnson)
6:51.0,Miami full timeout,,36-34,,
6:51.0,G. Dragic enters the game for J. Richardson,,36-34,,
6:46.0,T. Johnson makes 3-pt shot from 26 ft (assist by K. Olynyk),3,39-34,,
6:18.0,,,39-34,,B. Griffin misses 3-pt shot from 30 ft
6:15.0,,,39-34,,Offensive rebound by A. Drummond
6:12.0,,,39-36,2,B. Griffin makes 2-pt shot from 1 ft (assist by A. Drummond)
5:50.0,K. Olynyk misses 3-pt shot from 26 ft,,39-36,,
5:48.0,,,39-36,,Defensive rebound by I. Smith
5:44.0,,,39-36,,Shooting foul by W. Ellington (drawn by I. Smith)
5:44.0,,,39-37,1,I. Smith makes free throw 1 of 2
5:44.0,,,39-37,,A. Tolliver enters the game for S. Johnson
5:44.0,J. Winslow enters the game for W. Ellington,,39-37,,
5:44.0,B. Adebayo enters the game for K. Olynyk,,39-37,,
5:44.0,,,39-38,1,I. Smith makes free throw 2 of 2
5:23.0,G. Dragic misses 2-pt shot from 8 ft,,39-38,,
5:20.0,,,39-38,,Defensive rebound by A. Drummond
5:07.0,,,39-38,,B. Griffin misses 2-pt shot from 2 ft
5:05.0,Defensive rebound by G. Dragic,,39-38,,
5:01.0,G. Dragic misses 2-pt shot at rim,,39-38,,
4:56.0,Offensive rebound by B. Adebayo,,39-38,,
4:56.0,B. Adebayo misses 2-pt shot at rim,,39-38,,
4:55.0,,,39-38,,Defensive rebound by R. Bullock
4:48.0,,,39-40,2,B. Griffin makes 2-pt shot at rim
4:30.0,Turnover by J. Winslow (lost ball; steal by B. Griffin),,39-40,,
4:25.0,,,39-42,2,I. Smith makes 2-pt shot from 2 ft
4:07.0,T. Johnson misses 2-pt shot from 21 ft,,39-42,,
4:06.0,,,39-42,,Defensive rebound by Team
3:55.0,,,39-44,2,I. Smith makes 2-pt shot at rim
3:36.0,G. Dragic makes 2-pt shot from 1 ft (assist by J. Johnson),2,41-44,,
3:31.0,,,41-44,,Technical foul by A. Drummond
3:31.0,G. Dragic makes technical free throw,1,42-44,,
3:31.0,J. Richardson enters the game for J. Johnson,,42-44,,
3:23.0,,,42-44,,Turnover by I. Smith (bad pass; steal by G. Dragic)
3:20.0,G. Dragic makes 2-pt shot from 1 ft,2,44-44,,
3:08.0,,,44-46,2,A. Drummond makes 2-pt shot from 1 ft (assist by B. Griffin)
2:56.0,J. Richardson misses 3-pt shot from 23 ft,,44-46,,
2:53.0,,,44-46,,Defensive rebound by B. Griffin
2:49.0,,,44-46,,R. Bullock misses 3-pt shot from 26 ft
2:44.0,Defensive rebound by B. Adebayo,,44-46,,
2:29.0,J. Winslow misses 3-pt shot from 22 ft,,44-46,,
2:26.0,,,44-46,,Defensive rebound by A. Tolliver
2:22.0,,,44-49,3,A. Tolliver makes 3-pt shot from 26 ft (assist by R. Bullock)
1:59.0,G. Dragic makes 2-pt shot from 13 ft,2,46-49,,
1:43.0,,,46-51,2,B. Griffin makes 2-pt shot at rim (assist by I. Smith)
1:25.0,,,46-51,,Personal foul by A. Tolliver (drawn by T. Johnson)
1:25.0,,,46-51,,W. Reed enters the game for A. Drummond
1:25.0,K. Olynyk enters the game for B. Adebayo,,46-51,,
1:18.0,J. Richardson makes 2-pt shot from 4 ft,2,48-51,,
0:59.0,,,48-51,,B. Griffin misses 3-pt shot from 27 ft
0:56.0,Defensive rebound by J. Richardson,,48-51,,
0:55.0,Turnover by J. Richardson (bad pass),,48-51,,
0:55.0,,,48-51,,L. Galloway enters the game for A. Tolliver
0:55.0,W. Ellington enters the game for T. Johnson,,48-51,,
0:39.0,,,48-51,,B. Griffin misses 2-pt shot from 4 ft (block by J. Winslow)
0:37.0,Defensive rebound by J. Winslow,,48-51,,
0:25.0,K. Olynyk makes 2-pt shot from 5 ft (assist by G. Dragic),2,50-51,,
0:07.0,Personal foul by J. Richardson,,50-51,,
0:07.0,Technical foul by J. Richardson,,50-51,,
0:07.0,,,50-52,1,L. Galloway makes technical free throw
0:00.0,,,50-54,2,I. Smith makes 2-pt shot from 21 ft (assist by B. Griffin)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,K. Olynyk misses 2-pt shot from 13 ft,,50-54,,
11:35.0,,,50-54,,Defensive rebound by A. Drummond
11:15.0,,,50-56,2,A. Drummond makes 2-pt shot from 4 ft
10:55.0,G. Dragic misses 2-pt shot from 14 ft,,50-56,,
10:52.0,,,50-56,,Defensive rebound by A. Drummond
10:37.0,,,50-56,,I. Smith misses 2-pt shot from 14 ft
10:34.0,Defensive rebound by J. Winslow,,50-56,,
10:27.0,J. Winslow misses 2-pt shot from 7 ft (block by A. Drummond),,50-56,,
10:24.0,,,50-56,,Defensive rebound by S. Johnson
10:21.0,,,50-56,,S. Johnson misses 2-pt shot from 3 ft
10:19.0,Defensive rebound by J. Winslow,,50-56,,
10:09.0,G. Dragic makes 2-pt shot from 14 ft (assist by K. Olynyk),2,52-56,,
9:42.0,,,52-56,,Turnover by A. Drummond (lost ball; steal by J. Winslow)
9:37.0,Turnover by J. Richardson (bad pass; steal by R. Bullock),,52-56,,
9:27.0,,,52-56,,B. Griffin misses 2-pt shot from 17 ft
9:25.0,Defensive rebound by K. Olynyk,,52-56,,
9:17.0,K. Olynyk makes 3-pt shot from 27 ft (assist by J. Richardson),3,55-56,,
8:49.0,,,55-56,,S. Johnson misses 2-pt shot from 3 ft
8:47.0,Defensive rebound by J. Winslow,,55-56,,
8:43.0,G. Dragic makes 2-pt shot from 13 ft (assist by J. Winslow),2,57-56,,
8:41.0,,,57-56,,Detroit full timeout
8:28.0,,,57-56,,R. Bullock misses 2-pt shot from 9 ft (block by G. Dragic)
8:24.0,,,57-56,,Offensive rebound by A. Drummond
8:23.0,,,57-56,,A. Drummond misses 2-pt shot from 1 ft
8:23.0,Defensive rebound by K. Olynyk,,57-56,,
8:11.0,J. Winslow misses 2-pt shot from 3 ft (block by A. Drummond),,57-56,,
8:09.0,,,57-56,,Defensive rebound by A. Drummond
8:09.0,,,57-56,,Turnover by A. Drummond (out of bounds lost ball)
8:02.0,G. Dragic misses 2-pt shot from 16 ft,,57-56,,
7:58.0,Offensive rebound by K. Olynyk,,57-56,,
7:57.0,K. Olynyk makes 2-pt shot from 1 ft,2,59-56,,
7:44.0,Personal foul by G. Dragic (drawn by R. Bullock),,59-56,,
7:37.0,,,59-58,2,I. Smith makes 2-pt shot from 1 ft
7:37.0,Violation by K. Olynyk (def goaltending),,59-58,,
7:19.0,G. Dragic makes 3-pt shot from 28 ft (assist by J. Richardson),3,62-58,,
7:00.0,,,62-58,,Shooting foul by J. Winslow (drawn by S. Johnson)
7:00.0,,,62-59,1,S. Johnson makes free throw 1 of 2
7:00.0,,,62-60,1,S. Johnson makes free throw 2 of 2
6:45.0,Turnover by K. Olynyk (bad pass; steal by A. Drummond),,62-60,,
6:39.0,,,62-62,2,S. Johnson makes 2-pt shot at rim
6:28.0,G. Dragic makes 3-pt shot from 27 ft (assist by J. Winslow),3,65-62,,
6:13.0,,,65-62,,B. Griffin misses 3-pt shot from 26 ft
6:09.0,,,65-62,,Offensive rebound by A. Drummond
6:06.0,,,65-64,2,A. Drummond makes 2-pt shot at rim (assist by I. Smith)
5:55.0,B. Adebayo makes 2-pt shot at rim (assist by J. Winslow),2,67-64,,
5:31.0,,,67-66,2,I. Smith makes 2-pt shot from 5 ft
5:12.0,,,67-66,,A. Tolliver enters the game for A. Drummond
5:11.0,Miami full timeout,,67-66,,
5:11.0,W. Ellington enters the game for J. Richardson,,67-66,,
5:08.0,K. Olynyk makes 2-pt shot at rim (assist by G. Dragic),2,69-66,,
4:43.0,,,69-66,,S. Johnson misses 3-pt shot from 26 ft
4:40.0,Defensive rebound by W. Ellington,,69-66,,
4:30.0,G. Dragic makes 2-pt shot from 1 ft,2,71-66,,
4:13.0,,,71-66,,A. Tolliver misses 3-pt shot from 23 ft
4:10.0,Defensive rebound by W. Ellington,,71-66,,
3:56.0,W. Ellington misses 3-pt shot from 23 ft,,71-66,,
3:54.0,,,71-66,,Defensive rebound by B. Griffin
3:48.0,,,71-66,,B. Griffin misses 2-pt shot from 3 ft (block by B. Adebayo)
3:43.0,Defensive rebound by G. Dragic,,71-66,,
3:38.0,K. Olynyk misses 2-pt shot from 17 ft,,71-66,,
3:36.0,,,71-66,,Defensive rebound by R. Bullock
3:32.0,,,71-69,3,R. Bullock makes 3-pt shot from 26 ft (assist by S. Johnson)
3:08.0,B. Adebayo misses 2-pt shot from 4 ft,,71-69,,
3:06.0,,,71-69,,Defensive rebound by S. Johnson
3:01.0,,,71-71,2,S. Johnson makes 2-pt shot at rim
2:40.0,G. Dragic misses 2-pt shot from 16 ft,,71-71,,
2:36.0,,,71-71,,Defensive rebound by S. Johnson
2:35.0,,,71-71,,Turnover by S. Johnson (lost ball; steal by G. Dragic)
2:34.0,G. Dragic makes 2-pt shot at rim,2,73-71,,
2:34.0,Shooting foul by B. Griffin (drawn by G. Dragic),,73-71,,
2:34.0,,,73-71,,L. Galloway enters the game for I. Smith
2:34.0,J. Johnson enters the game for K. Olynyk,,73-71,,
2:34.0,G. Dragic makes free throw 1 of 1,1,74-71,,
2:10.0,,,74-71,,B. Griffin misses 2-pt shot from 8 ft
2:07.0,Defensive rebound by J. Winslow,,74-71,,
2:00.0,J. Winslow misses 2-pt shot from 5 ft (block by L. Galloway),,74-71,,
1:57.0,,,74-71,,Defensive rebound by A. Tolliver
1:39.0,,,74-71,,S. Johnson misses 2-pt shot from 5 ft
1:35.0,,,74-71,,Offensive rebound by A. Tolliver
1:34.0,,,74-73,2,A. Tolliver makes 2-pt shot from 1 ft
1:15.0,Turnover by J. Winslow (bad pass),,74-73,,
1:15.0,,,74-73,,A. Drummond enters the game for B. Griffin
1:15.0,K. Olynyk enters the game for G. Dragic,,74-73,,
1:15.0,J. Richardson enters the game for B. Adebayo,,74-73,,
1:15.0,T. Johnson enters the game for J. Winslow,,74-73,,
1:04.0,,,74-73,,A. Tolliver misses 3-pt shot from 26 ft
0:59.0,Defensive rebound by J. Johnson,,74-73,,
0:52.0,Turnover by J. Johnson (lost ball; steal by A. Drummond),,74-73,,
0:42.0,Personal foul by J. Johnson (drawn by A. Drummond),,74-73,,
0:33.0,,,74-73,,A. Drummond misses 2-pt shot from 4 ft
0:32.0,,,74-73,,Offensive rebound by Team
0:27.0,,,74-73,,Turnover by Team (shot clock)
0:04.0,J. Johnson makes 3-pt shot from 22 ft (assist by K. Olynyk),3,77-73,,
0:01.0,,,77-76,3,L. Galloway makes 3-pt shot from 26 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,77-76,,Turnover by S. Johnson (bad pass; steal by J. Johnson)
11:48.0,Turnover by J. Johnson (bad pass),,77-76,,
11:40.0,,,77-78,2,L. Galloway makes 2-pt shot from 14 ft (assist by A. Tolliver)
11:23.0,Turnover by J. Johnson (bad pass; steal by I. Smith),,77-78,,
11:19.0,,,77-78,,L. Galloway misses 3-pt shot from 27 ft
11:12.0,,,77-78,,Offensive rebound by A. Drummond
11:12.0,,,77-80,2,A. Drummond makes 2-pt shot at rim
10:52.0,K. Olynyk misses 3-pt shot from 26 ft,,77-80,,
10:49.0,,,77-80,,Defensive rebound by A. Drummond
10:44.0,,,77-82,2,A. Tolliver makes 2-pt shot from 1 ft (assist by I. Smith)
10:18.0,J. Johnson misses 3-pt shot from 29 ft,,77-82,,
10:14.0,,,77-82,,Defensive rebound by S. Johnson
10:05.0,,,77-84,2,A. Drummond makes 2-pt shot from 1 ft (assist by I. Smith)
10:05.0,Miami full timeout,,77-84,,
9:48.0,J. Richardson makes 2-pt shot from 1 ft (assist by K. Olynyk),2,79-84,,
9:33.0,,,79-84,,L. Galloway misses 3-pt shot from 27 ft
9:30.0,Defensive rebound by K. Olynyk,,79-84,,
9:20.0,J. Richardson makes 3-pt shot from 27 ft (assist by J. Johnson),3,82-84,,
9:04.0,,,82-84,,Shooting foul by W. Ellington (drawn by L. Galloway)
9:04.0,,,82-85,1,L. Galloway makes free throw 1 of 2
9:04.0,,,82-86,1,L. Galloway makes free throw 2 of 2
8:47.0,J. Richardson makes 2-pt shot from 1 ft (assist by T. Johnson),2,84-86,,
8:30.0,,,84-88,2,A. Drummond makes 2-pt shot from 2 ft (assist by I. Smith)
8:30.0,,,84-88,,Shooting foul by T. Johnson (drawn by A. Drummond)
8:30.0,,,84-88,,A. Drummond misses free throw 1 of 1
8:30.0,,,84-88,,R. Bullock enters the game for S. Johnson
8:25.0,Defensive rebound by K. Olynyk,,84-88,,
8:17.0,J. Johnson makes 2-pt shot at rim (assist by J. Richardson),2,86-88,,
7:57.0,,,86-91,3,A. Tolliver makes 3-pt shot from 25 ft (assist by L. Galloway)
7:37.0,J. Richardson misses 2-pt shot at rim,,86-91,,
7:35.0,,,86-91,,Defensive rebound by A. Drummond
7:27.0,,,86-93,2,R. Bullock makes 2-pt shot from 6 ft
7:26.0,Miami full timeout,,86-93,,
7:26.0,,,86-93,,B. Griffin enters the game for A. Drummond
7:13.0,W. Ellington makes 3-pt shot from 26 ft (assist by J. Johnson),3,89-93,,
6:57.0,Personal foul by W. Ellington (drawn by R. Bullock),,89-93,,
6:57.0,G. Dragic enters the game for T. Johnson,,89-93,,
6:44.0,,,89-93,,Offensive charge foul by B. Griffin (drawn by J. Richardson)
6:44.0,,,89-93,,Turnover by B. Griffin (offensive foul)
6:33.0,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Johnson),2,91-93,,
6:09.0,,,91-93,,Turnover by B. Griffin (lost ball; steal by J. Richardson)
6:05.0,W. Ellington makes 2-pt shot from 1 ft (assist by G. Dragic),2,93-93,,
5:46.0,,,93-96,3,A. Tolliver makes 3-pt shot from 26 ft (assist by L. Galloway)
5:26.0,K. Olynyk misses 3-pt shot from 27 ft,,93-96,,
5:19.0,,,93-96,,Defensive rebound by A. Tolliver
5:09.0,,,93-96,,A. Tolliver misses 2-pt shot from 1 ft
5:07.0,Defensive rebound by W. Ellington,,93-96,,
4:57.0,G. Dragic makes 3-pt shot from 26 ft (assist by J. Johnson),3,96-96,,
4:55.0,,,96-96,,Detroit full timeout
4:55.0,,,96-96,,S. Johnson enters the game for L. Galloway
4:55.0,,,96-96,,A. Drummond enters the game for R. Bullock
4:36.0,,,96-96,,I. Smith misses 2-pt shot from 4 ft
4:34.0,,,96-96,,Offensive rebound by A. Drummond
4:32.0,,,96-96,,Turnover by A. Drummond (out of bounds lost ball)
4:16.0,W. Ellington makes 3-pt shot from 26 ft (assist by J. Johnson),3,99-96,,
3:57.0,,,99-98,2,S. Johnson makes 2-pt shot from 1 ft (assist by I. Smith)
3:45.0,J. Johnson misses 3-pt shot from 22 ft,,99-98,,
3:45.0,Offensive rebound by W. Ellington,,99-98,,
3:28.0,J. Johnson misses 2-pt shot from 16 ft,,99-98,,
3:24.0,,,99-98,,Defensive rebound by S. Johnson
3:20.0,,,99-100,2,S. Johnson makes 2-pt shot from 6 ft
3:20.0,,,99-100,,Shooting foul by G. Dragic (drawn by S. Johnson)
3:20.0,,,99-101,1,S. Johnson makes free throw 1 of 1
2:56.0,G. Dragic makes 2-pt shot from 16 ft,2,101-101,,
2:33.0,,,101-103,2,I. Smith makes 2-pt shot from 14 ft
2:18.0,G. Dragic misses 3-pt shot from 27 ft,,101-103,,
2:15.0,,,101-103,,Defensive rebound by B. Griffin
2:11.0,,,101-105,2,A. Drummond makes 2-pt shot from 1 ft (assist by B. Griffin)
1:59.0,Miami full timeout,,101-105,,
1:47.0,,,101-105,,Personal foul by B. Griffin (drawn by K. Olynyk)
1:32.0,Turnover by Team (shot clock),,101-105,,
1:24.0,,,101-105,,Turnover by A. Tolliver (out of bounds lost ball)
1:07.0,J. Richardson misses 3-pt shot from 24 ft,,101-105,,
1:00.0,,,101-105,,Defensive rebound by A. Drummond
0:43.0,,,101-108,3,B. Griffin makes 3-pt shot from 26 ft (assist by I. Smith)
0:32.0,G. Dragic makes 3-pt shot from 24 ft (assist by J. Richardson),3,104-108,,
0:32.0,Shooting foul by I. Smith (drawn by G. Dragic),,104-108,,
0:32.0,,,104-108,,R. Bullock enters the game for S. Johnson
0:32.0,B. Adebayo enters the game for W. Ellington,,104-108,,
0:32.0,T. Johnson enters the game for K. Olynyk,,104-108,,
0:32.0,G. Dragic makes free throw 1 of 1,1,105-108,,
