time,Dallas,pts.away,score,pts.home,Denver
2:41.0,H. Barnes makes free throw 2 of 2,1,25-22,,
2:39.0,Personal take foul by M. Kleber (drawn by M. Plumlee),,25-22,,
2:39.0,,,25-22,,M. Plumlee misses free throw 1 of 2
2:39.0,,,25-22,,Offensive rebound by Team
2:39.0,K. Collinsworth enters the game for H. Barnes,,25-22,,
2:39.0,D. Nowitzki enters the game for M. Kleber,,25-22,,
2:39.0,,,25-23,1,M. Plumlee makes free throw 2 of 2
2:20.0,D. Nowitzki misses 3-pt shot from 22 ft,,25-23,,
2:14.0,Offensive rebound by D. Powell,,25-23,,
2:09.0,D. Nowitzki misses 2-pt shot from 19 ft,,25-23,,
2:06.0,,,25-23,,Defensive rebound by Team
1:58.0,,,25-25,2,W. Barton makes 2-pt shot from 3 ft
1:40.0,D. Powell makes 2-pt shot from 2 ft (assist by Y. Ferrell),2,27-25,,
1:27.0,,,27-25,,T. Lyles misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by K. Collinsworth,,27-25,,
1:05.0,Y. Ferrell misses 3-pt shot from 24 ft,,27-25,,
1:02.0,,,27-25,,Defensive rebound by T. Craig
0:48.0,,,27-25,,Turnover by M. Plumlee (lost ball; steal by D. Nowitzki)
0:35.0,,,27-25,,M. Beasley enters the game for G. Harris
0:34.0,D. Powell misses 2-pt shot from 18 ft,,27-25,,
0:30.0,,,27-25,,Defensive rebound by T. Lyles
0:12.0,,,27-27,2,W. Barton makes 2-pt shot from 4 ft
0:03.0,Turnover by D. Harris (out of bounds lost ball),,27-27,,
0:00.0,,,27-30,3,W. Barton makes 3-pt shot from 25 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,27-30,,Violation by W. Barton (kicked ball)
11:42.0,D. Powell misses 2-pt shot from 2 ft,,27-30,,
11:40.0,,,27-30,,Defensive rebound by M. Plumlee
11:22.0,,,27-33,3,M. Beasley makes 3-pt shot from 24 ft (assist by W. Barton)
11:03.0,K. Collinsworth makes 2-pt shot from 3 ft,2,29-33,,
10:55.0,,,29-33,,W. Barton misses 2-pt shot from 6 ft
10:50.0,Defensive rebound by D. Powell,,29-33,,
10:49.0,Turnover by D. Harris (bad pass),,29-33,,
10:38.0,,,29-36,3,T. Lyles makes 3-pt shot from 25 ft (assist by W. Barton)
10:19.0,D. Harris misses 3-pt shot from 22 ft,,29-36,,
10:16.0,,,29-36,,Defensive rebound by T. Lyles
10:11.0,,,29-36,,T. Lyles misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by Team,,29-36,,
10:09.0,,,29-36,,Loose ball foul by T. Craig (drawn by K. Collinsworth)
9:49.0,Shooting foul by T. Craig (drawn by D. Harris),,29-36,,
9:49.0,D. Harris makes free throw 1 of 2,1,30-36,,
9:49.0,,,30-36,,W. Chandler enters the game for T. Craig
9:49.0,D. Harris makes free throw 2 of 2,1,31-36,,
9:38.0,,,31-38,2,M. Plumlee makes 2-pt shot from 3 ft (assist by T. Lyles)
9:18.0,D. Harris misses 3-pt shot from 25 ft,,31-38,,
9:17.0,,,31-38,,Defensive rebound by W. Barton
9:12.0,,,31-38,,T. Lyles misses 2-pt shot from 3 ft
9:09.0,,,31-38,,Offensive rebound by M. Plumlee
9:06.0,,,31-40,2,W. Barton makes 2-pt shot from 9 ft
9:05.0,Dallas full timeout,,31-40,,
9:05.0,D. Smith enters the game for K. Collinsworth,,31-40,,
8:52.0,D. Smith misses 2-pt shot from 18 ft,,31-40,,
8:48.0,,,31-40,,Defensive rebound by T. Lyles
8:32.0,,,31-40,,M. Plumlee misses 2-pt shot from 14 ft
8:29.0,Defensive rebound by D. Powell,,31-40,,
8:22.0,Y. Ferrell makes 2-pt shot from 15 ft,2,33-40,,
8:05.0,,,33-40,,M. Beasley misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by D. Nowitzki,,33-40,,
7:57.0,,,33-40,,Personal foul by M. Beasley (drawn by D. Smith)
7:57.0,,,33-40,,G. Harris enters the game for M. Beasley
7:49.0,D. Harris makes 3-pt shot from 24 ft (assist by D. Smith),3,36-40,,
7:48.0,,,36-40,,Denver full timeout
7:35.0,,,36-43,3,W. Barton makes 3-pt shot from 24 ft (assist by G. Harris)
7:13.0,Turnover by D. Harris (lost ball; steal by W. Chandler),,36-43,,
7:10.0,,,36-45,2,G. Harris makes 2-pt shot from 1 ft (assist by T. Lyles)
6:52.0,Offensive foul by Y. Ferrell (drawn by G. Harris),,36-45,,
6:52.0,Turnover by Y. Ferrell (offensive foul),,36-45,,
6:28.0,,,36-47,2,W. Chandler makes 2-pt shot from 8 ft
6:26.0,Dallas full timeout,,36-47,,
6:26.0,,,36-47,,N. Jokic enters the game for T. Lyles
6:26.0,,,36-47,,J. Murray enters the game for M. Plumlee
6:26.0,W. Matthews enters the game for D. Harris,,36-47,,
6:26.0,H. Barnes enters the game for D. Nowitzki,,36-47,,
6:09.0,H. Barnes makes 2-pt shot from 12 ft,2,38-47,,
5:59.0,,,38-47,,J. Murray misses 3-pt shot from 24 ft
5:58.0,Defensive rebound by Team,,38-47,,
5:42.0,D. Powell misses 2-pt shot from 3 ft (block by N. Jokic),,38-47,,
5:42.0,,,38-47,,Defensive rebound by Team
5:36.0,,,38-47,,Turnover by W. Chandler (traveling)
5:27.0,,,38-47,,Personal foul by N. Jokic (drawn by D. Smith)
5:27.0,M. Kleber enters the game for D. Powell,,38-47,,
5:27.0,D. Harris enters the game for Y. Ferrell,,38-47,,
5:20.0,D. Harris misses 3-pt shot from 23 ft,,38-47,,
5:17.0,,,38-47,,Defensive rebound by W. Barton
5:13.0,Personal foul by M. Kleber (drawn by N. Jokic),,38-47,,
5:13.0,D. Powell enters the game for M. Kleber,,38-47,,
5:03.0,,,38-49,2,N. Jokic makes 2-pt shot from 10 ft
4:47.0,,,38-49,,Personal foul by G. Harris (drawn by H. Barnes)
4:47.0,H. Barnes makes free throw 1 of 2,1,39-49,,
4:47.0,H. Barnes makes free throw 2 of 2,1,40-49,,
4:29.0,,,40-51,2,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic)
4:02.0,W. Matthews misses 3-pt shot from 22 ft,,40-51,,
4:00.0,,,40-51,,Defensive rebound by J. Murray
3:44.0,,,40-51,,Turnover by N. Jokic (bad pass; steal by D. Powell)
3:38.0,,,40-51,,Personal block foul by G. Harris (drawn by D. Smith)
3:38.0,D. Smith makes free throw 1 of 2,1,41-51,,
3:38.0,D. Nowitzki enters the game for D. Powell,,41-51,,
3:38.0,Y. Ferrell enters the game for D. Harris,,41-51,,
3:38.0,D. Smith makes free throw 2 of 2,1,42-51,,
3:25.0,,,42-51,,Turnover by J. Murray (traveling)
3:18.0,,,42-51,,Violation by G. Harris (kicked ball)
3:18.0,,,42-51,,M. Beasley enters the game for G. Harris
3:12.0,D. Smith makes 2-pt shot from 19 ft,2,44-51,,
3:02.0,,,44-51,,Offensive foul by W. Barton (drawn by Y. Ferrell)
3:02.0,,,44-51,,Turnover by W. Barton (offensive foul)
2:54.0,D. Smith misses 2-pt shot from 21 ft,,44-51,,
2:51.0,,,44-51,,Defensive rebound by W. Chandler
2:43.0,Shooting block foul by D. Nowitzki (drawn by N. Jokic),,44-51,,
2:43.0,,,44-52,1,N. Jokic makes free throw 1 of 2
2:43.0,,,44-52,,T. Craig enters the game for W. Barton
2:43.0,,,44-53,1,N. Jokic makes free throw 2 of 2
2:27.0,H. Barnes misses 2-pt shot from 8 ft,,44-53,,
2:23.0,,,44-53,,Defensive rebound by N. Jokic
2:14.0,,,44-53,,N. Jokic misses 2-pt shot from 12 ft
2:11.0,,,44-53,,Offensive rebound by N. Jokic
2:01.0,,,44-53,,M. Beasley misses 2-pt shot from 4 ft (block by H. Barnes)
1:57.0,Defensive rebound by D. Nowitzki,,44-53,,
1:52.0,Turnover by W. Matthews (bad pass; steal by W. Chandler),,44-53,,
1:40.0,,,44-53,,M. Beasley misses 3-pt shot from 25 ft
1:34.0,,,44-53,,Offensive rebound by N. Jokic
1:33.0,,,44-55,2,N. Jokic makes 2-pt shot from 1 ft
1:21.0,W. Matthews misses 3-pt shot from 22 ft,,44-55,,
1:19.0,,,44-55,,Defensive rebound by J. Murray
1:11.0,,,44-55,,N. Jokic misses 2-pt shot from 23 ft
1:07.0,,,44-55,,Offensive rebound by T. Craig
1:07.0,,,44-57,2,T. Craig makes 2-pt shot at rim
0:49.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by D. Smith),2,46-57,,
0:33.0,,,46-57,,J. Murray misses 2-pt shot from 17 ft
0:31.0,,,46-57,,Offensive rebound by N. Jokic
0:31.0,,,46-59,2,N. Jokic makes 2-pt shot at rim
0:17.0,,,46-59,,Personal foul by N. Jokic (drawn by H. Barnes)
0:17.0,H. Barnes makes free throw 1 of 2,1,47-59,,
0:17.0,,,47-59,,G. Harris enters the game for M. Beasley
0:17.0,,,47-59,,W. Barton enters the game for T. Craig
0:17.0,D. Powell enters the game for D. Nowitzki,,47-59,,
0:17.0,H. Barnes makes free throw 2 of 2,1,48-59,,
0:07.0,Personal take foul by D. Smith (drawn by J. Murray),,48-59,,
0:00.0,,,48-59,,W. Barton misses 2-pt shot from 5 ft
0:00.0,,,48-59,,Offensive rebound by N. Jokic
0:00.0,,,48-59,,N. Jokic misses 2-pt shot at rim
0:00.0,,,48-59,,Offensive rebound by N. Jokic
0:00.0,,,48-59,,N. Jokic misses 2-pt shot at rim
0:00.0,,,48-59,,Offensive rebound by N. Jokic
0:00.0,,,48-61,2,N. Jokic makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Turnover by D. Smith (lost ball; steal by G. Harris),,48-61,,
11:42.0,,,48-63,2,J. Murray makes 2-pt shot from 1 ft (assist by W. Chandler)
11:23.0,Turnover by M. Kleber (bad pass; steal by N. Jokic),,48-63,,
11:18.0,,,48-63,,J. Murray misses 2-pt shot from 3 ft (block by M. Kleber)
11:13.0,,,48-63,,Offensive rebound by W. Chandler
11:06.0,,,48-63,,J. Murray misses 2-pt shot from 19 ft
11:00.0,Defensive rebound by H. Barnes,,48-63,,
10:56.0,W. Matthews misses 3-pt shot from 25 ft,,48-63,,
10:53.0,,,48-63,,Defensive rebound by N. Jokic
10:40.0,,,48-65,2,W. Barton makes 2-pt shot from 3 ft
10:22.0,M. Kleber misses 2-pt shot from 2 ft (block by G. Harris),,48-65,,
10:22.0,Offensive rebound by Team,,48-65,,
10:20.0,H. Barnes misses 2-pt shot from 18 ft,,48-65,,
10:17.0,,,48-65,,Defensive rebound by W. Barton
10:07.0,,,48-65,,G. Harris misses 2-pt shot from 15 ft
10:05.0,,,48-65,,Offensive rebound by N. Jokic
10:05.0,,,48-67,2,N. Jokic makes 2-pt shot at rim
10:05.0,Dallas full timeout,,48-67,,
9:51.0,Turnover by W. Matthews (bad pass),,48-67,,
9:31.0,,,48-67,,N. Jokic misses 2-pt shot from 14 ft
9:28.0,,,48-67,,Offensive rebound by W. Chandler
9:16.0,,,48-67,,G. Harris misses 2-pt shot from 18 ft
9:14.0,,,48-67,,Offensive rebound by Team
9:14.0,Loose ball foul by D. Smith (drawn by N. Jokic),,48-67,,
9:07.0,,,48-70,3,J. Murray makes 3-pt shot from 23 ft (assist by G. Harris)
8:47.0,D. Smith makes 2-pt shot from 2 ft,2,50-70,,
8:31.0,,,50-70,,Turnover by G. Harris (out of bounds lost ball)
8:19.0,H. Barnes makes 3-pt shot from 25 ft (assist by W. Matthews),3,53-70,,
8:03.0,,,53-70,,N. Jokic misses 3-pt shot from 24 ft
8:01.0,Defensive rebound by M. Kleber,,53-70,,
7:54.0,D. Smith misses 2-pt shot from 3 ft,,53-70,,
7:52.0,,,53-70,,Defensive rebound by N. Jokic
7:49.0,Personal foul by W. Matthews (drawn by G. Harris),,53-70,,
7:49.0,Y. Ferrell enters the game for D. Nowitzki,,53-70,,
7:37.0,,,53-70,,W. Chandler misses 2-pt shot from 3 ft
7:35.0,Defensive rebound by Y. Ferrell,,53-70,,
7:28.0,Y. Ferrell misses 3-pt shot from 26 ft,,53-70,,
7:25.0,,,53-70,,Defensive rebound by J. Murray
7:12.0,,,53-70,,Turnover by N. Jokic (bad pass)
6:59.0,M. Kleber makes 2-pt shot from 2 ft (assist by D. Smith),2,55-70,,
6:58.0,,,55-70,,Denver full timeout
6:39.0,,,55-73,3,G. Harris makes 3-pt shot from 22 ft (assist by W. Barton)
6:19.0,H. Barnes makes 2-pt shot from 21 ft,2,57-73,,
6:03.0,,,57-75,2,W. Barton makes 2-pt shot from 2 ft (assist by N. Jokic)
5:55.0,Turnover by D. Smith (lost ball; steal by G. Harris),,57-75,,
5:52.0,,,57-77,2,G. Harris makes 2-pt shot from 2 ft
5:23.0,Y. Ferrell makes 2-pt shot from 2 ft,2,59-77,,
5:09.0,,,59-79,2,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic)
4:48.0,H. Barnes misses 2-pt shot from 20 ft,,59-79,,
4:45.0,,,59-79,,Defensive rebound by N. Jokic
4:36.0,,,59-79,,Shooting foul by M. Kleber (drawn by W. Barton)
4:36.0,,,59-79,,W. Barton misses free throw 1 of 2
4:36.0,,,59-79,,Offensive rebound by Team
4:36.0,,,59-79,,T. Craig enters the game for J. Murray
4:36.0,D. Harris enters the game for D. Smith,,59-79,,
4:36.0,D. Powell enters the game for M. Kleber,,59-79,,
4:36.0,,,59-80,1,W. Barton makes free throw 2 of 2
4:19.0,W. Matthews misses 2-pt shot from 4 ft,,59-80,,
4:17.0,,,59-80,,Defensive rebound by N. Jokic
4:04.0,,,59-82,2,T. Craig makes 2-pt shot from 2 ft (assist by N. Jokic)
3:43.0,H. Barnes makes 2-pt shot from 7 ft (assist by Y. Ferrell),2,61-82,,
3:25.0,,,61-82,,W. Chandler misses 3-pt shot from 24 ft
3:20.0,Defensive rebound by W. Matthews,,61-82,,
3:15.0,Y. Ferrell misses 2-pt shot from 2 ft,,61-82,,
3:09.0,,,61-82,,Defensive rebound by W. Chandler
2:58.0,Personal foul by D. Harris (drawn by N. Jokic),,61-82,,
2:51.0,,,61-82,,Turnover by N. Jokic (bad pass; steal by Y. Ferrell)
2:45.0,D. Harris makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,64-82,,
2:15.0,,,64-84,2,W. Chandler makes 2-pt shot from 3 ft
1:59.0,Y. Ferrell misses 3-pt shot from 24 ft,,64-84,,
1:56.0,,,64-84,,Defensive rebound by N. Jokic
1:49.0,,,64-84,,W. Chandler misses 3-pt shot from 24 ft
1:49.0,,,64-84,,Offensive rebound by Team
1:49.0,Loose ball foul by D. Powell (drawn by N. Jokic),,64-84,,
1:49.0,,,64-84,,M. Beasley enters the game for W. Barton
1:49.0,,,64-84,,J. Murray enters the game for G. Harris
1:49.0,S. Mejri enters the game for D. Powell,,64-84,,
1:49.0,,,64-84,,N. Jokic misses free throw 1 of 2
1:49.0,,,64-84,,Offensive rebound by Team
1:49.0,,,64-85,1,N. Jokic makes free throw 2 of 2
1:41.0,D. Harris makes 3-pt shot from 25 ft (assist by W. Matthews),3,67-85,,
1:18.0,,,67-85,,M. Beasley misses 2-pt shot from 1 ft
1:14.0,Defensive rebound by H. Barnes,,67-85,,
1:07.0,Turnover by W. Matthews (lost ball; steal by T. Craig),,67-85,,
1:07.0,Personal foul by W. Matthews (drawn by T. Craig),,67-85,,
1:07.0,,,67-85,,T. Craig misses free throw 1 of 2
1:07.0,,,67-85,,Offensive rebound by Team
1:07.0,,,67-85,,M. Plumlee enters the game for N. Jokic
1:07.0,,,67-86,1,T. Craig makes free throw 2 of 2
0:53.0,Y. Ferrell makes 2-pt shot from 13 ft,2,69-86,,
0:40.0,,,69-86,,T. Craig misses 3-pt shot from 24 ft
0:35.0,Defensive rebound by H. Barnes,,69-86,,
0:32.0,D. Harris misses 3-pt shot from 24 ft,,69-86,,
0:32.0,,,69-86,,Defensive rebound by T. Craig
0:08.0,,,69-86,,Offensive charge foul by W. Chandler (drawn by D. Harris)
0:08.0,,,69-86,,Turnover by W. Chandler (offensive foul)
0:08.0,D. Nowitzki enters the game for S. Mejri,,69-86,,
0:04.0,,,69-86,,Personal take foul by M. Plumlee (drawn by D. Harris)
0:00.0,D. Harris misses 3-pt shot from 41 ft,,69-86,,
0:00.0,Offensive rebound by Team,,69-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,69-86,,M. Plumlee misses 2-pt shot from 3 ft
11:33.0,Defensive rebound by K. Collinsworth,,69-86,,
11:27.0,,,69-86,,Personal block foul by T. Craig (drawn by D. Harris)
11:16.0,D. Harris makes 3-pt shot from 27 ft (assist by Y. Ferrell),3,72-86,,
11:04.0,Personal foul by K. Collinsworth (drawn by J. Murray),,72-86,,
10:51.0,,,72-86,,W. Barton misses 3-pt shot from 27 ft
10:47.0,Defensive rebound by D. Powell,,72-86,,
10:42.0,D. Harris makes 2-pt shot from 1 ft,2,74-86,,
10:42.0,,,74-86,,Denver full timeout
10:42.0,,,74-86,,G. Harris enters the game for T. Craig
10:26.0,,,74-88,2,M. Plumlee makes 2-pt shot at rim (assist by W. Barton)
10:16.0,,,74-88,,Personal foul by W. Barton (drawn by Y. Ferrell)
10:07.0,D. Powell makes 2-pt shot from 1 ft (assist by D. Harris),2,76-88,,
9:40.0,,,76-88,,J. Murray misses 2-pt shot from 16 ft
9:40.0,,,76-88,,Offensive rebound by Team
9:40.0,,,76-88,,Turnover by Team (shot clock)
9:28.0,Shooting foul by J. Murray (drawn by Y. Ferrell),,76-88,,
9:28.0,Y. Ferrell makes free throw 1 of 2,1,77-88,,
9:28.0,Y. Ferrell misses free throw 2 of 2,,77-88,,
9:25.0,,,77-88,,Defensive rebound by T. Lyles
9:11.0,,,77-88,,W. Barton misses 3-pt shot from 24 ft
9:07.0,,,77-88,,Offensive rebound by M. Plumlee
8:53.0,,,77-90,2,J. Murray makes 2-pt shot from 10 ft
8:45.0,Turnover by D. Harris (out of bounds lost ball),,77-90,,
8:27.0,,,77-90,,J. Murray misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by D. Powell,,77-90,,
8:19.0,D. Harris misses 2-pt shot from 4 ft (block by W. Barton),,77-90,,
8:16.0,,,77-90,,Defensive rebound by T. Lyles
8:14.0,,,77-92,2,G. Harris makes 2-pt shot from 2 ft (assist by T. Lyles)
8:14.0,Dallas full timeout,,77-92,,
8:14.0,,,77-92,,M. Beasley enters the game for J. Murray
8:14.0,H. Barnes enters the game for D. Harris,,77-92,,
8:14.0,D. Smith enters the game for D. Nowitzki,,77-92,,
8:03.0,D. Powell misses 2-pt shot from 1 ft,,77-92,,
8:01.0,,,77-92,,Defensive rebound by T. Lyles
7:43.0,,,77-92,,M. Plumlee misses 2-pt shot from 5 ft
7:39.0,Defensive rebound by D. Smith,,77-92,,
7:35.0,Shooting foul by M. Plumlee (drawn by K. Collinsworth),,77-92,,
7:35.0,K. Collinsworth makes free throw 1 of 2,1,78-92,,
7:35.0,,,78-92,,W. Chandler enters the game for T. Lyles
7:35.0,K. Collinsworth misses free throw 2 of 2,,78-92,,
7:32.0,,,78-92,,Defensive rebound by W. Chandler
7:15.0,,,78-92,,Shooting foul by D. Powell (drawn by W. Barton)
7:15.0,,,78-93,1,W. Barton makes free throw 1 of 2
7:15.0,,,78-93,,N. Jokic enters the game for M. Plumlee
7:15.0,W. Matthews enters the game for K. Collinsworth,,78-93,,
7:15.0,,,78-93,,W. Barton misses free throw 2 of 2
7:11.0,,,78-93,,Offensive rebound by W. Barton
7:00.0,,,78-93,,Turnover by W. Barton (bad pass; steal by D. Powell)
6:52.0,Y. Ferrell makes 3-pt shot from 24 ft (assist by D. Powell),3,81-93,,
6:51.0,,,81-93,,Denver full timeout
6:51.0,,,81-93,,J. Murray enters the game for M. Beasley
6:29.0,,,81-95,2,N. Jokic makes 2-pt shot from 2 ft (assist by W. Barton)
6:29.0,,,81-95,,Shooting foul by W. Matthews (drawn by N. Jokic)
6:29.0,,,81-95,,N. Jokic misses free throw 1 of 1
6:26.0,Defensive rebound by H. Barnes,,81-95,,
6:11.0,Offensive charge foul by Y. Ferrell (drawn by J. Murray),,81-95,,
6:11.0,Turnover by Y. Ferrell (offensive foul),,81-95,,
6:11.0,S. Mejri enters the game for D. Powell,,81-95,,
5:56.0,,,81-97,2,N. Jokic makes 2-pt shot from 13 ft (assist by J. Murray)
5:44.0,,,81-97,,Personal foul by N. Jokic (drawn by W. Matthews)
5:44.0,W. Matthews makes free throw 1 of 2,1,82-97,,
5:44.0,W. Matthews makes free throw 2 of 2,1,83-97,,
5:31.0,,,83-97,,G. Harris misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by S. Mejri,,83-97,,
5:24.0,Turnover by S. Mejri (bad pass; steal by W. Barton),,83-97,,
5:22.0,,,83-99,2,W. Barton makes 2-pt shot at rim
5:22.0,Dallas full timeout,,83-99,,
5:22.0,,,83-99,,M. Beasley enters the game for J. Murray
5:11.0,W. Matthews makes 3-pt shot from 24 ft (assist by Y. Ferrell),3,86-99,,
4:50.0,,,86-99,,W. Barton misses 3-pt shot from 24 ft
4:47.0,Defensive rebound by S. Mejri,,86-99,,
4:37.0,D. Smith misses 2-pt shot from 21 ft,,86-99,,
4:33.0,Offensive rebound by W. Matthews,,86-99,,
4:32.0,W. Matthews misses 2-pt shot from 21 ft,,86-99,,
4:27.0,,,86-99,,Defensive rebound by W. Chandler
