time,Toronto,pts.away,score,pts.home,Brooklyn
2:50.0,S. Ibaka makes free throw 1 of 2,1,27-31,,
2:50.0,,,27-31,,D. Russell enters the game for S. Dinwiddie
2:50.0,F. VanVleet enters the game for K. Lowry,,27-31,,
2:50.0,S. Ibaka makes free throw 2 of 2,1,28-31,,
2:40.0,,,28-33,2,C. LeVert makes 2-pt shot from 11 ft
2:26.0,S. Ibaka misses 3-pt shot from 25 ft,,28-33,,
2:25.0,,,28-33,,Defensive rebound by Team
2:25.0,P. Siakam enters the game for S. Ibaka,,28-33,,
2:13.0,,,28-36,3,Q. Acy makes 3-pt shot from 24 ft (assist by C. LeVert)
1:51.0,D. DeRozan misses 2-pt shot from 14 ft,,28-36,,
1:48.0,,,28-36,,Defensive rebound by R. Hollis-Jefferson
1:27.0,,,28-36,,Q. Acy misses 3-pt shot from 25 ft
1:24.0,Defensive rebound by D. DeRozan,,28-36,,
1:19.0,P. Siakam makes 2-pt shot from 1 ft (assist by D. DeRozan),2,30-36,,
1:01.0,Personal foul by F. VanVleet (drawn by D. Russell),,30-36,,
0:52.0,,,30-38,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by C. LeVert)
0:31.0,D. DeRozan makes 2-pt shot from 20 ft,2,32-38,,
0:11.0,,,32-40,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by J. Harris)
0:04.0,C. Miles misses 3-pt shot from 25 ft,,32-40,,
0:02.0,Offensive rebound by J. Poeltl,,32-40,,
0:02.0,J. Poeltl misses 2-pt shot at rim,,32-40,,
0:00.0,,,32-40,,Defensive rebound by D. Russell
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,Turnover by F. VanVleet (bad pass; steal by D. Russell),,32-40,,
11:28.0,,,32-40,,Shooting foul by C. Miles (drawn by R. Hollis-Jefferson)
11:28.0,,,32-41,1,R. Hollis-Jefferson makes free throw 1 of 2
11:28.0,,,32-42,1,R. Hollis-Jefferson makes free throw 2 of 2
11:15.0,F. VanVleet makes 3-pt shot from 23 ft (assist by D. Wright),3,35-42,,
11:04.0,,,35-42,,C. LeVert misses 2-pt shot from 2 ft
11:02.0,Defensive rebound by P. Siakam,,35-42,,
10:58.0,P. Siakam misses 2-pt shot from 6 ft,,35-42,,
10:56.0,,,35-42,,Defensive rebound by J. Harris
10:47.0,,,35-42,,C. LeVert misses 2-pt shot from 5 ft
10:45.0,,,35-42,,Offensive rebound by R. Hollis-Jefferson
10:43.0,,,35-42,,Q. Acy misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by J. Poeltl,,35-42,,
10:33.0,P. Siakam misses 2-pt shot from 2 ft (block by Q. Acy),,35-42,,
10:29.0,,,35-42,,Defensive rebound by D. Russell
10:22.0,,,35-42,,D. Russell misses 2-pt shot from 3 ft
10:22.0,,,35-42,,Offensive rebound by C. LeVert
10:12.0,,,35-45,3,C. LeVert makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
9:58.0,,,35-45,,Personal foul by J. Harris (drawn by J. Poeltl)
9:45.0,J. Poeltl makes 2-pt shot from 1 ft (assist by P. Siakam),2,37-45,,
9:27.0,,,37-47,2,R. Hollis-Jefferson makes 2-pt shot from 17 ft (assist by C. LeVert)
9:10.0,C. Miles misses 2-pt shot from 16 ft,,37-47,,
9:05.0,,,37-47,,Defensive rebound by D. Russell
9:01.0,,,37-47,,Turnover by D. Russell (lost ball; steal by F. VanVleet)
8:56.0,D. Wright misses 3-pt shot from 25 ft,,37-47,,
8:53.0,Offensive rebound by J. Poeltl,,37-47,,
8:51.0,D. Wright makes 3-pt shot from 25 ft (assist by J. Poeltl),3,40-47,,
8:49.0,,,40-47,,Brooklyn full timeout
8:32.0,,,40-47,,Turnover by C. LeVert (bad pass)
8:15.0,D. Wright makes 3-pt shot from 22 ft (assist by F. VanVleet),3,43-47,,
7:57.0,,,43-47,,Turnover by D. Russell (bad pass; steal by D. Wright)
7:45.0,Turnover by D. Wright (lost ball; steal by C. LeVert),,43-47,,
7:23.0,,,43-47,,D. Russell misses 3-pt shot from 25 ft
7:19.0,Defensive rebound by P. Siakam,,43-47,,
7:14.0,J. Poeltl makes 2-pt shot at rim (assist by P. Siakam),2,45-47,,
6:55.0,Personal foul by P. Siakam (drawn by D. Russell),,45-47,,
6:55.0,,,45-47,,S. Dinwiddie enters the game for D. Russell
6:55.0,,,45-47,,D. Cunningham enters the game for Q. Acy
6:55.0,,,45-47,,A. Crabbe enters the game for C. LeVert
6:55.0,K. Lowry enters the game for C. Miles,,45-47,,
6:43.0,,,45-47,,S. Dinwiddie misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by P. Siakam,,45-47,,
6:36.0,F. VanVleet makes 2-pt shot from 2 ft (assist by D. Wright),2,47-47,,
6:19.0,,,47-50,3,D. Cunningham makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
6:00.0,J. Poeltl makes 2-pt shot at rim (assist by D. Wright),2,49-50,,
6:00.0,Shooting foul by D. Cunningham (drawn by J. Poeltl),,49-50,,
6:00.0,J. Poeltl misses free throw 1 of 1,,49-50,,
5:59.0,Offensive rebound by Team,,49-50,,
5:59.0,,,49-50,,D. Carroll enters the game for J. Harris
5:59.0,D. DeRozan enters the game for F. VanVleet,,49-50,,
5:54.0,K. Lowry misses 3-pt shot from 24 ft (block by S. Dinwiddie),,49-50,,
5:49.0,,,49-50,,Defensive rebound by D. Carroll
5:36.0,,,49-50,,S. Dinwiddie misses 2-pt shot from 2 ft (block by J. Poeltl)
5:36.0,,,49-50,,Offensive rebound by Team
5:36.0,,,49-50,,C. LeVert enters the game for R. Hollis-Jefferson
5:36.0,S. Ibaka enters the game for J. Poeltl,,49-50,,
5:36.0,J. Valanciunas enters the game for P. Siakam,,49-50,,
5:29.0,,,49-50,,S. Dinwiddie misses 2-pt shot from 11 ft
5:25.0,Defensive rebound by S. Ibaka,,49-50,,
5:09.0,J. Valanciunas misses 2-pt shot from 1 ft (block by A. Crabbe),,49-50,,
5:09.0,,,49-50,,Defensive rebound by Team
4:44.0,,,49-52,2,D. Carroll makes 2-pt shot from 2 ft
4:23.0,J. Valanciunas makes 2-pt shot from 7 ft (assist by D. DeRozan),2,51-52,,
4:13.0,,,51-52,,C. LeVert misses 3-pt shot from 23 ft
4:11.0,,,51-52,,Offensive rebound by D. Cunningham
4:06.0,,,51-55,3,A. Crabbe makes 3-pt shot from 25 ft (assist by C. LeVert)
3:57.0,Toronto full timeout,,51-55,,
3:57.0,M. Miller enters the game for D. Wright,,51-55,,
3:52.0,Turnover by J. Valanciunas (bad pass; steal by D. Cunningham),,51-55,,
3:43.0,,,51-55,,D. Carroll misses 3-pt shot from 22 ft
3:40.0,Defensive rebound by S. Ibaka,,51-55,,
3:22.0,M. Miller misses 3-pt shot from 26 ft,,51-55,,
3:16.0,,,51-55,,Defensive rebound by A. Crabbe
3:12.0,,,51-55,,Turnover by S. Dinwiddie (bad pass; steal by S. Ibaka)
3:05.0,D. DeRozan misses 2-pt shot from 1 ft,,51-55,,
3:02.0,Offensive rebound by S. Ibaka,,51-55,,
3:01.0,S. Ibaka misses 2-pt shot from 3 ft,,51-55,,
3:01.0,,,51-55,,Defensive rebound by C. LeVert
2:57.0,,,51-57,2,D. Carroll makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
2:57.0,,,51-57,,Shooting foul by K. Lowry (drawn by S. Dinwiddie)
2:57.0,,,51-58,1,D. Carroll makes free throw 1 of 1
2:39.0,Turnover by D. DeRozan (lost ball; steal by C. LeVert),,51-58,,
2:35.0,,,51-58,,C. LeVert misses 2-pt shot from 2 ft
2:35.0,,,51-58,,Offensive rebound by D. Cunningham
2:35.0,,,51-60,2,D. Cunningham makes 2-pt shot at rim
2:35.0,,,51-60,,Shooting foul by M. Miller (drawn by D. Cunningham)
2:35.0,,,51-61,1,D. Cunningham makes free throw 1 of 1
2:20.0,K. Lowry misses 3-pt shot from 26 ft,,51-61,,
2:16.0,,,51-61,,Defensive rebound by S. Dinwiddie
2:09.0,,,51-63,2,D. Cunningham makes 2-pt shot from 19 ft (assist by C. LeVert)
1:58.0,J. Valanciunas makes 2-pt shot from 1 ft,2,53-63,,
1:52.0,,,53-63,,R. Hollis-Jefferson enters the game for D. Cunningham
1:41.0,Personal foul by K. Lowry (drawn by R. Hollis-Jefferson),,53-63,,
1:41.0,,,53-64,1,R. Hollis-Jefferson makes free throw 1 of 2
1:41.0,,,53-65,1,R. Hollis-Jefferson makes free throw 2 of 2
1:29.0,J. Valanciunas misses 2-pt shot from 3 ft (block by R. Hollis-Jefferson),,53-65,,
1:29.0,,,53-65,,Defensive rebound by Team
1:05.0,,,53-65,,S. Dinwiddie misses 2-pt shot from 9 ft
1:05.0,Defensive rebound by D. DeRozan,,53-65,,
0:55.0,K. Lowry misses 3-pt shot from 24 ft,,53-65,,
0:55.0,Offensive rebound by K. Lowry,,53-65,,
0:51.0,K. Lowry makes 2-pt shot from 1 ft,2,55-65,,
0:42.0,,,55-67,2,C. LeVert makes 2-pt shot from 12 ft
0:30.0,K. Lowry misses 3-pt shot from 25 ft,,55-67,,
0:30.0,Offensive rebound by D. DeRozan,,55-67,,
0:07.0,S. Ibaka misses 2-pt shot from 2 ft,,55-67,,
0:07.0,Offensive rebound by J. Valanciunas,,55-67,,
0:05.0,J. Valanciunas makes 2-pt shot at rim,2,57-67,,
0:00.0,,,57-67,,Turnover by R. Hollis-Jefferson (lost ball; steal by D. DeRozan)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,J. Valanciunas makes 2-pt shot from 9 ft (assist by K. Lowry),2,59-67,,
11:16.0,,,59-70,3,S. Dinwiddie makes 3-pt shot from 29 ft
10:53.0,N. Powell misses 2-pt shot from 3 ft,,59-70,,
10:51.0,,,59-70,,Defensive rebound by D. Carroll
10:43.0,,,59-70,,D. Cunningham misses 2-pt shot from 7 ft
10:43.0,Defensive rebound by N. Powell,,59-70,,
10:27.0,S. Ibaka misses 2-pt shot from 7 ft,,59-70,,
10:23.0,,,59-70,,Defensive rebound by D. Carroll
10:13.0,,,59-70,,A. Crabbe misses 2-pt shot from 8 ft
10:10.0,Defensive rebound by J. Valanciunas,,59-70,,
10:05.0,N. Powell misses 3-pt shot from 23 ft,,59-70,,
9:59.0,,,59-70,,Defensive rebound by S. Dinwiddie
9:46.0,Personal foul by N. Powell (drawn by D. Russell),,59-70,,
9:39.0,,,59-72,2,D. Russell makes 2-pt shot from 2 ft
9:22.0,D. DeRozan misses 2-pt shot from 17 ft,,59-72,,
9:21.0,,,59-72,,Defensive rebound by Team
9:11.0,,,59-72,,D. Russell misses 3-pt shot from 24 ft
9:04.0,,,59-72,,Offensive rebound by D. Cunningham
9:04.0,,,59-74,2,D. Cunningham makes 2-pt shot at rim
8:44.0,J. Valanciunas misses 2-pt shot from 7 ft,,59-74,,
8:39.0,Offensive rebound by S. Ibaka,,59-74,,
8:39.0,S. Ibaka makes 2-pt shot at rim,2,61-74,,
8:33.0,,,61-74,,D. Russell misses 2-pt shot from 2 ft
8:32.0,Defensive rebound by K. Lowry,,61-74,,
8:32.0,,,61-74,,Personal foul by D. Carroll (drawn by K. Lowry)
8:32.0,F. VanVleet enters the game for N. Powell,,61-74,,
8:28.0,Shooting foul by D. Carroll (drawn by S. Ibaka),,61-74,,
8:28.0,S. Ibaka makes free throw 1 of 3,1,62-74,,
8:28.0,S. Ibaka makes free throw 2 of 3,1,63-74,,
8:28.0,S. Ibaka makes free throw 3 of 3,1,64-74,,
8:10.0,,,64-74,,A. Crabbe misses 2-pt shot from 10 ft
8:06.0,Defensive rebound by J. Valanciunas,,64-74,,
7:59.0,J. Valanciunas makes 2-pt shot from 12 ft (assist by F. VanVleet),2,66-74,,
7:33.0,,,66-74,,S. Dinwiddie misses 2-pt shot from 11 ft
7:30.0,Defensive rebound by S. Ibaka,,66-74,,
7:24.0,F. VanVleet makes 3-pt shot from 25 ft,3,69-74,,
7:24.0,,,69-74,,Brooklyn full timeout
7:07.0,Personal foul by S. Ibaka (drawn by S. Dinwiddie),,69-74,,
7:00.0,,,69-74,,D. Cunningham misses 3-pt shot from 25 ft
6:54.0,Defensive rebound by S. Ibaka,,69-74,,
6:50.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,71-74,,
6:36.0,,,71-74,,D. Russell misses 2-pt shot from 14 ft
6:33.0,Defensive rebound by J. Valanciunas,,71-74,,
6:25.0,Turnover by D. DeRozan (lost ball; steal by S. Dinwiddie),,71-74,,
6:14.0,,,71-74,,S. Dinwiddie misses 3-pt shot from 26 ft
6:08.0,Defensive rebound by S. Ibaka,,71-74,,
6:04.0,F. VanVleet makes 3-pt shot from 23 ft (assist by K. Lowry),3,74-74,,
6:03.0,,,74-74,,Brooklyn full timeout
6:03.0,,,74-74,,J. Harris enters the game for D. Russell
5:43.0,,,74-77,3,J. Harris makes 3-pt shot from 26 ft (assist by D. Cunningham)
5:27.0,J. Valanciunas misses 2-pt shot from 6 ft,,74-77,,
5:26.0,Offensive rebound by Team,,74-77,,
5:26.0,,,74-77,,Loose ball foul by A. Crabbe (drawn by J. Valanciunas)
5:13.0,F. VanVleet misses 2-pt shot from 4 ft,,74-77,,
5:13.0,Offensive rebound by J. Valanciunas,,74-77,,
5:13.0,Shooting foul by D. Cunningham (drawn by J. Valanciunas),,74-77,,
5:13.0,J. Valanciunas makes free throw 1 of 2,1,75-77,,
5:13.0,J. Valanciunas misses free throw 2 of 2,,75-77,,
5:10.0,,,75-77,,Defensive rebound by A. Crabbe
5:05.0,,,75-77,,D. Carroll misses 2-pt shot from 11 ft
5:01.0,Defensive rebound by J. Valanciunas,,75-77,,
4:58.0,K. Lowry makes 3-pt shot from 26 ft,3,78-77,,
4:34.0,,,78-77,,S. Dinwiddie misses 2-pt shot from 1 ft (block by S. Ibaka)
4:31.0,Defensive rebound by D. DeRozan,,78-77,,
4:27.0,F. VanVleet misses 3-pt shot from 23 ft,,78-77,,
4:20.0,,,78-77,,Defensive rebound by S. Dinwiddie
4:14.0,,,78-80,3,A. Crabbe makes 3-pt shot from 22 ft (assist by D. Carroll)
3:59.0,J. Valanciunas makes 2-pt shot from 7 ft (assist by K. Lowry),2,80-80,,
3:43.0,,,80-80,,A. Crabbe misses 3-pt shot from 26 ft
3:40.0,,,80-80,,Offensive rebound by A. Crabbe
3:39.0,,,80-80,,J. Harris misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by J. Valanciunas,,80-80,,
3:33.0,,,80-80,,Personal foul by A. Crabbe (drawn by K. Lowry)
3:33.0,K. Lowry makes free throw 1 of 2,1,81-80,,
3:33.0,,,81-80,,Q. Acy enters the game for S. Dinwiddie
3:33.0,,,81-80,,C. LeVert enters the game for A. Crabbe
3:33.0,,,81-80,,R. Hollis-Jefferson enters the game for D. Cunningham
3:33.0,C. Miles enters the game for S. Ibaka,,81-80,,
3:33.0,J. Poeltl enters the game for J. Valanciunas,,81-80,,
3:33.0,K. Lowry makes free throw 2 of 2,1,82-80,,
3:33.0,,,82-80,,D. Russell enters the game for D. Carroll
3:09.0,,,82-80,,Turnover by Team (shot clock)
3:02.0,D. DeRozan misses 2-pt shot from 22 ft,,82-80,,
3:00.0,,,82-80,,Defensive rebound by D. Russell
2:48.0,Personal foul by C. Miles (drawn by R. Hollis-Jefferson),,82-80,,
2:46.0,,,82-80,,Turnover by J. Harris (bad pass; steal by J. Poeltl)
2:34.0,C. Miles misses 3-pt shot from 22 ft,,82-80,,
2:30.0,,,82-80,,Defensive rebound by C. LeVert
2:26.0,,,82-82,2,Q. Acy makes 2-pt shot from 2 ft (assist by C. LeVert)
2:25.0,Toronto full timeout,,82-82,,
2:25.0,D. Wright enters the game for K. Lowry,,82-82,,
2:25.0,P. Siakam enters the game for D. DeRozan,,82-82,,
2:04.0,Turnover by D. Wright (bad pass; steal by C. LeVert),,82-82,,
2:01.0,,,82-84,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by C. LeVert)
2:01.0,,,82-84,,Shooting foul by J. Poeltl (drawn by R. Hollis-Jefferson)
2:01.0,,,82-85,1,R. Hollis-Jefferson makes free throw 1 of 1
1:39.0,D. Wright misses 3-pt shot from 25 ft,,82-85,,
1:35.0,,,82-85,,Defensive rebound by J. Harris
1:27.0,,,82-85,,Q. Acy misses 3-pt shot from 25 ft
1:23.0,Defensive rebound by F. VanVleet,,82-85,,
1:18.0,J. Poeltl makes 2-pt shot from 1 ft (assist by F. VanVleet),2,84-85,,
0:55.0,,,84-85,,R. Hollis-Jefferson misses 2-pt shot from 4 ft
0:51.0,Defensive rebound by P. Siakam,,84-85,,
0:45.0,F. VanVleet misses 3-pt shot from 25 ft (block by D. Russell),,84-85,,
0:41.0,Offensive rebound by C. Miles,,84-85,,
0:36.0,Turnover by P. Siakam (lost ball; steal by R. Hollis-Jefferson),,84-85,,
0:31.0,,,84-85,,Turnover by D. Russell (lost ball; steal by F. VanVleet)
0:22.0,P. Siakam makes 2-pt shot from 4 ft (assist by D. Wright),2,86-85,,
0:22.0,Shooting foul by R. Hollis-Jefferson (drawn by P. Siakam),,86-85,,
0:22.0,,,86-85,,D. Carroll enters the game for Q. Acy
0:22.0,P. Siakam makes free throw 1 of 1,1,87-85,,
0:01.0,,,87-85,,R. Hollis-Jefferson misses 2-pt shot from 10 ft
0:01.0,,,87-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,Personal foul by C. Miles (drawn by R. Hollis-Jefferson),,87-85,,
11:31.0,,,87-85,,C. LeVert misses 2-pt shot from 2 ft (block by J. Poeltl)
11:26.0,Defensive rebound by D. Wright,,87-85,,
11:24.0,C. Miles misses 3-pt shot from 22 ft,,87-85,,
11:24.0,,,87-85,,Defensive rebound by R. Hollis-Jefferson
11:18.0,,,87-87,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft
11:18.0,,,87-87,,Shooting foul by J. Poeltl (drawn by R. Hollis-Jefferson)
11:18.0,,,87-87,,R. Hollis-Jefferson misses free throw 1 of 1
11:15.0,Defensive rebound by J. Poeltl,,87-87,,
11:07.0,,,87-87,,Personal foul by Q. Acy (drawn by C. Miles)
10:57.0,Offensive foul by J. Poeltl (drawn by Q. Acy),,87-87,,
10:57.0,Turnover by J. Poeltl (offensive foul),,87-87,,
10:44.0,,,87-87,,D. Russell misses 2-pt shot from 1 ft
10:39.0,Defensive rebound by D. Wright,,87-87,,
10:38.0,D. Wright makes 2-pt shot at rim,2,89-87,,
10:17.0,Personal foul by P. Siakam (drawn by R. Hollis-Jefferson),,89-87,,
10:14.0,,,89-89,2,D. Russell makes 2-pt shot from 1 ft (assist by J. Harris)
10:00.0,F. VanVleet misses 2-pt shot from 2 ft,,89-89,,
9:56.0,,,89-89,,Defensive rebound by R. Hollis-Jefferson
9:50.0,,,89-89,,Shooting foul by C. Miles (drawn by C. LeVert)
9:50.0,,,89-90,1,C. LeVert makes free throw 1 of 2
9:50.0,,,89-91,1,C. LeVert makes free throw 2 of 2
9:38.0,,,89-91,,Personal foul by D. Russell (drawn by D. Wright)
9:38.0,,,89-91,,S. Dinwiddie enters the game for D. Russell
9:25.0,C. Miles makes 3-pt shot from 26 ft,3,92-91,,
9:00.0,,,92-93,2,C. LeVert makes 2-pt shot from 2 ft
8:42.0,C. Miles makes 3-pt shot from 24 ft (assist by F. VanVleet),3,95-93,,
8:22.0,,,95-93,,C. LeVert misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by D. Wright,,95-93,,
8:13.0,D. Wright makes 2-pt shot from 1 ft,2,97-93,,
7:58.0,,,97-95,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
7:40.0,Shooting foul by J. Harris (drawn by C. Miles),,97-95,,
7:40.0,C. Miles makes free throw 1 of 3,1,98-95,,
7:40.0,C. Miles makes free throw 2 of 3,1,99-95,,
7:40.0,,,99-95,,D. Cunningham enters the game for Q. Acy
7:40.0,,,99-95,,A. Crabbe enters the game for C. LeVert
7:40.0,K. Lowry enters the game for F. VanVleet,,99-95,,
7:40.0,C. Miles makes free throw 3 of 3,1,100-95,,
7:27.0,,,100-95,,S. Dinwiddie misses 2-pt shot from 2 ft (block by J. Poeltl)
7:27.0,Defensive rebound by J. Poeltl,,100-95,,
7:15.0,C. Miles makes 3-pt shot from 25 ft (assist by K. Lowry),3,103-95,,
7:11.0,,,103-95,,Brooklyn full timeout
7:11.0,,,103-95,,D. Russell enters the game for J. Harris
7:11.0,,,103-95,,D. Carroll enters the game for R. Hollis-Jefferson
6:47.0,,,103-95,,D. Cunningham misses 2-pt shot from 1 ft
6:44.0,Defensive rebound by J. Poeltl,,103-95,,
6:37.0,Turnover by D. Wright (bad pass; steal by S. Dinwiddie),,103-95,,
6:37.0,Loose ball foul by J. Poeltl (drawn by S. Dinwiddie),,103-95,,
6:37.0,,,103-96,1,S. Dinwiddie makes free throw 1 of 2
6:37.0,,,103-97,1,S. Dinwiddie makes free throw 2 of 2
6:25.0,K. Lowry misses 3-pt shot from 24 ft,,103-97,,
6:21.0,,,103-97,,Defensive rebound by D. Cunningham
6:09.0,,,103-99,2,D. Russell makes 2-pt shot from 14 ft
5:48.0,J. Poeltl misses 2-pt shot from 8 ft,,103-99,,
5:48.0,,,103-99,,Defensive rebound by D. Carroll
5:48.0,Loose ball foul by J. Poeltl (drawn by D. Carroll),,103-99,,
5:48.0,,,103-99,,D. Carroll misses free throw 1 of 2
5:48.0,,,103-99,,Offensive rebound by Team
5:48.0,,,103-99,,C. LeVert enters the game for S. Dinwiddie
5:48.0,J. Valanciunas enters the game for C. Miles,,103-99,,
5:48.0,D. DeRozan enters the game for J. Poeltl,,103-99,,
5:48.0,F. VanVleet enters the game for D. Wright,,103-99,,
5:48.0,,,103-100,1,D. Carroll makes free throw 2 of 2
5:29.0,K. Lowry misses 3-pt shot from 25 ft,,103-100,,
5:28.0,Offensive rebound by Team,,103-100,,
5:28.0,,,103-100,,Loose ball foul by D. Russell (drawn by J. Valanciunas)
5:28.0,,,103-100,,R. Hollis-Jefferson enters the game for D. Cunningham
5:08.0,J. Valanciunas misses 2-pt shot from 9 ft,,103-100,,
5:04.0,Offensive rebound by P. Siakam,,103-100,,
5:04.0,P. Siakam misses 2-pt shot at rim,,103-100,,
