time,New Orleans,pts.away,score,pts.home,Toronto
6:36.0,,,47-47,,J. Valanciunas enters the game for J. Poeltl
6:36.0,,,47-47,,D. DeRozan enters the game for P. Siakam
6:36.0,,,47-47,,K. Lowry enters the game for D. Wright
6:36.0,D. Cunningham enters the game for J. Nelson,,47-47,,
6:36.0,E. Moore enters the game for D. Miller,,47-47,,
6:36.0,A. Davis enters the game for T. Allen,,47-47,,
6:29.0,,,47-47,,J. Valanciunas misses 2-pt shot from 13 ft
6:27.0,Defensive rebound by J. Holiday,,47-47,,
6:17.0,,,47-47,,Personal foul by K. Lowry (drawn by J. Holiday)
6:15.0,,,47-47,,Personal foul by J. Valanciunas (drawn by D. Cousins)
6:12.0,J. Holiday makes 2-pt shot from 3 ft (assist by E. Moore),2,49-47,,
6:12.0,,,49-47,,Violation by O. Anunoby (def goaltending)
5:54.0,,,49-49,2,K. Lowry makes 2-pt shot at rim (assist by D. DeRozan)
5:31.0,Turnover by D. Cousins (lost ball; steal by F. VanVleet),,49-49,,
5:23.0,,,49-52,3,K. Lowry makes 3-pt shot from 26 ft (assist by D. DeRozan)
5:10.0,Turnover by D. Cousins (bad pass),,49-52,,
5:03.0,,,49-52,,Turnover by K. Lowry (lost ball; steal by A. Davis)
4:57.0,E. Moore makes 2-pt shot from 2 ft (assist by A. Davis),2,51-52,,
4:45.0,,,51-54,2,D. DeRozan makes 2-pt shot from 1 ft
4:35.0,J. Holiday misses 3-pt shot from 25 ft,,51-54,,
4:35.0,,,51-54,,Defensive rebound by J. Valanciunas
4:25.0,Personal foul by D. Cunningham (drawn by K. Lowry),,51-54,,
4:25.0,,,51-54,,N. Powell enters the game for O. Anunoby
4:25.0,,,51-54,,S. Ibaka enters the game for F. VanVleet
4:10.0,,,51-54,,J. Valanciunas misses 2-pt shot from 2 ft (block by D. Cousins)
4:07.0,Defensive rebound by J. Holiday,,51-54,,
4:07.0,J. Holiday makes 2-pt shot from 1 ft,2,53-54,,
3:54.0,,,53-54,,N. Powell misses 3-pt shot from 26 ft
3:54.0,,,53-54,,Offensive rebound by Team
3:54.0,Personal foul by D. Cunningham (drawn by J. Valanciunas),,53-54,,
3:54.0,J. Nelson enters the game for D. Cunningham,,53-54,,
3:49.0,,,53-54,,D. DeRozan misses 2-pt shot from 13 ft
3:49.0,Defensive rebound by D. Cousins,,53-54,,
3:35.0,D. Cousins misses 3-pt shot from 28 ft,,53-54,,
3:32.0,,,53-54,,Defensive rebound by K. Lowry
3:23.0,,,53-54,,S. Ibaka misses 2-pt shot from 17 ft
3:19.0,Defensive rebound by D. Cousins,,53-54,,
3:16.0,,,53-54,,Personal foul by K. Lowry (drawn by E. Moore)
3:00.0,J. Holiday makes 2-pt shot from 1 ft,2,55-54,,
2:47.0,Personal foul by J. Holiday (drawn by S. Ibaka),,55-54,,
2:47.0,New Orleans full timeout,,55-54,,
2:40.0,,,55-54,,K. Lowry misses 3-pt shot from 25 ft
2:39.0,Defensive rebound by A. Davis,,55-54,,
2:26.0,A. Davis misses 3-pt shot from 25 ft,,55-54,,
2:23.0,,,55-54,,Defensive rebound by J. Valanciunas
2:11.0,,,55-57,3,N. Powell makes 3-pt shot from 26 ft (assist by D. DeRozan)
1:52.0,Offensive charge foul by D. Cousins (drawn by J. Valanciunas),,55-57,,
1:52.0,Turnover by D. Cousins (offensive foul),,55-57,,
1:40.0,,,55-59,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry)
1:28.0,D. Cousins makes 2-pt shot at rim,2,57-59,,
1:17.0,,,57-59,,D. DeRozan misses 2-pt shot from 7 ft (block by E. Moore)
1:17.0,Defensive rebound by Team,,57-59,,
1:17.0,,,57-59,,Loose ball foul by D. DeRozan (drawn by E. Moore)
1:17.0,E. Moore makes free throw 1 of 2,1,58-59,,
1:17.0,E. Moore misses free throw 2 of 2,,58-59,,
1:15.0,,,58-59,,Defensive rebound by S. Ibaka
1:02.0,,,58-61,2,J. Valanciunas makes 2-pt shot at rim (assist by N. Powell)
0:47.0,,,58-61,,Personal foul by J. Valanciunas (drawn by A. Davis)
0:47.0,A. Davis makes free throw 1 of 2,1,59-61,,
0:47.0,A. Davis makes free throw 2 of 2,1,60-61,,
0:32.0,,,60-61,,Shooting foul by D. Cousins (drawn by D. DeRozan)
0:32.0,,,60-62,1,D. DeRozan makes free throw 2 of 2
0:32.0,,,60-63,1,D. DeRozan makes free throw 1 of 2
0:32.0,,,60-63,,F. VanVleet enters the game for J. Valanciunas
0:32.0,,,60-63,,J. Poeltl enters the game for K. Lowry
0:32.0,D. Miller enters the game for D. Cousins,,60-63,,
0:25.0,Technical foul by D. Cousins,,60-63,,
0:25.0,,,60-64,1,D. DeRozan makes technical free throw
0:11.0,D. Miller misses 3-pt shot from 23 ft,,60-64,,
0:09.0,,,60-64,,Defensive rebound by D. DeRozan
0:01.0,,,60-66,2,D. DeRozan makes 2-pt shot from 21 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,D. Cunningham makes 3-pt shot from 23 ft (assist by E. Moore),3,63-66,,
11:24.0,,,63-68,2,K. Lowry makes 2-pt shot from 1 ft (assist by D. DeRozan)
11:12.0,D. Cousins misses 2-pt shot from 5 ft,,63-68,,
11:09.0,,,63-68,,Defensive rebound by S. Ibaka
11:06.0,,,63-68,,K. Lowry misses 3-pt shot from 27 ft
11:02.0,Defensive rebound by E. Moore,,63-68,,
10:49.0,D. Cousins makes 2-pt shot from 2 ft (assist by J. Holiday),2,65-68,,
10:36.0,,,65-70,2,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry)
10:22.0,E. Moore misses 2-pt shot from 7 ft,,65-70,,
10:20.0,,,65-70,,Defensive rebound by S. Ibaka
10:16.0,,,65-70,,Turnover by K. Lowry (bad pass; steal by E. Moore)
10:11.0,Turnover by J. Holiday (bad pass),,65-70,,
9:57.0,,,65-70,,D. DeRozan misses 2-pt shot from 17 ft
9:56.0,,,65-70,,Offensive rebound by Team
9:45.0,,,65-70,,N. Powell misses 3-pt shot from 26 ft
9:40.0,Defensive rebound by E. Moore,,65-70,,
9:32.0,Turnover by J. Holiday (bad pass; steal by D. DeRozan),,65-70,,
9:25.0,,,65-73,3,S. Ibaka makes 3-pt shot from 23 ft (assist by K. Lowry)
9:23.0,New Orleans full timeout,,65-73,,
9:16.0,,,65-73,,Personal foul by S. Ibaka (drawn by D. Cousins)
9:08.0,E. Moore makes 3-pt shot from 26 ft (assist by D. Cunningham),3,68-73,,
8:44.0,,,68-73,,K. Lowry misses 3-pt shot from 22 ft
8:44.0,Defensive rebound by E. Moore,,68-73,,
8:33.0,,,68-73,,Personal block foul by S. Ibaka (drawn by A. Davis)
8:19.0,Turnover by Team (shot clock),,68-73,,
8:00.0,,,68-73,,N. Powell misses 3-pt shot from 25 ft
7:58.0,,,68-73,,Offensive rebound by S. Ibaka
7:54.0,,,68-75,2,S. Ibaka makes 2-pt shot from 2 ft
7:44.0,Turnover by J. Holiday (bad pass; steal by N. Powell),,68-75,,
7:39.0,,,68-77,2,N. Powell makes 2-pt shot from 1 ft
7:26.0,D. Cousins misses 3-pt shot from 26 ft,,68-77,,
7:24.0,Offensive rebound by A. Davis,,68-77,,
7:16.0,Shooting foul by J. Valanciunas (drawn by D. Cousins),,68-77,,
7:16.0,D. Cousins makes free throw 1 of 2,1,69-77,,
7:16.0,D. Cousins misses free throw 2 of 2,,69-77,,
7:14.0,,,69-77,,Defensive rebound by S. Ibaka
7:02.0,,,69-77,,D. DeRozan misses 2-pt shot from 18 ft
7:00.0,Defensive rebound by A. Davis,,69-77,,
6:52.0,J. Holiday makes 2-pt shot from 16 ft,2,71-77,,
6:36.0,,,71-77,,J. Valanciunas misses 2-pt shot from 11 ft
6:34.0,Defensive rebound by A. Davis,,71-77,,
6:22.0,D. Cousins misses 3-pt shot from 27 ft,,71-77,,
6:19.0,,,71-77,,Defensive rebound by J. Valanciunas
6:11.0,,,71-77,,N. Powell misses 2-pt shot from 4 ft
6:08.0,Defensive rebound by J. Holiday,,71-77,,
6:03.0,D. Cunningham makes 3-pt shot from 23 ft (assist by J. Holiday),3,74-77,,
5:40.0,,,74-77,,Turnover by D. DeRozan (bad pass)
5:28.0,E. Moore makes 2-pt shot at rim (assist by J. Holiday),2,76-77,,
5:21.0,,,76-77,,Toronto full timeout
5:21.0,,,76-77,,C. Miles enters the game for N. Powell
5:21.0,,,76-77,,J. Poeltl enters the game for J. Valanciunas
5:21.0,D. Miller enters the game for E. Moore,,76-77,,
5:21.0,J. Nelson enters the game for D. Cousins,,76-77,,
5:17.0,,,76-77,,K. Lowry misses 3-pt shot from 26 ft
5:15.0,Defensive rebound by Team,,76-77,,
5:05.0,Turnover by J. Holiday (lost ball; steal by C. Miles),,76-77,,
4:54.0,,,76-77,,D. DeRozan misses 2-pt shot from 12 ft
4:52.0,,,76-77,,Offensive rebound by Team
4:52.0,Loose ball foul by J. Nelson (drawn by S. Ibaka),,76-77,,
4:47.0,,,76-77,,D. DeRozan misses 2-pt shot from 4 ft
4:45.0,Defensive rebound by A. Davis,,76-77,,
4:38.0,J. Holiday makes 2-pt shot from 9 ft,2,78-77,,
4:24.0,,,78-77,,C. Miles misses 3-pt shot from 25 ft
4:19.0,,,78-77,,Offensive rebound by J. Poeltl
4:13.0,,,78-79,2,J. Poeltl makes 2-pt shot from 1 ft (assist by K. Lowry)
4:02.0,D. Miller misses 3-pt shot from 27 ft,,78-79,,
3:58.0,,,78-79,,Defensive rebound by J. Poeltl
3:51.0,,,78-79,,Turnover by D. DeRozan (bad pass)
3:38.0,A. Davis misses 3-pt shot from 25 ft,,78-79,,
3:35.0,,,78-79,,Defensive rebound by K. Lowry
3:20.0,,,78-81,2,S. Ibaka makes 2-pt shot from 2 ft (assist by D. DeRozan)
3:13.0,D. Cunningham makes 2-pt shot from 1 ft (assist by J. Holiday),2,80-81,,
2:56.0,,,80-83,2,S. Ibaka makes 2-pt shot from 12 ft
2:54.0,,,80-83,,Technical foul by S. Ibaka
2:54.0,J. Holiday makes technical free throw,1,81-83,,
2:38.0,D. Cunningham makes 3-pt shot from 23 ft (assist by J. Nelson),3,84-83,,
2:27.0,,,84-86,3,K. Lowry makes 3-pt shot from 28 ft (assist by D. DeRozan)
2:15.0,J. Nelson makes 2-pt shot from 1 ft,2,86-86,,
2:15.0,Shooting foul by C. Miles (drawn by J. Nelson),,86-86,,
2:15.0,,,86-86,,P. Siakam enters the game for K. Lowry
2:15.0,,,86-86,,D. Wright enters the game for S. Ibaka
2:15.0,J. Nelson misses free throw 1 of 1,,86-86,,
2:13.0,,,86-86,,Defensive rebound by D. DeRozan
1:57.0,,,86-86,,D. DeRozan misses 2-pt shot from 15 ft
1:53.0,Defensive rebound by D. Miller,,86-86,,
1:44.0,J. Nelson makes 3-pt shot from 25 ft,3,89-86,,
1:32.0,,,89-89,3,C. Miles makes 3-pt shot from 26 ft
1:19.0,J. Holiday makes 2-pt shot from 2 ft,2,91-89,,
1:19.0,Shooting foul by D. Wright (drawn by J. Holiday),,91-89,,
1:19.0,,,91-89,,F. VanVleet enters the game for D. DeRozan
1:19.0,J. Holiday makes free throw 1 of 1,1,92-89,,
0:59.0,,,92-92,3,D. Wright makes 3-pt shot from 26 ft (assist by J. Poeltl)
0:51.0,J. Nelson misses 2-pt shot from 10 ft,,92-92,,
0:49.0,,,92-92,,Defensive rebound by P. Siakam
0:39.0,,,92-92,,Turnover by C. Miles (bad pass; steal by D. Cunningham)
0:30.0,Turnover by J. Holiday (bad pass; steal by F. VanVleet),,92-92,,
0:25.0,,,92-92,,C. Miles misses 3-pt shot from 25 ft
0:21.0,Defensive rebound by J. Holiday,,92-92,,
0:18.0,A. Davis misses 2-pt shot from 5 ft,,92-92,,
0:14.0,,,92-92,,Defensive rebound by F. VanVleet
0:01.0,,,92-92,,F. VanVleet misses 2-pt shot from 13 ft
0:00.0,,,92-92,,Offensive rebound by Team
0:00.0,,,92-92,,F. VanVleet misses 2-pt shot from 13 ft
0:00.0,,,92-92,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,92-94,2,P. Siakam makes 2-pt shot from 4 ft (assist by D. Wright)
11:46.0,,,92-94,,Shooting foul by D. Miller (drawn by P. Siakam)
11:46.0,,,92-94,,P. Siakam misses free throw 1 of 1
11:44.0,,,92-94,,Offensive rebound by Team
11:32.0,,,92-94,,P. Siakam misses 2-pt shot from 7 ft
11:31.0,Defensive rebound by D. Cousins,,92-94,,
11:17.0,D. Miller makes 3-pt shot from 25 ft (assist by E. Moore),3,95-94,,
10:55.0,,,95-94,,F. VanVleet misses 3-pt shot from 26 ft
10:52.0,,,95-94,,Offensive rebound by C. Miles
10:50.0,,,95-94,,Personal foul by D. Wright (drawn by J. Nelson)
10:49.0,,,95-94,,Turnover by C. Miles (bad pass; steal by E. Moore)
10:32.0,D. Cousins misses 3-pt shot from 25 ft,,95-94,,
10:29.0,,,95-94,,Defensive rebound by P. Siakam
10:15.0,,,95-94,,C. Miles misses 2-pt shot from 2 ft
10:14.0,Defensive rebound by D. Cousins,,95-94,,
10:08.0,Shooting foul by P. Siakam (drawn by D. Miller),,95-94,,
10:08.0,D. Miller misses free throw 1 of 2,,95-94,,
10:08.0,Offensive rebound by Team,,95-94,,
10:08.0,T. Allen enters the game for D. Cunningham,,95-94,,
10:08.0,D. Miller makes free throw 2 of 2,1,96-94,,
9:48.0,,,96-94,,F. VanVleet misses 3-pt shot from 22 ft
9:45.0,Defensive rebound by E. Moore,,96-94,,
9:42.0,T. Allen makes 2-pt shot from 1 ft (assist by E. Moore),2,98-94,,
9:26.0,,,98-94,,F. VanVleet misses 2-pt shot from 2 ft
9:26.0,,,98-94,,Offensive rebound by Team
9:26.0,Loose ball foul by J. Nelson (drawn by J. Poeltl),,98-94,,
9:26.0,,,98-94,,O. Anunoby enters the game for P. Siakam
9:26.0,,,98-94,,K. Lowry enters the game for D. Wright
9:20.0,,,98-97,3,O. Anunoby makes 3-pt shot from 23 ft (assist by J. Poeltl)
8:58.0,D. Cousins makes 2-pt shot from 1 ft (assist by E. Moore),2,100-97,,
8:45.0,,,100-97,,J. Poeltl misses 2-pt shot from 3 ft
8:45.0,Defensive rebound by D. Cousins,,100-97,,
8:36.0,D. Cousins misses 2-pt shot from 2 ft,,100-97,,
8:33.0,,,100-97,,Defensive rebound by O. Anunoby
8:26.0,,,100-97,,Shooting foul by J. Nelson (drawn by O. Anunoby)
8:26.0,,,100-97,,O. Anunoby misses free throw 1 of 2
8:26.0,,,100-97,,Offensive rebound by Team
8:26.0,,,100-98,1,O. Anunoby makes free throw 2 of 2
8:13.0,D. Cousins misses 3-pt shot from 25 ft,,100-98,,
8:11.0,,,100-98,,Defensive rebound by F. VanVleet
7:57.0,,,100-98,,K. Lowry misses 3-pt shot from 26 ft
7:53.0,Defensive rebound by T. Allen,,100-98,,
7:37.0,D. Cousins makes 2-pt shot from 1 ft (assist by T. Allen),2,102-98,,
7:30.0,,,102-98,,Toronto full timeout
7:30.0,,,102-98,,D. DeRozan enters the game for C. Miles
7:30.0,,,102-98,,S. Ibaka enters the game for F. VanVleet
7:30.0,,,102-98,,J. Valanciunas enters the game for J. Poeltl
7:30.0,A. Davis enters the game for J. Nelson,,102-98,,
7:30.0,J. Holiday enters the game for D. Miller,,102-98,,
7:19.0,,,102-98,,Shooting foul by A. Davis (drawn by D. DeRozan)
7:19.0,,,102-99,1,D. DeRozan makes free throw 1 of 2
7:19.0,,,102-100,1,D. DeRozan makes free throw 2 of 2
7:05.0,A. Davis misses 2-pt shot from 1 ft (block by S. Ibaka),,102-100,,
7:03.0,,,102-100,,Defensive rebound by O. Anunoby
6:55.0,,,102-100,,Shooting foul by D. Cousins (drawn by J. Valanciunas)
6:55.0,,,102-100,,J. Valanciunas misses free throw 1 of 2
6:55.0,,,102-100,,Offensive rebound by Team
6:55.0,,,102-101,1,J. Valanciunas makes free throw 2 of 2
6:44.0,,,102-101,,Personal foul by S. Ibaka (drawn by A. Davis)
6:38.0,E. Moore misses 2-pt shot from 5 ft,,102-101,,
