time,Milwaukee,pts.away,score,pts.home,Golden State
11:21.0,,,29-30,,Defensive rebound by A. Iguodala
11:19.0,,,29-30,,Turnover by A. Iguodala (bad pass; steal by T. Zeller)
11:14.0,J. Parker makes 2-pt shot from 6 ft (assist by B. Jennings),2,31-30,,
10:55.0,,,31-30,,Turnover by A. Iguodala (bad pass; steal by J. Terry)
10:49.0,J. Terry makes 2-pt shot from 2 ft (assist by J. Parker),2,33-30,,
10:30.0,,,33-30,,A. Iguodala misses 2-pt shot from 15 ft
10:26.0,Defensive rebound by T. Zeller,,33-30,,
10:19.0,T. Zeller misses 2-pt shot from 3 ft,,33-30,,
10:15.0,,,33-30,,Defensive rebound by D. Green
10:14.0,,,33-32,2,S. Livingston makes 2-pt shot from 17 ft
9:55.0,B. Jennings misses 3-pt shot from 26 ft,,33-32,,
9:54.0,,,33-32,,Defensive rebound by Team
9:54.0,Loose ball foul by T. Zeller (drawn by A. Iguodala),,33-32,,
9:39.0,,,33-32,,D. West misses 2-pt shot from 17 ft
9:34.0,Defensive rebound by K. Middleton,,33-32,,
9:33.0,Turnover by K. Middleton (lost ball; steal by S. Livingston),,33-32,,
9:20.0,,,33-32,,Shooting foul by J. Terry (drawn by D. West)
9:20.0,,,33-33,1,D. West makes free throw 1 of 2
9:20.0,G. Antetokounmpo enters the game for K. Middleton,,33-33,,
9:20.0,,,33-34,1,D. West makes free throw 2 of 2
9:05.0,Turnover by J. Terry (bad pass; steal by A. Iguodala),,33-34,,
8:48.0,,,33-36,2,D. West makes 2-pt shot from 2 ft (assist by A. Iguodala)
8:26.0,J. Parker misses 2-pt shot from 1 ft,,33-36,,
8:24.0,Offensive rebound by J. Parker,,33-36,,
8:24.0,J. Parker misses 2-pt shot at rim,,33-36,,
8:22.0,Offensive rebound by Team,,33-36,,
8:22.0,,,33-36,,Loose ball foul by D. West (drawn by T. Zeller)
8:08.0,B. Jennings makes 3-pt shot from 25 ft (assist by T. Zeller),3,36-36,,
7:46.0,,,36-38,2,D. West makes 2-pt shot from 17 ft (assist by D. Green)
7:29.0,J. Parker makes 2-pt shot from 5 ft,2,38-38,,
7:07.0,,,38-38,,Turnover by D. Green (bad pass)
7:00.0,Turnover by B. Jennings (bad pass; steal by S. Livingston),,38-38,,
6:54.0,,,38-38,,Turnover by D. West (bad pass; steal by T. Zeller)
6:53.0,,,38-38,,Personal foul by S. Livingston (drawn by G. Antetokounmpo)
6:53.0,,,38-38,,Golden State full timeout
6:53.0,,,38-38,,P. McCaw enters the game for N. Young
6:53.0,,,38-38,,Q. Cook enters the game for A. Iguodala
6:53.0,T. Snell enters the game for J. Terry,,38-38,,
6:46.0,B. Jennings misses 2-pt shot from 9 ft,,38-38,,
6:44.0,,,38-38,,Defensive rebound by D. West
6:33.0,,,38-38,,Offensive foul by D. Green (drawn by T. Zeller)
6:33.0,,,38-38,,Turnover by D. Green (offensive foul)
6:33.0,K. Middleton enters the game for G. Antetokounmpo,,38-38,,
6:16.0,T. Snell misses 3-pt shot from 25 ft,,38-38,,
6:10.0,,,38-38,,Defensive rebound by D. Green
5:59.0,,,38-38,,S. Livingston misses 2-pt shot from 12 ft
5:53.0,Defensive rebound by T. Zeller,,38-38,,
5:47.0,Turnover by B. Jennings (bad pass; steal by D. Green),,38-38,,
5:43.0,,,38-40,2,S. Livingston makes 2-pt shot from 2 ft (assist by D. Green)
5:24.0,Turnover by K. Middleton (bad pass; steal by D. West),,38-40,,
5:12.0,,,38-42,2,D. West makes 2-pt shot from 12 ft (assist by D. Green)
5:09.0,Milwaukee full timeout,,38-42,,
5:09.0,,,38-42,,K. Durant enters the game for D. West
5:09.0,,,38-42,,K. Looney enters the game for S. Livingston
5:09.0,G. Antetokounmpo enters the game for B. Jennings,,38-42,,
5:09.0,E. Bledsoe enters the game for J. Parker,,38-42,,
5:09.0,J. Henson enters the game for T. Zeller,,38-42,,
5:01.0,,,38-42,,Personal foul by K. Looney (drawn by E. Bledsoe)
4:54.0,K. Middleton misses 3-pt shot from 26 ft,,38-42,,
4:47.0,,,38-42,,Defensive rebound by K. Looney
4:35.0,,,38-42,,D. Green misses 2-pt shot from 18 ft
4:33.0,Defensive rebound by G. Antetokounmpo,,38-42,,
4:28.0,G. Antetokounmpo makes 2-pt shot from 3 ft,2,40-42,,
4:13.0,,,40-42,,Turnover by D. Green (bad pass; steal by G. Antetokounmpo)
4:08.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,42-42,,
3:52.0,,,42-44,2,K. Looney makes 2-pt shot from 14 ft (assist by K. Durant)
3:35.0,E. Bledsoe makes 2-pt shot from 1 ft,2,44-44,,
3:20.0,,,44-47,3,Q. Cook makes 3-pt shot from 26 ft (assist by K. Durant)
2:58.0,K. Middleton misses 2-pt shot from 17 ft,,44-47,,
2:55.0,,,44-47,,Defensive rebound by Q. Cook
2:42.0,Personal foul by K. Middleton (drawn by D. Green),,44-47,,
2:42.0,,,44-47,,A. Iguodala enters the game for D. Green
2:39.0,,,44-47,,K. Durant misses 3-pt shot from 26 ft
2:36.0,Defensive rebound by Team,,44-47,,
2:24.0,T. Snell makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,47-47,,
2:08.0,,,47-49,2,K. Looney makes 2-pt shot from 1 ft
2:02.0,,,47-49,,Personal foul by K. Looney (drawn by K. Middleton)
1:54.0,E. Bledsoe misses 3-pt shot from 24 ft,,47-49,,
1:50.0,,,47-49,,Defensive rebound by A. Iguodala
1:35.0,,,47-49,,Turnover by K. Durant (bad pass; steal by K. Middleton)
1:32.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,49-49,,
1:25.0,,,49-49,,Turnover by Q. Cook (bad pass; steal by T. Snell)
1:13.0,J. Henson makes 2-pt shot from 3 ft (assist by E. Bledsoe),2,51-49,,
0:49.0,,,51-49,,Turnover by Team (shot clock)
0:39.0,E. Bledsoe makes 2-pt shot from 1 ft,2,53-49,,
0:39.0,Shooting foul by Q. Cook (drawn by E. Bledsoe),,53-49,,
0:39.0,E. Bledsoe makes free throw 1 of 1,1,54-49,,
0:36.0,,,54-49,,Turnover by K. Durant (bad pass; steal by E. Bledsoe)
0:33.0,E. Bledsoe makes 2-pt shot from 1 ft,2,56-49,,
0:12.0,,,56-49,,K. Durant misses 2-pt shot from 3 ft
0:11.0,,,56-49,,Offensive rebound by K. Looney
0:03.0,,,56-49,,Q. Cook misses 2-pt shot from 13 ft
0:02.0,Defensive rebound by K. Middleton,,56-49,,
0:02.0,,,56-49,,Technical foul by K. Durant
0:02.0,K. Middleton makes technical free throw,1,57-49,,
0:02.0,,,57-49,,Technical foul by K. Durant
0:02.0,K. Middleton makes technical free throw,1,58-49,,
0:02.0,,,58-49,,D. Green enters the game for K. Durant
0:01.0,J. Henson misses 3-pt shot from 47 ft,,58-49,,
0:00.0,Offensive rebound by Team,,58-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,58-49,,D. Green misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by E. Bledsoe,,58-49,,
11:28.0,K. Middleton makes 3-pt shot from 26 ft (assist by T. Snell),3,61-49,,
11:03.0,,,61-49,,Turnover by D. Green (bad pass; steal by J. Henson)
10:56.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,61-49,,
10:52.0,,,61-49,,Defensive rebound by D. Green
10:39.0,,,61-49,,Q. Cook misses 2-pt shot from 1 ft (block by E. Bledsoe)
10:32.0,Defensive rebound by J. Henson,,61-49,,
10:16.0,G. Antetokounmpo makes 2-pt shot from 22 ft,2,63-49,,
9:54.0,,,63-51,2,J. McGee makes 2-pt shot from 6 ft (assist by A. Iguodala)
9:44.0,K. Middleton makes 2-pt shot from 5 ft (assist by J. Henson),2,65-51,,
9:29.0,Personal foul by K. Middleton (drawn by J. McGee),,65-51,,
9:20.0,,,65-53,2,D. Green makes 2-pt shot from 10 ft (assist by A. Iguodala)
9:02.0,,,65-53,,Personal foul by Q. Cook (drawn by E. Bledsoe)
8:51.0,T. Snell misses 2-pt shot from 7 ft (block by J. McGee),,65-53,,
8:48.0,,,65-53,,Defensive rebound by A. Iguodala
8:44.0,,,65-55,2,J. McGee makes 2-pt shot from 1 ft (assist by Q. Cook)
8:34.0,,,65-55,,Personal foul by D. Green (drawn by G. Antetokounmpo)
8:22.0,,,65-55,,Personal foul by J. McGee (drawn by G. Antetokounmpo)
8:15.0,J. Henson misses 2-pt shot from 2 ft,,65-55,,
8:11.0,,,65-55,,Defensive rebound by A. Iguodala
8:04.0,,,65-55,,D. Green misses 2-pt shot from 18 ft
8:02.0,Defensive rebound by E. Bledsoe,,65-55,,
7:50.0,G. Antetokounmpo makes 2-pt shot from 8 ft (assist by E. Bledsoe),2,67-55,,
