time,Milwaukee,pts.away,score,pts.home,Chicago
9:56.0,,,61-65,,Defensive rebound by L. Markkanen
9:35.0,,,61-65,,C. Felicio misses 2-pt shot from 2 ft
9:35.0,,,61-65,,Offensive rebound by C. Felicio
9:34.0,,,61-67,2,C. Felicio makes 2-pt shot from 2 ft
9:27.0,K. Middleton misses 2-pt shot from 1 ft,,61-67,,
9:26.0,Offensive rebound by J. Parker,,61-67,,
9:18.0,S. Brown makes 2-pt shot from 1 ft (assist by J. Parker),2,63-67,,
8:59.0,,,63-67,,Turnover by D. Valentine (bad pass)
8:46.0,J. Parker makes 2-pt shot at rim,2,65-67,,
8:33.0,,,65-67,,D. Valentine misses 2-pt shot from 7 ft
8:33.0,Defensive rebound by S. Brown,,65-67,,
8:26.0,E. Bledsoe misses 2-pt shot from 3 ft,,65-67,,
8:24.0,,,65-67,,Defensive rebound by J. Holiday
8:19.0,,,65-67,,J. Holiday misses 2-pt shot from 13 ft
8:17.0,,,65-67,,Offensive rebound by J. Holiday
8:15.0,,,65-69,2,J. Holiday makes 2-pt shot from 1 ft
7:53.0,J. Henson makes 2-pt shot at rim (assist by E. Bledsoe),2,67-69,,
7:32.0,,,67-69,,J. Holiday misses 2-pt shot from 1 ft
7:32.0,Defensive rebound by J. Henson,,67-69,,
7:27.0,S. Brown misses 3-pt shot from 25 ft,,67-69,,
7:24.0,,,67-69,,Defensive rebound by L. Markkanen
7:17.0,,,67-72,3,D. Valentine makes 3-pt shot from 25 ft (assist by J. Holiday)
7:15.0,Milwaukee full timeout,,67-72,,
7:15.0,T. Snell enters the game for S. Brown,,67-72,,
7:00.0,Shooting foul by C. Payne (drawn by E. Bledsoe),,67-72,,
7:00.0,E. Bledsoe makes free throw 1 of 2,1,68-72,,
7:00.0,E. Bledsoe makes free throw 2 of 2,1,69-72,,
6:50.0,Personal foul by J. Parker (drawn by L. Markkanen),,69-72,,
6:38.0,,,69-72,,C. Payne misses 2-pt shot from 21 ft (block by E. Bledsoe)
6:37.0,,,69-72,,Offensive rebound by C. Felicio
6:36.0,,,69-72,,Turnover by Team (shot clock)
6:21.0,T. Snell makes 3-pt shot from 24 ft (assist by J. Parker),3,72-72,,
6:00.0,,,72-72,,C. Felicio misses 2-pt shot from 10 ft
5:58.0,,,72-72,,Offensive rebound by L. Markkanen
5:54.0,,,72-72,,C. Payne misses 2-pt shot from 12 ft
5:51.0,Defensive rebound by J. Parker,,72-72,,
5:39.0,T. Snell makes 2-pt shot from 11 ft,2,74-72,,
5:24.0,,,74-72,,R. Arcidiacono enters the game for C. Felicio
5:24.0,,,74-72,,B. Portis enters the game for J. Holiday
5:24.0,,,74-72,,D. Nwaba enters the game for C. Payne
5:06.0,,,74-72,,D. Nwaba misses 2-pt shot from 8 ft (block by E. Bledsoe)
5:04.0,,,74-72,,Offensive rebound by Team
4:58.0,,,74-72,,B. Portis misses 2-pt shot from 20 ft
4:58.0,Defensive rebound by E. Bledsoe,,74-72,,
4:52.0,K. Middleton misses 2-pt shot from 1 ft,,74-72,,
4:49.0,,,74-72,,Defensive rebound by D. Valentine
4:42.0,,,74-72,,B. Portis misses 2-pt shot from 13 ft
4:39.0,Defensive rebound by J. Henson,,74-72,,
4:35.0,J. Parker misses 2-pt shot from 18 ft,,74-72,,
4:32.0,,,74-72,,Defensive rebound by D. Valentine
4:23.0,,,74-72,,D. Valentine misses 2-pt shot from 12 ft
4:20.0,Defensive rebound by K. Middleton,,74-72,,
4:16.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by K. Middleton),2,76-72,,
4:16.0,,,76-72,,Chicago full timeout
4:16.0,,,76-72,,N. Vonleh enters the game for L. Markkanen
4:16.0,,,76-72,,J. Grant enters the game for D. Valentine
4:16.0,T. Maker enters the game for K. Middleton,,76-72,,
4:16.0,J. Terry enters the game for J. Henson,,76-72,,
4:07.0,,,76-74,2,J. Grant makes 2-pt shot from 1 ft
3:49.0,,,76-74,,Personal foul by B. Portis (drawn by E. Bledsoe)
3:37.0,E. Bledsoe misses 3-pt shot from 24 ft,,76-74,,
3:37.0,,,76-74,,Defensive rebound by N. Vonleh
3:27.0,,,76-74,,R. Arcidiacono misses 3-pt shot from 25 ft
3:25.0,Defensive rebound by Team,,76-74,,
3:14.0,,,76-74,,Personal foul by J. Grant (drawn by E. Bledsoe)
3:14.0,E. Bledsoe makes free throw 1 of 2,1,77-74,,
3:14.0,S. Muhammad enters the game for J. Parker,,77-74,,
3:14.0,E. Bledsoe makes free throw 2 of 2,1,78-74,,
3:01.0,,,78-74,,Turnover by J. Grant (traveling)
2:50.0,T. Snell makes 3-pt shot from 26 ft (assist by S. Muhammad),3,81-74,,
2:35.0,,,81-76,2,N. Vonleh makes 2-pt shot from 2 ft
2:16.0,S. Muhammad makes 3-pt shot from 22 ft (assist by T. Maker),3,84-76,,
1:47.0,,,84-76,,Turnover by B. Portis (bad pass; steal by S. Muhammad)
1:42.0,T. Maker makes 2-pt shot from 15 ft (assist by E. Bledsoe),2,86-76,,
1:18.0,,,86-76,,D. Nwaba misses 2-pt shot from 8 ft
1:18.0,,,86-76,,Offensive rebound by Team
1:18.0,Loose ball foul by S. Muhammad (drawn by N. Vonleh),,86-76,,
1:18.0,B. Jennings enters the game for E. Bledsoe,,86-76,,
1:12.0,,,86-79,3,B. Portis makes 3-pt shot from 25 ft (assist by J. Grant)
0:54.0,S. Muhammad makes 2-pt shot from 10 ft (assist by J. Terry),2,88-79,,
0:38.0,,,88-82,3,J. Grant makes 3-pt shot from 24 ft (assist by B. Portis)
0:24.0,S. Muhammad makes 2-pt shot from 12 ft,2,90-82,,
0:01.0,,,90-82,,J. Grant misses 2-pt shot from 5 ft
0:01.0,,,90-82,,Offensive rebound by B. Portis
0:00.0,,,90-82,,B. Portis misses 2-pt shot at rim
0:00.0,,,90-82,,Offensive rebound by B. Portis
0:00.0,,,90-82,,B. Portis misses 2-pt shot at rim
0:00.0,,,90-82,,Offensive rebound by B. Portis
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,S. Muhammad misses 2-pt shot from 4 ft,,90-82,,
11:40.0,,,90-82,,Defensive rebound by N. Vonleh
11:23.0,,,90-82,,B. Portis misses 2-pt shot from 3 ft
11:21.0,Defensive rebound by S. Muhammad,,90-82,,
11:20.0,,,90-82,,Personal foul by J. Grant (drawn by T. Maker)
11:16.0,T. Maker misses 3-pt shot from 25 ft,,90-82,,
11:12.0,,,90-82,,Defensive rebound by B. Portis
11:05.0,,,90-84,2,B. Portis makes 2-pt shot at rim (assist by J. Grant)
10:52.0,,,90-84,,Personal foul by D. Nwaba (drawn by B. Jennings)
10:52.0,,,90-84,,Technical foul by J. Grant (drawn by B. Jennings)
10:52.0,B. Jennings makes free throw 1 of 1,1,91-84,,
10:52.0,K. Middleton enters the game for T. Snell,,91-84,,
10:40.0,J. Terry makes 3-pt shot from 27 ft (assist by K. Middleton),3,94-84,,
10:23.0,Personal foul by J. Terry (drawn by J. Grant),,94-84,,
10:23.0,,,94-84,,C. Felicio enters the game for N. Vonleh
10:16.0,,,94-84,,Turnover by C. Felicio (lost ball; steal by S. Muhammad)
10:16.0,S. Muhammad makes 2-pt shot at rim,2,96-84,,
10:16.0,Shooting foul by D. Nwaba (drawn by S. Muhammad),,96-84,,
10:16.0,S. Muhammad makes free throw 1 of 1,1,97-84,,
10:06.0,,,97-84,,R. Arcidiacono misses 3-pt shot from 25 ft
10:03.0,,,97-84,,Offensive rebound by D. Nwaba
9:54.0,,,97-84,,Shooting foul by J. Terry (drawn by D. Nwaba)
9:54.0,,,97-85,1,D. Nwaba makes free throw 1 of 2
9:54.0,,,97-86,1,D. Nwaba makes free throw 2 of 2
9:38.0,,,97-86,,Personal foul by B. Portis (drawn by T. Maker)
9:38.0,T. Maker makes free throw 1 of 2,1,98-86,,
9:38.0,T. Maker misses free throw 2 of 2,,98-86,,
9:35.0,,,98-86,,Defensive rebound by C. Felicio
9:29.0,,,98-88,2,C. Felicio makes 2-pt shot from 1 ft (assist by R. Arcidiacono)
9:29.0,,,98-88,,Shooting foul by T. Maker (drawn by C. Felicio)
9:29.0,,,98-89,1,C. Felicio makes free throw 1 of 1
9:13.0,B. Jennings misses 3-pt shot from 22 ft,,98-89,,
9:06.0,,,98-89,,Defensive rebound by R. Arcidiacono
8:55.0,,,98-89,,Turnover by D. Nwaba (lost ball; steal by K. Middleton)
8:55.0,S. Muhammad makes 2-pt shot at rim (assist by B. Jennings),2,100-89,,
8:55.0,,,100-89,,Chicago full timeout
8:44.0,Personal foul by T. Maker (drawn by C. Felicio),,100-89,,
8:38.0,,,100-89,,B. Portis misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by B. Jennings,,100-89,,
8:18.0,T. Maker makes 2-pt shot at rim,2,102-89,,
8:18.0,Shooting foul by B. Portis (drawn by T. Maker),,102-89,,
8:18.0,T. Maker misses free throw 1 of 1,,102-89,,
8:15.0,,,102-89,,Defensive rebound by C. Felicio
8:01.0,,,102-92,3,B. Portis makes 3-pt shot from 22 ft (assist by J. Grant)
7:37.0,J. Terry misses 3-pt shot from 23 ft,,102-92,,
7:36.0,Offensive rebound by Team,,102-92,,
7:27.0,K. Middleton misses 3-pt shot from 24 ft,,102-92,,
7:24.0,,,102-92,,Defensive rebound by D. Nwaba
7:18.0,,,102-92,,Turnover by D. Nwaba (bad pass; steal by T. Maker)
7:09.0,B. Jennings misses 2-pt shot from 5 ft,,102-92,,
7:04.0,Offensive rebound by T. Maker,,102-92,,
7:04.0,T. Maker misses 2-pt shot at rim,,102-92,,
7:04.0,,,102-92,,Defensive rebound by R. Arcidiacono
7:04.0,,,102-92,,C. Payne enters the game for J. Grant
7:04.0,,,102-92,,D. Valentine enters the game for R. Arcidiacono
6:54.0,,,102-92,,Shooting foul by T. Maker (drawn by D. Nwaba)
6:54.0,,,102-93,1,D. Nwaba makes free throw 1 of 2
6:54.0,,,102-93,,N. Vonleh enters the game for B. Portis
6:54.0,E. Bledsoe enters the game for J. Terry,,102-93,,
6:54.0,J. Henson enters the game for T. Maker,,102-93,,
6:54.0,T. Snell enters the game for B. Jennings,,102-93,,
6:54.0,,,102-94,1,D. Nwaba makes free throw 2 of 2
6:40.0,K. Middleton makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,105-94,,
6:16.0,,,105-94,,C. Felicio misses 2-pt shot from 2 ft (block by J. Henson)
6:13.0,Defensive rebound by J. Henson,,105-94,,
6:02.0,J. Henson misses 2-pt shot from 1 ft (block by D. Valentine),,105-94,,
6:00.0,,,105-94,,Defensive rebound by C. Felicio
5:58.0,,,105-94,,D. Nwaba misses 2-pt shot at rim
5:55.0,Defensive rebound by S. Muhammad,,105-94,,
5:44.0,K. Middleton misses 2-pt shot from 2 ft,,105-94,,
5:44.0,Offensive rebound by J. Henson,,105-94,,
5:44.0,J. Henson makes 2-pt shot at rim,2,107-94,,
5:44.0,,,107-94,,Chicago full timeout
5:44.0,,,107-94,,J. Grant enters the game for D. Nwaba
5:25.0,,,107-94,,C. Payne misses 2-pt shot from 4 ft (block by S. Muhammad)
5:25.0,,,107-94,,Offensive rebound by Team
5:20.0,,,107-94,,C. Felicio misses 2-pt shot from 19 ft
5:14.0,Defensive rebound by E. Bledsoe,,107-94,,
5:03.0,Turnover by K. Middleton (lost ball; steal by D. Valentine),,107-94,,
5:03.0,,,107-96,2,C. Felicio makes 2-pt shot from 1 ft
5:03.0,,,107-96,,Shooting foul by K. Middleton (drawn by C. Felicio)
5:03.0,,,107-97,1,C. Felicio makes free throw 1 of 1
4:41.0,S. Muhammad misses 2-pt shot from 11 ft,,107-97,,
4:41.0,,,107-97,,Defensive rebound by N. Vonleh
4:30.0,,,107-97,,N. Vonleh misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by J. Henson,,107-97,,
4:17.0,E. Bledsoe misses 3-pt shot from 25 ft,,107-97,,
4:14.0,,,107-97,,Defensive rebound by N. Vonleh
4:09.0,,,107-100,3,C. Payne makes 3-pt shot from 25 ft
4:09.0,Milwaukee full timeout,,107-100,,
4:09.0,J. Parker enters the game for S. Muhammad,,107-100,,
4:09.0,J. Terry enters the game for T. Snell,,107-100,,
