time,Boston,pts.away,score,pts.home,Milwaukee
4:20.0,A. Baynes misses 2-pt shot from 17 ft,,21-17,,
4:16.0,,,21-17,,Defensive rebound by S. Brown
4:10.0,,,21-17,,Shooting foul by A. Baynes (drawn by K. Middleton)
4:10.0,,,21-18,1,K. Middleton makes free throw 1 of 2
4:10.0,,,21-18,,T. Zeller enters the game for J. Henson
4:10.0,,,21-18,,J. Parker enters the game for G. Antetokounmpo
4:10.0,G. Monroe enters the game for J. Tatum,,21-18,,
4:10.0,M. Morris enters the game for K. Allen,,21-18,,
4:10.0,S. Ojeleye enters the game for A. Baynes,,21-18,,
4:10.0,,,21-19,1,K. Middleton makes free throw 2 of 2
3:46.0,G. Monroe misses 2-pt shot from 3 ft,,21-19,,
3:43.0,,,21-19,,Defensive rebound by K. Middleton
3:39.0,,,21-21,2,K. Middleton makes 2-pt shot from 9 ft
3:15.0,A. Horford makes 2-pt shot at rim (assist by M. Morris),2,23-21,,
2:59.0,,,23-21,,Turnover by S. Brown (lost ball; steal by J. Brown)
2:57.0,Shooting foul by S. Brown (drawn by J. Brown),,23-21,,
2:57.0,Boston full timeout,,23-21,,
2:57.0,J. Brown makes free throw 1 of 2,1,24-21,,
2:57.0,J. Brown makes free throw 2 of 2,1,25-21,,
2:46.0,,,25-23,2,K. Middleton makes 2-pt shot from 19 ft
2:22.0,G. Monroe makes 2-pt shot from 3 ft,2,27-23,,
2:03.0,,,27-23,,J. Parker misses 2-pt shot from 8 ft
2:01.0,Defensive rebound by G. Monroe,,27-23,,
1:52.0,M. Morris makes 2-pt shot from 5 ft,2,29-23,,
1:37.0,,,29-23,,J. Parker misses 3-pt shot from 26 ft
1:35.0,Defensive rebound by G. Monroe,,29-23,,
1:23.0,,,29-23,,J. Terry enters the game for E. Bledsoe
1:23.0,,,29-23,,G. Antetokounmpo enters the game for K. Middleton
1:23.0,A. Baynes enters the game for A. Horford,,29-23,,
1:17.0,M. Morris misses 2-pt shot from 16 ft,,29-23,,
1:14.0,,,29-23,,Defensive rebound by G. Antetokounmpo
0:57.0,,,29-26,3,J. Terry makes 3-pt shot from 23 ft (assist by J. Parker)
0:44.0,Turnover by G. Monroe (bad pass),,29-26,,
0:24.0,,,29-26,,G. Antetokounmpo misses 2-pt shot from 3 ft (block by G. Monroe)
0:20.0,Defensive rebound by S. Ojeleye,,29-26,,
0:19.0,J. Brown makes 2-pt shot from 1 ft,2,31-26,,
0:19.0,Shooting foul by T. Zeller (drawn by J. Brown),,31-26,,
0:19.0,J. Brown misses free throw 1 of 1,,31-26,,
0:19.0,,,31-26,,Defensive rebound by G. Antetokounmpo
0:00.0,,,31-26,,Turnover by G. Antetokounmpo (bad pass; steal by M. Morris)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,31-29,3,J. Terry makes 3-pt shot from 23 ft (assist by S. Brown)
11:30.0,M. Morris misses 3-pt shot from 26 ft,,31-29,,
11:28.0,,,31-29,,Defensive rebound by S. Brown
11:20.0,,,31-31,2,G. Antetokounmpo makes 2-pt shot at rim (assist by S. Brown)
11:06.0,,,31-31,,Personal foul by G. Antetokounmpo (drawn by G. Monroe)
11:00.0,M. Morris misses 2-pt shot from 7 ft,,31-31,,
10:58.0,,,31-31,,Defensive rebound by G. Antetokounmpo
10:48.0,,,31-31,,G. Antetokounmpo misses 2-pt shot from 18 ft
10:46.0,Defensive rebound by G. Monroe,,31-31,,
10:34.0,J. Tatum misses 2-pt shot from 19 ft,,31-31,,
10:30.0,Offensive rebound by G. Yabusele,,31-31,,
10:17.0,G. Monroe makes 2-pt shot from 1 ft (assist by M. Morris),2,33-31,,
9:48.0,,,33-31,,G. Antetokounmpo misses 2-pt shot from 15 ft
9:46.0,,,33-31,,Offensive rebound by S. Brown
9:43.0,,,33-31,,S. Brown misses 2-pt shot at rim
9:43.0,,,33-31,,Offensive rebound by G. Antetokounmpo
9:38.0,,,33-33,2,G. Antetokounmpo makes 2-pt shot at rim
9:22.0,M. Morris makes 3-pt shot from 26 ft (assist by G. Monroe),3,36-33,,
9:01.0,,,36-33,,Turnover by J. Parker (lost ball; steal by J. Tatum)
8:55.0,J. Tatum misses 3-pt shot from 22 ft,,36-33,,
8:52.0,,,36-33,,Defensive rebound by G. Antetokounmpo
8:49.0,,,36-33,,Turnover by G. Antetokounmpo (bad pass)
8:35.0,J. Tatum misses 3-pt shot from 27 ft,,36-33,,
8:31.0,Offensive rebound by S. Ojeleye,,36-33,,
8:27.0,G. Yabusele misses 3-pt shot from 26 ft,,36-33,,
8:24.0,,,36-33,,Defensive rebound by T. Zeller
8:14.0,,,36-35,2,G. Antetokounmpo makes 2-pt shot from 3 ft
7:53.0,Turnover by J. Tatum (traveling),,36-35,,
7:48.0,,,36-35,,T. Zeller misses 2-pt shot from 1 ft
7:45.0,Defensive rebound by G. Monroe,,36-35,,
7:42.0,A. Baynes enters the game for G. Monroe,,36-35,,
7:41.0,Shooting foul by S. Brown (drawn by M. Morris),,36-35,,
7:41.0,M. Morris makes free throw 1 of 3,1,37-35,,
7:41.0,M. Morris makes free throw 2 of 3,1,38-35,,
7:41.0,M. Morris makes free throw 3 of 3,1,39-35,,
7:31.0,,,39-37,2,T. Zeller makes 2-pt shot from 2 ft (assist by J. Parker)
7:15.0,A. Baynes makes 2-pt shot from 1 ft (assist by M. Morris),2,41-37,,
7:14.0,,,41-37,,Milwaukee full timeout
7:14.0,,,41-37,,J. Henson enters the game for J. Terry
7:14.0,,,41-37,,K. Middleton enters the game for G. Antetokounmpo
7:14.0,,,41-37,,E. Bledsoe enters the game for T. Zeller
7:14.0,A. Horford enters the game for M. Morris,,41-37,,
7:14.0,K. Allen enters the game for G. Yabusele,,41-37,,
6:58.0,,,41-39,2,J. Parker makes 2-pt shot from 17 ft (assist by K. Middleton)
6:44.0,,,41-39,,Personal foul by S. Brown (drawn by J. Tatum)
6:44.0,,,41-39,,T. Snell enters the game for S. Brown
6:30.0,J. Tatum misses 3-pt shot from 28 ft,,41-39,,
6:25.0,Offensive rebound by S. Ojeleye,,41-39,,
6:23.0,S. Ojeleye makes 2-pt shot from 1 ft,2,43-39,,
6:07.0,,,43-39,,Shooting foul by S. Ojeleye (drawn by K. Middleton)
6:07.0,,,43-40,1,K. Middleton makes free throw 1 of 2
6:07.0,J. Brown enters the game for J. Tatum,,43-40,,
6:07.0,M. Morris enters the game for S. Ojeleye,,43-40,,
6:07.0,,,43-41,1,K. Middleton makes free throw 2 of 2
5:49.0,Turnover by M. Morris (bad pass; steal by J. Parker),,43-41,,
5:44.0,,,43-43,2,J. Parker makes 2-pt shot at rim (assist by E. Bledsoe)
5:24.0,A. Baynes makes 2-pt shot from 1 ft (assist by A. Horford),2,45-43,,
5:08.0,,,45-45,2,J. Henson makes 2-pt shot from 1 ft (assist by J. Parker)
4:55.0,M. Morris misses 2-pt shot from 7 ft (block by J. Henson),,45-45,,
4:52.0,,,45-45,,Defensive rebound by K. Middleton
4:51.0,Personal foul by J. Brown (drawn by K. Middleton),,45-45,,
4:42.0,,,45-48,3,J. Parker makes 3-pt shot from 26 ft (assist by K. Middleton)
4:14.0,K. Allen misses 3-pt shot from 24 ft,,45-48,,
4:11.0,,,45-48,,Defensive rebound by T. Snell
4:03.0,,,45-50,2,E. Bledsoe makes 2-pt shot from 13 ft
4:03.0,Boston full timeout,,45-50,,
4:03.0,G. Monroe enters the game for A. Baynes,,45-50,,
3:47.0,Turnover by G. Monroe (bad pass; steal by K. Middleton),,45-50,,
3:43.0,,,45-50,,E. Bledsoe misses 2-pt shot from 1 ft (block by K. Allen)
3:38.0,Defensive rebound by M. Morris,,45-50,,
3:32.0,Turnover by M. Morris (bad pass),,45-50,,
3:14.0,,,45-50,,Turnover by E. Bledsoe (bad pass; steal by K. Allen)
3:06.0,Turnover by M. Morris (turnover),,45-50,,
2:56.0,,,45-53,3,K. Middleton makes 3-pt shot from 25 ft (assist by E. Bledsoe)
2:37.0,,,45-53,,Personal foul by J. Henson (drawn by G. Monroe)
2:37.0,,,45-53,,G. Antetokounmpo enters the game for J. Parker
2:23.0,G. Monroe misses 2-pt shot from 1 ft,,45-53,,
2:21.0,,,45-53,,Defensive rebound by J. Henson
2:16.0,,,45-53,,T. Snell misses 3-pt shot from 25 ft
2:13.0,Defensive rebound by G. Monroe,,45-53,,
2:03.0,M. Morris makes 2-pt shot from 8 ft,2,47-53,,
1:39.0,,,47-53,,Shooting foul by M. Morris (drawn by J. Henson)
1:39.0,,,47-53,,J. Henson misses free throw 1 of 2
1:39.0,,,47-53,,Offensive rebound by Team
1:39.0,J. Tatum enters the game for K. Allen,,47-53,,
1:39.0,,,47-54,1,J. Henson makes free throw 2 of 2
1:25.0,J. Brown makes 2-pt shot from 3 ft,2,49-54,,
1:25.0,,,49-54,,Violation by J. Henson (def goaltending)
1:10.0,Personal foul by A. Horford (drawn by G. Antetokounmpo),,49-54,,
1:10.0,,,49-55,1,G. Antetokounmpo makes free throw 1 of 2
1:10.0,,,49-56,1,G. Antetokounmpo makes free throw 2 of 2
1:00.0,G. Monroe makes 2-pt shot from 1 ft (assist by J. Brown),2,51-56,,
0:43.0,,,51-58,2,G. Antetokounmpo makes 2-pt shot from 16 ft (assist by T. Snell)
0:25.0,G. Monroe makes 2-pt shot from 2 ft,2,53-58,,
0:02.0,,,53-58,,G. Antetokounmpo misses 2-pt shot from 10 ft (block by J. Brown)
0:02.0,Defensive rebound by J. Tatum,,53-58,,
0:00.0,J. Tatum makes 3-pt shot from 27 ft,3,56-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,56-58,,Turnover by J. Henson (bad pass; steal by J. Tatum)
11:38.0,Turnover by J. Brown (bad pass),,56-58,,
11:24.0,,,56-58,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by A. Horford)
11:20.0,Defensive rebound by A. Baynes,,56-58,,
11:13.0,J. Tatum misses 3-pt shot from 26 ft,,56-58,,
11:10.0,Offensive rebound by A. Horford,,56-58,,
11:08.0,A. Baynes makes 2-pt shot at rim (assist by A. Horford),2,58-58,,
10:57.0,,,58-58,,G. Antetokounmpo misses 3-pt shot from 27 ft
10:54.0,Defensive rebound by A. Baynes,,58-58,,
10:35.0,A. Baynes misses 2-pt shot from 4 ft (block by G. Antetokounmpo),,58-58,,
10:31.0,,,58-58,,Defensive rebound by K. Middleton
10:22.0,,,58-60,2,J. Henson makes 2-pt shot from 5 ft (assist by G. Antetokounmpo)
10:01.0,A. Baynes misses 3-pt shot from 25 ft,,58-60,,
9:58.0,,,58-60,,Defensive rebound by K. Middleton
9:52.0,,,58-62,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton)
9:28.0,A. Horford misses 2-pt shot from 18 ft,,58-62,,
9:25.0,Offensive rebound by A. Baynes,,58-62,,
9:21.0,J. Tatum misses 2-pt shot from 1 ft,,58-62,,
9:21.0,Offensive rebound by A. Baynes,,58-62,,
9:17.0,A. Baynes makes 2-pt shot at rim,2,60-62,,
9:08.0,,,60-62,,K. Middleton misses 2-pt shot from 16 ft
9:06.0,Defensive rebound by J. Brown,,60-62,,
9:01.0,J. Brown misses 3-pt shot from 25 ft,,60-62,,
8:58.0,,,60-62,,Defensive rebound by G. Antetokounmpo
8:46.0,,,60-62,,K. Middleton misses 2-pt shot from 2 ft
8:43.0,Defensive rebound by A. Horford,,60-62,,
8:26.0,J. Brown makes 3-pt shot from 26 ft (assist by A. Horford),3,63-62,,
8:09.0,,,63-62,,Turnover by J. Henson (step out of bounds)
7:48.0,K. Allen misses 2-pt shot from 4 ft (block by J. Henson),,63-62,,
7:48.0,Offensive rebound by Team,,63-62,,
7:43.0,J. Tatum misses 2-pt shot from 17 ft,,63-62,,
7:41.0,,,63-62,,Defensive rebound by G. Antetokounmpo
7:34.0,,,63-62,,T. Snell misses 3-pt shot from 27 ft
7:31.0,Defensive rebound by A. Horford,,63-62,,
7:11.0,A. Baynes misses 2-pt shot from 2 ft (block by J. Henson),,63-62,,
7:11.0,Offensive rebound by Team,,63-62,,
7:06.0,Turnover by K. Allen (bad pass; steal by J. Henson),,63-62,,
7:01.0,,,63-62,,Shooting foul by K. Allen (drawn by J. Henson)
7:01.0,,,63-62,,J. Henson misses free throw 1 of 2
7:01.0,,,63-62,,Offensive rebound by Team
7:01.0,,,63-62,,S. Brown enters the game for T. Snell
7:01.0,M. Morris enters the game for J. Tatum,,63-62,,
7:01.0,G. Monroe enters the game for A. Baynes,,63-62,,
7:01.0,,,63-62,,J. Henson misses free throw 2 of 2
6:59.0,Defensive rebound by G. Monroe,,63-62,,
6:41.0,,,63-62,,Personal foul by J. Henson (drawn by G. Monroe)
6:41.0,,,63-62,,Milwaukee full timeout
6:35.0,J. Brown makes 2-pt shot from 17 ft (assist by G. Monroe),2,65-62,,
6:23.0,Personal foul by K. Allen (drawn by G. Antetokounmpo),,65-62,,
6:09.0,,,65-62,,G. Antetokounmpo misses 3-pt shot from 25 ft
6:05.0,,,65-62,,Offensive rebound by K. Middleton
6:03.0,,,65-64,2,G. Antetokounmpo makes 2-pt shot at rim
5:42.0,Turnover by J. Brown (bad pass),,65-64,,
5:33.0,Personal foul by A. Horford (drawn by J. Henson),,65-64,,
5:31.0,Personal foul by A. Horford (drawn by G. Antetokounmpo),,65-64,,
5:24.0,,,65-66,2,K. Middleton makes 2-pt shot from 2 ft (assist by J. Henson)
5:12.0,,,65-66,,Personal foul by S. Brown (drawn by J. Brown)
5:06.0,,,65-66,,J. Parker enters the game for G. Antetokounmpo
5:06.0,S. Ojeleye enters the game for A. Horford,,65-66,,
5:06.0,A. Nader enters the game for K. Allen,,65-66,,
4:58.0,M. Morris misses 2-pt shot from 10 ft,,65-66,,
4:55.0,,,65-66,,Defensive rebound by K. Middleton
4:52.0,,,65-66,,Turnover by K. Middleton (lost ball; steal by G. Monroe)
4:49.0,Shooting foul by S. Brown (drawn by J. Brown),,65-66,,
4:49.0,J. Brown misses free throw 1 of 2,,65-66,,
4:49.0,Offensive rebound by Team,,65-66,,
4:49.0,,,65-66,,J. Terry enters the game for S. Brown
4:49.0,J. Brown makes free throw 2 of 2,1,66-66,,
4:28.0,,,66-66,,K. Middleton misses 3-pt shot from 26 ft
4:25.0,,,66-66,,Offensive rebound by J. Henson
4:22.0,,,66-68,2,J. Henson makes 2-pt shot at rim (assist by K. Middleton)
4:11.0,J. Brown misses 3-pt shot from 27 ft,,66-68,,
4:07.0,,,66-68,,Defensive rebound by E. Bledsoe
3:58.0,,,66-70,2,E. Bledsoe makes 2-pt shot from 8 ft
3:58.0,,,66-70,,Shooting foul by S. Ojeleye (drawn by E. Bledsoe)
3:58.0,,,66-70,,T. Zeller enters the game for J. Henson
3:58.0,,,66-71,1,E. Bledsoe makes free throw 1 of 1
3:45.0,,,66-71,,Personal foul by K. Middleton (drawn by G. Monroe)
3:31.0,M. Morris misses 2-pt shot from 4 ft,,66-71,,
3:29.0,Offensive rebound by G. Monroe,,66-71,,
3:27.0,G. Monroe misses 2-pt shot from 4 ft,,66-71,,
3:24.0,,,66-71,,Defensive rebound by T. Zeller
3:21.0,,,66-73,2,J. Parker makes 2-pt shot from 2 ft
3:20.0,Boston full timeout,,66-73,,
3:20.0,J. Tatum enters the game for J. Brown,,66-73,,
2:55.0,M. Morris misses 2-pt shot from 10 ft,,66-73,,
2:53.0,,,66-73,,Defensive rebound by J. Parker
2:49.0,,,66-73,,T. Zeller misses 2-pt shot from 1 ft
2:41.0,Defensive rebound by G. Monroe,,66-73,,
2:34.0,M. Morris misses 3-pt shot from 26 ft,,66-73,,
2:31.0,,,66-73,,Defensive rebound by J. Terry
2:16.0,,,66-73,,J. Parker misses 3-pt shot from 26 ft
2:13.0,Defensive rebound by S. Ojeleye,,66-73,,
2:07.0,G. Monroe misses 2-pt shot from 4 ft,,66-73,,
2:04.0,,,66-73,,Defensive rebound by T. Zeller
1:52.0,,,66-73,,J. Terry misses 2-pt shot from 5 ft (block by A. Nader)
1:48.0,,,66-73,,Offensive rebound by T. Zeller
1:47.0,,,66-75,2,T. Zeller makes 2-pt shot from 1 ft
1:29.0,M. Morris makes 2-pt shot from 3 ft,2,68-75,,
1:21.0,,,68-75,,K. Middleton misses 3-pt shot from 22 ft
1:19.0,Defensive rebound by S. Ojeleye,,68-75,,
1:14.0,Turnover by M. Morris (lost ball; steal by K. Middleton),,68-75,,
1:11.0,,,68-77,2,J. Parker makes 2-pt shot from 1 ft (assist by K. Middleton)
0:54.0,Shooting foul by T. Zeller (drawn by G. Monroe),,68-77,,
0:54.0,G. Monroe makes free throw 1 of 2,1,69-77,,
0:54.0,,,69-77,,G. Antetokounmpo enters the game for E. Bledsoe
0:54.0,,,69-77,,S. Muhammad enters the game for K. Middleton
0:54.0,A. Horford enters the game for S. Ojeleye,,69-77,,
0:54.0,G. Monroe misses free throw 2 of 2,,69-77,,
0:51.0,,,69-77,,Defensive rebound by G. Antetokounmpo
0:39.0,,,69-77,,S. Muhammad misses 2-pt shot from 3 ft
0:34.0,,,69-77,,Offensive rebound by T. Zeller
0:34.0,,,69-77,,T. Zeller misses 2-pt shot at rim
0:33.0,Defensive rebound by A. Nader,,69-77,,
0:26.0,M. Morris misses 3-pt shot from 26 ft,,69-77,,
0:22.0,,,69-77,,Defensive rebound by T. Zeller
0:18.0,,,69-79,2,S. Muhammad makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
0:03.0,J. Tatum makes 2-pt shot from 1 ft (assist by A. Horford),2,71-79,,
0:00.0,,,71-79,,S. Muhammad misses 2-pt shot from 6 ft
0:00.0,,,71-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,A. Nader makes 3-pt shot from 27 ft (assist by J. Tatum),3,74-79,,
11:20.0,,,74-79,,J. Terry misses 3-pt shot from 25 ft
11:17.0,Defensive rebound by J. Tatum,,74-79,,
11:14.0,Turnover by M. Morris (step out of bounds),,74-79,,
11:01.0,,,74-79,,J. Parker misses 2-pt shot from 15 ft
10:58.0,,,74-79,,Offensive rebound by T. Zeller
10:58.0,,,74-81,2,T. Zeller makes 2-pt shot from 1 ft
10:40.0,A. Nader makes 2-pt shot from 1 ft,2,76-81,,
10:19.0,,,76-81,,Shooting foul by M. Morris (drawn by J. Parker)
10:19.0,,,76-81,,J. Parker misses free throw 1 of 2
10:19.0,,,76-81,,Offensive rebound by Team
10:19.0,,,76-82,1,J. Parker makes free throw 2 of 2
10:12.0,,,76-82,,Personal foul by J. Terry (drawn by A. Nader)
10:02.0,A. Horford makes 2-pt shot from 10 ft,2,78-82,,
9:44.0,,,78-82,,G. Antetokounmpo misses 2-pt shot from 2 ft
9:39.0,,,78-82,,Offensive rebound by T. Zeller
9:39.0,,,78-84,2,T. Zeller makes 2-pt shot at rim
9:25.0,A. Nader misses 2-pt shot from 7 ft,,78-84,,
9:23.0,,,78-84,,Defensive rebound by S. Muhammad
9:18.0,,,78-84,,Shooting foul by A. Horford (drawn by G. Antetokounmpo)
9:18.0,,,78-85,1,G. Antetokounmpo makes free throw 1 of 2
9:18.0,J. Brown enters the game for M. Morris,,78-85,,
9:18.0,,,78-86,1,G. Antetokounmpo makes free throw 2 of 2
9:07.0,,,78-86,,Personal foul by G. Antetokounmpo (drawn by A. Baynes)
8:55.0,,,78-86,,Personal foul by T. Zeller (drawn by A. Baynes)
8:44.0,Shooting foul by T. Zeller (drawn by J. Tatum),,78-86,,
8:44.0,J. Tatum makes free throw 1 of 2,1,79-86,,
8:44.0,S. Ojeleye enters the game for A. Baynes,,79-86,,
8:44.0,J. Tatum makes free throw 2 of 2,1,80-86,,
8:30.0,,,80-86,,G. Antetokounmpo misses 2-pt shot from 18 ft
8:28.0,Defensive rebound by A. Nader,,80-86,,
8:16.0,A. Horford makes 2-pt shot from 15 ft,2,82-86,,
8:15.0,,,82-86,,Milwaukee full timeout
8:15.0,,,82-86,,E. Bledsoe enters the game for S. Muhammad
8:15.0,,,82-86,,K. Middleton enters the game for T. Zeller
8:15.0,M. Morris enters the game for J. Tatum,,82-86,,
8:05.0,,,82-88,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
7:39.0,M. Morris misses 3-pt shot from 27 ft,,82-88,,
7:36.0,,,82-88,,Defensive rebound by J. Parker
7:30.0,Personal foul by J. Brown (drawn by G. Antetokounmpo),,82-88,,
7:21.0,,,82-88,,J. Terry misses 3-pt shot from 26 ft
7:19.0,Defensive rebound by J. Brown,,82-88,,
7:14.0,Turnover by J. Brown (bad pass; steal by G. Antetokounmpo),,82-88,,
7:09.0,,,82-90,2,E. Bledsoe makes 2-pt shot at rim (assist by G. Antetokounmpo)
6:42.0,J. Brown makes 2-pt shot from 6 ft (assist by A. Nader),2,84-90,,
6:26.0,,,84-90,,Turnover by E. Bledsoe (bad pass)
6:26.0,K. Allen enters the game for A. Nader,,84-90,,
6:10.0,A. Horford misses 2-pt shot from 2 ft,,84-90,,
6:10.0,Offensive rebound by A. Horford,,84-90,,
6:10.0,A. Horford makes 2-pt shot from 2 ft,2,86-90,,
6:10.0,Shooting foul by K. Middleton (drawn by A. Horford),,86-90,,
6:10.0,A. Horford makes free throw 1 of 1,1,87-90,,
5:52.0,,,87-92,2,G. Antetokounmpo makes 2-pt shot from 1 ft
5:37.0,J. Brown makes 2-pt shot from 3 ft,2,89-92,,
5:37.0,Shooting foul by J. Terry (drawn by J. Brown),,89-92,,
5:37.0,,,89-92,,J. Henson enters the game for J. Terry
5:37.0,A. Baynes enters the game for A. Horford,,89-92,,
5:37.0,Violation by A. Baynes (double lane),,89-92,,
5:37.0,,,89-92,,Violation by J. Henson (double lane)
5:34.0,Jump ball: G. Antetokounmpo vs. A. Baynes (K. Middleton gains possession),,,,Jump ball: G. Antetokounmpo vs. A. Baynes (K. Middleton gains possession)
5:34.0,Turnover by A. Baynes (turnover),,89-92,,
5:22.0,Personal foul by K. Allen (drawn by E. Bledsoe),,89-92,,
5:09.0,,,89-94,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton)
5:08.0,Boston full timeout,,89-94,,
5:08.0,J. Tatum enters the game for S. Ojeleye,,89-94,,
5:08.0,G. Monroe enters the game for A. Baynes,,89-94,,
4:50.0,G. Monroe misses 2-pt shot from 1 ft,,89-94,,
4:47.0,,,89-94,,Defensive rebound by G. Antetokounmpo
4:41.0,,,89-94,,K. Middleton misses 3-pt shot from 27 ft
4:37.0,,,89-94,,Offensive rebound by J. Parker
4:37.0,,,89-94,,J. Parker misses 2-pt shot at rim
4:37.0,Defensive rebound by M. Morris,,89-94,,
4:27.0,A. Horford enters the game for K. Allen,,89-94,,
4:24.0,,,89-94,,Personal foul by K. Middleton (drawn by M. Morris)
4:24.0,M. Morris misses free throw 1 of 2,,89-94,,
4:24.0,Offensive rebound by Team,,89-94,,
4:24.0,M. Morris makes free throw 2 of 2,1,90-94,,
4:07.0,,,90-96,2,G. Antetokounmpo makes 2-pt shot from 1 ft
3:55.0,Turnover by A. Horford (bad pass),,90-96,,
3:41.0,,,90-96,,G. Antetokounmpo misses 3-pt shot from 27 ft
3:38.0,Defensive rebound by G. Monroe,,90-96,,
3:28.0,M. Morris misses 2-pt shot from 16 ft,,90-96,,
3:26.0,Offensive rebound by G. Monroe,,90-96,,
3:22.0,Turnover by G. Monroe (lost ball; steal by K. Middleton),,90-96,,
3:21.0,,,90-96,,Turnover by G. Antetokounmpo (palming)
3:21.0,Boston full timeout,,90-96,,
3:06.0,J. Brown makes 2-pt shot from 11 ft,2,92-96,,
2:49.0,,,92-99,3,E. Bledsoe makes 3-pt shot from 26 ft (assist by K. Middleton)
2:37.0,J. Tatum misses 3-pt shot from 26 ft,,92-99,,
2:34.0,,,92-99,,Defensive rebound by K. Middleton
2:10.0,,,92-99,,Turnover by K. Middleton (bad pass; steal by A. Horford)
2:05.0,A. Horford makes 3-pt shot from 25 ft (assist by J. Tatum),3,95-99,,
