time,Denver,pts.away,score,pts.home,Brooklyn
4:24.0,,,48-53,,J. Harris misses 3-pt shot from 22 ft
4:21.0,Defensive rebound by W. Chandler,,48-53,,
4:12.0,N. Jokic makes 2-pt shot from 4 ft,2,50-53,,
4:03.0,,,50-55,2,R. Hollis-Jefferson makes 2-pt shot from 3 ft (assist by D. Russell)
3:49.0,G. Harris makes 3-pt shot from 26 ft (assist by E. Mudiay),3,53-55,,
3:45.0,,,53-55,,Shooting foul by E. Mudiay (drawn by D. Russell)
3:45.0,,,53-56,1,D. Russell makes free throw 1 of 3
3:45.0,J. Murray enters the game for E. Mudiay,,53-56,,
3:45.0,,,53-57,1,D. Russell makes free throw 2 of 3
3:45.0,,,53-58,1,D. Russell makes free throw 3 of 3
3:32.0,W. Chandler makes 2-pt shot from 9 ft,2,55-58,,
3:26.0,,,55-58,,Turnover by D. Russell (lost ball; steal by G. Harris)
3:26.0,,,55-58,,Personal foul by D. Russell (drawn by G. Harris)
3:06.0,M. Plumlee misses 2-pt shot from 3 ft,,55-58,,
3:04.0,,,55-58,,Defensive rebound by J. Allen
2:52.0,,,55-58,,Turnover by D. Russell (lost ball; steal by J. Murray)
2:52.0,,,55-58,,Personal foul by D. Russell (drawn by J. Murray)
2:52.0,Denver full timeout,,55-58,,
2:52.0,,,55-58,,S. Dinwiddie enters the game for D. Russell
2:52.0,P. Millsap enters the game for N. Jokic,,55-58,,
2:52.0,W. Barton enters the game for M. Plumlee,,55-58,,
2:34.0,P. Millsap misses 2-pt shot from 8 ft,,55-58,,
2:31.0,,,55-58,,Defensive rebound by A. Crabbe
2:22.0,,,55-58,,S. Dinwiddie misses 3-pt shot from 24 ft
2:19.0,Defensive rebound by W. Chandler,,55-58,,
2:10.0,W. Chandler misses 2-pt shot from 19 ft,,55-58,,
2:09.0,,,55-58,,Defensive rebound by Team
1:53.0,,,55-61,3,A. Crabbe makes 3-pt shot from 26 ft (assist by J. Allen)
1:50.0,Denver full timeout,,55-61,,
1:27.0,P. Millsap misses 3-pt shot from 27 ft,,55-61,,
1:24.0,,,55-61,,Defensive rebound by R. Hollis-Jefferson
1:20.0,,,55-61,,R. Hollis-Jefferson misses 2-pt shot from 19 ft
1:17.0,Defensive rebound by P. Millsap,,55-61,,
1:10.0,J. Murray misses 2-pt shot from 11 ft,,55-61,,
1:07.0,Offensive rebound by J. Murray,,55-61,,
1:05.0,G. Harris misses 3-pt shot from 26 ft,,55-61,,
1:02.0,,,55-61,,Defensive rebound by R. Hollis-Jefferson
0:42.0,,,55-63,2,R. Hollis-Jefferson makes 2-pt shot from 10 ft (assist by S. Dinwiddie)
0:28.0,W. Chandler makes 2-pt shot from 1 ft (assist by G. Harris),2,57-63,,
0:03.0,,,57-63,,A. Crabbe misses 2-pt shot from 3 ft
0:01.0,Defensive rebound by P. Millsap,,57-63,,
0:00.0,W. Barton makes 3-pt shot from 26 ft (assist by P. Millsap),3,60-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
