time,Golden State,pts.away,score,pts.home,Boston
6:15.0,,,15-8,,K. Irving misses 2-pt shot from 7 ft (block by D. Green)
6:12.0,Defensive rebound by Z. Pachulia,,15-8,,
6:06.0,K. Thompson misses 2-pt shot from 10 ft,,15-8,,
6:06.0,Offensive rebound by Z. Pachulia,,15-8,,
5:59.0,K. Thompson makes 2-pt shot from 3 ft (assist by Z. Pachulia),2,17-8,,
5:38.0,A. Iguodala enters the game for D. Green,,17-8,,
5:32.0,,,17-10,2,A. Horford makes 2-pt shot from 11 ft
5:20.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry),2,19-10,,
5:04.0,,,19-13,3,M. Morris makes 3-pt shot from 24 ft (assist by K. Irving)
4:47.0,Turnover by S. Curry (lost ball; steal by J. Brown),,19-13,,
4:43.0,,,19-15,2,J. Brown makes 2-pt shot at rim
4:43.0,Golden State full timeout,,19-15,,
4:43.0,,,19-15,,S. Ojeleye enters the game for M. Morris
4:43.0,N. Young enters the game for K. Thompson,,19-15,,
4:30.0,S. Curry misses 2-pt shot from 15 ft,,19-15,,
4:27.0,,,19-15,,Defensive rebound by A. Horford
4:21.0,,,19-15,,M. Smart misses 3-pt shot from 24 ft
4:18.0,Defensive rebound by S. Curry,,19-15,,
4:08.0,K. Durant misses 2-pt shot from 20 ft (block by J. Brown),,19-15,,
4:05.0,,,19-15,,Defensive rebound by A. Horford
3:44.0,,,19-15,,A. Horford misses 3-pt shot from 24 ft
3:41.0,Defensive rebound by S. Curry,,19-15,,
3:38.0,Z. Pachulia misses 2-pt shot from 1 ft (block by M. Smart),,19-15,,
3:34.0,,,19-15,,Defensive rebound by J. Brown
3:29.0,,,19-15,,K. Irving misses 2-pt shot from 1 ft (block by K. Durant)
3:29.0,Defensive rebound by K. Durant,,19-15,,
3:23.0,K. Durant makes 2-pt shot from 1 ft (assist by S. Curry),2,21-15,,
3:07.0,,,21-15,,J. Brown misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by N. Young,,21-15,,
2:56.0,S. Curry misses 2-pt shot from 1 ft,,21-15,,
2:53.0,,,21-15,,Defensive rebound by A. Horford
2:45.0,,,21-15,,A. Horford misses 3-pt shot from 24 ft
2:45.0,Defensive rebound by S. Curry,,21-15,,
2:38.0,N. Young makes 3-pt shot from 24 ft (assist by K. Durant),3,24-15,,
2:20.0,,,24-15,,M. Smart misses 2-pt shot from 16 ft
2:18.0,Defensive rebound by Z. Pachulia,,24-15,,
2:10.0,K. Durant misses 2-pt shot from 16 ft,,24-15,,
2:07.0,,,24-15,,Defensive rebound by S. Ojeleye
1:54.0,,,24-18,3,K. Irving makes 3-pt shot from 24 ft
1:42.0,S. Curry misses 3-pt shot from 28 ft,,24-18,,
1:39.0,,,24-18,,Defensive rebound by S. Ojeleye
1:37.0,Personal foul by S. Curry (drawn by K. Irving),,24-18,,
1:37.0,,,24-18,,D. Theis enters the game for K. Irving
1:37.0,,,24-18,,T. Rozier enters the game for A. Horford
1:37.0,S. Livingston enters the game for Z. Pachulia,,24-18,,
1:37.0,D. Green enters the game for S. Curry,,24-18,,
1:37.0,J. McGee enters the game for K. Durant,,24-18,,
1:27.0,,,24-18,,Turnover by M. Smart (bad pass; steal by J. McGee)
1:18.0,Shooting foul by T. Rozier (drawn by N. Young),,24-18,,
1:18.0,N. Young makes free throw 1 of 2,1,25-18,,
1:18.0,,,25-18,,A. Baynes enters the game for S. Ojeleye
1:18.0,N. Young misses free throw 2 of 2,,25-18,,
1:16.0,,,25-18,,Defensive rebound by D. Theis
0:59.0,,,25-18,,J. Brown misses 2-pt shot from 5 ft
0:56.0,Defensive rebound by D. Green,,25-18,,
0:53.0,N. Young makes 3-pt shot from 26 ft (assist by D. Green),3,28-18,,
0:42.0,,,28-18,,Turnover by T. Rozier (bad pass; steal by N. Young)
0:37.0,N. Young misses 3-pt shot from 26 ft,,28-18,,
0:35.0,,,28-18,,Defensive rebound by D. Theis
0:17.0,,,28-18,,T. Rozier misses 3-pt shot from 25 ft
0:14.0,Defensive rebound by J. McGee,,28-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,K. Thompson misses 2-pt shot from 17 ft,,28-18,,
11:39.0,,,28-18,,Defensive rebound by A. Baynes
11:26.0,,,28-18,,M. Smart misses 2-pt shot from 12 ft
11:25.0,,,28-18,,Offensive rebound by Team
11:25.0,Loose ball foul by D. West (drawn by A. Baynes),,28-18,,
11:13.0,,,28-20,2,A. Baynes makes 2-pt shot from 7 ft (assist by M. Smart)
10:55.0,D. West makes 2-pt shot from 7 ft,2,30-20,,
10:55.0,Shooting foul by M. Smart (drawn by D. West),,30-20,,
10:55.0,D. West misses free throw 1 of 1,,30-20,,
10:53.0,,,30-20,,Defensive rebound by A. Baynes
10:39.0,,,30-20,,Shooting foul by S. Livingston (drawn by J. Tatum)
10:39.0,,,30-21,1,J. Tatum makes free throw 1 of 2
10:39.0,,,30-21,,M. Morris enters the game for D. Theis
10:39.0,,,30-22,1,J. Tatum makes free throw 2 of 2
10:27.0,A. Iguodala misses 2-pt shot from 20 ft,,30-22,,
10:24.0,,,30-22,,Defensive rebound by A. Baynes
10:13.0,,,30-22,,M. Morris misses 2-pt shot from 14 ft
10:10.0,Defensive rebound by A. Iguodala,,30-22,,
9:58.0,Turnover by D. Green (discontinued dribble),,30-22,,
9:45.0,,,30-22,,Turnover by A. Baynes (bad pass)
9:31.0,A. Iguodala makes 2-pt shot at rim (assist by S. Livingston),2,32-22,,
9:10.0,,,32-22,,Shooting foul by K. Thompson (drawn by T. Rozier)
9:10.0,,,32-23,1,T. Rozier makes free throw 1 of 3
9:10.0,,,32-24,1,T. Rozier makes free throw 2 of 3
9:10.0,,,32-24,,T. Rozier misses free throw 3 of 3
9:08.0,Defensive rebound by D. West,,32-24,,
8:56.0,S. Livingston misses 2-pt shot from 15 ft,,32-24,,
8:53.0,,,32-24,,Defensive rebound by J. Tatum
8:47.0,,,32-27,3,T. Rozier makes 3-pt shot from 25 ft
8:29.0,S. Livingston makes 2-pt shot from 9 ft,2,34-27,,
8:11.0,,,34-27,,A. Baynes misses 2-pt shot from 10 ft (block by D. West)
8:09.0,Defensive rebound by A. Iguodala,,34-27,,
8:07.0,D. Green makes 2-pt shot from 1 ft (assist by A. Iguodala),2,36-27,,
7:49.0,,,36-27,,M. Smart misses 3-pt shot from 25 ft
7:47.0,Defensive rebound by D. Green,,36-27,,
7:44.0,A. Iguodala makes 2-pt shot from 1 ft (assist by K. Thompson),2,38-27,,
7:42.0,,,38-27,,Boston full timeout
7:42.0,,,38-27,,S. Ojeleye enters the game for M. Smart
7:42.0,,,38-27,,K. Irving enters the game for A. Baynes
7:42.0,K. Durant enters the game for D. Green,,38-27,,
7:26.0,,,38-27,,K. Irving misses 2-pt shot from 7 ft
7:24.0,Defensive rebound by D. West,,38-27,,
7:09.0,Turnover by K. Thompson (bad pass; steal by M. Morris),,38-27,,
7:08.0,,,38-27,,Turnover by M. Morris (bad pass; steal by D. West)
7:02.0,D. West makes 2-pt shot from 2 ft (assist by K. Thompson),2,40-27,,
6:40.0,,,40-27,,J. Tatum misses 2-pt shot from 1 ft (block by S. Livingston)
6:38.0,Defensive rebound by S. Livingston,,40-27,,
6:32.0,K. Durant makes 2-pt shot from 15 ft,2,42-27,,
6:11.0,,,42-27,,Turnover by T. Rozier (step out of bounds)
6:11.0,,,42-27,,A. Horford enters the game for J. Tatum
6:11.0,S. Curry enters the game for D. West,,42-27,,
6:11.0,K. Looney enters the game for K. Thompson,,42-27,,
5:48.0,S. Curry misses 2-pt shot from 8 ft,,42-27,,
5:46.0,,,42-27,,Defensive rebound by K. Irving
5:37.0,,,42-27,,S. Ojeleye misses 3-pt shot from 24 ft
5:34.0,Defensive rebound by S. Curry,,42-27,,
5:25.0,A. Iguodala makes 2-pt shot from 1 ft (assist by S. Livingston),2,44-27,,
4:59.0,,,44-27,,T. Rozier misses 3-pt shot from 24 ft
4:57.0,,,44-27,,Offensive rebound by T. Rozier
4:56.0,,,44-27,,Shooting foul by K. Looney (drawn by S. Ojeleye)
4:56.0,,,44-28,1,S. Ojeleye makes free throw 1 of 2
4:56.0,,,44-28,,J. Brown enters the game for T. Rozier
4:56.0,D. Green enters the game for A. Iguodala,,44-28,,
4:56.0,N. Young enters the game for S. Livingston,,44-28,,
4:56.0,,,44-29,1,S. Ojeleye makes free throw 2 of 2
4:39.0,Shooting foul by K. Irving (drawn by D. Green),,44-29,,
4:39.0,D. Green makes free throw 1 of 2,1,45-29,,
4:39.0,D. Green misses free throw 2 of 2,,45-29,,
4:38.0,,,45-29,,Defensive rebound by A. Horford
4:23.0,,,45-31,2,A. Horford makes 2-pt shot from 9 ft (assist by M. Morris)
4:12.0,D. Green misses 3-pt shot from 27 ft,,45-31,,
4:12.0,,,45-31,,Defensive rebound by Team
3:54.0,,,45-31,,M. Morris misses 3-pt shot from 23 ft
3:49.0,,,45-31,,Offensive rebound by S. Ojeleye
3:37.0,,,45-31,,Shooting foul by D. Green (drawn by M. Morris)
3:37.0,,,45-32,1,M. Morris makes free throw 1 of 2
3:37.0,K. Thompson enters the game for K. Looney,,45-32,,
3:37.0,,,45-33,1,M. Morris makes free throw 2 of 2
3:30.0,S. Curry misses 2-pt shot from 20 ft,,45-33,,
3:27.0,Offensive rebound by D. Green,,45-33,,
3:24.0,K. Durant misses 2-pt shot from 21 ft,,45-33,,
3:24.0,,,45-33,,Defensive rebound by S. Ojeleye
3:17.0,,,45-33,,Shooting foul by K. Thompson (drawn by J. Brown)
3:17.0,,,45-34,1,J. Brown makes free throw 1 of 2
3:17.0,,,45-34,,M. Smart enters the game for M. Morris
3:17.0,Golden State full timeout,,45-34,,
3:17.0,A. Iguodala enters the game for N. Young,,45-34,,
3:17.0,,,45-35,1,J. Brown makes free throw 2 of 2
3:09.0,,,45-35,,Personal foul by J. Brown (drawn by K. Thompson)
3:03.0,D. Green misses 3-pt shot from 27 ft,,45-35,,
3:01.0,,,45-35,,Defensive rebound by K. Irving
2:39.0,,,45-35,,S. Ojeleye misses 3-pt shot from 23 ft
2:37.0,Defensive rebound by A. Iguodala,,45-35,,
2:30.0,K. Thompson misses 2-pt shot from 19 ft,,45-35,,
2:28.0,,,45-35,,Defensive rebound by S. Ojeleye
2:18.0,,,45-35,,Turnover by A. Horford (bad pass; steal by S. Curry)
2:15.0,Shooting foul by S. Ojeleye (drawn by K. Durant),,45-35,,
2:15.0,K. Durant makes free throw 1 of 2,1,46-35,,
2:15.0,K. Durant makes free throw 2 of 2,1,47-35,,
1:57.0,,,47-35,,J. Brown misses 3-pt shot from 23 ft
1:55.0,Defensive rebound by A. Iguodala,,47-35,,
1:48.0,Turnover by S. Curry (lost ball; steal by K. Irving),,47-35,,
1:43.0,,,47-38,3,J. Brown makes 3-pt shot from 24 ft (assist by K. Irving)
1:23.0,Turnover by K. Durant (lost ball; steal by M. Smart),,47-38,,
1:17.0,,,47-38,,J. Brown misses 3-pt shot from 23 ft (block by D. Green)
1:14.0,,,47-38,,Offensive rebound by J. Brown
1:12.0,,,47-40,2,J. Brown makes 2-pt shot at rim
1:07.0,K. Thompson misses 2-pt shot from 2 ft (block by J. Brown),,47-40,,
1:07.0,,,47-40,,Defensive rebound by A. Horford
1:03.0,,,47-40,,Shooting foul by A. Iguodala (drawn by A. Horford)
1:03.0,,,47-41,1,A. Horford makes free throw 1 of 2
1:03.0,,,47-42,1,A. Horford makes free throw 2 of 2
0:52.0,S. Curry misses 3-pt shot from 26 ft,,47-42,,
0:50.0,,,47-42,,Defensive rebound by J. Brown
0:42.0,,,47-42,,Turnover by M. Smart (offensive goaltending)
0:25.0,K. Thompson misses 3-pt shot from 25 ft,,47-42,,
0:22.0,,,47-42,,Defensive rebound by M. Smart
0:01.0,,,47-42,,K. Irving misses 2-pt shot from 3 ft (block by A. Iguodala)
0:01.0,Defensive rebound by K. Thompson,,47-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Turnover by S. Curry (traveling),,47-42,,
11:24.0,,,47-42,,M. Morris misses 3-pt shot from 26 ft
11:22.0,Defensive rebound by D. Green,,47-42,,
11:06.0,Z. Pachulia makes 2-pt shot from 10 ft (assist by D. Green),2,49-42,,
10:51.0,,,49-42,,Shooting foul by S. Curry (drawn by J. Brown)
10:51.0,,,49-42,,J. Brown misses free throw 1 of 2
10:51.0,,,49-42,,Offensive rebound by Team
10:51.0,,,49-43,1,J. Brown makes free throw 2 of 2
10:39.0,K. Thompson makes 2-pt shot from 18 ft (assist by S. Curry),2,51-43,,
10:23.0,Personal foul by Z. Pachulia (drawn by K. Irving),,51-43,,
10:20.0,,,51-43,,K. Irving misses 2-pt shot from 13 ft
10:18.0,Defensive rebound by Z. Pachulia,,51-43,,
10:14.0,Shooting foul by J. Brown (drawn by D. Green),,51-43,,
10:14.0,D. Green makes free throw 1 of 2,1,52-43,,
10:14.0,D. Green makes free throw 2 of 2,1,53-43,,
10:03.0,,,53-43,,Turnover by A. Horford (traveling)
9:51.0,Turnover by K. Durant (bad pass; steal by J. Brown),,53-43,,
9:51.0,Personal foul by S. Curry (drawn by J. Brown),,53-43,,
9:26.0,,,53-43,,Turnover by A. Horford (bad pass; steal by S. Curry)
9:22.0,K. Durant makes 3-pt shot from 24 ft,3,56-43,,
9:04.0,,,56-43,,Turnover by M. Morris (bad pass; steal by D. Green)
8:58.0,D. Green misses 2-pt shot from 1 ft (block by M. Morris),,56-43,,
8:57.0,,,56-43,,Defensive rebound by Team
8:55.0,Personal foul by S. Curry (drawn by J. Tatum),,56-43,,
8:55.0,,,56-43,,K. Irving misses free throw 1 of 1
8:55.0,,,56-43,,Offensive rebound by Team
8:41.0,,,56-43,,Shooting foul by K. Durant (drawn by J. Tatum)
8:41.0,,,56-43,,J. Tatum misses free throw 1 of 2
8:41.0,,,56-43,,Offensive rebound by Team
8:41.0,,,56-44,1,J. Tatum makes free throw 2 of 2
8:23.0,K. Durant misses 2-pt shot from 11 ft,,56-44,,
8:20.0,,,56-44,,Defensive rebound by K. Irving
8:14.0,,,56-47,3,M. Morris makes 3-pt shot from 27 ft (assist by K. Irving)
8:13.0,Golden State full timeout,,56-47,,
8:13.0,S. Livingston enters the game for S. Curry,,56-47,,
7:59.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Livingston),3,59-47,,
7:35.0,,,59-47,,A. Horford misses 3-pt shot from 26 ft
7:30.0,Defensive rebound by K. Thompson,,59-47,,
7:16.0,K. Thompson misses 3-pt shot from 25 ft,,59-47,,
7:13.0,,,59-47,,Defensive rebound by A. Horford
7:09.0,,,59-47,,J. Brown misses 2-pt shot from 2 ft (block by K. Durant)
7:09.0,,,59-47,,Offensive rebound by Team
7:09.0,,,59-47,,M. Smart enters the game for J. Tatum
6:59.0,,,59-47,,M. Morris misses 3-pt shot from 23 ft
6:57.0,Defensive rebound by K. Thompson,,59-47,,
6:41.0,D. Green makes 3-pt shot from 24 ft (assist by K. Durant),3,62-47,,
6:22.0,,,62-47,,A. Baynes enters the game for M. Morris
6:20.0,Violation by Z. Pachulia (kicked ball),,62-47,,
6:10.0,,,62-47,,A. Baynes misses 2-pt shot from 2 ft
6:08.0,Defensive rebound by Z. Pachulia,,62-47,,
6:04.0,D. Green misses 2-pt shot from 3 ft,,62-47,,
6:03.0,,,62-47,,Defensive rebound by A. Baynes
5:52.0,,,62-49,2,A. Horford makes 2-pt shot from 13 ft (assist by K. Irving)
5:35.0,K. Durant makes 2-pt shot from 18 ft (assist by S. Livingston),2,64-49,,
5:18.0,,,64-49,,K. Irving misses 2-pt shot from 3 ft
5:18.0,Defensive rebound by Team,,64-49,,
5:18.0,A. Iguodala enters the game for D. Green,,64-49,,
5:09.0,,,64-49,,Personal foul by J. Brown (drawn by K. Durant)
4:59.0,K. Durant makes 2-pt shot from 19 ft,2,66-49,,
4:46.0,,,66-49,,Turnover by K. Irving (bad pass)
4:33.0,S. Livingston misses 2-pt shot from 11 ft,,66-49,,
4:32.0,,,66-49,,Defensive rebound by A. Baynes
4:32.0,Personal foul by Z. Pachulia (drawn by A. Baynes),,66-49,,
4:32.0,,,66-50,1,A. Baynes makes free throw 1 of 2
4:32.0,J. McGee enters the game for K. Thompson,,66-50,,
4:32.0,N. Young enters the game for Z. Pachulia,,66-50,,
4:32.0,,,66-50,,T. Rozier enters the game for K. Irving
4:32.0,,,66-51,1,A. Baynes makes free throw 2 of 2
4:22.0,Turnover by K. Durant (turnover),,66-51,,
4:09.0,,,66-53,2,J. Brown makes 2-pt shot from 15 ft (assist by T. Rozier)
3:53.0,S. Livingston misses 2-pt shot from 15 ft,,66-53,,
3:51.0,,,66-53,,Defensive rebound by M. Smart
3:48.0,,,66-56,3,J. Brown makes 3-pt shot from 26 ft (assist by M. Smart)
3:46.0,Golden State full timeout,,66-56,,
3:46.0,S. Curry enters the game for S. Livingston,,66-56,,
3:35.0,Turnover by S. Curry (out of bounds lost ball),,66-56,,
3:20.0,,,66-59,3,J. Brown makes 3-pt shot from 26 ft (assist by T. Rozier)
3:05.0,Turnover by J. McGee (bad pass; steal by M. Smart),,66-59,,
3:00.0,,,66-61,2,A. Horford makes 2-pt shot at rim
2:42.0,S. Curry misses 3-pt shot from 25 ft,,66-61,,
2:38.0,,,66-61,,Defensive rebound by A. Horford
2:22.0,Personal foul by N. Young (drawn by A. Horford),,66-61,,
2:22.0,,,66-62,1,A. Horford makes free throw 1 of 2
2:22.0,D. Green enters the game for J. McGee,,66-62,,
2:22.0,K. Looney enters the game for K. Durant,,66-62,,
2:22.0,,,66-63,1,A. Horford makes free throw 2 of 2
2:07.0,D. Green misses 2-pt shot from 18 ft,,66-63,,
2:07.0,,,66-63,,M. Smart misses 3-pt shot from 26 ft
2:04.0,,,66-63,,Offensive rebound by M. Smart
1:47.0,,,66-63,,Offensive rebound by J. Brown
1:47.0,,,66-63,,Shooting foul by K. Looney (drawn by J. Brown)
1:47.0,,,66-64,1,J. Brown makes free throw 1 of 2
1:47.0,,,66-64,,S. Ojeleye enters the game for A. Horford
1:47.0,,,66-65,1,J. Brown makes free throw 2 of 2
1:33.0,Turnover by K. Looney (out of bounds lost ball),,66-65,,
1:22.0,Personal foul by N. Young (drawn by M. Smart),,66-65,,
1:22.0,,,66-65,,M. Smart misses free throw 1 of 2
1:22.0,,,66-65,,Offensive rebound by Team
1:22.0,,,66-65,,J. Tatum enters the game for J. Brown
1:22.0,O. Casspi enters the game for N. Young,,66-65,,
1:22.0,,,66-66,1,M. Smart makes free throw 2 of 2
1:08.0,Turnover by A. Iguodala (bad pass; steal by A. Baynes),,66-66,,
0:53.0,,,66-68,2,J. Tatum makes 2-pt shot from 1 ft (assist by A. Baynes)
0:45.0,,,66-68,,Personal foul by M. Smart (drawn by S. Curry)
0:34.0,O. Casspi makes 2-pt shot from 7 ft (assist by S. Curry),2,68-68,,
0:18.0,,,68-68,,Offensive charge foul by J. Tatum (drawn by K. Looney)
0:18.0,,,68-68,,Turnover by J. Tatum (offensive foul)
0:18.0,,,68-68,,J. Brown enters the game for A. Baynes
0:18.0,K. Durant enters the game for K. Looney,,68-68,,
0:18.0,K. Thompson enters the game for O. Casspi,,68-68,,
0:05.0,K. Thompson misses 3-pt shot from 25 ft,,68-68,,
0:04.0,,,68-68,,Defensive rebound by J. Tatum
0:04.0,,,68-68,,Boston full timeout
0:04.0,,,68-68,,A. Horford enters the game for S. Ojeleye
0:04.0,,,68-68,,K. Irving enters the game for J. Brown
0:04.0,O. Casspi enters the game for S. Curry,,68-68,,
0:04.0,K. Looney enters the game for K. Durant,,68-68,,
0:04.0,S. Livingston enters the game for K. Thompson,,68-68,,
0:00.0,,,68-68,,T. Rozier misses 3-pt shot from 29 ft
0:00.0,,,68-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,68-68,,A. Baynes misses 2-pt shot from 6 ft
11:41.0,Defensive rebound by O. Casspi,,68-68,,
11:28.0,Shooting foul by J. Tatum (drawn by O. Casspi),,68-68,,
11:28.0,O. Casspi misses free throw 1 of 2,,68-68,,
11:28.0,Offensive rebound by Team,,68-68,,
11:28.0,,,68-68,,M. Morris enters the game for A. Baynes
11:28.0,O. Casspi misses free throw 2 of 2,,68-68,,
11:25.0,,,68-68,,Defensive rebound by M. Morris
11:13.0,,,68-70,2,M. Morris makes 2-pt shot from 18 ft
10:52.0,D. West makes 2-pt shot from 7 ft,2,70-70,,
10:27.0,,,70-70,,T. Rozier misses 2-pt shot from 6 ft
10:25.0,Defensive rebound by O. Casspi,,70-70,,
10:07.0,D. West misses 2-pt shot from 8 ft,,70-70,,
10:04.0,,,70-70,,Defensive rebound by J. Tatum
9:58.0,,,70-70,,M. Smart misses 2-pt shot from 8 ft
9:56.0,Defensive rebound by O. Casspi,,70-70,,
9:51.0,Shooting foul by J. Tatum (drawn by A. Iguodala),,70-70,,
9:51.0,A. Iguodala makes free throw 1 of 2,1,71-70,,
9:51.0,A. Iguodala makes free throw 2 of 2,1,72-70,,
9:40.0,,,72-70,,S. Ojeleye misses 3-pt shot from 26 ft
9:37.0,Defensive rebound by O. Casspi,,72-70,,
9:34.0,Turnover by D. Green (bad pass),,72-70,,
9:14.0,,,72-70,,M. Smart misses 2-pt shot from 5 ft
9:10.0,Defensive rebound by O. Casspi,,72-70,,
8:55.0,K. Thompson misses 3-pt shot from 25 ft,,72-70,,
8:52.0,,,72-70,,Defensive rebound by T. Rozier
8:36.0,,,72-70,,M. Morris misses 2-pt shot from 14 ft
8:33.0,Defensive rebound by O. Casspi,,72-70,,
8:22.0,D. Green makes 2-pt shot at rim,2,74-70,,
8:17.0,,,74-70,,Boston full timeout
8:17.0,,,74-70,,K. Irving enters the game for M. Smart
8:17.0,,,74-70,,A. Horford enters the game for S. Ojeleye
8:17.0,S. Livingston enters the game for A. Iguodala,,74-70,,
7:58.0,,,74-72,2,J. Tatum makes 2-pt shot from 2 ft
7:44.0,D. Green misses 2-pt shot from 9 ft,,74-72,,
7:41.0,,,74-72,,Defensive rebound by M. Morris
7:31.0,,,74-72,,A. Horford misses 3-pt shot from 26 ft
7:28.0,Defensive rebound by O. Casspi,,74-72,,
7:13.0,K. Thompson misses 2-pt shot from 16 ft,,74-72,,
7:11.0,,,74-72,,Defensive rebound by A. Horford
7:02.0,,,74-72,,K. Irving misses 2-pt shot from 1 ft
7:01.0,,,74-72,,Offensive rebound by A. Horford
7:01.0,,,74-74,2,A. Horford makes 2-pt shot at rim
7:01.0,Golden State full timeout,,74-74,,
7:01.0,S. Curry enters the game for D. West,,74-74,,
7:01.0,K. Durant enters the game for K. Thompson,,74-74,,
6:38.0,S. Curry makes 2-pt shot at rim (assist by D. Green),2,76-74,,
6:18.0,,,76-74,,Shooting foul by K. Durant (drawn by J. Tatum)
6:18.0,,,76-75,1,J. Tatum makes free throw 1 of 3
6:18.0,,,76-76,1,J. Tatum makes free throw 2 of 3
6:18.0,,,76-76,,J. Brown enters the game for M. Morris
6:18.0,,,76-77,1,J. Tatum makes free throw 3 of 3
6:05.0,Turnover by D. Green (bad pass; steal by J. Tatum),,76-77,,
5:41.0,,,76-77,,K. Irving misses 3-pt shot from 28 ft
5:31.0,,,76-77,,Offensive rebound by J. Tatum
5:30.0,,,76-77,,J. Brown misses 2-pt shot from 6 ft
5:30.0,Defensive rebound by O. Casspi,,76-77,,
5:12.0,K. Durant makes 2-pt shot from 15 ft,2,78-77,,
4:50.0,,,78-77,,J. Tatum misses 2-pt shot from 4 ft (block by O. Casspi)
4:44.0,Defensive rebound by D. Green,,78-77,,
4:41.0,S. Curry makes 3-pt shot from 24 ft (assist by K. Durant),3,81-77,,
4:39.0,,,81-77,,Boston full timeout
4:39.0,,,81-77,,M. Smart enters the game for J. Tatum
4:39.0,A. Iguodala enters the game for O. Casspi,,81-77,,
4:39.0,K. Thompson enters the game for S. Livingston,,81-77,,
4:34.0,Personal foul by A. Iguodala (drawn by M. Smart),,81-77,,
4:21.0,,,81-79,2,K. Irving makes 2-pt shot from 1 ft (assist by A. Horford)
