time,Cleveland,pts.away,score,pts.home,San Antonio
6:38.0,I. Thomas makes 2-pt shot from 19 ft,2,14-10,,
6:22.0,,,14-10,,K. Anderson misses 2-pt shot from 8 ft
6:15.0,,,14-10,,Offensive rebound by K. Anderson
6:15.0,,,14-10,,K. Anderson misses 2-pt shot at rim
6:14.0,Defensive rebound by K. Love,,14-10,,
6:11.0,J. Smith misses 3-pt shot from 24 ft,,14-10,,
6:11.0,,,14-10,,Defensive rebound by D. Bertans
5:53.0,,,14-10,,D. Bertans misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by J. Smith,,14-10,,
5:33.0,Shooting foul by B. Forbes (drawn by I. Thomas),,14-10,,
5:33.0,I. Thomas makes free throw 1 of 2,1,15-10,,
5:33.0,,,15-10,,T. Parker enters the game for D. Murray
5:33.0,I. Shumpert enters the game for J. Smith,,15-10,,
5:33.0,I. Thomas makes free throw 2 of 2,1,16-10,,
5:16.0,,,16-10,,B. Forbes misses 3-pt shot from 25 ft
5:14.0,Defensive rebound by J. Crowder,,16-10,,
5:09.0,I. Shumpert misses 3-pt shot from 24 ft,,16-10,,
5:09.0,,,16-10,,Defensive rebound by D. Bertans
4:52.0,,,16-10,,D. Bertans misses 3-pt shot from 25 ft
4:50.0,Defensive rebound by K. Love,,16-10,,
4:43.0,K. Love misses 2-pt shot from 1 ft (block by K. Anderson),,16-10,,
4:39.0,,,16-10,,Defensive rebound by D. Bertans
4:36.0,,,16-13,3,B. Forbes makes 3-pt shot from 25 ft (assist by K. Anderson)
4:28.0,K. Love misses 3-pt shot from 23 ft,,16-13,,
4:24.0,,,16-13,,Defensive rebound by L. Aldridge
4:16.0,,,16-15,2,T. Parker makes 2-pt shot from 14 ft
4:15.0,Cleveland full timeout,,16-15,,
4:15.0,,,16-15,,J. Lauvergne enters the game for K. Anderson
4:15.0,,,16-15,,D. Green enters the game for D. Bertans
4:03.0,L. James makes 2-pt shot from 1 ft,2,18-15,,
3:46.0,,,18-15,,L. Aldridge misses 2-pt shot from 19 ft
3:46.0,,,18-15,,Offensive rebound by Team
3:46.0,Loose ball foul by K. Love (drawn by J. Lauvergne),,18-15,,
3:46.0,T. Thompson enters the game for K. Love,,18-15,,
3:42.0,,,18-17,2,T. Parker makes 2-pt shot from 17 ft
3:30.0,I. Thomas misses 2-pt shot from 10 ft,,18-17,,
3:27.0,Offensive rebound by I. Thomas,,18-17,,
3:24.0,J. Crowder makes 3-pt shot from 24 ft (assist by I. Thomas),3,21-17,,
3:16.0,Personal foul by I. Shumpert (drawn by T. Parker),,21-17,,
3:16.0,D. Wade enters the game for I. Thomas,,21-17,,
3:10.0,,,21-19,2,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker)
2:51.0,L. James misses 2-pt shot from 3 ft,,21-19,,
2:49.0,,,21-19,,Defensive rebound by J. Lauvergne
2:40.0,,,21-21,2,T. Parker makes 2-pt shot from 18 ft
2:27.0,D. Wade makes 2-pt shot from 1 ft (assist by L. James),2,23-21,,
2:11.0,,,23-21,,Shooting foul by I. Shumpert (drawn by J. Lauvergne)
2:11.0,,,23-21,,J. Lauvergne misses free throw 1 of 2
2:11.0,,,23-21,,Offensive rebound by Team
2:11.0,,,23-21,,P. Mills enters the game for B. Forbes
2:11.0,,,23-21,,B. Paul enters the game for L. Aldridge
2:11.0,,,23-21,,J. Lauvergne misses free throw 2 of 2
2:09.0,Defensive rebound by T. Thompson,,23-21,,
1:58.0,Shooting foul by P. Mills (drawn by T. Thompson),,23-21,,
1:58.0,T. Thompson makes free throw 1 of 2,1,24-21,,
1:58.0,,,24-21,,L. Aldridge enters the game for J. Lauvergne
1:58.0,T. Thompson makes free throw 2 of 2,1,25-21,,
1:34.0,,,25-21,,D. Green misses 3-pt shot from 22 ft
1:30.0,Defensive rebound by D. Wade,,25-21,,
1:30.0,,,25-21,,Personal foul by T. Parker (drawn by L. James)
1:30.0,L. James misses free throw 1 of 2,,25-21,,
1:30.0,Offensive rebound by Team,,25-21,,
1:30.0,J. Green enters the game for J. Crowder,,25-21,,
1:30.0,L. James misses free throw 2 of 2,,25-21,,
1:28.0,,,25-21,,Defensive rebound by D. Green
1:11.0,,,25-23,2,L. Aldridge makes 2-pt shot from 15 ft
1:04.0,L. James makes 2-pt shot from 19 ft,2,27-23,,
0:41.0,,,27-25,2,L. Aldridge makes 2-pt shot from 12 ft
0:33.0,L. James misses 3-pt shot from 25 ft,,27-25,,
0:31.0,,,27-25,,Defensive rebound by B. Paul
0:24.0,,,27-25,,T. Parker misses 2-pt shot from 7 ft
0:18.0,,,27-25,,Offensive rebound by L. Aldridge
0:18.0,,,27-25,,L. Aldridge misses 2-pt shot from 5 ft
0:18.0,Defensive rebound by I. Shumpert,,27-25,,
0:01.0,L. James makes 2-pt shot from 19 ft,2,29-25,,
0:00.0,,,29-25,,B. Paul misses 3-pt shot from 70 ft
0:00.0,,,29-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Personal block foul by J. Green (drawn by P. Mills),,29-25,,
11:38.0,,,29-27,2,D. Murray makes 2-pt shot from 6 ft
11:23.0,D. Wade misses 2-pt shot from 6 ft (block by D. Green),,29-27,,
11:19.0,,,29-27,,Defensive rebound by D. Bertans
11:15.0,,,29-27,,D. Green misses 3-pt shot from 25 ft
11:15.0,,,29-27,,Offensive rebound by D. Murray
11:11.0,,,29-29,2,D. Murray makes 2-pt shot at rim
11:04.0,Turnover by D. Rose (lost ball; steal by D. Murray),,29-29,,
10:58.0,,,29-32,3,P. Mills makes 3-pt shot from 25 ft (assist by D. Green)
10:37.0,T. Thompson misses 2-pt shot from 6 ft,,29-32,,
10:32.0,Offensive rebound by D. Wade,,29-32,,
10:32.0,D. Wade makes 2-pt shot at rim,2,31-32,,
10:13.0,,,31-32,,Turnover by L. Aldridge (lost ball; steal by J. Green)
10:09.0,Shooting foul by D. Green (drawn by D. Rose),,31-32,,
10:09.0,D. Rose makes free throw 1 of 2,1,32-32,,
10:09.0,D. Rose makes free throw 2 of 2,1,33-32,,
9:58.0,,,33-34,2,D. Murray makes 2-pt shot from 10 ft
9:39.0,J. Green makes 2-pt shot from 1 ft (assist by K. Korver),2,35-34,,
9:16.0,,,35-34,,Turnover by D. Murray (lost ball; steal by D. Wade)
9:12.0,Turnover by D. Rose (lost ball; steal by D. Murray),,35-34,,
9:09.0,,,35-34,,P. Mills misses 3-pt shot from 25 ft
9:02.0,,,35-34,,Offensive rebound by D. Green
9:02.0,,,35-36,2,D. Green makes 2-pt shot at rim
8:57.0,Turnover by D. Rose (turnover),,35-36,,
8:44.0,,,35-36,,D. Murray misses 2-pt shot at rim
8:41.0,Defensive rebound by D. Wade,,35-36,,
8:35.0,Turnover by D. Wade (out of bounds lost ball),,35-36,,
8:15.0,,,35-36,,Shooting foul by J. Green (drawn by D. Bertans)
8:15.0,,,35-37,1,D. Bertans makes free throw 1 of 3
8:15.0,,,35-38,1,D. Bertans makes free throw 2 of 3
8:15.0,,,35-38,,J. Lauvergne enters the game for L. Aldridge
8:15.0,J. Smith enters the game for D. Wade,,35-38,,
8:15.0,,,35-39,1,D. Bertans makes free throw 3 of 3
8:03.0,K. Korver misses 3-pt shot from 24 ft,,35-39,,
7:59.0,Offensive rebound by J. Green,,35-39,,
7:58.0,J. Green makes 2-pt shot at rim,2,37-39,,
7:40.0,,,37-41,2,J. Lauvergne makes 2-pt shot from 1 ft (assist by D. Bertans)
7:35.0,Shooting foul by D. Murray (drawn by D. Rose),,37-41,,
7:35.0,D. Rose makes free throw 1 of 2,1,38-41,,
7:35.0,,,38-41,,K. Anderson enters the game for D. Green
7:35.0,L. James enters the game for T. Thompson,,38-41,,
7:35.0,D. Rose makes free throw 2 of 2,1,39-41,,
7:22.0,,,39-41,,P. Mills misses 2-pt shot from 2 ft (block by D. Rose)
7:18.0,Defensive rebound by J. Green,,39-41,,
7:16.0,K. Korver makes 3-pt shot from 25 ft (assist by J. Smith),3,42-41,,
7:12.0,,,42-41,,San Antonio full timeout
7:12.0,,,42-41,,B. Forbes enters the game for J. Lauvergne
6:58.0,,,42-43,2,K. Anderson makes 2-pt shot from 17 ft
6:46.0,Turnover by L. James (bad pass),,42-43,,
6:32.0,,,42-43,,K. Anderson misses 2-pt shot from 4 ft
6:29.0,Defensive rebound by L. James,,42-43,,
6:22.0,L. James misses 2-pt shot from 1 ft,,42-43,,
6:18.0,Offensive rebound by J. Green,,42-43,,
6:18.0,J. Green makes 2-pt shot at rim,2,44-43,,
6:09.0,,,44-43,,D. Murray misses 2-pt shot from 14 ft
6:07.0,Defensive rebound by L. James,,44-43,,
6:01.0,L. James misses 2-pt shot from 3 ft,,44-43,,
5:57.0,Offensive rebound by L. James,,44-43,,
5:57.0,L. James makes 2-pt shot at rim,2,46-43,,
5:40.0,,,46-43,,D. Bertans misses 3-pt shot from 24 ft
5:35.0,,,46-43,,Offensive rebound by D. Murray
5:35.0,,,46-45,2,D. Murray makes 2-pt shot at rim
5:26.0,Shooting foul by P. Mills (drawn by J. Green),,46-45,,
5:26.0,J. Green makes free throw 1 of 2,1,47-45,,
5:26.0,,,47-45,,L. Aldridge enters the game for P. Mills
5:26.0,I. Thomas enters the game for D. Rose,,47-45,,
5:26.0,K. Love enters the game for K. Korver,,47-45,,
5:26.0,J. Green makes free throw 2 of 2,1,48-45,,
5:05.0,,,48-45,,Turnover by L. Aldridge (out of bounds lost ball)
5:05.0,,,48-45,,T. Parker enters the game for D. Murray
5:05.0,J. Crowder enters the game for J. Green,,48-45,,
4:51.0,Shooting foul by B. Forbes (drawn by I. Thomas),,48-45,,
4:51.0,I. Thomas makes free throw 1 of 3,1,49-45,,
4:51.0,I. Thomas misses free throw 2 of 3,,49-45,,
4:51.0,Offensive rebound by Team,,49-45,,
4:51.0,I. Thomas makes free throw 3 of 3,1,50-45,,
4:40.0,,,50-47,2,L. Aldridge makes 2-pt shot at rim (assist by T. Parker)
4:40.0,,,50-47,,Shooting foul by J. Crowder (drawn by L. Aldridge)
4:40.0,,,50-47,,L. Aldridge misses free throw 1 of 1
4:38.0,,,50-47,,Offensive rebound by K. Anderson
4:25.0,,,50-47,,B. Forbes misses 3-pt shot from 25 ft
4:20.0,,,50-47,,Offensive rebound by L. Aldridge
4:05.0,,,50-47,,B. Forbes misses 3-pt shot from 25 ft
4:01.0,Defensive rebound by K. Love,,50-47,,
3:46.0,Turnover by L. James (lost ball; steal by D. Bertans),,50-47,,
3:31.0,,,50-50,3,D. Bertans makes 3-pt shot from 25 ft (assist by T. Parker)
3:05.0,K. Love makes 2-pt shot from 1 ft,2,52-50,,
2:47.0,,,52-50,,Shooting foul by J. Smith (drawn by L. Aldridge)
2:47.0,Cleveland full timeout,,52-50,,
2:47.0,,,52-50,,D. Green enters the game for D. Bertans
2:47.0,,,52-51,1,L. Aldridge makes free throw 1 of 2
2:47.0,,,52-52,1,L. Aldridge makes free throw 2 of 2
2:26.0,L. James misses 2-pt shot from 18 ft,,52-52,,
2:22.0,,,52-52,,Defensive rebound by D. Green
2:17.0,,,52-52,,T. Parker misses 2-pt shot at rim
2:17.0,Defensive rebound by K. Love,,52-52,,
2:04.0,,,52-52,,Personal foul by K. Anderson (drawn by L. James)
2:04.0,L. James makes free throw 1 of 2,1,53-52,,
2:04.0,L. James misses free throw 2 of 2,,53-52,,
2:01.0,,,53-52,,Defensive rebound by L. Aldridge
1:44.0,,,53-54,2,T. Parker makes 2-pt shot from 1 ft (assist by L. Aldridge)
1:27.0,Turnover by J. Smith (out of bounds lost ball),,53-54,,
1:12.0,,,53-56,2,D. Green makes 2-pt shot from 10 ft (assist by T. Parker)
0:58.0,L. James misses 3-pt shot from 25 ft,,53-56,,
0:56.0,,,53-56,,Defensive rebound by B. Forbes
0:48.0,,,53-59,3,B. Forbes makes 3-pt shot from 24 ft (assist by K. Anderson)
0:38.0,I. Thomas misses 2-pt shot from 1 ft (block by D. Green),,53-59,,
0:36.0,,,53-59,,Defensive rebound by Team
0:36.0,T. Thompson enters the game for K. Love,,53-59,,
0:31.0,,,53-61,2,T. Parker makes 2-pt shot from 18 ft
0:09.0,L. James makes 2-pt shot from 9 ft,2,55-61,,
0:01.0,,,55-63,2,T. Parker makes 2-pt shot from 1 ft
0:01.0,Violation by T. Thompson (def goaltending),,55-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,55-66,3,D. Bertans makes 3-pt shot from 26 ft (assist by K. Anderson)
11:20.0,Turnover by L. James (bad pass; steal by D. Murray),,55-66,,
11:11.0,,,55-66,,K. Anderson misses 2-pt shot from 17 ft
11:07.0,Defensive rebound by K. Love,,55-66,,
10:58.0,Turnover by J. Smith (traveling),,55-66,,
10:43.0,,,55-66,,D. Green misses 2-pt shot from 8 ft
10:40.0,Defensive rebound by K. Love,,55-66,,
10:36.0,I. Thomas misses 3-pt shot from 24 ft,,55-66,,
10:32.0,,,55-66,,Defensive rebound by K. Anderson
10:26.0,,,55-68,2,K. Anderson makes 2-pt shot at rim
10:02.0,Turnover by I. Thomas (bad pass; steal by L. Aldridge),,55-68,,
9:56.0,,,55-68,,D. Green misses 3-pt shot from 25 ft
9:50.0,Defensive rebound by J. Smith,,55-68,,
9:31.0,L. James makes 2-pt shot from 2 ft,2,57-68,,
9:11.0,,,57-68,,L. Aldridge misses 3-pt shot from 24 ft
9:08.0,Defensive rebound by K. Love,,57-68,,
8:47.0,L. James misses 3-pt shot from 25 ft,,57-68,,
8:44.0,,,57-68,,Defensive rebound by D. Green
8:31.0,,,57-68,,D. Murray misses 2-pt shot from 6 ft
8:26.0,,,57-68,,Offensive rebound by L. Aldridge
8:26.0,,,57-70,2,L. Aldridge makes 2-pt shot at rim
8:10.0,Shooting foul by D. Green (drawn by I. Thomas),,57-70,,
8:10.0,I. Thomas makes free throw 1 of 3,1,58-70,,
8:10.0,I. Thomas makes free throw 2 of 3,1,59-70,,
8:10.0,I. Thomas makes free throw 3 of 3,1,60-70,,
7:51.0,,,60-72,2,L. Aldridge makes 2-pt shot from 11 ft (assist by D. Bertans)
7:38.0,J. Smith misses 2-pt shot from 16 ft,,60-72,,
7:34.0,,,60-72,,Defensive rebound by D. Bertans
7:34.0,,,60-72,,Shooting foul by J. Crowder (drawn by D. Murray)
7:34.0,,,60-73,1,D. Murray makes free throw 1 of 2
7:34.0,,,60-74,1,D. Murray makes free throw 2 of 2
7:20.0,K. Love makes 2-pt shot from 19 ft (assist by L. James),2,62-74,,
7:02.0,,,62-74,,L. Aldridge misses 2-pt shot from 10 ft
6:58.0,Defensive rebound by L. James,,62-74,,
6:54.0,J. Smith misses 3-pt shot from 25 ft,,62-74,,
6:54.0,,,62-74,,Defensive rebound by D. Murray
6:44.0,,,62-76,2,D. Murray makes 2-pt shot at rim
6:19.0,L. James misses 2-pt shot from 1 ft,,62-76,,
6:15.0,,,62-76,,Defensive rebound by K. Anderson
6:13.0,,,62-76,,D. Green misses 3-pt shot from 26 ft
6:13.0,Defensive rebound by J. Crowder,,62-76,,
6:02.0,I. Thomas makes 2-pt shot from 1 ft,2,64-76,,
6:02.0,Shooting foul by D. Murray (drawn by I. Thomas),,64-76,,
6:02.0,,,64-76,,San Antonio full timeout
6:02.0,,,64-76,,P. Mills enters the game for D. Green
6:02.0,I. Thomas makes free throw 1 of 1,1,65-76,,
5:45.0,,,65-78,2,L. Aldridge makes 2-pt shot from 1 ft
5:32.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,67-78,,
5:13.0,,,67-78,,P. Mills misses 2-pt shot from 2 ft
5:10.0,Defensive rebound by L. James,,67-78,,
5:06.0,J. Crowder misses 2-pt shot from 20 ft,,67-78,,
5:02.0,,,67-78,,Defensive rebound by L. Aldridge
4:57.0,,,67-78,,D. Murray misses 2-pt shot from 4 ft
4:57.0,,,67-78,,Offensive rebound by K. Anderson
4:50.0,,,67-78,,D. Murray misses 2-pt shot from 4 ft
4:50.0,Defensive rebound by J. Crowder,,67-78,,
4:47.0,I. Thomas misses 2-pt shot from 2 ft,,67-78,,
4:47.0,,,67-78,,Defensive rebound by K. Anderson
4:26.0,,,67-78,,D. Bertans misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by L. James,,67-78,,
4:21.0,Shooting foul by K. Anderson (drawn by L. James),,67-78,,
4:21.0,L. James misses free throw 1 of 2,,67-78,,
4:21.0,Offensive rebound by Team,,67-78,,
4:21.0,,,67-78,,T. Parker enters the game for D. Murray
4:21.0,,,67-78,,J. Lauvergne enters the game for D. Bertans
4:21.0,T. Thompson enters the game for K. Love,,67-78,,
4:21.0,L. James makes free throw 2 of 2,1,68-78,,
4:04.0,Personal foul by T. Thompson (drawn by L. Aldridge),,68-78,,
3:54.0,,,68-78,,Turnover by J. Lauvergne (bad pass; steal by I. Thomas)
3:49.0,I. Thomas misses 2-pt shot from 1 ft,,68-78,,
3:49.0,,,68-78,,Defensive rebound by L. Aldridge
3:49.0,Personal foul by T. Thompson (drawn by L. Aldridge),,68-78,,
3:49.0,D. Wade enters the game for I. Thomas,,68-78,,
3:31.0,,,68-78,,P. Mills misses 3-pt shot from 24 ft
3:31.0,Defensive rebound by D. Wade,,68-78,,
3:23.0,K. Korver enters the game for J. Smith,,68-78,,
3:19.0,L. James makes 3-pt shot from 26 ft (assist by K. Korver),3,71-78,,
3:01.0,,,71-80,2,L. Aldridge makes 2-pt shot from 1 ft (assist by T. Parker)
2:45.0,L. James misses 2-pt shot from 2 ft,,71-80,,
2:45.0,Offensive rebound by L. James,,71-80,,
2:44.0,Shooting foul by J. Lauvergne (drawn by L. James),,71-80,,
2:44.0,Cleveland full timeout,,71-80,,
2:44.0,L. James makes free throw 1 of 2,1,72-80,,
2:44.0,L. James makes free throw 2 of 2,1,73-80,,
2:29.0,,,73-80,,T. Parker misses 3-pt shot from 24 ft
2:26.0,Defensive rebound by D. Wade,,73-80,,
2:18.0,T. Thompson makes 2-pt shot from 1 ft (assist by D. Wade),2,75-80,,
1:55.0,,,75-82,2,L. Aldridge makes 2-pt shot from 12 ft (assist by P. Mills)
1:38.0,D. Wade makes 2-pt shot from 1 ft (assist by L. James),2,77-82,,
1:20.0,,,77-82,,Turnover by T. Parker (lost ball; steal by T. Thompson)
1:15.0,L. James makes 2-pt shot from 1 ft (assist by T. Thompson),2,79-82,,
1:10.0,,,79-84,2,K. Anderson makes 2-pt shot at rim
0:56.0,K. Korver misses 3-pt shot from 25 ft,,79-84,,
0:56.0,,,79-84,,Defensive rebound by K. Anderson
0:44.0,,,79-86,2,K. Anderson makes 2-pt shot from 18 ft
0:35.0,D. Wade makes 2-pt shot from 21 ft,2,81-86,,
0:18.0,Personal foul by D. Wade (drawn by T. Parker),,81-86,,
0:18.0,,,81-86,,B. Forbes enters the game for J. Lauvergne
0:18.0,J. Green enters the game for J. Crowder,,81-86,,
0:07.0,,,81-89,3,P. Mills makes 3-pt shot from 24 ft (assist by T. Parker)
0:01.0,Turnover by D. Wade (lost ball; steal by L. Aldridge),,81-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,T. Thompson makes 2-pt shot from 3 ft (assist by K. Korver),2,83-89,,
11:18.0,,,83-89,,T. Parker misses 2-pt shot from 10 ft
11:15.0,,,83-89,,Offensive rebound by J. Lauvergne
10:59.0,,,83-89,,Turnover by D. Green (bad pass; steal by D. Wade)
10:45.0,T. Thompson makes 2-pt shot at rim (assist by D. Wade),2,85-89,,
10:28.0,,,85-91,2,D. Bertans makes 2-pt shot from 5 ft (assist by D. Green)
10:14.0,K. Korver misses 3-pt shot from 26 ft,,85-91,,
10:11.0,,,85-91,,Defensive rebound by D. Green
10:01.0,,,85-91,,D. Green misses 3-pt shot from 24 ft
10:00.0,Defensive rebound by J. Green,,85-91,,
10:00.0,,,85-91,,Personal foul by D. Bertans (drawn by J. Green)
10:00.0,,,85-91,,B. Forbes enters the game for D. Green
9:47.0,D. Wade makes 2-pt shot from 9 ft (assist by K. Korver),2,87-91,,
9:25.0,,,87-91,,T. Parker misses 2-pt shot from 3 ft
9:19.0,,,87-91,,Offensive rebound by J. Lauvergne
9:19.0,,,87-93,2,J. Lauvergne makes 2-pt shot at rim
9:15.0,D. Wade makes 2-pt shot from 1 ft (assist by D. Rose),2,89-93,,
8:52.0,,,89-95,2,T. Parker makes 2-pt shot from 1 ft
8:44.0,Turnover by J. Green (traveling),,89-95,,
8:44.0,,,89-95,,D. Murray enters the game for T. Parker
8:44.0,,,89-95,,L. Aldridge enters the game for J. Lauvergne
8:35.0,,,89-95,,B. Forbes misses 2-pt shot from 5 ft
8:31.0,Defensive rebound by D. Wade,,89-95,,
8:28.0,,,89-95,,Personal foul by D. Bertans (drawn by T. Thompson)
8:21.0,,,89-95,,D. Green enters the game for P. Mills
8:16.0,D. Wade misses 2-pt shot from 17 ft,,89-95,,
8:13.0,,,89-95,,Defensive rebound by D. Murray
7:57.0,,,89-95,,L. Aldridge misses 2-pt shot from 11 ft
7:54.0,Defensive rebound by K. Korver,,89-95,,
7:48.0,J. Green misses 2-pt shot from 4 ft (block by L. Aldridge),,89-95,,
7:44.0,,,89-95,,Defensive rebound by D. Murray
7:38.0,,,89-95,,K. Anderson enters the game for D. Green
7:38.0,L. James enters the game for K. Korver,,89-95,,
7:25.0,,,89-95,,K. Anderson misses 2-pt shot from 6 ft (block by L. James)
7:22.0,Defensive rebound by L. James,,89-95,,
7:22.0,,,89-95,,Personal foul by K. Anderson (drawn by L. James)
7:11.0,Turnover by L. James (bad pass; steal by K. Anderson),,89-95,,
7:05.0,,,89-97,2,D. Murray makes 2-pt shot from 1 ft (assist by D. Bertans)
7:05.0,Cleveland full timeout,,89-97,,
7:05.0,,,89-97,,D. Green enters the game for D. Bertans
7:05.0,K. Love enters the game for T. Thompson,,89-97,,
6:52.0,I. Thomas enters the game for D. Rose,,89-97,,
6:47.0,I. Thomas makes 2-pt shot from 1 ft (assist by L. James),2,91-97,,
6:33.0,,,91-97,,Turnover by D. Murray (bad pass)
6:11.0,Turnover by J. Green (lost ball; steal by D. Murray),,91-97,,
5:54.0,,,91-99,2,B. Forbes makes 2-pt shot from 6 ft (assist by L. Aldridge)
5:24.0,K. Love misses 2-pt shot from 7 ft,,91-99,,
5:23.0,,,91-99,,Defensive rebound by D. Murray
5:19.0,,,91-99,,Shooting foul by I. Thomas (drawn by D. Murray)
5:19.0,,,91-100,1,D. Murray makes free throw 1 of 2
5:19.0,J. Smith enters the game for D. Wade,,91-100,,
5:19.0,,,91-100,,D. Murray misses free throw 2 of 2
5:17.0,Defensive rebound by L. James,,91-100,,
5:08.0,L. James makes 3-pt shot from 26 ft,3,94-100,,
4:41.0,,,94-100,,D. Green misses 3-pt shot from 26 ft
4:41.0,,,94-100,,Offensive rebound by D. Murray
4:33.0,,,94-102,2,D. Murray makes 2-pt shot at rim
4:25.0,L. James misses 2-pt shot from 1 ft,,94-102,,
4:25.0,,,94-102,,Defensive rebound by K. Anderson
4:20.0,,,94-105,3,D. Green makes 3-pt shot from 26 ft (assist by K. Anderson)
4:20.0,Cleveland full timeout,,94-105,,
4:20.0,J. Crowder enters the game for J. Green,,94-105,,
4:01.0,J. Smith misses 3-pt shot from 23 ft,,94-105,,
3:57.0,,,94-105,,Defensive rebound by D. Murray
3:33.0,,,94-105,,D. Green misses 2-pt shot from 4 ft
3:30.0,Defensive rebound by K. Love,,94-105,,
3:19.0,Turnover by L. James (bad pass; steal by D. Murray),,94-105,,
3:11.0,,,94-105,,D. Murray misses 2-pt shot from 2 ft
3:09.0,Defensive rebound by K. Love,,94-105,,
2:51.0,Shooting foul by D. Murray (drawn by L. James),,94-105,,
2:51.0,L. James makes free throw 1 of 2,1,95-105,,
2:51.0,L. James makes free throw 2 of 2,1,96-105,,
2:39.0,,,96-105,,Turnover by D. Murray (bad pass; steal by K. Love)
2:32.0,Turnover by I. Thomas (traveling),,96-105,,
2:17.0,,,96-105,,Shooting foul by K. Love (drawn by L. Aldridge)
2:17.0,,,96-106,1,L. Aldridge makes free throw 1 of 2
2:17.0,,,96-106,,P. Mills enters the game for B. Forbes
2:17.0,,,96-107,1,L. Aldridge makes free throw 2 of 2
2:04.0,L. James misses 3-pt shot from 25 ft,,96-107,,
2:01.0,,,96-107,,Defensive rebound by L. Aldridge
1:44.0,,,96-109,2,L. Aldridge makes 2-pt shot from 15 ft (assist by D. Murray)
1:35.0,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas),2,98-109,,
1:16.0,,,98-112,3,P. Mills makes 3-pt shot from 24 ft (assist by L. Aldridge)
1:16.0,Cleveland full timeout,,98-112,,
1:16.0,,,98-112,,B. Paul enters the game for K. Anderson
1:16.0,,,98-112,,B. Forbes enters the game for D. Green
1:16.0,T. Thompson enters the game for K. Love,,98-112,,
