time,Atlanta,pts.away,score,pts.home,New York
0:00.0,Jump ball: F. Ntilikina vs. D. Bembry,,,,Jump ball: F. Ntilikina vs. D. Bembry
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,21-27,3,R. Baker makes 3-pt shot from 23 ft (assist by K. O'Quinn)
11:34.0,L. Babbitt makes 3-pt shot from 26 ft (assist by K. Bazemore),3,24-27,,
11:17.0,,,24-27,,Turnover by F. Ntilikina (bad pass; steal by K. Bazemore)
11:12.0,M. Belinelli misses 3-pt shot from 26 ft,,24-27,,
11:08.0,,,24-27,,Defensive rebound by K. O'Quinn
10:59.0,,,24-29,2,D. McDermott makes 2-pt shot from 1 ft (assist by K. O'Quinn)
10:42.0,I. Taylor misses 2-pt shot from 10 ft,,24-29,,
10:40.0,,,24-29,,Defensive rebound by K. O'Quinn
10:27.0,,,24-29,,M. Beasley misses 2-pt shot from 17 ft
10:25.0,Defensive rebound by M. Belinelli,,24-29,,
10:25.0,,,24-29,,Personal foul by M. Beasley (drawn by L. Babbitt)
10:25.0,D. Schroder enters the game for L. Babbitt,,24-29,,
10:25.0,T. Waller-Prince enters the game for I. Taylor,,24-29,,
10:12.0,Turnover by M. Belinelli (traveling),,24-29,,
10:12.0,,,24-29,,C. Lee enters the game for D. McDermott
10:00.0,,,24-31,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by R. Baker)
9:40.0,,,24-31,,Personal foul by R. Baker (drawn by T. Waller-Prince)
9:35.0,,,24-31,,Violation by F. Ntilikina (kicked ball)
9:23.0,Turnover by M. Plumlee (bad pass; steal by F. Ntilikina),,24-31,,
9:17.0,,,24-31,,C. Lee misses 2-pt shot from 2 ft
9:15.0,Defensive rebound by M. Plumlee,,24-31,,
9:07.0,T. Waller-Prince misses 3-pt shot from 26 ft,,24-31,,
9:02.0,Offensive rebound by M. Plumlee,,24-31,,
9:00.0,M. Plumlee misses 2-pt shot from 4 ft,,24-31,,
8:55.0,Offensive rebound by T. Waller-Prince,,24-31,,
8:55.0,T. Waller-Prince makes 2-pt shot at rim,2,26-31,,
8:43.0,,,26-31,,M. Beasley misses 2-pt shot at rim
8:36.0,Defensive rebound by M. Plumlee,,26-31,,
8:33.0,Shooting foul by K. O'Quinn (drawn by M. Plumlee),,26-31,,
8:33.0,M. Plumlee misses free throw 1 of 2,,26-31,,
8:33.0,Offensive rebound by Team,,26-31,,
8:33.0,D. Bembry enters the game for M. Belinelli,,26-31,,
8:33.0,T. Cavanaugh enters the game for D. Schroder,,26-31,,
8:33.0,M. Plumlee misses free throw 2 of 2,,26-31,,
8:31.0,,,26-31,,Defensive rebound by M. Beasley
8:20.0,,,26-33,2,C. Lee makes 2-pt shot from 14 ft
8:04.0,M. Plumlee misses 2-pt shot from 1 ft,,26-33,,
8:04.0,,,26-33,,Defensive rebound by C. Lee
7:56.0,,,26-33,,Turnover by C. Lee (bad pass; steal by T. Cavanaugh)
7:56.0,,,26-33,,Personal foul by M. Beasley (drawn by T. Cavanaugh)
7:56.0,,,26-33,,D. McDermott enters the game for K. O'Quinn
7:56.0,D. Schroder enters the game for M. Plumlee,,26-33,,
7:42.0,D. Bembry misses 3-pt shot from 23 ft,,26-33,,
7:39.0,,,26-33,,Defensive rebound by F. Ntilikina
7:28.0,,,26-33,,F. Ntilikina misses 2-pt shot from 15 ft
7:23.0,Defensive rebound by K. Bazemore,,26-33,,
7:21.0,Shooting foul by M. Beasley (drawn by T. Cavanaugh),,26-33,,
7:21.0,T. Cavanaugh makes free throw 1 of 2,1,27-33,,
7:21.0,,,27-33,,J. Jack enters the game for F. Ntilikina
7:21.0,,,27-33,,K. Porzingis enters the game for M. Beasley
7:21.0,T. Cavanaugh makes free throw 2 of 2,1,28-33,,
7:12.0,Personal foul by D. Bembry (drawn by J. Jack),,28-33,,
7:08.0,,,28-35,2,K. Porzingis makes 2-pt shot from 7 ft (assist by R. Baker)
6:56.0,D. Schroder makes 2-pt shot from 8 ft,2,30-35,,
6:40.0,,,30-37,2,K. Porzingis makes 2-pt shot at rim (assist by J. Jack)
6:22.0,D. Bembry misses 3-pt shot from 24 ft,,30-37,,
6:20.0,,,30-37,,Defensive rebound by J. Jack
6:15.0,,,30-37,,K. Porzingis misses 3-pt shot from 26 ft
6:09.0,Defensive rebound by T. Cavanaugh,,30-37,,
6:02.0,T. Waller-Prince makes 3-pt shot from 26 ft (assist by D. Schroder),3,33-37,,
5:45.0,,,33-37,,K. Porzingis misses 2-pt shot from 12 ft
5:43.0,Defensive rebound by T. Waller-Prince,,33-37,,
5:28.0,D. Schroder misses 2-pt shot from 1 ft (block by K. Porzingis),,33-37,,
5:27.0,Offensive rebound by T. Cavanaugh,,33-37,,
5:27.0,T. Cavanaugh makes 2-pt shot from 1 ft,2,35-37,,
5:27.0,,,35-37,,New York full timeout
5:27.0,,,35-37,,E. Kanter enters the game for R. Baker
5:27.0,E. Ilyasova enters the game for D. Schroder,,35-37,,
5:09.0,,,35-39,2,K. Porzingis makes 2-pt shot from 5 ft
4:47.0,T. Cavanaugh misses 3-pt shot from 22 ft,,35-39,,
4:45.0,Offensive rebound by Team,,35-39,,
4:45.0,Loose ball foul by T. Cavanaugh (drawn by D. McDermott),,35-39,,
4:45.0,Turnover by T. Cavanaugh (turnover),,35-39,,
4:45.0,D. Schroder enters the game for K. Bazemore,,35-39,,
4:29.0,,,35-39,,D. McDermott misses 3-pt shot from 24 ft
4:24.0,,,35-39,,Offensive rebound by J. Jack
4:15.0,,,35-39,,E. Kanter misses 2-pt shot from 6 ft
4:13.0,,,35-39,,Offensive rebound by E. Kanter
4:13.0,,,35-41,2,E. Kanter makes 2-pt shot from 1 ft
3:58.0,T. Cavanaugh misses 3-pt shot from 22 ft,,35-41,,
3:58.0,,,35-41,,Defensive rebound by D. McDermott
3:46.0,,,35-43,2,D. McDermott makes 2-pt shot at rim (assist by J. Jack)
3:46.0,,,35-43,,Shooting foul by T. Cavanaugh (drawn by D. McDermott)
3:46.0,M. Belinelli enters the game for D. Bembry,,35-43,,
3:46.0,,,35-44,1,D. McDermott makes free throw 1 of 1
3:46.0,L. Babbitt enters the game for T. Cavanaugh,,35-44,,
3:30.0,D. Schroder makes 2-pt shot from 10 ft,2,37-44,,
3:17.0,Personal foul by D. Schroder (drawn by J. Jack),,37-44,,
3:17.0,M. Delaney enters the game for D. Schroder,,37-44,,
3:02.0,,,37-44,,J. Jack misses 3-pt shot from 22 ft
2:59.0,Defensive rebound by E. Ilyasova,,37-44,,
2:45.0,M. Belinelli makes 2-pt shot from 23 ft (assist by T. Waller-Prince),2,39-44,,
2:28.0,,,39-44,,C. Lee misses 2-pt shot from 6 ft
2:27.0,Defensive rebound by Team,,39-44,,
2:27.0,Atlanta full timeout,,39-44,,
2:27.0,,,39-44,,R. Baker enters the game for C. Lee
2:15.0,T. Waller-Prince makes 2-pt shot from 1 ft (assist by E. Ilyasova),2,41-44,,
2:03.0,,,41-44,,Shooting foul by E. Ilyasova (drawn by K. Porzingis)
2:03.0,,,41-45,1,K. Porzingis makes free throw 1 of 2
2:03.0,,,41-46,1,K. Porzingis makes free throw 2 of 2
1:46.0,M. Belinelli makes 2-pt shot at rim (assist by T. Waller-Prince),2,43-46,,
1:28.0,,,43-49,3,D. McDermott makes 3-pt shot from 25 ft (assist by K. Porzingis)
1:05.0,E. Ilyasova makes 3-pt shot from 26 ft,3,46-49,,
0:44.0,,,46-49,,K. Porzingis misses 2-pt shot from 8 ft (block by E. Ilyasova)
0:44.0,,,46-49,,Offensive rebound by Team
0:43.0,,,46-49,,Offensive foul by E. Kanter (drawn by M. Delaney)
0:43.0,,,46-49,,Turnover by E. Kanter (offensive foul)
0:43.0,,,46-49,,L. Thomas enters the game for E. Kanter
0:34.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by M. Delaney),3,49-49,,
0:16.0,,,49-49,,Shooting foul by E. Ilyasova (drawn by J. Jack)
0:16.0,,,49-49,,C. Lee enters the game for K. Porzingis
0:16.0,,,49-50,1,J. Jack makes free throw 1 of 2
0:16.0,,,49-51,1,J. Jack makes free throw 2 of 2
0:04.0,L. Babbitt makes 3-pt shot from 26 ft (assist by M. Delaney),3,52-51,,
0:01.0,,,52-51,,J. Jack misses 3-pt shot from 29 ft
0:01.0,,,52-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,52-51,,J. Jack misses 2-pt shot from 19 ft
11:35.0,Defensive rebound by K. Bazemore,,52-51,,
11:21.0,M. Plumlee makes 2-pt shot from 1 ft (assist by K. Bazemore),2,54-51,,
11:10.0,,,54-53,2,L. Thomas makes 2-pt shot from 18 ft
10:59.0,K. Bazemore misses 3-pt shot from 23 ft,,54-53,,
10:56.0,,,54-53,,Defensive rebound by J. Jack
10:52.0,,,54-53,,Offensive foul by J. Jack (drawn by D. Schroder)
10:52.0,,,54-53,,Turnover by J. Jack (offensive foul)
10:34.0,D. Schroder makes 2-pt shot from 1 ft,2,56-53,,
10:20.0,Personal foul by E. Ilyasova (drawn by K. Porzingis),,56-53,,
10:15.0,,,56-53,,K. Porzingis misses 2-pt shot from 13 ft
10:12.0,,,56-53,,Offensive rebound by E. Kanter
10:11.0,,,56-53,,E. Kanter misses 2-pt shot from 1 ft
10:11.0,Defensive rebound by M. Plumlee,,56-53,,
9:58.0,M. Plumlee makes 2-pt shot at rim (assist by D. Schroder),2,58-53,,
9:45.0,,,58-53,,E. Kanter misses 2-pt shot from 2 ft (block by M. Plumlee)
9:43.0,Defensive rebound by T. Waller-Prince,,58-53,,
9:40.0,Turnover by K. Bazemore (bad pass),,58-53,,
9:27.0,,,58-55,2,J. Jack makes 2-pt shot from 7 ft
9:04.0,D. Schroder misses 3-pt shot from 25 ft,,58-55,,
9:04.0,,,58-55,,Defensive rebound by Team
8:55.0,,,58-57,2,J. Jack makes 2-pt shot from 10 ft
8:34.0,Shooting foul by E. Kanter (drawn by M. Plumlee),,58-57,,
8:34.0,M. Plumlee makes free throw 1 of 2,1,59-57,,
8:34.0,M. Plumlee misses free throw 2 of 2,,59-57,,
8:31.0,,,59-57,,Defensive rebound by K. Porzingis
8:18.0,Personal foul by K. Bazemore (drawn by C. Lee),,59-57,,
8:18.0,T. Cavanaugh enters the game for M. Plumlee,,59-57,,
8:12.0,,,59-59,2,E. Kanter makes 2-pt shot at rim (assist by J. Jack)
8:02.0,Turnover by E. Ilyasova (traveling),,59-59,,
7:51.0,,,59-59,,Turnover by J. Jack (bad pass; steal by E. Ilyasova)
7:47.0,K. Bazemore misses 3-pt shot from 24 ft,,59-59,,
7:44.0,,,59-59,,Defensive rebound by E. Kanter
7:40.0,,,59-59,,C. Lee misses 2-pt shot from 19 ft
7:40.0,Defensive rebound by D. Schroder,,59-59,,
7:18.0,,,59-59,,Personal foul by L. Thomas (drawn by T. Waller-Prince)
7:13.0,Shooting foul by E. Kanter (drawn by D. Schroder),,59-59,,
7:13.0,,,59-59,,K. O'Quinn enters the game for E. Kanter
7:13.0,D. Schroder makes free throw 1 of 2,1,60-59,,
7:13.0,D. Schroder makes free throw 2 of 2,1,61-59,,
6:57.0,,,61-61,2,K. Porzingis makes 2-pt shot from 1 ft (assist by J. Jack)
6:42.0,D. Schroder misses 2-pt shot from 1 ft,,61-61,,
6:42.0,Offensive rebound by T. Cavanaugh,,61-61,,
6:42.0,,,61-61,,Personal foul by K. O'Quinn (drawn by T. Cavanaugh)
6:42.0,,,61-61,,New York full timeout
6:30.0,K. Bazemore makes 2-pt shot from 21 ft (assist by T. Cavanaugh),2,63-61,,
6:09.0,,,63-61,,K. Porzingis misses 2-pt shot from 21 ft
6:07.0,Defensive rebound by T. Waller-Prince,,63-61,,
5:59.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by D. Schroder),3,66-61,,
5:34.0,Shooting block foul by K. Bazemore (drawn by J. Jack),,66-61,,
5:34.0,,,66-61,,R. Baker enters the game for C. Lee
5:34.0,,,66-61,,D. McDermott enters the game for L. Thomas
5:34.0,L. Babbitt enters the game for E. Ilyasova,,66-61,,
5:34.0,M. Belinelli enters the game for K. Bazemore,,66-61,,
5:34.0,,,66-62,1,J. Jack makes free throw 1 of 2
5:34.0,,,66-62,,J. Jack misses free throw 2 of 2
5:31.0,Defensive rebound by L. Babbitt,,66-62,,
5:19.0,L. Babbitt misses 3-pt shot from 25 ft,,66-62,,
5:15.0,,,66-62,,Defensive rebound by K. O'Quinn
5:06.0,Personal foul by T. Cavanaugh (drawn by K. Porzingis),,66-62,,
4:53.0,,,66-65,3,D. McDermott makes 3-pt shot from 22 ft (assist by R. Baker)
4:38.0,T. Waller-Prince misses 2-pt shot from 1 ft (block by K. O'Quinn),,66-65,,
4:38.0,Offensive rebound by Team,,66-65,,
4:38.0,D. Bembry enters the game for T. Waller-Prince,,66-65,,
4:36.0,D. Schroder makes 2-pt shot from 16 ft (assist by M. Belinelli),2,68-65,,
4:18.0,,,68-65,,R. Baker misses 3-pt shot from 25 ft
4:18.0,,,68-65,,Offensive rebound by Team
4:17.0,,,68-65,,F. Ntilikina enters the game for J. Jack
4:17.0,M. Plumlee enters the game for T. Cavanaugh,,68-65,,
4:12.0,,,68-65,,D. McDermott misses 2-pt shot from 11 ft
4:12.0,Defensive rebound by Team,,68-65,,
4:03.0,Offensive foul by D. Schroder (drawn by K. Porzingis),,68-65,,
4:03.0,Turnover by D. Schroder (offensive foul),,68-65,,
4:03.0,M. Delaney enters the game for D. Schroder,,68-65,,
3:51.0,,,68-67,2,D. McDermott makes 2-pt shot from 1 ft (assist by K. O'Quinn)
3:31.0,,,68-67,,Personal foul by D. McDermott (drawn by M. Belinelli)
3:31.0,M. Belinelli makes free throw 1 of 2,1,69-67,,
3:31.0,M. Belinelli makes free throw 2 of 2,1,70-67,,
3:14.0,,,70-69,2,K. Porzingis makes 2-pt shot from 16 ft
2:53.0,,,70-69,,Personal foul by R. Baker (drawn by M. Belinelli)
2:53.0,Atlanta full timeout,,70-69,,
2:53.0,M. Belinelli makes free throw 1 of 2,1,71-69,,
2:53.0,M. Belinelli makes free throw 2 of 2,1,72-69,,
2:41.0,,,72-69,,K. Porzingis misses 2-pt shot from 19 ft
2:37.0,Defensive rebound by M. Belinelli,,72-69,,
2:32.0,M. Delaney misses 2-pt shot from 18 ft,,72-69,,
2:32.0,,,72-69,,Defensive rebound by K. Porzingis
2:24.0,,,72-69,,D. McDermott misses 3-pt shot from 23 ft
2:24.0,Defensive rebound by Team,,72-69,,
2:21.0,,,72-69,,Technical foul by K. O'Quinn (drawn by L. Babbitt)
2:21.0,L. Babbitt makes free throw 1 of 2,1,73-69,,
2:21.0,L. Babbitt misses flagrant free throw 2 of 2,,73-69,,
2:21.0,Offensive rebound by Team,,73-69,,
2:10.0,M. Belinelli misses 3-pt shot from 26 ft,,73-69,,
2:10.0,,,73-69,,Defensive rebound by R. Baker
1:52.0,,,73-69,,K. Porzingis misses 3-pt shot from 26 ft
1:47.0,,,73-69,,Offensive rebound by K. O'Quinn
1:47.0,,,73-71,2,K. O'Quinn makes 2-pt shot at rim
1:28.0,M. Plumlee makes 2-pt shot from 1 ft (assist by M. Belinelli),2,75-71,,
1:10.0,,,75-71,,Shooting foul by L. Babbitt (drawn by K. Porzingis)
1:10.0,,,75-72,1,K. Porzingis makes free throw 1 of 2
1:10.0,,,75-73,1,K. Porzingis makes free throw 2 of 2
0:49.0,D. Bembry misses 2-pt shot from 5 ft,,75-73,,
0:48.0,,,75-73,,Defensive rebound by Team
0:48.0,,,75-73,,M. Beasley enters the game for K. Porzingis
0:36.0,,,75-73,,F. Ntilikina misses 3-pt shot from 26 ft
0:35.0,,,75-73,,Offensive rebound by M. Beasley
0:35.0,Personal foul by M. Plumlee (drawn by M. Beasley),,75-73,,
0:35.0,E. Ilyasova enters the game for M. Plumlee,,75-73,,
0:35.0,,,75-73,,M. Beasley misses free throw 1 of 2
0:35.0,,,75-73,,Offensive rebound by Team
0:35.0,,,75-74,1,M. Beasley makes free throw 2 of 2
0:27.0,E. Ilyasova misses 2-pt shot from 13 ft,,75-74,,
0:24.0,,,75-74,,Defensive rebound by F. Ntilikina
0:02.0,,,75-76,2,D. McDermott makes 2-pt shot from 11 ft (assist by R. Baker)
0:00.0,M. Delaney misses 3-pt shot from 27 ft,,75-76,,
0:00.0,Offensive rebound by Team,,75-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,M. Belinelli misses 3-pt shot from 26 ft,,75-76,,
11:43.0,Offensive rebound by Team,,75-76,,
11:35.0,T. Waller-Prince misses 2-pt shot from 3 ft,,75-76,,
11:32.0,,,75-76,,Defensive rebound by K. O'Quinn
11:21.0,,,75-76,,Shooting foul by T. Waller-Prince (drawn by R. Baker)
11:21.0,,,75-77,1,R. Baker makes free throw 2 of 2
11:21.0,,,75-78,1,R. Baker makes free throw 1 of 2
11:21.0,K. Bazemore enters the game for L. Babbitt,,75-78,,
11:21.0,,,75-78,,L. Thomas enters the game for K. O'Quinn
11:09.0,Turnover by K. Bazemore (bad pass; steal by F. Ntilikina),,75-78,,
11:05.0,,,75-78,,F. Ntilikina misses 2-pt shot at rim
11:03.0,,,75-78,,Offensive rebound by D. McDermott
11:03.0,,,75-80,2,D. McDermott makes 2-pt shot at rim
11:03.0,Atlanta full timeout,,75-80,,
11:03.0,D. Schroder enters the game for M. Delaney,,75-80,,
11:03.0,T. Cavanaugh enters the game for E. Ilyasova,,75-80,,
11:02.0,,,75-80,,Personal foul by F. Ntilikina (drawn by D. Schroder)
10:46.0,Offensive foul by T. Waller-Prince (drawn by R. Baker),,75-80,,
10:46.0,Turnover by T. Waller-Prince (offensive foul),,75-80,,
10:39.0,Personal foul by T. Cavanaugh (drawn by M. Beasley),,75-80,,
10:39.0,E. Ilyasova enters the game for T. Cavanaugh,,75-80,,
10:33.0,,,75-80,,Shooting foul by K. Bazemore (drawn by L. Thomas)
10:33.0,,,75-81,1,L. Thomas makes free throw 1 of 2
10:33.0,,,75-82,1,L. Thomas makes free throw 2 of 2
10:23.0,D. Schroder misses 2-pt shot from 3 ft,,75-82,,
10:14.0,,,75-82,,Defensive rebound by F. Ntilikina
10:13.0,,,75-82,,M. Beasley misses 2-pt shot from 2 ft
10:13.0,Defensive rebound by T. Waller-Prince,,75-82,,
9:53.0,D. Schroder makes 2-pt shot from 1 ft (assist by T. Waller-Prince),2,77-82,,
9:42.0,,,77-84,2,D. McDermott makes 2-pt shot from 2 ft
9:32.0,D. Schroder makes 2-pt shot from 1 ft,2,79-84,,
9:32.0,Shooting foul by L. Thomas (drawn by D. Schroder),,79-84,,
9:32.0,I. Taylor enters the game for M. Belinelli,,79-84,,
9:32.0,D. Schroder makes free throw 1 of 1,1,80-84,,
9:23.0,,,80-84,,Offensive charge foul by M. Beasley (drawn by E. Ilyasova)
9:23.0,,,80-84,,Turnover by M. Beasley (offensive foul)
9:04.0,D. Schroder makes 2-pt shot from 1 ft,2,82-84,,
8:47.0,,,82-84,,Shooting foul by K. Bazemore (drawn by D. McDermott)
8:47.0,,,82-85,1,D. McDermott makes free throw 1 of 2
8:47.0,,,82-86,1,D. McDermott makes free throw 2 of 2
8:46.0,Turnover by T. Waller-Prince (bad pass),,82-86,,
8:35.0,,,82-89,3,F. Ntilikina makes 3-pt shot from 27 ft
8:14.0,Shooting foul by M. Beasley (drawn by K. Bazemore),,82-89,,
8:14.0,L. Babbitt enters the game for D. Schroder,,82-89,,
8:14.0,K. Bazemore makes free throw 1 of 2,1,83-89,,
8:14.0,K. Bazemore makes free throw 2 of 2,1,84-89,,
8:04.0,,,84-89,,R. Baker misses 2-pt shot from 22 ft
8:02.0,,,84-89,,Offensive rebound by Team
7:49.0,,,84-91,2,F. Ntilikina makes 2-pt shot from 13 ft
7:38.0,,,84-91,,Personal foul by M. Beasley (drawn by E. Ilyasova)
7:38.0,,,84-91,,K. Porzingis enters the game for M. Beasley
7:30.0,Turnover by K. Bazemore (bad pass; steal by K. Porzingis),,84-91,,
7:17.0,,,84-91,,Turnover by L. Thomas (lost ball; steal by I. Taylor)
7:08.0,Turnover by K. Bazemore (bad pass; steal by L. Thomas),,84-91,,
7:00.0,Personal foul by I. Taylor (drawn by F. Ntilikina),,84-91,,
7:00.0,M. Belinelli enters the game for K. Bazemore,,84-91,,
7:00.0,,,84-92,1,F. Ntilikina makes free throw 1 of 2
7:00.0,,,84-93,1,F. Ntilikina makes free throw 2 of 2
7:00.0,Violation by L. Babbitt (lane),,84-93,,
6:48.0,Shooting foul by L. Thomas (drawn by T. Waller-Prince),,84-93,,
6:48.0,T. Waller-Prince makes free throw 1 of 2,1,85-93,,
6:48.0,T. Waller-Prince makes free throw 2 of 2,1,86-93,,
6:48.0,Technical foul by L. Babbitt,,86-93,,
6:48.0,,,86-94,1,K. Porzingis makes technical free throw
6:28.0,,,86-96,2,K. Porzingis makes 2-pt shot from 15 ft
6:28.0,,,86-96,,Shooting foul by I. Taylor (drawn by K. Porzingis)
6:28.0,,,86-97,1,K. Porzingis makes free throw 1 of 1
