time,New York,pts.away,score,pts.home,Orlando
2:22.0,,,48-48,,Offensive rebound by E. Payton
2:15.0,,,48-50,2,E. Payton makes 2-pt shot at rim
1:59.0,Turnover by E. Kanter (bad pass; steal by E. Fournier),,48-50,,
1:42.0,,,48-50,,Turnover by N. Vucevic (lost ball; steal by C. Lee)
1:35.0,J. Jack misses 2-pt shot from 17 ft (block by E. Payton),,48-50,,
1:33.0,,,48-50,,Defensive rebound by E. Payton
1:33.0,Personal foul by J. Jack (drawn by E. Payton),,48-50,,
1:33.0,L. Thomas enters the game for E. Kanter,,48-50,,
1:33.0,K. O'Quinn enters the game for M. Beasley,,48-50,,
1:23.0,,,48-50,,N. Vucevic misses 2-pt shot from 22 ft
1:19.0,Defensive rebound by C. Lee,,48-50,,
1:13.0,Turnover by J. Jack (bad pass; steal by E. Fournier),,48-50,,
1:09.0,,,48-52,2,E. Fournier makes 2-pt shot at rim (assist by A. Gordon)
0:49.0,K. O'Quinn makes 2-pt shot from 19 ft (assist by L. Thomas),2,50-52,,
0:36.0,,,50-54,2,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton)
0:27.0,Offensive charge foul by K. O'Quinn (drawn by N. Vucevic),,50-54,,
0:27.0,Turnover by K. O'Quinn (offensive foul),,50-54,,
0:06.0,,,50-54,,N. Vucevic misses 2-pt shot from 17 ft
0:02.0,Defensive rebound by Team,,50-54,,
0:02.0,,,50-54,,Loose ball foul by E. Fournier (drawn by J. Jack)
0:00.0,K. O'Quinn misses 3-pt shot from 30 ft,,50-54,,
0:00.0,Offensive rebound by Team,,50-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,50-54,,E. Fournier misses 2-pt shot from 4 ft
11:35.0,,,50-54,,Offensive rebound by E. Payton
11:27.0,,,50-54,,E. Payton misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by E. Kanter,,50-54,,
11:14.0,E. Kanter makes 2-pt shot from 1 ft (assist by C. Lee),2,52-54,,
11:06.0,,,52-56,2,E. Payton makes 2-pt shot at rim (assist by T. Ross)
10:52.0,T. Hardaway makes 2-pt shot from 1 ft (assist by M. Beasley),2,54-56,,
10:38.0,,,54-58,2,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Fournier)
10:15.0,T. Hardaway misses 3-pt shot from 26 ft,,54-58,,
10:15.0,,,54-58,,Defensive rebound by N. Vucevic
9:59.0,,,54-58,,T. Ross misses 3-pt shot from 24 ft
9:54.0,,,54-58,,Offensive rebound by N. Vucevic
9:54.0,,,54-58,,N. Vucevic misses 2-pt shot at rim
9:53.0,Defensive rebound by E. Kanter,,54-58,,
9:50.0,Shooting foul by E. Fournier (drawn by C. Lee),,54-58,,
9:50.0,C. Lee makes free throw 1 of 2,1,55-58,,
9:50.0,C. Lee makes free throw 2 of 2,1,56-58,,
9:38.0,,,56-60,2,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Payton)
9:18.0,Turnover by J. Jack (lost ball; steal by E. Payton),,56-60,,
9:15.0,,,56-62,2,E. Payton makes 2-pt shot from 1 ft (assist by E. Fournier)
8:59.0,Turnover by M. Beasley (bad pass; steal by N. Vucevic),,56-62,,
8:53.0,,,56-62,,A. Gordon misses 3-pt shot from 26 ft
8:50.0,Defensive rebound by M. Beasley,,56-62,,
8:42.0,E. Kanter makes 2-pt shot from 6 ft,2,58-62,,
8:23.0,,,58-62,,E. Payton misses 2-pt shot from 3 ft (block by M. Beasley)
8:18.0,Defensive rebound by T. Hardaway,,58-62,,
8:16.0,T. Hardaway makes 2-pt shot from 3 ft,2,60-62,,
8:08.0,Personal foul by T. Hardaway (drawn by E. Payton),,60-62,,
8:01.0,,,60-62,,Turnover by E. Payton (step out of bounds)
7:39.0,C. Lee makes 3-pt shot from 22 ft,3,63-62,,
7:23.0,,,63-62,,Shooting foul by E. Kanter (drawn by N. Vucevic)
7:23.0,,,63-63,1,N. Vucevic makes free throw 1 of 2
7:23.0,F. Ntilikina enters the game for J. Jack,,63-63,,
7:23.0,,,63-64,1,N. Vucevic makes free throw 2 of 2
7:01.0,Turnover by C. Lee (traveling),,63-64,,
6:48.0,,,63-67,3,A. Gordon makes 3-pt shot from 24 ft (assist by E. Payton)
6:24.0,T. Hardaway makes 2-pt shot from 3 ft,2,65-67,,
6:24.0,Shooting foul by A. Gordon (drawn by T. Hardaway),,65-67,,
6:24.0,,,65-67,,Orlando full timeout
6:24.0,T. Hardaway makes free throw 1 of 1,1,66-67,,
6:13.0,,,66-70,3,A. Gordon makes 3-pt shot from 26 ft
5:58.0,C. Lee makes 2-pt shot from 19 ft (assist by F. Ntilikina),2,68-70,,
5:47.0,,,68-73,3,N. Vucevic makes 3-pt shot from 25 ft (assist by E. Payton)
5:29.0,E. Kanter misses 2-pt shot from 1 ft,,68-73,,
5:25.0,,,68-73,,Defensive rebound by E. Fournier
5:24.0,,,68-75,2,E. Payton makes 2-pt shot at rim (assist by E. Fournier)
5:05.0,Turnover by F. Ntilikina (bad pass; steal by N. Vucevic),,68-75,,
4:58.0,,,68-75,,N. Vucevic misses 3-pt shot from 26 ft
4:56.0,Defensive rebound by Team,,68-75,,
4:56.0,L. Thomas enters the game for E. Kanter,,68-75,,
4:56.0,K. O'Quinn enters the game for M. Beasley,,68-75,,
4:45.0,Turnover by T. Hardaway (bad pass; steal by T. Ross),,68-75,,
4:34.0,,,68-75,,E. Fournier misses 3-pt shot from 23 ft
4:30.0,Defensive rebound by T. Hardaway,,68-75,,
4:07.0,F. Ntilikina misses 2-pt shot from 15 ft,,68-75,,
4:04.0,,,68-75,,Defensive rebound by T. Ross
4:00.0,,,68-77,2,A. Gordon makes 2-pt shot from 2 ft (assist by E. Payton)
4:00.0,New York full timeout,,68-77,,
4:00.0,,,68-77,,J. Simmons enters the game for T. Ross
4:00.0,D. McDermott enters the game for T. Hardaway,,68-77,,
3:43.0,K. O'Quinn misses 2-pt shot from 1 ft,,68-77,,
3:41.0,Offensive rebound by L. Thomas,,68-77,,
3:41.0,L. Thomas misses 2-pt shot at rim,,68-77,,
3:41.0,Offensive rebound by Team,,68-77,,
3:30.0,,,68-77,,Personal foul by E. Payton (drawn by L. Thomas)
3:22.0,L. Thomas misses 2-pt shot from 17 ft,,68-77,,
3:19.0,,,68-77,,Defensive rebound by E. Payton
2:57.0,,,68-77,,Turnover by Team (shot clock)
2:57.0,,,68-77,,S. Mack enters the game for E. Payton
2:57.0,,,68-77,,Personal foul by S. Mack (drawn by F. Ntilikina)
2:46.0,C. Lee misses 2-pt shot from 14 ft,,68-77,,
2:42.0,,,68-77,,Defensive rebound by N. Vucevic
2:28.0,,,68-77,,N. Vucevic misses 2-pt shot from 20 ft
2:25.0,Defensive rebound by F. Ntilikina,,68-77,,
2:19.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by F. Ntilikina),2,70-77,,
2:06.0,,,70-79,2,J. Simmons makes 2-pt shot from 20 ft
1:41.0,L. Thomas misses 2-pt shot from 17 ft,,70-79,,
1:38.0,,,70-79,,Defensive rebound by E. Fournier
1:35.0,,,70-79,,Turnover by E. Fournier (bad pass; steal by C. Lee)
1:29.0,F. Ntilikina misses 2-pt shot from 12 ft,,70-79,,
1:28.0,Offensive rebound by Team,,70-79,,
1:28.0,,,70-79,,J. Isaac enters the game for N. Vucevic
1:28.0,,,70-79,,B. Biyombo enters the game for E. Fournier
1:15.0,Shooting foul by B. Biyombo (drawn by L. Thomas),,70-79,,
1:15.0,L. Thomas makes free throw 1 of 2,1,71-79,,
1:15.0,L. Thomas misses free throw 2 of 2,,71-79,,
1:13.0,,,71-79,,Defensive rebound by A. Gordon
0:53.0,,,71-81,2,J. Simmons makes 2-pt shot from 2 ft (assist by J. Isaac)
0:35.0,D. McDermott makes 3-pt shot from 26 ft (assist by F. Ntilikina),3,74-81,,
0:13.0,,,74-81,,Turnover by J. Simmons (lost ball; steal by C. Lee)
0:08.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by F. Ntilikina),2,76-81,,
0:02.0,Personal foul by L. Thomas (drawn by A. Gordon),,76-81,,
0:00.0,,,76-84,3,A. Gordon makes 3-pt shot from 25 ft (assist by J. Simmons)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,T. Hardaway makes 2-pt shot from 3 ft (assist by K. O'Quinn),2,78-84,,
11:32.0,Personal foul by L. Thomas (drawn by A. Gordon),,78-84,,
11:18.0,,,78-84,,J. Simmons misses 2-pt shot from 10 ft
11:14.0,Defensive rebound by T. Hardaway,,78-84,,
11:04.0,K. O'Quinn misses 2-pt shot from 3 ft (block by A. Gordon),,78-84,,
11:03.0,Offensive rebound by K. O'Quinn,,78-84,,
11:03.0,Turnover by K. O'Quinn (step out of bounds),,78-84,,
10:50.0,,,78-84,,S. Mack misses 2-pt shot from 17 ft
10:46.0,Defensive rebound by K. O'Quinn,,78-84,,
10:39.0,D. McDermott misses 3-pt shot from 26 ft,,78-84,,
10:36.0,,,78-84,,Defensive rebound by S. Mack
10:31.0,Personal foul by D. McDermott (drawn by B. Biyombo),,78-84,,
10:25.0,,,78-86,2,A. Gordon makes 2-pt shot from 17 ft
10:06.0,Turnover by F. Ntilikina (bad pass; steal by S. Mack),,78-86,,
10:04.0,,,78-88,2,J. Simmons makes 2-pt shot from 1 ft (assist by S. Mack)
10:04.0,,,78-88,,Shooting foul by T. Hardaway (drawn by J. Simmons)
10:04.0,J. Jack enters the game for F. Ntilikina,,78-88,,
10:04.0,,,78-89,1,J. Simmons makes free throw 1 of 1
9:41.0,T. Hardaway makes 2-pt shot from 2 ft,2,80-89,,
9:39.0,,,80-89,,Turnover by J. Simmons (bad pass; steal by T. Hardaway)
9:39.0,,,80-89,,Personal foul by S. Mack (drawn by T. Hardaway)
9:21.0,L. Thomas makes 2-pt shot from 5 ft,2,82-89,,
9:07.0,,,82-92,3,J. Simmons makes 3-pt shot from 26 ft (assist by S. Mack)
8:52.0,Turnover by J. Jack (bad pass; steal by J. Simmons),,82-92,,
8:50.0,,,82-94,2,J. Simmons makes 2-pt shot from 1 ft
8:50.0,,,82-94,,Shooting foul by T. Hardaway (drawn by J. Simmons)
8:50.0,,,82-94,,T. Ross enters the game for A. Gordon
8:50.0,C. Lee enters the game for L. Thomas,,82-94,,
8:50.0,,,82-94,,J. Simmons misses free throw 1 of 1
8:47.0,Defensive rebound by T. Hardaway,,82-94,,
8:29.0,T. Hardaway misses 2-pt shot from 1 ft,,82-94,,
8:26.0,,,82-94,,Defensive rebound by B. Biyombo
8:24.0,,,82-94,,Shooting foul by J. Jack (drawn by J. Simmons)
8:24.0,,,82-94,,J. Simmons misses free throw 1 of 2
8:24.0,,,82-94,,Offensive rebound by Team
8:24.0,,,82-95,1,J. Simmons makes free throw 2 of 2
8:02.0,T. Hardaway makes 2-pt shot from 20 ft,2,84-95,,
7:41.0,,,84-95,,Turnover by J. Isaac (step out of bounds)
7:41.0,W. Hernangomez enters the game for K. O'Quinn,,84-95,,
7:23.0,D. McDermott misses 2-pt shot from 1 ft,,84-95,,
7:20.0,Offensive rebound by W. Hernangomez,,84-95,,
7:20.0,W. Hernangomez misses 2-pt shot at rim (block by S. Mack),,84-95,,
7:20.0,Offensive rebound by W. Hernangomez,,84-95,,
7:19.0,W. Hernangomez makes 2-pt shot at rim,2,86-95,,
7:19.0,,,86-95,,Orlando full timeout
7:19.0,,,86-95,,E. Payton enters the game for S. Mack
7:02.0,,,86-97,2,J. Simmons makes 2-pt shot from 12 ft
6:40.0,T. Hardaway misses 2-pt shot from 2 ft (block by B. Biyombo),,86-97,,
6:36.0,Offensive rebound by J. Jack,,86-97,,
6:36.0,W. Hernangomez makes 2-pt shot from 2 ft (assist by J. Jack),2,88-97,,
6:22.0,Personal foul by J. Jack (drawn by B. Biyombo),,88-97,,
6:22.0,,,88-97,,E. Fournier enters the game for J. Isaac
6:22.0,,,88-97,,A. Gordon enters the game for J. Simmons
6:22.0,,,88-97,,B. Biyombo misses free throw 1 of 2
6:22.0,,,88-97,,Offensive rebound by Team
6:22.0,,,88-97,,B. Biyombo misses free throw 2 of 2
6:18.0,,,88-97,,Offensive rebound by A. Gordon
6:10.0,,,88-100,3,T. Ross makes 3-pt shot from 23 ft (assist by E. Payton)
5:51.0,C. Lee misses 2-pt shot from 1 ft,,88-100,,
5:51.0,,,88-100,,Defensive rebound by Team
5:51.0,Personal foul by W. Hernangomez (drawn by B. Biyombo),,88-100,,
5:51.0,,,88-101,1,B. Biyombo makes free throw 1 of 2
5:51.0,,,88-102,1,B. Biyombo makes free throw 2 of 2
5:40.0,W. Hernangomez makes 2-pt shot from 2 ft (assist by T. Hardaway),2,90-102,,
5:22.0,,,90-102,,E. Fournier misses 2-pt shot from 17 ft
5:22.0,,,90-102,,Offensive rebound by Team
5:22.0,Personal foul by W. Hernangomez (drawn by B. Biyombo),,90-102,,
5:22.0,F. Ntilikina enters the game for C. Lee,,90-102,,
5:22.0,L. Thomas enters the game for J. Jack,,90-102,,
5:22.0,,,90-102,,B. Biyombo misses free throw 1 of 2
5:22.0,,,90-102,,Offensive rebound by Team
5:22.0,,,90-103,1,B. Biyombo makes free throw 2 of 2
5:11.0,Shooting foul by B. Biyombo (drawn by W. Hernangomez),,90-103,,
5:11.0,W. Hernangomez misses free throw 1 of 2,,90-103,,
5:11.0,Offensive rebound by Team,,90-103,,
5:11.0,,,90-103,,N. Vucevic enters the game for B. Biyombo
5:11.0,W. Hernangomez misses free throw 2 of 2,,90-103,,
5:08.0,,,90-103,,Defensive rebound by A. Gordon
4:52.0,,,90-106,3,E. Fournier makes 3-pt shot from 26 ft
4:32.0,,,90-106,,Personal foul by N. Vucevic (drawn by W. Hernangomez)
4:32.0,New York full timeout,,90-106,,
4:20.0,W. Hernangomez misses 2-pt shot from 8 ft,,90-106,,
4:17.0,Offensive rebound by W. Hernangomez,,90-106,,
4:17.0,W. Hernangomez makes 2-pt shot from 1 ft,2,92-106,,
3:59.0,,,92-106,,Shooting foul by D. McDermott (drawn by E. Fournier)
3:59.0,,,92-107,1,E. Fournier makes free throw 1 of 2
3:59.0,,,92-107,,E. Fournier misses free throw 2 of 2
3:58.0,,,92-107,,Offensive rebound by Team
3:53.0,,,92-107,,Turnover by T. Ross (bad pass; steal by F. Ntilikina)
3:48.0,T. Hardaway makes 2-pt shot from 1 ft (assist by F. Ntilikina),2,94-107,,
3:26.0,,,94-110,3,E. Fournier makes 3-pt shot from 26 ft
3:11.0,,,94-110,,Personal foul by E. Fournier (drawn by D. McDermott)
3:00.0,F. Ntilikina makes 2-pt shot from 21 ft,2,96-110,,
2:33.0,,,96-110,,N. Vucevic misses 3-pt shot from 25 ft
2:31.0,Defensive rebound by T. Hardaway,,96-110,,
2:25.0,T. Hardaway misses 3-pt shot from 26 ft,,96-110,,
2:25.0,Offensive rebound by F. Ntilikina,,96-110,,
2:22.0,D. McDermott makes 3-pt shot from 24 ft (assist by F. Ntilikina),3,99-110,,
2:21.0,,,99-110,,Orlando full timeout
2:03.0,,,99-112,2,E. Fournier makes 2-pt shot at rim (assist by N. Vucevic)
1:51.0,F. Ntilikina misses 2-pt shot from 2 ft (block by E. Payton),,99-112,,
1:51.0,Offensive rebound by Team,,99-112,,
