time,Cleveland,pts.away,score,pts.home,LA Clippers
5:14.0,,,11-19,1,T. Harris makes free throw 2 of 2
4:57.0,J. Smith misses 3-pt shot from 26 ft,,11-19,,
4:54.0,,,11-19,,Defensive rebound by D. Jordan
4:47.0,,,11-21,2,D. Jordan makes 2-pt shot from 2 ft (assist by L. Williams)
4:22.0,L. James makes 2-pt shot from 18 ft,2,13-21,,
4:12.0,,,13-21,,A. Rivers misses 3-pt shot from 25 ft
4:10.0,,,13-21,,Offensive rebound by D. Jordan
4:00.0,,,13-21,,T. Harris misses 3-pt shot from 23 ft
3:58.0,Defensive rebound by L. Nance,,13-21,,
3:44.0,K. Korver misses 3-pt shot from 23 ft,,13-21,,
3:42.0,Offensive rebound by L. Nance,,13-21,,
3:41.0,K. Korver misses 3-pt shot from 25 ft,,13-21,,
3:39.0,,,13-21,,Defensive rebound by Team
3:39.0,,,13-21,,LA Clippers full timeout
3:39.0,,,13-21,,M. Teodosic enters the game for L. Williams
3:39.0,J. Green enters the game for L. Nance,,13-21,,
3:20.0,,,13-23,2,S. Thornwell makes 2-pt shot from 13 ft (assist by T. Harris)
3:01.0,J. Green misses 2-pt shot from 22 ft,,13-23,,
2:57.0,,,13-23,,Defensive rebound by T. Harris
2:50.0,,,13-23,,D. Jordan misses 2-pt shot from 5 ft
2:46.0,Defensive rebound by K. Korver,,13-23,,
2:36.0,G. Hill makes 2-pt shot from 18 ft (assist by K. Korver),2,15-23,,
2:19.0,,,15-25,2,A. Rivers makes 2-pt shot from 2 ft
1:56.0,J. Green misses 3-pt shot from 25 ft,,15-25,,
1:53.0,,,15-25,,Defensive rebound by S. Thornwell
1:40.0,,,15-25,,T. Harris misses 2-pt shot from 1 ft
1:37.0,Defensive rebound by J. Smith,,15-25,,
1:35.0,Turnover by J. Smith (bad pass),,15-25,,
1:35.0,,,15-25,,M. Harrell enters the game for D. Jordan
1:35.0,J. Clarkson enters the game for J. Smith,,15-25,,
1:18.0,,,15-25,,M. Harrell misses 2-pt shot from 1 ft (block by K. Korver)
1:16.0,,,15-25,,Offensive rebound by Team
1:16.0,C. Osman enters the game for G. Hill,,15-25,,
1:12.0,,,15-28,3,T. Harris makes 3-pt shot from 25 ft (assist by M. Teodosic)
0:52.0,L. James misses 2-pt shot from 1 ft,,15-28,,
0:50.0,,,15-28,,Defensive rebound by T. Harris
0:48.0,,,15-30,2,S. Thornwell makes 2-pt shot from 1 ft (assist by M. Teodosic)
0:39.0,,,15-30,,Personal foul by S. Thornwell (drawn by L. James)
0:39.0,,,15-30,,J. Evans enters the game for A. Rivers
0:32.0,J. Green makes 2-pt shot from 1 ft (assist by L. James),2,17-30,,
0:17.0,,,17-32,2,S. Thornwell makes 2-pt shot from 1 ft (assist by M. Teodosic)
0:05.0,Turnover by L. James (bad pass),,17-32,,
0:05.0,,,17-32,,L. Williams enters the game for J. Evans
0:00.0,,,17-35,3,L. Williams makes 3-pt shot from 27 ft (assist by T. Harris)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Clarkson misses 2-pt shot from 21 ft,,17-35,,
11:43.0,Offensive rebound by A. Zizic,,17-35,,
11:40.0,Shooting foul by M. Harrell (drawn by C. Osman),,17-35,,
11:40.0,C. Osman misses free throw 1 of 2,,17-35,,
11:40.0,Offensive rebound by Team,,17-35,,
11:40.0,C. Osman makes free throw 2 of 2,1,18-35,,
11:18.0,,,18-35,,B. Marjanovic misses 2-pt shot from 5 ft
11:16.0,Defensive rebound by J. Green,,18-35,,
11:04.0,A. Zizic makes 2-pt shot from 2 ft (assist by J. Clarkson),2,20-35,,
10:53.0,,,20-35,,L. Williams misses 2-pt shot from 1 ft
10:53.0,,,20-35,,Offensive rebound by Team
10:53.0,Loose ball foul by J. Green (drawn by B. Marjanovic),,20-35,,
10:41.0,,,20-37,2,M. Harrell makes 2-pt shot from 9 ft (assist by J. Evans)
10:28.0,J. Clarkson misses 2-pt shot from 1 ft,,20-37,,
10:26.0,Offensive rebound by A. Zizic,,20-37,,
10:25.0,A. Zizic makes 2-pt shot at rim,2,22-37,,
10:06.0,,,22-39,2,M. Harrell makes 2-pt shot from 12 ft (assist by L. Williams)
10:06.0,Violation by K. Korver (def goaltending),,22-39,,
9:54.0,Turnover by J. Green (traveling),,22-39,,
9:42.0,,,22-39,,Turnover by M. Teodosic (bad pass; steal by J. Clarkson)
9:36.0,C. Osman makes 2-pt shot from 1 ft (assist by J. Green),2,24-39,,
9:30.0,,,24-39,,Turnover by M. Harrell (bad pass; steal by C. Osman)
9:26.0,J. Clarkson makes 3-pt shot from 24 ft (assist by K. Korver),3,27-39,,
9:19.0,Personal foul by C. Osman (drawn by L. Williams),,27-39,,
9:16.0,,,27-39,,L. Williams misses 3-pt shot from 30 ft
9:12.0,Defensive rebound by J. Clarkson,,27-39,,
9:06.0,K. Korver misses 3-pt shot from 25 ft,,27-39,,
9:06.0,,,27-39,,Defensive rebound by L. Williams
8:58.0,,,27-39,,Turnover by L. Williams (bad pass; steal by K. Korver)
8:54.0,J. Green misses 2-pt shot from 1 ft,,27-39,,
8:53.0,,,27-39,,Defensive rebound by Team
8:39.0,,,27-39,,Shooting foul by K. Korver (drawn by M. Harrell)
8:39.0,,,27-39,,M. Harrell misses free throw 1 of 2
8:39.0,,,27-39,,Offensive rebound by Team
8:39.0,,,27-40,1,M. Harrell makes free throw 2 of 2
8:21.0,J. Green makes 2-pt shot from 12 ft,2,29-40,,
8:05.0,,,29-42,2,M. Harrell makes 2-pt shot at rim (assist by J. Evans)
7:55.0,,,29-42,,Personal foul by J. Evans (drawn by J. Clarkson)
7:55.0,,,29-42,,A. Rivers enters the game for J. Evans
7:51.0,J. Clarkson makes 3-pt shot from 26 ft,3,32-42,,
7:51.0,Shooting foul by M. Teodosic (drawn by J. Clarkson),,32-42,,
7:51.0,,,32-42,,D. Jordan enters the game for B. Marjanovic
7:51.0,J. Clarkson makes free throw 1 of 1,1,33-42,,
7:32.0,Personal foul by A. Zizic (drawn by D. Jordan),,33-42,,
7:32.0,,,33-42,,S. Thornwell enters the game for M. Teodosic
7:32.0,L. James enters the game for J. Green,,33-42,,
7:25.0,,,33-44,2,L. Williams makes 2-pt shot from 19 ft
7:13.0,Shooting foul by A. Rivers (drawn by J. Clarkson),,33-44,,
7:13.0,J. Clarkson makes free throw 1 of 2,1,34-44,,
7:13.0,J. Clarkson makes free throw 2 of 2,1,35-44,,
6:54.0,,,35-47,3,A. Rivers makes 3-pt shot from 28 ft
6:37.0,L. James misses 3-pt shot from 26 ft,,35-47,,
6:34.0,,,35-47,,Defensive rebound by D. Jordan
6:26.0,,,35-47,,Turnover by A. Rivers (bad pass; steal by L. James)
6:21.0,J. Clarkson misses 2-pt shot from 1 ft,,35-47,,
6:18.0,,,35-47,,Defensive rebound by M. Harrell
6:17.0,,,35-47,,L. Williams misses 3-pt shot from 24 ft
6:17.0,,,35-47,,Offensive rebound by D. Jordan
6:12.0,,,35-47,,Turnover by D. Jordan (bad pass; steal by L. James)
6:07.0,L. James misses 2-pt shot from 1 ft,,35-47,,
6:04.0,,,35-47,,Defensive rebound by M. Harrell
5:57.0,,,35-49,2,M. Harrell makes 2-pt shot from 5 ft (assist by A. Rivers)
5:57.0,,,35-49,,Shooting foul by A. Zizic (drawn by M. Harrell)
5:57.0,Cleveland full timeout,,35-49,,
5:57.0,J. Smith enters the game for C. Osman,,35-49,,
5:57.0,G. Hill enters the game for K. Korver,,35-49,,
5:57.0,L. Nance enters the game for A. Zizic,,35-49,,
5:57.0,,,35-50,1,M. Harrell makes free throw 1 of 1
5:40.0,J. Clarkson misses 3-pt shot from 25 ft,,35-50,,
5:35.0,,,35-50,,Defensive rebound by L. Williams
5:31.0,,,35-52,2,M. Harrell makes 2-pt shot from 1 ft
5:17.0,L. Nance makes 2-pt shot from 20 ft (assist by G. Hill),2,37-52,,
4:52.0,,,37-54,2,L. Williams makes 2-pt shot from 2 ft
4:40.0,J. Smith misses 3-pt shot from 23 ft,,37-54,,
4:38.0,,,37-54,,Defensive rebound by D. Jordan
4:30.0,,,37-56,2,A. Rivers makes 2-pt shot from 2 ft
4:19.0,Turnover by G. Hill (bad pass; steal by D. Jordan),,37-56,,
4:12.0,,,37-56,,A. Rivers misses 3-pt shot from 25 ft
4:10.0,,,37-56,,Offensive rebound by M. Harrell
4:08.0,,,37-56,,M. Harrell misses 2-pt shot from 2 ft (block by G. Hill)
4:04.0,,,37-56,,Offensive rebound by M. Harrell
4:04.0,,,37-56,,M. Harrell misses 2-pt shot at rim
4:02.0,,,37-56,,Offensive rebound by D. Jordan
3:51.0,,,37-56,,M. Harrell misses 2-pt shot from 10 ft
3:48.0,Defensive rebound by L. James,,37-56,,
3:42.0,J. Smith makes 3-pt shot from 22 ft (assist by L. James),3,40-56,,
3:14.0,,,40-56,,Turnover by M. Harrell (lost ball; steal by J. Smith)
3:08.0,J. Smith misses 2-pt shot from 3 ft (block by M. Harrell),,40-56,,
3:08.0,Offensive rebound by Team,,40-56,,
3:08.0,,,40-56,,T. Harris enters the game for M. Harrell
3:08.0,J. Green enters the game for J. Clarkson,,40-56,,
3:01.0,,,40-56,,Personal foul by D. Jordan (drawn by L. Nance)
3:01.0,L. Nance misses free throw 1 of 2,,40-56,,
3:01.0,Offensive rebound by Team,,40-56,,
3:01.0,J. Calderon enters the game for G. Hill,,40-56,,
3:01.0,L. Nance misses free throw 2 of 2,,40-56,,
3:00.0,,,40-56,,Defensive rebound by D. Jordan
2:59.0,Personal take foul by J. Calderon (drawn by D. Jordan),,40-56,,
2:59.0,,,40-56,,LA Clippers full timeout
2:59.0,,,40-56,,M. Teodosic enters the game for L. Williams
2:59.0,G. Hill enters the game for J. Calderon,,40-56,,
2:59.0,,,40-57,1,D. Jordan makes free throw 1 of 2
2:59.0,,,40-57,,D. Jordan misses free throw 2 of 2
2:54.0,Defensive rebound by L. Nance,,40-57,,
2:40.0,,,40-57,,Def 3 sec tech foul by D. Jordan
2:40.0,G. Hill makes technical free throw,1,41-57,,
2:40.0,K. Korver enters the game for L. Nance,,41-57,,
2:33.0,L. James makes 2-pt shot from 1 ft (assist by K. Korver),2,43-57,,
2:28.0,Personal take foul by J. Smith (drawn by D. Jordan),,43-57,,
2:28.0,,,43-57,,D. Jordan misses free throw 1 of 2
2:28.0,,,43-57,,Offensive rebound by Team
2:28.0,,,43-57,,D. Jordan misses free throw 2 of 2
2:26.0,Defensive rebound by L. James,,43-57,,
2:08.0,J. Green misses 2-pt shot from 5 ft,,43-57,,
2:07.0,,,43-57,,Defensive rebound by T. Harris
2:07.0,Personal take foul by J. Smith (drawn by D. Jordan),,43-57,,
2:07.0,,,43-57,,D. Jordan misses free throw 1 of 2
2:07.0,,,43-57,,Offensive rebound by Team
2:07.0,,,43-58,1,D. Jordan makes free throw 2 of 2
1:57.0,J. Green misses 3-pt shot from 27 ft,,43-58,,
1:53.0,,,43-58,,Defensive rebound by D. Jordan
1:32.0,,,43-58,,S. Thornwell misses 3-pt shot from 26 ft
1:30.0,Defensive rebound by L. James,,43-58,,
1:27.0,J. Smith misses 3-pt shot from 25 ft,,43-58,,
1:24.0,,,43-58,,Defensive rebound by T. Harris
1:11.0,,,43-58,,A. Rivers misses 2-pt shot from 1 ft
1:07.0,Defensive rebound by G. Hill,,43-58,,
1:04.0,J. Smith makes 3-pt shot from 23 ft (assist by L. James),3,46-58,,
0:44.0,,,46-58,,T. Harris misses 2-pt shot from 13 ft
0:44.0,,,46-58,,Offensive rebound by D. Jordan
0:44.0,,,46-60,2,D. Jordan makes 2-pt shot at rim
0:44.0,,,46-60,,Shooting foul by K. Korver (drawn by D. Jordan)
0:44.0,,,46-60,,L. Williams enters the game for M. Teodosic
0:44.0,,,46-61,1,D. Jordan makes free throw 1 of 1
0:27.0,G. Hill misses 3-pt shot from 26 ft,,46-61,,
0:25.0,,,46-61,,Defensive rebound by D. Jordan
0:05.0,,,46-61,,T. Harris misses 2-pt shot from 5 ft
0:03.0,Defensive rebound by L. James,,46-61,,
0:01.0,Shooting foul by S. Thornwell (drawn by G. Hill),,46-61,,
0:01.0,G. Hill misses free throw 1 of 2,,46-61,,
0:01.0,Offensive rebound by Team,,46-61,,
0:01.0,C. Osman enters the game for J. Smith,,46-61,,
0:01.0,G. Hill makes free throw 2 of 2,1,47-61,,
0:00.0,,,47-61,,S. Thornwell misses 3-pt shot from 45 ft
0:00.0,,,47-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,G. Hill misses 3-pt shot from 22 ft,,47-61,,
11:44.0,Offensive rebound by L. Nance,,47-61,,
11:37.0,Turnover by L. James (bad pass; steal by A. Rivers),,47-61,,
11:31.0,,,47-63,2,T. Harris makes 2-pt shot from 1 ft
11:18.0,L. Nance makes 2-pt shot from 10 ft (assist by G. Hill),2,49-63,,
11:04.0,,,49-63,,T. Harris misses 3-pt shot from 26 ft
11:01.0,Defensive rebound by G. Hill,,49-63,,
10:54.0,L. James makes 3-pt shot from 27 ft (assist by G. Hill),3,52-63,,
10:38.0,,,52-63,,Turnover by A. Rivers (lost ball; steal by G. Hill)
10:36.0,Turnover by L. James (out of bounds lost ball),,52-63,,
10:21.0,,,52-63,,L. Williams misses 2-pt shot from 19 ft
10:17.0,Defensive rebound by L. Nance,,52-63,,
10:03.0,Turnover by C. Osman (lost ball; steal by A. Rivers),,52-63,,
9:54.0,,,52-63,,A. Rivers misses 3-pt shot from 26 ft
9:51.0,Defensive rebound by L. James,,52-63,,
9:45.0,L. Nance misses 2-pt shot from 3 ft,,52-63,,
9:45.0,,,52-63,,Defensive rebound by D. Jordan
9:45.0,,,52-63,,LA Clippers full timeout
9:23.0,,,52-63,,Turnover by D. Jordan (turnover)
9:09.0,Shooting foul by S. Thornwell (drawn by L. Nance),,52-63,,
9:09.0,L. Nance makes free throw 1 of 2,1,53-63,,
9:09.0,L. Nance makes free throw 2 of 2,1,54-63,,
8:50.0,,,54-66,3,T. Harris makes 3-pt shot from 26 ft (assist by L. Williams)
8:36.0,G. Hill makes 3-pt shot from 26 ft,3,57-66,,
8:31.0,Personal take foul by C. Osman (drawn by L. Williams),,57-66,,
8:31.0,J. Clarkson enters the game for C. Osman,,57-66,,
8:17.0,Personal foul by J. Clarkson (drawn by A. Rivers),,57-66,,
8:10.0,,,57-66,,D. Jordan misses 2-pt shot from 4 ft (block by L. James)
8:04.0,,,57-66,,Offensive rebound by A. Rivers
8:04.0,,,57-68,2,A. Rivers makes 2-pt shot at rim
7:49.0,L. James makes 2-pt shot from 3 ft,2,59-68,,
7:39.0,,,59-70,2,S. Thornwell makes 2-pt shot at rim (assist by T. Harris)
7:39.0,,,59-70,,Shooting foul by J. Smith (drawn by S. Thornwell)
7:39.0,,,59-71,1,S. Thornwell makes free throw 1 of 1
7:19.0,L. Nance makes 2-pt shot from 1 ft (assist by J. Smith),2,61-71,,
7:10.0,,,61-71,,L. Williams misses 2-pt shot from 2 ft (block by L. Nance)
7:10.0,,,61-71,,Offensive rebound by Team
6:55.0,,,61-74,3,T. Harris makes 3-pt shot from 25 ft (assist by L. Williams)
6:28.0,J. Clarkson makes 2-pt shot from 2 ft,2,63-74,,
6:08.0,,,63-74,,T. Harris misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by G. Hill,,63-74,,
5:45.0,J. Smith misses 3-pt shot from 25 ft,,63-74,,
5:43.0,,,63-74,,Defensive rebound by T. Harris
5:35.0,,,63-77,2,T. Harris makes 3-pt shot from 26 ft (assist by A. Rivers)
5:32.0,Cleveland full timeout,,63-77,,
5:07.0,J. Clarkson misses 2-pt shot from 2 ft,,63-77,,
5:05.0,,,63-77,,Defensive rebound by D. Jordan
4:58.0,,,63-77,,S. Thornwell misses 2-pt shot from 11 ft
4:55.0,Defensive rebound by L. Nance,,63-77,,
4:47.0,Turnover by L. James (lost ball; steal by S. Thornwell),,63-77,,
4:29.0,,,63-77,,A. Rivers misses 2-pt shot from 1 ft
4:24.0,,,63-77,,Offensive rebound by D. Jordan
4:24.0,,,63-79,2,D. Jordan makes 2-pt shot at rim
4:10.0,L. Nance makes 2-pt shot from 2 ft (assist by L. James),2,65-79,,
4:02.0,,,65-81,2,D. Jordan makes 2-pt shot from 1 ft (assist by L. Williams)
4:02.0,,,65-81,,Shooting foul by G. Hill (drawn by D. Jordan)
4:02.0,J. Green enters the game for J. Smith,,65-81,,
4:02.0,K. Korver enters the game for L. Nance,,65-81,,
4:02.0,,,65-81,,D. Jordan misses free throw 1 of 1
4:02.0,Defensive rebound by Team,,65-81,,
3:52.0,L. James makes 3-pt shot from 28 ft (assist by G. Hill),3,68-81,,
3:37.0,,,68-81,,D. Jordan misses 2-pt shot from 2 ft (block by K. Korver)
3:32.0,Defensive rebound by K. Korver,,68-81,,
3:30.0,L. James misses 3-pt shot from 27 ft,,68-81,,
3:26.0,,,68-81,,Defensive rebound by D. Jordan
3:18.0,,,68-81,,L. Williams misses 3-pt shot from 28 ft
3:15.0,Defensive rebound by J. Clarkson,,68-81,,
3:12.0,J. Clarkson makes 2-pt shot from 1 ft,2,70-81,,
2:44.0,,,70-81,,T. Harris misses 3-pt shot from 27 ft
2:41.0,Defensive rebound by L. James,,70-81,,
2:38.0,,,70-81,,Personal foul by D. Jordan (drawn by J. Green)
2:38.0,,,70-81,,M. Teodosic enters the game for S. Thornwell
2:21.0,L. James makes 2-pt shot from 1 ft,2,72-81,,
2:13.0,,,72-81,,Offensive foul by M. Teodosic (drawn by G. Hill)
2:13.0,,,72-81,,Turnover by M. Teodosic (offensive foul)
2:13.0,,,72-81,,M. Harrell enters the game for D. Jordan
1:58.0,J. Clarkson makes 3-pt shot from 23 ft (assist by L. James),3,75-81,,
1:48.0,Personal foul by G. Hill (drawn by L. Williams),,75-81,,
1:48.0,,,75-81,,L. Williams misses free throw 1 of 2
1:48.0,,,75-81,,Offensive rebound by Team
1:48.0,,,75-81,,L. Williams misses free throw 2 of 2
1:46.0,Defensive rebound by L. James,,75-81,,
1:39.0,L. James makes 2-pt shot from 2 ft,2,77-81,,
1:22.0,,,77-81,,A. Rivers misses 2-pt shot from 1 ft
1:19.0,Defensive rebound by J. Green,,77-81,,
1:13.0,L. James misses 2-pt shot at rim,,77-81,,
1:10.0,,,77-81,,Defensive rebound by M. Harrell
1:04.0,,,77-81,,L. Williams misses 2-pt shot from 6 ft
1:04.0,,,77-81,,Offensive rebound by Team
1:04.0,Loose ball foul by L. James (drawn by M. Harrell),,77-81,,
1:04.0,,,77-82,1,M. Harrell makes free throw 1 of 2
1:04.0,,,77-82,,J. Evans enters the game for L. Williams
1:04.0,,,77-83,1,M. Harrell makes free throw 2 of 2
0:51.0,,,77-83,,Personal foul by J. Evans (drawn by L. James)
0:36.0,Turnover by L. James (bad pass; steal by A. Rivers),,77-83,,
0:20.0,,,77-85,2,M. Harrell makes 2-pt shot from 2 ft (assist by T. Harris)
0:01.0,Shooting foul by T. Harris (drawn by L. James),,77-85,,
0:01.0,L. James misses free throw 1 of 2,,77-85,,
0:01.0,Offensive rebound by Team,,77-85,,
0:01.0,L. James misses free throw 2 of 2,,77-85,,
0:00.0,,,77-85,,Defensive rebound by M. Teodosic
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,77-87,2,M. Harrell makes 2-pt shot from 13 ft (assist by M. Teodosic)
11:33.0,,,77-87,,Personal foul by M. Teodosic (drawn by K. Korver)
11:26.0,Shooting foul by J. Evans (drawn by J. Clarkson),,77-87,,
11:26.0,J. Clarkson makes free throw 1 of 2,1,78-87,,
11:26.0,J. Clarkson makes free throw 2 of 2,1,79-87,,
11:15.0,,,79-90,3,M. Teodosic makes 3-pt shot from 25 ft
11:07.0,Offensive foul by J. Clarkson (drawn by J. Evans),,79-90,,
11:07.0,Turnover by J. Clarkson (offensive foul),,79-90,,
10:57.0,,,79-90,,Turnover by M. Teodosic (bad pass)
10:50.0,K. Korver misses 3-pt shot from 25 ft,,79-90,,
10:47.0,,,79-90,,Defensive rebound by J. Evans
10:43.0,Personal foul by K. Korver (drawn by M. Harrell),,79-90,,
10:36.0,,,79-92,2,M. Harrell makes 2-pt shot from 3 ft (assist by M. Teodosic)
10:24.0,J. Clarkson misses 2-pt shot from 17 ft,,79-92,,
10:23.0,,,79-92,,Defensive rebound by B. Marjanovic
10:23.0,Personal foul by L. Nance (drawn by B. Marjanovic),,79-92,,
10:11.0,,,79-92,,M. Harrell misses 2-pt shot from 2 ft
10:09.0,Defensive rebound by K. Korver,,79-92,,
10:00.0,J. Smith makes 2-pt shot from 15 ft,2,81-92,,
9:50.0,,,81-92,,Turnover by M. Teodosic (bad pass; steal by J. Smith)
9:41.0,Turnover by J. Clarkson (lost ball; steal by B. Marjanovic),,81-92,,
9:28.0,,,81-94,2,B. Marjanovic makes 2-pt shot from 2 ft (assist by M. Teodosic)
9:10.0,J. Green misses 3-pt shot from 26 ft,,81-94,,
9:08.0,,,81-94,,Defensive rebound by M. Teodosic
9:07.0,Personal take foul by J. Clarkson (drawn by M. Harrell),,81-94,,
9:07.0,L. James enters the game for K. Korver,,81-94,,
8:58.0,,,81-94,,M. Teodosic misses 3-pt shot from 23 ft
8:55.0,,,81-94,,Offensive rebound by B. Marjanovic
8:53.0,,,81-96,2,B. Marjanovic makes 2-pt shot from 1 ft
8:33.0,L. James makes 2-pt shot from 5 ft,2,83-96,,
8:23.0,,,83-96,,Turnover by L. Williams (bad pass; steal by L. Nance)
8:21.0,,,83-96,,Personal foul by M. Teodosic (drawn by L. James)
8:21.0,,,83-96,,S. Thornwell enters the game for J. Evans
8:09.0,J. Clarkson makes 3-pt shot from 28 ft (assist by J. Smith),3,86-96,,
7:52.0,,,86-96,,S. Thornwell misses 2-pt shot from 7 ft
7:47.0,,,86-96,,Offensive rebound by B. Marjanovic
7:47.0,,,86-98,2,B. Marjanovic makes 2-pt shot at rim
7:38.0,J. Smith makes 2-pt shot from 19 ft,2,88-98,,
7:25.0,,,88-98,,L. Williams misses 2-pt shot from 15 ft
7:23.0,,,88-98,,Offensive rebound by L. Williams
7:22.0,,,88-100,2,L. Williams makes 2-pt shot from 14 ft
7:22.0,Cleveland full timeout,,88-100,,
7:04.0,J. Smith misses 2-pt shot from 5 ft,,88-100,,
7:02.0,,,88-100,,Defensive rebound by S. Thornwell
6:38.0,,,88-100,,M. Teodosic misses 2-pt shot from 20 ft
6:35.0,Defensive rebound by J. Smith,,88-100,,
6:33.0,,,88-100,,Technical foul by B. Marjanovic
6:33.0,,,88-100,,Violation by B. Marjanovic (def goaltending)
6:33.0,J. Green makes technical free throw,1,89-100,,
6:33.0,,,89-100,,D. Jordan enters the game for M. Teodosic
6:33.0,,,89-100,,A. Rivers enters the game for B. Marjanovic
6:33.0,J. Green makes 2-pt shot from 2 ft (assist by J. Smith),2,91-100,,
6:15.0,,,91-103,3,L. Williams makes 3-pt shot from 27 ft
6:02.0,J. Green misses 2-pt shot from 17 ft,,91-103,,
6:00.0,Offensive rebound by L. Nance,,91-103,,
5:52.0,L. James misses 3-pt shot from 26 ft,,91-103,,
5:49.0,,,91-103,,Defensive rebound by A. Rivers
5:36.0,Personal foul by J. Clarkson (drawn by D. Jordan),,91-103,,
5:36.0,,,91-103,,T. Harris enters the game for M. Harrell
5:36.0,G. Hill enters the game for J. Clarkson,,91-103,,
5:28.0,,,91-103,,A. Rivers misses 3-pt shot from 27 ft
5:26.0,Defensive rebound by L. Nance,,91-103,,
5:13.0,L. James makes 3-pt shot from 27 ft,3,94-103,,
5:02.0,Personal foul by J. Smith (drawn by A. Rivers),,94-103,,
5:02.0,,,94-104,1,A. Rivers makes free throw 1 of 2
