time,Charlotte,pts.away,score,pts.home,San Antonio
6:07.0,D. Howard misses free throw 2 of 2,,31-36,,
6:04.0,,,31-36,,Defensive rebound by R. Gay
5:42.0,,,31-36,,Turnover by M. Ginobili (bad pass; steal by M. Monk)
5:37.0,F. Kaminsky makes 2-pt shot from 1 ft (assist by M. Monk),2,33-36,,
5:20.0,,,33-38,2,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Mills)
5:07.0,K. Walker makes 2-pt shot from 11 ft,2,35-38,,
4:53.0,,,35-41,3,B. Forbes makes 3-pt shot from 23 ft (assist by L. Aldridge)
4:44.0,Charlotte full timeout,,35-41,,
4:44.0,,,35-41,,P. Gasol enters the game for L. Aldridge
4:44.0,J. Lamb enters the game for M. Monk,,35-41,,
4:28.0,Turnover by F. Kaminsky (bad pass),,35-41,,
4:28.0,,,35-41,,D. Murray enters the game for P. Mills
4:18.0,Personal foul by J. Lamb (drawn by M. Ginobili),,35-41,,
4:18.0,,,35-42,1,M. Ginobili makes free throw 1 of 2
4:18.0,D. Bacon enters the game for F. Kaminsky,,35-42,,
4:18.0,,,35-42,,M. Ginobili misses free throw 2 of 2
4:16.0,Defensive rebound by D. Bacon,,35-42,,
4:00.0,D. Bacon misses 2-pt shot from 20 ft,,35-42,,
3:58.0,,,35-42,,Defensive rebound by R. Gay
3:46.0,,,35-42,,B. Forbes misses 3-pt shot from 25 ft
3:42.0,Defensive rebound by D. Bacon,,35-42,,
3:30.0,D. Bacon makes 2-pt shot from 9 ft (assist by K. Walker),2,37-42,,
3:12.0,,,37-44,2,R. Gay makes 2-pt shot from 9 ft (assist by M. Ginobili)
3:00.0,K. Walker makes 2-pt shot from 12 ft,2,39-44,,
3:00.0,Shooting foul by D. Murray (drawn by K. Walker),,39-44,,
3:00.0,T. Graham enters the game for J. Lamb,,39-44,,
3:00.0,K. Walker makes free throw 1 of 1,1,40-44,,
2:55.0,,,40-44,,San Antonio full timeout
2:55.0,,,40-44,,D. Green enters the game for B. Forbes
2:46.0,,,40-44,,Turnover by M. Ginobili (lost ball; steal by T. Graham)
2:40.0,Turnover by K. Walker (bad pass; steal by M. Ginobili),,40-44,,
2:35.0,,,40-44,,D. Green misses 3-pt shot from 24 ft
2:32.0,Defensive rebound by M. Williams,,40-44,,
2:19.0,M. Williams misses 2-pt shot from 7 ft,,40-44,,
2:17.0,,,40-44,,Defensive rebound by P. Gasol
2:12.0,,,40-44,,Shooting foul by K. Walker (drawn by D. Murray)
2:12.0,,,40-45,1,D. Murray makes free throw 1 of 2
2:12.0,,,40-46,1,D. Murray makes free throw 2 of 2
1:57.0,,,40-46,,Personal foul by M. Ginobili (drawn by D. Howard)
1:57.0,D. Howard makes free throw 1 of 2,1,41-46,,
1:57.0,D. Howard misses free throw 2 of 2,,41-46,,
1:55.0,,,41-46,,Defensive rebound by P. Gasol
1:39.0,,,41-46,,M. Ginobili misses 3-pt shot from 25 ft
1:35.0,,,41-46,,Offensive rebound by P. Gasol
1:20.0,,,41-46,,D. Murray misses 2-pt shot from 13 ft
1:17.0,Defensive rebound by M. Williams,,41-46,,
1:10.0,Offensive foul by D. Howard (drawn by P. Gasol),,41-46,,
1:10.0,Turnover by D. Howard (offensive foul),,41-46,,
1:10.0,,,41-46,,P. Mills enters the game for D. Murray
1:10.0,,,41-46,,B. Forbes enters the game for M. Ginobili
1:10.0,C. Zeller enters the game for D. Howard,,41-46,,
1:01.0,,,41-46,,P. Mills misses 2-pt shot from 1 ft
1:01.0,Defensive rebound by Team,,41-46,,
1:01.0,,,41-46,,Loose ball foul by P. Gasol (drawn by C. Zeller)
1:01.0,C. Zeller makes free throw 1 of 2,1,42-46,,
1:01.0,C. Zeller makes free throw 2 of 2,1,43-46,,
0:46.0,,,43-46,,Turnover by P. Gasol (bad pass; steal by C. Zeller)
0:41.0,D. Bacon misses 2-pt shot from 1 ft,,43-46,,
0:41.0,,,43-46,,Defensive rebound by Team
0:41.0,Loose ball foul by C. Zeller (drawn by P. Gasol),,43-46,,
0:41.0,,,43-46,,P. Gasol misses free throw 1 of 2
0:41.0,,,43-46,,Offensive rebound by Team
0:41.0,F. Kaminsky enters the game for C. Zeller,,43-46,,
0:41.0,,,43-47,1,P. Gasol makes free throw 2 of 2
0:32.0,K. Walker misses 3-pt shot from 24 ft,,43-47,,
0:30.0,Offensive rebound by M. Williams,,43-47,,
0:28.0,,,43-47,,Personal foul by B. Forbes (drawn by D. Bacon)
0:28.0,D. Bacon makes free throw 1 of 2,1,44-47,,
0:28.0,D. Bacon makes free throw 2 of 2,1,45-47,,
0:05.0,,,45-47,,B. Forbes misses 2-pt shot from 19 ft
0:03.0,,,45-47,,Offensive rebound by P. Gasol
0:03.0,,,45-49,2,P. Gasol makes 2-pt shot at rim
0:00.0,F. Kaminsky misses 3-pt shot from 26 ft,,45-49,,
0:00.0,Offensive rebound by Team,,45-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,45-51,2,P. Gasol makes 2-pt shot from 1 ft (assist by D. Green)
11:29.0,M. Williams misses 3-pt shot from 25 ft,,45-51,,
11:26.0,,,45-51,,Defensive rebound by K. Anderson
11:15.0,,,45-51,,K. Anderson misses 3-pt shot from 22 ft
11:10.0,Defensive rebound by M. Williams,,45-51,,
10:58.0,Shooting foul by K. Anderson (drawn by D. Howard),,45-51,,
10:58.0,D. Howard makes free throw 1 of 2,1,46-51,,
10:58.0,D. Howard makes free throw 2 of 2,1,47-51,,
10:45.0,Personal foul by K. Walker (drawn by P. Mills),,47-51,,
10:34.0,,,47-53,2,K. Anderson makes 2-pt shot at rim (assist by L. Aldridge)
10:17.0,M. Williams misses 2-pt shot from 1 ft (block by P. Gasol),,47-53,,
10:17.0,Offensive rebound by D. Howard,,47-53,,
10:11.0,D. Howard makes 2-pt shot at rim,2,49-53,,
10:06.0,,,49-53,,Shooting foul by K. Walker (drawn by P. Mills)
10:06.0,,,49-54,1,P. Mills makes free throw 1 of 3
10:06.0,,,49-55,1,P. Mills makes free throw 2 of 3
10:06.0,,,49-56,1,P. Mills makes free throw 3 of 3
9:53.0,D. Bacon misses 2-pt shot from 1 ft,,49-56,,
9:45.0,Offensive rebound by D. Howard,,49-56,,
9:45.0,D. Howard makes 2-pt shot at rim,2,51-56,,
9:36.0,,,51-56,,P. Mills misses 2-pt shot from 2 ft
9:33.0,Defensive rebound by M. Williams,,51-56,,
9:19.0,D. Howard makes 2-pt shot at rim,2,53-56,,
9:19.0,Shooting foul by P. Gasol (drawn by D. Howard),,53-56,,
9:19.0,D. Howard makes free throw 1 of 1,1,54-56,,
8:58.0,,,54-56,,Turnover by L. Aldridge (lost ball; steal by M. Williams)
8:53.0,D. Bacon makes 2-pt shot from 1 ft,2,56-56,,
8:53.0,,,56-56,,San Antonio full timeout
8:30.0,,,56-56,,D. Green misses 3-pt shot from 35 ft
8:26.0,Defensive rebound by D. Howard,,56-56,,
8:07.0,D. Howard misses 2-pt shot from 2 ft (block by K. Anderson),,56-56,,
8:03.0,Offensive rebound by D. Howard,,56-56,,
8:01.0,D. Bacon makes 3-pt shot from 26 ft (assist by D. Howard),3,59-56,,
7:46.0,,,59-58,2,D. Green makes 2-pt shot at rim (assist by L. Aldridge)
7:28.0,M. Williams makes 2-pt shot from 6 ft (assist by K. Walker),2,61-58,,
7:13.0,,,61-58,,L. Aldridge misses 2-pt shot from 18 ft
7:11.0,Defensive rebound by D. Howard,,61-58,,
7:03.0,D. Howard makes 2-pt shot from 1 ft (assist by J. Lamb),2,63-58,,
