time,Milwaukee,pts.away,score,pts.home,Houston
2:17.0,Shooting foul by N. Hilario (drawn by T. Maker),,15-21,,
2:17.0,T. Maker makes free throw 1 of 3,1,16-21,,
2:17.0,T. Maker makes free throw 2 of 3,1,17-21,,
2:17.0,T. Maker makes free throw 3 of 3,1,18-21,,
2:04.0,,,18-21,,R. Anderson misses 3-pt shot from 22 ft
2:00.0,Defensive rebound by S. Brown,,18-21,,
1:55.0,K. Middleton misses 3-pt shot from 25 ft,,18-21,,
1:50.0,Offensive rebound by S. Brown,,18-21,,
1:48.0,M. Brogdon makes 3-pt shot from 23 ft (assist by K. Middleton),3,21-21,,
1:27.0,,,21-23,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden)
1:15.0,,,21-23,,Personal foul by N. Hilario (drawn by E. Bledsoe)
1:15.0,E. Bledsoe misses free throw 1 of 2,,21-23,,
1:15.0,Offensive rebound by Team,,21-23,,
1:15.0,,,21-23,,P. Tucker enters the game for J. Harden
1:15.0,G. Antetokounmpo enters the game for K. Middleton,,21-23,,
1:15.0,E. Bledsoe makes free throw 2 of 2,1,22-23,,
0:58.0,,,22-23,,N. Hilario misses 2-pt shot from 2 ft (block by T. Maker)
0:58.0,,,22-23,,Offensive rebound by Team
0:55.0,,,22-25,2,E. Gordon makes 2-pt shot from 5 ft
0:55.0,,,22-25,,Shooting foul by S. Brown (drawn by E. Gordon)
0:55.0,,,22-26,1,E. Gordon makes free throw 1 of 1
0:40.0,G. Antetokounmpo makes 2-pt shot from 9 ft,2,24-26,,
0:36.0,,,24-26,,E. Gordon misses 3-pt shot from 26 ft
0:33.0,Defensive rebound by E. Bledsoe,,24-26,,
0:29.0,M. Brogdon misses 3-pt shot from 25 ft,,24-26,,
0:29.0,,,24-26,,Defensive rebound by P. Tucker
0:05.0,Shooting block foul by S. Brown (drawn by C. Paul),,24-26,,
0:05.0,,,24-27,1,C. Paul makes free throw 1 of 2
0:05.0,,,24-28,1,C. Paul makes free throw 2 of 2
0:02.0,Shooting foul by P. Tucker (drawn by G. Antetokounmpo),,24-28,,
0:02.0,G. Antetokounmpo misses free throw 1 of 2,,24-28,,
0:02.0,Offensive rebound by Team,,24-28,,
0:02.0,G. Antetokounmpo makes free throw 2 of 2,1,25-28,,
0:00.0,,,25-28,,C. Paul misses 3-pt shot from 50 ft
0:00.0,,,25-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,25-28,,Turnover by C. Paul (bad pass; steal by S. Brown)
11:30.0,R. Vaughn makes 3-pt shot from 22 ft (assist by G. Antetokounmpo),3,28-28,,
11:08.0,,,28-30,2,N. Hilario makes 2-pt shot from 1 ft (assist by E. Gordon)
10:47.0,S. Brown makes 2-pt shot from 8 ft,2,30-30,,
10:40.0,,,30-30,,C. Paul misses 2-pt shot from 12 ft
10:40.0,Defensive rebound by R. Vaughn,,30-30,,
10:40.0,,,30-30,,Technical foul by C. Paul
10:40.0,M. Brogdon makes technical free throw,1,31-30,,
10:21.0,M. Brogdon misses 2-pt shot from 2 ft,,31-30,,
10:20.0,,,31-30,,Defensive rebound by N. Hilario
10:15.0,,,31-30,,Turnover by C. Paul (bad pass)
9:59.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,31-30,,
9:59.0,Offensive rebound by Team,,31-30,,
9:59.0,,,31-30,,J. Harden enters the game for E. Gordon
9:42.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,31-30,,
9:42.0,,,31-30,,Defensive rebound by P. Tucker
9:32.0,,,31-30,,J. Harden misses 2-pt shot from 6 ft
9:32.0,Defensive rebound by G. Antetokounmpo,,31-30,,
9:27.0,Turnover by G. Antetokounmpo (bad pass; steal by T. Ariza),,31-30,,
9:22.0,,,31-30,,T. Ariza misses 2-pt shot from 4 ft (block by R. Vaughn)
9:22.0,,,31-30,,Offensive rebound by T. Ariza
9:22.0,Personal foul by S. Brown (drawn by C. Paul),,31-30,,
9:22.0,E. Bledsoe enters the game for S. Brown,,31-30,,
9:18.0,Personal foul by M. Brogdon (drawn by J. Harden),,31-30,,
9:14.0,,,31-32,2,N. Hilario makes 2-pt shot from 1 ft (assist by C. Paul)
8:58.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by M. Brogdon),3,34-32,,
8:44.0,,,34-34,2,N. Hilario makes 2-pt shot from 13 ft (assist by C. Paul)
8:25.0,Turnover by M. Brogdon (out of bounds lost ball),,34-34,,
8:25.0,J. Henson enters the game for T. Maker,,34-34,,
8:11.0,,,34-37,3,P. Tucker makes 3-pt shot from 25 ft (assist by J. Harden)
7:59.0,,,34-37,,Personal foul by T. Ariza (drawn by E. Bledsoe)
7:56.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,34-37,,
7:53.0,,,34-37,,Defensive rebound by C. Paul
7:36.0,,,34-37,,J. Harden misses 3-pt shot from 26 ft
7:34.0,Defensive rebound by Team,,34-37,,
7:18.0,Turnover by E. Bledsoe (turnover),,34-37,,
7:09.0,,,34-37,,Turnover by C. Paul (bad pass; steal by M. Brogdon)
7:05.0,M. Brogdon makes 2-pt shot at rim,2,36-37,,
6:48.0,,,36-37,,Houston full timeout
6:48.0,,,36-37,,E. Gordon enters the game for C. Paul
6:48.0,,,36-37,,R. Anderson enters the game for N. Hilario
6:41.0,,,36-37,,J. Harden misses 3-pt shot from 25 ft
6:37.0,,,36-37,,Offensive rebound by P. Tucker
6:36.0,,,36-37,,P. Tucker misses 2-pt shot from 1 ft
6:36.0,,,36-37,,Offensive rebound by P. Tucker
6:33.0,,,36-39,2,P. Tucker makes 2-pt shot at rim
6:17.0,M. Brogdon misses 2-pt shot at rim,,36-39,,
6:17.0,,,36-39,,Defensive rebound by J. Harden
6:05.0,,,36-39,,J. Harden misses 2-pt shot from 5 ft
6:03.0,Defensive rebound by M. Brogdon,,36-39,,
5:54.0,R. Vaughn misses 3-pt shot from 25 ft,,36-39,,
5:52.0,,,36-39,,Defensive rebound by T. Ariza
5:39.0,,,36-39,,R. Anderson misses 3-pt shot from 23 ft
5:35.0,Defensive rebound by J. Henson,,36-39,,
5:31.0,E. Bledsoe makes 2-pt shot from 16 ft,2,38-39,,
5:23.0,,,38-39,,R. Anderson misses 3-pt shot from 26 ft
5:20.0,Defensive rebound by R. Vaughn,,38-39,,
5:03.0,M. Brogdon makes 2-pt shot at rim (assist by G. Antetokounmpo),2,40-39,,
4:49.0,,,40-39,,Shooting foul by E. Bledsoe (drawn by J. Harden)
4:49.0,,,40-40,1,J. Harden makes free throw 1 of 2
4:49.0,K. Middleton enters the game for R. Vaughn,,40-40,,
4:49.0,,,40-41,1,J. Harden makes free throw 2 of 2
4:37.0,Offensive foul by J. Henson (drawn by E. Gordon),,40-41,,
4:37.0,Turnover by J. Henson (offensive foul),,40-41,,
4:22.0,,,40-41,,Turnover by E. Gordon (bad pass; steal by K. Middleton)
4:19.0,Shooting foul by R. Anderson (drawn by G. Antetokounmpo),,40-41,,
4:19.0,G. Antetokounmpo makes free throw 1 of 2,1,41-41,,
4:19.0,G. Antetokounmpo makes free throw 2 of 2,1,42-41,,
4:07.0,Personal foul by E. Bledsoe (drawn by E. Gordon),,42-41,,
4:07.0,,,42-41,,C. Paul enters the game for P. Tucker
4:07.0,,,42-41,,N. Hilario enters the game for R. Anderson
4:03.0,,,42-43,2,J. Harden makes 2-pt shot from 1 ft (assist by N. Hilario)
3:51.0,Shooting foul by J. Harden (drawn by M. Brogdon),,42-43,,
3:51.0,M. Brogdon makes free throw 1 of 2,1,43-43,,
3:51.0,M. Brogdon makes free throw 2 of 2,1,44-43,,
3:33.0,,,44-43,,C. Paul misses 3-pt shot from 24 ft
3:29.0,Defensive rebound by G. Antetokounmpo,,44-43,,
3:23.0,J. Henson misses 2-pt shot at rim (block by J. Harden),,44-43,,
3:23.0,,,44-43,,Defensive rebound by E. Gordon
3:20.0,,,44-45,2,E. Gordon makes 2-pt shot from 1 ft
3:20.0,,,44-45,,Shooting foul by K. Middleton (drawn by E. Gordon)
3:20.0,,,44-46,1,E. Gordon makes free throw 1 of 1
3:09.0,M. Brogdon makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,47-46,,
2:44.0,,,47-48,2,N. Hilario makes 2-pt shot from 6 ft
2:22.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Brogdon),2,49-48,,
2:22.0,Shooting foul by C. Paul (drawn by G. Antetokounmpo),,49-48,,
2:22.0,Milwaukee full timeout,,49-48,,
2:22.0,G. Antetokounmpo makes free throw 1 of 1,1,50-48,,
2:05.0,,,50-48,,E. Gordon misses 2-pt shot at rim
2:02.0,Defensive rebound by E. Bledsoe,,50-48,,
1:57.0,E. Bledsoe makes 2-pt shot from 10 ft,2,52-48,,
1:30.0,,,52-51,3,J. Harden makes 3-pt shot from 26 ft
1:02.0,Turnover by M. Brogdon (bad pass; steal by C. Paul),,52-51,,
0:58.0,,,52-51,,C. Paul misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by K. Middleton,,52-51,,
0:47.0,K. Middleton makes 2-pt shot from 11 ft,2,54-51,,
0:31.0,,,54-51,,J. Harden misses 2-pt shot from 1 ft
0:30.0,,,54-51,,Offensive rebound by N. Hilario
0:30.0,,,54-53,2,N. Hilario makes 2-pt shot from 4 ft
0:30.0,,,54-53,,Shooting foul by J. Henson (drawn by N. Hilario)
0:30.0,,,54-54,1,N. Hilario makes free throw 1 of 1
0:13.0,Turnover by E. Bledsoe (lost ball; steal by N. Hilario),,54-54,,
0:11.0,Personal foul by E. Bledsoe (drawn by N. Hilario),,54-54,,
0:11.0,,,54-55,1,N. Hilario makes free throw 1 of 2
0:11.0,,,54-55,,N. Hilario misses free throw 2 of 2
0:09.0,Defensive rebound by G. Antetokounmpo,,54-55,,
0:07.0,,,54-55,,Personal foul by J. Harden (drawn by E. Bledsoe)
0:07.0,E. Bledsoe makes free throw 1 of 2,1,55-55,,
0:07.0,E. Bledsoe misses free throw 2 of 2,,55-55,,
0:07.0,,,55-55,,Defensive rebound by Team
0:07.0,Violation by E. Bledsoe (lane),,55-55,,
0:01.0,,,55-55,,Turnover by J. Harden (lost ball; steal by E. Bledsoe)
0:00.0,E. Bledsoe misses 3-pt shot from 49 ft,,55-55,,
0:00.0,Offensive rebound by Team,,55-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,55-55,,J. Harden misses 3-pt shot from 25 ft
11:33.0,Defensive rebound by K. Middleton,,55-55,,
11:21.0,Milwaukee full timeout,,55-55,,
11:12.0,Turnover by J. Henson (turnover),,55-55,,
10:49.0,,,55-55,,Shooting foul by D. Liggins (drawn by J. Harden)
10:49.0,,,55-56,1,J. Harden makes free throw 1 of 3
10:49.0,,,55-57,1,J. Harden makes free throw 2 of 3
10:49.0,,,55-58,1,J. Harden makes free throw 3 of 3
10:38.0,G. Antetokounmpo makes 2-pt shot from 20 ft,2,57-58,,
10:15.0,,,57-58,,T. Ariza misses 2-pt shot at rim
10:14.0,Defensive rebound by J. Henson,,57-58,,
10:05.0,Turnover by G. Antetokounmpo (bad pass),,57-58,,
9:53.0,,,57-58,,J. Harden misses 2-pt shot at rim (block by J. Henson)
9:50.0,Defensive rebound by K. Middleton,,57-58,,
9:48.0,E. Bledsoe misses 2-pt shot at rim (block by R. Anderson),,57-58,,
9:48.0,,,57-58,,Defensive rebound by Team
9:24.0,,,57-58,,Shooting foul by J. Henson (drawn by P. Tucker)
9:24.0,,,57-59,1,P. Tucker makes free throw 1 of 3
9:24.0,,,57-60,1,P. Tucker makes free throw 2 of 3
9:24.0,,,57-61,1,P. Tucker makes free throw 3 of 3
9:11.0,G. Antetokounmpo makes 2-pt shot from 22 ft (assist by D. Liggins),2,59-61,,
8:47.0,,,59-64,3,C. Paul makes 3-pt shot from 25 ft (assist by P. Tucker)
8:30.0,K. Middleton misses 2-pt shot from 15 ft,,59-64,,
8:26.0,,,59-64,,Defensive rebound by R. Anderson
8:17.0,,,59-64,,P. Tucker misses 2-pt shot from 2 ft
8:15.0,Defensive rebound by J. Henson,,59-64,,
8:10.0,,,59-64,,Personal foul by J. Harden (drawn by G. Antetokounmpo)
8:05.0,K. Middleton misses 3-pt shot from 22 ft,,59-64,,
8:01.0,,,59-64,,Defensive rebound by C. Paul
7:57.0,,,59-64,,T. Ariza misses 3-pt shot from 23 ft
7:55.0,,,59-64,,Offensive rebound by Team
7:55.0,Loose ball foul by K. Middleton (drawn by R. Anderson),,59-64,,
7:55.0,,,59-64,,N. Hilario enters the game for P. Tucker
7:47.0,,,59-67,3,C. Paul makes 3-pt shot from 23 ft
7:30.0,K. Middleton misses 3-pt shot from 24 ft,,59-67,,
7:28.0,,,59-67,,Defensive rebound by R. Anderson
7:20.0,Personal foul by K. Middleton (drawn by N. Hilario),,59-67,,
7:20.0,M. Brogdon enters the game for K. Middleton,,59-67,,
7:09.0,,,59-70,3,C. Paul makes 3-pt shot from 25 ft
7:06.0,Milwaukee full timeout,,59-70,,
6:45.0,M. Brogdon makes 2-pt shot from 1 ft,2,61-70,,
6:22.0,,,61-70,,J. Harden misses 3-pt shot from 27 ft
6:17.0,Defensive rebound by E. Bledsoe,,61-70,,
6:07.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by D. Liggins),2,63-70,,
6:07.0,,,63-70,,Shooting block foul by N. Hilario (drawn by E. Bledsoe)
6:07.0,,,63-70,,E. Gordon enters the game for C. Paul
6:07.0,E. Bledsoe makes free throw 1 of 1,1,64-70,,
5:48.0,,,64-70,,Turnover by T. Ariza (bad pass; steal by D. Liggins)
5:44.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by D. Liggins),2,66-70,,
5:32.0,,,66-70,,T. Ariza misses 2-pt shot from 4 ft (block by M. Brogdon)
5:32.0,Defensive rebound by Team,,66-70,,
5:32.0,,,66-70,,P. Tucker enters the game for R. Anderson
5:18.0,G. Antetokounmpo misses 2-pt shot from 14 ft,,66-70,,
5:15.0,,,66-70,,Defensive rebound by P. Tucker
5:05.0,,,66-72,2,J. Harden makes 2-pt shot from 1 ft
4:47.0,Turnover by E. Bledsoe (bad pass; steal by P. Tucker),,66-72,,
4:34.0,,,66-72,,J. Harden misses 2-pt shot from 5 ft (block by D. Liggins)
4:34.0,Defensive rebound by Team,,66-72,,
4:24.0,E. Bledsoe misses 3-pt shot from 24 ft,,66-72,,
4:21.0,,,66-72,,Defensive rebound by J. Harden
4:11.0,,,66-72,,E. Gordon misses 3-pt shot from 24 ft
4:07.0,Defensive rebound by J. Henson,,66-72,,
4:01.0,M. Brogdon misses 3-pt shot from 24 ft,,66-72,,
3:57.0,,,66-72,,Defensive rebound by N. Hilario
3:48.0,,,66-72,,Shooting foul by E. Bledsoe (drawn by E. Gordon)
3:48.0,,,66-72,,E. Gordon misses free throw 1 of 2
3:48.0,,,66-72,,Offensive rebound by Team
3:48.0,S. Brown enters the game for D. Liggins,,66-72,,
3:48.0,,,66-73,1,E. Gordon makes free throw 2 of 2
3:33.0,S. Brown makes 2-pt shot from 20 ft,2,68-73,,
3:19.0,,,68-73,,Turnover by E. Gordon (out of bounds lost ball)
3:14.0,Shooting foul by T. Ariza (drawn by G. Antetokounmpo),,68-73,,
3:14.0,G. Antetokounmpo makes free throw 1 of 2,1,69-73,,
3:14.0,,,69-73,,C. Paul enters the game for T. Ariza
3:14.0,G. Payton enters the game for E. Bledsoe,,69-73,,
3:14.0,G. Antetokounmpo makes free throw 2 of 2,1,70-73,,
3:04.0,,,70-73,,E. Gordon misses 3-pt shot from 24 ft
3:02.0,Defensive rebound by G. Payton,,70-73,,
2:55.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by G. Payton),2,72-73,,
2:33.0,,,72-73,,N. Hilario misses 2-pt shot at rim
2:30.0,Defensive rebound by G. Antetokounmpo,,72-73,,
2:24.0,Shooting foul by N. Hilario (drawn by J. Henson),,72-73,,
2:24.0,,,72-73,,Houston full timeout
2:24.0,,,72-73,,R. Anderson enters the game for N. Hilario
2:24.0,J. Henson misses free throw 1 of 2,,72-73,,
2:24.0,Offensive rebound by Team,,72-73,,
2:24.0,J. Henson makes free throw 2 of 2,1,73-73,,
2:16.0,Personal foul by G. Payton (drawn by C. Paul),,73-73,,
2:16.0,,,73-74,1,C. Paul makes free throw 1 of 2
2:16.0,,,73-75,1,C. Paul makes free throw 2 of 2
2:01.0,J. Henson makes 2-pt shot from 20 ft (assist by G. Payton),2,75-75,,
1:49.0,Personal foul by M. Brogdon (drawn by P. Tucker),,75-75,,
1:49.0,,,75-76,1,P. Tucker makes free throw 1 of 2
1:49.0,K. Middleton enters the game for G. Antetokounmpo,,75-76,,
1:49.0,,,75-77,1,P. Tucker makes free throw 2 of 2
1:32.0,K. Middleton misses 3-pt shot from 24 ft,,75-77,,
1:28.0,Offensive rebound by S. Brown,,75-77,,
1:25.0,K. Middleton misses 2-pt shot from 7 ft,,75-77,,
1:25.0,Offensive rebound by G. Payton,,75-77,,
1:21.0,G. Payton makes 2-pt shot at rim,2,77-77,,
1:08.0,Personal foul by J. Henson (drawn by C. Paul),,77-77,,
1:08.0,,,77-78,1,C. Paul makes free throw 1 of 2
1:08.0,,,77-79,1,C. Paul makes free throw 2 of 2
0:46.0,K. Middleton misses 3-pt shot from 26 ft,,77-79,,
0:42.0,,,77-79,,Defensive rebound by P. Tucker
0:32.0,,,77-82,3,J. Harden makes 3-pt shot from 25 ft
0:12.0,K. Middleton makes 2-pt shot from 4 ft,2,79-82,,
0:00.0,,,79-84,2,J. Harden makes 2-pt shot from 1 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,G. Antetokounmpo misses 2-pt shot from 11 ft,,79-84,,
11:37.0,,,79-84,,Defensive rebound by C. Paul
11:24.0,,,79-84,,C. Paul misses 3-pt shot from 26 ft
11:21.0,Defensive rebound by M. Brogdon,,79-84,,
11:12.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,79-84,,
11:09.0,,,79-84,,Defensive rebound by T. Ariza
11:01.0,,,79-84,,Turnover by E. Gordon (lost ball; steal by T. Maker)
10:56.0,Shooting foul by T. Black (drawn by G. Antetokounmpo),,79-84,,
10:56.0,G. Antetokounmpo makes free throw 1 of 2,1,80-84,,
10:56.0,G. Antetokounmpo makes free throw 2 of 2,1,81-84,,
10:43.0,,,81-87,3,E. Gordon makes 3-pt shot from 29 ft (assist by C. Paul)
10:20.0,S. Brown misses 2-pt shot from 5 ft,,81-87,,
10:18.0,Offensive rebound by S. Brown,,81-87,,
10:16.0,S. Brown makes 2-pt shot from 7 ft,2,83-87,,
9:56.0,,,83-87,,T. Black misses 2-pt shot at rim
9:54.0,Defensive rebound by M. Brogdon,,83-87,,
9:50.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,83-87,,
9:48.0,,,83-87,,Defensive rebound by P. Tucker
9:39.0,,,83-87,,T. Ariza misses 3-pt shot from 23 ft
9:36.0,Defensive rebound by T. Maker,,83-87,,
9:23.0,,,83-87,,Personal foul by C. Paul (drawn by T. Maker)
9:15.0,Turnover by S. Brown (bad pass; steal by E. Gordon),,83-87,,
9:09.0,,,83-89,2,E. Gordon makes 2-pt shot at rim
8:52.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,83-89,,
8:51.0,,,83-89,,Defensive rebound by P. Tucker
8:33.0,,,83-89,,Turnover by E. Gordon (lost ball; steal by G. Antetokounmpo)
8:29.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,83-89,,
8:26.0,,,83-89,,Defensive rebound by C. Paul
8:23.0,,,83-91,2,C. Paul makes 2-pt shot from 18 ft
8:22.0,Milwaukee full timeout,,83-91,,
8:22.0,E. Bledsoe enters the game for S. Brown,,83-91,,
7:57.0,M. Brogdon misses 2-pt shot at rim,,83-91,,
7:57.0,,,83-91,,Defensive rebound by P. Tucker
7:45.0,,,83-93,2,C. Paul makes 2-pt shot from 13 ft (assist by T. Black)
7:28.0,,,83-93,,Personal foul by C. Paul (drawn by E. Bledsoe)
7:21.0,E. Bledsoe misses 3-pt shot from 25 ft,,83-93,,
7:18.0,Offensive rebound by K. Middleton,,83-93,,
7:17.0,K. Middleton misses 2-pt shot from 8 ft,,83-93,,
7:17.0,,,83-93,,Defensive rebound by T. Black
7:03.0,,,83-95,2,T. Black makes 2-pt shot from 1 ft (assist by C. Paul)
6:43.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,85-95,,
6:28.0,Personal foul by T. Maker (drawn by C. Paul),,85-95,,
6:28.0,,,85-95,,J. Harden enters the game for C. Paul
6:23.0,,,85-95,,J. Harden misses 3-pt shot from 24 ft
6:21.0,Defensive rebound by G. Antetokounmpo,,85-95,,
5:59.0,M. Brogdon makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,88-95,,
5:42.0,,,88-98,3,J. Harden makes 3-pt shot from 24 ft
5:42.0,,,88-98,,Shooting foul by M. Brogdon (drawn by J. Harden)
5:42.0,J. Henson enters the game for T. Maker,,88-98,,
5:42.0,,,88-99,1,J. Harden makes free throw 1 of 1
5:24.0,Shooting foul by J. Harden (drawn by E. Bledsoe),,88-99,,
5:24.0,E. Bledsoe makes free throw 1 of 2,1,89-99,,
5:24.0,E. Bledsoe misses free throw 2 of 2,,89-99,,
5:24.0,,,89-99,,Defensive rebound by T. Ariza
5:12.0,,,89-101,2,T. Black makes 2-pt shot at rim (assist by J. Harden)
