time,Cleveland,pts.away,score,pts.home,Denver
6:25.0,,,21-11,,Offensive foul by N. Jokic (drawn by L. Nance)
6:25.0,,,21-11,,Turnover by N. Jokic (offensive foul)
6:14.0,J. Smith misses 3-pt shot from 23 ft,,21-11,,
6:09.0,,,21-11,,Defensive rebound by J. Murray
6:01.0,Away from play foul by R. Hood (drawn by N. Jokic),,21-11,,
5:47.0,,,21-11,,Turnover by N. Jokic (lost ball; steal by L. Nance)
5:28.0,L. James misses 2-pt shot from 4 ft (block by G. Harris),,21-11,,
5:23.0,,,21-11,,Defensive rebound by G. Harris
5:20.0,,,21-11,,G. Harris misses 2-pt shot from 22 ft
5:20.0,,,21-11,,Offensive rebound by Team
5:20.0,,,21-11,,W. Barton enters the game for P. Millsap
5:02.0,,,21-13,2,N. Jokic makes 2-pt shot from 4 ft (assist by W. Barton)
5:02.0,,,21-13,,Shooting foul by L. Nance (drawn by N. Jokic)
5:02.0,,,21-14,1,N. Jokic makes free throw 1 of 1
4:51.0,L. Nance misses 2-pt shot from 18 ft,,21-14,,
4:48.0,,,21-14,,Defensive rebound by W. Chandler
4:43.0,Personal foul by G. Hill (drawn by N. Jokic),,21-14,,
4:40.0,,,21-14,,Offensive foul by G. Harris (drawn by R. Hood)
4:40.0,,,21-14,,Turnover by G. Harris (offensive foul)
4:29.0,L. James makes 2-pt shot from 4 ft,2,23-14,,
4:17.0,,,23-14,,W. Chandler misses 3-pt shot from 24 ft
4:14.0,Defensive rebound by R. Hood,,23-14,,
4:08.0,L. James misses 2-pt shot from 12 ft,,23-14,,
4:05.0,,,23-14,,Defensive rebound by G. Harris
3:58.0,,,23-14,,Turnover by N. Jokic (lost ball; steal by L. Nance)
3:53.0,R. Hood makes 2-pt shot from 1 ft (assist by L. Nance),2,25-14,,
3:53.0,,,25-14,,Denver full timeout
3:53.0,,,25-14,,M. Plumlee enters the game for N. Jokic
3:31.0,,,25-16,2,M. Plumlee makes 2-pt shot from 1 ft
3:10.0,L. James makes 3-pt shot from 24 ft (assist by G. Hill),3,28-16,,
3:00.0,A. Zizic enters the game for G. Hill,,28-16,,
3:00.0,J. Clarkson enters the game for L. Nance,,28-16,,
3:00.0,,,28-16,,D. Harris enters the game for J. Murray
2:51.0,,,28-16,,W. Barton misses 3-pt shot from 25 ft
2:48.0,Defensive rebound by L. James,,28-16,,
2:35.0,J. Clarkson makes 2-pt shot from 20 ft,2,30-16,,
2:21.0,,,30-18,2,G. Harris makes 2-pt shot from 16 ft (assist by W. Chandler)
1:57.0,A. Zizic makes 2-pt shot at rim (assist by J. Smith),2,32-18,,
1:45.0,,,32-20,2,M. Plumlee makes 2-pt shot from 2 ft
1:45.0,,,32-20,,Shooting foul by A. Zizic (drawn by M. Plumlee)
1:45.0,,,32-20,,M. Beasley enters the game for G. Harris
1:45.0,,,32-20,,T. Lyles enters the game for W. Chandler
1:45.0,K. Korver enters the game for R. Hood,,32-20,,
1:45.0,J. Green enters the game for J. Smith,,32-20,,
1:45.0,,,32-20,,M. Plumlee misses free throw 1 of 1
1:39.0,Defensive rebound by A. Zizic,,32-20,,
1:30.0,Shooting foul by D. Harris (drawn by J. Clarkson),,32-20,,
1:30.0,,,32-20,,Technical foul by D. Harris
1:30.0,K. Korver makes technical free throw,1,33-20,,
1:30.0,J. Clarkson makes free throw 1 of 2,1,34-20,,
1:30.0,J. Clarkson misses free throw 2 of 2,,34-20,,
1:26.0,,,34-20,,Defensive rebound by M. Plumlee
1:13.0,,,34-20,,W. Barton misses 2-pt shot from 7 ft
1:10.0,,,34-20,,Offensive rebound by M. Plumlee
1:09.0,,,34-23,3,M. Beasley makes 3-pt shot from 24 ft (assist by M. Plumlee)
1:09.0,Violation by A. Zizic (def goaltending),,34-23,,
0:57.0,Shooting foul by M. Plumlee (drawn by J. Green),,34-23,,
0:57.0,J. Green misses free throw 1 of 2,,34-23,,
0:57.0,Offensive rebound by Team,,34-23,,
0:57.0,J. Green makes free throw 2 of 2,1,35-23,,
0:41.0,,,35-23,,T. Lyles misses 3-pt shot from 23 ft
0:38.0,Defensive rebound by K. Korver,,35-23,,
0:33.0,J. Clarkson makes 3-pt shot from 24 ft,3,38-23,,
0:10.0,,,38-23,,Turnover by M. Plumlee (offensive goaltending)
0:09.0,C. Osman enters the game for A. Zizic,,38-23,,
0:03.0,C. Osman misses 3-pt shot from 22 ft,,38-23,,
0:03.0,Offensive rebound by Team,,38-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,Personal foul by A. Zizic (drawn by D. Harris),,38-23,,
11:38.0,,,38-25,2,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Harris)
11:27.0,,,38-25,,Violation by W. Barton (kicked ball)
11:18.0,Turnover by J. Green (lost ball; steal by D. Harris),,38-25,,
11:14.0,,,38-27,2,D. Harris makes 2-pt shot from 1 ft
10:56.0,J. Green makes 2-pt shot from 1 ft (assist by K. Korver),2,40-27,,
10:40.0,Def 3 sec tech foul by K. Korver,,40-27,,
10:40.0,,,40-27,,W. Barton misses technical free throw
10:40.0,,,40-27,,Offensive rebound by Team
10:40.0,L. Nance enters the game for A. Zizic,,40-27,,
10:36.0,,,40-27,,D. Harris misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by L. Nance,,40-27,,
10:26.0,C. Osman makes 2-pt shot from 16 ft,2,42-27,,
10:26.0,Shooting foul by M. Beasley (drawn by C. Osman),,42-27,,
10:26.0,C. Osman makes free throw 1 of 1,1,43-27,,
10:16.0,,,43-30,3,D. Harris makes 3-pt shot from 25 ft
9:59.0,J. Green misses 3-pt shot from 24 ft,,43-30,,
9:57.0,,,43-30,,Defensive rebound by Team
9:42.0,,,43-32,2,T. Lyles makes 2-pt shot from 1 ft
9:32.0,J. Clarkson misses 2-pt shot from 12 ft,,43-32,,
9:30.0,,,43-32,,Defensive rebound by M. Plumlee
9:24.0,,,43-34,2,D. Harris makes 2-pt shot from 1 ft (assist by M. Plumlee)
9:24.0,Cleveland full timeout,,43-34,,
9:12.0,K. Korver makes 3-pt shot from 24 ft (assist by L. Nance),3,46-34,,
8:55.0,,,46-34,,Turnover by M. Plumlee (lost ball; steal by K. Korver)
8:47.0,J. Clarkson misses 2-pt shot from 3 ft,,46-34,,
8:43.0,Offensive rebound by L. Nance,,46-34,,
8:43.0,L. Nance misses 2-pt shot from 3 ft (block by D. Harris),,46-34,,
8:43.0,,,46-34,,Defensive rebound by W. Barton
8:37.0,,,46-34,,M. Beasley misses 3-pt shot from 23 ft
8:34.0,,,46-34,,Offensive rebound by M. Plumlee
8:32.0,,,46-34,,M. Beasley misses 2-pt shot from 2 ft (block by J. Green)
8:28.0,,,46-34,,Offensive rebound by T. Lyles
8:27.0,,,46-34,,T. Lyles misses 2-pt shot from 3 ft
8:26.0,Defensive rebound by L. Nance,,46-34,,
8:14.0,Turnover by K. Korver (bad pass; steal by T. Lyles),,46-34,,
8:10.0,,,46-34,,Turnover by M. Beasley (bad pass; steal by C. Osman)
8:04.0,J. Clarkson makes 2-pt shot from 2 ft (assist by C. Osman),2,48-34,,
8:00.0,,,48-34,,W. Barton misses 3-pt shot from 24 ft
7:56.0,Defensive rebound by L. Nance,,48-34,,
7:52.0,J. Clarkson misses 3-pt shot from 24 ft,,48-34,,
7:50.0,,,48-34,,Defensive rebound by T. Lyles
7:37.0,,,48-34,,M. Beasley misses 3-pt shot from 22 ft
7:34.0,Defensive rebound by L. Nance,,48-34,,
7:13.0,J. Green makes 2-pt shot from 13 ft (assist by J. Clarkson),2,50-34,,
7:11.0,,,50-34,,Denver full timeout
7:11.0,,,50-34,,N. Jokic enters the game for T. Lyles
7:11.0,,,50-34,,W. Chandler enters the game for M. Plumlee
7:11.0,,,50-34,,G. Harris enters the game for M. Beasley
7:11.0,,,50-34,,P. Millsap enters the game for D. Harris
7:11.0,L. James enters the game for J. Green,,50-34,,
6:59.0,Away from play foul by J. Clarkson (drawn by G. Harris),,50-34,,
6:51.0,,,50-34,,Turnover by P. Millsap (bad pass)
6:40.0,J. Clarkson misses 3-pt shot from 24 ft,,50-34,,
6:36.0,,,50-34,,Defensive rebound by N. Jokic
6:34.0,,,50-34,,G. Harris misses 2-pt shot from 3 ft (block by K. Korver)
6:34.0,,,50-34,,Offensive rebound by Team
6:34.0,R. Hood enters the game for C. Osman,,50-34,,
6:21.0,,,50-34,,Shooting foul by L. Nance (drawn by N. Jokic)
6:21.0,,,50-35,1,N. Jokic makes free throw 1 of 2
6:21.0,,,50-35,,J. Murray enters the game for W. Barton
6:21.0,J. Smith enters the game for K. Korver,,50-35,,
6:21.0,,,50-36,1,N. Jokic makes free throw 2 of 2
6:08.0,R. Hood misses 2-pt shot from 10 ft,,50-36,,
6:06.0,,,50-36,,Defensive rebound by W. Chandler
5:49.0,,,50-39,3,P. Millsap makes 3-pt shot from 23 ft (assist by W. Chandler)
5:37.0,,,50-39,,Personal foul by P. Millsap (drawn by J. Clarkson)
5:37.0,G. Hill enters the game for J. Clarkson,,50-39,,
5:29.0,R. Hood makes 2-pt shot from 16 ft (assist by L. James),2,52-39,,
5:17.0,,,52-41,2,G. Harris makes 2-pt shot from 2 ft
5:05.0,L. Nance misses 2-pt shot from 20 ft,,52-41,,
5:03.0,,,52-41,,Defensive rebound by N. Jokic
4:57.0,,,52-44,3,P. Millsap makes 3-pt shot from 25 ft (assist by N. Jokic)
4:35.0,J. Smith misses 3-pt shot from 24 ft,,52-44,,
4:31.0,,,52-44,,Defensive rebound by P. Millsap
4:24.0,,,52-47,3,G. Harris makes 3-pt shot from 24 ft
4:23.0,Cleveland full timeout,,52-47,,
4:04.0,L. Nance makes 2-pt shot from 2 ft (assist by G. Hill),2,54-47,,
4:04.0,Shooting foul by P. Millsap (drawn by L. Nance),,54-47,,
4:04.0,L. Nance makes free throw 1 of 1,1,55-47,,
3:49.0,,,55-47,,P. Millsap misses 2-pt shot from 2 ft
3:46.0,Defensive rebound by G. Hill,,55-47,,
3:41.0,L. James misses 3-pt shot from 22 ft,,55-47,,
3:38.0,,,55-47,,Defensive rebound by N. Jokic
3:26.0,,,55-47,,W. Chandler misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by L. Nance,,55-47,,
3:20.0,,,55-47,,Personal foul by W. Chandler (drawn by L. James)
3:06.0,L. James makes 2-pt shot from 1 ft (assist by G. Hill),2,57-47,,
2:50.0,,,57-47,,G. Harris misses 2-pt shot at rim
2:50.0,,,57-47,,Offensive rebound by N. Jokic
2:50.0,,,57-47,,Shooting foul by R. Hood (drawn by N. Jokic)
2:50.0,,,57-48,1,N. Jokic makes free throw 1 of 2
2:50.0,,,57-49,1,N. Jokic makes free throw 2 of 2
2:40.0,Turnover by J. Smith (lost ball; steal by P. Millsap),,57-49,,
2:37.0,,,57-51,2,J. Murray makes 2-pt shot from 1 ft
2:37.0,,,57-51,,Shooting foul by J. Smith (drawn by J. Murray)
2:37.0,A. Zizic enters the game for L. Nance,,57-51,,
2:37.0,,,57-52,1,J. Murray makes free throw 1 of 1
2:24.0,L. James misses 2-pt shot from 9 ft,,57-52,,
2:21.0,Offensive rebound by L. James,,57-52,,
2:20.0,L. James makes 2-pt shot from 1 ft,2,59-52,,
2:08.0,,,59-54,2,J. Murray makes 2-pt shot from 4 ft
1:53.0,L. James makes 2-pt shot from 14 ft,2,61-54,,
1:42.0,,,61-54,,Turnover by W. Chandler (lost ball; steal by R. Hood)
1:42.0,,,61-54,,Personal take foul by W. Chandler (drawn by R. Hood)
1:42.0,R. Hood makes free throw 1 of 2,1,62-54,,
1:42.0,,,62-54,,W. Barton enters the game for P. Millsap
1:42.0,R. Hood makes free throw 2 of 2,1,63-54,,
1:29.0,,,63-54,,Shooting foul by A. Zizic (drawn by N. Jokic)
1:29.0,,,63-55,1,N. Jokic makes free throw 1 of 2
1:29.0,C. Osman enters the game for R. Hood,,63-55,,
1:29.0,J. Green enters the game for A. Zizic,,63-55,,
1:29.0,,,63-56,1,N. Jokic makes free throw 2 of 2
1:16.0,Turnover by L. James (lost ball; steal by W. Chandler),,63-56,,
1:11.0,,,63-56,,W. Chandler misses 2-pt shot from 3 ft
1:08.0,Defensive rebound by L. James,,63-56,,
0:59.0,J. Green misses 3-pt shot from 24 ft,,63-56,,
0:56.0,Offensive rebound by C. Osman,,63-56,,
0:52.0,Shooting foul by W. Chandler (drawn by L. James),,63-56,,
0:52.0,L. James misses free throw 1 of 3,,63-56,,
0:52.0,Offensive rebound by Team,,63-56,,
0:52.0,L. James makes free throw 2 of 3,1,64-56,,
0:52.0,,,64-56,,R. Jefferson enters the game for W. Chandler
0:52.0,K. Korver enters the game for C. Osman,,64-56,,
0:52.0,L. James makes free throw 3 of 3,1,65-56,,
0:40.0,,,65-56,,G. Harris misses 3-pt shot from 26 ft
0:36.0,Defensive rebound by L. James,,65-56,,
0:31.0,L. James makes 3-pt shot from 25 ft,3,68-56,,
0:10.0,,,68-58,2,J. Murray makes 2-pt shot from 13 ft
0:05.0,L. James makes 2-pt shot from 12 ft,2,70-58,,
0:00.0,,,70-58,,R. Jefferson misses 2-pt shot from 13 ft
0:00.0,,,70-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,70-58,,G. Harris misses 2-pt shot from 7 ft
11:41.0,,,70-58,,Offensive rebound by P. Millsap
11:35.0,,,70-60,2,J. Murray makes 2-pt shot from 13 ft (assist by N. Jokic)
11:16.0,G. Hill misses 2-pt shot from 7 ft,,70-60,,
11:13.0,,,70-60,,Defensive rebound by N. Jokic
11:03.0,,,70-60,,J. Murray misses 3-pt shot from 24 ft
11:01.0,,,70-60,,Offensive rebound by N. Jokic
10:59.0,,,70-63,3,G. Harris makes 3-pt shot from 24 ft (assist by N. Jokic)
10:42.0,R. Hood makes 2-pt shot from 6 ft,2,72-63,,
10:21.0,,,72-63,,W. Chandler misses 3-pt shot from 24 ft
10:19.0,,,72-63,,Offensive rebound by J. Murray
10:12.0,,,72-63,,P. Millsap misses 2-pt shot from 6 ft
10:10.0,Defensive rebound by L. James,,72-63,,
10:07.0,Turnover by L. James (lost ball; steal by W. Chandler),,72-63,,
10:00.0,,,72-66,3,N. Jokic makes 3-pt shot from 23 ft (assist by J. Murray)
9:41.0,G. Hill misses 3-pt shot from 24 ft,,72-66,,
9:38.0,,,72-66,,Defensive rebound by P. Millsap
9:29.0,,,72-66,,G. Harris misses 2-pt shot from 2 ft
9:28.0,Defensive rebound by J. Smith,,72-66,,
9:23.0,L. James makes 3-pt shot from 24 ft,3,75-66,,
9:05.0,,,75-66,,Turnover by J. Murray (bad pass)
8:57.0,L. James makes 3-pt shot from 24 ft,3,78-66,,
8:35.0,,,78-66,,Turnover by N. Jokic (out of bounds lost ball)
8:20.0,L. James misses 2-pt shot from 18 ft,,78-66,,
8:17.0,,,78-66,,Defensive rebound by W. Chandler
8:09.0,,,78-68,2,N. Jokic makes 2-pt shot from 1 ft (assist by W. Chandler)
7:48.0,L. Nance makes 2-pt shot from 14 ft (assist by G. Hill),2,80-68,,
7:24.0,,,80-70,2,J. Murray makes 2-pt shot from 5 ft (assist by N. Jokic)
7:03.0,L. James makes 2-pt shot from 1 ft (assist by G. Hill),2,82-70,,
7:02.0,,,82-70,,Denver full timeout
6:42.0,,,82-70,,J. Murray misses 3-pt shot from 24 ft
6:40.0,,,82-70,,Offensive rebound by P. Millsap
6:40.0,,,82-70,,Shooting foul by R. Hood (drawn by P. Millsap)
6:40.0,,,82-71,1,P. Millsap makes free throw 1 of 2
6:40.0,,,82-72,1,P. Millsap makes free throw 2 of 2
6:29.0,L. James misses 3-pt shot from 25 ft,,82-72,,
6:26.0,,,82-72,,Defensive rebound by W. Chandler
6:15.0,,,82-72,,Turnover by P. Millsap (lost ball; steal by L. James)
5:58.0,R. Hood misses 2-pt shot from 11 ft,,82-72,,
5:55.0,,,82-72,,Defensive rebound by J. Murray
5:39.0,,,82-74,2,N. Jokic makes 2-pt shot from 2 ft (assist by J. Murray)
5:18.0,G. Hill makes 2-pt shot from 18 ft,2,84-74,,
5:02.0,,,84-74,,Turnover by G. Harris (bad pass; steal by L. Nance)
4:54.0,L. Nance makes 2-pt shot from 1 ft (assist by L. James),2,86-74,,
4:32.0,,,86-74,,P. Millsap misses 2-pt shot from 14 ft
4:30.0,Defensive rebound by L. Nance,,86-74,,
4:19.0,L. Nance misses 2-pt shot from 17 ft,,86-74,,
4:17.0,,,86-74,,Defensive rebound by J. Murray
4:09.0,Personal block foul by L. James (drawn by P. Millsap),,86-74,,
4:09.0,,,86-74,,W. Barton enters the game for P. Millsap
4:03.0,,,86-74,,J. Murray misses 2-pt shot from 17 ft
4:01.0,,,86-74,,Offensive rebound by W. Chandler
3:58.0,,,86-74,,G. Harris misses 2-pt shot from 16 ft
3:55.0,,,86-74,,Offensive rebound by N. Jokic
3:54.0,,,86-76,2,N. Jokic makes 2-pt shot from 3 ft
3:53.0,Cleveland full timeout,,86-76,,
3:53.0,J. Clarkson enters the game for J. Smith,,86-76,,
3:53.0,A. Zizic enters the game for L. Nance,,86-76,,
3:39.0,A. Zizic makes 2-pt shot from 1 ft (assist by L. James),2,88-76,,
3:39.0,Shooting foul by G. Harris (drawn by A. Zizic),,88-76,,
3:39.0,A. Zizic makes free throw 1 of 1,1,89-76,,
3:18.0,,,89-78,2,N. Jokic makes 2-pt shot from 5 ft
3:02.0,A. Zizic misses 2-pt shot from 2 ft,,89-78,,
2:56.0,,,89-78,,Defensive rebound by N. Jokic
2:54.0,,,89-78,,G. Harris misses 2-pt shot from 16 ft (block by G. Hill)
2:50.0,,,89-78,,Offensive rebound by G. Harris
2:43.0,,,89-78,,N. Jokic misses 3-pt shot from 25 ft
2:40.0,Defensive rebound by L. James,,89-78,,
2:35.0,R. Hood misses 3-pt shot from 24 ft,,89-78,,
2:32.0,,,89-78,,Defensive rebound by G. Harris
2:20.0,,,89-80,2,N. Jokic makes 2-pt shot from 9 ft
2:02.0,R. Hood misses 2-pt shot from 11 ft,,89-80,,
1:59.0,,,89-80,,Defensive rebound by J. Murray
1:55.0,,,89-83,3,G. Harris makes 3-pt shot from 22 ft (assist by J. Murray)
1:34.0,L. James misses 2-pt shot from 10 ft,,89-83,,
1:32.0,,,89-83,,Defensive rebound by N. Jokic
1:21.0,,,89-83,,D. Harris enters the game for G. Harris
1:21.0,C. Osman enters the game for G. Hill,,89-83,,
1:21.0,Violation by A. Zizic (kicked ball),,89-83,,
1:15.0,,,89-83,,Turnover by W. Barton (turnover)
1:03.0,C. Osman misses 3-pt shot from 22 ft,,89-83,,
0:58.0,Offensive rebound by A. Zizic,,89-83,,
0:56.0,Offensive charge foul by R. Hood (drawn by J. Murray),,89-83,,
0:56.0,Turnover by R. Hood (offensive foul),,89-83,,
0:37.0,,,89-83,,Shooting foul by A. Zizic (drawn by N. Jokic)
0:37.0,,,89-84,1,N. Jokic makes free throw 1 of 2
0:37.0,,,89-84,,T. Lyles enters the game for W. Chandler
0:37.0,J. Green enters the game for R. Hood,,89-84,,
0:37.0,K. Korver enters the game for A. Zizic,,89-84,,
0:37.0,,,89-84,,W. Chandler enters the game for J. Murray
0:37.0,,,89-84,,N. Jokic misses free throw 2 of 2
0:34.0,Defensive rebound by L. James,,89-84,,
0:29.0,Shooting foul by W. Chandler (drawn by L. James),,89-84,,
0:29.0,L. James misses free throw 1 of 2,,89-84,,
0:29.0,Offensive rebound by Team,,89-84,,
0:29.0,,,89-84,,G. Harris enters the game for W. Chandler
0:29.0,L. James misses free throw 2 of 2,,89-84,,
0:26.0,,,89-84,,Defensive rebound by N. Jokic
0:19.0,,,89-87,3,N. Jokic makes 3-pt shot from 25 ft (assist by D. Harris)
0:03.0,L. James misses 3-pt shot from 25 ft,,89-87,,
0:03.0,,,89-87,,Defensive rebound by D. Harris
0:00.0,,,89-87,,D. Harris misses 3-pt shot from 77 ft
0:00.0,,,89-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,L. Nance makes 2-pt shot from 2 ft (assist by K. Korver),2,91-87,,
11:18.0,,,91-87,,Turnover by T. Lyles (bad pass; steal by L. Nance)
11:18.0,,,91-87,,Personal foul by M. Plumlee (drawn by L. Nance)
11:05.0,K. Korver misses 2-pt shot from 23 ft,,91-87,,
11:03.0,,,91-87,,Defensive rebound by T. Lyles
10:55.0,,,91-87,,T. Lyles misses 2-pt shot from 10 ft
10:51.0,Defensive rebound by L. Nance,,91-87,,
10:36.0,K. Korver misses 2-pt shot from 12 ft,,91-87,,
10:34.0,,,91-87,,Defensive rebound by M. Plumlee
10:23.0,,,91-87,,T. Lyles misses 2-pt shot from 16 ft
10:20.0,Defensive rebound by C. Osman,,91-87,,
10:17.0,Offensive charge foul by C. Osman (drawn by T. Lyles),,91-87,,
10:17.0,Turnover by C. Osman (offensive foul),,91-87,,
10:04.0,,,91-89,2,M. Plumlee makes 2-pt shot from 1 ft (assist by W. Barton)
9:48.0,J. Clarkson misses 2-pt shot from 5 ft,,91-89,,
9:46.0,,,91-89,,Defensive rebound by T. Lyles
9:40.0,,,91-91,2,W. Barton makes 2-pt shot from 1 ft (assist by G. Harris)
9:40.0,Cleveland full timeout,,91-91,,
9:25.0,J. Green makes 2-pt shot from 5 ft (assist by J. Clarkson),2,93-91,,
9:09.0,,,93-93,2,M. Plumlee makes 2-pt shot from 1 ft (assist by G. Harris)
8:50.0,Turnover by J. Clarkson (traveling),,93-93,,
8:35.0,,,93-95,2,M. Plumlee makes 2-pt shot from 2 ft
8:11.0,C. Osman misses 2-pt shot from 20 ft,,93-95,,
8:09.0,,,93-95,,Defensive rebound by D. Harris
7:59.0,,,93-95,,W. Barton misses 2-pt shot from 5 ft
7:58.0,,,93-95,,Offensive rebound by T. Lyles
7:57.0,Personal foul by K. Korver (drawn by T. Lyles),,93-95,,
7:57.0,,,93-95,,W. Chandler enters the game for G. Harris
7:57.0,L. James enters the game for C. Osman,,93-95,,
7:51.0,,,93-95,,Turnover by M. Plumlee (out of bounds lost ball)
7:39.0,K. Korver misses 2-pt shot from 23 ft,,93-95,,
7:35.0,,,93-95,,Defensive rebound by T. Lyles
7:19.0,,,93-95,,Shooting foul by K. Korver (drawn by W. Chandler)
7:19.0,,,93-96,1,W. Chandler makes free throw 1 of 2
7:19.0,,,93-96,,W. Chandler misses free throw 2 of 2
7:17.0,Defensive rebound by L. Nance,,93-96,,
6:56.0,L. James misses 2-pt shot from 12 ft,,93-96,,
6:51.0,Offensive rebound by J. Clarkson,,93-96,,
6:50.0,K. Korver makes 3-pt shot from 25 ft (assist by J. Clarkson),3,96-96,,
6:29.0,,,96-96,,W. Chandler misses 2-pt shot from 4 ft
6:26.0,Defensive rebound by J. Green,,96-96,,
6:19.0,J. Green makes 3-pt shot from 25 ft (assist by L. James),3,99-96,,
6:17.0,,,99-96,,Denver full timeout
6:17.0,,,99-96,,N. Jokic enters the game for T. Lyles
6:17.0,,,99-96,,P. Millsap enters the game for M. Plumlee
6:17.0,,,99-96,,J. Murray enters the game for D. Harris
6:05.0,,,99-96,,P. Millsap misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by J. Clarkson,,99-96,,
5:51.0,J. Green misses 2-pt shot from 9 ft,,99-96,,
5:49.0,,,99-96,,Defensive rebound by J. Murray
5:45.0,,,99-96,,Turnover by J. Murray (lost ball; steal by K. Korver)
5:37.0,,,99-96,,Personal foul by P. Millsap (drawn by J. Green)
5:37.0,,,99-96,,G. Harris enters the game for J. Murray
5:37.0,G. Hill enters the game for J. Clarkson,,99-96,,
5:28.0,K. Korver misses 3-pt shot from 24 ft,,99-96,,
5:24.0,,,99-96,,Defensive rebound by W. Chandler
5:14.0,,,99-96,,G. Harris misses 3-pt shot from 23 ft
5:10.0,Defensive rebound by K. Korver,,99-96,,
5:03.0,G. Hill makes 3-pt shot from 22 ft (assist by L. James),3,102-96,,
4:45.0,,,102-98,2,N. Jokic makes 2-pt shot from 12 ft
4:18.0,L. James misses 2-pt shot from 18 ft,,102-98,,
4:15.0,,,102-98,,Defensive rebound by W. Barton
4:08.0,,,102-98,,G. Harris misses 2-pt shot from 3 ft
4:06.0,,,102-98,,Offensive rebound by N. Jokic
4:06.0,,,102-98,,Turnover by N. Jokic (bad pass)
4:06.0,R. Hood enters the game for J. Green,,102-98,,
3:43.0,Turnover by L. James (bad pass; steal by W. Barton),,102-98,,
3:30.0,,,102-98,,W. Chandler misses 2-pt shot from 6 ft (block by K. Korver)
3:30.0,,,102-98,,Offensive rebound by Team
3:26.0,,,102-100,2,W. Barton makes 2-pt shot from 1 ft (assist by P. Millsap)
3:10.0,R. Hood misses 2-pt shot from 22 ft,,102-100,,
3:07.0,Offensive rebound by L. Nance,,102-100,,
2:54.0,R. Hood makes 2-pt shot from 7 ft (assist by L. Nance),2,104-100,,
2:42.0,,,104-102,2,N. Jokic makes 2-pt shot from 6 ft (assist by W. Barton)
