time,Toronto,pts.away,score,pts.home,Indiana
6:16.0,,,14-17,,Offensive rebound by T. Young
6:14.0,Jump ball: T. Young vs. J. Valanciunas (V. Oladipo gains possession),,,,Jump ball: T. Young vs. J. Valanciunas (V. Oladipo gains possession)
6:04.0,,,14-20,3,T. Young makes 3-pt shot from 28 ft (assist by V. Oladipo)
5:47.0,J. Valanciunas misses 2-pt shot from 6 ft,,14-20,,
5:45.0,,,14-20,,Defensive rebound by T. Young
5:42.0,,,14-20,,B. Bogdanovic misses 2-pt shot from 1 ft
5:39.0,,,14-20,,Offensive rebound by M. Turner
5:38.0,,,14-23,3,D. Collison makes 3-pt shot from 25 ft (assist by M. Turner)
5:28.0,Turnover by S. Ibaka (traveling),,14-23,,
5:28.0,P. Siakam enters the game for J. Valanciunas,,14-23,,
5:11.0,Personal foul by O. Anunoby (drawn by V. Oladipo),,14-23,,
5:11.0,N. Powell enters the game for O. Anunoby,,14-23,,
5:04.0,,,14-25,2,M. Turner makes 2-pt shot from 1 ft (assist by V. Oladipo)
4:42.0,S. Ibaka misses 2-pt shot at rim (block by M. Turner),,14-25,,
4:39.0,,,14-25,,Defensive rebound by M. Turner
4:28.0,,,14-25,,T. Young misses 2-pt shot at rim
4:27.0,,,14-25,,Offensive rebound by Team
4:22.0,,,14-27,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by D. Collison)
4:04.0,P. Siakam misses 3-pt shot from 22 ft,,14-27,,
4:01.0,,,14-27,,Defensive rebound by D. Collison
3:58.0,,,14-27,,V. Oladipo misses 2-pt shot at rim
3:53.0,Defensive rebound by P. Siakam,,14-27,,
3:52.0,,,14-27,,Personal foul by M. Turner (drawn by D. DeRozan)
3:52.0,,,14-27,,D. Sabonis enters the game for D. Collison
3:52.0,,,14-27,,C. Joseph enters the game for M. Turner
3:52.0,J. Poeltl enters the game for S. Ibaka,,14-27,,
3:36.0,N. Powell misses 3-pt shot from 24 ft,,14-27,,
3:34.0,,,14-27,,Defensive rebound by Team
3:14.0,,,14-27,,C. Joseph misses 2-pt shot at rim (block by P. Siakam)
3:12.0,,,14-27,,Offensive rebound by T. Young
3:11.0,,,14-27,,D. Sabonis misses 3-pt shot from 28 ft
3:07.0,Defensive rebound by K. Lowry,,14-27,,
3:02.0,Shooting foul by C. Joseph (drawn by K. Lowry),,14-27,,
3:02.0,K. Lowry makes free throw 1 of 2,1,15-27,,
3:02.0,K. Lowry makes free throw 2 of 2,1,16-27,,
2:59.0,,,16-27,,Indiana full timeout
2:59.0,F. VanVleet enters the game for K. Lowry,,16-27,,
2:52.0,,,16-27,,Shooting foul by N. Powell (drawn by B. Bogdanovic)
2:52.0,,,16-28,1,B. Bogdanovic makes free throw 1 of 2
2:52.0,,,16-28,,L. Stephenson enters the game for V. Oladipo
2:52.0,,,16-28,,B. Bogdanovic misses free throw 2 of 2
2:50.0,Defensive rebound by N. Powell,,16-28,,
2:33.0,D. DeRozan makes 2-pt shot from 10 ft,2,18-28,,
2:17.0,,,18-28,,D. Sabonis misses 2-pt shot from 6 ft
2:15.0,Defensive rebound by P. Siakam,,18-28,,
2:07.0,,,18-28,,Personal foul by L. Stephenson (drawn by F. VanVleet)
2:07.0,F. VanVleet misses free throw 1 of 2,,18-28,,
2:07.0,Offensive rebound by Team,,18-28,,
2:07.0,,,18-28,,T. Leaf enters the game for T. Young
2:07.0,F. VanVleet makes free throw 2 of 2,1,19-28,,
1:54.0,,,19-28,,B. Bogdanovic misses 2-pt shot from 1 ft (block by J. Poeltl)
1:50.0,,,19-28,,Offensive rebound by T. Leaf
1:48.0,,,19-28,,B. Bogdanovic misses 3-pt shot from 23 ft
1:44.0,Defensive rebound by F. VanVleet,,19-28,,
1:40.0,F. VanVleet makes 2-pt shot at rim,2,21-28,,
1:28.0,,,21-28,,Shooting foul by F. VanVleet (drawn by D. Sabonis)
1:28.0,,,21-29,1,D. Sabonis makes free throw 1 of 2
1:28.0,,,21-29,,D. Sabonis misses free throw 2 of 2
1:25.0,Defensive rebound by P. Siakam,,21-29,,
1:12.0,N. Powell makes 2-pt shot from 1 ft,2,23-29,,
0:57.0,,,23-29,,D. Sabonis misses 2-pt shot from 20 ft
0:55.0,Defensive rebound by F. VanVleet,,23-29,,
0:47.0,D. DeRozan misses 2-pt shot from 9 ft,,23-29,,
0:43.0,Offensive rebound by J. Poeltl,,23-29,,
0:43.0,J. Poeltl misses 2-pt shot at rim,,23-29,,
0:42.0,Offensive rebound by D. DeRozan,,23-29,,
0:41.0,Turnover by D. DeRozan (bad pass; steal by C. Joseph),,23-29,,
0:32.0,,,23-29,,Turnover by L. Stephenson (bad pass; steal by D. DeRozan)
0:27.0,Turnover by D. DeRozan (lost ball; steal by T. Leaf),,23-29,,
0:08.0,,,23-29,,C. Joseph misses 2-pt shot from 20 ft
0:04.0,Defensive rebound by J. Poeltl,,23-29,,
0:00.0,P. Siakam makes 2-pt shot from 1 ft (assist by F. VanVleet),2,25-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,25-29,,Turnover by D. Sabonis (traveling)
11:26.0,F. VanVleet makes 3-pt shot from 23 ft (assist by N. Powell),3,28-29,,
11:07.0,,,28-31,2,D. Sabonis makes 2-pt shot from 5 ft (assist by C. Joseph)
10:48.0,F. VanVleet makes 2-pt shot from 1 ft,2,30-31,,
10:48.0,Shooting foul by D. Collison (drawn by F. VanVleet),,30-31,,
10:48.0,F. VanVleet makes free throw 1 of 1,1,31-31,,
10:34.0,,,31-31,,Turnover by L. Stephenson (bad pass; steal by F. VanVleet)
10:28.0,Turnover by P. Siakam (step out of bounds),,31-31,,
10:11.0,,,31-34,3,L. Stephenson makes 3-pt shot from 27 ft (assist by D. Collison)
9:56.0,J. Poeltl makes 2-pt shot from 4 ft (assist by F. VanVleet),2,33-34,,
9:43.0,,,33-36,2,D. Sabonis makes 2-pt shot from 19 ft (assist by D. Collison)
9:27.0,N. Powell makes 2-pt shot at rim,2,35-36,,
9:21.0,,,35-36,,Indiana full timeout
9:08.0,,,35-36,,T. Leaf misses 3-pt shot from 23 ft
9:05.0,Defensive rebound by N. Powell,,35-36,,
8:52.0,P. Siakam misses 3-pt shot from 26 ft,,35-36,,
8:48.0,,,35-36,,Defensive rebound by D. Sabonis
8:39.0,,,35-36,,L. Stephenson misses 2-pt shot from 9 ft
8:37.0,,,35-36,,Offensive rebound by T. Leaf
8:28.0,,,35-36,,T. Leaf misses 2-pt shot from 1 ft
8:25.0,,,35-36,,Offensive rebound by D. Sabonis
8:25.0,,,35-36,,D. Sabonis misses 2-pt shot at rim
8:24.0,Defensive rebound by P. Siakam,,35-36,,
8:20.0,F. VanVleet misses 3-pt shot from 23 ft,,35-36,,
8:16.0,,,35-36,,Defensive rebound by D. Sabonis
8:01.0,,,35-36,,D. Sabonis misses 2-pt shot from 5 ft
7:55.0,,,35-36,,Offensive rebound by T. Leaf
7:54.0,,,35-36,,C. Joseph misses 3-pt shot from 29 ft
7:49.0,Defensive rebound by K. Lowry,,35-36,,
7:43.0,J. Poeltl makes 2-pt shot from 1 ft (assist by K. Lowry),2,37-36,,
7:19.0,,,37-36,,D. Collison misses 2-pt shot from 18 ft
7:16.0,Defensive rebound by K. Lowry,,37-36,,
7:07.0,,,37-36,,Shooting block foul by C. Joseph (drawn by N. Powell)
7:07.0,N. Powell misses free throw 2 of 2,,37-36,,
7:07.0,,,37-36,,Defensive rebound by Team
7:07.0,N. Powell makes free throw 1 of 2,1,38-36,,
7:07.0,,,38-36,,T. Young enters the game for L. Stephenson
7:07.0,,,38-36,,M. Turner enters the game for D. Sabonis
7:07.0,,,38-36,,V. Oladipo enters the game for T. Leaf
7:07.0,S. Ibaka enters the game for J. Poeltl,,38-36,,
7:07.0,Violation by N. Powell (lane),,38-36,,
7:07.0,D. DeRozan enters the game for N. Powell,,38-36,,
6:53.0,,,38-36,,M. Turner misses 2-pt shot from 1 ft
6:50.0,Defensive rebound by S. Ibaka,,38-36,,
6:47.0,K. Lowry makes 3-pt shot from 28 ft,3,41-36,,
6:41.0,,,41-36,,Indiana full timeout
6:41.0,O. Anunoby enters the game for P. Siakam,,41-36,,
6:41.0,,,41-36,,B. Bogdanovic enters the game for C. Joseph
6:28.0,,,41-36,,T. Young misses 2-pt shot from 6 ft (block by S. Ibaka)
6:26.0,Defensive rebound by K. Lowry,,41-36,,
6:17.0,O. Anunoby makes 2-pt shot from 1 ft (assist by K. Lowry),2,43-36,,
6:01.0,,,43-38,2,B. Bogdanovic makes 2-pt shot at rim
5:52.0,K. Lowry misses 3-pt shot from 26 ft,,43-38,,
5:49.0,,,43-38,,Defensive rebound by D. Collison
5:42.0,,,43-38,,M. Turner misses 3-pt shot from 26 ft
5:40.0,Defensive rebound by S. Ibaka,,43-38,,
5:20.0,S. Ibaka makes 2-pt shot from 17 ft,2,45-38,,
5:03.0,,,45-38,,V. Oladipo misses 2-pt shot from 16 ft
5:00.0,Defensive rebound by F. VanVleet,,45-38,,
4:51.0,Shooting foul by M. Turner (drawn by O. Anunoby),,45-38,,
4:51.0,O. Anunoby makes free throw 1 of 2,1,46-38,,
4:51.0,,,46-38,,D. Sabonis enters the game for M. Turner
4:51.0,O. Anunoby makes free throw 2 of 2,1,47-38,,
4:39.0,,,47-38,,V. Oladipo misses 2-pt shot from 20 ft
4:36.0,Defensive rebound by F. VanVleet,,47-38,,
4:31.0,K. Lowry makes 3-pt shot from 26 ft (assist by F. VanVleet),3,50-38,,
4:14.0,,,50-38,,Shooting foul by S. Ibaka (drawn by D. Sabonis)
4:14.0,,,50-38,,D. Sabonis misses free throw 1 of 2
4:14.0,,,50-38,,Offensive rebound by Team
4:14.0,,,50-39,1,D. Sabonis makes free throw 2 of 2
3:50.0,Turnover by Team (shot clock),,50-39,,
3:40.0,Def 3 sec tech foul by S. Ibaka,,50-39,,
3:40.0,,,50-40,1,V. Oladipo makes technical free throw
3:27.0,,,50-42,2,V. Oladipo makes 2-pt shot at rim
3:10.0,K. Lowry makes 3-pt shot from 26 ft,3,53-42,,
2:49.0,,,53-44,2,D. Collison makes 2-pt shot from 1 ft
2:37.0,D. DeRozan makes 2-pt shot from 11 ft,2,55-44,,
2:23.0,,,55-44,,Turnover by V. Oladipo (lost ball; steal by K. Lowry)
2:14.0,S. Ibaka misses 2-pt shot from 17 ft,,55-44,,
2:11.0,,,55-44,,Defensive rebound by T. Young
1:59.0,,,55-46,2,T. Young makes 2-pt shot from 1 ft (assist by V. Oladipo)
1:49.0,Toronto full timeout,,55-46,,
1:49.0,L. Nogueira enters the game for S. Ibaka,,55-46,,
1:49.0,N. Powell enters the game for F. VanVleet,,55-46,,
1:40.0,N. Powell misses 3-pt shot from 26 ft,,55-46,,
1:37.0,,,55-46,,Defensive rebound by D. Sabonis
1:22.0,,,55-46,,D. Collison misses 3-pt shot from 27 ft
1:21.0,Defensive rebound by Team,,55-46,,
0:58.0,N. Powell misses 3-pt shot from 25 ft,,55-46,,
0:57.0,Offensive rebound by Team,,55-46,,
0:57.0,Turnover by Team (shot clock),,55-46,,
0:41.0,,,55-48,2,B. Bogdanovic makes 2-pt shot from 1 ft
0:34.0,K. Lowry makes 3-pt shot from 27 ft,3,58-48,,
0:14.0,,,58-48,,B. Bogdanovic misses 3-pt shot from 27 ft
0:11.0,Defensive rebound by D. DeRozan,,58-48,,
0:07.0,D. DeRozan makes 2-pt shot at rim,2,60-48,,
0:00.0,,,60-50,2,B. Bogdanovic makes 2-pt shot from 1 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,60-52,2,V. Oladipo makes 2-pt shot from 1 ft (assist by M. Turner)
11:23.0,D. DeRozan misses 2-pt shot from 7 ft,,60-52,,
11:18.0,Offensive rebound by P. Siakam,,60-52,,
11:18.0,P. Siakam misses 2-pt shot at rim,,60-52,,
11:17.0,,,60-52,,Defensive rebound by T. Young
11:15.0,,,60-55,3,V. Oladipo makes 3-pt shot from 27 ft (assist by T. Young)
10:55.0,Turnover by S. Ibaka (bad pass),,60-55,,
10:42.0,,,60-55,,V. Oladipo misses 3-pt shot from 23 ft
10:39.0,Defensive rebound by K. Lowry,,60-55,,
10:32.0,S. Ibaka makes 2-pt shot from 1 ft (assist by K. Lowry),2,62-55,,
10:13.0,,,62-57,2,V. Oladipo makes 2-pt shot at rim
9:50.0,S. Ibaka misses 3-pt shot from 29 ft,,62-57,,
9:46.0,Offensive rebound by P. Siakam,,62-57,,
9:45.0,D. DeRozan misses 3-pt shot from 28 ft,,62-57,,
9:42.0,,,62-57,,Defensive rebound by M. Turner
9:33.0,Personal foul by O. Anunoby (drawn by M. Turner),,62-57,,
9:27.0,,,62-59,2,B. Bogdanovic makes 2-pt shot from 1 ft
9:15.0,P. Siakam makes 3-pt shot from 23 ft (assist by K. Lowry),3,65-59,,
8:58.0,,,65-59,,V. Oladipo misses 2-pt shot from 19 ft
8:58.0,Defensive rebound by K. Lowry,,65-59,,
8:50.0,,,65-59,,Personal foul by D. Collison (drawn by K. Lowry)
8:41.0,D. DeRozan misses 2-pt shot from 10 ft,,65-59,,
8:40.0,,,65-59,,Defensive rebound by M. Turner
8:27.0,,,65-62,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by D. Collison)
8:09.0,D. DeRozan misses 2-pt shot from 13 ft,,65-62,,
8:07.0,,,65-62,,Defensive rebound by M. Turner
7:57.0,,,65-62,,D. Collison misses 2-pt shot from 6 ft
7:54.0,Defensive rebound by S. Ibaka,,65-62,,
7:45.0,P. Siakam misses 3-pt shot from 22 ft,,65-62,,
7:42.0,,,65-62,,Defensive rebound by M. Turner
7:40.0,,,65-62,,Shooting foul by S. Ibaka (drawn by V. Oladipo)
7:40.0,,,65-62,,V. Oladipo misses free throw 1 of 2
7:40.0,,,65-62,,Offensive rebound by Team
7:40.0,,,65-62,,V. Oladipo misses free throw 2 of 2
7:38.0,Defensive rebound by S. Ibaka,,65-62,,
7:36.0,Toronto full timeout,,65-62,,
7:28.0,K. Lowry misses 2-pt shot from 8 ft,,65-62,,
7:26.0,,,65-62,,Defensive rebound by B. Bogdanovic
7:17.0,,,65-62,,T. Young misses 2-pt shot from 2 ft
7:15.0,Defensive rebound by O. Anunoby,,65-62,,
7:04.0,K. Lowry misses 3-pt shot from 27 ft,,65-62,,
7:00.0,,,65-62,,Defensive rebound by M. Turner
6:48.0,,,65-64,2,B. Bogdanovic makes 2-pt shot from 4 ft (assist by D. Collison)
6:48.0,,,65-64,,Shooting foul by K. Lowry (drawn by B. Bogdanovic)
6:48.0,N. Powell enters the game for O. Anunoby,,65-64,,
6:48.0,,,65-65,1,B. Bogdanovic makes free throw 1 of 1
6:35.0,Shooting foul by M. Turner (drawn by K. Lowry),,65-65,,
6:35.0,K. Lowry makes free throw 1 of 2,1,66-65,,
6:35.0,,,66-65,,D. Sabonis enters the game for M. Turner
6:35.0,K. Lowry makes free throw 2 of 2,1,67-65,,
6:22.0,,,67-65,,D. Collison misses 3-pt shot from 27 ft
6:18.0,Defensive rebound by S. Ibaka,,67-65,,
6:15.0,N. Powell makes 2-pt shot from 5 ft,2,69-65,,
6:15.0,Shooting foul by B. Bogdanovic (drawn by N. Powell),,69-65,,
6:15.0,N. Powell misses free throw 1 of 1,,69-65,,
6:13.0,,,69-65,,Defensive rebound by T. Young
6:02.0,,,69-65,,Turnover by V. Oladipo (lost ball; steal by K. Lowry)
5:41.0,D. DeRozan misses 2-pt shot from 17 ft,,69-65,,
5:38.0,,,69-65,,Defensive rebound by V. Oladipo
5:35.0,,,69-65,,B. Bogdanovic misses 2-pt shot from 1 ft
5:35.0,Defensive rebound by D. DeRozan,,69-65,,
5:27.0,N. Powell makes 3-pt shot from 25 ft (assist by D. DeRozan),3,72-65,,
5:12.0,,,72-65,,Shooting foul by S. Ibaka (drawn by V. Oladipo)
5:12.0,,,72-66,1,V. Oladipo makes free throw 1 of 2
5:12.0,J. Valanciunas enters the game for S. Ibaka,,72-66,,
5:12.0,,,72-67,1,V. Oladipo makes free throw 2 of 2
4:54.0,Turnover by J. Valanciunas (bad pass; steal by T. Young),,72-67,,
4:50.0,,,72-67,,D. Sabonis misses 2-pt shot from 5 ft
4:46.0,,,72-67,,Offensive rebound by D. Sabonis
4:46.0,,,72-67,,D. Sabonis misses 2-pt shot at rim
4:45.0,Defensive rebound by N. Powell,,72-67,,
4:40.0,Turnover by N. Powell (bad pass; steal by D. Sabonis),,72-67,,
4:39.0,Personal take foul by D. DeRozan (drawn by D. Collison),,72-67,,
4:39.0,,,72-68,1,D. Collison makes free throw 1 of 2
4:39.0,,,72-69,1,D. Collison makes free throw 2 of 2
4:21.0,Turnover by P. Siakam (traveling),,72-69,,
4:08.0,,,72-71,2,T. Young makes 2-pt shot from 6 ft
3:46.0,K. Lowry misses 3-pt shot from 26 ft,,72-71,,
3:43.0,,,72-71,,Defensive rebound by T. Young
3:38.0,,,72-71,,Turnover by V. Oladipo (lost ball; steal by P. Siakam)
3:35.0,N. Powell misses 2-pt shot from 2 ft,,72-71,,
3:35.0,Offensive rebound by Team,,72-71,,
3:35.0,O. Anunoby enters the game for P. Siakam,,72-71,,
3:35.0,,,72-71,,L. Stephenson enters the game for T. Young
3:32.0,Offensive foul by J. Valanciunas (drawn by D. Collison),,72-71,,
3:32.0,Turnover by J. Valanciunas (offensive foul),,72-71,,
3:32.0,,,72-71,,C. Joseph enters the game for D. Collison
3:23.0,,,72-71,,B. Bogdanovic misses 2-pt shot from 1 ft
3:20.0,,,72-71,,Offensive rebound by D. Sabonis
3:20.0,Personal foul by D. DeRozan (drawn by D. Sabonis),,72-71,,
3:20.0,,,72-72,1,D. Sabonis makes free throw 1 of 2
3:20.0,F. VanVleet enters the game for K. Lowry,,72-72,,
3:20.0,,,72-73,1,D. Sabonis makes free throw 2 of 2
2:53.0,Turnover by J. Valanciunas (lost ball; steal by V. Oladipo),,72-73,,
2:48.0,,,72-75,2,L. Stephenson makes 2-pt shot from 13 ft
2:35.0,F. VanVleet makes 2-pt shot from 8 ft,2,74-75,,
2:22.0,,,74-77,2,V. Oladipo makes 2-pt shot from 17 ft
2:10.0,J. Valanciunas makes 2-pt shot at rim (assist by N. Powell),2,76-77,,
1:57.0,,,76-77,,Shooting foul by J. Valanciunas (drawn by D. Sabonis)
1:57.0,,,76-77,,Indiana full timeout
1:57.0,,,76-78,1,D. Sabonis makes free throw 1 of 2
1:57.0,,,76-79,1,D. Sabonis makes free throw 2 of 2
1:43.0,D. DeRozan makes 2-pt shot at rim (assist by F. VanVleet),2,78-79,,
1:36.0,,,78-79,,V. Oladipo misses 3-pt shot from 26 ft
1:36.0,Defensive rebound by J. Valanciunas,,78-79,,
1:13.0,N. Powell misses 2-pt shot from 19 ft,,78-79,,
1:13.0,Offensive rebound by J. Valanciunas,,78-79,,
1:10.0,J. Valanciunas makes 2-pt shot at rim,2,80-79,,
0:47.0,,,80-79,,D. Sabonis misses 2-pt shot from 15 ft
0:46.0,Defensive rebound by J. Valanciunas,,80-79,,
0:27.0,F. VanVleet misses 2-pt shot from 2 ft,,80-79,,
0:26.0,Offensive rebound by J. Valanciunas,,80-79,,
0:26.0,,,80-79,,Personal foul by C. Joseph (drawn by J. Valanciunas)
0:25.0,D. DeRozan misses 3-pt shot from 28 ft,,80-79,,
0:22.0,,,80-79,,Defensive rebound by L. Stephenson
0:04.0,,,80-79,,V. Oladipo misses 2-pt shot from 7 ft
0:04.0,,,80-79,,Offensive rebound by Team
0:04.0,Loose ball foul by N. Powell (drawn by D. Sabonis),,80-79,,
0:04.0,,,80-80,1,D. Sabonis makes free throw 1 of 2
0:04.0,,,80-81,1,D. Sabonis makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,J. Valanciunas misses 2-pt shot at rim (block by T. Young),,80-81,,
11:41.0,,,80-81,,Defensive rebound by T. Young
11:25.0,,,80-81,,T. Young misses 2-pt shot from 7 ft (block by N. Powell)
11:22.0,,,80-81,,Offensive rebound by T. Young
11:21.0,,,80-83,2,T. Young makes 2-pt shot from 3 ft
11:08.0,Turnover by N. Powell (out of bounds lost ball),,80-83,,
10:54.0,,,80-83,,Turnover by T. Young (lost ball; steal by L. Brown)
10:51.0,,,80-83,,Violation by T. Young (kicked ball)
10:38.0,O. Anunoby misses 3-pt shot from 23 ft,,80-83,,
10:35.0,,,80-83,,Defensive rebound by L. Stephenson
10:23.0,,,80-83,,Shooting foul by F. VanVleet (drawn by D. Sabonis)
10:23.0,,,80-83,,D. Sabonis misses free throw 1 of 2
10:23.0,,,80-83,,Offensive rebound by Team
10:23.0,,,80-84,1,D. Sabonis makes free throw 2 of 2
10:11.0,Turnover by N. Powell (lost ball; steal by C. Joseph),,80-84,,
10:07.0,,,80-86,2,L. Stephenson makes 2-pt shot from 1 ft (assist by D. Collison)
10:06.0,Toronto full timeout,,80-86,,
10:06.0,K. Lowry enters the game for J. Valanciunas,,80-86,,
10:06.0,J. Poeltl enters the game for L. Brown,,80-86,,
9:47.0,K. Lowry makes 2-pt shot at rim,2,82-86,,
9:25.0,,,82-88,2,L. Stephenson makes 2-pt shot from 18 ft
9:12.0,,,82-88,,Personal foul by D. Sabonis (drawn by J. Poeltl)
9:02.0,J. Poeltl makes 2-pt shot at rim (assist by K. Lowry),2,84-88,,
8:45.0,,,84-88,,Turnover by L. Stephenson (bad pass; steal by K. Lowry)
8:26.0,N. Powell misses 3-pt shot from 24 ft,,84-88,,
8:22.0,,,84-88,,Defensive rebound by L. Stephenson
8:08.0,,,84-88,,T. Young misses 3-pt shot from 23 ft
8:06.0,Defensive rebound by F. VanVleet,,84-88,,
7:55.0,,,84-88,,B. Bogdanovic enters the game for C. Joseph
7:55.0,D. DeRozan enters the game for N. Powell,,84-88,,
7:48.0,Jump ball: L. Stephenson vs. J. Poeltl (O. Anunoby gains possession),,,,Jump ball: L. Stephenson vs. J. Poeltl (O. Anunoby gains possession)
7:46.0,K. Lowry misses 2-pt shot from 1 ft (block by D. Sabonis),,84-88,,
7:44.0,Offensive rebound by K. Lowry,,84-88,,
7:44.0,Turnover by K. Lowry (traveling),,84-88,,
7:44.0,,,84-88,,V. Oladipo enters the game for L. Stephenson
7:27.0,,,84-90,2,B. Bogdanovic makes 2-pt shot from 1 ft
7:15.0,F. VanVleet makes 3-pt shot from 23 ft (assist by K. Lowry),3,87-90,,
7:01.0,,,87-92,2,V. Oladipo makes 2-pt shot from 13 ft
6:52.0,Turnover by K. Lowry (bad pass; steal by B. Bogdanovic),,87-92,,
6:48.0,,,87-92,,Offensive charge foul by V. Oladipo (drawn by K. Lowry)
6:48.0,,,87-92,,Turnover by V. Oladipo (offensive foul)
6:48.0,S. Ibaka enters the game for O. Anunoby,,87-92,,
6:48.0,P. Siakam enters the game for J. Poeltl,,87-92,,
6:48.0,,,87-92,,L. Stephenson enters the game for V. Oladipo
6:48.0,,,87-92,,C. Joseph enters the game for D. Collison
6:38.0,Shooting foul by C. Joseph (drawn by K. Lowry),,87-92,,
6:38.0,K. Lowry makes free throw 1 of 3,1,88-92,,
6:38.0,K. Lowry makes free throw 2 of 3,1,89-92,,
6:38.0,K. Lowry makes free throw 3 of 3,1,90-92,,
6:15.0,,,90-92,,Turnover by D. Sabonis (lost ball; steal by P. Siakam)
6:05.0,F. VanVleet makes 2-pt shot from 1 ft,2,92-92,,
5:49.0,,,92-94,2,T. Young makes 2-pt shot from 1 ft (assist by D. Sabonis)
5:49.0,,,92-94,,Shooting foul by P. Siakam (drawn by T. Young)
5:49.0,,,92-94,,M. Turner enters the game for D. Sabonis
5:49.0,,,92-95,1,T. Young makes free throw 1 of 1
5:26.0,Turnover by K. Lowry (lost ball; steal by T. Young),,92-95,,
5:13.0,,,92-95,,Shooting foul by P. Siakam (drawn by M. Turner)
5:13.0,,,92-96,1,M. Turner makes free throw 1 of 2
5:13.0,,,92-97,1,M. Turner makes free throw 2 of 2
5:13.0,Toronto full timeout,,92-97,,
4:58.0,F. VanVleet misses 3-pt shot from 27 ft,,92-97,,
4:56.0,,,92-97,,Defensive rebound by L. Stephenson
4:39.0,,,92-100,3,L. Stephenson makes 3-pt shot from 26 ft
4:22.0,D. DeRozan misses 2-pt shot from 17 ft,,92-100,,
4:17.0,,,92-100,,Defensive rebound by L. Stephenson
4:08.0,,,92-103,3,L. Stephenson makes 3-pt shot from 27 ft
4:06.0,Toronto full timeout,,92-103,,
