time,Phoenix,pts.away,score,pts.home,Indiana
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,44-65,2,B. Bogdanovic makes 2-pt shot at rim
11:15.0,Turnover by D. Booker (lost ball; steal by D. Sabonis),,44-65,,
11:11.0,,,44-67,2,D. Sabonis makes 2-pt shot at rim (assist by J. Young)
10:51.0,Offensive foul by T. Chandler (drawn by B. Bogdanovic),,44-67,,
10:51.0,Turnover by T. Chandler (offensive foul),,44-67,,
10:34.0,,,44-69,2,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo)
10:17.0,D. Booker misses 2-pt shot from 17 ft,,44-69,,
10:12.0,,,44-69,,Defensive rebound by B. Bogdanovic
10:07.0,,,44-71,2,J. Young makes 2-pt shot from 20 ft
10:06.0,Phoenix full timeout,,44-71,,
9:53.0,T. Warren misses 2-pt shot from 1 ft (block by D. Sabonis),,44-71,,
9:53.0,Offensive rebound by Team,,44-71,,
9:51.0,D. Booker misses 3-pt shot from 23 ft,,44-71,,
9:48.0,,,44-71,,Defensive rebound by J. Young
9:35.0,,,44-73,2,V. Oladipo makes 2-pt shot from 19 ft
9:20.0,Shooting foul by D. Sabonis (drawn by D. Booker),,44-73,,
9:20.0,D. Booker makes free throw 1 of 2,1,45-73,,
9:20.0,D. Booker makes free throw 2 of 2,1,46-73,,
9:06.0,,,46-75,2,D. Sabonis makes 2-pt shot from 2 ft (assist by J. Young)
8:56.0,T. Ulis misses 2-pt shot from 15 ft,,46-75,,
8:54.0,,,46-75,,Defensive rebound by D. Sabonis
8:48.0,,,46-77,2,T. Young makes 2-pt shot from 3 ft (assist by V. Oladipo)
8:30.0,Turnover by T. Chandler (bad pass; steal by J. Young),,46-77,,
8:27.0,,,46-79,2,T. Young makes 2-pt shot from 2 ft (assist by V. Oladipo)
8:26.0,Phoenix full timeout,,46-79,,
8:26.0,J. Dudley enters the game for D. Booker,,46-79,,
8:26.0,T. Daniels enters the game for T. Chandler,,46-79,,
8:26.0,G. Monroe enters the game for T. Warren,,46-79,,
8:26.0,I. Canaan enters the game for D. Bender,,46-79,,
8:26.0,J. Jackson enters the game for T. Ulis,,46-79,,
8:17.0,Turnover by I. Canaan (bad pass; steal by J. Young),,46-79,,
8:16.0,Personal take foul by J. Dudley (drawn by J. Young),,46-79,,
7:59.0,,,46-79,,Turnover by B. Bogdanovic (bad pass)
7:48.0,J. Dudley misses 3-pt shot from 26 ft,,46-79,,
7:45.0,,,46-79,,Defensive rebound by J. Young
7:38.0,,,46-79,,D. Sabonis misses 3-pt shot from 27 ft
7:35.0,Defensive rebound by G. Monroe,,46-79,,
7:24.0,J. Jackson makes 3-pt shot from 27 ft (assist by J. Dudley),3,49-79,,
7:06.0,,,49-81,2,D. Sabonis makes 2-pt shot at rim (assist by V. Oladipo)
7:06.0,,,49-81,,Shooting foul by J. Jackson (drawn by D. Sabonis)
7:06.0,,,49-82,1,D. Sabonis makes free throw 1 of 1
6:47.0,G. Monroe misses 2-pt shot at rim,,49-82,,
6:44.0,,,49-82,,Defensive rebound by D. Sabonis
6:42.0,,,49-85,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by D. Sabonis)
6:15.0,,,49-85,,Personal foul by V. Oladipo (drawn by I. Canaan)
6:08.0,J. Dudley misses 3-pt shot from 26 ft,,49-85,,
6:05.0,Offensive rebound by G. Monroe,,49-85,,
6:05.0,G. Monroe makes 2-pt shot from 1 ft,2,51-85,,
6:05.0,Shooting foul by B. Bogdanovic (drawn by G. Monroe),,51-85,,
6:05.0,G. Monroe makes free throw 1 of 1,1,52-85,,
5:51.0,,,52-85,,T. Young misses 2-pt shot from 9 ft
5:49.0,Defensive rebound by G. Monroe,,52-85,,
5:45.0,T. Daniels misses 3-pt shot from 26 ft,,52-85,,
5:41.0,,,52-85,,Defensive rebound by T. Young
5:24.0,,,52-88,3,D. Sabonis makes 3-pt shot from 23 ft (assist by B. Bogdanovic)
5:13.0,T. Daniels misses 3-pt shot from 23 ft,,52-88,,
5:09.0,Offensive rebound by G. Monroe,,52-88,,
5:08.0,Turnover by G. Monroe (lost ball; steal by V. Oladipo),,52-88,,
5:02.0,,,52-90,2,T. Young makes 2-pt shot from 5 ft (assist by V. Oladipo)
4:33.0,J. Jackson misses 3-pt shot from 23 ft,,52-90,,
4:31.0,,,52-90,,Defensive rebound by T. Young
4:20.0,,,52-90,,V. Oladipo misses 3-pt shot from 27 ft
4:16.0,Defensive rebound by J. Jackson,,52-90,,
4:14.0,Turnover by J. Jackson (bad pass),,52-90,,
4:14.0,,,52-90,,A. Jefferson enters the game for D. Sabonis
4:05.0,,,52-90,,Turnover by J. Young (out of bounds lost ball)
4:05.0,,,52-90,,C. Joseph enters the game for J. Young
3:57.0,J. Jackson makes 3-pt shot from 24 ft (assist by I. Canaan),3,55-90,,
3:48.0,,,55-90,,Indiana full timeout
3:48.0,,,55-90,,L. Stephenson enters the game for B. Bogdanovic
3:39.0,Technical foul by I. Canaan (drawn by C. Joseph),,55-90,,
3:39.0,,,55-91,1,C. Joseph makes free throw 1 of 1
3:37.0,,,55-93,2,T. Young makes 2-pt shot at rim (assist by L. Stephenson)
3:25.0,J. Jackson makes 2-pt shot from 9 ft (assist by I. Canaan),2,57-93,,
3:03.0,,,57-95,2,A. Jefferson makes 2-pt shot at rim
2:41.0,J. Dudley makes 2-pt shot from 1 ft (assist by J. Jackson),2,59-95,,
2:22.0,,,59-95,,V. Oladipo misses 3-pt shot from 26 ft
2:18.0,,,59-95,,Offensive rebound by V. Oladipo
2:17.0,,,59-95,,L. Stephenson misses 3-pt shot from 23 ft
2:14.0,Defensive rebound by J. Dudley,,59-95,,
2:12.0,I. Canaan makes 3-pt shot from 25 ft,3,62-95,,
1:47.0,,,62-97,2,C. Joseph makes 2-pt shot from 1 ft (assist by A. Jefferson)
1:32.0,T. Daniels misses 3-pt shot from 27 ft,,62-97,,
1:28.0,,,62-97,,Defensive rebound by V. Oladipo
1:13.0,,,62-97,,Shooting foul by G. Monroe (drawn by A. Jefferson)
1:13.0,,,62-98,1,A. Jefferson makes free throw 1 of 2
1:13.0,,,62-99,1,A. Jefferson makes free throw 2 of 2
0:58.0,G. Monroe makes 2-pt shot from 1 ft,2,64-99,,
0:58.0,,,64-99,,Violation by V. Oladipo (def goaltending)
0:38.0,,,64-99,,C. Joseph misses 2-pt shot from 19 ft
0:34.0,Defensive rebound by G. Monroe,,64-99,,
0:30.0,I. Canaan misses 2-pt shot from 10 ft,,64-99,,
0:27.0,,,64-99,,Defensive rebound by L. Stephenson
0:09.0,,,64-99,,Turnover by L. Stephenson (bad pass; steal by G. Monroe)
0:05.0,Shooting foul by V. Oladipo (drawn by G. Monroe),,64-99,,
0:05.0,G. Monroe misses free throw 1 of 2,,64-99,,
0:05.0,Offensive rebound by Team,,64-99,,
0:05.0,,,64-99,,J. Young enters the game for V. Oladipo
0:05.0,G. Monroe makes free throw 2 of 2,1,65-99,,
0:01.0,,,65-99,,Turnover by C. Joseph (traveling)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,G. Monroe makes 2-pt shot at rim (assist by D. Booker),2,67-99,,
11:19.0,,,67-99,,A. Jefferson misses 2-pt shot from 5 ft
11:17.0,Defensive rebound by G. Monroe,,67-99,,
11:04.0,I. Canaan misses 3-pt shot from 24 ft,,67-99,,
11:00.0,,,67-99,,Defensive rebound by A. Jefferson
10:55.0,,,67-99,,J. Young misses 2-pt shot from 1 ft (block by T. Warren)
10:52.0,Defensive rebound by G. Monroe,,67-99,,
10:35.0,G. Monroe misses 2-pt shot from 6 ft,,67-99,,
10:31.0,,,67-99,,Defensive rebound by B. Bogdanovic
10:17.0,,,67-99,,L. Stephenson misses 2-pt shot from 21 ft
10:14.0,Defensive rebound by A. Peters,,67-99,,
10:10.0,Shooting foul by A. Jefferson (drawn by I. Canaan),,67-99,,
10:10.0,I. Canaan misses free throw 1 of 2,,67-99,,
10:10.0,Offensive rebound by Team,,67-99,,
10:10.0,I. Canaan misses free throw 2 of 2,,67-99,,
10:08.0,,,67-99,,Defensive rebound by L. Stephenson
10:00.0,,,67-101,2,L. Stephenson makes 2-pt shot from 1 ft
9:52.0,,,67-101,,Personal foul by B. Bogdanovic (drawn by D. Booker)
9:47.0,D. Booker misses 3-pt shot from 23 ft,,67-101,,
9:43.0,,,67-101,,Defensive rebound by L. Stephenson
9:40.0,Shooting block foul by T. Warren (drawn by L. Stephenson),,67-101,,
