time,New York,pts.away,score,pts.home,Golden State
4:48.0,,,21-13,,Golden State full timeout
4:48.0,,,21-13,,K. Looney enters the game for D. Green
4:48.0,,,21-13,,A. Iguodala enters the game for Z. Pachulia
4:48.0,L. Thomas enters the game for T. Hardaway,,21-13,,
4:35.0,,,21-13,,K. Thompson misses 2-pt shot from 19 ft
4:32.0,,,21-13,,Offensive rebound by K. Looney
4:31.0,,,21-15,2,K. Looney makes 2-pt shot from 1 ft
4:11.0,E. Kanter misses 2-pt shot from 9 ft,,21-15,,
4:07.0,,,21-15,,Defensive rebound by K. Looney
3:58.0,,,21-15,,K. Thompson misses 3-pt shot from 23 ft
3:55.0,Defensive rebound by L. Thomas,,21-15,,
3:49.0,J. Jack misses 2-pt shot from 18 ft,,21-15,,
3:42.0,Offensive rebound by E. Kanter,,21-15,,
3:41.0,E. Kanter makes 2-pt shot from 1 ft,2,23-15,,
3:34.0,,,23-17,2,K. Durant makes 2-pt shot from 16 ft (assist by K. Looney)
3:20.0,C. Lee makes 2-pt shot from 8 ft (assist by E. Kanter),2,25-17,,
3:03.0,,,25-17,,Shooting foul by L. Thomas (drawn by K. Durant)
3:03.0,,,25-18,1,K. Durant makes free throw 1 of 2
3:03.0,,,25-18,,N. Young enters the game for K. Thompson
3:03.0,W. Hernangomez enters the game for E. Kanter,,25-18,,
3:03.0,F. Ntilikina enters the game for J. Jack,,25-18,,
3:03.0,,,25-19,1,K. Durant makes free throw 2 of 2
2:48.0,,,25-19,,Violation by K. Looney (kicked ball)
2:48.0,New York full timeout,,25-19,,
2:39.0,M. Beasley misses 2-pt shot from 18 ft,,25-19,,
2:35.0,Offensive rebound by F. Ntilikina,,25-19,,
2:19.0,M. Beasley misses 2-pt shot from 2 ft,,25-19,,
2:13.0,Offensive rebound by W. Hernangomez,,25-19,,
2:13.0,W. Hernangomez makes 2-pt shot at rim,2,27-19,,
2:06.0,Personal foul by F. Ntilikina (drawn by S. Curry),,27-19,,
1:51.0,,,27-19,,K. Durant misses 3-pt shot from 26 ft
1:47.0,Defensive rebound by C. Lee,,27-19,,
1:32.0,W. Hernangomez makes 2-pt shot from 9 ft,2,29-19,,
1:16.0,,,29-21,2,K. Looney makes 2-pt shot at rim (assist by K. Durant)
0:57.0,Shooting foul by A. Iguodala (drawn by M. Beasley),,29-21,,
0:57.0,M. Beasley makes free throw 1 of 2,1,30-21,,
0:57.0,,,30-21,,D. Green enters the game for K. Durant
0:57.0,M. Beasley makes free throw 2 of 2,1,31-21,,
0:44.0,,,31-21,,N. Young misses 3-pt shot from 23 ft
0:40.0,Defensive rebound by C. Lee,,31-21,,
0:19.0,M. Beasley misses 2-pt shot from 17 ft,,31-21,,
0:13.0,,,31-21,,Defensive rebound by A. Iguodala
0:04.0,,,31-21,,S. Curry misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by L. Thomas,,31-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Personal foul by D. McDermott (drawn by A. Iguodala),,31-21,,
11:37.0,,,31-23,2,N. Young makes 2-pt shot from 11 ft (assist by D. Green)
11:22.0,F. Ntilikina makes 2-pt shot from 20 ft (assist by T. Hardaway),2,33-23,,
11:06.0,Personal foul by T. Hardaway (drawn by N. Young),,33-23,,
11:00.0,,,33-23,,S. Livingston misses 2-pt shot from 18 ft
10:55.0,Defensive rebound by L. Thomas,,33-23,,
10:52.0,F. Ntilikina misses 2-pt shot from 14 ft,,33-23,,
10:48.0,,,33-23,,Defensive rebound by A. Iguodala
10:41.0,,,33-25,2,D. West makes 2-pt shot from 18 ft (assist by A. Iguodala)
10:16.0,Turnover by D. McDermott (step out of bounds),,33-25,,
10:03.0,,,33-25,,N. Young misses 3-pt shot from 23 ft
9:57.0,Defensive rebound by F. Ntilikina,,33-25,,
9:52.0,Turnover by W. Hernangomez (bad pass),,33-25,,
9:46.0,,,33-27,2,A. Iguodala makes 2-pt shot from 18 ft (assist by D. Green)
9:24.0,Shooting foul by A. Iguodala (drawn by T. Hardaway),,33-27,,
9:24.0,T. Hardaway makes free throw 1 of 2,1,34-27,,
9:24.0,T. Hardaway makes free throw 2 of 2,1,35-27,,
9:15.0,,,35-27,,S. Livingston misses 2-pt shot from 13 ft
9:13.0,,,35-27,,Offensive rebound by Team
9:13.0,Jump ball: D. West vs. L. Thomas (S. Livingston gains possession),,,,Jump ball: D. West vs. L. Thomas (S. Livingston gains possession)
9:00.0,,,35-27,,S. Livingston misses 2-pt shot from 17 ft
8:54.0,Defensive rebound by T. Hardaway,,35-27,,
8:53.0,T. Hardaway misses 3-pt shot from 25 ft,,35-27,,
8:50.0,,,35-27,,Defensive rebound by A. Iguodala
8:48.0,,,35-30,3,N. Young makes 3-pt shot from 26 ft (assist by A. Iguodala)
8:48.0,New York full timeout,,35-30,,
8:48.0,,,35-30,,K. Thompson enters the game for A. Iguodala
8:48.0,C. Lee enters the game for T. Hardaway,,35-30,,
8:27.0,Turnover by F. Ntilikina (bad pass),,35-30,,
8:09.0,,,35-30,,K. Thompson misses 2-pt shot from 1 ft
8:06.0,Defensive rebound by W. Hernangomez,,35-30,,
7:48.0,L. Thomas makes 3-pt shot from 25 ft (assist by F. Ntilikina),3,38-30,,
7:34.0,,,38-32,2,D. West makes 2-pt shot from 19 ft (assist by D. Green)
7:16.0,F. Ntilikina misses 3-pt shot from 25 ft,,38-32,,
7:13.0,,,38-32,,Defensive rebound by S. Livingston
7:09.0,,,38-34,2,S. Livingston makes 2-pt shot from 12 ft
7:09.0,,,38-34,,Shooting foul by F. Ntilikina (drawn by S. Livingston)
7:09.0,,,38-34,,K. Durant enters the game for D. Green
7:09.0,E. Kanter enters the game for F. Ntilikina,,38-34,,
7:09.0,T. Hardaway enters the game for W. Hernangomez,,38-34,,
7:09.0,J. Jack enters the game for D. McDermott,,38-34,,
7:09.0,,,38-35,1,S. Livingston makes free throw 1 of 1
6:51.0,C. Lee makes 3-pt shot from 25 ft,3,41-35,,
6:29.0,,,41-37,2,S. Livingston makes 2-pt shot from 10 ft (assist by K. Durant)
6:14.0,L. Thomas misses 3-pt shot from 22 ft,,41-37,,
6:11.0,,,41-37,,Defensive rebound by S. Livingston
5:57.0,,,41-37,,S. Livingston misses 2-pt shot from 11 ft
5:52.0,Defensive rebound by J. Jack,,41-37,,
5:48.0,Turnover by T. Hardaway (lost ball; steal by K. Durant),,41-37,,
5:41.0,,,41-37,,Shooting foul by J. Jack (drawn by K. Thompson)
5:41.0,,,41-37,,K. Thompson misses free throw 1 of 2
5:41.0,,,41-37,,Offensive rebound by Team
5:41.0,,,41-37,,S. Curry enters the game for N. Young
5:41.0,,,41-37,,P. McCaw enters the game for S. Livingston
5:41.0,M. Beasley enters the game for L. Thomas,,41-37,,
5:41.0,,,41-38,1,K. Thompson makes free throw 2 of 2
5:27.0,E. Kanter misses 2-pt shot from 1 ft,,41-38,,
5:23.0,,,41-38,,Defensive rebound by K. Durant
5:23.0,,,41-38,,Turnover by K. Durant (palming)
5:19.0,M. Beasley makes 2-pt shot from 2 ft (assist by T. Hardaway),2,43-38,,
5:19.0,,,43-38,,Golden State full timeout
5:07.0,,,43-40,2,D. West makes 2-pt shot from 15 ft (assist by K. Durant)
4:45.0,Turnover by E. Kanter (lost ball; steal by K. Durant),,43-40,,
4:42.0,,,43-40,,S. Curry misses 3-pt shot from 25 ft
4:36.0,Defensive rebound by E. Kanter,,43-40,,
4:32.0,C. Lee misses 3-pt shot from 23 ft,,43-40,,
4:28.0,Offensive rebound by M. Beasley,,43-40,,
4:26.0,T. Hardaway makes 3-pt shot from 25 ft (assist by M. Beasley),3,46-40,,
4:19.0,,,46-43,3,K. Durant makes 3-pt shot from 26 ft (assist by S. Curry)
3:58.0,C. Lee makes 2-pt shot from 15 ft (assist by E. Kanter),2,48-43,,
3:42.0,,,48-45,2,D. West makes 2-pt shot from 13 ft (assist by K. Thompson)
3:25.0,E. Kanter misses 2-pt shot from 7 ft,,48-45,,
3:20.0,,,48-45,,Defensive rebound by D. West
3:16.0,,,48-45,,Turnover by K. Durant (bad pass; steal by J. Jack)
3:10.0,,,48-45,,Personal foul by K. Thompson (drawn by C. Lee)
3:10.0,,,48-45,,D. Green enters the game for D. West
3:10.0,,,48-45,,A. Iguodala enters the game for P. McCaw
3:09.0,,,48-45,,Personal foul by S. Curry (drawn by J. Jack)
3:02.0,T. Hardaway makes 2-pt shot from 11 ft (assist by J. Jack),2,50-45,,
2:55.0,,,50-45,,Offensive charge foul by K. Durant (drawn by J. Jack)
2:55.0,,,50-45,,Turnover by K. Durant (offensive foul)
2:54.0,Shooting foul by K. Durant (drawn by E. Kanter),,50-45,,
2:54.0,E. Kanter makes free throw 1 of 2,1,51-45,,
2:54.0,,,51-45,,Golden State full timeout
2:54.0,E. Kanter makes free throw 2 of 2,1,52-45,,
2:46.0,,,52-48,3,K. Durant makes 3-pt shot from 27 ft (assist by S. Curry)
2:31.0,M. Beasley makes 2-pt shot from 1 ft (assist by E. Kanter),2,54-48,,
2:15.0,,,54-48,,S. Curry misses 2-pt shot from 7 ft
2:09.0,Defensive rebound by E. Kanter,,54-48,,
1:57.0,J. Jack makes 3-pt shot from 26 ft (assist by M. Beasley),3,57-48,,
1:48.0,,,57-48,,Shooting foul by M. Beasley (drawn by K. Durant)
1:48.0,,,57-49,1,K. Durant makes free throw 1 of 2
1:48.0,,,57-50,1,K. Durant makes free throw 2 of 2
1:28.0,M. Beasley makes 2-pt shot from 7 ft (assist by J. Jack),2,59-50,,
1:28.0,Shooting foul by A. Iguodala (drawn by M. Beasley),,59-50,,
1:28.0,M. Beasley makes free throw 1 of 1,1,60-50,,
1:22.0,,,60-53,3,S. Curry makes 3-pt shot from 25 ft (assist by K. Durant)
1:13.0,New York full timeout,,60-53,,
1:13.0,,,60-53,,K. Looney enters the game for A. Iguodala
0:56.0,J. Jack misses 2-pt shot from 22 ft,,60-53,,
0:52.0,,,60-53,,Defensive rebound by K. Looney
0:46.0,,,60-55,2,S. Curry makes 2-pt shot from 2 ft (assist by D. Green)
0:46.0,,,60-55,,Shooting foul by E. Kanter (drawn by S. Curry)
0:46.0,,,60-56,1,S. Curry makes free throw 1 of 1
0:26.0,C. Lee misses 3-pt shot from 25 ft,,60-56,,
0:24.0,,,60-56,,Defensive rebound by D. Green
0:04.0,,,60-58,2,K. Looney makes 2-pt shot from 1 ft (assist by K. Durant)
0:00.0,J. Jack misses 2-pt shot from 11 ft,,60-58,,
0:00.0,Offensive rebound by Team,,60-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,60-58,,S. Curry misses 3-pt shot from 26 ft
11:46.0,Defensive rebound by J. Jack,,60-58,,
11:29.0,C. Lee misses 3-pt shot from 25 ft,,60-58,,
11:26.0,,,60-58,,Defensive rebound by K. Thompson
11:16.0,Personal foul by C. Lee (drawn by D. Green),,60-58,,
11:11.0,,,60-60,2,K. Thompson makes 2-pt shot from 17 ft (assist by K. Durant)
10:57.0,M. Beasley makes 2-pt shot from 18 ft (assist by J. Jack),2,62-60,,
10:47.0,,,62-62,2,D. Green makes 2-pt shot from 17 ft (assist by K. Durant)
10:34.0,Offensive charge foul by E. Kanter (drawn by K. Thompson),,62-62,,
10:34.0,Turnover by E. Kanter (offensive foul),,62-62,,
10:27.0,,,62-62,,Shooting foul by M. Beasley (drawn by Z. Pachulia)
10:27.0,,,62-63,1,Z. Pachulia makes free throw 1 of 2
10:27.0,,,62-64,1,Z. Pachulia makes free throw 2 of 2
10:09.0,E. Kanter makes 2-pt shot from 4 ft (assist by J. Jack),2,64-64,,
9:58.0,,,64-64,,K. Durant misses 2-pt shot from 14 ft
9:55.0,Defensive rebound by M. Beasley,,64-64,,
9:49.0,Turnover by J. Jack (bad pass; steal by Z. Pachulia),,64-64,,
9:43.0,,,64-66,2,D. Green makes 2-pt shot from 2 ft (assist by K. Durant)
9:22.0,T. Hardaway misses 3-pt shot from 25 ft,,64-66,,
9:19.0,,,64-66,,Defensive rebound by Z. Pachulia
9:10.0,,,64-66,,D. Green misses 2-pt shot from 12 ft
9:06.0,Defensive rebound by E. Kanter,,64-66,,
8:56.0,M. Beasley makes 2-pt shot from 8 ft (assist by J. Jack),2,66-66,,
8:46.0,,,66-66,,S. Curry misses 2-pt shot from 17 ft
8:45.0,,,66-66,,Offensive rebound by Team
8:45.0,Loose ball foul by E. Kanter (drawn by Z. Pachulia),,66-66,,
8:39.0,,,66-68,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry)
8:39.0,,,66-68,,Shooting foul by M. Beasley (drawn by Z. Pachulia)
8:39.0,,,66-69,1,Z. Pachulia makes free throw 1 of 1
8:19.0,J. Jack makes 3-pt shot from 25 ft,3,69-69,,
8:08.0,,,69-72,3,S. Curry makes 3-pt shot from 26 ft
7:45.0,E. Kanter misses 2-pt shot from 2 ft,,69-72,,
7:43.0,,,69-72,,Defensive rebound by D. Green
7:40.0,,,69-74,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
7:40.0,New York full timeout,,69-74,,
7:26.0,T. Hardaway misses 2-pt shot from 1 ft,,69-74,,
7:23.0,,,69-74,,Defensive rebound by Z. Pachulia
7:12.0,,,69-74,,Shooting foul by E. Kanter (drawn by S. Curry)
7:12.0,,,69-75,1,S. Curry makes free throw 1 of 2
7:12.0,,,69-76,1,S. Curry makes free throw 2 of 2
6:51.0,J. Jack misses 2-pt shot from 14 ft,,69-76,,
6:48.0,,,69-76,,Defensive rebound by K. Durant
6:37.0,,,69-78,2,D. Green makes 2-pt shot from 12 ft (assist by K. Durant)
6:15.0,E. Kanter makes 2-pt shot from 1 ft (assist by C. Lee),2,71-78,,
6:02.0,,,71-80,2,Z. Pachulia makes 2-pt shot from 5 ft
5:47.0,,,71-80,,Personal foul by Z. Pachulia (drawn by E. Kanter)
5:47.0,,,71-80,,A. Iguodala enters the game for D. Green
5:47.0,W. Hernangomez enters the game for E. Kanter,,71-80,,
5:42.0,M. Beasley makes 2-pt shot from 12 ft (assist by J. Jack),2,73-80,,
5:30.0,,,73-83,3,S. Curry makes 3-pt shot from 25 ft
5:16.0,T. Hardaway makes 2-pt shot from 19 ft (assist by W. Hernangomez),2,75-83,,
4:58.0,,,75-83,,Shooting foul by J. Jack (drawn by A. Iguodala)
4:58.0,,,75-83,,A. Iguodala misses free throw 1 of 2
4:58.0,,,75-83,,Offensive rebound by Team
4:58.0,,,75-83,,K. Looney enters the game for Z. Pachulia
4:58.0,,,75-84,1,A. Iguodala makes free throw 2 of 2
4:43.0,,,75-84,,Personal foul by K. Looney (drawn by W. Hernangomez)
4:43.0,L. Thomas enters the game for T. Hardaway,,75-84,,
4:31.0,C. Lee misses 2-pt shot from 2 ft (block by K. Durant),,75-84,,
4:27.0,,,75-84,,Defensive rebound by K. Thompson
4:24.0,,,75-87,3,S. Curry makes 3-pt shot from 24 ft (assist by K. Thompson)
4:24.0,,,75-88,1,S. Curry makes technical free throw
4:11.0,,,75-88,,Personal foul by K. Thompson (drawn by W. Hernangomez)
4:11.0,,,75-88,,N. Young enters the game for K. Thompson
3:56.0,C. Lee makes 3-pt shot from 25 ft,3,78-88,,
3:43.0,,,78-90,2,K. Looney makes 2-pt shot from 1 ft (assist by S. Curry)
3:24.0,Shooting foul by K. Looney (drawn by W. Hernangomez),,78-90,,
3:24.0,,,78-90,,Technical foul by K. Durant
3:24.0,C. Lee misses technical free throw,,78-90,,
3:24.0,Offensive rebound by Team,,78-90,,
3:24.0,W. Hernangomez makes free throw 1 of 2,1,79-90,,
3:24.0,F. Ntilikina enters the game for J. Jack,,79-90,,
3:24.0,W. Hernangomez makes free throw 2 of 2,1,80-90,,
3:12.0,Violation by M. Beasley (kicked ball),,80-90,,
3:04.0,,,80-93,3,S. Curry makes 3-pt shot from 25 ft (assist by K. Durant)
2:45.0,W. Hernangomez misses 2-pt shot from 6 ft,,80-93,,
2:42.0,,,80-93,,Defensive rebound by S. Curry
2:35.0,,,80-93,,Turnover by K. Durant (bad pass; steal by C. Lee)
2:33.0,Shooting foul by K. Durant (drawn by C. Lee),,80-93,,
2:33.0,,,80-93,,Golden State full timeout
2:33.0,,,80-93,,D. Green enters the game for K. Durant
2:33.0,C. Lee makes free throw 1 of 2,1,81-93,,
2:33.0,C. Lee misses free throw 2 of 2,,81-93,,
2:31.0,,,81-93,,Defensive rebound by K. Looney
2:16.0,,,81-93,,K. Looney misses 2-pt shot from 4 ft
2:13.0,Defensive rebound by W. Hernangomez,,81-93,,
1:52.0,Turnover by Team (shot clock),,81-93,,
1:39.0,Personal foul by C. Lee (drawn by S. Curry),,81-93,,
1:39.0,,,81-94,1,S. Curry makes free throw 1 of 2
1:39.0,,,81-95,1,S. Curry makes free throw 2 of 2
1:25.0,L. Thomas misses 3-pt shot from 25 ft,,81-95,,
1:22.0,,,81-95,,Defensive rebound by D. Green
1:13.0,,,81-95,,D. Green misses 2-pt shot from 13 ft
1:09.0,Defensive rebound by L. Thomas,,81-95,,
1:03.0,M. Beasley misses 3-pt shot from 26 ft,,81-95,,
1:00.0,Offensive rebound by L. Thomas,,81-95,,
0:59.0,L. Thomas makes 2-pt shot from 1 ft,2,83-95,,
0:43.0,,,83-95,,S. Curry misses 3-pt shot from 28 ft
0:38.0,Defensive rebound by M. Beasley,,83-95,,
0:22.0,L. Thomas makes 3-pt shot from 22 ft (assist by W. Hernangomez),3,86-95,,
0:06.0,,,86-95,,Turnover by D. Green (bad pass)
0:00.0,L. Thomas misses 2-pt shot from 21 ft,,86-95,,
0:00.0,Offensive rebound by Team,,86-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,Turnover by W. Hernangomez (lost ball; steal by S. Livingston),,86-95,,
11:24.0,,,86-98,3,D. Green makes 3-pt shot from 26 ft (assist by D. West)
11:07.0,F. Ntilikina makes 2-pt shot from 8 ft (assist by W. Hernangomez),2,88-98,,
10:43.0,,,88-100,2,S. Livingston makes 2-pt shot from 9 ft (assist by D. West)
10:25.0,F. Ntilikina makes 2-pt shot from 21 ft (assist by W. Hernangomez),2,90-100,,
10:10.0,,,90-100,,Turnover by A. Iguodala (bad pass)
10:09.0,J. Noah enters the game for W. Hernangomez,,90-100,,
9:53.0,L. Thomas misses 2-pt shot from 9 ft,,90-100,,
9:49.0,,,90-100,,Defensive rebound by D. West
9:45.0,,,90-102,2,A. Iguodala makes 2-pt shot at rim (assist by K. Thompson)
9:17.0,F. Ntilikina misses 2-pt shot from 18 ft,,90-102,,
9:14.0,,,90-102,,Defensive rebound by D. Green
9:03.0,,,90-102,,K. Thompson misses 2-pt shot from 14 ft
8:59.0,Defensive rebound by D. McDermott,,90-102,,
8:55.0,T. Hardaway makes 2-pt shot from 2 ft,2,92-102,,
8:32.0,,,92-104,2,K. Thompson makes 2-pt shot from 8 ft (assist by D. West)
8:14.0,T. Hardaway misses 2-pt shot from 20 ft,,92-104,,
8:11.0,,,92-104,,Defensive rebound by D. Green
8:05.0,,,92-104,,D. West misses 2-pt shot from 14 ft
8:00.0,Defensive rebound by T. Hardaway,,92-104,,
7:48.0,T. Hardaway misses 2-pt shot from 13 ft,,92-104,,
7:45.0,,,92-104,,Defensive rebound by D. West
7:39.0,Personal foul by D. McDermott (drawn by K. Thompson),,92-104,,
7:39.0,,,92-104,,K. Durant enters the game for D. Green
7:39.0,C. Lee enters the game for D. McDermott,,92-104,,
7:39.0,,,92-104,,P. McCaw enters the game for A. Iguodala
7:39.0,M. Beasley enters the game for L. Thomas,,92-104,,
7:28.0,,,92-106,2,S. Livingston makes 2-pt shot at rim (assist by D. West)
7:09.0,J. Noah makes 2-pt shot from 6 ft,2,94-106,,
6:50.0,,,94-108,2,P. McCaw makes 2-pt shot from 1 ft (assist by S. Livingston)
6:50.0,Violation by J. Noah (def goaltending),,94-108,,
6:37.0,F. Ntilikina misses 2-pt shot from 13 ft,,94-108,,
6:33.0,,,94-108,,Defensive rebound by P. McCaw
6:28.0,,,94-108,,K. Durant misses 3-pt shot from 25 ft
6:24.0,Defensive rebound by J. Noah,,94-108,,
6:17.0,Turnover by J. Noah (bad pass),,94-108,,
6:17.0,J. Jack enters the game for F. Ntilikina,,94-108,,
6:00.0,,,94-110,2,D. West makes 2-pt shot from 1 ft (assist by K. Durant)
5:44.0,M. Beasley misses 2-pt shot from 14 ft,,94-110,,
5:40.0,,,94-110,,Defensive rebound by D. West
5:38.0,Personal foul by M. Beasley (drawn by D. West),,94-110,,
5:38.0,,,94-110,,N. Young enters the game for K. Thompson
5:38.0,,,94-110,,S. Curry enters the game for S. Livingston
5:38.0,E. Kanter enters the game for J. Noah,,94-110,,
5:37.0,,,94-110,,Shooting foul by E. Kanter (drawn by D. West)
5:37.0,,,94-111,1,D. West makes free throw 1 of 2
5:37.0,,,94-112,1,D. West makes free throw 2 of 2
5:25.0,,,94-112,,D. Green enters the game for D. West
5:21.0,J. Jack misses 2-pt shot from 13 ft,,94-112,,
5:18.0,,,94-112,,Defensive rebound by K. Durant
5:13.0,,,94-112,,K. Durant misses 2-pt shot from 1 ft
5:09.0,Defensive rebound by T. Hardaway,,94-112,,
5:07.0,Shooting foul by N. Young (drawn by E. Kanter),,94-112,,
5:07.0,E. Kanter makes free throw 1 of 2,1,95-112,,
5:07.0,E. Kanter makes free throw 2 of 2,1,96-112,,
4:57.0,,,96-112,,D. Green misses 2-pt shot from 1 ft
4:55.0,Defensive rebound by E. Kanter,,96-112,,
4:43.0,E. Kanter makes 2-pt shot from 1 ft (assist by M. Beasley),2,98-112,,
4:23.0,,,98-112,,K. Durant misses 3-pt shot from 23 ft
4:16.0,Defensive rebound by T. Hardaway,,98-112,,
4:15.0,M. Beasley makes 2-pt shot from 2 ft (assist by T. Hardaway),2,100-112,,
4:15.0,,,100-112,,Golden State full timeout
4:15.0,,,100-112,,K. Looney enters the game for N. Young
4:15.0,,,100-112,,K. Thompson enters the game for P. McCaw
3:58.0,,,100-115,3,S. Curry makes 3-pt shot from 26 ft (assist by K. Durant)
3:44.0,M. Beasley misses 2-pt shot from 14 ft,,100-115,,
3:41.0,,,100-115,,Defensive rebound by S. Curry
3:23.0,,,100-118,3,D. Green makes 3-pt shot from 26 ft (assist by K. Thompson)
3:04.0,T. Hardaway misses 3-pt shot from 27 ft,,100-118,,
3:00.0,,,100-118,,Defensive rebound by S. Curry
2:57.0,,,100-118,,K. Durant misses 2-pt shot from 2 ft
2:54.0,Defensive rebound by C. Lee,,100-118,,
2:54.0,,,100-118,,Personal take foul by D. Green (drawn by C. Lee)
2:50.0,,,100-118,,Technical foul by K. Durant
2:50.0,C. Lee makes technical free throw,1,101-118,,
2:50.0,,,101-118,,P. McCaw enters the game for K. Durant
2:40.0,C. Lee misses 3-pt shot from 26 ft (block by D. Green),,101-118,,
2:36.0,Offensive rebound by C. Lee,,101-118,,
2:31.0,C. Lee makes 2-pt shot from 12 ft,2,103-118,,
2:18.0,,,103-121,3,S. Curry makes 3-pt shot from 26 ft
2:07.0,Turnover by E. Kanter (bad pass),,103-121,,
2:03.0,,,103-121,,Golden State full timeout
2:03.0,,,103-121,,O. Casspi enters the game for D. Green
2:03.0,,,103-121,,J. McGee enters the game for S. Curry
2:03.0,,,103-121,,N. Young enters the game for K. Thompson
2:03.0,R. Baker enters the game for E. Kanter,,103-121,,
2:03.0,W. Hernangomez enters the game for T. Hardaway,,103-121,,
2:03.0,D. McDermott enters the game for C. Lee,,103-121,,
2:03.0,F. Ntilikina enters the game for M. Beasley,,103-121,,
2:03.0,T. Burke enters the game for J. Jack,,103-121,,
1:58.0,,,103-121,,N. Young misses 3-pt shot from 26 ft
1:52.0,,,103-121,,Offensive rebound by J. McGee
1:48.0,,,103-121,,Turnover by J. McGee (bad pass; steal by R. Baker)
