time,Portland,pts.away,score,pts.home,Brooklyn
5:03.0,Offensive rebound by Team,,13-21,,
5:03.0,,,13-21,,J. Harris enters the game for R. Hollis-Jefferson
5:03.0,,,13-21,,T. Booker enters the game for A. Crabbe
5:03.0,,,13-21,,J. Allen enters the game for T. Zeller
4:59.0,,,13-21,,Personal foul by J. Allen (drawn by J. Nurkic)
4:53.0,D. Lillard makes 3-pt shot from 27 ft (assist by E. Turner),3,16-21,,
4:31.0,,,16-21,,Turnover by D. Carroll (lost ball; steal by D. Lillard)
4:24.0,J. Nurkic misses 2-pt shot from 3 ft (block by T. Booker),,16-21,,
4:24.0,Offensive rebound by Team,,16-21,,
4:24.0,,,16-21,,C. LeVert enters the game for S. Dinwiddie
4:24.0,M. Harkless enters the game for N. Vonleh,,16-21,,
4:11.0,E. Turner misses 2-pt shot from 12 ft,,16-21,,
4:08.0,,,16-21,,Defensive rebound by T. Booker
3:55.0,,,16-21,,J. Allen misses 2-pt shot from 17 ft
3:53.0,,,16-21,,Offensive rebound by T. Booker
3:48.0,,,16-24,3,C. LeVert makes 3-pt shot from 24 ft (assist by T. Booker)
3:25.0,M. Harkless misses 2-pt shot from 1 ft,,16-24,,
3:22.0,,,16-24,,Defensive rebound by D. Carroll
3:19.0,,,16-24,,D. Carroll misses 3-pt shot from 24 ft
3:15.0,,,16-24,,Offensive rebound by J. Allen
3:15.0,,,16-26,2,J. Allen makes 2-pt shot from 1 ft
2:58.0,Turnover by D. Lillard (bad pass; steal by J. Allen),,16-26,,
2:58.0,Personal foul by D. Lillard (drawn by C. LeVert),,16-26,,
2:58.0,,,16-26,,Brooklyn full timeout
2:58.0,,,16-26,,S. Kilpatrick enters the game for D. Carroll
2:58.0,E. Davis enters the game for J. Nurkic,,16-26,,
2:48.0,,,16-26,,J. Harris misses 3-pt shot from 22 ft (block by J. Layman)
2:47.0,,,16-26,,Offensive rebound by Team
2:37.0,,,16-26,,C. LeVert misses 2-pt shot from 1 ft
2:35.0,Defensive rebound by E. Turner,,16-26,,
2:25.0,D. Lillard makes 3-pt shot from 29 ft,3,19-26,,
2:01.0,,,19-28,2,S. Kilpatrick makes 2-pt shot from 9 ft (assist by J. Harris)
1:48.0,E. Turner misses 3-pt shot from 26 ft,,19-28,,
1:43.0,,,19-28,,Defensive rebound by T. Booker
1:35.0,,,19-30,2,J. Allen makes 2-pt shot from 6 ft (assist by J. Harris)
1:19.0,E. Turner makes 2-pt shot from 16 ft (assist by D. Lillard),2,21-30,,
1:12.0,,,21-32,2,T. Booker makes 2-pt shot from 2 ft (assist by S. Kilpatrick)
0:58.0,D. Lillard misses 2-pt shot from 19 ft,,21-32,,
0:58.0,Offensive rebound by Team,,21-32,,
0:55.0,C. McCollum enters the game for D. Lillard,,21-32,,
0:42.0,E. Turner makes 2-pt shot from 19 ft,2,23-32,,
0:32.0,,,23-32,,J. Allen misses 2-pt shot from 1 ft (block by E. Davis)
0:28.0,Defensive rebound by M. Harkless,,23-32,,
0:25.0,C. McCollum misses 2-pt shot from 13 ft,,23-32,,
0:25.0,Offensive rebound by E. Davis,,23-32,,
0:21.0,E. Davis misses 2-pt shot from 1 ft,,23-32,,
0:21.0,,,23-32,,Defensive rebound by C. LeVert
0:02.0,,,23-32,,S. Kilpatrick misses 2-pt shot from 2 ft (block by J. Layman)
0:02.0,Defensive rebound by C. McCollum,,23-32,,
0:01.0,,,23-32,,Personal foul by J. Allen (drawn by C. McCollum)
0:00.0,C. McCollum misses 3-pt shot from 39 ft,,23-32,,
0:00.0,Offensive rebound by Team,,23-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,C. McCollum misses 3-pt shot from 25 ft,,23-32,,
11:34.0,,,23-32,,Defensive rebound by J. Harris
11:23.0,,,23-32,,J. Allen misses 2-pt shot from 1 ft (block by M. Harkless)
11:17.0,Jump ball: J. Allen vs. M. Harkless (T. Booker gains possession),,,,Jump ball: J. Allen vs. M. Harkless (T. Booker gains possession)
11:17.0,,,23-32,,Offensive rebound by J. Allen
11:13.0,,,23-32,,S. Kilpatrick misses 2-pt shot from 8 ft
11:13.0,,,23-32,,Offensive rebound by Team
11:12.0,,,23-32,,Turnover by S. Kilpatrick (traveling)
10:49.0,S. Napier misses 2-pt shot from 19 ft,,23-32,,
10:44.0,,,23-32,,Defensive rebound by J. Harris
10:41.0,,,23-32,,J. Harris misses 3-pt shot from 24 ft
10:37.0,Defensive rebound by E. Davis,,23-32,,
10:29.0,E. Turner misses 2-pt shot from 19 ft,,23-32,,
10:26.0,,,23-32,,Defensive rebound by J. Allen
10:15.0,,,23-34,2,T. Booker makes 2-pt shot from 6 ft
9:52.0,E. Turner makes 2-pt shot from 7 ft,2,25-34,,
9:31.0,,,25-34,,T. Booker misses 2-pt shot from 6 ft
9:28.0,Defensive rebound by E. Davis,,25-34,,
9:16.0,Shooting foul by J. Harris (drawn by S. Napier),,25-34,,
9:16.0,S. Napier makes free throw 1 of 2,1,26-34,,
9:16.0,,,26-34,,T. Zeller enters the game for J. Allen
9:16.0,S. Napier makes free throw 2 of 2,1,27-34,,
9:06.0,,,27-34,,Turnover by C. LeVert (bad pass)
8:50.0,E. Turner misses 2-pt shot from 14 ft,,27-34,,
8:47.0,,,27-34,,Defensive rebound by T. Booker
8:44.0,,,27-34,,Turnover by J. Harris (traveling)
8:44.0,,,27-34,,R. Hollis-Jefferson enters the game for T. Booker
8:32.0,C. McCollum makes 2-pt shot from 17 ft,2,29-34,,
8:31.0,,,29-34,,Brooklyn full timeout
8:22.0,,,29-34,,Shooting foul by C. McCollum (drawn by C. LeVert)
8:22.0,,,29-34,,C. LeVert misses free throw 1 of 2
8:22.0,,,29-34,,Offensive rebound by Team
8:22.0,,,29-34,,A. Crabbe enters the game for S. Kilpatrick
8:22.0,,,29-35,1,C. LeVert makes free throw 2 of 2
8:08.0,C. McCollum makes 2-pt shot from 11 ft (assist by E. Davis),2,31-35,,
7:55.0,,,31-38,3,A. Crabbe makes 3-pt shot from 25 ft (assist by J. Harris)
7:31.0,E. Turner misses 2-pt shot from 13 ft,,31-38,,
7:28.0,,,31-38,,Defensive rebound by Team
7:12.0,,,31-38,,T. Zeller misses 2-pt shot from 9 ft
7:10.0,Defensive rebound by E. Davis,,31-38,,
7:01.0,S. Napier misses 2-pt shot from 19 ft,,31-38,,
6:58.0,,,31-38,,Defensive rebound by R. Hollis-Jefferson
6:52.0,,,31-38,,A. Crabbe misses 2-pt shot from 15 ft
6:49.0,,,31-38,,Offensive rebound by A. Crabbe
6:48.0,,,31-38,,A. Crabbe misses 2-pt shot at rim
6:48.0,,,31-38,,Offensive rebound by T. Zeller
6:46.0,,,31-38,,T. Zeller misses 2-pt shot at rim (block by M. Harkless)
6:46.0,,,31-38,,Offensive rebound by T. Zeller
6:45.0,,,31-40,2,T. Zeller makes 2-pt shot at rim
6:27.0,C. McCollum makes 2-pt shot from 17 ft (assist by E. Turner),2,33-40,,
6:13.0,,,33-40,,Shooting foul by E. Davis (drawn by C. LeVert)
6:13.0,,,33-41,1,C. LeVert makes free throw 1 of 2
6:13.0,,,33-41,,S. Dinwiddie enters the game for J. Harris
6:13.0,J. Nurkic enters the game for E. Turner,,33-41,,
6:13.0,D. Lillard enters the game for E. Davis,,33-41,,
6:13.0,,,33-42,1,C. LeVert makes free throw 2 of 2
5:58.0,M. Harkless makes 2-pt shot from 2 ft (assist by J. Nurkic),2,35-42,,
5:45.0,,,35-44,2,R. Hollis-Jefferson makes 2-pt shot from 16 ft
5:34.0,S. Napier misses 3-pt shot from 24 ft,,35-44,,
5:30.0,,,35-44,,Defensive rebound by S. Dinwiddie
5:18.0,,,35-46,2,R. Hollis-Jefferson makes 2-pt shot from 9 ft
5:17.0,,,35-46,,D. Carroll enters the game for T. Zeller
5:17.0,N. Vonleh enters the game for M. Harkless,,35-46,,
4:59.0,J. Nurkic makes 2-pt shot at rim (assist by C. McCollum),2,37-46,,
4:39.0,,,37-46,,A. Crabbe misses 2-pt shot from 17 ft
4:36.0,Defensive rebound by N. Vonleh,,37-46,,
4:28.0,J. Nurkic makes 2-pt shot from 5 ft (assist by D. Lillard),2,39-46,,
4:12.0,,,39-46,,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by J. Nurkic)
4:10.0,Defensive rebound by J. Nurkic,,39-46,,
4:06.0,Shooting foul by S. Dinwiddie (drawn by D. Lillard),,39-46,,
4:06.0,D. Lillard makes free throw 1 of 2,1,40-46,,
4:06.0,,,40-46,,J. Harris enters the game for C. LeVert
4:06.0,D. Lillard misses free throw 2 of 2,,40-46,,
4:04.0,,,40-46,,Defensive rebound by D. Carroll
3:49.0,,,40-46,,D. Carroll misses 2-pt shot from 1 ft
3:49.0,Defensive rebound by J. Nurkic,,40-46,,
3:39.0,D. Lillard makes 2-pt shot from 3 ft,2,42-46,,
3:28.0,,,42-46,,S. Dinwiddie misses 2-pt shot from 17 ft
3:25.0,Defensive rebound by N. Vonleh,,42-46,,
3:17.0,C. McCollum makes 3-pt shot from 27 ft (assist by D. Lillard),3,45-46,,
3:16.0,,,45-46,,Brooklyn full timeout
3:16.0,,,45-46,,J. Allen enters the game for J. Harris
3:00.0,,,45-46,,R. Hollis-Jefferson misses 2-pt shot from 2 ft (block by N. Vonleh)
2:55.0,Defensive rebound by D. Lillard,,45-46,,
2:47.0,Turnover by J. Nurkic (lost ball; steal by R. Hollis-Jefferson),,45-46,,
2:40.0,,,45-48,2,D. Carroll makes 2-pt shot from 10 ft
2:17.0,S. Napier misses 3-pt shot from 24 ft,,45-48,,
2:17.0,,,45-48,,Defensive rebound by Team
2:17.0,Loose ball foul by N. Vonleh (drawn by S. Dinwiddie),,45-48,,
2:05.0,,,45-48,,R. Hollis-Jefferson misses 2-pt shot from 15 ft
2:02.0,Defensive rebound by D. Lillard,,45-48,,
1:55.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,47-48,,
1:33.0,,,47-51,3,S. Dinwiddie makes 3-pt shot from 27 ft (assist by A. Crabbe)
1:19.0,J. Nurkic misses 2-pt shot from 8 ft,,47-51,,
1:15.0,Offensive rebound by S. Napier,,47-51,,
1:09.0,Shooting foul by A. Crabbe (drawn by D. Lillard),,47-51,,
1:09.0,D. Lillard makes free throw 1 of 2,1,48-51,,
1:09.0,D. Lillard makes free throw 2 of 2,1,49-51,,
0:58.0,,,49-51,,A. Crabbe misses 3-pt shot from 25 ft
0:56.0,,,49-51,,Offensive rebound by J. Allen
0:56.0,,,49-53,2,J. Allen makes 2-pt shot at rim
0:39.0,D. Lillard misses 2-pt shot from 11 ft,,49-53,,
0:35.0,,,49-53,,Defensive rebound by A. Crabbe
0:30.0,,,49-53,,S. Dinwiddie misses 3-pt shot from 29 ft
0:28.0,Defensive rebound by Team,,49-53,,
0:28.0,P. Connaughton enters the game for N. Vonleh,,49-53,,
0:09.0,C. McCollum makes 2-pt shot at rim,2,51-53,,
0:03.0,,,51-53,,D. Carroll misses 2-pt shot from 14 ft
0:00.0,Defensive rebound by J. Nurkic,,51-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard),2,53-53,,
11:31.0,,,53-55,2,A. Crabbe makes 2-pt shot from 1 ft (assist by D. Carroll)
11:19.0,J. Nurkic makes 2-pt shot from 8 ft (assist by D. Lillard),2,55-55,,
11:04.0,,,55-55,,A. Crabbe misses 3-pt shot from 25 ft
11:01.0,,,55-55,,Offensive rebound by T. Zeller
10:51.0,,,55-58,3,S. Dinwiddie makes 3-pt shot from 22 ft (assist by T. Zeller)
10:38.0,P. Connaughton makes 2-pt shot from 1 ft (assist by J. Nurkic),2,57-58,,
10:25.0,,,57-58,,Shooting foul by P. Connaughton (drawn by D. Carroll)
10:25.0,,,57-59,1,D. Carroll makes free throw 1 of 3
10:25.0,,,57-59,,D. Carroll misses free throw 2 of 3
10:25.0,,,57-59,,Offensive rebound by Team
10:25.0,,,57-60,1,D. Carroll makes free throw 3 of 3
10:12.0,D. Lillard misses 2-pt shot from 17 ft,,57-60,,
10:09.0,,,57-60,,Defensive rebound by D. Carroll
10:06.0,,,57-60,,D. Carroll misses 2-pt shot from 1 ft
10:03.0,Defensive rebound by J. Nurkic,,57-60,,
10:01.0,J. Nurkic makes 2-pt shot from 1 ft,2,59-60,,
10:01.0,Shooting foul by T. Zeller (drawn by J. Nurkic),,59-60,,
10:01.0,J. Nurkic misses free throw 1 of 1,,59-60,,
9:59.0,,,59-60,,Defensive rebound by R. Hollis-Jefferson
9:44.0,,,59-60,,R. Hollis-Jefferson misses 2-pt shot from 6 ft
9:40.0,Defensive rebound by J. Nurkic,,59-60,,
9:35.0,D. Lillard makes 2-pt shot from 2 ft,2,61-60,,
9:30.0,,,61-60,,Shooting foul by J. Nurkic (drawn by T. Zeller)
9:30.0,,,61-61,1,T. Zeller makes free throw 1 of 2
9:30.0,,,61-62,1,T. Zeller makes free throw 2 of 2
9:22.0,J. Nurkic makes 2-pt shot from 21 ft (assist by C. McCollum),2,63-62,,
9:05.0,,,63-62,,A. Crabbe misses 3-pt shot from 25 ft
9:03.0,Defensive rebound by D. Lillard,,63-62,,
8:50.0,C. McCollum misses 3-pt shot from 23 ft,,63-62,,
8:47.0,,,63-62,,Defensive rebound by A. Crabbe
8:39.0,,,63-64,2,T. Zeller makes 2-pt shot from 3 ft (assist by S. Dinwiddie)
8:26.0,D. Lillard misses 2-pt shot from 10 ft,,63-64,,
8:24.0,Offensive rebound by D. Lillard,,63-64,,
8:21.0,D. Lillard misses 2-pt shot from 15 ft,,63-64,,
8:21.0,Offensive rebound by J. Nurkic,,63-64,,
8:19.0,J. Nurkic makes 2-pt shot at rim,2,65-64,,
8:12.0,,,65-64,,S. Dinwiddie misses 2-pt shot from 12 ft
8:12.0,Defensive rebound by P. Connaughton,,65-64,,
7:59.0,Shooting foul by A. Crabbe (drawn by N. Vonleh),,65-64,,
7:59.0,N. Vonleh misses free throw 1 of 2,,65-64,,
7:59.0,Offensive rebound by Team,,65-64,,
7:59.0,N. Vonleh makes free throw 2 of 2,1,66-64,,
7:49.0,,,66-64,,T. Zeller misses 3-pt shot from 23 ft
7:45.0,,,66-64,,Offensive rebound by D. Carroll
7:38.0,,,66-66,2,R. Hollis-Jefferson makes 2-pt shot from 9 ft (assist by S. Dinwiddie)
7:19.0,N. Vonleh makes 2-pt shot from 17 ft (assist by C. McCollum),2,68-66,,
7:04.0,,,68-68,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
7:04.0,,,68-68,,Shooting foul by J. Nurkic (drawn by R. Hollis-Jefferson)
7:04.0,,,68-69,1,R. Hollis-Jefferson makes free throw 1 of 1
6:44.0,N. Vonleh makes 2-pt shot from 10 ft (assist by P. Connaughton),2,70-69,,
6:25.0,,,70-69,,Turnover by R. Hollis-Jefferson (traveling)
6:25.0,,,70-69,,Brooklyn full timeout
6:12.0,N. Vonleh makes 2-pt shot at rim (assist by D. Lillard),2,72-69,,
6:03.0,Personal foul by P. Connaughton (drawn by D. Carroll),,72-69,,
5:51.0,Personal foul by D. Lillard (drawn by S. Dinwiddie),,72-69,,
5:51.0,,,72-69,,S. Dinwiddie misses free throw 1 of 2
5:51.0,,,72-69,,Offensive rebound by Team
5:51.0,,,72-70,1,S. Dinwiddie makes free throw 2 of 2
5:33.0,J. Nurkic makes 2-pt shot from 1 ft (assist by P. Connaughton),2,74-70,,
5:15.0,,,74-72,2,T. Zeller makes 2-pt shot from 4 ft (assist by S. Dinwiddie)
5:03.0,D. Lillard makes 2-pt shot from 16 ft,2,76-72,,
4:43.0,,,76-74,2,R. Hollis-Jefferson makes 2-pt shot from 5 ft
4:31.0,D. Lillard makes 2-pt shot from 21 ft,2,78-74,,
4:11.0,,,78-77,3,S. Dinwiddie makes 3-pt shot from 23 ft (assist by R. Hollis-Jefferson)
3:56.0,J. Nurkic misses 2-pt shot from 17 ft,,78-77,,
3:54.0,,,78-77,,Defensive rebound by D. Carroll
3:48.0,,,78-80,3,S. Dinwiddie makes 3-pt shot from 24 ft
3:48.0,Portland full timeout,,78-80,,
3:48.0,,,78-80,,J. Harris enters the game for R. Hollis-Jefferson
3:48.0,,,78-80,,J. Allen enters the game for A. Crabbe
3:48.0,,,78-80,,T. Booker enters the game for T. Zeller
3:48.0,E. Davis enters the game for C. McCollum,,78-80,,
3:48.0,E. Turner enters the game for P. Connaughton,,78-80,,
3:48.0,J. Layman enters the game for J. Nurkic,,78-80,,
3:38.0,J. Layman misses 2-pt shot from 20 ft,,78-80,,
3:35.0,,,78-80,,Defensive rebound by J. Allen
3:18.0,,,78-80,,S. Dinwiddie misses 3-pt shot from 24 ft
3:15.0,Defensive rebound by E. Davis,,78-80,,
3:09.0,J. Layman makes 2-pt shot from 1 ft (assist by E. Turner),2,80-80,,
2:48.0,,,80-82,2,J. Harris makes 2-pt shot from 10 ft
2:31.0,J. Layman misses 2-pt shot from 11 ft,,80-82,,
2:31.0,,,80-82,,Defensive rebound by Team
2:31.0,Loose ball foul by E. Davis (drawn by J. Allen),,80-82,,
2:31.0,,,80-82,,C. LeVert enters the game for S. Dinwiddie
2:31.0,,,80-82,,S. Kilpatrick enters the game for D. Carroll
2:31.0,,,80-83,1,J. Allen makes free throw 1 of 2
2:31.0,M. Harkless enters the game for N. Vonleh,,80-83,,
2:31.0,,,80-84,1,J. Allen makes free throw 2 of 2
2:13.0,E. Turner makes 2-pt shot from 11 ft,2,82-84,,
1:53.0,,,82-84,,J. Allen misses 2-pt shot from 16 ft
1:51.0,Defensive rebound by E. Turner,,82-84,,
1:42.0,D. Lillard makes 3-pt shot from 24 ft (assist by E. Turner),3,85-84,,
1:27.0,Personal foul by D. Lillard (drawn by J. Harris),,85-84,,
1:27.0,,,85-85,1,J. Harris makes free throw 1 of 2
1:27.0,,,85-86,1,J. Harris makes free throw 2 of 2
1:13.0,J. Layman misses 2-pt shot at rim,,85-86,,
1:11.0,,,85-86,,Defensive rebound by T. Booker
1:08.0,,,85-88,2,S. Kilpatrick makes 2-pt shot at rim
0:54.0,Shooting foul by J. Harris (drawn by E. Davis),,85-88,,
0:54.0,E. Davis makes free throw 1 of 2,1,86-88,,
0:54.0,E. Davis misses free throw 2 of 2,,86-88,,
0:52.0,,,86-88,,Defensive rebound by C. LeVert
0:45.0,Violation by M. Harkless (kicked ball),,86-88,,
0:41.0,,,86-90,2,T. Booker makes 2-pt shot from 7 ft (assist by J. Harris)
0:36.0,Shooting foul by C. LeVert (drawn by D. Lillard),,86-90,,
0:36.0,D. Lillard makes free throw 1 of 3,1,87-90,,
0:36.0,D. Lillard makes free throw 2 of 3,1,88-90,,
0:36.0,D. Lillard makes free throw 3 of 3,1,89-90,,
0:30.0,,,89-90,,T. Booker misses 3-pt shot from 24 ft
0:27.0,,,89-90,,Offensive rebound by J. Allen
0:07.0,,,89-92,2,C. LeVert makes 2-pt shot from 2 ft
0:01.0,D. Lillard makes 3-pt shot from 28 ft,3,92-92,,
0:00.0,,,92-92,,S. Kilpatrick misses 3-pt shot from 59 ft
0:00.0,,,92-92,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,92-92,,T. Booker misses 2-pt shot from 6 ft
11:44.0,Defensive rebound by E. Davis,,92-92,,
11:26.0,E. Turner misses 2-pt shot from 10 ft,,92-92,,
11:25.0,Offensive rebound by E. Davis,,92-92,,
11:25.0,E. Davis misses 2-pt shot at rim,,92-92,,
11:25.0,Offensive rebound by E. Davis,,92-92,,
11:25.0,Turnover by E. Davis (out of bounds lost ball),,92-92,,
11:11.0,,,92-92,,Turnover by C. LeVert (bad pass; steal by E. Turner)
11:07.0,M. Harkless makes 2-pt shot from 1 ft (assist by C. McCollum),2,94-92,,
10:59.0,,,94-95,3,J. Harris makes 3-pt shot from 24 ft (assist by T. Booker)
10:43.0,Turnover by E. Turner (bad pass),,94-95,,
10:36.0,,,94-95,,J. Allen misses 2-pt shot from 3 ft
10:34.0,Defensive rebound by C. McCollum,,94-95,,
10:32.0,,,94-95,,Shooting block foul by C. LeVert (drawn by C. McCollum)
10:32.0,C. McCollum makes free throw 1 of 2,1,95-95,,
10:32.0,C. McCollum makes free throw 2 of 2,1,96-95,,
10:20.0,,,96-95,,T. Booker misses 2-pt shot from 5 ft (block by M. Harkless)
10:20.0,,,96-95,,Offensive rebound by C. LeVert
10:15.0,,,96-97,2,C. LeVert makes 2-pt shot from 1 ft
10:06.0,E. Turner misses 2-pt shot from 13 ft,,96-97,,
10:05.0,Offensive rebound by M. Harkless,,96-97,,
10:05.0,M. Harkless misses 2-pt shot from 1 ft,,96-97,,
10:04.0,Offensive rebound by M. Harkless,,96-97,,
10:04.0,M. Harkless makes 2-pt shot from 1 ft,2,98-97,,
10:04.0,Shooting foul by J. Harris (drawn by M. Harkless),,98-97,,
10:04.0,M. Harkless misses free throw 1 of 1,,98-97,,
10:01.0,,,98-97,,Defensive rebound by T. Booker
9:52.0,,,98-99,2,S. Kilpatrick makes 2-pt shot from 2 ft (assist by C. LeVert)
9:52.0,,,98-99,,Shooting foul by M. Harkless (drawn by S. Kilpatrick)
9:52.0,,,98-100,1,S. Kilpatrick makes free throw 1 of 1
9:32.0,Turnover by S. Napier (bad pass; steal by J. Allen),,98-100,,
9:27.0,,,98-102,2,T. Booker makes 2-pt shot at rim (assist by J. Harris)
9:26.0,Portland full timeout,,98-102,,
9:15.0,S. Napier misses 3-pt shot from 24 ft,,98-102,,
9:12.0,Offensive rebound by E. Davis,,98-102,,
9:05.0,E. Turner makes 2-pt shot from 10 ft,2,100-102,,
8:54.0,,,100-105,3,J. Harris makes 3-pt shot from 24 ft (assist by C. LeVert)
8:39.0,E. Turner makes 3-pt shot from 25 ft (assist by C. McCollum),3,103-105,,
8:26.0,,,103-108,3,J. Harris makes 3-pt shot from 25 ft (assist by S. Kilpatrick)
8:09.0,C. McCollum makes 2-pt shot from 5 ft,2,105-108,,
7:58.0,,,105-108,,Turnover by S. Kilpatrick (bad pass; steal by E. Davis)
7:50.0,C. McCollum makes 2-pt shot from 15 ft,2,107-108,,
7:29.0,,,107-110,2,T. Booker makes 2-pt shot at rim
7:15.0,,,107-110,,Personal foul by J. Allen (drawn by E. Davis)
7:15.0,,,107-110,,A. Crabbe enters the game for S. Kilpatrick
7:15.0,,,107-110,,S. Dinwiddie enters the game for J. Harris
7:15.0,J. Nurkic enters the game for E. Davis,,107-110,,
7:15.0,D. Lillard enters the game for S. Napier,,107-110,,
7:11.0,C. McCollum misses 2-pt shot from 13 ft,,107-110,,
7:08.0,Offensive rebound by J. Nurkic,,107-110,,
7:07.0,J. Nurkic makes 2-pt shot from 1 ft,2,109-110,,
6:50.0,,,109-112,2,S. Dinwiddie makes 2-pt shot from 1 ft
6:40.0,,,109-112,,R. Hollis-Jefferson enters the game for J. Allen
6:40.0,N. Vonleh enters the game for M. Harkless,,109-112,,
6:39.0,Shooting foul by A. Crabbe (drawn by C. McCollum),,109-112,,
6:39.0,C. McCollum makes free throw 1 of 2,1,110-112,,
6:39.0,C. McCollum makes free throw 2 of 2,1,111-112,,
6:21.0,,,111-114,2,S. Dinwiddie makes 2-pt shot from 13 ft
6:10.0,D. Lillard misses 3-pt shot from 23 ft,,111-114,,
6:08.0,,,111-114,,Defensive rebound by S. Dinwiddie
5:58.0,,,111-114,,S. Dinwiddie misses 3-pt shot from 24 ft
5:56.0,Defensive rebound by N. Vonleh,,111-114,,
5:49.0,E. Turner misses 2-pt shot from 7 ft,,111-114,,
5:46.0,,,111-114,,Defensive rebound by C. LeVert
5:32.0,,,111-116,2,C. LeVert makes 2-pt shot at rim
