time,Orlando,pts.away,score,pts.home,Brooklyn
10:08.0,,,29-33,,Defensive rebound by T. Mozgov
9:50.0,,,29-33,,T. Booker misses 2-pt shot from 3 ft
9:47.0,Defensive rebound by M. Speights,,29-33,,
9:36.0,M. Speights makes 3-pt shot from 25 ft (assist by J. Simmons),3,32-33,,
9:13.0,,,32-35,2,T. Booker makes 2-pt shot at rim
8:50.0,B. Biyombo misses 2-pt shot from 13 ft,,32-35,,
8:47.0,,,32-35,,Defensive rebound by T. Booker
8:31.0,,,32-37,2,T. Booker makes 2-pt shot from 2 ft (assist by C. LeVert)
8:10.0,M. Speights misses 2-pt shot from 11 ft (block by C. LeVert),,32-37,,
8:07.0,Offensive rebound by M. Speights,,32-37,,
8:06.0,Turnover by M. Speights (bad pass; steal by S. Dinwiddie),,32-37,,
8:04.0,,,32-37,,S. Dinwiddie misses 2-pt shot at rim
8:02.0,Defensive rebound by D. Augustin,,32-37,,
8:00.0,Shooting foul by J. Harris (drawn by A. Afflalo),,32-37,,
8:00.0,A. Afflalo makes free throw 1 of 3,1,33-37,,
8:00.0,A. Afflalo makes free throw 2 of 3,1,34-37,,
8:00.0,,,34-37,,R. Hollis-Jefferson enters the game for T. Booker
8:00.0,A. Afflalo misses free throw 3 of 3,,34-37,,
7:58.0,,,34-37,,Defensive rebound by S. Dinwiddie
7:36.0,,,34-39,2,S. Dinwiddie makes 2-pt shot from 1 ft
7:27.0,Turnover by D. Augustin (traveling),,34-39,,
7:17.0,,,34-41,2,S. Dinwiddie makes 2-pt shot from 6 ft
7:10.0,Orlando full timeout,,34-41,,
7:10.0,J. Isaac enters the game for M. Speights,,34-41,,
7:10.0,T. Ross enters the game for B. Biyombo,,34-41,,
7:10.0,N. Vucevic enters the game for J. Simmons,,34-41,,
6:59.0,D. Augustin makes 3-pt shot from 25 ft (assist by A. Afflalo),3,37-41,,
6:43.0,,,37-41,,Shooting foul by J. Isaac (drawn by R. Hollis-Jefferson)
6:43.0,,,37-41,,R. Hollis-Jefferson misses free throw 1 of 2
6:43.0,,,37-41,,Offensive rebound by Team
6:43.0,M. Hezonja enters the game for J. Isaac,,37-41,,
6:43.0,,,37-42,1,R. Hollis-Jefferson makes free throw 2 of 2
6:31.0,D. Augustin misses 3-pt shot from 25 ft,,37-42,,
6:28.0,,,37-42,,Defensive rebound by R. Hollis-Jefferson
6:25.0,,,37-42,,Shooting foul by M. Hezonja (drawn by R. Hollis-Jefferson)
6:25.0,,,37-43,1,R. Hollis-Jefferson makes free throw 1 of 2
6:25.0,E. Fournier enters the game for D. Augustin,,37-43,,
6:25.0,E. Payton enters the game for M. Hezonja,,37-43,,
6:25.0,,,37-43,,R. Hollis-Jefferson misses free throw 2 of 2
6:25.0,,,37-43,,A. Crabbe enters the game for J. Harris
6:23.0,Defensive rebound by N. Vucevic,,37-43,,
6:13.0,N. Vucevic makes 3-pt shot from 24 ft (assist by E. Payton),3,40-43,,
5:57.0,,,40-43,,Turnover by T. Mozgov (lost ball; steal by E. Payton)
5:50.0,A. Afflalo misses 3-pt shot from 22 ft (block by A. Crabbe),,40-43,,
5:50.0,Offensive rebound by Team,,40-43,,
5:50.0,,,40-43,,D. Russell enters the game for S. Dinwiddie
5:50.0,,,40-43,,J. Allen enters the game for T. Mozgov
5:40.0,Turnover by E. Fournier (bad pass),,40-43,,
5:22.0,,,40-43,,R. Hollis-Jefferson misses 2-pt shot from 9 ft
5:19.0,Defensive rebound by N. Vucevic,,40-43,,
5:10.0,N. Vucevic misses 2-pt shot from 8 ft,,40-43,,
5:07.0,,,40-43,,Defensive rebound by D. Russell
5:05.0,,,40-45,2,C. LeVert makes 2-pt shot from 3 ft (assist by D. Russell)
5:05.0,,,40-45,,Shooting foul by T. Ross (drawn by C. LeVert)
5:05.0,,,40-45,,C. LeVert misses free throw 1 of 1
5:00.0,Defensive rebound by A. Afflalo,,40-45,,
4:52.0,E. Payton misses 2-pt shot from 7 ft,,40-45,,
4:46.0,Offensive rebound by N. Vucevic,,40-45,,
4:46.0,N. Vucevic makes 2-pt shot at rim,2,42-45,,
4:32.0,,,42-47,2,D. Russell makes 2-pt shot from 15 ft
4:17.0,Turnover by E. Payton (bad pass),,42-47,,
4:17.0,,,42-47,,D. Carroll enters the game for C. LeVert
4:08.0,,,42-47,,R. Hollis-Jefferson misses 2-pt shot from 4 ft
4:05.0,Defensive rebound by N. Vucevic,,42-47,,
4:02.0,,,42-47,,Personal foul by J. Allen (drawn by N. Vucevic)
3:53.0,E. Fournier makes 3-pt shot from 22 ft (assist by N. Vucevic),3,45-47,,
3:40.0,,,45-49,2,D. Russell makes 2-pt shot from 15 ft
3:21.0,A. Afflalo misses 2-pt shot from 10 ft,,45-49,,
3:19.0,,,45-49,,Defensive rebound by A. Crabbe
3:14.0,,,45-49,,D. Carroll misses 2-pt shot from 2 ft (block by A. Afflalo)
3:10.0,Defensive rebound by E. Fournier,,45-49,,
3:06.0,T. Ross misses 3-pt shot from 24 ft,,45-49,,
3:06.0,,,45-49,,Defensive rebound by Team
3:06.0,Loose ball foul by A. Afflalo (drawn by D. Carroll),,45-49,,
3:06.0,,,45-50,1,D. Carroll makes free throw 1 of 2
