time,Houston,pts.away,score,pts.home,Portland
6:20.0,,,13-17,,J. Nurkic misses free throw 1 of 1
6:20.0,Defensive rebound by J. Harden,,13-17,,
6:06.0,T. Ariza misses 2-pt shot from 7 ft (block by J. Nurkic),,13-17,,
6:03.0,,,13-17,,Defensive rebound by C. McCollum
5:59.0,,,13-17,,Turnover by M. Harkless (bad pass; steal by L. Mbah a Moute)
5:51.0,J. Harden misses 2-pt shot from 3 ft (block by M. Harkless),,13-17,,
5:51.0,Offensive rebound by Team,,13-17,,
5:49.0,Shooting foul by M. Harkless (drawn by J. Harden),,13-17,,
5:49.0,J. Harden makes free throw 1 of 3,1,14-17,,
5:49.0,J. Harden makes free throw 2 of 3,1,15-17,,
5:49.0,J. Harden makes free throw 3 of 3,1,16-17,,
5:25.0,,,16-17,,C. McCollum misses 3-pt shot from 23 ft
5:22.0,Defensive rebound by C. Capela,,16-17,,
5:13.0,,,16-17,,Personal foul by A. Aminu (drawn by E. Gordon)
5:13.0,R. Anderson enters the game for T. Ariza,,16-17,,
5:13.0,J. Johnson enters the game for C. Capela,,16-17,,
4:58.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by J. Harden),2,18-17,,
4:42.0,,,18-17,,Turnover by J. Nurkic (lost ball; steal by L. Mbah a Moute)
4:37.0,Turnover by J. Harden (bad pass),,18-17,,
4:37.0,,,18-17,,P. Connaughton enters the game for C. McCollum
4:37.0,,,18-17,,E. Turner enters the game for M. Harkless
4:22.0,,,18-17,,Shooting foul by J. Harden (drawn by A. Aminu)
4:22.0,,,18-18,1,A. Aminu makes free throw 1 of 3
4:22.0,,,18-19,1,A. Aminu makes free throw 2 of 3
4:22.0,,,18-19,,E. Davis enters the game for J. Nurkic
4:22.0,,,18-19,,A. Aminu misses free throw 3 of 3
4:19.0,Defensive rebound by J. Harden,,18-19,,
4:11.0,Offensive foul by E. Gordon (drawn by A. Aminu),,18-19,,
4:11.0,Turnover by E. Gordon (offensive foul),,18-19,,
3:54.0,,,18-19,,D. Lillard misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by J. Johnson,,18-19,,
3:44.0,L. Mbah a Moute makes 2-pt shot at rim (assist by J. Harden),2,20-19,,
3:35.0,,,20-19,,D. Lillard misses 2-pt shot from 1 ft
3:32.0,Defensive rebound by J. Harden,,20-19,,
3:29.0,Turnover by J. Harden (bad pass; steal by P. Connaughton),,20-19,,
3:23.0,,,20-19,,E. Turner misses 2-pt shot from 14 ft
3:21.0,Defensive rebound by J. Harden,,20-19,,
3:00.0,J. Harden makes 2-pt shot from 1 ft,2,22-19,,
2:33.0,,,22-22,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard)
2:04.0,J. Harden misses 2-pt shot from 11 ft,,22-22,,
2:02.0,,,22-22,,Defensive rebound by E. Davis
1:55.0,,,22-22,,A. Aminu misses 3-pt shot from 22 ft
1:52.0,Defensive rebound by J. Johnson,,22-22,,
1:42.0,E. Gordon makes 2-pt shot from 1 ft (assist by J. Harden),2,24-22,,
1:21.0,,,24-25,3,A. Aminu makes 3-pt shot from 23 ft (assist by E. Turner)
1:20.0,Houston full timeout,,24-25,,
1:20.0,C. Paul enters the game for J. Harden,,24-25,,
1:10.0,L. Mbah a Moute misses 2-pt shot at rim,,24-25,,
1:08.0,,,24-25,,Defensive rebound by A. Aminu
1:02.0,,,24-27,2,A. Aminu makes 2-pt shot at rim (assist by E. Turner)
0:50.0,Shooting foul by P. Connaughton (drawn by E. Gordon),,24-27,,
0:50.0,E. Gordon makes free throw 1 of 2,1,25-27,,
0:50.0,,,25-27,,Z. Collins enters the game for A. Aminu
0:50.0,E. Gordon misses free throw 2 of 2,,25-27,,
0:48.0,,,25-27,,Defensive rebound by E. Davis
0:34.0,,,25-27,,Shooting foul by R. Anderson (drawn by D. Lillard)
0:34.0,,,25-28,1,D. Lillard makes free throw 1 of 2
0:34.0,,,25-29,1,D. Lillard makes free throw 2 of 2
0:27.0,C. Paul misses 3-pt shot from 26 ft,,25-29,,
0:25.0,,,25-29,,Defensive rebound by P. Connaughton
0:07.0,Personal foul by L. Mbah a Moute (drawn by D. Lillard),,25-29,,
0:07.0,,,25-30,1,D. Lillard makes free throw 1 of 2
0:07.0,,,25-30,,M. Harkless enters the game for E. Davis
0:07.0,,,25-31,1,D. Lillard makes free throw 2 of 2
0:03.0,,,25-31,,Personal foul by D. Lillard (drawn by C. Paul)
0:03.0,C. Paul makes free throw 1 of 2,1,26-31,,
0:03.0,,,26-31,,C. McCollum enters the game for M. Harkless
0:03.0,C. Paul makes free throw 2 of 2,1,27-31,,
0:03.0,,,27-31,,Turnover by P. Connaughton (bad pass)
0:03.0,,,27-31,,S. Napier enters the game for D. Lillard
0:00.0,C. Paul misses 3-pt shot from 29 ft,,27-31,,
0:00.0,Offensive rebound by Team,,27-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,R. Anderson makes 3-pt shot from 26 ft (assist by C. Paul),3,30-31,,
11:29.0,,,30-31,,Z. Collins misses 3-pt shot from 24 ft
11:27.0,,,30-31,,Offensive rebound by E. Davis
11:25.0,,,30-31,,E. Davis misses 2-pt shot from 1 ft
11:25.0,Defensive rebound by R. Anderson,,30-31,,
11:05.0,C. Paul makes 3-pt shot from 25 ft,3,33-31,,
10:51.0,Personal foul by R. Anderson (drawn by C. McCollum),,33-31,,
10:40.0,,,33-31,,C. McCollum misses 2-pt shot from 21 ft
10:40.0,,,33-31,,Offensive rebound by E. Davis
10:40.0,Personal foul by J. Johnson (drawn by E. Davis),,33-31,,
10:30.0,,,33-31,,Turnover by Z. Collins (out of bounds lost ball)
10:21.0,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by C. Paul),3,36-31,,
9:56.0,,,36-34,3,S. Napier makes 3-pt shot from 27 ft
9:30.0,E. Gordon makes 2-pt shot at rim,2,38-34,,
9:19.0,,,38-36,2,E. Turner makes 2-pt shot from 10 ft
9:00.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,38-36,,
8:59.0,,,38-36,,Defensive rebound by E. Davis
8:48.0,,,38-38,2,C. McCollum makes 2-pt shot from 11 ft
8:37.0,R. Anderson misses 3-pt shot from 28 ft,,38-38,,
8:34.0,Offensive rebound by C. Paul,,38-38,,
8:14.0,C. Paul misses 2-pt shot from 16 ft,,38-38,,
8:13.0,,,38-38,,Defensive rebound by E. Turner
8:05.0,,,38-38,,E. Turner misses 2-pt shot from 1 ft
8:04.0,,,38-38,,Offensive rebound by E. Turner
8:04.0,Personal foul by R. Anderson (drawn by E. Davis),,38-38,,
8:04.0,C. Capela enters the game for R. Anderson,,38-38,,
7:56.0,,,38-38,,S. Napier misses 2-pt shot from 22 ft
7:55.0,Defensive rebound by C. Paul,,38-38,,
7:41.0,E. Gordon misses 2-pt shot from 6 ft,,38-38,,
7:37.0,,,38-38,,Defensive rebound by E. Davis
7:27.0,,,38-40,2,C. McCollum makes 2-pt shot from 3 ft
7:09.0,E. Gordon misses 3-pt shot from 26 ft,,38-40,,
7:07.0,,,38-40,,Defensive rebound by Z. Collins
6:57.0,,,38-40,,Z. Collins misses 2-pt shot from 2 ft
6:55.0,Defensive rebound by L. Mbah a Moute,,38-40,,
6:50.0,C. Paul misses 3-pt shot from 24 ft,,38-40,,
6:50.0,,,38-40,,Defensive rebound by Z. Collins
6:38.0,,,38-40,,E. Turner misses 2-pt shot at rim
6:38.0,,,38-40,,Offensive rebound by E. Turner
6:38.0,,,38-42,2,E. Turner makes 2-pt shot at rim
6:38.0,Houston full timeout,,38-42,,
6:38.0,J. Harden enters the game for C. Paul,,38-42,,
6:38.0,T. Ariza enters the game for J. Johnson,,38-42,,
6:38.0,P. Tucker enters the game for L. Mbah a Moute,,38-42,,
6:22.0,J. Harden makes 2-pt shot from 1 ft,2,40-42,,
5:58.0,,,40-44,2,C. McCollum makes 2-pt shot from 19 ft
5:34.0,J. Harden makes 3-pt shot from 24 ft,3,43-44,,
5:04.0,,,43-44,,Turnover by E. Davis (turnover)
5:04.0,,,43-44,,D. Lillard enters the game for C. McCollum
5:04.0,,,43-44,,J. Nurkic enters the game for E. Davis
5:04.0,,,43-44,,M. Harkless enters the game for Z. Collins
4:42.0,J. Harden makes 2-pt shot at rim,2,45-44,,
4:20.0,,,45-44,,D. Lillard misses 3-pt shot from 32 ft
4:19.0,Defensive rebound by Team,,45-44,,
4:19.0,,,45-44,,A. Aminu enters the game for E. Turner
3:54.0,Turnover by J. Harden (lost ball; steal by J. Nurkic),,45-44,,
3:51.0,,,45-46,2,M. Harkless makes 2-pt shot at rim (assist by D. Lillard)
3:25.0,J. Harden misses 2-pt shot from 13 ft,,45-46,,
3:23.0,Offensive rebound by C. Capela,,45-46,,
3:12.0,J. Harden misses 2-pt shot from 2 ft,,45-46,,
3:10.0,,,45-46,,Defensive rebound by J. Nurkic
3:02.0,,,45-48,2,J. Nurkic makes 2-pt shot from 3 ft (assist by A. Aminu)
2:38.0,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden),3,48-48,,
2:28.0,,,48-50,2,D. Lillard makes 2-pt shot from 1 ft
2:19.0,Shooting foul by J. Nurkic (drawn by T. Ariza),,48-50,,
2:19.0,,,48-50,,Portland full timeout
2:19.0,C. Paul enters the game for C. Capela,,48-50,,
2:19.0,T. Ariza misses free throw 1 of 2,,48-50,,
2:19.0,Offensive rebound by Team,,48-50,,
2:19.0,T. Ariza makes free throw 2 of 2,1,49-50,,
2:01.0,,,49-52,2,J. Nurkic makes 2-pt shot from 1 ft
1:41.0,C. Paul makes 3-pt shot from 23 ft,3,52-52,,
1:29.0,,,52-54,2,D. Lillard makes 2-pt shot at rim
1:18.0,P. Tucker misses 3-pt shot from 24 ft,,52-54,,
1:15.0,,,52-54,,Defensive rebound by A. Aminu
1:04.0,,,52-54,,A. Aminu misses 2-pt shot from 6 ft
1:03.0,Defensive rebound by E. Gordon,,52-54,,
0:49.0,E. Gordon makes 3-pt shot from 24 ft (assist by T. Ariza),3,55-54,,
0:31.0,,,55-54,,D. Lillard misses 2-pt shot from 1 ft
0:30.0,Defensive rebound by C. Paul,,55-54,,
0:24.0,C. Paul misses 2-pt shot from 3 ft,,55-54,,
0:23.0,,,55-54,,Defensive rebound by J. Nurkic
0:06.0,Personal take foul by E. Gordon (drawn by D. Lillard),,55-54,,
0:06.0,,,55-54,,C. McCollum enters the game for J. Nurkic
0:04.0,,,55-54,,Shooting foul by C. Paul (drawn by M. Harkless)
0:04.0,,,55-55,1,M. Harkless makes free throw 1 of 2
0:04.0,,,55-55,,P. Connaughton enters the game for D. Lillard
0:04.0,,,55-55,,M. Harkless misses free throw 2 of 2
0:02.0,Defensive rebound by E. Gordon,,55-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,C. Capela misses 2-pt shot from 2 ft (block by J. Nurkic),,55-55,,
11:33.0,,,55-55,,Defensive rebound by A. Aminu
11:23.0,,,55-55,,C. McCollum misses 2-pt shot from 19 ft
11:21.0,Defensive rebound by J. Harden,,55-55,,
11:14.0,J. Harden makes 3-pt shot from 24 ft,3,58-55,,
10:50.0,,,58-57,2,J. Nurkic makes 2-pt shot from 2 ft (assist by C. McCollum)
10:50.0,,,58-57,,Shooting foul by J. Harden (drawn by J. Nurkic)
10:50.0,,,58-58,1,J. Nurkic makes free throw 1 of 1
10:37.0,Shooting foul by A. Aminu (drawn by J. Harden),,58-58,,
10:37.0,J. Harden makes free throw 1 of 2,1,59-58,,
10:37.0,J. Harden makes free throw 2 of 2,1,60-58,,
10:26.0,,,60-58,,D. Lillard misses 2-pt shot from 15 ft
10:23.0,Defensive rebound by C. Capela,,60-58,,
10:16.0,,,60-58,,Def 3 sec tech foul by J. Nurkic
10:16.0,J. Harden makes technical free throw,1,61-58,,
10:03.0,J. Harden makes 2-pt shot at rim,2,63-58,,
10:03.0,Shooting foul by D. Lillard (drawn by J. Harden),,63-58,,
10:03.0,J. Harden makes free throw 1 of 1,1,64-58,,
9:45.0,,,64-60,2,J. Nurkic makes 2-pt shot at rim (assist by A. Aminu)
9:27.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,66-60,,
9:27.0,Shooting foul by J. Nurkic (drawn by C. Capela),,66-60,,
9:27.0,C. Capela misses free throw 1 of 1,,66-60,,
9:27.0,,,66-60,,Defensive rebound by J. Nurkic
9:12.0,,,66-63,3,A. Aminu makes 3-pt shot from 23 ft (assist by J. Nurkic)
8:46.0,J. Harden misses 2-pt shot from 1 ft,,66-63,,
8:44.0,Offensive rebound by C. Paul,,66-63,,
8:42.0,C. Paul misses 3-pt shot from 25 ft,,66-63,,
8:40.0,,,66-63,,Defensive rebound by D. Lillard
8:31.0,,,66-63,,Shooting foul by C. Capela (drawn by M. Harkless)
8:31.0,,,66-63,,M. Harkless misses free throw 1 of 2
8:31.0,,,66-63,,Offensive rebound by Team
8:31.0,,,66-64,1,M. Harkless makes free throw 2 of 2
8:31.0,Turnover by C. Capela (turnover),,66-64,,
8:24.0,,,66-64,,C. McCollum misses 3-pt shot from 24 ft
8:20.0,Defensive rebound by P. Tucker,,66-64,,
8:10.0,J. Harden makes 2-pt shot from 1 ft,2,68-64,,
8:10.0,Shooting foul by M. Harkless (drawn by J. Harden),,68-64,,
8:10.0,J. Harden misses free throw 1 of 1,,68-64,,
8:10.0,,,68-64,,Defensive rebound by A. Aminu
7:57.0,,,68-67,3,M. Harkless makes 3-pt shot from 22 ft (assist by D. Lillard)
7:44.0,T. Ariza misses 3-pt shot from 24 ft,,68-67,,
7:41.0,,,68-67,,Defensive rebound by C. McCollum
7:31.0,,,68-67,,C. McCollum misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by P. Tucker,,68-67,,
7:26.0,Shooting foul by C. McCollum (drawn by C. Capela),,68-67,,
7:26.0,C. Capela makes free throw 1 of 2,1,69-67,,
7:26.0,E. Gordon enters the game for C. Paul,,69-67,,
7:26.0,L. Mbah a Moute enters the game for P. Tucker,,69-67,,
7:26.0,C. Capela misses free throw 2 of 2,,69-67,,
7:23.0,,,69-67,,Defensive rebound by A. Aminu
7:16.0,Personal foul by C. Capela (drawn by J. Nurkic),,69-67,,
7:11.0,,,69-67,,D. Lillard misses 3-pt shot from 29 ft
7:08.0,Defensive rebound by J. Harden,,69-67,,
7:00.0,T. Ariza misses 2-pt shot from 1 ft,,69-67,,
6:58.0,Offensive rebound by T. Ariza,,69-67,,
6:57.0,T. Ariza misses 2-pt shot from 2 ft (block by A. Aminu),,69-67,,
6:57.0,Offensive rebound by Team,,69-67,,
6:57.0,,,69-67,,Portland full timeout
6:49.0,E. Gordon misses 2-pt shot from 2 ft,,69-67,,
6:47.0,Offensive rebound by E. Gordon,,69-67,,
6:43.0,E. Gordon misses 3-pt shot from 23 ft,,69-67,,
6:40.0,,,69-67,,Defensive rebound by J. Nurkic
6:33.0,,,69-67,,C. McCollum misses 2-pt shot from 2 ft
6:32.0,Defensive rebound by C. Capela,,69-67,,
6:21.0,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden),2,71-67,,
6:01.0,Personal foul by L. Mbah a Moute (drawn by J. Nurkic),,71-67,,
5:51.0,,,71-70,3,A. Aminu makes 3-pt shot from 22 ft (assist by J. Nurkic)
5:27.0,J. Harden makes 2-pt shot from 1 ft,2,73-70,,
5:13.0,Personal foul by E. Gordon (drawn by J. Nurkic),,73-70,,
5:13.0,,,73-71,1,J. Nurkic makes free throw 1 of 2
5:13.0,,,73-71,,J. Nurkic misses free throw 2 of 2
5:11.0,,,73-71,,Offensive rebound by A. Aminu
5:05.0,,,73-74,3,M. Harkless makes 3-pt shot from 23 ft (assist by D. Lillard)
4:47.0,J. Harden misses 2-pt shot from 2 ft (block by M. Harkless),,73-74,,
4:47.0,Offensive rebound by Team,,73-74,,
4:37.0,J. Harden misses 3-pt shot from 24 ft,,73-74,,
4:36.0,,,73-74,,Defensive rebound by D. Lillard
4:32.0,,,73-74,,D. Lillard misses 3-pt shot from 30 ft
4:31.0,,,73-74,,Offensive rebound by Team
4:31.0,Loose ball foul by C. Capela (drawn by J. Nurkic),,73-74,,
4:31.0,,,73-74,,J. Nurkic misses free throw 1 of 2
4:31.0,,,73-74,,Offensive rebound by Team
4:31.0,J. Johnson enters the game for T. Ariza,,73-74,,
4:31.0,P. Tucker enters the game for C. Capela,,73-74,,
4:31.0,,,73-75,1,J. Nurkic makes free throw 2 of 2
4:21.0,E. Gordon misses 3-pt shot from 25 ft,,73-75,,
4:19.0,,,73-75,,Defensive rebound by J. Nurkic
4:14.0,,,73-75,,P. Connaughton enters the game for C. McCollum
4:08.0,,,73-75,,J. Nurkic misses 2-pt shot from 6 ft
4:08.0,Defensive rebound by Team,,73-75,,
4:08.0,,,73-75,,Loose ball foul by J. Nurkic (drawn by J. Harden)
4:08.0,J. Harden makes free throw 1 of 2,1,74-75,,
4:08.0,,,74-75,,E. Davis enters the game for J. Nurkic
4:08.0,G. Green enters the game for P. Tucker,,74-75,,
4:08.0,J. Harden misses free throw 2 of 2,,74-75,,
4:06.0,,,74-75,,Defensive rebound by E. Davis
3:44.0,,,74-77,2,E. Davis makes 2-pt shot from 2 ft (assist by D. Lillard)
3:30.0,J. Johnson misses 2-pt shot from 6 ft,,74-77,,
3:27.0,,,74-77,,Defensive rebound by M. Harkless
3:15.0,,,74-77,,Shooting foul by J. Johnson (drawn by D. Lillard)
3:15.0,,,74-78,1,D. Lillard makes free throw 1 of 3
3:15.0,,,74-79,1,D. Lillard makes free throw 2 of 3
3:15.0,,,74-79,,E. Turner enters the game for M. Harkless
3:15.0,Houston full timeout,,74-79,,
3:15.0,C. Paul enters the game for J. Harden,,74-79,,
3:15.0,,,74-80,1,D. Lillard makes free throw 3 of 3
2:53.0,E. Gordon makes 2-pt shot from 1 ft,2,76-80,,
2:33.0,,,76-83,3,P. Connaughton makes 3-pt shot from 26 ft (assist by D. Lillard)
2:15.0,E. Gordon misses 3-pt shot from 26 ft,,76-83,,
2:14.0,,,76-83,,Defensive rebound by A. Aminu
2:07.0,,,76-83,,Turnover by D. Lillard (lost ball; steal by J. Johnson)
2:00.0,G. Green makes 3-pt shot from 23 ft (assist by J. Johnson),3,79-83,,
1:37.0,,,79-83,,D. Lillard misses 2-pt shot from 5 ft
1:33.0,Defensive rebound by L. Mbah a Moute,,79-83,,
1:23.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by C. Paul),3,82-83,,
1:01.0,,,82-83,,P. Connaughton misses 2-pt shot from 1 ft
1:00.0,Defensive rebound by C. Paul,,82-83,,
1:00.0,,,82-83,,Personal foul by A. Aminu (drawn by C. Paul)
1:00.0,C. Paul misses free throw 1 of 2,,82-83,,
1:00.0,Offensive rebound by Team,,82-83,,
1:00.0,,,82-83,,Z. Collins enters the game for A. Aminu
1:00.0,C. Paul makes free throw 2 of 2,1,83-83,,
0:52.0,,,83-85,2,Z. Collins makes 2-pt shot from 1 ft (assist by E. Turner)
0:41.0,C. Paul makes 3-pt shot from 25 ft,3,86-85,,
0:26.0,,,86-85,,E. Turner misses 3-pt shot from 23 ft
0:24.0,,,86-85,,Offensive rebound by E. Davis
0:03.0,,,86-87,2,E. Turner makes 2-pt shot from 4 ft
0:00.0,G. Green misses 3-pt shot from 31 ft,,86-87,,
0:00.0,Offensive rebound by Team,,86-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,86-87,,E. Turner misses 2-pt shot from 20 ft
11:33.0,Defensive rebound by C. Paul,,86-87,,
11:28.0,C. Paul makes 3-pt shot from 25 ft (assist by L. Mbah a Moute),3,89-87,,
11:07.0,,,89-89,2,E. Turner makes 2-pt shot from 8 ft (assist by C. McCollum)
10:46.0,E. Gordon makes 3-pt shot from 24 ft (assist by C. Paul),3,92-89,,
10:16.0,,,92-89,,Z. Collins misses 2-pt shot from 9 ft (block by P. Tucker)
10:13.0,,,92-89,,Offensive rebound by Z. Collins
10:12.0,,,92-91,2,Z. Collins makes 2-pt shot from 13 ft
9:52.0,C. Paul makes 3-pt shot from 25 ft,3,95-91,,
9:32.0,,,95-91,,C. McCollum misses 2-pt shot from 16 ft
9:30.0,Defensive rebound by L. Mbah a Moute,,95-91,,
9:15.0,E. Gordon misses 3-pt shot from 25 ft,,95-91,,
9:13.0,,,95-91,,Defensive rebound by E. Davis
9:06.0,,,95-93,2,E. Turner makes 2-pt shot from 15 ft
8:36.0,Turnover by E. Gordon (lost ball; steal by S. Napier),,95-93,,
8:34.0,Personal take foul by C. Paul (drawn by S. Napier),,95-93,,
8:23.0,,,95-93,,Turnover by Z. Collins (bad pass)
8:09.0,C. Paul misses 3-pt shot from 24 ft,,95-93,,
8:06.0,,,95-93,,Defensive rebound by S. Napier
7:59.0,,,95-93,,S. Napier misses 2-pt shot from 1 ft
7:59.0,,,95-93,,Offensive rebound by E. Davis
7:59.0,,,95-93,,Shooting foul by E. Gordon (drawn by E. Davis)
7:59.0,,,95-94,1,E. Davis makes free throw 1 of 1
7:59.0,,,95-94,,E. Davis misses free throw 2 of 2
7:59.0,Defensive rebound by G. Green,,95-94,,
7:59.0,,,95-94,,M. Harkless enters the game for E. Turner
7:59.0,,,95-94,,A. Aminu enters the game for Z. Collins
7:39.0,E. Gordon makes 2-pt shot from 2 ft (assist by C. Paul),2,97-94,,
7:15.0,,,97-94,,S. Napier misses 3-pt shot from 24 ft
7:12.0,Defensive rebound by L. Mbah a Moute,,97-94,,
7:07.0,L. Mbah a Moute makes 2-pt shot from 1 ft,2,99-94,,
7:07.0,Shooting foul by A. Aminu (drawn by L. Mbah a Moute),,99-94,,
7:07.0,,,99-94,,D. Lillard enters the game for S. Napier
7:07.0,L. Mbah a Moute makes free throw 1 of 1,1,100-94,,
6:46.0,,,100-94,,D. Lillard misses 3-pt shot from 27 ft
6:44.0,Defensive rebound by Team,,100-94,,
6:44.0,,,100-94,,Portland full timeout
6:44.0,,,100-94,,J. Nurkic enters the game for E. Davis
6:44.0,T. Ariza enters the game for C. Paul,,100-94,,
6:44.0,J. Harden enters the game for G. Green,,100-94,,
6:30.0,Turnover by L. Mbah a Moute (bad pass; steal by A. Aminu),,100-94,,
6:16.0,,,100-96,2,J. Nurkic makes 2-pt shot from 1 ft
5:53.0,T. Ariza misses 3-pt shot from 25 ft,,100-96,,
5:50.0,,,100-96,,Defensive rebound by A. Aminu
5:33.0,,,100-98,2,J. Nurkic makes 2-pt shot from 3 ft
5:17.0,Shooting foul by J. Nurkic (drawn by J. Harden),,100-98,,
5:17.0,J. Harden misses free throw 1 of 2,,100-98,,
5:17.0,Offensive rebound by Team,,100-98,,
5:17.0,G. Green enters the game for L. Mbah a Moute,,100-98,,
5:17.0,J. Harden makes free throw 2 of 2,1,101-98,,
5:00.0,,,101-100,2,D. Lillard makes 2-pt shot from 2 ft
4:48.0,P. Tucker makes 3-pt shot from 22 ft (assist by T. Ariza),3,104-100,,
4:22.0,,,104-100,,C. McCollum misses 3-pt shot from 29 ft (block by G. Green)
4:18.0,Defensive rebound by E. Gordon,,104-100,,
4:04.0,Turnover by E. Gordon (lost ball; steal by D. Lillard),,104-100,,
4:04.0,Personal foul by E. Gordon (drawn by D. Lillard),,104-100,,
4:04.0,Houston full timeout,,104-100,,
4:04.0,C. Paul enters the game for E. Gordon,,104-100,,
4:04.0,C. Capela enters the game for G. Green,,104-100,,
3:49.0,,,104-102,2,M. Harkless makes 2-pt shot at rim (assist by J. Nurkic)
3:21.0,J. Harden makes 3-pt shot from 24 ft,3,107-102,,
3:09.0,,,107-102,,D. Lillard misses 2-pt shot from 2 ft (block by P. Tucker)
3:07.0,Defensive rebound by C. Capela,,107-102,,
2:43.0,J. Harden misses 2-pt shot at rim,,107-102,,
2:42.0,Offensive rebound by P. Tucker,,107-102,,
2:39.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,110-102,,
2:18.0,,,110-104,2,J. Nurkic makes 2-pt shot from 1 ft
1:55.0,J. Harden makes 3-pt shot from 24 ft,3,113-104,,
1:45.0,Personal foul by J. Harden (drawn by J. Nurkic),,113-104,,
1:39.0,,,113-104,,Shooting foul by C. Capela (drawn by D. Lillard)
1:39.0,,,113-105,1,D. Lillard makes free throw 1 of 3
