time,Houston,pts.away,score,pts.home,Memphis
4:33.0,,,22-13,,C. Parsons enters the game for J. Martin
4:33.0,,,22-13,,D. Brooks enters the game for A. Harrison
4:33.0,B. Brown enters the game for R. Anderson,,22-13,,
4:33.0,J. Harden makes free throw 1 of 1,1,23-13,,
4:16.0,,,23-15,2,C. Parsons makes 2-pt shot from 21 ft (assist by M. Gasol)
4:07.0,T. Ariza misses 3-pt shot from 26 ft,,23-15,,
4:07.0,,,23-15,,Defensive rebound by M. Conley
3:53.0,,,23-17,2,C. Parsons makes 2-pt shot from 19 ft
3:40.0,Shooting foul by D. Brooks (drawn by J. Harden),,23-17,,
3:40.0,J. Harden misses free throw 1 of 3,,23-17,,
3:40.0,Offensive rebound by Team,,23-17,,
3:40.0,J. Harden makes free throw 2 of 3,1,24-17,,
3:40.0,,,24-17,,M. Chalmers enters the game for M. Conley
3:40.0,J. Harden makes free throw 3 of 3,1,25-17,,
3:20.0,,,25-20,3,C. Parsons makes 3-pt shot from 22 ft (assist by M. Gasol)
3:01.0,Offensive foul by N. Hilario (drawn by C. Parsons),,25-20,,
3:01.0,Turnover by N. Hilario (offensive foul),,25-20,,
2:45.0,,,25-20,,M. Gasol misses 3-pt shot from 27 ft
2:45.0,Defensive rebound by T. Ariza,,25-20,,
2:32.0,N. Hilario makes 2-pt shot at rim (assist by J. Harden),2,27-20,,
2:19.0,,,27-23,3,C. Parsons makes 3-pt shot from 26 ft (assist by T. Evans)
2:00.0,N. Hilario misses 2-pt shot from 16 ft,,27-23,,
1:58.0,,,27-23,,Defensive rebound by C. Parsons
1:45.0,,,27-26,3,T. Evans makes 3-pt shot from 25 ft
1:44.0,Houston full timeout,,27-26,,
1:44.0,,,27-26,,B. Wright enters the game for M. Gasol
1:44.0,L. Mbah a Moute enters the game for T. Ariza,,27-26,,
1:30.0,B. Brown misses 3-pt shot from 26 ft,,27-26,,
1:26.0,,,27-26,,Defensive rebound by D. Brooks
1:09.0,,,27-28,2,T. Evans makes 2-pt shot from 1 ft
0:59.0,N. Hilario makes 2-pt shot at rim (assist by J. Harden),2,29-28,,
0:48.0,,,29-28,,T. Evans misses 2-pt shot from 15 ft
0:44.0,Defensive rebound by J. Harden,,29-28,,
0:30.0,J. Harden makes 3-pt shot from 25 ft,3,32-28,,
0:10.0,,,32-28,,Shooting foul by P. Tucker (drawn by T. Evans)
0:10.0,,,32-29,1,T. Evans makes free throw 1 of 2
0:10.0,,,32-30,1,T. Evans makes free throw 2 of 2
0:00.0,J. Harden misses 3-pt shot from 25 ft,,32-30,,
0:00.0,Offensive rebound by Team,,32-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,R. Anderson makes 3-pt shot from 25 ft (assist by L. Mbah a Moute),3,35-30,,
11:18.0,,,35-32,2,M. Chalmers makes 2-pt shot from 1 ft
11:18.0,,,35-32,,Shooting foul by B. Brown (drawn by M. Chalmers)
11:18.0,,,35-33,1,M. Chalmers makes free throw 1 of 1
11:09.0,Turnover by P. Tucker (bad pass; steal by T. Evans),,35-33,,
11:09.0,,,35-33,,Turnover by T. Evans (bad pass)
11:02.0,B. Brown makes 2-pt shot from 1 ft,2,37-33,,
10:51.0,,,37-33,,C. Parsons misses 3-pt shot from 27 ft
10:51.0,Defensive rebound by R. Anderson,,37-33,,
10:36.0,B. Brown misses 3-pt shot from 26 ft,,37-33,,
10:36.0,,,37-33,,Defensive rebound by Team
10:24.0,,,37-33,,D. Brooks misses 3-pt shot from 24 ft
10:20.0,Defensive rebound by C. Capela,,37-33,,
10:12.0,Shooting foul by B. Wright (drawn by C. Capela),,37-33,,
10:12.0,C. Capela makes free throw 1 of 2,1,38-33,,
10:12.0,,,38-33,,J. Ennis enters the game for C. Parsons
10:12.0,C. Capela makes free throw 2 of 2,1,39-33,,
9:54.0,,,39-33,,T. Evans misses 2-pt shot from 2 ft
9:51.0,,,39-33,,Offensive rebound by B. Wright
9:51.0,,,39-33,,B. Wright misses 2-pt shot at rim
9:48.0,,,39-33,,Offensive rebound by T. Evans
9:48.0,,,39-33,,T. Evans misses 2-pt shot at rim
9:47.0,Defensive rebound by C. Capela,,39-33,,
9:42.0,L. Mbah a Moute misses 2-pt shot at rim (block by B. Wright),,39-33,,
9:38.0,Offensive rebound by C. Capela,,39-33,,
9:35.0,P. Tucker misses 3-pt shot from 22 ft,,39-33,,
9:32.0,,,39-33,,Defensive rebound by T. Evans
9:29.0,,,39-33,,M. Chalmers misses 2-pt shot at rim
9:29.0,Defensive rebound by Team,,39-33,,
9:29.0,,,39-33,,Loose ball foul by B. Wright (drawn by P. Tucker)
9:15.0,Turnover by P. Tucker (bad pass; steal by D. Brooks),,39-33,,
9:07.0,,,39-33,,M. Chalmers misses 2-pt shot from 1 ft
9:04.0,Defensive rebound by C. Capela,,39-33,,
9:00.0,B. Brown misses 2-pt shot from 1 ft,,39-33,,
8:56.0,,,39-33,,Defensive rebound by B. Wright
8:54.0,,,39-36,3,D. Brooks makes 3-pt shot from 25 ft (assist by M. Chalmers)
8:40.0,Offensive charge foul by C. Capela (drawn by M. Chalmers),,39-36,,
8:40.0,Turnover by C. Capela (offensive foul),,39-36,,
8:40.0,T. Ariza enters the game for C. Capela,,39-36,,
8:28.0,,,39-38,2,B. Wright makes 2-pt shot from 1 ft (assist by T. Evans)
8:12.0,Turnover by T. Ariza (bad pass),,39-38,,
7:59.0,,,39-38,,T. Evans misses 3-pt shot from 26 ft
7:54.0,Defensive rebound by T. Ariza,,39-38,,
7:50.0,R. Anderson misses 3-pt shot from 26 ft,,39-38,,
7:48.0,Offensive rebound by P. Tucker,,39-38,,
7:48.0,Shooting foul by D. Brooks (drawn by P. Tucker),,39-38,,
7:48.0,P. Tucker misses free throw 1 of 2,,39-38,,
7:48.0,Offensive rebound by Team,,39-38,,
7:48.0,,,39-38,,J. Martin enters the game for D. Brooks
7:48.0,P. Tucker makes free throw 2 of 2,1,40-38,,
7:48.0,J. Harden enters the game for C. Capela,,40-38,,
7:48.0,J. Harden enters the game for B. Brown,,40-38,,
7:48.0,T. Ariza enters the game for B. Brown,,40-38,,
7:30.0,,,40-41,3,M. Chalmers makes 3-pt shot from 26 ft (assist by T. Evans)
7:14.0,,,40-41,,M. Conley enters the game for T. Evans
7:14.0,,,40-41,,M. Gasol enters the game for B. Wright
7:14.0,Houston full timeout,,40-41,,
7:03.0,J. Harden misses 3-pt shot from 25 ft,,40-41,,
7:03.0,,,40-41,,Defensive rebound by Team
6:43.0,,,40-41,,M. Gasol misses 2-pt shot from 11 ft
6:40.0,Defensive rebound by T. Ariza,,40-41,,
6:37.0,R. Anderson misses 3-pt shot from 26 ft,,40-41,,
6:33.0,,,40-41,,Defensive rebound by M. Conley
6:29.0,Personal foul by R. Anderson (drawn by M. Gasol),,40-41,,
6:15.0,,,40-41,,J. Martin misses 3-pt shot from 25 ft
6:13.0,Defensive rebound by T. Ariza,,40-41,,
6:08.0,Turnover by T. Ariza (lost ball; steal by M. Chalmers),,40-41,,
6:03.0,,,40-43,2,J. Martin makes 2-pt shot from 1 ft (assist by M. Conley)
5:41.0,J. Harden misses 2-pt shot at rim,,40-43,,
5:38.0,,,40-43,,Defensive rebound by J. Ennis
5:35.0,,,40-43,,M. Chalmers misses 3-pt shot from 25 ft
5:29.0,,,40-43,,Offensive rebound by J. Martin
5:29.0,,,40-45,2,J. Martin makes 2-pt shot at rim
5:23.0,,,40-45,,Personal foul by J. Ennis (drawn by J. Harden)
5:23.0,N. Hilario enters the game for P. Tucker,,40-45,,
5:12.0,J. Harden misses 2-pt shot from 12 ft,,40-45,,
5:09.0,,,40-45,,Defensive rebound by M. Gasol
4:48.0,,,40-45,,M. Chalmers misses 3-pt shot from 25 ft
4:44.0,Defensive rebound by J. Harden,,40-45,,
4:29.0,Offensive charge foul by R. Anderson (drawn by M. Chalmers),,40-45,,
4:29.0,Turnover by R. Anderson (offensive foul),,40-45,,
4:11.0,,,40-47,2,M. Conley makes 2-pt shot from 2 ft
3:53.0,,,40-47,,Personal foul by J. Martin (drawn by J. Harden)
3:53.0,J. Harden makes free throw 1 of 2,1,41-47,,
3:53.0,,,41-47,,T. Evans enters the game for M. Chalmers
3:53.0,J. Harden makes free throw 2 of 2,1,42-47,,
3:39.0,,,42-47,,Turnover by M. Gasol (palming)
3:26.0,T. Ariza misses 2-pt shot from 1 ft,,42-47,,
3:22.0,,,42-47,,Defensive rebound by M. Gasol
3:16.0,,,42-49,2,M. Conley makes 2-pt shot at rim (assist by M. Gasol)
3:05.0,Offensive foul by N. Hilario (drawn by M. Conley),,42-49,,
3:05.0,Turnover by N. Hilario (offensive foul),,42-49,,
3:05.0,P. Tucker enters the game for N. Hilario,,42-49,,
2:52.0,Personal foul by T. Ariza (drawn by M. Gasol),,42-49,,
2:52.0,,,42-49,,Memphis full timeout
2:42.0,,,42-51,2,J. Ennis makes 2-pt shot from 1 ft (assist by M. Gasol)
2:14.0,L. Mbah a Moute misses 2-pt shot from 1 ft (block by M. Conley),,42-51,,
2:14.0,Offensive rebound by Team,,42-51,,
2:12.0,P. Tucker makes 2-pt shot at rim (assist by L. Mbah a Moute),2,44-51,,
1:52.0,,,44-51,,M. Conley misses 3-pt shot from 24 ft
1:49.0,Defensive rebound by T. Ariza,,44-51,,
1:43.0,R. Anderson makes 3-pt shot from 22 ft (assist by J. Harden),3,47-51,,
1:19.0,,,47-51,,T. Evans misses 2-pt shot at rim
1:16.0,Defensive rebound by L. Mbah a Moute,,47-51,,
1:10.0,Offensive foul by L. Mbah a Moute (drawn by J. Ennis),,47-51,,
1:10.0,Turnover by L. Mbah a Moute (offensive foul),,47-51,,
1:10.0,,,47-51,,C. Parsons enters the game for J. Martin
0:57.0,,,47-54,3,J. Ennis makes 3-pt shot from 23 ft (assist by M. Conley)
0:36.0,P. Tucker misses 3-pt shot from 24 ft,,47-54,,
0:35.0,,,47-54,,Defensive rebound by Team
0:24.0,,,47-54,,Turnover by M. Gasol (lost ball; steal by J. Harden)
0:19.0,J. Harden makes 2-pt shot from 1 ft,2,49-54,,
0:03.0,Personal take foul by T. Ariza (drawn by T. Evans),,49-54,,
0:00.0,,,49-54,,M. Conley misses 2-pt shot from 15 ft
0:00.0,,,49-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,Turnover by Team (shot clock),,49-54,,
11:20.0,,,49-54,,Turnover by J. Martin (bad pass)
10:56.0,C. Capela misses 3-pt shot from 25 ft (block by M. Gasol),,49-54,,
10:53.0,,,49-54,,Defensive rebound by M. Conley
10:46.0,,,49-54,,M. Conley misses 2-pt shot from 5 ft
10:42.0,Defensive rebound by C. Capela,,49-54,,
10:37.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,52-54,,
10:37.0,Shooting foul by M. Conley (drawn by T. Ariza),,52-54,,
10:37.0,T. Ariza makes free throw 1 of 1,1,53-54,,
10:25.0,Personal foul by L. Mbah a Moute (drawn by M. Conley),,53-54,,
10:12.0,,,53-54,,J. Ennis misses 3-pt shot from 25 ft
10:10.0,Defensive rebound by Team,,53-54,,
10:10.0,,,53-54,,Loose ball foul by J. Martin (drawn by L. Mbah a Moute)
9:51.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,53-54,,
9:49.0,,,53-54,,Defensive rebound by M. Gasol
9:45.0,,,53-54,,A. Harrison misses 2-pt shot from 1 ft
9:41.0,,,53-54,,Offensive rebound by J. Ennis
9:41.0,,,53-54,,J. Ennis misses 2-pt shot at rim
9:39.0,,,53-54,,Offensive rebound by J. Ennis
9:39.0,,,53-54,,J. Ennis misses 2-pt shot at rim
9:38.0,Defensive rebound by R. Anderson,,53-54,,
9:32.0,C. Capela misses 2-pt shot at rim (block by M. Gasol),,53-54,,
9:32.0,Offensive rebound by C. Capela,,53-54,,
9:26.0,C. Capela makes 2-pt shot at rim,2,55-54,,
9:11.0,,,55-54,,A. Harrison misses 2-pt shot from 1 ft (block by C. Capela)
9:08.0,Defensive rebound by R. Anderson,,55-54,,
9:02.0,R. Anderson makes 3-pt shot from 27 ft (assist by T. Ariza),3,58-54,,
8:37.0,,,58-54,,M. Conley misses 2-pt shot from 1 ft
8:33.0,Defensive rebound by L. Mbah a Moute,,58-54,,
8:29.0,Turnover by J. Harden (bad pass; steal by J. Martin),,58-54,,
8:25.0,,,58-56,2,A. Harrison makes 2-pt shot at rim (assist by J. Martin)
8:10.0,,,58-56,,Personal foul by A. Harrison (drawn by J. Harden)
8:10.0,,,58-56,,D. Brooks enters the game for A. Harrison
7:59.0,J. Harden misses 3-pt shot from 25 ft,,58-56,,
7:57.0,,,58-56,,Defensive rebound by J. Martin
7:46.0,,,58-56,,M. Gasol misses 2-pt shot from 13 ft
7:44.0,Defensive rebound by J. Harden,,58-56,,
7:38.0,Offensive charge foul by T. Ariza (drawn by J. Martin),,58-56,,
7:38.0,Turnover by T. Ariza (offensive foul),,58-56,,
7:23.0,,,58-58,2,J. Martin makes 2-pt shot from 19 ft (assist by D. Brooks)
7:10.0,Turnover by J. Harden (bad pass; steal by J. Martin),,58-58,,
6:59.0,,,58-58,,Shooting foul by R. Anderson (drawn by J. Martin)
6:59.0,,,58-59,1,J. Martin makes free throw 2 of 2
6:59.0,,,58-59,,J. Martin misses free throw 1 of 2
6:59.0,,,58-59,,Offensive rebound by Team
6:59.0,,,58-59,,Memphis full timeout
6:59.0,P. Tucker enters the game for L. Mbah a Moute,,58-59,,
6:39.0,R. Anderson misses 2-pt shot at rim,,58-59,,
6:39.0,,,58-59,,Defensive rebound by M. Gasol
6:39.0,,,58-59,,Offensive foul by J. Martin (drawn by T. Ariza)
6:39.0,,,58-59,,Turnover by J. Martin (offensive foul)
6:39.0,,,58-59,,C. Parsons enters the game for J. Martin
6:39.0,B. Brown enters the game for R. Anderson,,58-59,,
6:29.0,J. Harden misses 2-pt shot at rim,,58-59,,
6:26.0,,,58-59,,Defensive rebound by D. Brooks
6:22.0,,,58-62,3,C. Parsons makes 3-pt shot from 26 ft (assist by D. Brooks)
6:05.0,J. Harden makes 2-pt shot at rim,2,60-62,,
5:54.0,,,60-62,,Turnover by M. Gasol (lost ball; steal by J. Harden)
5:36.0,J. Harden makes 3-pt shot from 25 ft (assist by T. Ariza),3,63-62,,
5:20.0,,,63-62,,M. Gasol misses 3-pt shot from 27 ft
5:18.0,Defensive rebound by P. Tucker,,63-62,,
5:06.0,Turnover by C. Capela (lost ball; steal by C. Parsons),,63-62,,
5:01.0,,,63-65,3,C. Parsons makes 3-pt shot from 25 ft (assist by J. Ennis)
4:32.0,Turnover by J. Harden (bad pass; steal by M. Gasol),,63-65,,
4:28.0,,,63-65,,J. Ennis misses 2-pt shot from 1 ft
4:28.0,,,63-65,,Offensive rebound by J. Ennis
4:28.0,Personal foul by J. Harden (drawn by J. Ennis),,63-65,,
4:28.0,,,63-65,,M. Chalmers enters the game for M. Conley
4:28.0,N. Hilario enters the game for C. Capela,,63-65,,
4:18.0,,,63-68,3,C. Parsons makes 3-pt shot from 29 ft (assist by M. Chalmers)
4:01.0,,,63-68,,Personal foul by J. Ennis (drawn by T. Ariza)
4:01.0,,,63-68,,T. Evans enters the game for J. Ennis
3:51.0,N. Hilario misses 2-pt shot from 1 ft,,63-68,,
3:51.0,J. Harden misses 2-pt shot at rim,,63-68,,
3:51.0,,,63-68,,Defensive rebound by M. Gasol
3:48.0,Defensive rebound by J. Harden,,63-68,,
3:47.0,,,63-70,2,D. Brooks makes 2-pt shot at rim
3:47.0,,,63-70,,Shooting foul by T. Ariza (drawn by D. Brooks)
3:47.0,Houston full timeout,,63-70,,
3:47.0,R. Anderson enters the game for T. Ariza,,63-70,,
3:47.0,L. Mbah a Moute enters the game for J. Harden,,63-70,,
3:47.0,,,63-71,1,D. Brooks makes free throw 1 of 1
3:35.0,Turnover by B. Brown (bad pass; steal by D. Brooks),,63-71,,
3:20.0,,,63-73,2,C. Parsons makes 2-pt shot at rim
2:54.0,Turnover by Team (shot clock),,63-73,,
2:35.0,,,63-73,,Turnover by M. Chalmers (bad pass; steal by B. Brown)
2:24.0,B. Brown makes 3-pt shot from 22 ft (assist by N. Hilario),3,66-73,,
2:01.0,Personal foul by P. Tucker (drawn by M. Gasol),,66-73,,
2:01.0,,,66-73,,M. Gasol misses free throw 1 of 2
2:01.0,,,66-73,,Offensive rebound by Team
2:01.0,,,66-74,1,M. Gasol makes free throw 2 of 2
1:40.0,B. Brown misses 2-pt shot from 13 ft,,66-74,,
1:38.0,,,66-74,,Defensive rebound by T. Evans
1:26.0,,,66-74,,D. Brooks misses 3-pt shot from 26 ft
1:23.0,Defensive rebound by R. Anderson,,66-74,,
1:09.0,R. Anderson makes 3-pt shot from 26 ft,3,69-74,,
0:52.0,Personal foul by N. Hilario (drawn by M. Gasol),,69-74,,
0:52.0,,,69-75,1,M. Gasol makes free throw 1 of 2
0:52.0,,,69-76,1,M. Gasol makes free throw 2 of 2
0:43.0,B. Brown misses 2-pt shot from 12 ft,,69-76,,
0:40.0,,,69-76,,Defensive rebound by D. Brooks
0:37.0,,,69-78,2,M. Chalmers makes 2-pt shot at rim (assist by D. Brooks)
0:27.0,B. Brown makes 3-pt shot from 23 ft (assist by L. Mbah a Moute),3,72-78,,
0:06.0,,,72-81,3,C. Parsons makes 3-pt shot from 24 ft (assist by M. Chalmers)
0:00.0,B. Brown misses 3-pt shot from 30 ft,,72-81,,
0:00.0,Offensive rebound by Team,,72-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,72-81,,B. Wright misses 2-pt shot at rim
11:43.0,Defensive rebound by T. Ariza,,72-81,,
11:29.0,B. Brown misses 3-pt shot from 25 ft,,72-81,,
11:26.0,,,72-81,,Defensive rebound by B. Wright
11:18.0,,,72-83,2,B. Wright makes 2-pt shot from 1 ft (assist by C. Parsons)
11:08.0,Turnover by R. Anderson (lost ball; steal by M. Chalmers),,72-83,,
11:04.0,,,72-83,,C. Parsons misses 3-pt shot from 23 ft
10:59.0,Defensive rebound by N. Hilario,,72-83,,
10:49.0,Shooting foul by M. Chalmers (drawn by T. Ariza),,72-83,,
10:49.0,T. Ariza makes free throw 1 of 3,1,73-83,,
10:49.0,T. Ariza makes free throw 2 of 3,1,74-83,,
10:49.0,T. Ariza makes free throw 3 of 3,1,75-83,,
10:27.0,,,75-86,3,T. Evans makes 3-pt shot from 25 ft
10:06.0,Shooting foul by T. Evans (drawn by R. Anderson),,75-86,,
10:06.0,R. Anderson makes free throw 1 of 2,1,76-86,,
10:06.0,R. Anderson misses free throw 2 of 2,,76-86,,
10:03.0,,,76-86,,Defensive rebound by B. Wright
9:46.0,,,76-86,,T. Evans misses 3-pt shot from 26 ft
9:42.0,Defensive rebound by R. Anderson,,76-86,,
9:30.0,N. Hilario misses 2-pt shot from 12 ft,,76-86,,
9:27.0,,,76-86,,Defensive rebound by T. Evans
9:16.0,,,76-88,2,M. Chalmers makes 2-pt shot from 16 ft
9:02.0,B. Brown misses 2-pt shot from 1 ft,,76-88,,
8:59.0,,,76-88,,Defensive rebound by D. Brooks
8:55.0,,,76-90,2,T. Evans makes 2-pt shot at rim (assist by M. Chalmers)
8:55.0,Houston full timeout,,76-90,,
8:55.0,C. Capela enters the game for B. Brown,,76-90,,
8:55.0,J. Harden enters the game for N. Hilario,,76-90,,
8:39.0,T. Ariza misses 3-pt shot from 23 ft,,76-90,,
8:37.0,,,76-90,,Defensive rebound by D. Brooks
8:21.0,,,76-92,2,B. Wright makes 2-pt shot at rim (assist by T. Evans)
7:58.0,J. Harden misses 3-pt shot from 27 ft,,76-92,,
7:55.0,,,76-92,,Defensive rebound by T. Evans
7:38.0,,,76-92,,D. Brooks misses 2-pt shot from 5 ft (block by R. Anderson)
7:33.0,Defensive rebound by R. Anderson,,76-92,,
7:32.0,,,76-92,,Personal foul by M. Chalmers (drawn by J. Harden)
7:32.0,,,76-92,,Technical foul by T. Evans
7:32.0,J. Harden makes technical free throw,1,77-92,,
7:32.0,,,77-92,,J. Ennis enters the game for C. Parsons
7:32.0,L. Mbah a Moute enters the game for P. Tucker,,77-92,,
7:21.0,J. Harden misses 2-pt shot from 11 ft,,77-92,,
7:18.0,,,77-92,,Defensive rebound by T. Evans
7:18.0,Personal take foul by J. Harden (drawn by T. Evans),,77-92,,
7:08.0,,,77-92,,T. Evans misses 3-pt shot from 27 ft
7:06.0,Defensive rebound by C. Capela,,77-92,,
6:56.0,J. Harden misses 2-pt shot from 14 ft,,77-92,,
6:53.0,,,77-92,,Defensive rebound by T. Evans
6:36.0,,,77-94,2,M. Chalmers makes 2-pt shot at rim
6:24.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,77-94,,
6:20.0,,,77-94,,Defensive rebound by M. Chalmers
6:10.0,,,77-96,2,T. Evans makes 2-pt shot from 1 ft
6:07.0,Houston full timeout,,77-96,,
6:07.0,,,77-96,,M. Conley enters the game for M. Chalmers
5:55.0,J. Harden misses 3-pt shot from 27 ft,,77-96,,
5:53.0,,,77-96,,Defensive rebound by J. Ennis
5:31.0,,,77-96,,J. Ennis misses 2-pt shot from 12 ft
5:27.0,Defensive rebound by C. Capela,,77-96,,
5:20.0,,,77-96,,M. Gasol enters the game for T. Evans
5:20.0,,,77-96,,J. Martin enters the game for B. Wright
5:13.0,J. Harden misses 3-pt shot from 25 ft,,77-96,,
5:07.0,,,77-96,,Defensive rebound by M. Gasol
5:01.0,Personal foul by J. Harden (drawn by M. Conley),,77-96,,
4:56.0,Personal foul by L. Mbah a Moute (drawn by D. Brooks),,77-96,,
4:50.0,,,77-96,,D. Brooks misses 2-pt shot from 6 ft
4:47.0,Defensive rebound by C. Capela,,77-96,,
4:39.0,C. Capela makes 2-pt shot at rim (assist by T. Ariza),2,79-96,,
4:08.0,,,79-98,2,M. Conley makes 2-pt shot from 5 ft
3:45.0,T. Ariza misses 2-pt shot at rim,,79-98,,
3:42.0,,,79-98,,Defensive rebound by M. Gasol
3:37.0,,,79-98,,J. Ennis misses 3-pt shot from 23 ft
3:33.0,Defensive rebound by C. Capela,,79-98,,
3:19.0,,,79-98,,Personal foul by J. Martin (drawn by J. Harden)
3:19.0,,,79-98,,Memphis full timeout
3:19.0,T. Black enters the game for T. Ariza,,79-98,,
3:19.0,B. Brown enters the game for L. Mbah a Moute,,79-98,,
3:19.0,Z. Qi enters the game for J. Harden,,79-98,,
3:19.0,T. Williams enters the game for C. Capela,,79-98,,
3:19.0,D. Jackson enters the game for R. Anderson,,79-98,,
3:09.0,D. Jackson misses 3-pt shot from 24 ft (block by M. Gasol),,79-98,,
3:06.0,Shooting foul by J. Martin (drawn by T. Black),,79-98,,
3:06.0,T. Black makes free throw 1 of 2,1,80-98,,
3:06.0,,,80-98,,A. Harrison enters the game for J. Martin
3:06.0,,,80-98,,D. Davis enters the game for M. Conley
3:06.0,,,80-98,,M. Chalmers enters the game for M. Gasol
3:06.0,T. Black makes free throw 2 of 2,1,81-98,,
3:05.0,Offensive rebound by D. Jackson,,81-98,,
2:43.0,,,81-98,,D. Davis misses 2-pt shot from 8 ft
2:37.0,Defensive rebound by Z. Qi,,81-98,,
2:32.0,T. Williams misses 2-pt shot from 10 ft,,81-98,,
2:29.0,,,81-98,,Defensive rebound by A. Harrison
2:14.0,,,81-98,,Turnover by D. Brooks (bad pass)
2:05.0,Z. Qi misses 3-pt shot from 25 ft,,81-98,,
2:02.0,,,81-98,,Defensive rebound by D. Davis
1:52.0,,,81-100,2,D. Davis makes 2-pt shot from 1 ft (assist by J. Ennis)
1:52.0,B. Brown misses 2-pt shot from 1 ft,,81-100,,
1:37.0,,,81-100,,Defensive rebound by M. Chalmers
1:23.0,,,81-100,,A. Harrison misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by T. Williams,,81-100,,
