time,Denver,pts.away,score,pts.home,Oklahoma City
0:53.0,M. Beasley enters the game for W. Chandler,,16-27,,
0:47.0,Personal foul by M. Beasley (drawn by A. Abrines),,16-27,,
0:47.0,,,16-28,1,A. Abrines makes free throw 1 of 2
0:47.0,,,16-29,1,A. Abrines makes free throw 2 of 2
0:24.0,W. Barton makes 2-pt shot from 1 ft,2,18-29,,
0:03.0,,,18-32,3,R. Felton makes 3-pt shot from 24 ft
0:00.0,W. Barton misses 3-pt shot from 31 ft,,18-32,,
0:00.0,Offensive rebound by Team,,18-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,18-32,,Shooting foul by T. Lyles (drawn by J. Grant)
11:50.0,,,18-33,1,J. Grant makes free throw 1 of 2
11:50.0,,,18-33,,J. Grant misses free throw 2 of 2
11:48.0,Defensive rebound by N. Jokic,,18-33,,
11:28.0,Shooting foul by J. Grant (drawn by W. Barton),,18-33,,
11:28.0,W. Barton makes free throw 1 of 2,1,19-33,,
11:28.0,W. Barton makes free throw 2 of 2,1,20-33,,
11:12.0,,,20-33,,P. Patterson misses 3-pt shot from 22 ft
11:10.0,,,20-33,,Offensive rebound by Team
11:10.0,Loose ball foul by T. Lyles (drawn by J. Huestis),,20-33,,
11:00.0,,,20-33,,R. Felton misses 2-pt shot from 7 ft
10:56.0,,,20-33,,Offensive rebound by J. Huestis
10:56.0,,,20-33,,J. Huestis misses 2-pt shot at rim
10:56.0,Defensive rebound by N. Jokic,,20-33,,
10:50.0,W. Barton misses 2-pt shot from 5 ft,,20-33,,
10:47.0,,,20-33,,Defensive rebound by R. Felton
10:30.0,,,20-33,,J. Huestis misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by N. Jokic,,20-33,,
10:24.0,W. Chandler misses 2-pt shot from 2 ft,,20-33,,
10:22.0,,,20-33,,Defensive rebound by Team
10:04.0,,,20-33,,J. Grant misses 2-pt shot from 17 ft
10:04.0,Defensive rebound by T. Lyles,,20-33,,
9:56.0,N. Jokic misses 2-pt shot from 4 ft,,20-33,,
9:56.0,Offensive rebound by N. Jokic,,20-33,,
9:51.0,N. Jokic makes 2-pt shot from 1 ft,2,22-33,,
9:30.0,,,22-35,2,P. Patterson makes 2-pt shot from 5 ft
9:16.0,W. Chandler misses 3-pt shot from 26 ft,,22-35,,
9:13.0,Offensive rebound by Team,,22-35,,
9:13.0,,,22-35,,P. George enters the game for A. Abrines
9:03.0,T. Lyles makes 3-pt shot from 25 ft (assist by W. Barton),3,25-35,,
8:37.0,,,25-35,,P. George misses 2-pt shot from 12 ft
8:35.0,Defensive rebound by N. Jokic,,25-35,,
8:26.0,N. Jokic makes 2-pt shot from 1 ft (assist by W. Barton),2,27-35,,
8:16.0,,,27-35,,Oklahoma City full timeout
8:16.0,,,27-35,,A. Roberson enters the game for R. Felton
8:16.0,,,27-35,,R. Westbrook enters the game for J. Huestis
8:16.0,T. Craig enters the game for W. Chandler,,27-35,,
8:16.0,G. Harris enters the game for M. Beasley,,27-35,,
8:05.0,,,27-37,2,J. Grant makes 2-pt shot at rim
7:44.0,Shooting foul by P. Patterson (drawn by N. Jokic),,27-37,,
7:44.0,N. Jokic makes free throw 1 of 2,1,28-37,,
7:44.0,N. Jokic makes free throw 2 of 2,1,29-37,,
7:26.0,,,29-37,,R. Westbrook misses 2-pt shot from 16 ft
7:22.0,Defensive rebound by T. Craig,,29-37,,
7:17.0,N. Jokic misses 3-pt shot from 26 ft,,29-37,,
7:17.0,,,29-37,,Defensive rebound by R. Westbrook
7:10.0,,,29-37,,Shooting foul by T. Craig (drawn by R. Westbrook)
7:10.0,,,29-38,1,R. Westbrook makes free throw 1 of 2
7:10.0,,,29-39,1,R. Westbrook makes free throw 2 of 2
6:46.0,T. Lyles misses 3-pt shot from 22 ft,,29-39,,
6:42.0,Offensive rebound by T. Lyles,,29-39,,
6:37.0,W. Barton makes 2-pt shot from 14 ft,2,31-39,,
6:28.0,,,31-39,,P. Patterson misses 3-pt shot from 24 ft
6:24.0,Defensive rebound by G. Harris,,31-39,,
6:19.0,N. Jokic makes 2-pt shot from 1 ft (assist by G. Harris),2,33-39,,
6:07.0,,,33-39,,D. Johnson enters the game for J. Grant
6:07.0,,,33-39,,C. Anthony enters the game for P. Patterson
6:07.0,J. Murray enters the game for W. Barton,,33-39,,
5:59.0,,,33-41,2,A. Roberson makes 2-pt shot from 2 ft
5:38.0,,,33-41,,Personal foul by D. Johnson (drawn by N. Jokic)
5:31.0,Turnover by N. Jokic (lost ball; steal by P. George),,33-41,,
5:25.0,,,33-41,,Turnover by P. George (bad pass; steal by N. Jokic)
5:20.0,T. Lyles makes 2-pt shot at rim (assist by T. Craig),2,35-41,,
5:01.0,,,35-41,,R. Westbrook misses 2-pt shot from 9 ft
5:00.0,Defensive rebound by N. Jokic,,35-41,,
4:50.0,T. Lyles misses 3-pt shot from 25 ft,,35-41,,
4:47.0,,,35-41,,Defensive rebound by D. Johnson
4:31.0,,,35-41,,Oklahoma City full timeout
4:31.0,M. Plumlee enters the game for T. Lyles,,35-41,,
4:31.0,W. Chandler enters the game for N. Jokic,,35-41,,
4:24.0,,,35-43,2,R. Westbrook makes 2-pt shot from 2 ft
4:11.0,G. Harris makes 2-pt shot at rim,2,37-43,,
3:53.0,,,37-43,,P. George misses 3-pt shot from 22 ft
3:51.0,,,37-43,,Offensive rebound by A. Roberson
3:47.0,,,37-45,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
3:33.0,M. Plumlee makes 2-pt shot at rim (assist by G. Harris),2,39-45,,
3:18.0,,,39-47,2,A. Roberson makes 2-pt shot from 1 ft (assist by R. Westbrook)
3:07.0,J. Murray makes 2-pt shot from 16 ft (assist by M. Plumlee),2,41-47,,
2:50.0,,,41-49,2,D. Johnson makes 2-pt shot at rim (assist by A. Roberson)
2:49.0,Denver full timeout,,41-49,,
2:49.0,W. Barton enters the game for J. Murray,,41-49,,
2:22.0,W. Chandler makes 3-pt shot from 24 ft (assist by M. Plumlee),3,44-49,,
2:11.0,,,44-51,2,R. Westbrook makes 2-pt shot from 1 ft
1:58.0,W. Barton misses 2-pt shot from 3 ft (block by D. Johnson),,44-51,,
1:56.0,,,44-51,,Defensive rebound by P. George
1:50.0,,,44-51,,Turnover by P. George (bad pass; steal by W. Chandler)
1:36.0,W. Chandler misses 2-pt shot from 17 ft,,44-51,,
1:34.0,,,44-51,,Defensive rebound by C. Anthony
1:25.0,,,44-51,,Turnover by C. Anthony (bad pass; steal by G. Harris)
1:20.0,W. Barton misses 2-pt shot from 17 ft,,44-51,,
1:20.0,Offensive rebound by Team,,44-51,,
1:20.0,,,44-51,,Loose ball foul by R. Westbrook (drawn by T. Craig)
1:20.0,,,44-51,,P. Patterson enters the game for D. Johnson
1:20.0,N. Jokic enters the game for M. Plumlee,,44-51,,
1:08.0,G. Harris misses 3-pt shot from 25 ft,,44-51,,
1:04.0,,,44-51,,Defensive rebound by A. Roberson
1:00.0,,,44-51,,Turnover by R. Westbrook (bad pass)
0:46.0,G. Harris misses 3-pt shot from 24 ft,,44-51,,
0:42.0,,,44-51,,Defensive rebound by A. Roberson
0:40.0,,,44-51,,Shooting foul by W. Chandler (drawn by P. George)
0:40.0,,,44-51,,P. George misses free throw 1 of 2
0:40.0,,,44-51,,Offensive rebound by Team
0:40.0,,,44-52,1,P. George makes free throw 2 of 2
0:19.0,Turnover by T. Craig (lost ball; steal by R. Westbrook),,44-52,,
0:03.0,,,44-52,,P. Patterson misses 3-pt shot from 24 ft
0:00.0,,,44-52,,Offensive rebound by R. Westbrook
0:00.0,,,44-52,,P. George misses 3-pt shot from 23 ft
0:00.0,,,44-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,44-52,,R. Westbrook misses 2-pt shot from 10 ft
11:46.0,,,44-52,,Offensive rebound by D. Johnson
11:44.0,,,44-52,,Turnover by D. Johnson (bad pass)
11:36.0,Turnover by G. Harris (bad pass; steal by R. Westbrook),,44-52,,
11:33.0,,,44-54,2,R. Westbrook makes 2-pt shot at rim
11:19.0,M. Plumlee makes 2-pt shot from 1 ft (assist by G. Harris),2,46-54,,
11:19.0,Shooting foul by D. Johnson (drawn by M. Plumlee),,46-54,,
11:19.0,M. Plumlee makes free throw 1 of 1,1,47-54,,
10:59.0,,,47-54,,C. Anthony misses 2-pt shot from 14 ft
10:56.0,Defensive rebound by W. Chandler,,47-54,,
10:49.0,W. Chandler misses 3-pt shot from 25 ft,,47-54,,
10:48.0,,,47-54,,Defensive rebound by R. Westbrook
10:48.0,,,47-54,,Oklahoma City full timeout
10:25.0,,,47-54,,R. Westbrook misses 2-pt shot from 13 ft (block by M. Plumlee)
10:22.0,Defensive rebound by W. Chandler,,47-54,,
10:20.0,G. Harris makes 2-pt shot from 1 ft (assist by W. Chandler),2,49-54,,
9:58.0,,,49-54,,P. George misses 2-pt shot from 17 ft
9:55.0,Defensive rebound by T. Craig,,49-54,,
9:45.0,Shooting foul by R. Westbrook (drawn by G. Harris),,49-54,,
9:45.0,G. Harris misses free throw 1 of 2,,49-54,,
9:45.0,Offensive rebound by Team,,49-54,,
9:45.0,G. Harris makes free throw 2 of 2,1,50-54,,
9:26.0,,,50-54,,A. Roberson misses 2-pt shot from 1 ft (block by M. Plumlee)
9:26.0,Defensive rebound by Team,,50-54,,
9:12.0,M. Plumlee misses 2-pt shot from 6 ft,,50-54,,
9:10.0,,,50-54,,Defensive rebound by C. Anthony
8:56.0,,,50-54,,Turnover by R. Westbrook (bad pass; steal by T. Craig)
8:52.0,T. Craig makes 2-pt shot from 2 ft,2,52-54,,
8:27.0,,,52-54,,P. George misses 3-pt shot from 26 ft
8:24.0,Defensive rebound by M. Plumlee,,52-54,,
8:05.0,J. Murray makes 2-pt shot from 15 ft,2,54-54,,
7:47.0,,,54-56,2,P. George makes 2-pt shot at rim
7:39.0,G. Harris misses 3-pt shot from 24 ft,,54-56,,
7:37.0,,,54-56,,Defensive rebound by Team
7:24.0,,,54-58,2,R. Westbrook makes 2-pt shot from 17 ft
7:05.0,W. Chandler misses 3-pt shot from 23 ft,,54-58,,
7:03.0,Offensive rebound by J. Murray,,54-58,,
7:01.0,G. Harris makes 3-pt shot from 24 ft (assist by J. Murray),3,57-58,,
6:32.0,,,57-58,,P. George misses 2-pt shot from 19 ft
6:28.0,Defensive rebound by G. Harris,,57-58,,
6:16.0,J. Murray misses 2-pt shot from 7 ft,,57-58,,
6:14.0,,,57-58,,Defensive rebound by D. Johnson
5:59.0,Personal foul by M. Plumlee (drawn by A. Roberson),,57-58,,
5:59.0,,,57-58,,A. Abrines enters the game for A. Roberson
5:54.0,,,57-58,,Shooting foul by M. Plumlee (drawn by R. Westbrook)
5:54.0,,,57-59,1,R. Westbrook makes free throw 1 of 2
5:54.0,,,57-60,1,R. Westbrook makes free throw 2 of 2
5:41.0,J. Murray makes 3-pt shot from 25 ft (assist by G. Harris),3,60-60,,
5:24.0,,,60-60,,Turnover by R. Westbrook (lost ball; steal by W. Chandler)
5:12.0,W. Chandler makes 2-pt shot from 1 ft,2,62-60,,
4:57.0,,,62-60,,P. George misses 2-pt shot from 4 ft
4:56.0,Defensive rebound by M. Plumlee,,62-60,,
4:48.0,T. Craig makes 3-pt shot from 24 ft (assist by G. Harris),3,65-60,,
4:48.0,,,65-60,,Oklahoma City full timeout
4:48.0,,,65-60,,J. Grant enters the game for D. Johnson
4:27.0,,,65-62,2,R. Westbrook makes 2-pt shot from 1 ft
4:10.0,J. Murray misses 3-pt shot from 24 ft,,65-62,,
4:08.0,,,65-62,,Defensive rebound by C. Anthony
3:53.0,,,65-65,3,A. Abrines makes 3-pt shot from 22 ft (assist by C. Anthony)
3:35.0,G. Harris misses 2-pt shot from 1 ft,,65-65,,
3:34.0,,,65-65,,Defensive rebound by A. Abrines
3:26.0,,,65-65,,R. Westbrook misses 2-pt shot from 19 ft
3:24.0,,,65-65,,Offensive rebound by J. Grant
3:22.0,,,65-68,3,A. Abrines makes 3-pt shot from 28 ft (assist by J. Grant)
3:21.0,Denver full timeout,,65-68,,
3:21.0,,,65-68,,J. Huestis enters the game for P. George
3:21.0,N. Jokic enters the game for W. Chandler,,65-68,,
3:21.0,W. Barton enters the game for M. Plumlee,,65-68,,
3:21.0,T. Lyles enters the game for J. Murray,,65-68,,
3:05.0,T. Craig makes 2-pt shot from 1 ft (assist by N. Jokic),2,67-68,,
2:48.0,,,67-70,2,R. Westbrook makes 2-pt shot at rim
2:24.0,W. Barton misses 3-pt shot from 23 ft,,67-70,,
2:24.0,,,67-70,,Defensive rebound by Team
2:24.0,Loose ball foul by N. Jokic (drawn by J. Grant),,67-70,,
2:24.0,,,67-70,,P. Patterson enters the game for R. Westbrook
2:24.0,,,67-70,,R. Felton enters the game for C. Anthony
2:07.0,,,67-70,,J. Grant misses 2-pt shot from 18 ft
2:05.0,Defensive rebound by T. Lyles,,67-70,,
1:52.0,T. Craig makes 3-pt shot from 23 ft (assist by W. Barton),3,70-70,,
1:29.0,,,70-70,,Turnover by R. Felton (bad pass; steal by N. Jokic)
1:27.0,M. Beasley enters the game for T. Craig,,70-70,,
1:17.0,G. Harris makes 2-pt shot at rim,2,72-70,,
1:02.0,,,72-70,,R. Felton misses 2-pt shot from 1 ft
1:00.0,Defensive rebound by T. Lyles,,72-70,,
0:51.0,Shooting foul by J. Huestis (drawn by N. Jokic),,72-70,,
0:51.0,N. Jokic makes free throw 1 of 2,1,73-70,,
0:51.0,,,73-70,,P. George enters the game for A. Abrines
0:51.0,N. Jokic misses free throw 2 of 2,,73-70,,
0:50.0,,,73-70,,Defensive rebound by J. Grant
0:37.0,,,73-70,,P. George misses 3-pt shot from 22 ft
0:32.0,Defensive rebound by T. Lyles,,73-70,,
0:15.0,M. Beasley makes 3-pt shot from 25 ft (assist by T. Lyles),3,76-70,,
0:05.0,Personal take foul by M. Beasley (drawn by R. Felton),,76-70,,
0:05.0,T. Craig enters the game for G. Harris,,76-70,,
0:01.0,,,76-70,,R. Felton misses 2-pt shot from 9 ft
0:01.0,Defensive rebound by N. Jokic,,76-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,N. Jokic misses 2-pt shot from 10 ft,,76-70,,
11:42.0,,,76-70,,Defensive rebound by J. Grant
11:37.0,Personal take foul by W. Chandler (drawn by P. George),,76-70,,
11:37.0,M. Plumlee enters the game for N. Jokic,,76-70,,
11:26.0,,,76-70,,Turnover by P. George (bad pass; steal by M. Beasley)
11:13.0,W. Barton misses 3-pt shot from 24 ft,,76-70,,
11:10.0,,,76-70,,Defensive rebound by P. George
11:03.0,,,76-70,,R. Felton misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by T. Lyles,,76-70,,
10:48.0,T. Lyles makes 3-pt shot from 25 ft (assist by W. Barton),3,79-70,,
10:35.0,Personal foul by W. Chandler (drawn by J. Grant),,79-70,,
10:35.0,N. Jokic enters the game for M. Plumlee,,79-70,,
10:24.0,,,79-73,3,J. Huestis makes 3-pt shot from 24 ft (assist by P. George)
10:14.0,N. Jokic makes 2-pt shot from 1 ft (assist by W. Barton),2,81-73,,
10:14.0,,,81-73,,Violation by J. Grant (def goaltending)
9:59.0,,,81-73,,J. Grant misses 3-pt shot from 22 ft
9:56.0,Defensive rebound by W. Chandler,,81-73,,
9:41.0,,,81-73,,Personal foul by J. Grant (drawn by N. Jokic)
9:41.0,,,81-73,,R. Westbrook enters the game for J. Huestis
9:29.0,W. Barton misses 3-pt shot from 24 ft,,81-73,,
9:28.0,Offensive rebound by T. Lyles,,81-73,,
9:28.0,T. Lyles makes 2-pt shot at rim,2,83-73,,
9:13.0,,,83-75,2,R. Westbrook makes 2-pt shot at rim
8:56.0,M. Beasley misses 2-pt shot from 1 ft (block by R. Westbrook),,83-75,,
8:53.0,,,83-75,,Defensive rebound by R. Felton
8:47.0,,,83-77,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Felton)
8:33.0,N. Jokic misses 3-pt shot from 25 ft,,83-77,,
8:29.0,,,83-77,,Defensive rebound by P. Patterson
8:21.0,,,83-79,2,R. Felton makes 2-pt shot at rim
8:21.0,Denver full timeout,,83-79,,
8:21.0,G. Harris enters the game for W. Chandler,,83-79,,
8:21.0,T. Craig enters the game for M. Beasley,,83-79,,
8:06.0,G. Harris makes 2-pt shot from 23 ft,2,85-79,,
7:52.0,,,85-81,2,R. Westbrook makes 2-pt shot from 19 ft
7:36.0,W. Barton misses 3-pt shot from 25 ft,,85-81,,
7:34.0,,,85-81,,Defensive rebound by P. George
7:29.0,,,85-81,,P. George misses 3-pt shot from 26 ft
7:26.0,Defensive rebound by T. Lyles,,85-81,,
7:15.0,T. Lyles makes 3-pt shot from 25 ft (assist by W. Barton),3,88-81,,
7:01.0,,,88-84,3,R. Westbrook makes 3-pt shot from 25 ft
6:36.0,G. Harris misses 2-pt shot from 14 ft,,88-84,,
6:33.0,Offensive rebound by N. Jokic,,88-84,,
6:31.0,N. Jokic makes 2-pt shot from 6 ft,2,90-84,,
6:22.0,,,90-86,2,R. Westbrook makes 2-pt shot from 10 ft
5:55.0,G. Harris misses 2-pt shot from 21 ft,,90-86,,
5:53.0,,,90-86,,Defensive rebound by R. Westbrook
5:41.0,,,90-86,,R. Felton misses 2-pt shot from 7 ft (block by T. Craig)
5:38.0,Defensive rebound by W. Barton,,90-86,,
5:34.0,Turnover by W. Barton (bad pass; steal by P. George),,90-86,,
5:23.0,,,90-88,2,R. Westbrook makes 2-pt shot from 2 ft
5:04.0,T. Lyles makes 2-pt shot from 1 ft (assist by N. Jokic),2,92-88,,
4:48.0,,,92-90,2,P. George makes 2-pt shot from 1 ft
4:29.0,W. Barton misses 3-pt shot from 24 ft,,92-90,,
4:26.0,,,92-90,,Defensive rebound by R. Westbrook
4:22.0,,,92-90,,R. Westbrook misses 3-pt shot from 26 ft
4:20.0,Defensive rebound by G. Harris,,92-90,,
4:06.0,W. Barton misses 2-pt shot from 5 ft,,92-90,,
4:05.0,Offensive rebound by T. Lyles,,92-90,,
4:05.0,T. Lyles misses 2-pt shot at rim,,92-90,,
4:04.0,,,92-90,,Defensive rebound by P. George
4:04.0,,,92-90,,Oklahoma City full timeout
4:04.0,,,92-90,,C. Anthony enters the game for R. Felton
4:04.0,,,92-90,,A. Roberson enters the game for J. Grant
4:04.0,J. Murray enters the game for W. Barton,,92-90,,
4:04.0,M. Plumlee enters the game for N. Jokic,,92-90,,
4:04.0,W. Chandler enters the game for T. Craig,,92-90,,
3:54.0,,,92-92,2,R. Westbrook makes 2-pt shot from 18 ft
3:36.0,G. Harris misses 2-pt shot from 10 ft,,92-92,,
3:33.0,,,92-92,,Defensive rebound by R. Westbrook
3:28.0,,,92-92,,C. Anthony misses 3-pt shot from 25 ft
3:26.0,Defensive rebound by M. Plumlee,,92-92,,
3:03.0,M. Plumlee misses 2-pt shot from 3 ft (block by P. George),,92-92,,
3:03.0,Offensive rebound by Team,,92-92,,
3:03.0,Turnover by Team (shot clock),,92-92,,
2:52.0,,,92-92,,R. Westbrook misses 2-pt shot from 19 ft
2:48.0,Defensive rebound by W. Chandler,,92-92,,
2:31.0,G. Harris makes 2-pt shot from 1 ft,2,94-92,,
2:14.0,,,94-92,,R. Westbrook misses 2-pt shot from 1 ft
2:12.0,Defensive rebound by W. Chandler,,94-92,,
2:12.0,,,94-92,,Personal foul by C. Anthony (drawn by W. Chandler)
1:51.0,Turnover by W. Chandler (lost ball; steal by P. George),,94-92,,
1:48.0,,,94-94,2,R. Westbrook makes 2-pt shot from 1 ft
1:26.0,J. Murray misses 3-pt shot from 24 ft,,94-94,,
1:22.0,,,94-94,,Defensive rebound by P. George
1:10.0,,,94-94,,R. Westbrook misses 2-pt shot from 16 ft
1:05.0,,,94-94,,Offensive rebound by R. Westbrook
0:50.0,,,94-94,,R. Westbrook misses 3-pt shot from 24 ft
0:48.0,Defensive rebound by W. Chandler,,94-94,,
0:48.0,Denver full timeout,,94-94,,
0:48.0,,,94-94,,J. Grant enters the game for P. Patterson
0:48.0,N. Jokic enters the game for M. Plumlee,,94-94,,
0:31.0,J. Murray misses 3-pt shot from 25 ft,,94-94,,
0:28.0,,,94-94,,Defensive rebound by C. Anthony
0:14.0,Personal take foul by T. Lyles (drawn by J. Grant),,94-94,,
0:14.0,,,94-94,,Oklahoma City full timeout
0:14.0,,,94-94,,A. Abrines enters the game for A. Roberson
0:14.0,M. Plumlee enters the game for T. Lyles,,94-94,,
0:14.0,T. Craig enters the game for N. Jokic,,94-94,,
0:02.0,,,94-94,,Shooting foul by T. Craig (drawn by R. Westbrook)
0:02.0,,,94-95,1,R. Westbrook makes free throw 1 of 2
0:02.0,,,94-95,,A. Roberson enters the game for A. Abrines
0:02.0,N. Jokic enters the game for J. Murray,,94-95,,
0:02.0,,,94-95,,R. Westbrook misses free throw 2 of 2
0:01.0,Defensive rebound by W. Chandler,,94-95,,
0:01.0,Denver full timeout,,94-95,,
0:01.0,T. Lyles enters the game for T. Craig,,94-95,,
0:01.0,J. Murray enters the game for M. Plumlee,,94-95,,
0:00.0,G. Harris misses 3-pt shot from 29 ft,,94-95,,
