time,Dallas,pts.away,score,pts.home,Milwaukee
11:03.0,Defensive rebound by D. Nowitzki,,27-24,,
10:55.0,Shooting foul by T. Maker (drawn by J. Barea),,27-24,,
10:55.0,J. Barea misses free throw 1 of 2,,27-24,,
10:55.0,Offensive rebound by Team,,27-24,,
10:55.0,J. Barea makes free throw 2 of 2,1,28-24,,
10:39.0,,,28-24,,G. Antetokounmpo misses 2-pt shot from 14 ft
10:36.0,Defensive rebound by D. Nowitzki,,28-24,,
10:29.0,D. Harris misses 3-pt shot from 22 ft,,28-24,,
10:26.0,,,28-24,,Defensive rebound by D. Liggins
10:16.0,,,28-27,3,R. Vaughn makes 3-pt shot from 26 ft (assist by D. Liggins)
10:00.0,Shooting foul by D. Liggins (drawn by J. Barea),,28-27,,
10:00.0,J. Barea makes free throw 1 of 2,1,29-27,,
10:00.0,J. Barea makes free throw 2 of 2,1,30-27,,
9:47.0,,,30-27,,R. Vaughn misses 3-pt shot from 27 ft
9:43.0,Defensive rebound by A. Cleveland,,30-27,,
9:40.0,,,30-27,,Personal foul by M. Brogdon (drawn by D. Harris)
9:40.0,Y. Ferrell enters the game for J. Barea,,30-27,,
9:21.0,D. Powell makes 2-pt shot at rim,2,32-27,,
9:06.0,,,32-27,,Turnover by G. Antetokounmpo (bad pass)
8:49.0,D. Nowitzki makes 3-pt shot from 23 ft (assist by Y. Ferrell),3,35-27,,
8:35.0,,,35-27,,T. Maker misses 2-pt shot from 19 ft
8:33.0,,,35-27,,Offensive rebound by G. Antetokounmpo
8:33.0,,,35-27,,Shooting foul by Y. Ferrell (drawn by G. Antetokounmpo)
8:33.0,,,35-28,1,G. Antetokounmpo makes free throw 1 of 2
8:33.0,,,35-29,1,G. Antetokounmpo makes free throw 2 of 2
8:33.0,,,35-29,,J. Henson enters the game for T. Maker
8:33.0,,,35-29,,K. Middleton enters the game for R. Vaughn
8:33.0,W. Matthews enters the game for Y. Ferrell,,35-29,,
8:17.0,D. Powell makes 2-pt shot from 2 ft (assist by D. Harris),2,37-29,,
7:59.0,,,37-29,,G. Antetokounmpo misses 2-pt shot from 17 ft
7:56.0,Defensive rebound by D. Powell,,37-29,,
7:49.0,,,37-29,,Personal foul by G. Antetokounmpo (drawn by D. Nowitzki)
7:36.0,W. Matthews makes 2-pt shot from 12 ft,2,39-29,,
7:35.0,,,39-29,,Milwaukee full timeout
7:35.0,,,39-29,,E. Bledsoe enters the game for D. Liggins
7:19.0,,,39-32,3,K. Middleton makes 3-pt shot from 23 ft (assist by E. Bledsoe)
7:07.0,Shooting foul by M. Brogdon (drawn by D. Harris),,39-32,,
7:07.0,D. Harris misses free throw 1 of 2,,39-32,,
7:07.0,Offensive rebound by Team,,39-32,,
7:07.0,D. Harris makes free throw 2 of 2,1,40-32,,
6:57.0,Personal foul by D. Harris (drawn by E. Bledsoe),,40-32,,
6:42.0,,,40-32,,E. Bledsoe misses 2-pt shot from 21 ft
6:39.0,Defensive rebound by A. Cleveland,,40-32,,
6:29.0,D. Nowitzki makes 3-pt shot from 27 ft (assist by W. Matthews),3,43-32,,
6:17.0,Personal foul by A. Cleveland (drawn by M. Brogdon),,43-32,,
6:17.0,J. Barea enters the game for D. Harris,,43-32,,
6:17.0,H. Barnes enters the game for D. Nowitzki,,43-32,,
6:09.0,,,43-32,,K. Middleton misses 2-pt shot from 11 ft (block by A. Cleveland)
6:01.0,,,43-32,,Offensive rebound by J. Henson
6:00.0,,,43-32,,J. Henson misses 2-pt shot from 2 ft
6:00.0,Defensive rebound by D. Powell,,43-32,,
5:56.0,,,43-32,,Personal foul by K. Middleton (drawn by D. Powell)
5:56.0,D. Powell makes free throw 1 of 2,1,44-32,,
5:56.0,D. Powell makes free throw 2 of 2,1,45-32,,
5:43.0,,,45-34,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe)
5:22.0,Turnover by W. Matthews (bad pass; steal by E. Bledsoe),,45-34,,
5:17.0,,,45-34,,E. Bledsoe misses 3-pt shot from 27 ft
5:17.0,Defensive rebound by W. Matthews,,45-34,,
5:17.0,Dallas full timeout,,45-34,,
5:17.0,M. Kleber enters the game for A. Cleveland,,45-34,,
4:55.0,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea),2,47-34,,
4:38.0,,,47-36,2,J. Henson makes 2-pt shot at rim (assist by E. Bledsoe)
4:17.0,W. Matthews makes 2-pt shot at rim,2,49-36,,
4:03.0,,,49-36,,M. Brogdon misses 2-pt shot from 2 ft (block by M. Kleber)
3:58.0,Defensive rebound by H. Barnes,,49-36,,
3:48.0,Turnover by J. Barea (lost ball; steal by J. Henson),,49-36,,
3:42.0,,,49-36,,K. Middleton misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by H. Barnes,,49-36,,
3:23.0,Turnover by H. Barnes (bad pass; steal by E. Bledsoe),,49-36,,
3:22.0,,,49-36,,Shooting foul by J. Barea (drawn by E. Bledsoe)
3:22.0,,,49-37,1,E. Bledsoe makes free throw 1 of 2
3:22.0,,,49-38,1,E. Bledsoe makes free throw 2 of 2
3:07.0,W. Matthews misses 3-pt shot from 28 ft,,49-38,,
3:03.0,,,49-38,,Defensive rebound by E. Bledsoe
3:00.0,,,49-38,,Shooting foul by D. Powell (drawn by K. Middleton)
3:00.0,,,49-39,1,K. Middleton makes free throw 1 of 2
3:00.0,,,49-40,1,K. Middleton makes free throw 2 of 2
2:42.0,H. Barnes misses 2-pt shot from 7 ft,,49-40,,
2:39.0,,,49-40,,Defensive rebound by J. Henson
2:35.0,Personal foul by W. Matthews (drawn by G. Antetokounmpo),,49-40,,
2:35.0,,,49-40,,G. Antetokounmpo misses free throw 1 of 2
2:35.0,,,49-40,,Offensive rebound by Team
2:35.0,,,49-41,1,G. Antetokounmpo makes free throw 2 of 2
2:35.0,D. Nowitzki enters the game for D. Powell,,49-41,,
2:19.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by J. Barea),2,51-41,,
2:04.0,,,51-43,2,M. Brogdon makes 2-pt shot at rim (assist by J. Henson)
1:38.0,Turnover by D. Nowitzki (bad pass; steal by G. Antetokounmpo),,51-43,,
1:36.0,,,51-43,,Shooting foul by D. Nowitzki (drawn by J. Henson)
1:36.0,,,51-43,,J. Henson misses free throw 1 of 2
1:36.0,,,51-43,,Offensive rebound by Team
1:36.0,,,51-43,,J. Henson misses free throw 2 of 2
1:33.0,Defensive rebound by M. Kleber,,51-43,,
1:21.0,J. Barea misses 2-pt shot from 15 ft,,51-43,,
1:19.0,,,51-43,,Defensive rebound by J. Henson
1:15.0,,,51-43,,Shooting foul by M. Kleber (drawn by G. Antetokounmpo)
1:15.0,,,51-44,1,G. Antetokounmpo makes free throw 1 of 2
1:15.0,,,51-45,1,G. Antetokounmpo makes free throw 2 of 2
0:54.0,J. Barea misses 2-pt shot from 4 ft (block by E. Bledsoe),,51-45,,
0:51.0,,,51-45,,Defensive rebound by E. Bledsoe
0:48.0,,,51-45,,Turnover by G. Antetokounmpo (lost ball; steal by D. Nowitzki)
0:46.0,J. Barea makes 2-pt shot at rim (assist by D. Nowitzki),2,53-45,,
0:33.0,,,53-47,2,M. Brogdon makes 2-pt shot from 14 ft
0:09.0,H. Barnes misses 2-pt shot from 14 ft,,53-47,,
0:07.0,Offensive rebound by M. Kleber,,53-47,,
0:07.0,Shooting foul by J. Henson (drawn by M. Kleber),,53-47,,
0:07.0,M. Kleber makes free throw 1 of 2,1,54-47,,
0:07.0,M. Kleber misses free throw 2 of 2,,54-47,,
0:07.0,,,54-47,,Defensive rebound by G. Antetokounmpo
0:07.0,D. Powell enters the game for J. Barea,,54-47,,
0:07.0,A. Cleveland enters the game for D. Nowitzki,,54-47,,
0:03.0,Personal foul by M. Kleber (drawn by G. Antetokounmpo),,54-47,,
0:03.0,,,54-48,1,G. Antetokounmpo makes free throw 1 of 2
0:03.0,,,54-49,1,G. Antetokounmpo makes free throw 2 of 2
0:03.0,J. Barea enters the game for M. Kleber,,54-49,,
0:03.0,D. Harris enters the game for A. Cleveland,,54-49,,
0:00.0,D. Harris misses 3-pt shot from 46 ft,,54-49,,
0:00.0,Offensive rebound by Team,,54-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,H. Barnes misses 2-pt shot from 17 ft,,54-49,,
11:38.0,,,54-49,,Defensive rebound by J. Henson
11:25.0,,,54-49,,K. Middleton misses 2-pt shot from 13 ft
11:25.0,Defensive rebound by Team,,54-49,,
11:25.0,,,54-49,,Personal foul by J. Henson (drawn by D. Nowitzki)
11:25.0,,,54-49,,M. Brogdon enters the game for G. Payton
11:02.0,W. Matthews makes 2-pt shot from 14 ft,2,56-49,,
10:50.0,,,56-51,2,G. Antetokounmpo makes 2-pt shot from 15 ft (assist by J. Henson)
10:33.0,H. Barnes makes 2-pt shot from 1 ft,2,58-51,,
10:20.0,,,58-51,,G. Antetokounmpo misses 2-pt shot from 2 ft
10:17.0,Defensive rebound by M. Kleber,,58-51,,
10:03.0,W. Matthews misses 3-pt shot from 26 ft,,58-51,,
10:01.0,,,58-51,,Defensive rebound by G. Antetokounmpo
9:57.0,,,58-51,,Shooting foul by M. Kleber (drawn by E. Bledsoe)
9:57.0,,,58-52,1,E. Bledsoe makes free throw 1 of 3
9:57.0,,,58-53,1,E. Bledsoe makes free throw 2 of 3
9:57.0,,,58-53,,E. Bledsoe misses free throw 3 of 3
9:53.0,Defensive rebound by H. Barnes,,58-53,,
9:39.0,,,58-53,,Personal foul by K. Middleton (drawn by H. Barnes)
9:28.0,M. Kleber misses 2-pt shot from 17 ft,,58-53,,
9:26.0,Offensive rebound by M. Kleber,,58-53,,
9:25.0,M. Kleber makes 2-pt shot from 1 ft,2,60-53,,
9:25.0,,,60-53,,Violation by J. Henson (def goaltending)
9:09.0,,,60-53,,E. Bledsoe misses 2-pt shot from 19 ft
9:06.0,Defensive rebound by D. Nowitzki,,60-53,,
9:02.0,M. Kleber misses 3-pt shot from 27 ft,,60-53,,
8:58.0,,,60-53,,Defensive rebound by M. Brogdon
8:44.0,,,60-53,,G. Antetokounmpo misses 2-pt shot from 19 ft
8:44.0,Defensive rebound by Team,,60-53,,
8:20.0,H. Barnes makes 2-pt shot from 14 ft,2,62-53,,
8:01.0,,,62-55,2,K. Middleton makes 2-pt shot from 15 ft
7:38.0,H. Barnes makes 2-pt shot at rim,2,64-55,,
7:20.0,,,64-55,,E. Bledsoe misses 3-pt shot from 25 ft
7:17.0,Defensive rebound by W. Matthews,,64-55,,
7:06.0,W. Matthews makes 2-pt shot from 10 ft (assist by Y. Ferrell),2,66-55,,
7:06.0,,,66-55,,Milwaukee full timeout
7:06.0,,,66-55,,T. Maker enters the game for J. Henson
7:06.0,D. Powell enters the game for D. Nowitzki,,66-55,,
6:44.0,,,66-55,,Shooting foul by Y. Ferrell (drawn by G. Antetokounmpo)
6:44.0,,,66-56,1,G. Antetokounmpo makes free throw 1 of 2
6:44.0,,,66-57,1,G. Antetokounmpo makes free throw 2 of 2
6:31.0,Y. Ferrell makes 3-pt shot from 27 ft (assist by H. Barnes),3,69-57,,
6:09.0,,,69-57,,E. Bledsoe misses 3-pt shot from 26 ft
6:07.0,Defensive rebound by W. Matthews,,69-57,,
5:55.0,D. Powell misses 2-pt shot at rim,,69-57,,
5:53.0,,,69-57,,Defensive rebound by K. Middleton
5:50.0,,,69-59,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
5:26.0,,,69-59,,Personal foul by E. Bledsoe (drawn by H. Barnes)
5:26.0,J. Barea enters the game for Y. Ferrell,,69-59,,
5:14.0,Shooting foul by K. Middleton (drawn by H. Barnes),,69-59,,
5:14.0,H. Barnes makes free throw 1 of 2,1,70-59,,
5:14.0,H. Barnes makes free throw 2 of 2,1,71-59,,
4:55.0,,,71-59,,Turnover by G. Antetokounmpo (palming)
4:55.0,D. Harris enters the game for M. Kleber,,71-59,,
4:43.0,D. Harris misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,71-59,,
4:38.0,,,71-59,,Defensive rebound by G. Antetokounmpo
4:36.0,,,71-61,2,G. Antetokounmpo makes 2-pt shot from 1 ft
4:18.0,H. Barnes misses 2-pt shot from 18 ft,,71-61,,
4:15.0,,,71-61,,Defensive rebound by G. Antetokounmpo
4:09.0,,,71-61,,M. Brogdon misses 3-pt shot from 23 ft
4:09.0,,,71-61,,Offensive rebound by T. Maker
4:04.0,,,71-61,,Turnover by T. Maker (lost ball; steal by D. Harris)
4:04.0,,,71-61,,Violation by K. Middleton (kicked ball)
4:04.0,Dallas full timeout,,71-61,,
4:04.0,,,71-61,,D. Liggins enters the game for E. Bledsoe
3:50.0,W. Matthews makes 2-pt shot from 13 ft,2,73-61,,
3:34.0,,,73-61,,G. Antetokounmpo misses 2-pt shot from 15 ft
3:31.0,Defensive rebound by D. Harris,,73-61,,
3:25.0,W. Matthews misses 2-pt shot at rim (block by G. Antetokounmpo),,73-61,,
3:21.0,,,73-61,,Defensive rebound by G. Antetokounmpo
3:03.0,,,73-63,2,M. Brogdon makes 2-pt shot from 1 ft
2:56.0,,,73-63,,Personal foul by M. Brogdon (drawn by J. Barea)
2:56.0,J. Barea makes free throw 1 of 2,1,74-63,,
2:56.0,J. Barea misses free throw 2 of 2,,74-63,,
2:52.0,,,74-63,,Defensive rebound by T. Maker
2:38.0,,,74-63,,Turnover by M. Brogdon (bad pass; steal by J. Barea)
2:31.0,Turnover by D. Harris (bad pass; steal by G. Antetokounmpo),,74-63,,
2:23.0,,,74-65,2,T. Maker makes 2-pt shot at rim (assist by G. Antetokounmpo)
2:01.0,,,74-65,,Personal foul by G. Antetokounmpo (drawn by D. Powell)
2:01.0,D. Powell makes free throw 1 of 2,1,75-65,,
2:01.0,D. Powell makes free throw 2 of 2,1,76-65,,
1:45.0,,,76-67,2,M. Brogdon makes 2-pt shot from 8 ft
1:36.0,Turnover by W. Matthews (lost ball; steal by M. Brogdon),,76-67,,
1:24.0,,,76-70,3,K. Middleton makes 3-pt shot from 25 ft (assist by M. Brogdon)
1:24.0,Dallas full timeout,,76-70,,
1:05.0,H. Barnes misses 2-pt shot from 7 ft,,76-70,,
1:03.0,,,76-70,,Defensive rebound by M. Brogdon
1:00.0,,,76-70,,G. Antetokounmpo misses 2-pt shot from 5 ft
1:00.0,,,76-70,,Offensive rebound by T. Maker
0:58.0,,,76-73,3,M. Brogdon makes 3-pt shot from 26 ft (assist by T. Maker)
0:45.0,Offensive charge foul by J. Barea (drawn by D. Liggins),,76-73,,
0:45.0,Turnover by J. Barea (offensive foul),,76-73,,
0:45.0,Technical foul by Team,,76-73,,
0:45.0,,,76-74,1,K. Middleton makes technical free throw
0:45.0,D. Nowitzki enters the game for H. Barnes,,76-74,,
0:35.0,,,76-77,3,K. Middleton makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
0:29.0,,,76-77,,Personal foul by G. Antetokounmpo (drawn by D. Nowitzki)
0:29.0,D. Nowitzki makes free throw 1 of 2,1,77-77,,
0:29.0,D. Nowitzki makes free throw 2 of 2,1,78-77,,
0:10.0,,,78-77,,D. Liggins misses 2-pt shot from 14 ft
0:08.0,Defensive rebound by J. Barea,,78-77,,
0:00.0,J. Barea misses 2-pt shot from 3 ft,,78-77,,
0:00.0,Offensive rebound by Team,,78-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:30.0,,,78-77,,G. Antetokounmpo misses 2-pt shot from 14 ft
11:27.0,Defensive rebound by J. Barea,,78-77,,
11:14.0,D. Harris misses 2-pt shot from 2 ft,,78-77,,
11:08.0,Offensive rebound by D. Powell,,78-77,,
11:08.0,D. Powell makes 2-pt shot at rim,2,80-77,,
10:48.0,,,80-80,3,K. Middleton makes 3-pt shot from 22 ft (assist by M. Brogdon)
10:33.0,Turnover by J. Barea (bad pass; steal by D. Liggins),,80-80,,
10:32.0,,,80-80,,K. Middleton misses 3-pt shot from 27 ft
10:32.0,,,80-80,,Offensive rebound by Team
10:32.0,,,80-80,,E. Bledsoe enters the game for K. Middleton
10:17.0,,,80-82,2,G. Antetokounmpo makes 2-pt shot from 14 ft (assist by M. Brogdon)
9:58.0,D. Nowitzki misses 2-pt shot from 11 ft,,80-82,,
9:56.0,,,80-82,,Defensive rebound by D. Liggins
9:50.0,,,80-84,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
9:50.0,Dallas full timeout,,80-84,,
9:34.0,D. Harris makes 3-pt shot from 26 ft (assist by Y. Ferrell),3,83-84,,
9:22.0,,,83-84,,Offensive charge foul by G. Antetokounmpo (drawn by D. Powell)
9:22.0,,,83-84,,Turnover by G. Antetokounmpo (offensive foul)
9:04.0,Turnover by D. Harris (bad pass; steal by D. Liggins),,83-84,,
8:51.0,,,83-84,,E. Bledsoe misses 3-pt shot from 26 ft
8:48.0,Defensive rebound by Y. Ferrell,,83-84,,
8:43.0,Y. Ferrell makes 2-pt shot from 14 ft,2,85-84,,
8:24.0,,,85-84,,Turnover by T. Maker (bad pass; steal by J. Barea)
8:07.0,J. Barea misses 3-pt shot from 26 ft,,85-84,,
8:04.0,,,85-84,,Defensive rebound by D. Liggins
8:02.0,,,85-86,2,E. Bledsoe makes 2-pt shot from 1 ft
8:02.0,,,85-86,,Shooting foul by Y. Ferrell (drawn by E. Bledsoe)
8:02.0,W. Matthews enters the game for Y. Ferrell,,85-86,,
8:02.0,Technical foul by D. Nowitzki,,85-86,,
8:02.0,,,85-87,1,M. Brogdon makes technical free throw
8:02.0,,,85-88,1,E. Bledsoe makes free throw 1 of 1
7:51.0,D. Powell misses 3-pt shot from 27 ft,,85-88,,
7:48.0,,,85-88,,Defensive rebound by G. Antetokounmpo
7:29.0,,,85-88,,M. Brogdon misses 3-pt shot from 27 ft
7:25.0,,,85-88,,Offensive rebound by G. Antetokounmpo
7:23.0,Y. Ferrell enters the game for J. Barea,,85-88,,
7:23.0,H. Barnes enters the game for D. Nowitzki,,85-88,,
7:18.0,,,85-91,3,E. Bledsoe makes 3-pt shot from 27 ft (assist by M. Brogdon)
6:55.0,Shooting foul by M. Brogdon (drawn by W. Matthews),,85-91,,
6:55.0,W. Matthews makes free throw 1 of 2,1,86-91,,
6:55.0,,,86-91,,K. Middleton enters the game for G. Antetokounmpo
6:55.0,W. Matthews makes free throw 2 of 2,1,87-91,,
6:44.0,,,87-91,,Offensive foul by D. Liggins (drawn by Y. Ferrell)
6:44.0,,,87-91,,Turnover by D. Liggins (offensive foul)
6:34.0,,,87-91,,Personal foul by D. Liggins (drawn by D. Harris)
6:17.0,W. Matthews makes 3-pt shot from 22 ft (assist by Y. Ferrell),3,90-91,,
6:05.0,,,90-93,2,T. Maker makes 2-pt shot at rim (assist by M. Brogdon)
5:47.0,H. Barnes makes 2-pt shot at rim,2,92-93,,
5:20.0,,,92-95,2,E. Bledsoe makes 2-pt shot from 19 ft
5:03.0,W. Matthews makes 3-pt shot from 22 ft (assist by D. Harris),3,95-95,,
5:03.0,,,95-95,,Milwaukee full timeout
4:55.0,,,95-95,,Turnover by E. Bledsoe (lost ball; steal by D. Harris)
4:51.0,H. Barnes misses 2-pt shot from 1 ft,,95-95,,
4:49.0,,,95-95,,Defensive rebound by D. Liggins
4:38.0,,,95-97,2,K. Middleton makes 2-pt shot from 7 ft
4:23.0,Shooting foul by D. Liggins (drawn by D. Harris),,95-97,,
4:23.0,D. Harris makes free throw 1 of 3,1,96-97,,
4:23.0,D. Harris makes free throw 2 of 3,1,97-97,,
4:23.0,,,97-97,,G. Antetokounmpo enters the game for D. Liggins
4:23.0,D. Harris makes free throw 3 of 3,1,98-97,,
4:10.0,,,98-99,2,K. Middleton makes 2-pt shot from 17 ft
