time,Atlanta,pts.away,score,pts.home,Indiana
1:15.0,,,15-29,,Personal foul by D. Collison (drawn by I. Taylor)
1:01.0,Turnover by M. Plumlee (out of bounds lost ball),,15-29,,
0:46.0,,,15-31,2,L. Stephenson makes 2-pt shot from 16 ft
0:29.0,M. Plumlee misses 2-pt shot at rim,,15-31,,
0:26.0,,,15-31,,Defensive rebound by G. Robinson
0:13.0,,,15-31,,Offensive foul by D. Sabonis (drawn by I. Taylor)
0:13.0,,,15-31,,Turnover by D. Sabonis (offensive foul)
0:13.0,T. Waller-Prince enters the game for M. Plumlee,,15-31,,
0:03.0,Turnover by I. Taylor (traveling),,15-31,,
0:00.0,,,15-34,3,D. Collison makes 3-pt shot from 25 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,15-34,,G. Robinson misses 2-pt shot from 18 ft
11:48.0,Defensive rebound by T. Dorsey,,15-34,,
11:25.0,J. Morris misses 2-pt shot from 18 ft,,15-34,,
11:22.0,,,15-34,,Defensive rebound by T. Booker
11:12.0,,,15-36,2,D. Collison makes 2-pt shot from 18 ft
11:05.0,Shooting foul by D. Sabonis (drawn by I. Taylor),,15-36,,
11:05.0,I. Taylor makes free throw 1 of 2,1,16-36,,
11:05.0,I. Taylor makes free throw 2 of 2,1,17-36,,
10:55.0,,,17-36,,L. Stephenson misses 2-pt shot from 21 ft
10:52.0,Defensive rebound by Team,,17-36,,
10:52.0,J. Collins enters the game for M. Plumlee,,17-36,,
10:40.0,T. Dorsey misses 2-pt shot from 22 ft,,17-36,,
10:36.0,,,17-36,,Defensive rebound by D. Collison
10:28.0,,,17-36,,Turnover by L. Stephenson (lost ball; steal by J. Morris)
10:20.0,T. Dorsey misses 3-pt shot from 27 ft,,17-36,,
10:17.0,,,17-36,,Defensive rebound by T. Booker
10:13.0,Personal foul by I. Taylor (drawn by D. Sabonis),,17-36,,
10:13.0,,,17-36,,B. Bogdanovic enters the game for G. Robinson
10:13.0,T. Waller-Prince enters the game for T. Dorsey,,17-36,,
10:13.0,K. Bazemore enters the game for M. Muscala,,17-36,,
10:00.0,,,17-36,,L. Stephenson misses 3-pt shot from 26 ft
9:56.0,Defensive rebound by K. Bazemore,,17-36,,
9:51.0,K. Bazemore makes 2-pt shot at rim,2,19-36,,
9:39.0,,,19-39,3,D. Collison makes 3-pt shot from 23 ft (assist by T. Booker)
9:38.0,Atlanta full timeout,,19-39,,
9:38.0,D. Schroder enters the game for I. Taylor,,19-39,,
9:29.0,D. Schroder makes 2-pt shot at rim,2,21-39,,
9:09.0,,,21-39,,T. Booker misses 2-pt shot from 7 ft
9:07.0,,,21-39,,Offensive rebound by D. Collison
8:59.0,,,21-39,,L. Stephenson misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by J. Collins,,21-39,,
8:50.0,Turnover by D. Schroder (traveling),,21-39,,
8:50.0,,,21-39,,C. Joseph enters the game for D. Collison
8:42.0,,,21-39,,Turnover by B. Bogdanovic (traveling)
8:22.0,Turnover by D. Schroder (lost ball; steal by C. Joseph),,21-39,,
8:18.0,,,21-39,,B. Bogdanovic misses 2-pt shot from 1 ft (block by T. Waller-Prince)
8:17.0,,,21-39,,Offensive rebound by Team
8:15.0,,,21-39,,C. Joseph misses 3-pt shot from 29 ft
8:11.0,Defensive rebound by T. Waller-Prince,,21-39,,
8:06.0,K. Bazemore misses 3-pt shot from 24 ft,,21-39,,
8:03.0,,,21-39,,Defensive rebound by L. Stephenson
7:56.0,,,21-39,,Shooting foul by K. Bazemore (drawn by D. Sabonis)
7:56.0,,,21-39,,D. Sabonis misses free throw 1 of 2
7:56.0,,,21-39,,Offensive rebound by Team
7:56.0,,,21-40,1,D. Sabonis makes free throw 2 of 2
7:38.0,T. Waller-Prince misses 2-pt shot from 15 ft,,21-40,,
7:37.0,,,21-40,,Defensive rebound by T. Booker
7:18.0,,,21-42,2,L. Stephenson makes 2-pt shot at rim
7:03.0,J. Collins makes 2-pt shot from 1 ft (assist by D. Schroder),2,23-42,,
6:43.0,,,23-42,,B. Bogdanovic misses 3-pt shot from 26 ft
6:39.0,Defensive rebound by J. Collins,,23-42,,
6:29.0,K. Bazemore misses 2-pt shot from 6 ft,,23-42,,
6:27.0,,,23-42,,Defensive rebound by D. Sabonis
6:27.0,Personal foul by K. Bazemore (drawn by L. Stephenson),,23-42,,
6:27.0,,,23-42,,V. Oladipo enters the game for L. Stephenson
6:27.0,,,23-42,,T. Young enters the game for T. Booker
6:27.0,D. Dedmon enters the game for J. Morris,,23-42,,
6:18.0,,,23-42,,B. Bogdanovic misses 2-pt shot from 18 ft
6:16.0,Defensive rebound by D. Dedmon,,23-42,,
6:06.0,D. Schroder misses 2-pt shot from 20 ft,,23-42,,
6:03.0,Offensive rebound by D. Schroder,,23-42,,
6:02.0,T. Waller-Prince makes 3-pt shot from 28 ft (assist by D. Schroder),3,26-42,,
6:00.0,,,26-42,,Indiana full timeout
6:00.0,,,26-42,,M. Turner enters the game for D. Sabonis
5:55.0,Personal foul by D. Schroder (drawn by C. Joseph),,26-42,,
5:37.0,,,26-42,,M. Turner misses 3-pt shot from 26 ft
5:34.0,Defensive rebound by K. Bazemore,,26-42,,
5:27.0,Turnover by D. Dedmon (lost ball; steal by T. Young),,26-42,,
5:22.0,,,26-42,,Turnover by V. Oladipo (out of bounds lost ball)
5:05.0,K. Bazemore misses 2-pt shot from 1 ft,,26-42,,
5:02.0,Offensive rebound by J. Collins,,26-42,,
5:01.0,J. Collins makes 2-pt shot from 1 ft,2,28-42,,
4:44.0,,,28-44,2,C. Joseph makes 2-pt shot from 13 ft
4:20.0,J. Collins makes 2-pt shot from 1 ft,2,30-44,,
4:04.0,,,30-44,,V. Oladipo misses 3-pt shot from 28 ft
4:01.0,Defensive rebound by D. Dedmon,,30-44,,
3:50.0,D. Dedmon misses 2-pt shot from 19 ft,,30-44,,
3:48.0,,,30-44,,Defensive rebound by M. Turner
3:41.0,Personal foul by T. Waller-Prince (drawn by B. Bogdanovic),,30-44,,
3:41.0,,,30-45,1,B. Bogdanovic makes free throw 1 of 2
3:41.0,T. Dorsey enters the game for D. Dedmon,,30-45,,
3:41.0,M. Muscala enters the game for K. Bazemore,,30-45,,
3:41.0,,,30-46,1,B. Bogdanovic makes free throw 2 of 2
3:28.0,D. Schroder makes 2-pt shot from 22 ft (assist by J. Collins),2,32-46,,
3:09.0,,,32-46,,T. Young misses 3-pt shot from 26 ft
3:09.0,Defensive rebound by Team,,32-46,,
3:09.0,,,32-46,,D. Collison enters the game for B. Bogdanovic
2:57.0,D. Schroder misses 2-pt shot from 20 ft,,32-46,,
2:54.0,,,32-46,,Defensive rebound by C. Joseph
2:39.0,,,32-48,2,M. Turner makes 2-pt shot from 12 ft (assist by D. Collison)
2:24.0,T. Waller-Prince misses 3-pt shot from 28 ft,,32-48,,
2:23.0,Offensive rebound by T. Dorsey,,32-48,,
2:16.0,,,32-48,,Personal foul by V. Oladipo (drawn by T. Waller-Prince)
2:09.0,Turnover by D. Schroder (lost ball; steal by C. Joseph),,32-48,,
2:06.0,,,32-50,2,C. Joseph makes 2-pt shot from 1 ft (assist by D. Collison)
1:54.0,T. Dorsey misses 3-pt shot from 27 ft,,32-50,,
1:51.0,,,32-50,,Defensive rebound by V. Oladipo
1:47.0,,,32-53,3,M. Turner makes 3-pt shot from 26 ft (assist by V. Oladipo)
1:30.0,Turnover by T. Waller-Prince (lost ball; steal by V. Oladipo),,32-53,,
1:09.0,,,32-53,,D. Collison misses 2-pt shot from 6 ft
1:06.0,Defensive rebound by M. Muscala,,32-53,,
0:59.0,D. Schroder makes 2-pt shot from 4 ft,2,34-53,,
0:42.0,,,34-53,,C. Joseph misses 3-pt shot from 22 ft
0:39.0,Defensive rebound by M. Muscala,,34-53,,
0:27.0,D. Schroder misses 2-pt shot from 1 ft (block by M. Turner),,34-53,,
0:25.0,,,34-53,,Defensive rebound by M. Turner
0:25.0,,,34-53,,Turnover by M. Turner (bad pass; steal by M. Muscala)
0:06.0,,,34-53,,Personal take foul by D. Collison (drawn by T. Dorsey)
0:02.0,D. Schroder makes 3-pt shot from 27 ft (assist by M. Muscala),3,37-53,,
0:00.0,,,37-53,,Turnover by T. Young (bad pass; steal by D. Schroder)
0:00.0,D. Schroder misses 3-pt shot from 46 ft,,37-53,,
0:00.0,Offensive rebound by Team,,37-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,37-56,3,V. Oladipo makes 3-pt shot from 28 ft (assist by C. Joseph)
11:30.0,,,37-56,,Shooting block foul by T. Young (drawn by D. Schroder)
11:30.0,D. Schroder makes free throw 1 of 2,1,38-56,,
11:30.0,D. Schroder makes free throw 2 of 2,1,39-56,,
11:20.0,,,39-56,,M. Turner misses 2-pt shot from 17 ft
11:16.0,Defensive rebound by J. Collins,,39-56,,
11:06.0,J. Morris misses 2-pt shot from 1 ft (block by M. Turner),,39-56,,
11:03.0,,,39-56,,Defensive rebound by C. Joseph
10:59.0,,,39-56,,Turnover by V. Oladipo (bad pass; steal by D. Dedmon)
10:45.0,D. Schroder makes 2-pt shot from 10 ft,2,41-56,,
10:26.0,,,41-56,,Turnover by V. Oladipo (lost ball; steal by K. Bazemore)
10:23.0,K. Bazemore makes 2-pt shot from 1 ft (assist by J. Morris),2,43-56,,
10:11.0,,,43-56,,Offensive charge foul by C. Joseph (drawn by D. Schroder)
10:11.0,,,43-56,,Turnover by C. Joseph (offensive foul)
10:02.0,,,43-56,,Personal foul by V. Oladipo (drawn by K. Bazemore)
9:55.0,K. Bazemore misses 2-pt shot from 1 ft,,43-56,,
9:51.0,Offensive rebound by K. Bazemore,,43-56,,
9:51.0,K. Bazemore misses 2-pt shot at rim,,43-56,,
9:51.0,,,43-56,,Defensive rebound by C. Joseph
9:47.0,,,43-58,2,V. Oladipo makes 2-pt shot from 4 ft (assist by C. Joseph)
9:34.0,J. Morris misses 3-pt shot from 24 ft,,43-58,,
9:31.0,,,43-58,,Defensive rebound by M. Turner
9:21.0,,,43-60,2,C. Joseph makes 2-pt shot from 15 ft
9:06.0,Turnover by D. Schroder (bad pass; steal by B. Bogdanovic),,43-60,,
9:04.0,Personal take foul by D. Schroder (drawn by B. Bogdanovic),,43-60,,
8:51.0,,,43-62,2,M. Turner makes 2-pt shot at rim
8:37.0,Turnover by J. Collins (lost ball; steal by T. Young),,43-62,,
8:33.0,,,43-64,2,V. Oladipo makes 2-pt shot at rim (assist by B. Bogdanovic)
8:32.0,Atlanta full timeout,,43-64,,
8:15.0,D. Dedmon misses 3-pt shot from 27 ft,,43-64,,
8:13.0,,,43-64,,Defensive rebound by C. Joseph
8:00.0,,,43-66,2,V. Oladipo makes 2-pt shot from 20 ft
7:42.0,D. Schroder misses 3-pt shot from 26 ft,,43-66,,
7:40.0,,,43-66,,Defensive rebound by M. Turner
7:27.0,,,43-66,,M. Turner misses 2-pt shot from 2 ft (block by K. Bazemore)
7:25.0,,,43-66,,Offensive rebound by Team
7:19.0,,,43-66,,Shooting foul by D. Dedmon (drawn by C. Joseph)
7:19.0,,,43-67,1,C. Joseph makes free throw 1 of 2
7:19.0,,,43-68,1,C. Joseph makes free throw 2 of 2
7:06.0,,,43-68,,Personal foul by C. Joseph (drawn by D. Schroder)
7:03.0,J. Morris makes 2-pt shot from 1 ft (assist by K. Bazemore),2,45-68,,
6:49.0,,,45-68,,M. Turner misses 3-pt shot from 26 ft
6:45.0,Defensive rebound by J. Collins,,45-68,,
6:31.0,Turnover by D. Schroder (bad pass),,45-68,,
6:16.0,,,45-68,,V. Oladipo misses 3-pt shot from 26 ft
6:13.0,Defensive rebound by D. Dedmon,,45-68,,
6:07.0,,,45-68,,Personal block foul by M. Turner (drawn by K. Bazemore)
6:07.0,T. Dorsey enters the game for K. Bazemore,,45-68,,
5:59.0,J. Collins misses 3-pt shot from 26 ft,,45-68,,
5:55.0,,,45-68,,Defensive rebound by C. Joseph
5:48.0,,,45-68,,T. Young misses 2-pt shot at rim
5:46.0,,,45-68,,Offensive rebound by M. Turner
5:46.0,,,45-68,,M. Turner misses 2-pt shot at rim
5:44.0,Defensive rebound by J. Collins,,45-68,,
5:36.0,T. Dorsey misses 3-pt shot from 27 ft,,45-68,,
5:33.0,,,45-68,,Defensive rebound by T. Young
5:28.0,,,45-71,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by V. Oladipo)
5:16.0,J. Morris makes 2-pt shot from 1 ft (assist by J. Collins),2,47-71,,
5:08.0,Personal foul by J. Morris (drawn by C. Joseph),,47-71,,
5:08.0,J. Magette enters the game for D. Dedmon,,47-71,,
5:08.0,M. Muscala enters the game for D. Schroder,,47-71,,
5:03.0,,,47-73,2,V. Oladipo makes 2-pt shot from 13 ft
5:03.0,,,47-73,,Shooting foul by T. Dorsey (drawn by V. Oladipo)
5:03.0,,,47-74,1,V. Oladipo makes free throw 1 of 1
4:52.0,Turnover by T. Dorsey (lost ball; steal by V. Oladipo),,47-74,,
4:47.0,,,47-76,2,T. Young makes 2-pt shot at rim (assist by B. Bogdanovic)
4:47.0,Atlanta full timeout,,47-76,,
4:47.0,M. Plumlee enters the game for J. Collins,,47-76,,
4:36.0,M. Muscala makes 3-pt shot from 27 ft (assist by J. Magette),3,50-76,,
4:21.0,,,50-76,,B. Bogdanovic misses 2-pt shot from 7 ft
4:18.0,,,50-76,,Offensive rebound by M. Turner
4:18.0,,,50-78,2,M. Turner makes 2-pt shot at rim
4:09.0,J. Morris makes 3-pt shot from 28 ft (assist by J. Magette),3,53-78,,
3:57.0,,,53-80,2,B. Bogdanovic makes 2-pt shot from 1 ft
3:36.0,J. Morris misses 3-pt shot from 24 ft,,53-80,,
3:34.0,,,53-80,,Defensive rebound by M. Turner
3:21.0,,,53-80,,T. Young misses 3-pt shot from 23 ft
3:17.0,,,53-80,,Offensive rebound by B. Bogdanovic
3:17.0,,,53-80,,B. Bogdanovic misses 2-pt shot at rim (block by J. Morris)
3:17.0,Defensive rebound by M. Plumlee,,53-80,,
3:10.0,M. Muscala misses 3-pt shot from 23 ft,,53-80,,
3:07.0,,,53-80,,Defensive rebound by B. Bogdanovic
3:03.0,,,53-80,,Indiana full timeout
3:03.0,A. White enters the game for J. Morris,,53-80,,
3:03.0,,,53-80,,D. Sabonis enters the game for T. Young
3:03.0,,,53-80,,G. Robinson enters the game for B. Bogdanovic
2:56.0,,,53-83,3,V. Oladipo makes 3-pt shot from 28 ft
2:43.0,Shooting foul by D. Sabonis (drawn by M. Plumlee),,53-83,,
2:43.0,M. Plumlee makes free throw 1 of 2,1,54-83,,
2:43.0,,,54-83,,L. Stephenson enters the game for V. Oladipo
2:43.0,M. Plumlee misses free throw 2 of 2,,54-83,,
2:40.0,,,54-83,,Defensive rebound by M. Turner
2:26.0,,,54-83,,M. Turner misses 2-pt shot from 2 ft
2:23.0,,,54-83,,Offensive rebound by M. Turner
2:23.0,,,54-85,2,M. Turner makes 2-pt shot at rim
2:11.0,M. Muscala makes 3-pt shot from 27 ft (assist by J. Magette),3,57-85,,
1:52.0,,,57-85,,M. Turner misses 2-pt shot from 14 ft
1:48.0,Defensive rebound by T. Dorsey,,57-85,,
1:38.0,T. Dorsey makes 3-pt shot from 26 ft (assist by M. Muscala),3,60-85,,
1:17.0,,,60-87,2,L. Stephenson makes 2-pt shot from 2 ft
0:51.0,Turnover by Team (shot clock),,60-87,,
0:51.0,,,60-87,,D. Collison enters the game for C. Joseph
0:51.0,,,60-87,,T. Booker enters the game for M. Turner
0:31.0,,,60-87,,D. Sabonis misses 2-pt shot from 19 ft
0:28.0,Defensive rebound by J. Magette,,60-87,,
0:10.0,T. Dorsey makes 3-pt shot from 28 ft,3,63-87,,
0:00.0,,,63-87,,D. Collison misses 2-pt shot from 17 ft
0:00.0,,,63-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,63-87,,Personal foul by T. Booker (drawn by M. Muscala)
11:39.0,M. Plumlee misses 2-pt shot from 9 ft,,63-87,,
11:36.0,,,63-87,,Defensive rebound by T. Booker
11:30.0,,,63-90,3,D. Sabonis makes 3-pt shot from 27 ft (assist by D. Collison)
11:21.0,Shooting foul by D. Sabonis (drawn by T. Dorsey),,63-90,,
11:21.0,T. Dorsey makes free throw 1 of 2,1,64-90,,
11:21.0,T. Dorsey makes free throw 2 of 2,1,65-90,,
11:00.0,,,65-90,,T. Booker misses 2-pt shot from 9 ft
11:00.0,,,65-90,,Offensive rebound by Team
11:00.0,Loose ball foul by J. Magette (drawn by D. Sabonis),,65-90,,
11:00.0,D. Dedmon enters the game for M. Muscala,,65-90,,
10:52.0,,,65-90,,G. Robinson misses 2-pt shot at rim
10:51.0,Defensive rebound by M. Plumlee,,65-90,,
10:43.0,T. Dorsey makes 2-pt shot from 1 ft,2,67-90,,
10:29.0,,,67-92,2,T. Booker makes 2-pt shot from 19 ft
10:12.0,T. Dorsey makes 3-pt shot from 25 ft (assist by D. Dedmon),3,70-92,,
9:55.0,,,70-95,3,T. Booker makes 3-pt shot from 28 ft (assist by D. Collison)
9:40.0,T. Dorsey makes 2-pt shot from 2 ft (assist by J. Magette),2,72-95,,
9:29.0,,,72-97,2,D. Collison makes 2-pt shot from 19 ft
9:16.0,T. Dorsey makes 2-pt shot at rim,2,74-97,,
9:16.0,Shooting foul by L. Stephenson (drawn by T. Dorsey),,74-97,,
9:16.0,,,74-97,,B. Bogdanovic enters the game for G. Robinson
9:16.0,M. Muscala enters the game for A. White,,74-97,,
9:16.0,J. Morris enters the game for M. Plumlee,,74-97,,
9:16.0,T. Dorsey makes free throw 1 of 1,1,75-97,,
9:13.0,,,75-97,,Indiana full timeout
8:55.0,,,75-97,,D. Sabonis misses 2-pt shot from 9 ft
8:54.0,Defensive rebound by D. Dedmon,,75-97,,
8:49.0,,,75-97,,Personal foul by L. Stephenson (drawn by D. Dedmon)
8:40.0,J. Morris misses 2-pt shot from 2 ft (block by T. Booker),,75-97,,
8:40.0,Offensive rebound by Team,,75-97,,
8:40.0,,,75-97,,Technical foul by B. Bogdanovic (drawn by M. Muscala)
8:40.0,M. Muscala makes free throw 1 of 1,1,76-97,,
8:34.0,T. Dorsey misses 3-pt shot from 28 ft,,76-97,,
8:31.0,,,76-97,,Defensive rebound by L. Stephenson
8:25.0,,,76-100,3,T. Booker makes 3-pt shot from 27 ft (assist by D. Sabonis)
8:05.0,T. Dorsey misses 2-pt shot from 2 ft,,76-100,,
8:02.0,Offensive rebound by M. Muscala,,76-100,,
8:02.0,M. Muscala makes 2-pt shot at rim,2,78-100,,
7:51.0,,,78-100,,D. Sabonis misses 3-pt shot from 28 ft
7:49.0,Defensive rebound by J. Morris,,78-100,,
7:39.0,Turnover by D. Dedmon (traveling),,78-100,,
7:39.0,A. White enters the game for T. Dorsey,,78-100,,
7:28.0,,,78-102,2,B. Bogdanovic makes 2-pt shot from 17 ft
7:04.0,A. White makes 3-pt shot from 26 ft (assist by J. Morris),3,81-102,,
6:34.0,,,81-102,,Turnover by L. Stephenson (lost ball; steal by M. Muscala)
6:23.0,A. White misses 2-pt shot from 17 ft,,81-102,,
6:22.0,,,81-102,,Defensive rebound by T. Booker
6:22.0,Personal foul by M. Muscala (drawn by T. Booker),,81-102,,
6:22.0,,,81-102,,C. Joseph enters the game for L. Stephenson
6:11.0,,,81-102,,Turnover by C. Joseph (bad pass; steal by A. White)
6:06.0,M. Muscala misses 3-pt shot from 25 ft,,81-102,,
6:03.0,,,81-102,,Defensive rebound by C. Joseph
5:50.0,,,81-102,,Turnover by T. Booker (bad pass)
5:50.0,M. Plumlee enters the game for D. Dedmon,,81-102,,
5:43.0,Turnover by M. Muscala (step out of bounds),,81-102,,
5:30.0,,,81-105,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by C. Joseph)
5:08.0,J. Morris makes 2-pt shot from 1 ft (assist by J. Magette),2,83-105,,
4:54.0,Violation by M. Plumlee (kicked ball),,83-105,,
4:54.0,T. Dorsey enters the game for J. Magette,,83-105,,
4:47.0,,,83-105,,C. Joseph misses 2-pt shot from 16 ft
4:43.0,Defensive rebound by M. Muscala,,83-105,,
4:35.0,A. White misses 3-pt shot from 28 ft,,83-105,,
4:31.0,,,83-105,,Defensive rebound by D. Sabonis
4:27.0,,,83-105,,D. Collison misses 2-pt shot from 15 ft
4:25.0,,,83-105,,Offensive rebound by C. Joseph
4:10.0,,,83-105,,C. Joseph misses 2-pt shot from 19 ft
4:08.0,,,83-105,,Offensive rebound by T. Booker
4:08.0,,,83-105,,T. Booker misses 2-pt shot at rim
4:08.0,,,83-105,,Offensive rebound by T. Booker
4:08.0,D. Dedmon enters the game for M. Muscala,,83-105,,
4:08.0,Jump ball: T. Booker vs. M. Plumlee (T. Dorsey gains possession),,,,Jump ball: T. Booker vs. M. Plumlee (T. Dorsey gains possession)
4:08.0,,,83-105,,Turnover by T. Booker (lost ball; steal by M. Plumlee)
3:53.0,Turnover by T. Dorsey (bad pass; steal by B. Bogdanovic),,83-105,,
3:49.0,,,83-105,,B. Bogdanovic misses 2-pt shot at rim
3:47.0,Defensive rebound by A. White,,83-105,,
3:40.0,T. Dorsey misses 2-pt shot from 11 ft,,83-105,,
3:40.0,,,83-105,,Defensive rebound by T. Booker
3:32.0,,,83-107,2,B. Bogdanovic makes 2-pt shot from 17 ft (assist by D. Collison)
3:15.0,Turnover by M. Plumlee (bad pass; steal by D. Collison),,83-107,,
3:11.0,,,83-109,2,D. Collison makes 2-pt shot from 3 ft
3:11.0,Atlanta full timeout,,83-109,,
3:11.0,,,83-109,,G. Robinson enters the game for B. Bogdanovic
3:11.0,J. Magette enters the game for J. Morris,,83-109,,
2:49.0,D. Dedmon makes 2-pt shot from 9 ft,2,85-109,,
2:32.0,,,85-109,,Shooting foul by T. Dorsey (drawn by D. Collison)
2:32.0,,,85-109,,T. Leaf enters the game for T. Booker
2:32.0,,,85-109,,D. Collison misses free throw 1 of 2
2:32.0,,,85-109,,Offensive rebound by Team
2:32.0,,,85-110,1,D. Collison makes free throw 2 of 2
2:20.0,J. Magette misses 2-pt shot from 19 ft,,85-110,,
