time,Detroit,pts.away,score,pts.home,Sacramento
7:11.0,B. Griffin makes free throw 1 of 2,1,10-4,,
7:11.0,B. Griffin makes free throw 2 of 2,1,11-4,,
6:58.0,,,11-6,2,J. Jackson makes 2-pt shot from 8 ft
6:47.0,R. Bullock makes 3-pt shot from 22 ft (assist by S. Johnson),3,14-6,,
6:29.0,,,14-6,,Z. Randolph misses 2-pt shot from 5 ft (block by B. Griffin)
6:29.0,,,14-6,,Offensive rebound by Z. Randolph
6:25.0,,,14-8,2,B. Hield makes 2-pt shot from 1 ft (assist by Z. Randolph)
6:18.0,S. Johnson misses 3-pt shot from 23 ft,,14-8,,
6:15.0,,,14-8,,Defensive rebound by W. Cauley-Stein
6:08.0,,,14-8,,B. Hield misses 2-pt shot from 15 ft
6:05.0,Defensive rebound by A. Drummond,,14-8,,
5:58.0,I. Smith makes 2-pt shot from 18 ft,2,16-8,,
5:51.0,,,16-8,,Turnover by D. Fox (bad pass; steal by I. Smith)
5:47.0,R. Bullock misses 3-pt shot from 24 ft,,16-8,,
5:43.0,,,16-8,,Defensive rebound by W. Cauley-Stein
5:31.0,,,16-8,,Z. Randolph misses 2-pt shot from 7 ft
5:28.0,Defensive rebound by B. Griffin,,16-8,,
5:23.0,Turnover by I. Smith (bad pass; steal by B. Hield),,16-8,,
5:18.0,,,16-11,3,B. Hield makes 3-pt shot from 24 ft (assist by J. Jackson)
4:57.0,R. Bullock makes 2-pt shot from 20 ft,2,18-11,,
4:41.0,,,18-13,2,W. Cauley-Stein makes 2-pt shot from 20 ft (assist by D. Fox)
4:31.0,Detroit full timeout,,18-13,,
4:31.0,,,18-13,,S. Labissiere enters the game for Z. Randolph
4:31.0,,,18-13,,K. Koufos enters the game for W. Cauley-Stein
4:31.0,L. Kennard enters the game for S. Johnson,,18-13,,
4:31.0,A. Tolliver enters the game for A. Drummond,,18-13,,
4:20.0,B. Griffin makes 2-pt shot from 3 ft,2,20-13,,
4:06.0,,,20-13,,Turnover by B. Hield (bad pass)
3:58.0,I. Smith misses 2-pt shot from 19 ft,,20-13,,
3:55.0,,,20-13,,Defensive rebound by K. Koufos
3:44.0,,,20-13,,S. Labissiere misses 2-pt shot from 1 ft
3:42.0,Defensive rebound by B. Griffin,,20-13,,
3:37.0,Turnover by B. Griffin (bad pass; steal by J. Jackson),,20-13,,
3:25.0,,,20-13,,Turnover by B. Hield (step out of bounds)
3:25.0,,,20-13,,G. Temple enters the game for D. Fox
3:25.0,,,20-13,,F. Mason enters the game for B. Hield
3:25.0,D. Buycks enters the game for I. Smith,,20-13,,
3:12.0,B. Griffin misses 2-pt shot from 18 ft,,20-13,,
3:08.0,,,20-13,,Defensive rebound by F. Mason
2:50.0,,,20-15,2,J. Jackson makes 2-pt shot from 20 ft (assist by K. Koufos)
2:31.0,A. Tolliver makes 3-pt shot from 25 ft (assist by B. Griffin),3,23-15,,
2:22.0,,,23-17,2,S. Labissiere makes 2-pt shot from 15 ft (assist by F. Mason)
2:08.0,R. Bullock misses 2-pt shot from 18 ft,,23-17,,
2:05.0,,,23-17,,Defensive rebound by K. Koufos
1:57.0,,,23-17,,S. Labissiere misses 3-pt shot from 25 ft
1:53.0,Defensive rebound by L. Kennard,,23-17,,
1:47.0,L. Kennard misses 2-pt shot from 9 ft,,23-17,,
1:43.0,,,23-17,,Defensive rebound by S. Labissiere
1:35.0,,,23-19,2,J. Jackson makes 2-pt shot from 9 ft (assist by F. Mason)
1:17.0,A. Tolliver misses 3-pt shot from 25 ft,,23-19,,
1:13.0,,,23-19,,Defensive rebound by J. Jackson
1:06.0,,,23-19,,G. Temple misses 3-pt shot from 24 ft
1:03.0,Defensive rebound by B. Griffin,,23-19,,
0:54.0,R. Bullock misses 3-pt shot from 24 ft,,23-19,,
0:51.0,Offensive rebound by D. Buycks,,23-19,,
0:47.0,Shooting foul by K. Koufos (drawn by A. Tolliver),,23-19,,
0:47.0,A. Tolliver makes free throw 1 of 2,1,24-19,,
0:47.0,,,24-19,,V. Carter enters the game for J. Jackson
0:47.0,A. Drummond enters the game for B. Griffin,,24-19,,
0:47.0,J. Ennis enters the game for R. Bullock,,24-19,,
0:47.0,A. Tolliver makes free throw 2 of 2,1,25-19,,
0:29.0,,,25-19,,F. Mason misses 2-pt shot from 6 ft
0:26.0,,,25-19,,Offensive rebound by F. Mason
0:25.0,,,25-21,2,F. Mason makes 2-pt shot from 2 ft
0:02.0,A. Drummond misses 2-pt shot from 13 ft,,25-21,,
0:01.0,Offensive rebound by Team,,25-21,,
0:01.0,Turnover by Team (shot clock),,25-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,25-21,,K. Koufos misses 2-pt shot from 8 ft
11:34.0,Defensive rebound by A. Drummond,,25-21,,
11:33.0,,,25-21,,Personal foul by F. Mason (drawn by A. Drummond)
11:24.0,L. Kennard misses 3-pt shot from 25 ft,,25-21,,
11:20.0,,,25-21,,Defensive rebound by K. Koufos
11:09.0,,,25-21,,K. Koufos misses 2-pt shot from 6 ft
11:07.0,Defensive rebound by D. Buycks,,25-21,,
10:49.0,A. Tolliver misses 2-pt shot from 7 ft,,25-21,,
10:45.0,Offensive rebound by A. Drummond,,25-21,,
10:45.0,A. Drummond misses 2-pt shot at rim,,25-21,,
10:44.0,,,25-21,,Defensive rebound by S. Labissiere
10:30.0,,,25-21,,F. Mason misses 2-pt shot from 21 ft
10:26.0,Defensive rebound by A. Drummond,,25-21,,
10:07.0,Shooting foul by S. Labissiere (drawn by A. Drummond),,25-21,,
10:07.0,A. Drummond misses free throw 1 of 2,,25-21,,
10:07.0,Offensive rebound by Team,,25-21,,
10:07.0,A. Drummond misses free throw 2 of 2,,25-21,,
10:06.0,,,25-21,,Defensive rebound by Team
9:49.0,,,25-21,,G. Temple misses 3-pt shot from 26 ft
9:45.0,Defensive rebound by J. Ennis,,25-21,,
9:36.0,D. Buycks makes 2-pt shot from 2 ft (assist by J. Ennis),2,27-21,,
9:29.0,,,27-21,,G. Temple misses 2-pt shot from 2 ft
9:29.0,Defensive rebound by A. Tolliver,,27-21,,
9:26.0,,,27-21,,Personal foul by G. Temple (drawn by D. Buycks)
9:19.0,D. Buycks makes 2-pt shot from 20 ft,2,29-21,,
9:17.0,,,29-21,,Sacramento full timeout
9:03.0,Personal foul by A. Tolliver (drawn by S. Labissiere),,29-21,,
8:52.0,,,29-23,2,G. Temple makes 2-pt shot from 23 ft
8:38.0,Turnover by A. Drummond (bad pass; steal by V. Carter),,29-23,,
8:34.0,,,29-25,2,V. Carter makes 2-pt shot from 1 ft
8:20.0,J. Ennis misses 3-pt shot from 24 ft,,29-25,,
8:16.0,,,29-25,,Defensive rebound by S. Labissiere
8:07.0,,,29-25,,Turnover by V. Carter (out of bounds lost ball)
7:52.0,L. Kennard misses 2-pt shot from 9 ft,,29-25,,
7:49.0,,,29-25,,Defensive rebound by K. Koufos
7:33.0,,,29-25,,Shooting foul by A. Drummond (drawn by S. Labissiere)
7:33.0,,,29-26,1,S. Labissiere makes free throw 1 of 2
7:33.0,I. Smith enters the game for D. Buycks,,29-26,,
7:33.0,,,29-27,1,S. Labissiere makes free throw 2 of 2
7:17.0,J. Ennis misses 2-pt shot from 3 ft (block by V. Carter),,29-27,,
7:15.0,Offensive rebound by J. Ennis,,29-27,,
7:15.0,,,29-27,,B. Hield enters the game for S. Labissiere
6:58.0,Turnover by L. Kennard (step out of bounds),,29-27,,
6:58.0,S. Johnson enters the game for J. Ennis,,29-27,,
6:45.0,B. Griffin enters the game for A. Tolliver,,29-27,,
6:37.0,,,29-27,,G. Temple misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by A. Drummond,,29-27,,
6:23.0,A. Drummond misses 2-pt shot from 9 ft,,29-27,,
6:19.0,,,29-27,,Defensive rebound by F. Mason
6:15.0,,,29-30,3,F. Mason makes 3-pt shot from 24 ft
6:08.0,Detroit full timeout,,29-30,,
6:00.0,L. Kennard makes 2-pt shot from 7 ft,2,31-30,,
5:45.0,Def 3 sec tech foul by A. Drummond,,31-30,,
5:45.0,,,31-31,1,B. Hield makes technical free throw
5:45.0,,,31-31,,D. Fox enters the game for F. Mason
5:36.0,,,31-31,,V. Carter misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by I. Smith,,31-31,,
5:20.0,S. Johnson makes 2-pt shot from 14 ft (assist by B. Griffin),2,33-31,,
5:09.0,,,33-31,,Offensive charge foul by V. Carter (drawn by B. Griffin)
5:09.0,,,33-31,,Turnover by V. Carter (offensive foul)
5:09.0,,,33-31,,W. Cauley-Stein enters the game for K. Koufos
4:55.0,,,33-31,,Personal foul by V. Carter (drawn by B. Griffin)
4:55.0,Offensive foul by A. Drummond (drawn by W. Cauley-Stein),,33-31,,
4:55.0,Turnover by A. Drummond (offensive foul),,33-31,,
4:38.0,,,33-33,2,B. Hield makes 2-pt shot from 8 ft
4:23.0,A. Drummond misses 2-pt shot from 6 ft,,33-33,,
4:18.0,,,33-33,,Defensive rebound by B. Hield
4:12.0,,,33-35,2,V. Carter makes 2-pt shot from 11 ft
3:47.0,B. Griffin misses 2-pt shot from 6 ft,,33-35,,
3:40.0,Offensive rebound by B. Griffin,,33-35,,
3:40.0,B. Griffin makes 2-pt shot at rim,2,35-35,,
3:34.0,,,35-37,2,D. Fox makes 2-pt shot from 12 ft
3:07.0,S. Johnson makes 3-pt shot from 26 ft (assist by B. Griffin),3,38-37,,
2:53.0,,,38-37,,V. Carter misses 3-pt shot from 25 ft
2:48.0,,,38-37,,Offensive rebound by W. Cauley-Stein
2:45.0,,,38-39,2,D. Fox makes 2-pt shot from 10 ft (assist by B. Hield)
2:20.0,Turnover by A. Drummond (bad pass; steal by V. Carter),,38-39,,
2:14.0,,,38-41,2,B. Hield makes 2-pt shot from 1 ft
1:48.0,B. Griffin makes 3-pt shot from 25 ft,3,41-41,,
1:33.0,,,41-41,,D. Fox misses 2-pt shot from 3 ft (block by I. Smith)
1:27.0,Defensive rebound by A. Drummond,,41-41,,
1:18.0,,,41-41,,Personal foul by V. Carter (drawn by B. Griffin)
1:18.0,B. Griffin misses free throw 1 of 2,,41-41,,
1:18.0,Offensive rebound by Team,,41-41,,
1:18.0,,,41-41,,J. Jackson enters the game for V. Carter
1:18.0,,,41-41,,Z. Randolph enters the game for G. Temple
1:18.0,R. Bullock enters the game for A. Drummond,,41-41,,
1:18.0,A. Tolliver enters the game for L. Kennard,,41-41,,
1:18.0,B. Griffin makes free throw 2 of 2,1,42-41,,
1:05.0,,,42-43,2,J. Jackson makes 2-pt shot from 1 ft (assist by Z. Randolph)
0:49.0,I. Smith makes 2-pt shot from 13 ft,2,44-43,,
0:44.0,,,44-43,,Shooting foul by A. Tolliver (drawn by W. Cauley-Stein)
0:44.0,,,44-44,1,W. Cauley-Stein makes free throw 1 of 2
0:44.0,,,44-44,,W. Cauley-Stein misses free throw 2 of 2
0:42.0,Defensive rebound by B. Griffin,,44-44,,
0:32.0,A. Tolliver misses 3-pt shot from 23 ft,,44-44,,
0:29.0,Offensive rebound by Team,,44-44,,
0:08.0,S. Johnson misses 2-pt shot from 2 ft,,44-44,,
0:05.0,,,44-44,,Defensive rebound by D. Fox
0:03.0,,,44-44,,B. Hield misses 3-pt shot from 25 ft
0:03.0,,,44-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,44-44,,B. Hield misses 2-pt shot from 18 ft
11:38.0,Defensive rebound by S. Johnson,,44-44,,
11:26.0,S. Johnson makes 2-pt shot from 12 ft,2,46-44,,
11:03.0,,,46-46,2,D. Fox makes 2-pt shot from 13 ft
10:46.0,,,46-46,,Personal foul by J. Jackson (drawn by S. Johnson)
10:38.0,A. Drummond makes 2-pt shot from 1 ft (assist by I. Smith),2,48-46,,
10:27.0,Personal foul by S. Johnson (drawn by Z. Randolph),,48-46,,
10:24.0,,,48-48,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by B. Hield)
9:55.0,B. Griffin misses 2-pt shot from 13 ft,,48-48,,
9:52.0,,,48-48,,Defensive rebound by Z. Randolph
9:45.0,Personal foul by I. Smith (drawn by D. Fox),,48-48,,
9:35.0,,,48-48,,W. Cauley-Stein misses 2-pt shot from 1 ft (block by A. Drummond)
9:31.0,Defensive rebound by B. Griffin,,48-48,,
9:30.0,Shooting foul by D. Fox (drawn by S. Johnson),,48-48,,
9:30.0,S. Johnson makes free throw 1 of 2,1,49-48,,
9:30.0,S. Johnson makes free throw 2 of 2,1,50-48,,
9:12.0,,,50-50,2,J. Jackson makes 2-pt shot from 6 ft (assist by D. Fox)
9:00.0,R. Bullock makes 3-pt shot from 25 ft (assist by B. Griffin),3,53-50,,
8:47.0,,,53-52,2,Z. Randolph makes 2-pt shot from 16 ft (assist by W. Cauley-Stein)
8:31.0,B. Griffin misses 2-pt shot from 15 ft,,53-52,,
8:26.0,,,53-52,,Defensive rebound by B. Hield
8:23.0,,,53-55,3,B. Hield makes 3-pt shot from 24 ft
8:02.0,I. Smith makes 2-pt shot from 17 ft,2,55-55,,
7:54.0,,,55-55,,Turnover by D. Fox (bad pass; steal by I. Smith)
7:42.0,R. Bullock makes 2-pt shot from 1 ft,2,57-55,,
7:27.0,,,57-57,2,W. Cauley-Stein makes 2-pt shot from 7 ft
7:09.0,,,57-57,,Personal foul by Z. Randolph (drawn by B. Griffin)
6:58.0,I. Smith misses 3-pt shot from 25 ft,,57-57,,
6:55.0,,,57-57,,Defensive rebound by B. Hield
6:50.0,,,57-57,,Turnover by B. Hield (bad pass; steal by S. Johnson)
6:45.0,,,57-57,,Personal foul by J. Jackson (drawn by A. Drummond)
6:45.0,,,57-57,,Sacramento full timeout
6:30.0,B. Griffin makes 2-pt shot from 2 ft,2,59-57,,
6:14.0,,,59-57,,Z. Randolph misses 2-pt shot from 21 ft
6:10.0,Defensive rebound by A. Drummond,,59-57,,
5:51.0,B. Griffin makes 2-pt shot at rim,2,61-57,,
5:43.0,,,61-57,,W. Cauley-Stein misses 2-pt shot at rim
5:41.0,Defensive rebound by S. Johnson,,61-57,,
5:37.0,Shooting foul by B. Hield (drawn by S. Johnson),,61-57,,
5:37.0,S. Johnson makes free throw 1 of 2,1,62-57,,
5:37.0,,,62-57,,S. Labissiere enters the game for Z. Randolph
5:37.0,A. Tolliver enters the game for A. Drummond,,62-57,,
5:37.0,S. Johnson makes free throw 2 of 2,1,63-57,,
5:24.0,,,63-57,,D. Fox misses 2-pt shot from 12 ft
5:20.0,Defensive rebound by I. Smith,,63-57,,
5:12.0,B. Griffin makes 3-pt shot from 25 ft,3,66-57,,
4:56.0,,,66-59,2,B. Hield makes 2-pt shot from 20 ft (assist by S. Labissiere)
4:46.0,R. Bullock misses 3-pt shot from 24 ft,,66-59,,
4:44.0,,,66-59,,Defensive rebound by Team
4:44.0,Loose ball foul by I. Smith (drawn by D. Fox),,66-59,,
4:35.0,,,66-59,,W. Cauley-Stein misses 2-pt shot from 1 ft
4:32.0,Defensive rebound by B. Griffin,,66-59,,
4:25.0,B. Griffin misses 2-pt shot from 22 ft,,66-59,,
4:21.0,,,66-59,,Defensive rebound by B. Hield
4:16.0,,,66-59,,Shooting foul by A. Tolliver (drawn by D. Fox)
4:16.0,,,66-59,,D. Fox misses free throw 1 of 3
4:16.0,,,66-59,,Offensive rebound by Team
4:16.0,,,66-59,,D. Fox misses free throw 2 of 3
4:16.0,,,66-59,,Offensive rebound by Team
4:16.0,,,66-59,,G. Temple enters the game for B. Hield
4:16.0,,,66-59,,D. Fox misses free throw 3 of 3
4:13.0,Defensive rebound by B. Griffin,,66-59,,
3:53.0,R. Bullock misses 2-pt shot from 19 ft,,66-59,,
3:50.0,,,66-59,,Defensive rebound by D. Fox
3:47.0,,,66-61,2,D. Fox makes 2-pt shot from 2 ft
3:30.0,B. Griffin makes 2-pt shot from 1 ft,2,68-61,,
3:09.0,,,68-61,,S. Labissiere misses 2-pt shot from 4 ft
3:07.0,Defensive rebound by S. Johnson,,68-61,,
3:03.0,S. Johnson misses 2-pt shot from 20 ft,,68-61,,
3:03.0,,,68-61,,Defensive rebound by J. Jackson
2:55.0,,,68-61,,G. Temple misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by S. Johnson,,68-61,,
2:40.0,B. Griffin misses 2-pt shot from 3 ft,,68-61,,
2:36.0,,,68-61,,Defensive rebound by W. Cauley-Stein
2:20.0,,,68-61,,W. Cauley-Stein misses 2-pt shot from 17 ft
2:17.0,Defensive rebound by B. Griffin,,68-61,,
2:12.0,A. Tolliver misses 3-pt shot from 27 ft,,68-61,,
2:08.0,,,68-61,,Defensive rebound by J. Jackson
1:46.0,,,68-61,,Turnover by S. Labissiere (lost ball; steal by S. Johnson)
1:22.0,Shooting foul by D. Fox (drawn by B. Griffin),,68-61,,
1:22.0,Detroit full timeout,,68-61,,
1:22.0,,,68-61,,F. Mason enters the game for W. Cauley-Stein
1:22.0,,,68-61,,V. Carter enters the game for D. Fox
1:22.0,,,68-61,,K. Koufos enters the game for J. Jackson
1:22.0,D. Buycks enters the game for S. Johnson,,68-61,,
1:22.0,J. Ennis enters the game for I. Smith,,68-61,,
1:22.0,B. Griffin makes free throw 1 of 2,1,69-61,,
1:22.0,B. Griffin makes free throw 2 of 2,1,70-61,,
1:06.0,,,70-63,2,S. Labissiere makes 2-pt shot from 17 ft
0:40.0,B. Griffin misses 3-pt shot from 25 ft,,70-63,,
0:37.0,,,70-63,,Defensive rebound by G. Temple
0:29.0,,,70-66,3,V. Carter makes 3-pt shot from 25 ft (assist by K. Koufos)
0:13.0,A. Tolliver makes 3-pt shot from 24 ft (assist by R. Bullock),3,73-66,,
0:03.0,,,73-66,,F. Mason misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by A. Tolliver,,73-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Shooting foul by S. Labissiere (drawn by J. Ennis),,73-66,,
11:42.0,J. Ennis makes free throw 1 of 2,1,74-66,,
11:42.0,J. Ennis makes free throw 2 of 2,1,75-66,,
11:20.0,,,75-68,2,F. Mason makes 2-pt shot from 17 ft (assist by K. Koufos)
11:20.0,,,75-68,,Shooting foul by D. Buycks (drawn by F. Mason)
11:20.0,,,75-68,,F. Mason misses free throw 1 of 1
11:20.0,Defensive rebound by A. Drummond,,75-68,,
11:07.0,L. Kennard makes 3-pt shot from 25 ft (assist by A. Tolliver),3,78-68,,
10:54.0,Personal foul by A. Drummond (drawn by F. Mason),,78-68,,
10:46.0,,,78-68,,G. Temple misses 2-pt shot from 8 ft
10:44.0,,,78-68,,S. Labissiere misses 2-pt shot from 1 ft
10:44.0,,,78-68,,Offensive rebound by S. Labissiere
10:43.0,,,78-68,,Offensive rebound by S. Labissiere
10:42.0,,,78-68,,S. Labissiere misses 2-pt shot at rim
10:39.0,,,78-68,,Offensive rebound by V. Carter
10:38.0,Personal foul by J. Ennis (drawn by F. Mason),,78-68,,
10:24.0,,,78-68,,S. Labissiere misses 2-pt shot from 15 ft
10:21.0,Defensive rebound by A. Drummond,,78-68,,
10:14.0,A. Drummond misses 2-pt shot from 9 ft,,78-68,,
10:11.0,Offensive rebound by A. Drummond,,78-68,,
10:11.0,A. Drummond makes 2-pt shot from 1 ft,2,80-68,,
9:59.0,,,80-68,,Turnover by F. Mason (bad pass; steal by L. Kennard)
9:45.0,D. Buycks misses 2-pt shot from 18 ft,,80-68,,
9:42.0,,,80-68,,Defensive rebound by G. Temple
9:27.0,,,80-68,,K. Koufos misses 2-pt shot from 8 ft (block by A. Drummond)
9:23.0,,,80-68,,Offensive rebound by F. Mason
9:21.0,,,80-68,,F. Mason misses 3-pt shot from 25 ft
9:19.0,Defensive rebound by A. Drummond,,80-68,,
9:10.0,D. Buycks misses 2-pt shot from 3 ft,,80-68,,
9:10.0,,,80-68,,Defensive rebound by Team
9:10.0,,,80-68,,Sacramento full timeout
9:10.0,,,80-68,,B. Hield enters the game for S. Labissiere
8:51.0,,,80-68,,G. Temple misses 3-pt shot from 22 ft
8:47.0,Defensive rebound by D. Buycks,,80-68,,
8:38.0,Turnover by D. Buycks (bad pass; steal by F. Mason),,80-68,,
8:30.0,,,80-68,,G. Temple misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by A. Drummond,,80-68,,
8:13.0,J. Ennis misses 3-pt shot from 27 ft,,80-68,,
8:09.0,,,80-68,,Defensive rebound by K. Koufos
8:00.0,,,80-68,,V. Carter misses 3-pt shot from 24 ft
7:56.0,,,80-68,,Offensive rebound by F. Mason
7:54.0,,,80-68,,F. Mason misses 2-pt shot from 13 ft
7:52.0,Defensive rebound by A. Drummond,,80-68,,
7:46.0,A. Tolliver makes 3-pt shot from 23 ft (assist by J. Ennis),3,83-68,,
7:29.0,,,83-68,,G. Temple misses 2-pt shot from 10 ft
7:26.0,Defensive rebound by A. Tolliver,,83-68,,
7:22.0,Shooting foul by G. Temple (drawn by J. Ennis),,83-68,,
7:22.0,J. Ennis makes free throw 1 of 2,1,84-68,,
7:22.0,,,84-68,,W. Cauley-Stein enters the game for F. Mason
7:22.0,,,84-68,,D. Fox enters the game for V. Carter
7:22.0,,,84-68,,S. Labissiere enters the game for G. Temple
7:22.0,,,84-68,,J. Jackson enters the game for K. Koufos
7:22.0,I. Smith enters the game for D. Buycks,,84-68,,
7:22.0,J. Ennis makes free throw 2 of 2,1,85-68,,
7:08.0,,,85-70,2,D. Fox makes 2-pt shot at rim (assist by W. Cauley-Stein)
6:52.0,Turnover by A. Tolliver (bad pass; steal by B. Hield),,85-70,,
6:46.0,,,85-72,2,S. Labissiere makes 2-pt shot from 1 ft (assist by W. Cauley-Stein)
6:46.0,Detroit full timeout,,85-72,,
6:46.0,R. Bullock enters the game for A. Drummond,,85-72,,
6:46.0,B. Griffin enters the game for J. Ennis,,85-72,,
6:32.0,L. Kennard makes 3-pt shot from 25 ft (assist by R. Bullock),3,88-72,,
6:17.0,,,88-72,,B. Hield misses 3-pt shot from 25 ft
6:14.0,Defensive rebound by Team,,88-72,,
5:57.0,Turnover by L. Kennard (bad pass; steal by S. Labissiere),,88-72,,
5:51.0,,,88-74,2,B. Hield makes 2-pt shot from 14 ft
5:32.0,I. Smith makes 3-pt shot from 23 ft (assist by B. Griffin),3,91-74,,
5:20.0,,,91-74,,Offensive charge foul by W. Cauley-Stein (drawn by A. Tolliver)
5:20.0,,,91-74,,Turnover by W. Cauley-Stein (offensive foul)
5:06.0,R. Bullock makes 2-pt shot from 12 ft (assist by I. Smith),2,93-74,,
4:49.0,,,93-76,2,J. Jackson makes 2-pt shot from 9 ft (assist by W. Cauley-Stein)
4:35.0,Shooting foul by D. Fox (drawn by I. Smith),,93-76,,
4:35.0,I. Smith makes free throw 1 of 2,1,94-76,,
4:35.0,I. Smith makes free throw 2 of 2,1,95-76,,
4:26.0,,,95-76,,Turnover by D. Fox (bad pass)
4:09.0,R. Bullock makes 3-pt shot from 25 ft (assist by B. Griffin),3,98-76,,
3:57.0,,,98-78,2,S. Labissiere makes 2-pt shot from 19 ft (assist by D. Fox)
3:41.0,R. Bullock misses 2-pt shot from 2 ft (block by S. Labissiere),,98-78,,
3:37.0,,,98-78,,Defensive rebound by W. Cauley-Stein
3:33.0,,,98-81,3,B. Hield makes 3-pt shot from 25 ft
3:29.0,,,98-81,,Personal foul by B. Hield (drawn by L. Kennard)
3:14.0,L. Kennard misses 3-pt shot from 25 ft,,98-81,,
3:12.0,,,98-81,,Defensive rebound by Team
3:02.0,,,98-83,2,D. Fox makes 2-pt shot from 20 ft
2:43.0,B. Griffin misses 2-pt shot from 2 ft,,98-83,,
2:40.0,Offensive rebound by A. Tolliver,,98-83,,
2:40.0,A. Tolliver misses 2-pt shot from 2 ft (block by S. Labissiere),,98-83,,
2:37.0,,,98-83,,Defensive rebound by B. Hield
2:33.0,,,98-85,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by B. Hield)
2:07.0,I. Smith makes 2-pt shot from 17 ft,2,100-85,,
1:56.0,,,100-88,3,J. Jackson makes 3-pt shot from 24 ft (assist by D. Fox)
1:38.0,L. Kennard makes 2-pt shot from 11 ft (assist by B. Griffin),2,102-88,,
1:27.0,,,102-90,2,D. Fox makes 2-pt shot from 2 ft (assist by B. Hield)
1:08.0,I. Smith makes 3-pt shot from 24 ft,3,105-90,,
0:56.0,,,105-90,,Turnover by S. Labissiere (step out of bounds)
0:56.0,,,105-90,,B. Caboclo enters the game for D. Fox
0:36.0,Shooting foul by S. Labissiere (drawn by A. Tolliver),,105-90,,
0:36.0,A. Tolliver misses free throw 1 of 2,,105-90,,
0:36.0,Offensive rebound by Team,,105-90,,
0:36.0,J. Ennis enters the game for B. Griffin,,105-90,,
0:36.0,A. Tolliver makes free throw 2 of 2,1,106-90,,
0:14.0,,,106-90,,B. Hield misses 2-pt shot from 20 ft
0:12.0,Defensive rebound by J. Ennis,,106-90,,
