time,Boston,pts.away,score,pts.home,Phoenix
3:02.0,J. Tatum misses 2-pt shot from 3 ft,,93-83,,
3:00.0,,,93-83,,Defensive rebound by A. Williams
2:39.0,,,93-83,,T. Ulis misses 3-pt shot from 29 ft
2:36.0,,,93-83,,Offensive rebound by J. Jackson
2:30.0,,,93-83,,Shooting foul by A. Horford (drawn by J. Jackson)
2:30.0,,,93-83,,J. Jackson misses free throw 1 of 2
2:30.0,,,93-83,,Offensive rebound by Team
2:30.0,,,93-83,,M. Chriss enters the game for A. Williams
2:30.0,,,93-83,,J. Jackson misses free throw 2 of 2
2:28.0,Defensive rebound by S. Ojeleye,,93-83,,
2:14.0,A. Horford makes 2-pt shot from 1 ft,2,95-83,,
2:05.0,,,95-83,,T. Daniels misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by J. Tatum,,95-83,,
1:49.0,T. Rozier makes 3-pt shot from 26 ft,3,98-83,,
1:30.0,,,98-86,3,D. Bender makes 3-pt shot from 22 ft (assist by M. Chriss)
1:16.0,J. Tatum makes 2-pt shot from 1 ft (assist by A. Horford),2,100-86,,
0:58.0,,,100-89,3,T. Daniels makes 3-pt shot from 29 ft
0:36.0,A. Horford misses 2-pt shot from 9 ft,,100-89,,
0:33.0,,,100-89,,Defensive rebound by T. Daniels
0:26.0,,,100-91,2,M. Chriss makes 2-pt shot at rim (assist by T. Ulis)
0:18.0,J. Bird enters the game for J. Tatum,,100-91,,
0:18.0,K. Allen enters the game for S. Ojeleye,,100-91,,
0:18.0,G. Yabusele enters the game for A. Horford,,100-91,,
0:18.0,,,100-91,,Personal take foul by J. Jackson (drawn by T. Rozier)
0:18.0,T. Rozier makes free throw 1 of 2,1,101-91,,
0:18.0,T. Rozier makes free throw 2 of 2,1,102-91,,
0:13.0,,,102-94,3,T. Ulis makes 3-pt shot from 27 ft
