time,Washington,pts.away,score,pts.home,Chicago
1:27.0,,,22-17,2,D. Nwaba makes 2-pt shot from 2 ft (assist by R. Lopez)
1:13.0,M. Scott makes 3-pt shot from 26 ft (assist by T. Frazier),3,25-17,,
0:54.0,,,25-17,,J. Grant misses 2-pt shot from 6 ft
0:53.0,Defensive rebound by J. Meeks,,25-17,,
0:47.0,K. Oubre misses 2-pt shot from 6 ft,,25-17,,
0:47.0,,,25-17,,Defensive rebound by B. Portis
0:42.0,,,25-19,2,J. Holiday makes 2-pt shot from 2 ft (assist by B. Portis)
0:28.0,T. Frazier makes 3-pt shot from 24 ft,3,28-19,,
0:08.0,,,28-22,3,B. Portis makes 3-pt shot from 24 ft (assist by J. Grant)
0:02.0,T. Frazier makes 2-pt shot from 6 ft,2,30-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,30-22,,B. Portis misses 3-pt shot from 22 ft
11:42.0,Defensive rebound by K. Oubre,,30-22,,
11:32.0,J. Meeks makes 2-pt shot from 17 ft (assist by M. Scott),2,32-22,,
11:25.0,Personal foul by T. Frazier (drawn by R. Arcidiacono),,32-22,,
11:19.0,,,32-24,2,B. Portis makes 2-pt shot from 19 ft (assist by D. Valentine)
10:58.0,J. Meeks makes 2-pt shot from 1 ft (assist by T. Frazier),2,34-24,,
10:45.0,Personal foul by I. Mahinmi (drawn by B. Portis),,34-24,,
10:33.0,,,34-26,2,B. Portis makes 2-pt shot from 5 ft
10:17.0,M. Scott makes 2-pt shot from 1 ft (assist by T. Frazier),2,36-26,,
10:07.0,,,36-26,,B. Portis misses 3-pt shot from 24 ft
10:05.0,Defensive rebound by J. Meeks,,36-26,,
9:45.0,K. Oubre misses 3-pt shot from 25 ft,,36-26,,
9:43.0,Offensive rebound by M. Scott,,36-26,,
9:43.0,Shooting foul by R. Arcidiacono (drawn by M. Scott),,36-26,,
9:43.0,M. Scott misses free throw 1 of 2,,36-26,,
9:43.0,Offensive rebound by Team,,36-26,,
9:43.0,M. Scott makes free throw 2 of 2,1,37-26,,
9:28.0,Personal foul by M. Scott (drawn by B. Portis),,37-26,,
9:28.0,O. Porter enters the game for K. Oubre,,37-26,,
9:14.0,,,37-29,3,D. Valentine makes 3-pt shot from 25 ft (assist by D. Nwaba)
8:51.0,Washington full timeout,,37-29,,
8:51.0,C. McCullough enters the game for T. Frazier,,37-29,,
8:49.0,Jump ball: R. Arcidiacono vs. C. McCullough (O. Porter gains possession),,,,Jump ball: R. Arcidiacono vs. C. McCullough (O. Porter gains possession)
8:33.0,Turnover by M. Scott (lost ball; steal by P. Zipser),,37-29,,
8:29.0,,,37-32,3,P. Zipser makes 3-pt shot from 25 ft (assist by D. Valentine)
8:06.0,Shooting foul by D. Valentine (drawn by C. McCullough),,37-32,,
8:06.0,C. McCullough makes free throw 1 of 2,1,38-32,,
8:06.0,C. McCullough makes free throw 2 of 2,1,39-32,,
8:06.0,B. Beal enters the game for J. Meeks,,39-32,,
7:54.0,,,39-32,,D. Valentine misses 2-pt shot from 3 ft
7:51.0,Defensive rebound by I. Mahinmi,,39-32,,
7:41.0,Turnover by O. Porter (bad pass; steal by B. Portis),,39-32,,
7:36.0,,,39-32,,R. Arcidiacono misses 3-pt shot from 24 ft
7:33.0,Defensive rebound by M. Scott,,39-32,,
7:22.0,M. Scott makes 2-pt shot from 1 ft (assist by B. Beal),2,41-32,,
7:03.0,,,41-34,2,D. Nwaba makes 2-pt shot from 1 ft
6:44.0,O. Porter misses 2-pt shot from 20 ft,,41-34,,
6:41.0,,,41-34,,Defensive rebound by R. Arcidiacono
6:38.0,,,41-36,2,D. Valentine makes 2-pt shot at rim (assist by R. Arcidiacono)
6:23.0,B. Beal misses 2-pt shot from 3 ft (block by P. Zipser),,41-36,,
6:20.0,,,41-36,,Defensive rebound by D. Valentine
6:20.0,,,41-36,,Shooting foul by I. Mahinmi (drawn by D. Nwaba)
6:20.0,,,41-36,,D. Nwaba misses free throw 1 of 2
6:20.0,,,41-36,,Offensive rebound by Team
6:20.0,,,41-36,,J. Grant enters the game for R. Arcidiacono
6:20.0,,,41-36,,L. Markkanen enters the game for P. Zipser
6:20.0,T. Satoransky enters the game for I. Mahinmi,,41-36,,
6:20.0,M. Gortat enters the game for C. McCullough,,41-36,,
6:20.0,,,41-37,1,D. Nwaba makes free throw 2 of 2
6:05.0,B. Beal makes 2-pt shot from 18 ft,2,43-37,,
5:53.0,,,43-37,,D. Valentine misses 3-pt shot from 25 ft
5:53.0,Defensive rebound by Team,,43-37,,
5:38.0,O. Porter misses 3-pt shot from 25 ft,,43-37,,
5:35.0,,,43-37,,Defensive rebound by L. Markkanen
5:31.0,,,43-40,3,D. Valentine makes 3-pt shot from 22 ft (assist by J. Grant)
5:30.0,Washington full timeout,,43-40,,
5:30.0,,,43-40,,J. Holiday enters the game for D. Nwaba
5:30.0,K. Oubre enters the game for M. Scott,,43-40,,
5:10.0,K. Oubre misses 3-pt shot from 25 ft,,43-40,,
5:05.0,,,43-40,,Defensive rebound by J. Grant
4:57.0,Personal foul by O. Porter (drawn by J. Holiday),,43-40,,
4:57.0,,,43-41,1,J. Holiday makes free throw 1 of 2
4:57.0,,,43-41,,J. Holiday misses free throw 2 of 2
4:54.0,Defensive rebound by M. Gortat,,43-41,,
4:39.0,O. Porter makes 2-pt shot from 22 ft (assist by T. Satoransky),2,45-41,,
4:21.0,,,45-41,,L. Markkanen misses 2-pt shot from 2 ft
4:16.0,,,45-41,,Offensive rebound by B. Portis
4:16.0,,,45-41,,B. Portis misses 2-pt shot at rim
4:15.0,,,45-41,,Offensive rebound by L. Markkanen
4:14.0,,,45-43,2,L. Markkanen makes 2-pt shot from 2 ft
3:51.0,T. Satoransky makes 2-pt shot from 1 ft (assist by M. Gortat),2,47-43,,
3:37.0,,,47-43,,Turnover by B. Portis (bad pass; steal by O. Porter)
3:34.0,T. Satoransky makes 2-pt shot at rim (assist by O. Porter),2,49-43,,
3:34.0,,,49-43,,Chicago full timeout
3:34.0,,,49-43,,R. Lopez enters the game for B. Portis
3:10.0,,,49-43,,Turnover by Team (shot clock)
2:56.0,Turnover by B. Beal (bad pass; steal by J. Grant),,49-43,,
2:45.0,,,49-43,,L. Markkanen misses 2-pt shot from 12 ft
2:42.0,Defensive rebound by O. Porter,,49-43,,
2:22.0,B. Beal misses 2-pt shot from 2 ft,,49-43,,
2:19.0,,,49-43,,Defensive rebound by R. Lopez
2:15.0,,,49-43,,D. Valentine misses 3-pt shot from 25 ft
2:15.0,Defensive rebound by M. Gortat,,49-43,,
2:07.0,Turnover by T. Satoransky (lost ball; steal by J. Holiday),,49-43,,
2:03.0,,,49-43,,Turnover by L. Markkanen (lost ball; steal by B. Beal)
1:58.0,Turnover by K. Oubre (lost ball; steal by D. Valentine),,49-43,,
1:54.0,,,49-43,,L. Markkanen misses 3-pt shot from 25 ft
1:51.0,Defensive rebound by T. Satoransky,,49-43,,
1:40.0,B. Beal makes 2-pt shot from 9 ft,2,51-43,,
1:28.0,,,51-43,,R. Lopez misses 2-pt shot from 19 ft
1:26.0,Defensive rebound by O. Porter,,51-43,,
1:19.0,O. Porter makes 2-pt shot from 2 ft,2,53-43,,
1:19.0,Shooting foul by R. Lopez (drawn by O. Porter),,53-43,,
1:19.0,,,53-43,,D. Nwaba enters the game for D. Valentine
1:19.0,O. Porter makes free throw 1 of 1,1,54-43,,
0:58.0,,,54-45,2,J. Holiday makes 2-pt shot from 16 ft (assist by J. Grant)
0:44.0,M. Gortat makes 2-pt shot from 12 ft (assist by B. Beal),2,56-45,,
0:38.0,Personal block foul by M. Gortat (drawn by J. Grant),,56-45,,
0:38.0,,,56-45,,J. Grant misses free throw 1 of 2
0:38.0,,,56-45,,Offensive rebound by Team
0:38.0,,,56-46,1,J. Grant makes free throw 2 of 2
0:31.0,B. Beal misses 3-pt shot from 25 ft,,56-46,,
0:28.0,,,56-46,,Defensive rebound by L. Markkanen
0:07.0,,,56-46,,L. Markkanen misses 2-pt shot from 18 ft
0:04.0,Defensive rebound by K. Oubre,,56-46,,
0:00.0,K. Oubre misses 2-pt shot from 8 ft,,56-46,,
0:00.0,,,56-46,,Defensive rebound by L. Markkanen
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,56-46,,Turnover by R. Lopez (lost ball; steal by M. Gortat)
11:21.0,M. Gortat misses 2-pt shot from 21 ft,,56-46,,
11:19.0,Offensive rebound by Team,,56-46,,
11:10.0,M. Gortat misses 2-pt shot from 5 ft,,56-46,,
11:06.0,Offensive rebound by O. Porter,,56-46,,
11:06.0,O. Porter misses 2-pt shot at rim,,56-46,,
11:05.0,,,56-46,,Defensive rebound by L. Markkanen
10:59.0,,,56-48,2,R. Lopez makes 2-pt shot from 1 ft (assist by J. Grant)
10:33.0,O. Porter makes 2-pt shot from 12 ft (assist by K. Oubre),2,58-48,,
10:13.0,,,58-50,2,L. Markkanen makes 2-pt shot from 8 ft
9:51.0,M. Gortat misses 2-pt shot from 1 ft,,58-50,,
9:51.0,,,58-50,,Defensive rebound by Team
9:40.0,,,58-50,,Turnover by D. Valentine (bad pass)
9:30.0,B. Beal makes 2-pt shot from 2 ft,2,60-50,,
9:30.0,Shooting foul by J. Grant (drawn by B. Beal),,60-50,,
9:30.0,B. Beal makes free throw 1 of 1,1,61-50,,
9:11.0,,,61-50,,Turnover by R. Lopez (bad pass; steal by M. Gortat)
9:00.0,K. Oubre makes 3-pt shot from 26 ft (assist by B. Beal),3,64-50,,
8:58.0,,,64-50,,Chicago full timeout
8:45.0,,,64-50,,D. Valentine misses 3-pt shot from 26 ft
8:40.0,,,64-50,,Offensive rebound by J. Grant
8:39.0,,,64-52,2,L. Markkanen makes 2-pt shot from 3 ft (assist by D. Valentine)
8:39.0,,,64-52,,Shooting foul by M. Gortat (drawn by L. Markkanen)
8:39.0,,,64-53,1,L. Markkanen makes free throw 1 of 1
8:24.0,T. Satoransky misses 3-pt shot from 23 ft,,64-53,,
8:24.0,,,64-53,,Defensive rebound by D. Valentine
8:18.0,,,64-53,,D. Valentine misses 2-pt shot from 1 ft
8:18.0,Defensive rebound by K. Oubre,,64-53,,
8:10.0,T. Satoransky makes 2-pt shot at rim (assist by O. Porter),2,66-53,,
7:48.0,,,66-53,,D. Valentine misses 3-pt shot from 23 ft
7:48.0,,,66-53,,Offensive rebound by L. Markkanen
7:39.0,,,66-53,,Turnover by R. Lopez (lost ball; steal by B. Beal)
7:36.0,B. Beal misses 3-pt shot from 25 ft,,66-53,,
7:36.0,Offensive rebound by T. Satoransky,,66-53,,
7:31.0,K. Oubre misses 3-pt shot from 25 ft,,66-53,,
7:31.0,,,66-53,,Defensive rebound by D. Valentine
7:19.0,,,66-56,3,J. Holiday makes 3-pt shot from 25 ft (assist by J. Grant)
6:58.0,,,66-56,,D. Nwaba enters the game for D. Valentine
6:55.0,O. Porter makes 3-pt shot from 23 ft (assist by K. Oubre),3,69-56,,
6:28.0,,,69-56,,L. Markkanen misses 3-pt shot from 26 ft
6:28.0,,,69-56,,Offensive rebound by Team
6:28.0,,,69-56,,Turnover by Team (shot clock)
6:07.0,Turnover by B. Beal (bad pass; steal by L. Markkanen),,69-56,,
6:05.0,,,69-56,,Shooting foul by B. Beal (drawn by D. Nwaba)
6:05.0,,,69-57,1,D. Nwaba makes free throw 1 of 2
6:05.0,,,69-58,1,D. Nwaba makes free throw 2 of 2
5:51.0,M. Gortat misses 2-pt shot from 3 ft,,69-58,,
5:49.0,,,69-58,,Defensive rebound by J. Grant
5:44.0,,,69-58,,J. Grant misses 2-pt shot from 14 ft
5:44.0,Defensive rebound by M. Gortat,,69-58,,
5:31.0,Turnover by B. Beal (bad pass; steal by L. Markkanen),,69-58,,
5:25.0,,,69-58,,D. Nwaba misses 2-pt shot from 2 ft (block by O. Porter)
5:23.0,Defensive rebound by K. Oubre,,69-58,,
5:23.0,,,69-58,,Personal foul by J. Grant (drawn by K. Oubre)
5:10.0,Turnover by M. Gortat (bad pass; steal by J. Holiday),,69-58,,
5:08.0,Personal foul by T. Satoransky (drawn by L. Markkanen),,69-58,,
5:02.0,,,69-58,,L. Markkanen misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by K. Oubre,,69-58,,
4:48.0,K. Oubre misses 3-pt shot from 24 ft,,69-58,,
4:44.0,,,69-58,,Defensive rebound by D. Nwaba
4:25.0,,,69-60,2,R. Lopez makes 2-pt shot from 22 ft (assist by J. Holiday)
3:59.0,T. Satoransky makes 2-pt shot from 7 ft (assist by B. Beal),2,71-60,,
3:46.0,,,71-62,2,R. Lopez makes 2-pt shot from 8 ft (assist by J. Grant)
3:46.0,Washington full timeout,,71-62,,
3:46.0,M. Scott enters the game for O. Porter,,71-62,,
3:21.0,B. Beal misses 3-pt shot from 22 ft,,71-62,,
3:21.0,,,71-62,,Defensive rebound by L. Markkanen
3:06.0,,,71-64,2,L. Markkanen makes 2-pt shot from 17 ft (assist by D. Nwaba)
2:44.0,M. Scott misses 3-pt shot from 24 ft,,71-64,,
2:42.0,Offensive rebound by M. Gortat,,71-64,,
2:39.0,M. Scott makes 2-pt shot from 4 ft (assist by T. Satoransky),2,73-64,,
2:39.0,Shooting foul by D. Nwaba (drawn by M. Scott),,73-64,,
2:39.0,J. Meeks enters the game for B. Beal,,73-64,,
2:39.0,M. Scott makes free throw 1 of 1,1,74-64,,
2:21.0,,,74-66,2,R. Lopez makes 2-pt shot from 2 ft
2:03.0,T. Satoransky makes 3-pt shot from 25 ft (assist by J. Meeks),3,77-66,,
1:57.0,Personal foul by M. Scott (drawn by D. Nwaba),,77-66,,
1:57.0,,,77-66,,B. Portis enters the game for L. Markkanen
1:47.0,Personal foul by K. Oubre (drawn by J. Holiday),,77-66,,
1:47.0,,,77-67,1,J. Holiday makes free throw 1 of 2
1:47.0,,,77-68,1,J. Holiday makes free throw 2 of 2
1:30.0,Turnover by K. Oubre (out of bounds lost ball),,77-68,,
1:19.0,,,77-70,2,R. Lopez makes 2-pt shot from 6 ft (assist by J. Grant)
1:03.0,M. Scott misses 2-pt shot from 17 ft,,77-70,,
1:00.0,,,77-70,,Defensive rebound by R. Lopez
0:55.0,,,77-70,,Turnover by R. Lopez (traveling)
0:35.0,Shooting foul by J. Holiday (drawn by K. Oubre),,77-70,,
0:35.0,K. Oubre makes free throw 1 of 2,1,78-70,,
0:35.0,K. Oubre makes free throw 2 of 2,1,79-70,,
0:29.0,,,79-70,,J. Grant misses 2-pt shot from 2 ft
0:27.0,Defensive rebound by M. Scott,,79-70,,
0:08.0,J. Meeks makes 3-pt shot from 25 ft (assist by T. Satoransky),3,82-70,,
0:00.0,,,82-70,,J. Holiday misses 3-pt shot from 25 ft
0:00.0,,,82-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,J. Meeks misses 3-pt shot from 25 ft,,82-70,,
11:40.0,,,82-70,,Defensive rebound by D. Valentine
11:34.0,Personal foul by J. Smith (drawn by B. Portis),,82-70,,
11:29.0,,,82-72,2,B. Portis makes 2-pt shot from 15 ft
11:12.0,J. Smith makes 2-pt shot from 12 ft (assist by J. Meeks),2,84-72,,
10:52.0,,,84-74,2,B. Portis makes 2-pt shot from 20 ft
10:38.0,M. Scott makes 3-pt shot from 22 ft (assist by J. Smith),3,87-74,,
10:16.0,,,87-76,2,D. Nwaba makes 2-pt shot from 1 ft (assist by R. Arcidiacono)
10:16.0,,,87-76,,Shooting foul by J. Meeks (drawn by D. Nwaba)
10:16.0,,,87-77,1,D. Nwaba makes free throw 1 of 1
9:56.0,M. Scott misses 3-pt shot from 25 ft,,87-77,,
9:53.0,,,87-77,,Defensive rebound by D. Valentine
9:47.0,,,87-77,,B. Portis misses 3-pt shot from 26 ft
9:42.0,Defensive rebound by J. Meeks,,87-77,,
9:35.0,K. Oubre makes 3-pt shot from 23 ft (assist by T. Satoransky),3,90-77,,
9:23.0,,,90-77,,D. Valentine misses 2-pt shot from 23 ft
9:21.0,Defensive rebound by M. Scott,,90-77,,
9:11.0,,,90-77,,Personal foul by D. Valentine (drawn by K. Oubre)
9:01.0,J. Smith misses 2-pt shot from 15 ft,,90-77,,
8:59.0,,,90-77,,Defensive rebound by P. Zipser
8:52.0,,,90-77,,Turnover by R. Arcidiacono (bad pass)
8:41.0,Turnover by J. Meeks (bad pass; steal by P. Zipser),,90-77,,
8:35.0,,,90-79,2,D. Valentine makes 2-pt shot from 3 ft (assist by R. Arcidiacono)
8:15.0,J. Smith makes 2-pt shot at rim (assist by T. Satoransky),2,92-79,,
8:15.0,Shooting foul by B. Portis (drawn by J. Smith),,92-79,,
8:15.0,,,92-79,,L. Markkanen enters the game for R. Arcidiacono
8:15.0,B. Beal enters the game for K. Oubre,,92-79,,
8:15.0,J. Smith makes free throw 1 of 1,1,93-79,,
7:57.0,,,93-79,,L. Markkanen misses 2-pt shot from 3 ft
7:57.0,Defensive rebound by M. Scott,,93-79,,
7:57.0,,,93-79,,Personal foul by L. Markkanen (drawn by M. Scott)
7:47.0,J. Smith makes 2-pt shot from 18 ft (assist by B. Beal),2,95-79,,
7:46.0,,,95-79,,Chicago full timeout
7:29.0,,,95-81,2,P. Zipser makes 2-pt shot from 21 ft
7:07.0,M. Scott misses 3-pt shot from 25 ft,,95-81,,
7:04.0,,,95-81,,Defensive rebound by D. Nwaba
7:00.0,,,95-84,3,L. Markkanen makes 3-pt shot from 25 ft (assist by D. Nwaba)
6:39.0,J. Meeks makes 2-pt shot from 3 ft (assist by J. Smith),2,97-84,,
6:25.0,,,97-84,,B. Portis misses 3-pt shot from 26 ft
6:25.0,,,97-84,,Offensive rebound by D. Nwaba
6:19.0,,,97-84,,D. Nwaba misses 2-pt shot at rim
6:18.0,Defensive rebound by J. Meeks,,97-84,,
6:15.0,,,97-84,,Personal foul by B. Portis (drawn by J. Meeks)
6:15.0,,,97-84,,J. Grant enters the game for D. Nwaba
6:15.0,,,97-84,,J. Holiday enters the game for P. Zipser
5:58.0,B. Beal misses 2-pt shot from 21 ft,,97-84,,
5:58.0,,,97-84,,Defensive rebound by D. Valentine
5:50.0,Violation by B. Beal (kicked ball),,97-84,,
5:50.0,O. Porter enters the game for J. Meeks,,97-84,,
5:45.0,,,97-84,,Offensive foul by B. Portis (drawn by J. Smith)
5:45.0,,,97-84,,Turnover by B. Portis (offensive foul)
5:33.0,O. Porter misses 3-pt shot from 22 ft,,97-84,,
5:30.0,,,97-84,,Defensive rebound by L. Markkanen
5:23.0,,,97-87,3,J. Grant makes 3-pt shot from 26 ft
5:01.0,B. Beal misses 3-pt shot from 24 ft,,97-87,,
4:57.0,,,97-87,,Defensive rebound by L. Markkanen
4:47.0,,,97-87,,J. Holiday misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by O. Porter,,97-87,,
4:29.0,Offensive foul by J. Smith (drawn by B. Portis),,97-87,,
4:29.0,Turnover by J. Smith (offensive foul),,97-87,,
4:29.0,M. Gortat enters the game for J. Smith,,97-87,,
4:14.0,,,97-90,3,J. Holiday makes 3-pt shot from 23 ft (assist by D. Valentine)
4:12.0,Washington full timeout,,97-90,,
3:51.0,Jump ball: B. Portis vs. T. Satoransky (L. Markkanen gains possession),,,,Jump ball: B. Portis vs. T. Satoransky (L. Markkanen gains possession)
3:51.0,Turnover by T. Satoransky (bad pass; steal by J. Holiday),,97-90,,
3:40.0,,,97-90,,L. Markkanen misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by T. Satoransky,,97-90,,
3:25.0,T. Satoransky makes 3-pt shot from 26 ft (assist by M. Gortat),3,100-90,,
3:24.0,,,100-90,,Chicago full timeout
3:24.0,K. Oubre enters the game for M. Scott,,100-90,,
3:11.0,,,100-90,,L. Markkanen misses 2-pt shot from 1 ft
3:05.0,,,100-90,,Offensive rebound by B. Portis
3:05.0,,,100-90,,B. Portis misses 2-pt shot at rim
3:04.0,Defensive rebound by B. Beal,,100-90,,
2:51.0,B. Beal misses 3-pt shot from 25 ft,,100-90,,
2:51.0,Offensive rebound by B. Beal,,100-90,,
2:35.0,,,100-90,,Technical foul by B. Portis (drawn by T. Satoransky)
2:35.0,,,100-90,,P. Zipser enters the game for B. Portis
2:35.0,J. Meeks enters the game for T. Satoransky,,100-90,,
2:35.0,J. Meeks misses flagrant free throw 1 of 2,,100-90,,
2:35.0,Offensive rebound by Team,,100-90,,
2:35.0,J. Meeks makes flagrant free throw 2 of 2,1,101-90,,
2:15.0,K. Oubre misses 3-pt shot from 25 ft,,101-90,,
2:11.0,,,101-90,,Defensive rebound by P. Zipser
1:54.0,,,101-90,,L. Markkanen misses 3-pt shot from 24 ft
1:51.0,Defensive rebound by O. Porter,,101-90,,
1:28.0,B. Beal misses 3-pt shot from 25 ft,,101-90,,
1:26.0,,,101-90,,Defensive rebound by J. Holiday
1:26.0,Personal foul by K. Oubre (drawn by J. Holiday),,101-90,,
1:14.0,,,101-90,,L. Markkanen misses 2-pt shot from 5 ft (block by M. Gortat)
1:11.0,Defensive rebound by K. Oubre,,101-90,,
0:51.0,Turnover by Team (shot clock),,101-90,,
0:51.0,,,101-90,,D. Nwaba enters the game for L. Markkanen
0:44.0,,,101-90,,J. Grant misses 3-pt shot from 25 ft
0:39.0,Defensive rebound by K. Oubre,,101-90,,
0:18.0,K. Oubre misses 2-pt shot from 6 ft,,101-90,,
0:17.0,,,101-90,,Defensive rebound by P. Zipser
0:10.0,,,101-90,,D. Valentine misses 2-pt shot from 5 ft
0:08.0,Defensive rebound by O. Porter,,101-90,,
