time,Philadelphia,pts.away,score,pts.home,Minnesota
7:49.0,T. McConnell enters the game for J. Redick,,8-11,,
7:49.0,,,8-11,,A. Wiggins misses free throw 2 of 2
7:47.0,Defensive rebound by T. McConnell,,8-11,,
7:31.0,B. Simmons misses 2-pt shot at rim,,8-11,,
7:26.0,,,8-11,,Defensive rebound by J. Teague
7:10.0,,,8-11,,T. Gibson misses 3-pt shot from 23 ft
7:10.0,Defensive rebound by R. Holmes,,8-11,,
7:04.0,D. Saric misses 3-pt shot from 24 ft,,8-11,,
7:00.0,Offensive rebound by T. McConnell,,8-11,,
6:58.0,D. Saric misses 3-pt shot from 24 ft,,8-11,,
6:58.0,,,8-11,,Defensive rebound by K. Towns
6:47.0,,,8-13,2,J. Teague makes 2-pt shot from 9 ft
6:32.0,Turnover by D. Saric (bad pass),,8-13,,
6:32.0,A. Johnson enters the game for J. Embiid,,8-13,,
6:32.0,T. Booker enters the game for R. Holmes,,8-13,,
6:18.0,,,8-13,,A. Wiggins misses 2-pt shot from 20 ft
6:12.0,Defensive rebound by B. Simmons,,8-13,,
6:06.0,T. McConnell makes 2-pt shot from 9 ft,2,10-13,,
5:56.0,,,10-15,2,J. Teague makes 2-pt shot from 1 ft
5:44.0,T. McConnell makes 2-pt shot from 12 ft,2,12-15,,
5:27.0,,,12-15,,J. Butler misses 2-pt shot from 15 ft
5:24.0,Defensive rebound by T. Booker,,12-15,,
5:18.0,Turnover by T. McConnell (lost ball; steal by J. Teague),,12-15,,
5:10.0,,,12-17,2,J. Butler makes 2-pt shot at rim
4:49.0,A. Johnson misses 2-pt shot from 9 ft,,12-17,,
4:47.0,,,12-17,,Defensive rebound by K. Towns
4:37.0,,,12-17,,K. Towns misses 2-pt shot from 6 ft
4:34.0,,,12-17,,Offensive rebound by A. Wiggins
4:31.0,,,12-17,,J. Butler misses 3-pt shot from 25 ft
4:28.0,,,12-17,,Offensive rebound by T. Gibson
4:26.0,,,12-17,,A. Wiggins misses 3-pt shot from 22 ft
4:22.0,Defensive rebound by T. Booker,,12-17,,
4:10.0,A. Johnson misses 3-pt shot from 25 ft,,12-17,,
4:06.0,Offensive rebound by D. Saric,,12-17,,
3:58.0,Turnover by Team (shot clock),,12-17,,
3:45.0,,,12-17,,Shooting foul by A. Johnson (drawn by K. Towns)
3:45.0,,,12-18,1,K. Towns makes free throw 1 of 2
3:45.0,,,12-18,,J. Crawford enters the game for J. Teague
3:45.0,,,12-18,,T. Jones enters the game for J. Butler
3:45.0,J. Bayless enters the game for D. Saric,,12-18,,
3:45.0,T. Luwawu-Cabarrot enters the game for B. Simmons,,12-18,,
3:45.0,,,12-19,1,K. Towns makes free throw 2 of 2
3:28.0,T. Booker makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot),2,14-19,,
3:11.0,,,14-21,2,A. Wiggins makes 2-pt shot from 12 ft (assist by J. Crawford)
2:50.0,A. Johnson misses 2-pt shot from 2 ft (block by A. Wiggins),,14-21,,
2:47.0,,,14-21,,Defensive rebound by A. Wiggins
2:43.0,,,14-21,,Shooting foul by T. Luwawu-Cabarrot (drawn by K. Towns)
2:43.0,,,14-21,,Minnesota full timeout
2:43.0,J. Embiid enters the game for A. Johnson,,14-21,,
2:43.0,,,14-22,1,K. Towns makes free throw 1 of 2
2:43.0,,,14-22,,K. Towns misses free throw 2 of 2
2:41.0,Defensive rebound by J. Embiid,,14-22,,
2:22.0,T. Luwawu-Cabarrot makes 3-pt shot from 22 ft (assist by T. McConnell),3,17-22,,
2:01.0,,,17-22,,Shooting foul by T. Luwawu-Cabarrot (drawn by A. Wiggins)
2:01.0,,,17-23,1,A. Wiggins makes free throw 1 of 2
2:01.0,,,17-23,,G. Dieng enters the game for K. Towns
2:01.0,,,17-23,,A. Wiggins misses free throw 2 of 2
2:01.0,Defensive rebound by J. Embiid,,17-23,,
1:49.0,,,17-23,,Def 3 sec tech foul by A. Wiggins
1:49.0,T. McConnell makes technical free throw,1,18-23,,
1:42.0,J. Embiid makes 2-pt shot at rim,2,20-23,,
1:19.0,,,20-25,2,G. Dieng makes 2-pt shot from 21 ft (assist by J. Crawford)
1:05.0,J. Embiid misses 2-pt shot from 6 ft (block by T. Gibson),,20-25,,
1:02.0,Offensive rebound by T. Luwawu-Cabarrot,,20-25,,
1:01.0,Turnover by T. Luwawu-Cabarrot (bad pass; steal by T. Jones),,20-25,,
1:01.0,Personal foul by T. McConnell (drawn by T. Jones),,20-25,,
1:01.0,,,20-26,1,T. Jones makes free throw 1 of 2
1:01.0,,,20-27,1,T. Jones makes free throw 2 of 2
0:48.0,T. Booker misses 2-pt shot from 9 ft,,20-27,,
0:45.0,,,20-27,,Defensive rebound by G. Dieng
0:36.0,,,20-27,,J. Crawford misses 3-pt shot from 23 ft
0:33.0,Defensive rebound by T. McConnell,,20-27,,
0:28.0,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft (block by G. Dieng),,20-27,,
0:28.0,Offensive rebound by Team,,20-27,,
0:27.0,Turnover by J. Bayless (out of bounds lost ball),,20-27,,
0:08.0,,,20-27,,A. Wiggins misses 2-pt shot from 14 ft
0:06.0,Defensive rebound by J. Embiid,,20-27,,
0:01.0,,,20-27,,Personal block foul by G. Dieng (drawn by T. Booker)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,J. Redick misses 3-pt shot from 25 ft,,20-27,,
11:45.0,,,20-27,,Defensive rebound by K. Towns
11:32.0,,,20-29,2,J. Crawford makes 2-pt shot from 13 ft (assist by T. Jones)
11:14.0,D. Saric makes 3-pt shot from 24 ft (assist by J. Embiid),3,23-29,,
11:05.0,,,23-29,,J. Crawford misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by J. Embiid,,23-29,,
10:56.0,J. Redick makes 2-pt shot from 22 ft,2,25-29,,
10:31.0,,,25-29,,J. Butler misses 2-pt shot from 19 ft
10:31.0,Defensive rebound by Team,,25-29,,
10:30.0,,,25-29,,Loose ball foul by G. Dieng (drawn by R. Holmes)
10:19.0,T. McConnell makes 2-pt shot from 12 ft,2,27-29,,
10:02.0,,,27-29,,G. Dieng misses 2-pt shot from 14 ft
9:59.0,Defensive rebound by D. Saric,,27-29,,
9:56.0,Turnover by D. Saric (lost ball; steal by T. Jones),,27-29,,
9:51.0,,,27-29,,J. Crawford misses 3-pt shot from 23 ft
9:48.0,,,27-29,,Offensive rebound by J. Butler
9:45.0,,,27-31,2,J. Butler makes 2-pt shot at rim
9:33.0,J. Embiid makes 2-pt shot from 1 ft (assist by J. Redick),2,29-31,,
9:20.0,,,29-31,,Shooting foul by T. McConnell (drawn by J. Butler)
9:20.0,,,29-32,1,J. Butler makes free throw 1 of 2
9:20.0,,,29-32,,J. Teague enters the game for T. Jones
9:20.0,B. Simmons enters the game for T. McConnell,,29-32,,
9:20.0,,,29-33,1,J. Butler makes free throw 2 of 2
9:04.0,Shooting foul by G. Dieng (drawn by J. Embiid),,29-33,,
9:04.0,J. Embiid makes free throw 1 of 2,1,30-33,,
9:04.0,,,30-33,,T. Gibson enters the game for G. Dieng
9:04.0,J. Embiid makes free throw 2 of 2,1,31-33,,
8:45.0,,,31-35,2,K. Towns makes 2-pt shot from 20 ft
8:33.0,J. Embiid misses 2-pt shot from 14 ft,,31-35,,
8:30.0,,,31-35,,Defensive rebound by T. Gibson
8:11.0,,,31-37,2,T. Gibson makes 2-pt shot from 7 ft (assist by J. Butler)
8:02.0,R. Holmes makes 2-pt shot from 1 ft (assist by B. Simmons),2,33-37,,
7:47.0,,,33-40,3,J. Teague makes 3-pt shot from 24 ft
7:46.0,Philadelphia full timeout,,33-40,,
7:46.0,J. Bayless enters the game for D. Saric,,33-40,,
7:46.0,A. Johnson enters the game for J. Embiid,,33-40,,
7:33.0,R. Holmes misses 3-pt shot from 24 ft (block by T. Gibson),,33-40,,
7:28.0,,,33-40,,Defensive rebound by J. Butler
7:08.0,,,33-42,2,J. Butler makes 2-pt shot from 9 ft
6:50.0,B. Simmons misses 2-pt shot from 12 ft,,33-42,,
6:47.0,,,33-42,,Defensive rebound by T. Gibson
6:37.0,,,33-42,,K. Towns misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by J. Redick,,33-42,,
6:30.0,Turnover by R. Holmes (out of bounds lost ball),,33-42,,
6:30.0,,,33-42,,A. Wiggins enters the game for J. Butler
6:16.0,,,33-42,,J. Teague misses 2-pt shot from 11 ft
6:13.0,Defensive rebound by J. Bayless,,33-42,,
6:06.0,B. Simmons misses 2-pt shot from 9 ft,,33-42,,
6:05.0,Offensive rebound by Team,,33-42,,
6:05.0,T. Booker enters the game for J. Redick,,33-42,,
6:05.0,T. McConnell enters the game for R. Holmes,,33-42,,
5:54.0,J. Bayless makes 3-pt shot from 25 ft (assist by T. Booker),3,36-42,,
5:32.0,,,36-42,,J. Teague misses 2-pt shot from 13 ft
5:30.0,Defensive rebound by T. McConnell,,36-42,,
5:26.0,T. Booker makes 2-pt shot from 1 ft (assist by T. McConnell),2,38-42,,
5:24.0,,,38-42,,Minnesota full timeout
5:24.0,,,38-42,,J. Butler enters the game for J. Crawford
5:13.0,,,38-42,,J. Butler misses 2-pt shot from 13 ft
5:11.0,Defensive rebound by T. Booker,,38-42,,
4:59.0,Turnover by B. Simmons (bad pass; steal by K. Towns),,38-42,,
4:41.0,,,38-42,,Shooting foul by J. Bayless (drawn by T. Gibson)
4:41.0,,,38-42,,T. Gibson misses free throw 1 of 2
4:41.0,,,38-42,,Offensive rebound by Team
4:41.0,D. Saric enters the game for J. Bayless,,38-42,,
4:41.0,J. Embiid enters the game for A. Johnson,,38-42,,
4:41.0,,,38-43,1,T. Gibson makes free throw 2 of 2
4:20.0,T. Booker makes 2-pt shot from 6 ft (assist by J. Embiid),2,40-43,,
3:59.0,,,40-43,,A. Wiggins misses 2-pt shot from 12 ft
3:56.0,Defensive rebound by D. Saric,,40-43,,
3:52.0,D. Saric misses 3-pt shot from 25 ft,,40-43,,
3:49.0,,,40-43,,Defensive rebound by T. Gibson
3:47.0,,,40-43,,Turnover by J. Teague (bad pass)
3:47.0,J. Redick enters the game for T. McConnell,,40-43,,
3:37.0,T. Booker makes 2-pt shot from 1 ft (assist by B. Simmons),2,42-43,,
3:13.0,,,42-45,2,J. Butler makes 2-pt shot from 18 ft
3:06.0,J. Redick makes 3-pt shot from 24 ft (assist by B. Simmons),3,45-45,,
2:43.0,,,45-45,,T. Gibson misses 2-pt shot from 1 ft (block by J. Embiid)
2:41.0,Defensive rebound by D. Saric,,45-45,,
2:35.0,Turnover by J. Redick (bad pass; steal by K. Towns),,45-45,,
2:27.0,,,45-47,2,J. Butler makes 2-pt shot from 11 ft (assist by J. Teague)
2:19.0,J. Redick misses 3-pt shot from 25 ft,,45-47,,
2:18.0,,,45-47,,Defensive rebound by Team
2:18.0,R. Holmes enters the game for T. Booker,,45-47,,
2:05.0,,,45-47,,J. Butler misses 2-pt shot from 14 ft
2:01.0,Jump ball: K. Towns vs. R. Holmes (T. Gibson gains possession),,,,Jump ball: K. Towns vs. R. Holmes (T. Gibson gains possession)
2:01.0,,,45-47,,Offensive rebound by Team
1:48.0,,,45-49,2,T. Gibson makes 2-pt shot from 9 ft (assist by J. Teague)
1:33.0,Shooting foul by A. Wiggins (drawn by J. Embiid),,45-49,,
1:33.0,J. Embiid makes free throw 1 of 2,1,46-49,,
1:33.0,J. Bayless enters the game for J. Redick,,46-49,,
1:33.0,J. Embiid misses free throw 2 of 2,,46-49,,
1:31.0,,,46-49,,Defensive rebound by K. Towns
1:16.0,,,46-49,,Turnover by J. Teague (bad pass; steal by D. Saric)
1:16.0,Turnover by D. Saric (bad pass),,46-49,,
1:08.0,,,46-49,,A. Wiggins misses 3-pt shot from 25 ft
1:02.0,Defensive rebound by R. Holmes,,46-49,,
0:55.0,D. Saric misses 3-pt shot from 24 ft,,46-49,,
0:54.0,,,46-49,,Defensive rebound by J. Butler
0:35.0,,,46-51,2,A. Wiggins makes 2-pt shot from 11 ft (assist by J. Butler)
0:20.0,,,46-51,,Personal foul by T. Gibson (drawn by J. Embiid)
0:20.0,J. Embiid makes free throw 1 of 2,1,47-51,,
0:20.0,J. Embiid makes free throw 2 of 2,1,48-51,,
0:01.0,,,48-51,,J. Butler misses 3-pt shot from 24 ft
0:01.0,,,48-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,J. Embiid makes 2-pt shot at rim (assist by R. Holmes),2,50-51,,
11:25.0,,,50-51,,K. Towns misses 2-pt shot from 4 ft
11:23.0,Defensive rebound by R. Holmes,,50-51,,
11:16.0,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons),2,52-51,,
10:56.0,,,52-51,,A. Wiggins misses 2-pt shot from 5 ft
10:54.0,Defensive rebound by R. Holmes,,52-51,,
10:37.0,Turnover by J. Redick (out of bounds lost ball),,52-51,,
10:27.0,,,52-53,2,J. Teague makes 2-pt shot from 11 ft
10:14.0,Turnover by B. Simmons (bad pass; steal by T. Gibson),,52-53,,
10:08.0,,,52-53,,K. Towns misses 2-pt shot from 9 ft
10:04.0,Defensive rebound by R. Holmes,,52-53,,
9:58.0,Turnover by B. Simmons (bad pass; steal by K. Towns),,52-53,,
9:53.0,,,52-53,,A. Wiggins misses 3-pt shot from 23 ft
9:49.0,Defensive rebound by D. Saric,,52-53,,
9:46.0,J. Redick misses 3-pt shot from 25 ft,,52-53,,
9:46.0,,,52-53,,Defensive rebound by A. Wiggins
9:27.0,,,52-53,,T. Gibson misses 2-pt shot from 4 ft
9:26.0,Defensive rebound by J. Embiid,,52-53,,
9:14.0,D. Saric makes 2-pt shot from 19 ft (assist by B. Simmons),2,54-53,,
8:55.0,,,54-55,2,J. Butler makes 2-pt shot from 1 ft
8:55.0,,,54-55,,Shooting foul by J. Embiid (drawn by J. Butler)
8:55.0,,,54-56,1,J. Butler makes free throw 1 of 1
8:42.0,R. Holmes makes 3-pt shot from 25 ft (assist by D. Saric),3,57-56,,
8:24.0,,,57-56,,Shooting foul by J. Embiid (drawn by K. Towns)
8:24.0,,,57-56,,K. Towns misses free throw 1 of 2
8:24.0,,,57-56,,Offensive rebound by Team
8:24.0,,,57-56,,K. Towns misses free throw 2 of 2
8:23.0,Defensive rebound by D. Saric,,57-56,,
8:18.0,R. Holmes makes 2-pt shot at rim (assist by B. Simmons),2,59-56,,
8:12.0,,,59-56,,Minnesota full timeout
7:58.0,,,59-58,2,J. Teague makes 2-pt shot from 1 ft
7:39.0,J. Embiid misses 2-pt shot from 7 ft,,59-58,,
7:37.0,Offensive rebound by J. Embiid,,59-58,,
7:37.0,J. Embiid misses 2-pt shot at rim,,59-58,,
7:37.0,Offensive rebound by Team,,59-58,,
7:37.0,A. Johnson enters the game for J. Embiid,,59-58,,
7:32.0,Shooting foul by T. Gibson (drawn by R. Holmes),,59-58,,
7:32.0,R. Holmes misses free throw 1 of 2,,59-58,,
7:32.0,Offensive rebound by Team,,59-58,,
7:32.0,R. Holmes makes free throw 2 of 2,1,60-58,,
7:23.0,,,60-58,,A. Wiggins misses 2-pt shot from 11 ft
7:21.0,,,60-58,,Offensive rebound by K. Towns
7:21.0,,,60-58,,Shooting foul by A. Johnson (drawn by K. Towns)
7:21.0,,,60-59,1,K. Towns makes free throw 1 of 2
7:21.0,T. McConnell enters the game for J. Redick,,60-59,,
7:21.0,,,60-60,1,K. Towns makes free throw 2 of 2
7:13.0,B. Simmons misses 2-pt shot from 6 ft,,60-60,,
7:10.0,,,60-60,,Defensive rebound by T. Gibson
6:56.0,,,60-62,2,K. Towns makes 2-pt shot at rim (assist by A. Wiggins)
6:44.0,R. Holmes misses 2-pt shot from 2 ft (block by K. Towns),,60-62,,
6:41.0,,,60-62,,Defensive rebound by K. Towns
6:35.0,,,60-62,,A. Wiggins misses 2-pt shot from 8 ft
6:34.0,Defensive rebound by A. Johnson,,60-62,,
6:34.0,,,60-62,,G. Dieng enters the game for K. Towns
6:34.0,T. Booker enters the game for R. Holmes,,60-62,,
6:23.0,Turnover by B. Simmons (lost ball; steal by G. Dieng),,60-62,,
6:13.0,,,60-64,2,J. Teague makes 2-pt shot from 15 ft
6:12.0,Philadelphia full timeout,,60-64,,
6:12.0,,,60-64,,T. Jones enters the game for J. Teague
5:56.0,D. Saric misses 3-pt shot from 25 ft,,60-64,,
5:54.0,Offensive rebound by T. Booker,,60-64,,
5:52.0,T. Booker makes 2-pt shot at rim,2,62-64,,
5:38.0,,,62-66,2,T. Gibson makes 2-pt shot from 16 ft (assist by J. Butler)
5:13.0,T. McConnell misses 2-pt shot from 8 ft,,62-66,,
5:11.0,,,62-66,,Defensive rebound by T. Gibson
4:52.0,,,62-66,,A. Wiggins misses 2-pt shot from 2 ft
4:51.0,Defensive rebound by Team,,62-66,,
4:51.0,J. Embiid enters the game for A. Johnson,,62-66,,
4:35.0,T. Booker misses 2-pt shot from 14 ft,,62-66,,
4:31.0,,,62-66,,Defensive rebound by J. Butler
4:23.0,,,62-66,,Turnover by G. Dieng (bad pass; steal by T. Booker)
4:17.0,T. Booker makes 2-pt shot from 1 ft (assist by B. Simmons),2,64-66,,
3:53.0,,,64-66,,T. Gibson misses 2-pt shot from 16 ft
3:48.0,,,64-66,,Offensive rebound by A. Wiggins
3:48.0,,,64-66,,A. Wiggins misses 2-pt shot at rim
3:47.0,,,64-66,,Offensive rebound by T. Gibson
3:45.0,,,64-66,,J. Butler misses 3-pt shot from 25 ft
3:42.0,Defensive rebound by J. Embiid,,64-66,,
3:41.0,Turnover by J. Embiid (bad pass; steal by A. Wiggins),,64-66,,
3:41.0,,,64-68,2,A. Wiggins makes 2-pt shot at rim
3:41.0,,,64-68,,Shooting foul by J. Embiid (drawn by A. Wiggins)
3:41.0,,,64-68,,K. Towns enters the game for G. Dieng
3:41.0,J. Bayless enters the game for D. Saric,,64-68,,
3:41.0,J. Redick enters the game for B. Simmons,,64-68,,
3:41.0,,,64-69,1,A. Wiggins makes free throw 1 of 1
3:26.0,Shooting foul by T. Gibson (drawn by J. Embiid),,64-69,,
3:26.0,J. Embiid makes free throw 1 of 2,1,65-69,,
3:26.0,J. Embiid makes free throw 2 of 2,1,66-69,,
3:17.0,,,66-69,,A. Wiggins misses 3-pt shot from 23 ft
3:14.0,Defensive rebound by T. McConnell,,66-69,,
3:09.0,J. Bayless makes 3-pt shot from 22 ft (assist by J. Embiid),3,69-69,,
2:52.0,,,69-69,,Turnover by T. Jones (bad pass; steal by T. McConnell)
2:47.0,J. Redick makes 3-pt shot from 24 ft (assist by T. Booker),3,72-69,,
2:39.0,,,72-69,,Minnesota full timeout
2:39.0,,,72-69,,J. Crawford enters the game for J. Butler
2:21.0,,,72-71,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Crawford)
2:05.0,J. Redick makes 2-pt shot from 19 ft (assist by J. Embiid),2,74-71,,
1:44.0,,,74-73,2,A. Wiggins makes 2-pt shot from 17 ft (assist by T. Gibson)
1:19.0,J. Embiid misses 2-pt shot from 10 ft (block by K. Towns),,74-73,,
1:17.0,,,74-73,,Defensive rebound by J. Crawford
1:16.0,,,74-75,2,T. Jones makes 2-pt shot at rim (assist by J. Crawford)
1:16.0,,,74-75,,Shooting foul by J. Bayless (drawn by T. Jones)
1:16.0,,,74-76,1,T. Jones makes free throw 1 of 1
1:02.0,J. Embiid misses 2-pt shot from 3 ft (block by K. Towns),,74-76,,
0:58.0,,,74-76,,Defensive rebound by A. Wiggins
0:53.0,,,74-76,,T. Gibson misses 2-pt shot from 1 ft (block by T. Booker)
0:49.0,Defensive rebound by J. Redick,,74-76,,
0:41.0,J. Bayless misses 3-pt shot from 22 ft,,74-76,,
0:38.0,,,74-76,,Defensive rebound by T. Gibson
0:32.0,,,74-76,,J. Crawford misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by Team,,74-76,,
0:17.0,J. Redick misses 2-pt shot from 20 ft,,74-76,,
0:14.0,,,74-76,,Defensive rebound by T. Jones
0:07.0,A. Johnson enters the game for J. Embiid,,74-76,,
0:02.0,,,74-76,,Turnover by T. Gibson (lost ball; steal by A. Johnson)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,J. Redick makes technical free throw,1,75-76,,
11:47.0,,,75-76,,J. Butler misses 2-pt shot from 15 ft
11:44.0,Defensive rebound by J. Embiid,,75-76,,
11:33.0,Turnover by T. McConnell (bad pass; steal by T. Jones),,75-76,,
11:23.0,Personal foul by J. Embiid (drawn by K. Towns),,75-76,,
11:17.0,,,75-78,2,J. Butler makes 2-pt shot at rim
11:00.0,J. Redick misses 2-pt shot from 22 ft,,75-78,,
10:56.0,,,75-78,,Defensive rebound by K. Towns
10:49.0,,,75-80,2,J. Butler makes 2-pt shot from 3 ft
10:27.0,Shooting foul by J. Crawford (drawn by J. Redick),,75-80,,
10:27.0,J. Redick makes free throw 1 of 2,1,76-80,,
10:27.0,A. Johnson enters the game for J. Embiid,,76-80,,
10:27.0,J. Redick makes free throw 2 of 2,1,77-80,,
10:14.0,,,77-82,2,J. Butler makes 2-pt shot from 17 ft
10:01.0,Offensive charge foul by A. Johnson (drawn by J. Butler),,77-82,,
10:01.0,Turnover by A. Johnson (offensive foul),,77-82,,
9:43.0,,,77-82,,G. Dieng misses 3-pt shot from 23 ft
9:39.0,Defensive rebound by R. Holmes,,77-82,,
9:35.0,J. Redick misses 3-pt shot from 24 ft,,77-82,,
9:32.0,,,77-82,,Defensive rebound by K. Towns
9:27.0,,,77-82,,G. Dieng misses 2-pt shot from 2 ft (block by R. Holmes)
9:26.0,,,77-82,,J. Teague enters the game for T. Jones
9:26.0,B. Simmons enters the game for T. McConnell,,77-82,,
9:26.0,Offensive rebound by Team,,77-82,,
9:23.0,Jump ball: G. Dieng vs. R. Holmes (J. Redick gains possession),,,,Jump ball: G. Dieng vs. R. Holmes (J. Redick gains possession)
9:13.0,J. Redick misses 2-pt shot from 21 ft,,77-82,,
9:10.0,,,77-82,,Defensive rebound by K. Towns
9:08.0,,,77-84,2,G. Dieng makes 2-pt shot at rim (assist by J. Crawford)
9:07.0,Philadelphia full timeout,,77-84,,
8:54.0,Turnover by A. Johnson (bad pass),,77-84,,
8:42.0,J. Bayless enters the game for D. Saric,,77-84,,
8:42.0,T. McConnell enters the game for J. Redick,,77-84,,
8:35.0,,,77-84,,J. Butler misses 2-pt shot from 16 ft
8:30.0,Defensive rebound by T. McConnell,,77-84,,
8:25.0,R. Holmes misses 2-pt shot from 8 ft,,77-84,,
8:20.0,,,77-84,,Defensive rebound by J. Crawford
8:07.0,,,77-84,,J. Butler misses 2-pt shot from 12 ft
8:05.0,Defensive rebound by A. Johnson,,77-84,,
8:00.0,R. Holmes misses 3-pt shot from 25 ft,,77-84,,
7:54.0,,,77-84,,Defensive rebound by K. Towns
7:35.0,,,77-84,,K. Towns misses 2-pt shot from 5 ft
7:34.0,Defensive rebound by Team,,77-84,,
7:34.0,T. Booker enters the game for A. Johnson,,77-84,,
7:19.0,Turnover by B. Simmons (step out of bounds),,77-84,,
7:19.0,J. Embiid enters the game for R. Holmes,,77-84,,
7:02.0,,,77-84,,J. Butler misses 3-pt shot from 25 ft
6:58.0,Defensive rebound by J. Bayless,,77-84,,
6:47.0,J. Embiid misses 2-pt shot from 16 ft,,77-84,,
6:44.0,,,77-84,,Defensive rebound by G. Dieng
6:34.0,,,77-84,,G. Dieng misses 2-pt shot from 18 ft
6:31.0,,,77-84,,Offensive rebound by K. Towns
6:29.0,,,77-84,,Turnover by G. Dieng (bad pass; steal by T. Booker)
6:26.0,Turnover by T. McConnell (bad pass),,77-84,,
6:06.0,,,77-86,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague)
6:05.0,Philadelphia full timeout,,77-86,,
6:05.0,,,77-86,,T. Gibson enters the game for G. Dieng
6:05.0,J. Redick enters the game for J. Bayless,,77-86,,
6:05.0,D. Saric enters the game for T. McConnell,,77-86,,
5:53.0,J. Redick makes 3-pt shot from 24 ft (assist by T. Booker),3,80-86,,
5:37.0,,,80-86,,K. Towns misses 3-pt shot from 24 ft
5:34.0,,,80-86,,Offensive rebound by J. Butler
5:27.0,,,80-88,2,J. Teague makes 2-pt shot from 15 ft
5:09.0,J. Redick makes 2-pt shot from 22 ft (assist by T. Booker),2,82-88,,
4:51.0,,,82-88,,Turnover by J. Teague (bad pass; steal by B. Simmons)
4:48.0,J. Redick misses 3-pt shot from 23 ft,,82-88,,
4:44.0,Offensive rebound by T. Booker,,82-88,,
4:38.0,J. Embiid makes 2-pt shot from 1 ft (assist by T. Booker),2,84-88,,
4:31.0,,,84-88,,Minnesota full timeout
4:31.0,,,84-88,,A. Wiggins enters the game for J. Crawford
4:31.0,R. Holmes enters the game for T. Booker,,84-88,,
4:26.0,,,84-88,,Offensive foul by J. Butler (drawn by R. Holmes)
4:26.0,,,84-88,,Turnover by J. Butler (offensive foul)
4:12.0,Turnover by B. Simmons (bad pass; steal by T. Gibson),,84-88,,
3:51.0,,,84-88,,J. Teague misses 2-pt shot from 15 ft
