time,Dallas,pts.away,score,pts.home,Chicago
9:10.0,,,37-26,,Turnover by J. Grant (lost ball; steal by Y. Ferrell)
9:04.0,Y. Ferrell makes 2-pt shot from 1 ft,2,39-26,,
9:04.0,,,39-26,,Chicago full timeout
9:04.0,,,39-26,,Z. LaVine enters the game for J. Grant
8:45.0,,,39-26,,C. Payne misses 3-pt shot from 26 ft
8:44.0,Defensive rebound by Team,,39-26,,
8:33.0,D. McDermott misses 2-pt shot from 20 ft,,39-26,,
8:27.0,Offensive rebound by D. Nowitzki,,39-26,,
8:26.0,D. Nowitzki misses 2-pt shot from 16 ft,,39-26,,
8:24.0,,,39-26,,Defensive rebound by D. Nwaba
8:13.0,,,39-26,,B. Portis misses 2-pt shot from 17 ft
8:09.0,,,39-26,,Offensive rebound by C. Felicio
8:07.0,,,39-28,2,C. Felicio makes 2-pt shot at rim
7:56.0,J. Barea makes 3-pt shot from 25 ft,3,42-28,,
7:40.0,,,42-28,,Shooting foul by D. Nowitzki (drawn by C. Felicio)
7:40.0,D. Smith enters the game for Y. Ferrell,,42-28,,
7:40.0,,,42-29,1,C. Felicio makes free throw 1 of 2
7:40.0,,,42-29,,K. Dunn enters the game for B. Portis
7:40.0,,,42-29,,L. Markkanen enters the game for C. Payne
7:40.0,,,42-30,1,C. Felicio makes free throw 2 of 2
7:15.0,J. Barea misses 3-pt shot from 25 ft,,42-30,,
7:12.0,,,42-30,,Defensive rebound by L. Markkanen
7:02.0,,,42-32,2,Z. LaVine makes 2-pt shot from 15 ft
6:48.0,D. McDermott misses 2-pt shot from 18 ft,,42-32,,
6:45.0,,,42-32,,Defensive rebound by C. Felicio
6:38.0,,,42-34,2,C. Felicio makes 2-pt shot at rim (assist by D. Nwaba)
6:37.0,Dallas full timeout,,42-34,,
6:37.0,H. Barnes enters the game for D. McDermott,,42-34,,
6:37.0,W. Matthews enters the game for D. Nowitzki,,42-34,,
6:20.0,W. Matthews misses 3-pt shot from 25 ft,,42-34,,
6:16.0,,,42-34,,Defensive rebound by K. Dunn
6:00.0,,,42-34,,K. Dunn misses 3-pt shot from 25 ft
5:57.0,Defensive rebound by D. Powell,,42-34,,
5:41.0,H. Barnes misses 2-pt shot from 17 ft,,42-34,,
5:38.0,,,42-34,,Defensive rebound by Z. LaVine
5:34.0,,,42-34,,L. Markkanen misses 3-pt shot from 25 ft
5:25.0,,,42-34,,Offensive rebound by D. Nwaba
5:25.0,,,42-36,2,D. Nwaba makes 2-pt shot at rim
5:09.0,H. Barnes misses 3-pt shot from 23 ft,,42-36,,
5:07.0,,,42-36,,Defensive rebound by C. Felicio
5:07.0,N. Noel enters the game for D. Powell,,42-36,,
4:48.0,,,42-38,2,Z. LaVine makes 2-pt shot at rim
4:48.0,,,42-38,,Shooting foul by N. Noel (drawn by Z. LaVine)
4:48.0,,,42-39,1,Z. LaVine makes free throw 1 of 1
4:30.0,D. Smith makes 2-pt shot from 21 ft,2,44-39,,
4:10.0,,,44-39,,L. Markkanen misses 2-pt shot from 6 ft
4:07.0,,,44-39,,Offensive rebound by L. Markkanen
4:06.0,,,44-39,,L. Markkanen misses 2-pt shot from 3 ft (block by N. Noel)
4:06.0,,,44-39,,Offensive rebound by L. Markkanen
4:02.0,,,44-39,,L. Markkanen misses 2-pt shot from 3 ft
4:02.0,Defensive rebound by H. Barnes,,44-39,,
3:43.0,W. Matthews misses 2-pt shot from 12 ft (block by D. Nwaba),,44-39,,
3:40.0,Offensive rebound by W. Matthews,,44-39,,
3:39.0,W. Matthews misses 2-pt shot from 7 ft,,44-39,,
3:39.0,,,44-39,,Defensive rebound by L. Markkanen
3:23.0,,,44-39,,Shooting foul by N. Noel (drawn by Z. LaVine)
3:23.0,,,44-40,1,Z. LaVine makes free throw 1 of 2
3:23.0,,,44-40,,B. Portis enters the game for C. Felicio
3:23.0,Y. Ferrell enters the game for J. Barea,,44-40,,
3:23.0,,,44-41,1,Z. LaVine makes free throw 2 of 2
3:14.0,,,44-41,,Personal block foul by L. Markkanen (drawn by Y. Ferrell)
3:08.0,D. Smith misses 2-pt shot from 18 ft,,44-41,,
3:03.0,,,44-41,,Defensive rebound by Z. LaVine
2:57.0,,,44-41,,D. Nwaba misses 3-pt shot from 21 ft
2:54.0,Defensive rebound by H. Barnes,,44-41,,
2:36.0,H. Barnes makes 2-pt shot from 7 ft,2,46-41,,
2:18.0,,,46-41,,Z. LaVine misses 2-pt shot from 13 ft
2:15.0,,,46-41,,Offensive rebound by Team
2:02.0,,,46-41,,D. Nwaba misses 2-pt shot from 7 ft
1:59.0,Defensive rebound by N. Noel,,46-41,,
1:50.0,H. Barnes misses 2-pt shot from 18 ft,,46-41,,
1:44.0,,,46-41,,Defensive rebound by K. Dunn
1:36.0,,,46-43,2,L. Markkanen makes 2-pt shot from 2 ft (assist by Z. LaVine)
1:18.0,Turnover by Y. Ferrell (bad pass; steal by Z. LaVine),,46-43,,
1:14.0,,,46-43,,Turnover by D. Nwaba (bad pass; steal by Y. Ferrell)
1:09.0,D. Smith makes 3-pt shot from 25 ft (assist by W. Matthews),3,49-43,,
0:50.0,,,49-43,,B. Portis misses 2-pt shot from 3 ft
0:49.0,,,49-43,,Offensive rebound by L. Markkanen
0:49.0,,,49-45,2,L. Markkanen makes 2-pt shot at rim
0:31.0,D. Smith misses 2-pt shot from 13 ft,,49-45,,
0:29.0,,,49-45,,Defensive rebound by K. Dunn
0:27.0,,,49-47,2,K. Dunn makes 2-pt shot from 2 ft
0:03.0,H. Barnes misses 2-pt shot from 1 ft,,49-47,,
0:00.0,,,49-47,,Defensive rebound by D. Nwaba
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,49-47,,K. Dunn misses 2-pt shot from 15 ft
11:37.0,Defensive rebound by H. Barnes,,49-47,,
11:21.0,W. Matthews makes 2-pt shot from 17 ft (assist by D. Nowitzki),2,51-47,,
11:04.0,,,51-50,3,K. Dunn makes 3-pt shot from 25 ft (assist by Z. LaVine)
10:49.0,W. Matthews makes 3-pt shot from 23 ft (assist by D. Smith),3,54-50,,
10:36.0,,,54-50,,Z. LaVine misses 3-pt shot from 26 ft
10:31.0,Defensive rebound by D. Powell,,54-50,,
10:20.0,D. Smith makes 3-pt shot from 25 ft (assist by H. Barnes),3,57-50,,
10:05.0,,,57-50,,Shooting foul by D. Powell (drawn by D. Nwaba)
10:05.0,,,57-51,1,D. Nwaba makes free throw 1 of 2
10:05.0,M. Kleber enters the game for D. Powell,,57-51,,
10:05.0,,,57-52,1,D. Nwaba makes free throw 2 of 2
10:04.0,,,57-52,,Personal foul by K. Dunn (drawn by D. Smith)
9:58.0,H. Barnes makes 3-pt shot from 22 ft (assist by D. Smith),3,60-52,,
9:45.0,,,60-52,,D. Nwaba misses 2-pt shot from 2 ft
9:43.0,Defensive rebound by M. Kleber,,60-52,,
9:32.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by W. Matthews),2,62-52,,
9:30.0,,,62-52,,Chicago full timeout
9:19.0,,,62-52,,Turnover by K. Dunn (bad pass)
9:05.0,Turnover by M. Kleber (bad pass; steal by D. Nwaba),,62-52,,
9:01.0,,,62-54,2,L. Markkanen makes 2-pt shot at rim (assist by D. Nwaba)
8:53.0,Shooting foul by K. Dunn (drawn by D. Smith),,62-54,,
8:53.0,D. Smith makes free throw 1 of 2,1,63-54,,
8:53.0,D. Smith makes free throw 2 of 2,1,64-54,,
8:36.0,,,64-54,,Z. LaVine misses 2-pt shot from 4 ft (block by D. Nowitzki)
8:32.0,Defensive rebound by H. Barnes,,64-54,,
8:30.0,Turnover by D. Nowitzki (bad pass),,64-54,,
8:14.0,,,64-56,2,C. Felicio makes 2-pt shot from 17 ft (assist by D. Nwaba)
7:52.0,W. Matthews misses 3-pt shot from 25 ft,,64-56,,
7:50.0,,,64-56,,Defensive rebound by D. Nwaba
7:39.0,,,64-58,2,K. Dunn makes 2-pt shot from 1 ft
7:23.0,M. Kleber makes 2-pt shot at rim (assist by W. Matthews),2,66-58,,
7:11.0,,,66-58,,Shooting foul by M. Kleber (drawn by K. Dunn)
7:11.0,,,66-59,1,K. Dunn makes free throw 1 of 2
7:11.0,,,66-59,,K. Dunn misses free throw 2 of 2
7:08.0,Defensive rebound by D. Nowitzki,,66-59,,
6:58.0,,,66-59,,Personal foul by Z. LaVine (drawn by W. Matthews)
6:50.0,W. Matthews misses 3-pt shot from 24 ft,,66-59,,
6:47.0,Offensive rebound by M. Kleber,,66-59,,
6:46.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by M. Kleber),3,69-59,,
6:30.0,,,69-59,,Turnover by D. Nwaba (bad pass)
6:17.0,Shooting foul by C. Felicio (drawn by M. Kleber),,69-59,,
6:17.0,M. Kleber makes free throw 1 of 2,1,70-59,,
6:17.0,M. Kleber makes free throw 2 of 2,1,71-59,,
6:06.0,,,71-59,,C. Felicio misses 2-pt shot from 2 ft
6:06.0,,,71-59,,Offensive rebound by Team
6:06.0,,,71-59,,D. Valentine enters the game for Z. LaVine
6:06.0,D. McDermott enters the game for D. Nowitzki,,71-59,,
6:06.0,N. Noel enters the game for M. Kleber,,71-59,,
6:00.0,,,71-59,,Turnover by C. Felicio (lost ball; steal by N. Noel)
5:55.0,D. Smith makes 2-pt shot from 1 ft,2,73-59,,
5:41.0,,,73-59,,D. Nwaba misses 3-pt shot from 23 ft
5:41.0,,,73-59,,Offensive rebound by Team
5:41.0,Loose ball foul by W. Matthews (drawn by L. Markkanen),,73-59,,
5:41.0,,,73-59,,B. Portis enters the game for C. Felicio
5:32.0,,,73-62,3,L. Markkanen makes 3-pt shot from 25 ft (assist by K. Dunn)
5:13.0,H. Barnes misses 2-pt shot from 20 ft,,73-62,,
5:09.0,Offensive rebound by N. Noel,,73-62,,
5:08.0,D. Smith misses 3-pt shot from 25 ft,,73-62,,
5:05.0,,,73-62,,Defensive rebound by L. Markkanen
4:58.0,,,73-64,2,B. Portis makes 2-pt shot from 18 ft (assist by D. Valentine)
4:46.0,W. Matthews misses 2-pt shot from 20 ft,,73-64,,
4:46.0,,,73-64,,Defensive rebound by D. Nwaba
4:38.0,,,73-67,3,B. Portis makes 3-pt shot from 26 ft (assist by K. Dunn)
4:37.0,Dallas full timeout,,73-67,,
4:20.0,D. McDermott makes 3-pt shot from 23 ft (assist by D. Smith),3,76-67,,
4:04.0,,,76-70,3,D. Valentine makes 3-pt shot from 24 ft (assist by D. Nwaba)
3:52.0,,,76-70,,Personal foul by L. Markkanen (drawn by H. Barnes)
3:52.0,H. Barnes makes free throw 1 of 2,1,77-70,,
3:52.0,H. Barnes makes free throw 2 of 2,1,78-70,,
3:40.0,,,78-70,,Shooting foul by D. Smith (drawn by K. Dunn)
3:40.0,,,78-71,1,K. Dunn makes free throw 1 of 2
3:40.0,,,78-72,1,K. Dunn makes free throw 2 of 2
3:24.0,N. Noel misses 2-pt shot from 2 ft,,78-72,,
3:24.0,Offensive rebound by N. Noel,,78-72,,
3:14.0,D. Smith makes 2-pt shot from 2 ft,2,80-72,,
2:52.0,,,80-72,,L. Markkanen misses 2-pt shot from 13 ft
2:52.0,Defensive rebound by D. McDermott,,80-72,,
2:44.0,Turnover by D. Smith (bad pass),,80-72,,
2:44.0,,,80-72,,C. Felicio enters the game for L. Markkanen
2:44.0,,,80-72,,C. Payne enters the game for K. Dunn
2:36.0,,,80-72,,D. Valentine misses 3-pt shot from 24 ft
2:36.0,Defensive rebound by D. McDermott,,80-72,,
2:36.0,,,80-72,,D. Valentine misses technical free throw
2:36.0,Defensive rebound by Team,,80-72,,
2:36.0,,,80-72,,Z. LaVine enters the game for D. Nwaba
2:36.0,J. Barea enters the game for W. Matthews,,80-72,,
2:21.0,Shooting foul by B. Portis (drawn by H. Barnes),,80-72,,
2:21.0,H. Barnes makes free throw 1 of 2,1,81-72,,
2:21.0,H. Barnes makes free throw 2 of 2,1,82-72,,
2:12.0,,,82-74,2,D. Valentine makes 2-pt shot from 18 ft (assist by B. Portis)
1:50.0,H. Barnes makes 2-pt shot from 12 ft,2,84-74,,
1:32.0,,,84-74,,B. Portis misses 3-pt shot from 26 ft
1:26.0,Defensive rebound by N. Noel,,84-74,,
1:15.0,D. McDermott misses 2-pt shot from 21 ft,,84-74,,
1:11.0,Offensive rebound by N. Noel,,84-74,,
1:10.0,N. Noel misses 2-pt shot from 1 ft,,84-74,,
1:10.0,Offensive rebound by Team,,84-74,,
0:56.0,Turnover by H. Barnes (bad pass; steal by C. Payne),,84-74,,
0:48.0,D. Nowitzki enters the game for D. Smith,,84-74,,
0:48.0,D. Powell enters the game for N. Noel,,84-74,,
0:48.0,Y. Ferrell enters the game for H. Barnes,,84-74,,
0:39.0,,,84-74,,Z. LaVine misses 2-pt shot from 18 ft
0:37.0,,,84-74,,Offensive rebound by B. Portis
0:37.0,,,84-76,2,B. Portis makes 2-pt shot at rim
0:25.0,,,84-76,,Def 3 sec tech foul by D. Valentine
0:25.0,D. Nowitzki makes technical free throw,1,85-76,,
0:25.0,H. Barnes enters the game for D. Nowitzki,,85-76,,
0:16.0,Turnover by D. McDermott (bad pass),,85-76,,
0:06.0,,,85-78,2,C. Payne makes 2-pt shot from 21 ft
0:00.0,Y. Ferrell misses 3-pt shot from 25 ft,,85-78,,
0:00.0,Offensive rebound by Team,,85-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by J. Barea),3,88-78,,
11:25.0,,,88-78,,C. Payne misses 2-pt shot from 19 ft
11:23.0,Defensive rebound by D. Powell,,88-78,,
11:17.0,Turnover by J. Barea (bad pass),,88-78,,
10:56.0,,,88-78,,C. Payne misses 2-pt shot from 21 ft
10:52.0,,,88-78,,Offensive rebound by B. Portis
10:52.0,,,88-80,2,B. Portis makes 2-pt shot from 1 ft
10:52.0,,,88-80,,Shooting foul by D. Nowitzki (drawn by B. Portis)
10:52.0,,,88-80,,B. Portis misses free throw 1 of 1
10:48.0,Defensive rebound by D. Powell,,88-80,,
10:31.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. McDermott),3,91-80,,
10:14.0,,,91-80,,B. Portis misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by J. Barea,,91-80,,
10:08.0,Turnover by J. Barea (bad pass; steal by D. Valentine),,91-80,,
10:08.0,Personal take foul by D. Nowitzki (drawn by B. Portis),,91-80,,
9:55.0,,,91-83,3,Z. LaVine makes 3-pt shot from 25 ft
9:37.0,J. Barea misses 3-pt shot from 24 ft,,91-83,,
9:36.0,,,91-83,,Defensive rebound by Team
9:22.0,,,91-85,2,Z. LaVine makes 2-pt shot from 1 ft
9:22.0,Dallas full timeout,,91-85,,
9:05.0,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea),2,93-85,,
8:43.0,,,93-85,,Turnover by C. Felicio (traveling)
8:43.0,,,93-85,,D. Nwaba enters the game for Z. LaVine
8:27.0,Turnover by D. McDermott (bad pass),,93-85,,
8:16.0,,,93-85,,Turnover by D. Valentine (traveling)
8:16.0,,,93-85,,L. Markkanen enters the game for C. Felicio
8:00.0,Y. Ferrell misses 2-pt shot at rim,,93-85,,
7:58.0,,,93-85,,Defensive rebound by D. Nwaba
7:52.0,,,93-88,3,L. Markkanen makes 3-pt shot from 25 ft (assist by D. Valentine)
7:25.0,J. Barea misses 3-pt shot from 22 ft,,93-88,,
7:22.0,,,93-88,,Defensive rebound by D. Nwaba
7:08.0,,,93-90,2,D. Nwaba makes 2-pt shot from 2 ft (assist by B. Portis)
6:48.0,D. Nowitzki misses 3-pt shot from 24 ft,,93-90,,
6:46.0,,,93-90,,Defensive rebound by D. Valentine
6:41.0,,,93-92,2,D. Valentine makes 2-pt shot from 20 ft
6:40.0,Dallas full timeout,,93-92,,
6:40.0,,,93-92,,K. Dunn enters the game for C. Payne
6:40.0,D. Smith enters the game for J. Barea,,93-92,,
6:40.0,W. Matthews enters the game for Y. Ferrell,,93-92,,
6:40.0,H. Barnes enters the game for D. Nowitzki,,93-92,,
6:15.0,H. Barnes misses 2-pt shot from 6 ft,,93-92,,
6:12.0,,,93-92,,Defensive rebound by K. Dunn
6:08.0,,,93-92,,D. Valentine misses 3-pt shot from 26 ft
6:05.0,,,93-92,,Offensive rebound by L. Markkanen
5:54.0,,,93-92,,K. Dunn misses 2-pt shot from 2 ft
5:50.0,Defensive rebound by D. Powell,,93-92,,
5:39.0,D. Smith misses 2-pt shot from 20 ft,,93-92,,
5:35.0,,,93-92,,Defensive rebound by B. Portis
5:34.0,,,93-92,,Turnover by B. Portis (bad pass; steal by D. Smith)
5:31.0,D. Smith misses 2-pt shot from 1 ft (block by K. Dunn),,93-92,,
5:31.0,Offensive rebound by Team,,93-92,,
5:30.0,Shooting foul by K. Dunn (drawn by D. Smith),,93-92,,
5:30.0,D. Smith makes free throw 1 of 2,1,94-92,,
5:30.0,D. Smith misses free throw 2 of 2,,94-92,,
5:27.0,,,94-92,,Defensive rebound by L. Markkanen
5:18.0,,,94-92,,L. Markkanen misses 3-pt shot from 26 ft
5:14.0,Defensive rebound by D. Powell,,94-92,,
5:06.0,D. Powell makes 2-pt shot from 1 ft (assist by W. Matthews),2,96-92,,
5:06.0,Shooting foul by B. Portis (drawn by D. Powell),,96-92,,
5:06.0,,,96-92,,Z. LaVine enters the game for D. Valentine
5:06.0,D. Powell misses free throw 1 of 1,,96-92,,
5:03.0,,,96-92,,Defensive rebound by L. Markkanen
4:53.0,,,96-92,,L. Markkanen misses 2-pt shot from 11 ft
4:51.0,Defensive rebound by D. Powell,,96-92,,
4:46.0,D. McDermott misses 2-pt shot from 1 ft,,96-92,,
4:42.0,Offensive rebound by D. Powell,,96-92,,
4:41.0,W. Matthews misses 3-pt shot from 23 ft,,96-92,,
4:37.0,,,96-92,,Defensive rebound by L. Markkanen
4:31.0,,,96-94,2,D. Nwaba makes 2-pt shot from 1 ft (assist by Z. LaVine)
4:11.0,Turnover by H. Barnes (bad pass; steal by K. Dunn),,96-94,,
4:09.0,,,96-96,2,B. Portis makes 2-pt shot at rim (assist by K. Dunn)
4:09.0,,,96-96,,Shooting foul by D. McDermott (drawn by B. Portis)
