time,Cleveland,pts.away,score,pts.home,Miami
0:06.0,,,34-54,,J. Mickey misses 2-pt shot at rim
0:05.0,Defensive rebound by T. Thompson,,34-54,,
0:01.0,J. Clarkson misses 3-pt shot from 23 ft,,34-54,,
0:00.0,Offensive rebound by T. Thompson,,34-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,34-54,,Offensive foul by J. Mickey (drawn by G. Hill)
11:47.0,,,34-54,,Turnover by J. Mickey (offensive foul)
11:26.0,J. Green misses 2-pt shot from 8 ft,,34-54,,
11:24.0,Offensive rebound by J. Green,,34-54,,
11:23.0,J. Green makes 2-pt shot from 2 ft,2,36-54,,
11:12.0,,,36-56,2,J. Mickey makes 2-pt shot at rim (assist by J. Richardson)
10:53.0,J. Green misses 3-pt shot from 25 ft,,36-56,,
10:52.0,,,36-56,,Defensive rebound by J. Johnson
10:45.0,,,36-56,,Turnover by G. Dragic (bad pass; steal by J. Green)
10:40.0,Shooting foul by T. Johnson (drawn by J. Green),,36-56,,
10:40.0,J. Green misses free throw 1 of 2,,36-56,,
10:40.0,Offensive rebound by Team,,36-56,,
10:40.0,J. Green makes free throw 2 of 2,1,37-56,,
10:29.0,,,37-56,,T. Johnson misses 2-pt shot from 18 ft
10:26.0,,,37-56,,Offensive rebound by J. Richardson
10:25.0,,,37-56,,J. Richardson misses 2-pt shot from 1 ft
10:25.0,Defensive rebound by J. Calderon,,37-56,,
9:58.0,R. Hood makes 2-pt shot from 9 ft (assist by G. Hill),2,39-56,,
9:48.0,,,39-58,2,G. Dragic makes 2-pt shot from 1 ft
9:23.0,G. Hill makes 2-pt shot from 1 ft,2,41-58,,
9:02.0,,,41-58,,J. Richardson misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by Team,,41-58,,
9:02.0,,,41-58,,Loose ball foul by J. Mickey (drawn by G. Hill)
8:49.0,G. Hill makes 2-pt shot from 13 ft,2,43-58,,
8:36.0,,,43-60,2,J. Richardson makes 2-pt shot from 7 ft
8:27.0,Offensive foul by L. James (drawn by T. Johnson),,43-60,,
8:27.0,Turnover by L. James (offensive foul),,43-60,,
8:09.0,,,43-62,2,J. Johnson makes 2-pt shot from 6 ft
7:53.0,G. Hill misses 3-pt shot from 25 ft,,43-62,,
7:52.0,,,43-62,,Defensive rebound by J. Johnson
7:46.0,,,43-62,,J. Richardson misses 3-pt shot from 25 ft
7:45.0,,,43-62,,Offensive rebound by J. Richardson
7:42.0,,,43-64,2,J. Richardson makes 2-pt shot from 1 ft
7:41.0,Cleveland full timeout,,43-64,,
7:23.0,R. Hood makes 3-pt shot from 25 ft (assist by L. James),3,46-64,,
7:05.0,,,46-64,,Shooting foul by J. Calderon (drawn by T. Johnson)
7:05.0,,,46-65,1,T. Johnson makes free throw 1 of 2
7:05.0,,,46-66,1,T. Johnson makes free throw 2 of 2
6:51.0,,,46-66,,Personal foul by J. Richardson (drawn by R. Hood)
6:39.0,J. Green misses 3-pt shot from 25 ft,,46-66,,
6:36.0,,,46-66,,Defensive rebound by J. Johnson
6:24.0,,,46-66,,Turnover by J. Johnson (out of bounds lost ball)
6:19.0,Turnover by L. James (bad pass; steal by J. Johnson),,46-66,,
6:05.0,,,46-68,2,J. Johnson makes 2-pt shot from 1 ft (assist by J. Richardson)
5:54.0,L. James misses 3-pt shot from 23 ft,,46-68,,
5:52.0,,,46-68,,Defensive rebound by J. Mickey
5:38.0,,,46-68,,J. Johnson misses 2-pt shot from 7 ft
5:35.0,Defensive rebound by J. Green,,46-68,,
5:31.0,,,46-68,,Shooting block foul by T. Johnson (drawn by L. James)
5:31.0,L. James makes free throw 1 of 2,1,47-68,,
5:31.0,J. Clarkson enters the game for J. Green,,47-68,,
5:31.0,L. Nance enters the game for J. Calderon,,47-68,,
5:31.0,L. James misses free throw 2 of 2,,47-68,,
