time,Houston,pts.away,score,pts.home,Orlando
8:07.0,,,32-20,,Defensive rebound by M. Hezonja
8:00.0,,,32-22,2,M. Hezonja makes 2-pt shot from 18 ft
7:49.0,Shooting foul by M. Speights (drawn by E. Gordon),,32-22,,
7:49.0,E. Gordon makes free throw 1 of 2,1,33-22,,
7:49.0,,,33-22,,E. Fournier enters the game for A. Afflalo
7:49.0,,,33-22,,B. Biyombo enters the game for M. Speights
7:49.0,C. Capela enters the game for G. Green,,33-22,,
7:49.0,T. Ariza enters the game for N. Hilario,,33-22,,
7:49.0,E. Gordon misses free throw 2 of 2,,33-22,,
7:47.0,,,33-22,,Defensive rebound by M. Hezonja
7:39.0,Personal foul by P. Tucker (drawn by B. Biyombo),,33-22,,
7:29.0,,,33-24,2,M. Hezonja makes 2-pt shot from 21 ft (assist by J. Simmons)
7:12.0,E. Gordon makes 2-pt shot from 2 ft (assist by B. Weber),2,35-24,,
6:48.0,,,35-26,2,B. Biyombo makes 2-pt shot from 1 ft (assist by M. Hezonja)
6:39.0,E. Gordon misses 3-pt shot from 25 ft,,35-26,,
6:38.0,Offensive rebound by B. Weber,,35-26,,
6:36.0,Turnover by B. Weber (bad pass; steal by J. Simmons),,35-26,,
6:26.0,,,35-26,,Offensive foul by B. Biyombo (drawn by C. Capela)
6:26.0,,,35-26,,Turnover by B. Biyombo (offensive foul)
6:26.0,C. Paul enters the game for B. Weber,,35-26,,
6:13.0,Shooting foul by B. Biyombo (drawn by C. Capela),,35-26,,
6:13.0,C. Capela makes free throw 1 of 2,1,36-26,,
6:13.0,,,36-26,,A. Gordon enters the game for B. Biyombo
6:13.0,R. Anderson enters the game for P. Tucker,,36-26,,
6:13.0,C. Capela makes free throw 2 of 2,1,37-26,,
6:01.0,,,37-26,,Shooting foul by R. Anderson (drawn by E. Fournier)
6:01.0,,,37-27,1,E. Fournier makes free throw 1 of 2
6:01.0,,,37-28,1,E. Fournier makes free throw 2 of 2
5:47.0,C. Capela makes 2-pt shot from 2 ft (assist by C. Paul),2,39-28,,
5:27.0,,,39-28,,A. Gordon misses 2-pt shot from 12 ft
5:21.0,,,39-28,,Offensive rebound by M. Hezonja
5:18.0,,,39-28,,A. Gordon misses 2-pt shot from 17 ft
5:12.0,,,39-28,,Offensive rebound by E. Fournier
5:10.0,,,39-28,,Turnover by E. Fournier (bad pass; steal by E. Gordon)
5:02.0,C. Capela makes 2-pt shot from 6 ft (assist by C. Paul),2,41-28,,
4:49.0,,,41-28,,D. Augustin misses 3-pt shot from 27 ft
4:49.0,Defensive rebound by Team,,41-28,,
4:47.0,,,41-28,,E. Payton enters the game for D. Augustin
4:34.0,E. Gordon misses 3-pt shot from 25 ft,,41-28,,
4:30.0,,,41-28,,Defensive rebound by M. Hezonja
4:30.0,,,41-28,,Turnover by M. Hezonja (bad pass)
4:21.0,Turnover by E. Gordon (lost ball; steal by E. Payton),,41-28,,
4:14.0,,,41-30,2,J. Simmons makes 2-pt shot from 2 ft (assist by E. Payton)
4:01.0,E. Gordon misses 3-pt shot from 30 ft,,41-30,,
3:58.0,,,41-30,,Defensive rebound by E. Fournier
3:56.0,,,41-30,,Shooting foul by R. Anderson (drawn by E. Fournier)
3:56.0,,,41-31,1,E. Fournier makes free throw 1 of 2
3:56.0,,,41-31,,K. Birch enters the game for M. Hezonja
3:56.0,G. Green enters the game for E. Gordon,,41-31,,
3:56.0,,,41-32,1,E. Fournier makes free throw 2 of 2
3:44.0,G. Green makes 3-pt shot from 23 ft (assist by C. Paul),3,44-32,,
3:26.0,,,44-34,2,A. Gordon makes 2-pt shot from 10 ft (assist by E. Payton)
3:13.0,Turnover by C. Paul (out of bounds lost ball),,44-34,,
2:57.0,,,44-34,,Turnover by A. Gordon (traveling)
2:57.0,Houston full timeout,,44-34,,
2:57.0,T. Black enters the game for C. Capela,,44-34,,
2:45.0,T. Ariza makes 2-pt shot from 2 ft (assist by C. Paul),2,46-34,,
2:29.0,,,46-34,,Shooting foul by G. Green (drawn by E. Fournier)
2:29.0,,,46-35,1,E. Fournier makes free throw 1 of 2
2:29.0,,,46-36,1,E. Fournier makes free throw 2 of 2
2:09.0,Shooting foul by K. Birch (drawn by T. Ariza),,46-36,,
2:09.0,T. Ariza makes free throw 1 of 2,1,47-36,,
2:09.0,T. Ariza misses free throw 2 of 2,,47-36,,
2:08.0,,,47-36,,Defensive rebound by Team
2:02.0,,,47-36,,Shooting foul by T. Black (drawn by J. Simmons)
2:02.0,,,47-37,1,J. Simmons makes free throw 1 of 2
2:02.0,,,47-37,,J. Simmons misses free throw 2 of 2
1:59.0,Defensive rebound by T. Ariza,,47-37,,
1:41.0,C. Paul makes 3-pt shot from 25 ft,3,50-37,,
1:30.0,,,50-37,,E. Fournier misses 3-pt shot from 26 ft
1:20.0,Defensive rebound by R. Anderson,,50-37,,
1:20.0,C. Paul misses 2-pt shot from 16 ft,,50-37,,
1:17.0,,,50-37,,Defensive rebound by K. Birch
1:07.0,,,50-39,2,E. Payton makes 2-pt shot from 20 ft
0:57.0,T. Black makes 2-pt shot from 3 ft (assist by C. Paul),2,52-39,,
0:57.0,Shooting foul by K. Birch (drawn by T. Black),,52-39,,
0:57.0,T. Black misses free throw 1 of 1,,52-39,,
0:55.0,,,52-39,,Defensive rebound by K. Birch
0:46.0,Personal foul by T. Ariza (drawn by E. Payton),,52-39,,
0:46.0,,,52-40,1,E. Payton makes free throw 1 of 2
0:46.0,,,52-40,,W. Iwundu enters the game for J. Simmons
0:46.0,,,52-41,1,E. Payton makes free throw 2 of 2
0:33.0,G. Green makes 3-pt shot from 24 ft (assist by C. Paul),3,55-41,,
0:27.0,,,55-41,,A. Gordon misses 2-pt shot from 16 ft
0:24.0,Defensive rebound by T. Black,,55-41,,
0:02.0,Turnover by C. Paul (bad pass; steal by E. Payton),,55-41,,
0:00.0,,,55-41,,E. Fournier misses 2-pt shot from 15 ft
0:00.0,,,55-41,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,55-41,,A. Gordon misses 2-pt shot from 13 ft
11:39.0,Defensive rebound by C. Paul,,55-41,,
11:24.0,R. Anderson makes 2-pt shot from 2 ft,2,57-41,,
11:18.0,,,57-41,,Turnover by E. Payton (bad pass)
11:11.0,C. Capela misses 2-pt shot from 6 ft (block by E. Fournier),,57-41,,
11:05.0,Offensive rebound by C. Paul,,57-41,,
11:04.0,T. Ariza misses 2-pt shot from 16 ft,,57-41,,
11:02.0,,,57-41,,Defensive rebound by E. Payton
11:00.0,,,57-41,,E. Fournier misses 2-pt shot from 15 ft
10:57.0,Defensive rebound by C. Paul,,57-41,,
10:55.0,R. Anderson misses 3-pt shot from 25 ft,,57-41,,
10:55.0,,,57-41,,Defensive rebound by A. Gordon
10:45.0,,,57-41,,E. Payton misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by C. Capela,,57-41,,
10:28.0,Shooting foul by E. Payton (drawn by E. Gordon),,57-41,,
10:28.0,E. Gordon makes free throw 1 of 3,1,58-41,,
10:28.0,E. Gordon makes free throw 2 of 3,1,59-41,,
10:28.0,E. Gordon makes free throw 3 of 3,1,60-41,,
10:13.0,,,60-43,2,E. Payton makes 2-pt shot from 4 ft
9:54.0,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul),2,62-43,,
9:42.0,,,62-46,3,A. Gordon makes 3-pt shot from 22 ft (assist by E. Payton)
9:32.0,,,62-46,,Personal foul by E. Fournier (drawn by R. Anderson)
9:24.0,E. Gordon makes 2-pt shot from 2 ft,2,64-46,,
9:11.0,,,64-46,,M. Hezonja misses 2-pt shot from 19 ft
9:08.0,Defensive rebound by C. Capela,,64-46,,
8:59.0,C. Paul misses 2-pt shot from 14 ft,,64-46,,
8:52.0,Offensive rebound by R. Anderson,,64-46,,
8:52.0,R. Anderson makes 2-pt shot at rim,2,66-46,,
8:46.0,,,66-46,,B. Biyombo misses 2-pt shot from 11 ft
8:43.0,Defensive rebound by C. Capela,,66-46,,
8:43.0,Turnover by C. Capela (bad pass; steal by E. Payton),,66-46,,
8:43.0,,,66-46,,Turnover by E. Payton (bad pass)
8:37.0,E. Gordon misses 3-pt shot from 22 ft,,66-46,,
8:32.0,,,66-46,,Defensive rebound by E. Fournier
8:26.0,,,66-46,,B. Biyombo misses 2-pt shot from 5 ft (block by C. Capela)
8:22.0,,,66-46,,Offensive rebound by M. Hezonja
8:21.0,,,66-46,,A. Gordon misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by Team,,66-46,,
8:11.0,C. Capela makes 2-pt shot from 1 ft (assist by E. Gordon),2,68-46,,
8:11.0,,,68-46,,Orlando full timeout
8:00.0,,,68-46,,M. Hezonja misses 2-pt shot from 5 ft (block by C. Capela)
7:56.0,Defensive rebound by C. Capela,,68-46,,
7:53.0,C. Paul misses 3-pt shot from 26 ft,,68-46,,
7:53.0,,,68-46,,Defensive rebound by B. Biyombo
7:53.0,Personal foul by C. Capela (drawn by B. Biyombo),,68-46,,
7:42.0,,,68-46,,Turnover by B. Biyombo (traveling)
7:42.0,G. Green enters the game for E. Gordon,,68-46,,
7:25.0,C. Paul misses 2-pt shot from 15 ft,,68-46,,
7:23.0,Offensive rebound by C. Capela,,68-46,,
7:23.0,Shooting foul by B. Biyombo (drawn by C. Capela),,68-46,,
7:23.0,C. Capela makes free throw 1 of 2,1,69-46,,
7:23.0,C. Capela makes free throw 2 of 2,1,70-46,,
7:08.0,,,70-48,2,A. Gordon makes 2-pt shot from 12 ft
6:56.0,Turnover by G. Green (bad pass),,70-48,,
6:45.0,,,70-48,,A. Gordon misses 2-pt shot from 15 ft
6:41.0,Defensive rebound by G. Green,,70-48,,
6:34.0,,,70-48,,Personal foul by E. Payton (drawn by C. Paul)
6:34.0,P. Tucker enters the game for R. Anderson,,70-48,,
6:32.0,,,70-48,,Personal foul by M. Hezonja (drawn by G. Green)
6:32.0,G. Green makes free throw 1 of 2,1,71-48,,
6:32.0,G. Green makes free throw 2 of 2,1,72-48,,
6:26.0,Violation by T. Ariza (kicked ball),,72-48,,
6:20.0,,,72-48,,A. Gordon misses 2-pt shot from 18 ft
6:15.0,Defensive rebound by P. Tucker,,72-48,,
6:06.0,C. Paul misses 2-pt shot from 8 ft,,72-48,,
6:04.0,,,72-48,,Defensive rebound by M. Hezonja
5:59.0,,,72-48,,E. Fournier misses 3-pt shot from 25 ft
5:55.0,,,72-48,,Offensive rebound by B. Biyombo
5:54.0,,,72-48,,Shooting foul by C. Paul (drawn by E. Payton)
5:54.0,,,72-49,1,E. Payton makes free throw 1 of 2
5:54.0,,,72-49,,W. Iwundu enters the game for M. Hezonja
5:54.0,,,72-49,,M. Speights enters the game for B. Biyombo
5:54.0,,,72-50,1,E. Payton makes free throw 2 of 2
5:43.0,Turnover by C. Paul (bad pass; steal by E. Payton),,72-50,,
5:37.0,,,72-52,2,E. Payton makes 2-pt shot from 3 ft
5:11.0,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul),2,74-52,,
4:49.0,,,74-52,,A. Gordon misses 3-pt shot from 25 ft
4:46.0,Defensive rebound by G. Green,,74-52,,
4:35.0,C. Paul makes 2-pt shot from 8 ft,2,76-52,,
4:28.0,,,76-52,,Turnover by E. Payton (lost ball; steal by C. Paul)
4:22.0,T. Ariza makes 3-pt shot from 23 ft (assist by G. Green),3,79-52,,
4:21.0,,,79-52,,Technical foul by E. Payton
4:21.0,,,79-52,,Orlando full timeout
4:21.0,,,79-52,,S. Mack enters the game for E. Payton
4:21.0,,,79-52,,B. Biyombo enters the game for E. Fournier
4:21.0,N. Hilario enters the game for C. Capela,,79-52,,
4:21.0,C. Paul makes technical free throw,1,80-52,,
4:21.0,,,80-52,,E. Fournier enters the game for B. Biyombo
4:08.0,,,80-52,,Turnover by A. Gordon (lost ball; steal by C. Paul)
4:04.0,G. Green misses 2-pt shot from 1 ft,,80-52,,
4:02.0,,,80-52,,Defensive rebound by M. Speights
4:01.0,,,80-52,,Shooting foul by N. Hilario (drawn by W. Iwundu)
4:01.0,,,80-53,1,W. Iwundu makes free throw 1 of 2
4:01.0,,,80-54,1,W. Iwundu makes free throw 2 of 2
3:44.0,Turnover by T. Ariza (traveling),,80-54,,
3:44.0,E. Gordon enters the game for T. Ariza,,80-54,,
3:44.0,B. Weber enters the game for C. Paul,,80-54,,
3:26.0,,,80-54,,A. Gordon misses 2-pt shot from 14 ft
3:22.0,Defensive rebound by P. Tucker,,80-54,,
3:17.0,E. Gordon misses 3-pt shot from 26 ft,,80-54,,
3:13.0,,,80-54,,Defensive rebound by W. Iwundu
3:04.0,,,80-54,,Shooting foul by N. Hilario (drawn by W. Iwundu)
3:04.0,,,80-55,1,W. Iwundu makes free throw 1 of 2
3:04.0,,,80-55,,W. Iwundu misses free throw 2 of 2
3:01.0,Defensive rebound by N. Hilario,,80-55,,
2:49.0,G. Green makes 2-pt shot from 15 ft,2,82-55,,
2:30.0,,,82-55,,M. Speights misses 2-pt shot from 3 ft (block by G. Green)
2:23.0,,,82-55,,Offensive rebound by M. Speights
2:23.0,,,82-55,,M. Speights misses 2-pt shot at rim
2:21.0,Defensive rebound by G. Green,,82-55,,
2:18.0,Turnover by G. Green (bad pass; steal by S. Mack),,82-55,,
2:17.0,Personal foul by B. Weber (drawn by S. Mack),,82-55,,
2:17.0,,,82-55,,S. Mack misses free throw 1 of 2
2:17.0,,,82-55,,Offensive rebound by Team
2:17.0,,,82-56,1,S. Mack makes free throw 2 of 2
2:07.0,B. Weber misses 3-pt shot from 26 ft,,82-56,,
2:03.0,,,82-56,,Defensive rebound by S. Mack
1:57.0,,,82-59,3,M. Speights makes 3-pt shot from 25 ft (assist by E. Fournier)
1:45.0,N. Hilario misses 2-pt shot from 2 ft,,82-59,,
1:43.0,Offensive rebound by N. Hilario,,82-59,,
1:43.0,N. Hilario makes 2-pt shot from 2 ft,2,84-59,,
1:31.0,,,84-59,,Shooting foul by N. Hilario (drawn by M. Speights)
1:31.0,,,84-60,1,M. Speights makes free throw 1 of 2
1:31.0,,,84-61,1,M. Speights makes free throw 2 of 2
1:14.0,E. Gordon misses 3-pt shot from 26 ft,,84-61,,
1:11.0,,,84-61,,Defensive rebound by A. Gordon
0:59.0,,,84-61,,E. Fournier misses 3-pt shot from 26 ft
0:55.0,Defensive rebound by N. Hilario,,84-61,,
0:43.0,G. Green makes 3-pt shot from 27 ft,3,87-61,,
0:35.0,,,87-64,3,A. Gordon makes 3-pt shot from 25 ft (assist by S. Mack)
0:11.0,B. Weber makes 2-pt shot from 2 ft (assist by E. Gordon),2,89-64,,
0:03.0,,,89-66,2,E. Fournier makes 2-pt shot from 1 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,C. Capela makes 2-pt shot from 12 ft (assist by E. Gordon),2,91-66,,
11:22.0,,,91-68,2,M. Hezonja makes 2-pt shot from 1 ft (assist by S. Mack)
11:04.0,B. Weber misses 2-pt shot from 5 ft,,91-68,,
11:03.0,,,91-68,,Defensive rebound by M. Speights
10:53.0,,,91-70,2,W. Iwundu makes 2-pt shot from 2 ft
10:34.0,E. Gordon misses 2-pt shot from 17 ft,,91-70,,
10:34.0,,,91-70,,Defensive rebound by A. Afflalo
10:26.0,,,91-70,,M. Hezonja misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by E. Gordon,,91-70,,
10:22.0,Turnover by E. Gordon (bad pass),,91-70,,
10:22.0,C. Paul enters the game for B. Weber,,91-70,,
10:02.0,,,91-70,,S. Mack misses 3-pt shot from 23 ft
9:59.0,Defensive rebound by T. Ariza,,91-70,,
9:49.0,C. Capela misses 2-pt shot from 7 ft (block by M. Speights),,91-70,,
9:45.0,,,91-70,,Defensive rebound by W. Iwundu
9:42.0,,,91-72,2,A. Afflalo makes 2-pt shot from 2 ft
9:37.0,T. Ariza makes 3-pt shot from 25 ft,3,94-72,,
9:22.0,,,94-72,,S. Mack misses 2-pt shot from 14 ft
9:19.0,Defensive rebound by R. Anderson,,94-72,,
9:10.0,,,94-72,,Personal foul by S. Mack (drawn by C. Paul)
8:56.0,E. Gordon misses 2-pt shot from 19 ft (block by W. Iwundu),,94-72,,
8:56.0,Offensive rebound by Team,,94-72,,
8:56.0,Turnover by Team (shot clock),,94-72,,
8:40.0,,,94-72,,M. Speights misses 3-pt shot from 26 ft
8:37.0,Defensive rebound by E. Gordon,,94-72,,
8:31.0,C. Capela misses 2-pt shot from 4 ft,,94-72,,
8:31.0,,,94-72,,Defensive rebound by W. Iwundu
8:22.0,,,94-72,,M. Hezonja misses 3-pt shot from 22 ft
8:19.0,Defensive rebound by E. Gordon,,94-72,,
8:11.0,E. Gordon makes 3-pt shot from 26 ft (assist by T. Ariza),3,97-72,,
8:10.0,,,97-72,,Orlando full timeout
8:10.0,,,97-72,,A. Gordon enters the game for M. Speights
8:10.0,P. Tucker enters the game for C. Capela,,97-72,,
7:51.0,,,97-72,,M. Hezonja misses 2-pt shot from 2 ft
7:49.0,Defensive rebound by R. Anderson,,97-72,,
7:43.0,R. Anderson misses 3-pt shot from 26 ft,,97-72,,
7:37.0,,,97-72,,Defensive rebound by A. Gordon
7:28.0,,,97-74,2,A. Gordon makes 2-pt shot from 17 ft
7:11.0,T. Ariza makes 3-pt shot from 26 ft (assist by C. Paul),3,100-74,,
7:03.0,,,100-76,2,A. Afflalo makes 2-pt shot from 4 ft (assist by S. Mack)
7:03.0,Violation by T. Ariza (def goaltending),,100-76,,
6:42.0,C. Paul misses 3-pt shot from 27 ft,,100-76,,
6:38.0,,,100-76,,Defensive rebound by S. Mack
6:35.0,,,100-76,,Shooting foul by E. Gordon (drawn by S. Mack)
6:35.0,,,100-77,1,S. Mack makes free throw 1 of 2
6:35.0,,,100-78,1,S. Mack makes free throw 2 of 2
6:12.0,C. Paul makes 2-pt shot from 21 ft,2,102-78,,
6:00.0,,,102-80,2,A. Gordon makes 2-pt shot at rim (assist by M. Hezonja)
5:41.0,R. Anderson makes 2-pt shot from 16 ft,2,104-80,,
