time,Orlando,pts.away,score,pts.home,Indiana
6:21.0,,,13-10,2,V. Oladipo makes 2-pt shot from 20 ft
6:11.0,N. Vucevic misses 3-pt shot from 26 ft,,13-10,,
6:08.0,,,13-10,,Defensive rebound by B. Bogdanovic
6:03.0,,,13-10,,Shooting foul by E. Payton (drawn by B. Bogdanovic)
6:03.0,,,13-10,,Indiana full timeout
6:03.0,,,13-10,,D. Sabonis enters the game for M. Turner
6:03.0,,,13-11,1,B. Bogdanovic makes free throw 1 of 2
6:03.0,,,13-12,1,B. Bogdanovic makes free throw 2 of 2
5:41.0,J. Simmons misses 3-pt shot from 26 ft,,13-12,,
5:37.0,Offensive rebound by A. Gordon,,13-12,,
5:37.0,A. Gordon misses 2-pt shot at rim,,13-12,,
5:36.0,,,13-12,,Defensive rebound by Team
5:24.0,,,13-14,2,V. Oladipo makes 2-pt shot from 18 ft (assist by D. Sabonis)
5:10.0,E. Fournier makes 2-pt shot from 1 ft,2,15-14,,
4:54.0,,,15-17,3,D. Sabonis makes 3-pt shot from 28 ft (assist by D. Collison)
4:30.0,Turnover by N. Vucevic (bad pass),,15-17,,
4:13.0,,,15-19,2,D. Sabonis makes 2-pt shot from 7 ft (assist by V. Oladipo)
4:10.0,Orlando full timeout,,15-19,,
4:03.0,Turnover by E. Payton (lost ball; steal by V. Oladipo),,15-19,,
4:00.0,,,15-21,2,V. Oladipo makes 2-pt shot at rim
3:40.0,E. Fournier misses 3-pt shot from 27 ft,,15-21,,
3:37.0,,,15-21,,Defensive rebound by D. Collison
3:27.0,,,15-23,2,T. Young makes 2-pt shot from 9 ft
3:08.0,N. Vucevic makes 3-pt shot from 26 ft (assist by E. Payton),3,18-23,,
2:54.0,,,18-23,,Shooting foul by E. Fournier (drawn by B. Bogdanovic)
2:54.0,,,18-24,1,B. Bogdanovic makes free throw 1 of 2
2:54.0,,,18-24,,C. Joseph enters the game for D. Collison
2:54.0,D. Augustin enters the game for E. Payton,,18-24,,
2:54.0,T. Ross enters the game for E. Fournier,,18-24,,
2:54.0,,,18-25,1,B. Bogdanovic makes free throw 2 of 2
2:44.0,A. Gordon makes 3-pt shot from 25 ft (assist by J. Simmons),3,21-25,,
2:23.0,,,21-25,,B. Bogdanovic misses 2-pt shot from 1 ft (block by N. Vucevic)
2:22.0,,,21-25,,Offensive rebound by D. Sabonis
2:21.0,,,21-25,,Shooting foul by J. Simmons (drawn by D. Sabonis)
2:21.0,,,21-26,1,D. Sabonis makes free throw 1 of 2
2:21.0,,,21-26,,L. Stephenson enters the game for B. Bogdanovic
2:21.0,,,21-27,1,D. Sabonis makes free throw 2 of 2
2:09.0,N. Vucevic misses 3-pt shot from 26 ft,,21-27,,
2:05.0,,,21-27,,Defensive rebound by C. Joseph
1:47.0,,,21-27,,L. Stephenson misses 2-pt shot from 18 ft
1:43.0,Defensive rebound by T. Ross,,21-27,,
1:43.0,Turnover by T. Ross (bad pass),,21-27,,
1:43.0,,,21-27,,M. Turner enters the game for T. Young
1:43.0,M. Speights enters the game for A. Gordon,,21-27,,
1:43.0,B. Biyombo enters the game for N. Vucevic,,21-27,,
1:32.0,,,21-29,2,V. Oladipo makes 2-pt shot from 15 ft
1:08.0,T. Ross makes 2-pt shot from 13 ft,2,23-29,,
0:53.0,,,23-31,2,M. Turner makes 2-pt shot from 16 ft
0:42.0,B. Biyombo misses 2-pt shot from 1 ft (block by V. Oladipo),,23-31,,
0:42.0,,,23-31,,Defensive rebound by Team
0:26.0,,,23-31,,M. Turner misses 2-pt shot from 2 ft (block by B. Biyombo)
0:22.0,,,23-31,,Offensive rebound by M. Turner
0:22.0,,,23-31,,Shooting foul by B. Biyombo (drawn by M. Turner)
0:22.0,,,23-32,1,M. Turner makes free throw 1 of 2
0:22.0,,,23-32,,B. Bogdanovic enters the game for V. Oladipo
0:22.0,,,23-33,1,M. Turner makes free throw 2 of 2
0:03.0,J. Simmons makes 2-pt shot from 3 ft,2,25-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,25-33,,M. Turner misses 3-pt shot from 29 ft
11:46.0,Defensive rebound by Team,,25-33,,
11:31.0,B. Biyombo makes 2-pt shot at rim (assist by T. Ross),2,27-33,,
11:19.0,,,27-33,,Turnover by L. Stephenson (bad pass; steal by T. Ross)
11:07.0,B. Biyombo misses 2-pt shot from 9 ft,,27-33,,
11:04.0,,,27-33,,Defensive rebound by L. Stephenson
10:59.0,Personal foul by T. Ross (drawn by M. Turner),,27-33,,
10:54.0,,,27-33,,B. Bogdanovic misses 2-pt shot from 8 ft
10:51.0,Defensive rebound by B. Biyombo,,27-33,,
10:43.0,D. Augustin makes 2-pt shot from 2 ft,2,29-33,,
10:27.0,,,29-33,,L. Stephenson misses 2-pt shot from 15 ft
10:25.0,,,29-33,,Offensive rebound by Team
10:11.0,,,29-33,,L. Stephenson misses 3-pt shot from 27 ft
10:10.0,Defensive rebound by Team,,29-33,,
9:59.0,T. Ross makes 2-pt shot from 17 ft (assist by D. Augustin),2,31-33,,
9:42.0,,,31-33,,Turnover by B. Bogdanovic (lost ball; steal by M. Speights)
9:39.0,E. Fournier misses 2-pt shot from 4 ft,,31-33,,
9:35.0,,,31-33,,Defensive rebound by M. Turner
9:32.0,,,31-35,2,L. Stephenson makes 2-pt shot at rim (assist by C. Joseph)
9:15.0,M. Speights makes 3-pt shot from 26 ft (assist by D. Augustin),3,34-35,,
9:01.0,Personal block foul by M. Speights (drawn by D. Sabonis),,34-35,,
8:54.0,,,34-35,,Turnover by L. Stephenson (step out of bounds)
8:45.0,,,34-35,,Personal foul by C. Joseph (drawn by T. Ross)
8:45.0,,,34-35,,V. Oladipo enters the game for B. Bogdanovic
8:40.0,T. Ross misses 2-pt shot from 15 ft,,34-35,,
8:36.0,Offensive rebound by M. Speights,,34-35,,
8:36.0,M. Speights makes 2-pt shot from 2 ft,2,36-35,,
8:36.0,Shooting foul by D. Sabonis (drawn by M. Speights),,36-35,,
8:36.0,M. Speights makes free throw 1 of 1,1,37-35,,
8:27.0,,,37-35,,Turnover by V. Oladipo (traveling)
8:14.0,B. Biyombo misses 2-pt shot at rim (block by M. Turner),,37-35,,
8:12.0,,,37-35,,Defensive rebound by D. Sabonis
8:09.0,,,37-35,,C. Joseph misses 3-pt shot from 25 ft
8:06.0,Defensive rebound by T. Ross,,37-35,,
7:48.0,D. Augustin misses 3-pt shot from 25 ft,,37-35,,
7:47.0,Offensive rebound by Team,,37-35,,
7:47.0,,,37-35,,Loose ball foul by D. Sabonis (drawn by B. Biyombo)
7:35.0,M. Speights misses 3-pt shot from 26 ft,,37-35,,
7:32.0,,,37-35,,Defensive rebound by C. Joseph
7:23.0,,,37-37,2,V. Oladipo makes 2-pt shot from 19 ft (assist by L. Stephenson)
7:09.0,T. Ross misses 2-pt shot from 21 ft,,37-37,,
7:08.0,,,37-37,,Defensive rebound by D. Sabonis
7:00.0,,,37-39,2,L. Stephenson makes 2-pt shot from 18 ft
6:42.0,T. Ross misses 3-pt shot from 23 ft,,37-39,,
6:39.0,Offensive rebound by B. Biyombo,,37-39,,
6:30.0,T. Ross misses 3-pt shot from 23 ft,,37-39,,
6:26.0,,,37-39,,Defensive rebound by V. Oladipo
6:12.0,,,37-41,2,M. Turner makes 2-pt shot from 20 ft (assist by D. Sabonis)
6:11.0,Orlando full timeout,,37-41,,
6:11.0,,,37-41,,D. Collison enters the game for L. Stephenson
6:11.0,N. Vucevic enters the game for M. Speights,,37-41,,
6:11.0,A. Gordon enters the game for B. Biyombo,,37-41,,
5:48.0,E. Fournier misses 3-pt shot from 26 ft,,37-41,,
5:45.0,,,37-41,,Defensive rebound by C. Joseph
5:29.0,,,37-41,,D. Sabonis misses 2-pt shot from 3 ft (block by T. Ross)
5:27.0,Defensive rebound by N. Vucevic,,37-41,,
5:19.0,T. Ross misses 3-pt shot from 27 ft,,37-41,,
5:16.0,,,37-41,,Defensive rebound by D. Sabonis
5:07.0,,,37-44,3,C. Joseph makes 3-pt shot from 23 ft (assist by D. Sabonis)
4:46.0,N. Vucevic makes 2-pt shot from 1 ft (assist by D. Augustin),2,39-44,,
4:39.0,,,39-44,,Indiana full timeout
4:39.0,,,39-44,,T. Young enters the game for D. Sabonis
4:39.0,J. Simmons enters the game for E. Fournier,,39-44,,
4:30.0,,,39-46,2,V. Oladipo makes 2-pt shot from 19 ft
4:15.0,A. Gordon makes 3-pt shot from 26 ft (assist by D. Augustin),3,42-46,,
3:56.0,,,42-46,,M. Turner misses 2-pt shot from 19 ft
3:53.0,Defensive rebound by A. Gordon,,42-46,,
3:43.0,J. Simmons misses 3-pt shot from 22 ft,,42-46,,
3:40.0,,,42-46,,Defensive rebound by C. Joseph
3:36.0,,,42-48,2,D. Collison makes 2-pt shot from 18 ft (assist by C. Joseph)
3:24.0,Offensive charge foul by N. Vucevic (drawn by T. Young),,42-48,,
3:24.0,Turnover by N. Vucevic (offensive foul),,42-48,,
3:24.0,E. Payton enters the game for D. Augustin,,42-48,,
3:24.0,E. Fournier enters the game for T. Ross,,42-48,,
3:14.0,Personal foul by E. Fournier (drawn by V. Oladipo),,42-48,,
3:09.0,,,42-51,3,V. Oladipo makes 3-pt shot from 27 ft
3:08.0,Orlando full timeout,,42-51,,
2:52.0,,,42-51,,Personal foul by V. Oladipo (drawn by E. Fournier)
2:43.0,N. Vucevic makes 2-pt shot from 8 ft,2,44-51,,
2:29.0,,,44-54,3,V. Oladipo makes 3-pt shot from 29 ft
2:14.0,,,44-54,,Personal foul by V. Oladipo (drawn by E. Fournier)
2:14.0,E. Fournier makes free throw 1 of 2,1,45-54,,
2:14.0,E. Fournier misses free throw 2 of 2,,45-54,,
2:12.0,,,45-54,,Defensive rebound by T. Young
1:56.0,,,45-54,,T. Young misses 2-pt shot from 11 ft
1:53.0,Defensive rebound by A. Gordon,,45-54,,
1:45.0,E. Payton misses 3-pt shot from 25 ft,,45-54,,
1:41.0,,,45-54,,Defensive rebound by M. Turner
1:29.0,,,45-54,,T. Young misses 2-pt shot from 7 ft
1:27.0,Defensive rebound by N. Vucevic,,45-54,,
1:18.0,E. Payton misses 2-pt shot from 2 ft,,45-54,,
1:17.0,,,45-54,,Defensive rebound by Team
1:17.0,,,45-54,,B. Bogdanovic enters the game for V. Oladipo
1:17.0,T. Ross enters the game for N. Vucevic,,45-54,,
1:17.0,M. Speights enters the game for E. Fournier,,45-54,,
1:03.0,,,45-54,,Turnover by M. Turner (traveling)
0:51.0,M. Speights misses 2-pt shot from 13 ft,,45-54,,
0:49.0,,,45-54,,Defensive rebound by T. Young
0:43.0,,,45-54,,D. Collison misses 2-pt shot from 18 ft
0:39.0,Defensive rebound by T. Ross,,45-54,,
0:31.0,M. Speights makes 3-pt shot from 26 ft (assist by T. Ross),3,48-54,,
0:11.0,,,48-57,3,M. Turner makes 3-pt shot from 29 ft (assist by C. Joseph)
0:04.0,Shooting foul by M. Turner (drawn by J. Simmons),,48-57,,
0:04.0,J. Simmons makes free throw 1 of 2,1,49-57,,
0:04.0,D. Augustin enters the game for M. Speights,,49-57,,
0:04.0,J. Simmons makes free throw 2 of 2,1,50-57,,
0:02.0,Personal take foul by E. Payton (drawn by D. Collison),,50-57,,
0:00.0,,,50-57,,B. Bogdanovic misses 2-pt shot from 13 ft
0:00.0,,,50-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,50-57,,Shooting foul by A. Gordon (drawn by M. Turner)
11:39.0,,,50-58,1,M. Turner makes free throw 1 of 2
11:39.0,,,50-58,,M. Turner misses free throw 2 of 2
11:37.0,Defensive rebound by N. Vucevic,,50-58,,
11:27.0,,,50-58,,Personal foul by D. Collison (drawn by N. Vucevic)
11:16.0,N. Vucevic misses 2-pt shot from 11 ft,,50-58,,
11:13.0,,,50-58,,Defensive rebound by V. Oladipo
11:07.0,,,50-58,,T. Young misses 3-pt shot from 26 ft
11:04.0,Defensive rebound by J. Simmons,,50-58,,
10:57.0,N. Vucevic misses 2-pt shot from 9 ft (block by D. Collison),,50-58,,
10:55.0,,,50-58,,Defensive rebound by V. Oladipo
10:52.0,,,50-58,,Turnover by D. Collison (bad pass)
10:36.0,A. Gordon makes 3-pt shot from 27 ft (assist by E. Payton),3,53-58,,
10:16.0,,,53-58,,T. Young misses 2-pt shot from 5 ft
10:15.0,Defensive rebound by N. Vucevic,,53-58,,
10:12.0,A. Gordon misses 3-pt shot from 26 ft,,53-58,,
10:08.0,,,53-58,,Defensive rebound by M. Turner
10:02.0,,,53-60,2,V. Oladipo makes 2-pt shot from 20 ft
9:53.0,Turnover by E. Payton (turnover),,53-60,,
9:53.0,Loose ball foul by E. Payton (drawn by V. Oladipo),,53-60,,
9:43.0,Personal foul by J. Simmons (drawn by V. Oladipo),,53-60,,
9:37.0,,,53-62,2,B. Bogdanovic makes 2-pt shot at rim (assist by T. Young)
9:23.0,,,53-62,,Personal foul by B. Bogdanovic (drawn by A. Gordon)
9:10.0,E. Fournier misses 2-pt shot from 14 ft,,53-62,,
9:09.0,Offensive rebound by Team,,53-62,,
9:09.0,Turnover by Team (shot clock),,53-62,,
8:48.0,,,53-62,,M. Turner misses 2-pt shot from 2 ft (block by N. Vucevic)
8:48.0,Defensive rebound by Team,,53-62,,
8:36.0,Turnover by J. Simmons (traveling),,53-62,,
8:18.0,,,53-65,3,M. Turner makes 3-pt shot from 28 ft (assist by D. Collison)
8:03.0,J. Simmons misses 3-pt shot from 23 ft (block by V. Oladipo),,53-65,,
8:03.0,Offensive rebound by Team,,53-65,,
7:58.0,E. Fournier misses 2-pt shot from 1 ft (block by V. Oladipo),,53-65,,
7:54.0,Offensive rebound by E. Payton,,53-65,,
7:50.0,J. Simmons makes 3-pt shot from 23 ft (assist by A. Gordon),3,56-65,,
7:36.0,,,56-65,,D. Collison misses 2-pt shot from 19 ft
7:33.0,Defensive rebound by E. Fournier,,56-65,,
7:28.0,N. Vucevic makes 3-pt shot from 27 ft (assist by E. Fournier),3,59-65,,
7:01.0,,,59-65,,T. Young misses 2-pt shot from 1 ft (block by A. Gordon)
7:00.0,,,59-65,,Offensive rebound by T. Young
6:58.0,,,59-65,,Turnover by Team (shot clock)
6:58.0,,,59-65,,Indiana full timeout
6:38.0,J. Simmons makes 3-pt shot from 24 ft (assist by E. Payton),3,62-65,,
6:22.0,,,62-68,3,D. Collison makes 3-pt shot from 23 ft (assist by V. Oladipo)
6:05.0,E. Fournier misses 3-pt shot from 28 ft,,62-68,,
6:03.0,,,62-68,,Defensive rebound by V. Oladipo
5:52.0,,,62-71,3,V. Oladipo makes 3-pt shot from 25 ft
5:31.0,E. Payton makes 2-pt shot from 7 ft,2,64-71,,
5:16.0,,,64-71,,Shooting foul by N. Vucevic (drawn by D. Collison)
5:16.0,,,64-72,1,D. Collison makes free throw 1 of 2
5:16.0,,,64-73,1,D. Collison makes free throw 2 of 2
5:02.0,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Payton),2,66-73,,
4:48.0,,,66-76,3,B. Bogdanovic makes 3-pt shot from 27 ft (assist by V. Oladipo)
4:47.0,Orlando full timeout,,66-76,,
4:32.0,Shooting foul by V. Oladipo (drawn by J. Simmons),,66-76,,
4:32.0,J. Simmons makes free throw 1 of 2,1,67-76,,
4:32.0,T. Ross enters the game for E. Fournier,,67-76,,
4:32.0,J. Simmons makes free throw 2 of 2,1,68-76,,
4:20.0,,,68-78,2,B. Bogdanovic makes 2-pt shot from 15 ft
3:59.0,J. Simmons misses 2-pt shot from 2 ft (block by M. Turner),,68-78,,
3:59.0,Offensive rebound by Team,,68-78,,
3:59.0,D. Augustin enters the game for E. Payton,,68-78,,
3:59.0,,,68-78,,C. Joseph enters the game for D. Collison
3:52.0,A. Gordon misses 3-pt shot from 27 ft,,68-78,,
3:49.0,Offensive rebound by J. Simmons,,68-78,,
3:49.0,,,68-78,,Personal foul by V. Oladipo (drawn by J. Simmons)
3:49.0,,,68-78,,L. Stephenson enters the game for V. Oladipo
3:36.0,T. Ross misses 2-pt shot from 19 ft,,68-78,,
3:32.0,Offensive rebound by N. Vucevic,,68-78,,
3:32.0,N. Vucevic makes 2-pt shot from 2 ft,2,70-78,,
3:20.0,,,70-80,2,B. Bogdanovic makes 2-pt shot from 4 ft (assist by T. Young)
3:09.0,J. Simmons misses 2-pt shot from 6 ft (block by L. Stephenson),,70-80,,
3:07.0,,,70-80,,Defensive rebound by C. Joseph
3:05.0,,,70-80,,B. Bogdanovic misses 3-pt shot from 24 ft
3:03.0,,,70-80,,Offensive rebound by T. Young
2:49.0,,,70-80,,B. Bogdanovic misses 2-pt shot from 1 ft (block by A. Gordon)
2:45.0,Defensive rebound by J. Simmons,,70-80,,
2:42.0,Turnover by J. Simmons (lost ball; steal by T. Young),,70-80,,
2:39.0,,,70-82,2,L. Stephenson makes 2-pt shot at rim (assist by T. Young)
2:25.0,D. Augustin makes 2-pt shot from 19 ft,2,72-82,,
2:08.0,,,72-82,,T. Young misses 2-pt shot from 17 ft
2:06.0,Defensive rebound by N. Vucevic,,72-82,,
1:58.0,J. Simmons makes 3-pt shot from 28 ft (assist by N. Vucevic),3,75-82,,
1:45.0,,,75-82,,M. Turner misses 2-pt shot from 20 ft
1:42.0,Defensive rebound by D. Augustin,,75-82,,
1:31.0,T. Ross misses 3-pt shot from 26 ft,,75-82,,
1:28.0,,,75-82,,Defensive rebound by C. Joseph
1:20.0,,,75-82,,Shooting foul by J. Simmons (drawn by L. Stephenson)
1:20.0,,,75-82,,L. Stephenson misses free throw 1 of 2
1:20.0,,,75-82,,Offensive rebound by Team
1:20.0,,,75-82,,D. Collison enters the game for M. Turner
1:20.0,,,75-82,,D. Sabonis enters the game for B. Bogdanovic
1:20.0,M. Speights enters the game for A. Gordon,,75-82,,
1:20.0,,,75-83,1,L. Stephenson makes free throw 2 of 2
1:09.0,D. Augustin misses 2-pt shot from 6 ft,,75-83,,
1:06.0,Offensive rebound by N. Vucevic,,75-83,,
1:06.0,N. Vucevic misses 2-pt shot at rim,,75-83,,
1:05.0,Offensive rebound by N. Vucevic,,75-83,,
1:05.0,N. Vucevic makes 2-pt shot at rim,2,77-83,,
0:59.0,,,77-83,,Turnover by D. Sabonis (bad pass)
0:55.0,D. Augustin makes 3-pt shot from 27 ft,3,80-83,,
0:42.0,,,80-83,,Offensive charge foul by L. Stephenson (drawn by J. Simmons)
0:42.0,,,80-83,,Turnover by L. Stephenson (offensive foul)
0:34.0,D. Augustin makes 2-pt shot from 1 ft,2,82-83,,
0:15.0,,,82-83,,D. Collison misses 2-pt shot from 9 ft
0:13.0,,,82-83,,Offensive rebound by D. Sabonis
0:13.0,,,82-83,,Shooting foul by N. Vucevic (drawn by D. Sabonis)
0:13.0,,,82-84,1,D. Sabonis makes free throw 1 of 2
0:13.0,E. Fournier enters the game for N. Vucevic,,82-84,,
0:13.0,,,82-85,1,D. Sabonis makes free throw 2 of 2
0:00.0,Shooting foul by D. Collison (drawn by D. Augustin),,82-85,,
0:00.0,D. Augustin makes free throw 1 of 3,1,83-85,,
0:00.0,D. Augustin makes free throw 2 of 3,1,84-85,,
0:00.0,D. Augustin misses free throw 3 of 3,,84-85,,
0:00.0,,,84-85,,Defensive rebound by L. Stephenson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,E. Fournier makes 2-pt shot from 5 ft,2,86-85,,
11:30.0,,,86-87,2,D. Sabonis makes 2-pt shot at rim (assist by L. Stephenson)
11:30.0,Shooting block foul by M. Speights (drawn by D. Sabonis),,86-87,,
11:30.0,,,86-88,1,D. Sabonis makes free throw 1 of 1
11:14.0,M. Speights misses 2-pt shot from 4 ft,,86-88,,
11:13.0,,,86-88,,Defensive rebound by L. Stephenson
11:07.0,,,86-90,2,L. Stephenson makes 2-pt shot from 13 ft
10:53.0,M. Speights misses 3-pt shot from 27 ft,,86-90,,
10:53.0,,,86-90,,Defensive rebound by L. Stephenson
10:49.0,,,86-92,2,D. Sabonis makes 2-pt shot from 1 ft (assist by L. Stephenson)
10:48.0,Orlando full timeout,,86-92,,
10:28.0,Turnover by D. Augustin (lost ball; steal by D. Collison),,86-92,,
10:22.0,Shooting block foul by A. Gordon (drawn by L. Stephenson),,86-92,,
10:22.0,,,86-93,1,L. Stephenson makes free throw 1 of 2
10:22.0,,,86-94,1,L. Stephenson makes free throw 2 of 2
10:04.0,E. Fournier makes 3-pt shot from 27 ft,3,89-94,,
9:46.0,,,89-94,,Shooting foul by D. Augustin (drawn by D. Sabonis)
9:46.0,,,89-94,,D. Sabonis misses free throw 1 of 2
9:46.0,,,89-94,,Offensive rebound by Team
9:46.0,N. Vucevic enters the game for M. Speights,,89-94,,
9:46.0,,,89-95,1,D. Sabonis makes free throw 2 of 2
9:36.0,N. Vucevic misses 2-pt shot from 6 ft,,89-95,,
9:33.0,,,89-95,,Defensive rebound by C. Joseph
9:28.0,,,89-95,,L. Stephenson misses 2-pt shot at rim
9:26.0,Defensive rebound by E. Fournier,,89-95,,
9:22.0,T. Ross misses 3-pt shot from 28 ft,,89-95,,
9:18.0,Offensive rebound by A. Gordon,,89-95,,
9:11.0,Jump ball: L. Stephenson vs. A. Gordon (D. Collison gains possession),,,,Jump ball: L. Stephenson vs. A. Gordon (D. Collison gains possession)
9:11.0,Turnover by A. Gordon (turnover; steal by L. Stephenson),,89-95,,
9:11.0,Loose ball foul by D. Augustin (drawn by D. Collison),,89-95,,
9:02.0,,,89-95,,B. Bogdanovic misses 3-pt shot from 26 ft (block by A. Gordon)
8:59.0,Defensive rebound by T. Ross,,89-95,,
8:59.0,A. Gordon makes 2-pt shot from 1 ft (assist by T. Ross),2,91-95,,
8:42.0,,,91-95,,Turnover by D. Sabonis (lost ball; steal by A. Gordon)
8:41.0,,,91-95,,Personal foul by L. Stephenson (drawn by A. Gordon)
8:41.0,,,91-95,,V. Oladipo enters the game for D. Collison
8:32.0,Turnover by D. Augustin (bad pass),,91-95,,
8:13.0,,,91-98,3,V. Oladipo makes 3-pt shot from 26 ft
7:59.0,E. Fournier misses 2-pt shot from 15 ft,,91-98,,
7:57.0,,,91-98,,Defensive rebound by V. Oladipo
7:43.0,,,91-100,2,D. Sabonis makes 2-pt shot from 1 ft (assist by L. Stephenson)
7:43.0,Orlando full timeout,,91-100,,
7:19.0,N. Vucevic misses 2-pt shot from 17 ft,,91-100,,
7:16.0,,,91-100,,Defensive rebound by L. Stephenson
7:00.0,,,91-100,,Shooting foul by T. Ross (drawn by D. Sabonis)
7:00.0,,,91-101,1,D. Sabonis makes free throw 1 of 2
7:00.0,,,91-102,1,D. Sabonis makes free throw 2 of 2
6:44.0,E. Fournier misses 3-pt shot from 27 ft,,91-102,,
6:42.0,,,91-102,,Defensive rebound by D. Sabonis
6:26.0,,,91-102,,V. Oladipo misses 3-pt shot from 27 ft
6:23.0,,,91-102,,Offensive rebound by D. Sabonis
6:09.0,,,91-105,3,L. Stephenson makes 3-pt shot from 27 ft (assist by D. Sabonis)
5:54.0,N. Vucevic misses 3-pt shot from 28 ft,,91-105,,
5:50.0,,,91-105,,Defensive rebound by L. Stephenson
5:47.0,,,91-108,3,C. Joseph makes 3-pt shot from 23 ft (assist by L. Stephenson)
5:46.0,Orlando full timeout,,91-108,,
5:46.0,J. Simmons enters the game for E. Fournier,,91-108,,
5:46.0,E. Payton enters the game for D. Augustin,,91-108,,
5:34.0,,,91-108,,Personal foul by L. Stephenson (drawn by N. Vucevic)
5:29.0,J. Simmons makes 2-pt shot from 20 ft (assist by N. Vucevic),2,93-108,,
5:16.0,,,93-108,,V. Oladipo misses 3-pt shot from 27 ft
5:11.0,Defensive rebound by T. Ross,,93-108,,
5:06.0,T. Ross makes 3-pt shot from 28 ft (assist by E. Payton),3,96-108,,
4:48.0,,,96-108,,D. Sabonis misses 2-pt shot from 18 ft
4:47.0,,,96-108,,Offensive rebound by L. Stephenson
4:46.0,,,96-110,2,L. Stephenson makes 2-pt shot from 1 ft
4:22.0,E. Payton makes 2-pt shot from 11 ft,2,98-110,,
4:03.0,,,98-113,3,C. Joseph makes 3-pt shot from 22 ft (assist by V. Oladipo)
3:54.0,Shooting foul by B. Bogdanovic (drawn by J. Simmons),,98-113,,
3:54.0,J. Simmons makes free throw 1 of 2,1,99-113,,
3:54.0,E. Fournier enters the game for T. Ross,,99-113,,
3:54.0,J. Simmons misses free throw 2 of 2,,99-113,,
3:51.0,,,99-113,,Defensive rebound by L. Stephenson
3:35.0,,,99-113,,Turnover by V. Oladipo (bad pass)
3:23.0,N. Vucevic misses 2-pt shot from 8 ft,,99-113,,
3:21.0,,,99-113,,Defensive rebound by D. Sabonis
3:21.0,,,99-113,,Indiana full timeout
