time,Orlando,pts.away,score,pts.home,Memphis
7:23.0,Shooting foul by M. Chalmers (drawn by J. Isaac),,29-39,,
7:23.0,J. Isaac makes free throw 1 of 2,1,30-39,,
7:23.0,,,30-39,,M. Gasol enters the game for B. Wright
7:23.0,J. Isaac makes free throw 2 of 2,1,31-39,,
7:13.0,,,31-39,,Offensive charge foul by M. Chalmers
7:13.0,,,31-39,,Turnover by M. Chalmers (offensive foul)
7:12.0,,,31-39,,Technical foul by M. Chalmers
7:12.0,J. Simmons makes technical free throw,1,32-39,,
7:12.0,,,32-39,,T. Evans enters the game for M. Chalmers
6:53.0,Turnover by J. Isaac (bad pass; steal by J. Martin),,32-39,,
6:49.0,,,32-41,2,J. Ennis makes 2-pt shot from 2 ft (assist by A. Harrison)
6:48.0,Orlando full timeout,,32-41,,
6:48.0,T. Ross enters the game for S. Mack,,32-41,,
6:48.0,E. Fournier enters the game for M. Hezonja,,32-41,,
6:48.0,D. Augustin enters the game for J. Simmons,,32-41,,
6:32.0,T. Ross makes 3-pt shot from 24 ft (assist by D. Augustin),3,35-41,,
6:14.0,Personal foul by T. Ross (drawn by M. Gasol),,35-41,,
6:14.0,J. Simmons enters the game for T. Ross,,35-41,,
6:14.0,Personal foul by B. Biyombo (drawn by M. Gasol),,35-41,,
6:14.0,,,35-41,,M. Gasol misses free throw 1 of 1
6:14.0,,,35-41,,Offensive rebound by Team
6:14.0,N. Vucevic enters the game for B. Biyombo,,35-41,,
6:03.0,,,35-41,,A. Harrison misses 3-pt shot from 24 ft
6:00.0,,,35-41,,Offensive rebound by J. Martin
5:54.0,,,35-41,,T. Evans misses 2-pt shot from 4 ft (block by J. Isaac)
5:50.0,Defensive rebound by D. Augustin,,35-41,,
5:47.0,Offensive charge foul by D. Augustin,,35-41,,
5:47.0,Turnover by D. Augustin (offensive foul),,35-41,,
5:47.0,Technical foul by D. Augustin,,35-41,,
5:47.0,,,35-42,1,T. Evans makes technical free throw
5:47.0,,,35-42,,D. Brooks enters the game for J. Ennis
5:38.0,,,35-45,3,M. Gasol makes 3-pt shot from 25 ft (assist by T. Evans)
5:28.0,N. Vucevic makes 3-pt shot from 25 ft (assist by D. Augustin),3,38-45,,
5:08.0,,,38-45,,Shooting foul by J. Simmons (drawn by T. Evans)
5:08.0,,,38-45,,T. Evans misses free throw 1 of 2
5:08.0,,,38-45,,Offensive rebound by Team
5:08.0,A. Gordon enters the game for J. Isaac,,38-45,,
5:08.0,,,38-46,1,T. Evans makes free throw 2 of 2
4:55.0,N. Vucevic misses 2-pt shot from 15 ft,,38-46,,
4:51.0,,,38-46,,Defensive rebound by J. Martin
4:42.0,,,38-48,2,M. Gasol makes 2-pt shot from 14 ft (assist by J. Martin)
4:18.0,E. Fournier makes 2-pt shot from 12 ft,2,40-48,,
4:09.0,,,40-50,2,A. Harrison makes 2-pt shot from 3 ft
3:53.0,A. Gordon misses 2-pt shot from 9 ft,,40-50,,
3:49.0,,,40-50,,Defensive rebound by M. Gasol
3:38.0,,,40-50,,T. Evans misses 2-pt shot from 4 ft
3:36.0,Defensive rebound by N. Vucevic,,40-50,,
3:28.0,E. Fournier makes 3-pt shot from 24 ft (assist by D. Augustin),3,43-50,,
3:01.0,,,43-50,,Turnover by T. Evans (bad pass; steal by D. Augustin)
2:58.0,D. Augustin makes 2-pt shot from 2 ft,2,45-50,,
2:38.0,,,45-50,,A. Harrison misses 3-pt shot from 23 ft
2:34.0,,,45-50,,Offensive rebound by A. Harrison
2:29.0,,,45-50,,A. Harrison misses 3-pt shot from 25 ft
2:24.0,,,45-50,,Offensive rebound by M. Gasol
2:22.0,,,45-50,,T. Evans misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by J. Simmons,,45-50,,
2:20.0,Orlando full timeout,,45-50,,
2:20.0,,,45-50,,J. Ennis enters the game for J. Martin
2:20.0,S. Mack enters the game for D. Augustin,,45-50,,
2:08.0,E. Fournier makes 2-pt shot from 4 ft (assist by S. Mack),2,47-50,,
1:43.0,,,47-52,2,D. Brooks makes 2-pt shot from 4 ft
1:17.0,A. Gordon misses 2-pt shot from 5 ft,,47-52,,
1:10.0,Offensive rebound by J. Simmons,,47-52,,
1:10.0,J. Simmons makes 2-pt shot at rim,2,49-52,,
1:00.0,,,49-54,2,A. Harrison makes 2-pt shot from 4 ft
0:49.0,E. Fournier makes 2-pt shot from 3 ft (assist by S. Mack),2,51-54,,
0:35.0,,,51-54,,Turnover by T. Evans (step out of bounds)
0:35.0,,,51-54,,C. Parsons enters the game for J. Ennis
0:31.0,S. Mack misses 3-pt shot from 26 ft,,51-54,,
0:27.0,,,51-54,,Defensive rebound by M. Gasol
0:06.0,,,51-54,,Turnover by M. Gasol (bad pass; steal by A. Gordon)
0:03.0,A. Gordon makes 2-pt shot from 3 ft,2,53-54,,
0:03.0,Shooting foul by T. Evans (drawn by A. Gordon),,53-54,,
0:03.0,M. Hezonja enters the game for J. Simmons,,53-54,,
0:03.0,A. Gordon makes free throw 1 of 1,1,54-54,,
0:00.0,,,54-54,,T. Evans misses 3-pt shot from 43 ft
0:00.0,,,54-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,54-54,,J. Martin misses 3-pt shot from 24 ft
11:40.0,Defensive rebound by S. Mack,,54-54,,
11:37.0,A. Gordon makes 2-pt shot from 1 ft (assist by S. Mack),2,56-54,,
11:20.0,,,56-54,,Turnover by A. Harrison (bad pass; steal by A. Gordon)
11:13.0,N. Vucevic makes 2-pt shot from 21 ft (assist by E. Fournier),2,58-54,,
11:11.0,,,58-54,,Memphis full timeout
11:00.0,,,58-54,,Turnover by A. Harrison (traveling)
10:50.0,Offensive foul by N. Vucevic (drawn by M. Chalmers),,58-54,,
10:50.0,Turnover by N. Vucevic (offensive foul),,58-54,,
10:41.0,,,58-56,2,M. Chalmers makes 2-pt shot from 4 ft
10:14.0,A. Gordon makes 2-pt shot from 2 ft (assist by E. Fournier),2,60-56,,
10:05.0,Personal foul by S. Mack (drawn by M. Chalmers),,60-56,,
9:50.0,,,60-58,2,M. Gasol makes 2-pt shot from 11 ft (assist by J. Ennis)
9:29.0,N. Vucevic misses 2-pt shot from 7 ft,,60-58,,
9:29.0,,,60-58,,Defensive rebound by Team
9:29.0,Loose ball foul by N. Vucevic (drawn by M. Gasol),,60-58,,
9:29.0,,,60-58,,D. Brooks enters the game for J. Martin
9:19.0,,,60-61,3,M. Gasol makes 3-pt shot from 25 ft (assist by M. Chalmers)
9:09.0,N. Vucevic misses 3-pt shot from 24 ft,,60-61,,
9:05.0,,,60-61,,Defensive rebound by M. Gasol
8:51.0,,,60-63,2,A. Harrison makes 2-pt shot from 3 ft
8:40.0,E. Fournier misses 2-pt shot from 4 ft (block by M. Chalmers),,60-63,,
8:38.0,Offensive rebound by E. Fournier,,60-63,,
8:37.0,E. Fournier misses 2-pt shot from 2 ft (block by M. Gasol),,60-63,,
8:34.0,,,60-63,,Defensive rebound by M. Gasol
8:32.0,,,60-63,,M. Gasol misses 3-pt shot from 28 ft
8:32.0,Defensive rebound by A. Gordon,,60-63,,
8:22.0,Turnover by A. Gordon (lost ball; steal by A. Harrison),,60-63,,
8:17.0,,,60-65,2,M. Chalmers makes 2-pt shot from 3 ft (assist by A. Harrison)
8:16.0,Orlando full timeout,,60-65,,
8:02.0,T. Ross misses 2-pt shot from 15 ft,,60-65,,
7:59.0,,,60-65,,Defensive rebound by J. Ennis
7:47.0,,,60-65,,A. Harrison misses 2-pt shot from 4 ft (block by A. Gordon)
7:44.0,Defensive rebound by N. Vucevic,,60-65,,
7:42.0,Turnover by T. Ross (bad pass; steal by M. Chalmers),,60-65,,
7:41.0,Violation by T. Ross (kicked ball),,60-65,,
7:32.0,,,60-65,,M. Chalmers misses 3-pt shot from 23 ft
7:29.0,Defensive rebound by T. Ross,,60-65,,
7:23.0,T. Ross makes 3-pt shot from 24 ft (assist by S. Mack),3,63-65,,
7:02.0,Personal foul by E. Fournier (drawn by M. Gasol),,63-65,,
6:54.0,,,63-65,,M. Chalmers misses 2-pt shot from 6 ft (block by T. Ross)
6:54.0,,,63-65,,Offensive rebound by Team
6:52.0,,,63-65,,M. Gasol misses 3-pt shot from 25 ft
6:49.0,Defensive rebound by A. Gordon,,63-65,,
6:43.0,T. Ross misses 2-pt shot from 7 ft,,63-65,,
6:40.0,Offensive rebound by E. Fournier,,63-65,,
6:31.0,T. Ross misses 3-pt shot from 22 ft,,63-65,,
6:28.0,,,63-65,,Defensive rebound by D. Brooks
6:07.0,,,63-65,,D. Brooks misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by A. Gordon,,63-65,,
5:58.0,S. Mack makes 3-pt shot from 22 ft (assist by A. Gordon),3,66-65,,
5:35.0,,,66-67,2,D. Brooks makes 2-pt shot from 2 ft (assist by M. Chalmers)
5:29.0,Offensive charge foul by S. Mack (drawn by M. Chalmers),,66-67,,
5:29.0,Turnover by S. Mack (offensive foul),,66-67,,
5:29.0,,,66-67,,T. Evans enters the game for A. Harrison
5:12.0,,,66-69,2,J. Ennis makes 2-pt shot from 15 ft
5:00.0,N. Vucevic makes 2-pt shot from 5 ft (assist by S. Mack),2,68-69,,
4:46.0,,,68-71,2,T. Evans makes 2-pt shot from 6 ft
4:32.0,N. Vucevic misses 3-pt shot from 24 ft,,68-71,,
4:29.0,,,68-71,,Defensive rebound by D. Brooks
4:15.0,,,68-73,2,M. Gasol makes 2-pt shot from 8 ft (assist by T. Evans)
4:02.0,E. Fournier makes 3-pt shot from 24 ft (assist by S. Mack),3,71-73,,
3:41.0,,,71-73,,M. Chalmers misses 2-pt shot from 20 ft
3:39.0,Defensive rebound by E. Fournier,,71-73,,
3:31.0,T. Ross makes 2-pt shot from 1 ft,2,73-73,,
3:10.0,,,73-73,,T. Evans misses 2-pt shot from 18 ft
3:07.0,Defensive rebound by E. Fournier,,73-73,,
3:02.0,T. Ross misses 3-pt shot from 25 ft,,73-73,,
2:54.0,Offensive rebound by E. Fournier,,73-73,,
2:49.0,A. Gordon makes 2-pt shot from 5 ft (assist by S. Mack),2,75-73,,
2:49.0,Shooting foul by M. Gasol (drawn by A. Gordon),,75-73,,
2:49.0,,,75-73,,B. Wright enters the game for M. Chalmers
2:49.0,,,75-73,,J. Martin enters the game for J. Ennis
2:49.0,,,75-73,,C. Parsons enters the game for M. Gasol
2:49.0,J. Isaac enters the game for S. Mack,,75-73,,
2:49.0,J. Simmons enters the game for T. Ross,,75-73,,
2:49.0,A. Gordon makes free throw 1 of 1,1,76-73,,
2:34.0,Personal foul by J. Simmons (drawn by T. Evans),,76-73,,
2:20.0,,,76-73,,Turnover by C. Parsons (bad pass)
2:06.0,E. Fournier misses 2-pt shot from 5 ft,,76-73,,
2:06.0,,,76-73,,Defensive rebound by Team
2:06.0,Loose ball foul by N. Vucevic (drawn by B. Wright),,76-73,,
2:06.0,,,76-74,1,B. Wright makes free throw 1 of 2
2:06.0,B. Biyombo enters the game for N. Vucevic,,76-74,,
2:06.0,,,76-74,,B. Wright misses free throw 2 of 2
2:04.0,Defensive rebound by E. Fournier,,76-74,,
1:55.0,Turnover by E. Fournier (bad pass; steal by C. Parsons),,76-74,,
1:46.0,,,76-74,,T. Evans misses 2-pt shot from 2 ft (block by J. Isaac)
1:41.0,Defensive rebound by J. Simmons,,76-74,,
1:30.0,Turnover by J. Simmons (bad pass),,76-74,,
1:19.0,,,76-74,,Offensive charge foul by T. Evans (drawn by J. Isaac)
1:19.0,,,76-74,,Turnover by T. Evans (offensive foul)
1:19.0,M. Speights enters the game for B. Biyombo,,76-74,,
1:05.0,M. Speights makes 3-pt shot from 24 ft (assist by J. Simmons),3,79-74,,
0:48.0,,,79-74,,D. Brooks misses 2-pt shot from 14 ft
0:46.0,Defensive rebound by M. Speights,,79-74,,
0:35.0,J. Isaac makes 2-pt shot from 17 ft,2,81-74,,
0:34.0,,,81-74,,Memphis full timeout
0:34.0,B. Biyombo enters the game for M. Speights,,81-74,,
0:18.0,,,81-74,,Shooting foul by E. Fournier (drawn by C. Parsons)
0:18.0,,,81-74,,C. Parsons misses free throw 1 of 2
0:18.0,,,81-74,,Offensive rebound by Team
0:18.0,M. Speights enters the game for B. Biyombo,,81-74,,
0:18.0,,,81-75,1,C. Parsons makes free throw 2 of 2
0:01.0,J. Simmons misses 2-pt shot from 6 ft (block by C. Parsons),,81-75,,
0:00.0,,,81-75,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,81-75,,Personal foul by D. Brooks (drawn by J. Simmons)
11:38.0,A. Afflalo makes 2-pt shot from 15 ft (assist by T. Ross),2,83-75,,
11:17.0,,,83-75,,C. Parsons misses 2-pt shot from 7 ft (block by B. Biyombo)
11:13.0,Defensive rebound by B. Biyombo,,83-75,,
11:00.0,Turnover by J. Simmons (lost ball; steal by J. Martin),,83-75,,
10:57.0,,,83-75,,M. Gasol enters the game for J. Martin
10:57.0,,,83-75,,J. Ennis enters the game for B. Wright
10:39.0,,,83-78,3,T. Evans makes 3-pt shot from 22 ft (assist by J. Ennis)
10:16.0,Turnover by A. Afflalo (traveling),,83-78,,
9:56.0,,,83-80,2,T. Evans makes 2-pt shot from 3 ft
9:48.0,J. Simmons makes 2-pt shot from 2 ft,2,85-80,,
9:43.0,,,85-82,2,J. Ennis makes 2-pt shot from 3 ft (assist by T. Evans)
9:43.0,,,85-82,,Shooting foul by B. Biyombo (drawn by J. Ennis)
9:43.0,S. Mack enters the game for J. Simmons,,85-82,,
9:43.0,,,85-83,1,J. Ennis makes free throw 1 of 1
9:30.0,T. Ross misses 2-pt shot from 12 ft,,85-83,,
9:26.0,,,85-83,,Defensive rebound by M. Gasol
9:23.0,,,85-83,,D. Brooks misses 2-pt shot from 6 ft
9:23.0,Defensive rebound by J. Isaac,,85-83,,
9:14.0,,,85-83,,Personal foul by D. Brooks (drawn by S. Mack)
9:14.0,M. Speights enters the game for B. Biyombo,,85-83,,
9:05.0,T. Ross makes 2-pt shot from 1 ft (assist by M. Speights),2,87-83,,
8:48.0,,,87-86,3,T. Evans makes 3-pt shot from 25 ft (assist by C. Parsons)
8:28.0,S. Mack makes 2-pt shot from 5 ft (assist by J. Isaac),2,89-86,,
8:08.0,,,89-86,,J. Ennis misses 2-pt shot from 4 ft (block by T. Ross)
8:04.0,Jump ball: J. Ennis vs. T. Ross (M. Speights gains possession),,,,Jump ball: J. Ennis vs. T. Ross (M. Speights gains possession)
8:04.0,Defensive rebound by Team,,89-86,,
7:50.0,M. Speights misses 2-pt shot from 19 ft,,89-86,,
7:44.0,,,89-86,,Defensive rebound by C. Parsons
7:32.0,,,89-88,2,T. Evans makes 2-pt shot from 4 ft
7:16.0,M. Speights makes 3-pt shot from 25 ft (assist by S. Mack),3,92-88,,
6:44.0,,,92-88,,Turnover by Team (shot clock)
6:44.0,,,92-88,,Memphis full timeout
6:44.0,,,92-88,,M. Chalmers enters the game for J. Ennis
6:44.0,A. Gordon enters the game for J. Isaac,,92-88,,
6:44.0,E. Fournier enters the game for T. Ross,,92-88,,
6:36.0,M. Speights misses 3-pt shot from 25 ft,,92-88,,
6:32.0,,,92-88,,Defensive rebound by T. Evans
6:13.0,,,92-88,,D. Brooks misses 2-pt shot from 3 ft (block by M. Speights)
6:13.0,,,92-88,,Offensive rebound by Team
6:13.0,N. Vucevic enters the game for M. Speights,,92-88,,
6:10.0,,,92-88,,Turnover by Team (shot clock)
5:52.0,Turnover by N. Vucevic (step out of bounds),,92-88,,
5:31.0,,,92-90,2,T. Evans makes 2-pt shot from 5 ft
5:13.0,E. Fournier makes 2-pt shot from 2 ft,2,94-90,,
5:01.0,,,94-90,,M. Chalmers misses 2-pt shot from 2 ft
4:58.0,Defensive rebound by N. Vucevic,,94-90,,
4:55.0,Offensive foul by A. Afflalo (drawn by D. Brooks),,94-90,,
4:55.0,Turnover by A. Afflalo (offensive foul),,94-90,,
4:55.0,,,94-90,,J. Ennis enters the game for C. Parsons
4:55.0,J. Isaac enters the game for A. Afflalo,,94-90,,
4:35.0,J. Simmons enters the game for S. Mack,,94-90,,
4:32.0,,,94-90,,M. Gasol misses 2-pt shot from 12 ft
4:27.0,Defensive rebound by A. Gordon,,94-90,,
4:18.0,N. Vucevic misses 2-pt shot from 11 ft,,94-90,,
4:16.0,,,94-90,,Defensive rebound by M. Gasol
4:02.0,,,94-92,2,D. Brooks makes 2-pt shot from 2 ft (assist by M. Chalmers)
3:46.0,J. Isaac makes 3-pt shot from 25 ft (assist by J. Simmons),2,97-92,,
3:18.0,,,97-92,,D. Brooks misses 3-pt shot from 22 ft
3:15.0,Defensive rebound by J. Simmons,,97-92,,
3:01.0,E. Fournier misses 3-pt shot from 24 ft,,97-92,,
2:56.0,,,97-92,,Defensive rebound by M. Chalmers
2:51.0,,,97-95,3,D. Brooks makes 3-pt shot from 23 ft (assist by M. Chalmers)
2:27.0,Turnover by J. Simmons (lost ball; steal by M. Chalmers),,97-95,,
2:22.0,,,97-95,,Turnover by T. Evans (bad pass; steal by E. Fournier)
2:11.0,Orlando full timeout,,97-95,,
2:11.0,T. Ross enters the game for J. Isaac,,97-95,,
2:11.0,S. Mack enters the game for J. Simmons,,97-95,,
2:00.0,E. Fournier misses 3-pt shot from 24 ft,,97-95,,
1:57.0,,,97-95,,Defensive rebound by M. Chalmers
1:45.0,,,97-97,2,M. Gasol makes 2-pt shot from 6 ft
1:28.0,T. Ross misses 2-pt shot from 18 ft,,97-97,,
1:24.0,,,97-97,,Defensive rebound by D. Brooks
1:13.0,,,97-97,,Memphis full timeout
1:13.0,J. Simmons enters the game for S. Mack,,97-97,,
1:04.0,,,97-99,2,M. Gasol makes 2-pt shot from 4 ft
0:51.0,A. Gordon makes 3-pt shot from 22 ft (assist by E. Fournier),3,100-99,,
0:46.0,,,100-99,,Turnover by M. Chalmers (bad pass)
