time,Denver,pts.away,score,pts.home,Phoenix
3:34.0,G. Harris misses 2-pt shot from 20 ft,,20-18,,
3:29.0,,,20-18,,Defensive rebound by A. Len
3:23.0,,,20-18,,Shooting foul by J. Murray (drawn by M. Chriss)
3:23.0,,,20-18,,M. Chriss misses free throw 1 of 2
3:23.0,,,20-18,,Offensive rebound by Team
3:23.0,T. Lyles enters the game for G. Harris,,20-18,,
3:23.0,W. Barton enters the game for W. Chandler,,20-18,,
3:23.0,,,20-18,,M. Chriss misses free throw 2 of 2
3:21.0,Defensive rebound by T. Craig,,20-18,,
3:12.0,W. Barton misses 2-pt shot from 2 ft (block by A. Len),,20-18,,
3:09.0,,,20-18,,Defensive rebound by M. Chriss
3:06.0,,,20-18,,Offensive charge foul by M. Chriss (drawn by T. Lyles)
3:06.0,,,20-18,,Turnover by M. Chriss (offensive foul)
3:06.0,,,20-18,,J. Gray enters the game for E. Payton
2:51.0,T. Lyles misses 3-pt shot from 23 ft,,20-18,,
2:48.0,,,20-18,,Defensive rebound by A. Len
2:41.0,,,20-18,,T. Warren misses 2-pt shot from 20 ft
2:38.0,Defensive rebound by J. Murray,,20-18,,
2:21.0,,,20-18,,Personal foul by J. Jackson (drawn by J. Murray)
2:21.0,J. Murray makes free throw 1 of 2,1,21-18,,
2:21.0,,,21-18,,T. Daniels enters the game for T. Warren
2:21.0,D. Arthur enters the game for N. Jokic,,21-18,,
2:21.0,J. Murray makes free throw 2 of 2,1,22-18,,
2:01.0,,,22-20,2,J. Jackson makes 2-pt shot at rim
1:54.0,Turnover by J. Murray (lost ball; steal by J. Gray),,22-20,,
1:42.0,,,22-20,,J. Jackson misses 2-pt shot at rim
1:40.0,Defensive rebound by T. Lyles,,22-20,,
1:37.0,T. Craig misses 3-pt shot from 25 ft,,22-20,,
1:35.0,,,22-20,,Defensive rebound by J. Gray
1:26.0,,,22-20,,Shooting foul by D. Arthur (drawn by J. Gray)
1:26.0,,,22-21,1,J. Gray makes free throw 1 of 2
1:26.0,,,22-21,,D. Reed enters the game for J. Jackson
1:26.0,D. Harris enters the game for J. Murray,,22-21,,
1:26.0,,,22-21,,J. Gray misses free throw 2 of 2
1:24.0,Defensive rebound by T. Lyles,,22-21,,
1:11.0,T. Lyles misses 2-pt shot at rim (block by J. Gray),,22-21,,
1:11.0,Offensive rebound by Team,,22-21,,
1:02.0,D. Arthur makes 2-pt shot from 19 ft (assist by W. Barton),2,24-21,,
0:53.0,,,24-21,,T. Daniels misses 3-pt shot from 25 ft
0:49.0,Defensive rebound by D. Arthur,,24-21,,
0:40.0,D. Arthur makes 2-pt shot from 21 ft (assist by W. Barton),2,26-21,,
0:34.0,,,26-21,,Shooting foul by D. Arthur (drawn by J. Gray)
0:34.0,,,26-22,1,J. Gray makes free throw 1 of 2
0:34.0,,,26-23,1,J. Gray makes free throw 2 of 2
0:22.0,Turnover by D. Harris (bad pass; steal by J. Gray),,26-23,,
0:03.0,,,26-23,,Turnover by J. Gray (bad pass; steal by D. Arthur)
0:00.0,W. Barton makes 2-pt shot at rim,2,28-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,28-23,,J. Jackson misses 2-pt shot from 15 ft
11:45.0,Defensive rebound by D. Harris,,28-23,,
11:21.0,T. Craig misses 2-pt shot from 4 ft (block by J. Jackson),,28-23,,
11:21.0,Offensive rebound by Team,,28-23,,
11:21.0,Turnover by Team (shot clock),,28-23,,
11:10.0,,,28-23,,A. Len misses 2-pt shot at rim
11:10.0,Defensive rebound by Team,,28-23,,
10:54.0,D. Arthur makes 2-pt shot at rim (assist by T. Lyles),2,30-23,,
10:39.0,,,30-23,,Turnover by M. Chriss (lost ball; steal by D. Harris)
10:33.0,D. Harris makes 3-pt shot from 24 ft,3,33-23,,
10:31.0,,,33-23,,Phoenix full timeout
10:31.0,,,33-23,,T. Warren enters the game for A. Len
10:31.0,,,33-23,,D. Bender enters the game for D. Reed
10:22.0,Personal foul by W. Barton (drawn by T. Warren),,33-23,,
10:18.0,,,33-25,2,T. Warren makes 2-pt shot from 15 ft (assist by J. Gray)
9:59.0,T. Lyles misses 2-pt shot from 7 ft,,33-25,,
9:57.0,,,33-25,,Defensive rebound by J. Gray
9:52.0,,,33-25,,J. Gray misses 2-pt shot from 17 ft
9:48.0,Defensive rebound by T. Lyles,,33-25,,
9:40.0,T. Lyles misses 3-pt shot from 24 ft,,33-25,,
9:39.0,,,33-25,,Defensive rebound by J. Jackson
9:33.0,,,33-25,,J. Jackson misses 2-pt shot from 8 ft
9:31.0,Defensive rebound by D. Arthur,,33-25,,
9:16.0,Turnover by W. Barton (bad pass; steal by J. Gray),,33-25,,
9:12.0,,,33-27,2,T. Warren makes 2-pt shot from 1 ft (assist by J. Jackson)
8:56.0,T. Lyles misses 2-pt shot at rim (block by D. Bender),,33-27,,
8:54.0,,,33-27,,Defensive rebound by J. Jackson
8:51.0,,,33-29,2,T. Warren makes 2-pt shot at rim (assist by J. Jackson)
8:37.0,Turnover by D. Arthur (bad pass),,33-29,,
8:37.0,,,33-29,,E. Payton enters the game for J. Gray
8:18.0,,,33-32,2,M. Chriss makes 3-pt shot from 25 ft (assist by T. Warren)
8:07.0,Shooting foul by M. Chriss (drawn by D. Arthur),,33-32,,
8:07.0,D. Arthur misses free throw 1 of 2,,33-32,,
8:07.0,Offensive rebound by Team,,33-32,,
8:07.0,W. Chandler enters the game for T. Craig,,33-32,,
8:07.0,D. Arthur makes free throw 2 of 2,1,34-32,,
7:55.0,,,34-34,2,J. Jackson makes 2-pt shot at rim (assist by E. Payton)
7:36.0,T. Lyles makes 2-pt shot at rim,2,36-34,,
7:29.0,,,36-36,2,J. Jackson makes 2-pt shot from 2 ft (assist by E. Payton)
7:29.0,Shooting block foul by D. Arthur (drawn by J. Jackson),,36-36,,
7:29.0,,,36-36,,J. Dudley enters the game for M. Chriss
7:29.0,N. Jokic enters the game for D. Arthur,,36-36,,
7:29.0,,,36-36,,J. Jackson misses free throw 1 of 1
7:28.0,Defensive rebound by N. Jokic,,36-36,,
7:15.0,,,36-36,,Shooting block foul by E. Payton (drawn by D. Harris)
7:15.0,D. Harris makes free throw 1 of 2,1,37-36,,
7:15.0,D. Harris makes free throw 2 of 2,1,38-36,,
6:59.0,,,38-36,,D. Bender misses 2-pt shot from 1 ft (block by N. Jokic)
6:55.0,Defensive rebound by D. Harris,,38-36,,
6:46.0,,,38-36,,Personal foul by J. Dudley (drawn by N. Jokic)
6:46.0,J. Murray enters the game for T. Lyles,,38-36,,
6:46.0,G. Harris enters the game for D. Harris,,38-36,,
6:40.0,G. Harris makes 2-pt shot from 21 ft,2,40-36,,
6:34.0,,,40-38,2,D. Bender makes 2-pt shot at rim (assist by J. Jackson)
6:12.0,J. Murray makes 2-pt shot from 20 ft,2,42-38,,
5:57.0,,,42-40,2,E. Payton makes 2-pt shot from 1 ft
5:34.0,N. Jokic misses 2-pt shot from 4 ft,,42-40,,
5:32.0,,,42-40,,Defensive rebound by T. Warren
5:27.0,,,42-40,,Shooting foul by W. Chandler (drawn by T. Warren)
5:27.0,,,42-41,1,T. Warren makes free throw 1 of 2
5:27.0,,,42-41,,T. Warren misses free throw 2 of 2
5:25.0,Defensive rebound by N. Jokic,,42-41,,
5:22.0,N. Jokic makes 2-pt shot from 5 ft,2,44-41,,
5:22.0,Shooting foul by E. Payton (drawn by N. Jokic),,44-41,,
5:22.0,N. Jokic makes free throw 1 of 1,1,45-41,,
5:07.0,,,45-41,,T. Warren misses 2-pt shot from 18 ft
5:07.0,Defensive rebound by W. Chandler,,45-41,,
5:01.0,Offensive foul by N. Jokic (drawn by T. Warren),,45-41,,
5:01.0,Turnover by N. Jokic (offensive foul),,45-41,,
5:01.0,,,45-41,,T. Daniels enters the game for J. Jackson
4:51.0,,,45-43,2,E. Payton makes 2-pt shot from 1 ft
4:45.0,,,45-43,,Personal foul by D. Bender (drawn by N. Jokic)
4:45.0,N. Jokic makes free throw 1 of 2,1,46-43,,
4:45.0,N. Jokic makes free throw 2 of 2,1,47-43,,
4:33.0,,,47-43,,Turnover by E. Payton (bad pass; steal by W. Barton)
4:29.0,Turnover by W. Barton (traveling),,47-43,,
4:19.0,,,47-45,2,D. Bender makes 2-pt shot from 3 ft
4:01.0,N. Jokic misses 2-pt shot from 2 ft,,47-45,,
3:59.0,,,47-45,,Defensive rebound by E. Payton
3:55.0,,,47-45,,J. Dudley misses 3-pt shot from 25 ft
3:52.0,Defensive rebound by W. Barton,,47-45,,
3:46.0,N. Jokic makes 2-pt shot from 1 ft (assist by W. Barton),2,49-45,,
3:30.0,,,49-47,2,E. Payton makes 2-pt shot at rim
3:30.0,,,49-47,,Shooting foul by J. Murray (drawn by E. Payton)
3:30.0,,,49-47,,M. Chriss enters the game for D. Bender
3:30.0,,,49-48,1,E. Payton makes free throw 1 of 1
3:15.0,Shooting foul by M. Chriss (drawn by N. Jokic),,49-48,,
3:15.0,N. Jokic misses free throw 1 of 2,,49-48,,
3:15.0,Offensive rebound by Team,,49-48,,
3:15.0,,,49-48,,A. Len enters the game for M. Chriss
3:15.0,N. Jokic makes free throw 2 of 2,1,50-48,,
3:00.0,,,50-48,,Turnover by T. Daniels (out of bounds lost ball)
2:47.0,Shooting foul by A. Len (drawn by N. Jokic),,50-48,,
2:47.0,Denver full timeout,,50-48,,
2:47.0,N. Jokic makes free throw 1 of 2,1,51-48,,
2:47.0,N. Jokic makes free throw 2 of 2,1,52-48,,
2:34.0,,,52-50,2,E. Payton makes 2-pt shot from 1 ft
2:19.0,W. Chandler makes 2-pt shot from 3 ft,2,54-50,,
2:14.0,,,54-52,2,T. Warren makes 2-pt shot at rim
2:14.0,,,54-52,,Shooting foul by G. Harris (drawn by T. Warren)
2:14.0,,,54-52,,D. Bender enters the game for J. Dudley
2:14.0,,,54-53,1,T. Warren makes free throw 1 of 1
2:03.0,W. Chandler makes 3-pt shot from 25 ft (assist by J. Murray),3,57-53,,
1:45.0,,,57-53,,D. Bender misses 3-pt shot from 25 ft
1:42.0,,,57-53,,Offensive rebound by D. Bender
1:41.0,,,57-55,2,A. Len makes 2-pt shot at rim (assist by D. Bender)
1:27.0,J. Murray makes 2-pt shot at rim,2,59-55,,
1:27.0,Shooting foul by E. Payton (drawn by J. Murray),,59-55,,
1:27.0,,,59-55,,J. Gray enters the game for E. Payton
1:27.0,J. Murray makes free throw 1 of 1,1,60-55,,
1:18.0,Personal block foul by W. Chandler (drawn by T. Warren),,60-55,,
1:18.0,,,60-55,,T. Warren misses free throw 1 of 2
1:18.0,,,60-55,,Offensive rebound by Team
1:18.0,,,60-55,,T. Warren misses free throw 2 of 2
1:14.0,Defensive rebound by W. Chandler,,60-55,,
1:01.0,N. Jokic misses 3-pt shot from 25 ft,,60-55,,
0:59.0,,,60-55,,Defensive rebound by J. Gray
0:51.0,,,60-58,3,T. Daniels makes 3-pt shot from 23 ft (assist by J. Gray)
0:43.0,W. Chandler makes 2-pt shot from 15 ft,2,62-58,,
0:18.0,,,62-58,,J. Gray misses 2-pt shot from 21 ft
0:13.0,,,62-58,,Offensive rebound by D. Bender
0:13.0,,,62-60,2,D. Bender makes 2-pt shot at rim
0:00.0,J. Murray misses 3-pt shot from 24 ft,,62-60,,
0:00.0,Offensive rebound by Team,,62-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,62-60,,D. Bender misses 2-pt shot from 10 ft
11:38.0,Defensive rebound by W. Barton,,62-60,,
11:31.0,,,62-60,,Personal foul by J. Jackson (drawn by N. Jokic)
11:16.0,N. Jokic makes 2-pt shot from 11 ft,2,64-60,,
10:57.0,,,64-63,3,T. Daniels makes 3-pt shot from 24 ft
10:41.0,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic),2,66-63,,
10:27.0,,,66-65,2,D. Bender makes 2-pt shot at rim (assist by E. Payton)
10:13.0,W. Chandler misses 3-pt shot from 25 ft,,66-65,,
10:11.0,,,66-65,,Defensive rebound by D. Bender
10:08.0,,,66-67,2,T. Warren makes 2-pt shot at rim (assist by D. Bender)
10:08.0,Denver full timeout,,66-67,,
9:45.0,Turnover by J. Murray (bad pass; steal by D. Bender),,66-67,,
9:40.0,,,66-67,,T. Daniels misses 3-pt shot from 25 ft
9:37.0,,,66-67,,Offensive rebound by T. Warren
9:35.0,,,66-69,2,E. Payton makes 2-pt shot from 11 ft
9:21.0,J. Murray misses 2-pt shot from 19 ft,,66-69,,
9:19.0,,,66-69,,Defensive rebound by E. Payton
9:15.0,,,66-72,3,D. Bender makes 3-pt shot from 24 ft (assist by E. Payton)
9:14.0,Denver full timeout,,66-72,,
9:14.0,D. Harris enters the game for N. Jokic,,66-72,,
9:14.0,T. Lyles enters the game for J. Murray,,66-72,,
8:59.0,W. Chandler makes 2-pt shot from 6 ft,2,68-72,,
8:40.0,,,68-72,,D. Bender misses 2-pt shot from 11 ft (block by T. Lyles)
8:36.0,Defensive rebound by T. Lyles,,68-72,,
8:34.0,W. Barton makes 3-pt shot from 26 ft (assist by D. Harris),3,71-72,,
8:13.0,,,71-74,2,E. Payton makes 2-pt shot at rim
8:05.0,G. Harris misses 2-pt shot from 1 ft,,71-74,,
8:03.0,,,71-74,,Defensive rebound by J. Jackson
7:57.0,,,71-76,2,J. Jackson makes 2-pt shot from 4 ft
7:43.0,W. Barton makes 2-pt shot at rim,2,73-76,,
7:25.0,,,73-76,,Shooting foul by D. Harris (drawn by D. Bender)
7:25.0,,,73-77,1,D. Bender makes free throw 1 of 2
7:25.0,,,73-78,1,D. Bender makes free throw 2 of 2
7:06.0,D. Harris misses 3-pt shot from 26 ft,,73-78,,
7:00.0,Offensive rebound by G. Harris,,73-78,,
6:51.0,G. Harris misses 3-pt shot from 24 ft,,73-78,,
6:48.0,,,73-78,,Defensive rebound by T. Warren
6:42.0,,,73-78,,T. Daniels misses 3-pt shot from 24 ft
6:39.0,Defensive rebound by G. Harris,,73-78,,
6:23.0,T. Lyles misses 2-pt shot from 9 ft,,73-78,,
6:22.0,,,73-78,,Defensive rebound by J. Jackson
6:16.0,,,73-80,2,J. Jackson makes 2-pt shot from 1 ft
6:02.0,W. Barton makes 3-pt shot from 26 ft,3,76-80,,
5:42.0,,,76-80,,T. Warren misses 2-pt shot from 20 ft
5:42.0,,,76-80,,Offensive rebound by D. Bender
5:36.0,,,76-80,,Turnover by D. Bender (bad pass; steal by G. Harris)
5:35.0,G. Harris misses 2-pt shot from 1 ft (block by J. Jackson),,76-80,,
5:35.0,Offensive rebound by Team,,76-80,,
5:35.0,,,76-80,,M. Chriss enters the game for D. Bender
5:19.0,D. Harris misses 2-pt shot from 1 ft (block by M. Chriss),,76-80,,
5:19.0,,,76-80,,Defensive rebound by E. Payton
5:14.0,,,76-82,2,E. Payton makes 2-pt shot at rim
5:02.0,W. Barton makes 2-pt shot from 1 ft,2,78-82,,
4:52.0,Personal foul by W. Barton (drawn by M. Chriss),,78-82,,
4:52.0,,,78-82,,D. Reed enters the game for J. Jackson
4:48.0,,,78-82,,Offensive foul by M. Chriss (drawn by D. Harris)
4:48.0,,,78-82,,Turnover by M. Chriss (offensive foul)
4:29.0,T. Lyles makes 2-pt shot from 6 ft,2,80-82,,
4:18.0,,,80-82,,Turnover by M. Chriss (lost ball; steal by D. Harris)
4:17.0,,,80-82,,Personal foul by M. Chriss (drawn by G. Harris)
4:17.0,,,80-82,,J. Dudley enters the game for M. Chriss
4:08.0,W. Barton makes 2-pt shot at rim,2,82-82,,
4:08.0,Shooting foul by D. Reed (drawn by W. Barton),,82-82,,
4:08.0,T. Craig enters the game for G. Harris,,82-82,,
4:08.0,W. Barton makes free throw 1 of 1,1,83-82,,
3:46.0,,,83-85,3,D. Reed makes 3-pt shot from 25 ft (assist by T. Warren)
3:25.0,,,83-85,,Personal foul by T. Daniels (drawn by W. Barton)
3:25.0,,,83-85,,J. Jackson enters the game for T. Daniels
3:19.0,W. Chandler makes 2-pt shot at rim,2,85-85,,
3:06.0,,,85-85,,E. Payton misses 2-pt shot from 1 ft (block by T. Lyles)
3:04.0,Defensive rebound by W. Barton,,85-85,,
3:01.0,W. Chandler makes 2-pt shot at rim (assist by W. Barton),2,87-85,,
3:01.0,,,87-85,,Phoenix full timeout
3:01.0,,,87-85,,J. Gray enters the game for E. Payton
2:41.0,,,87-85,,J. Gray misses 3-pt shot from 24 ft
2:41.0,,,87-85,,Offensive rebound by Team
2:41.0,Loose ball foul by W. Barton (drawn by J. Dudley),,87-85,,
2:26.0,,,87-87,2,J. Jackson makes 2-pt shot from 9 ft
2:03.0,W. Barton makes 3-pt shot from 25 ft (assist by W. Chandler),3,90-87,,
1:50.0,,,90-87,,Shooting foul by D. Harris (drawn by D. Reed)
1:50.0,,,90-87,,D. Reed misses free throw 1 of 2
1:50.0,,,90-87,,Offensive rebound by Team
1:50.0,,,90-88,1,D. Reed makes free throw 2 of 2
1:29.0,D. Harris makes 2-pt shot from 6 ft,2,92-88,,
1:12.0,,,92-88,,Shooting foul by D. Harris (drawn by T. Warren)
1:12.0,,,92-89,1,T. Warren makes free throw 1 of 2
1:12.0,,,92-89,,T. Warren misses free throw 2 of 2
1:09.0,Defensive rebound by T. Lyles,,92-89,,
0:51.0,W. Chandler misses 2-pt shot from 3 ft,,92-89,,
0:51.0,Offensive rebound by Team,,92-89,,
0:50.0,Jump ball: J. Jackson vs. T. Lyles (D. Harris gains possession),,,,Jump ball: J. Jackson vs. T. Lyles (D. Harris gains possession)
0:48.0,D. Harris misses 3-pt shot from 25 ft,,92-89,,
0:46.0,Offensive rebound by T. Lyles,,92-89,,
0:44.0,T. Lyles misses 2-pt shot at rim (block by J. Jackson),,92-89,,
0:42.0,,,92-89,,Defensive rebound by T. Warren
0:35.0,,,92-89,,J. Jackson misses 2-pt shot at rim
0:34.0,Defensive rebound by T. Craig,,92-89,,
0:27.0,T. Lyles misses 3-pt shot from 23 ft,,92-89,,
0:23.0,Offensive rebound by T. Craig,,92-89,,
0:23.0,,,92-89,,Personal foul by D. Reed (drawn by T. Craig)
0:23.0,T. Craig makes free throw 1 of 2,1,93-89,,
0:23.0,T. Craig makes free throw 2 of 2,1,94-89,,
0:23.0,M. Beasley enters the game for W. Barton,,94-89,,
0:03.0,,,94-89,,Turnover by J. Gray (bad pass; steal by T. Lyles)
0:00.0,T. Craig misses 3-pt shot from 26 ft,,94-89,,
0:00.0,Offensive rebound by Team,,94-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Turnover by D. Harris (bad pass; steal by D. Reed),,94-89,,
11:45.0,,,94-89,,Shooting foul by T. Lyles (drawn by J. Jackson)
11:45.0,,,94-89,,J. Jackson misses free throw 1 of 2
11:45.0,,,94-89,,Offensive rebound by Team
11:45.0,,,94-89,,J. Jackson misses free throw 2 of 2
11:42.0,Defensive rebound by T. Craig,,94-89,,
11:22.0,Turnover by W. Barton (traveling),,94-89,,
11:19.0,Personal take foul by D. Harris (drawn by J. Jackson),,94-89,,
11:19.0,W. Chandler enters the game for W. Barton,,94-89,,
11:07.0,,,94-89,,Turnover by T. Daniels (lost ball; steal by G. Harris)
11:07.0,,,94-89,,Personal take foul by J. Dudley (drawn by G. Harris)
10:48.0,T. Lyles makes 2-pt shot at rim,2,96-89,,
10:30.0,Personal foul by G. Harris (drawn by D. Reed),,96-89,,
10:19.0,,,96-89,,J. Gray misses 2-pt shot at rim
10:19.0,Defensive rebound by G. Harris,,96-89,,
10:14.0,G. Harris makes 3-pt shot from 25 ft,3,99-89,,
10:13.0,,,99-89,,Phoenix full timeout
10:13.0,,,99-89,,D. Bender enters the game for J. Dudley
10:13.0,,,99-89,,E. Payton enters the game for J. Gray
10:13.0,,,99-89,,T. Warren enters the game for D. Reed
10:03.0,,,99-89,,Turnover by E. Payton (bad pass; steal by T. Lyles)
10:03.0,,,99-89,,Personal foul by E. Payton (drawn by T. Craig)
9:45.0,G. Harris misses 3-pt shot from 26 ft,,99-89,,
9:42.0,,,99-89,,Defensive rebound by D. Bender
9:25.0,,,99-91,2,D. Bender makes 2-pt shot from 4 ft
9:04.0,G. Harris misses 2-pt shot at rim (block by D. Bender),,99-91,,
9:02.0,,,99-91,,Defensive rebound by E. Payton
8:59.0,,,99-93,2,J. Jackson makes 2-pt shot at rim (assist by E. Payton)
8:38.0,Offensive charge foul by T. Lyles (drawn by J. Jackson),,99-93,,
8:38.0,Turnover by T. Lyles (offensive foul),,99-93,,
8:38.0,W. Barton enters the game for T. Craig,,99-93,,
8:38.0,N. Jokic enters the game for T. Lyles,,99-93,,
8:29.0,,,99-93,,Turnover by E. Payton (bad pass; steal by N. Jokic)
8:25.0,W. Chandler makes 2-pt shot at rim (assist by N. Jokic),2,101-93,,
8:25.0,Shooting foul by T. Daniels (drawn by W. Chandler),,101-93,,
8:25.0,W. Chandler makes free throw 1 of 1,1,102-93,,
8:10.0,,,102-95,2,T. Warren makes 2-pt shot at rim (assist by J. Jackson)
7:45.0,N. Jokic misses 2-pt shot from 18 ft,,102-95,,
7:43.0,,,102-95,,Defensive rebound by J. Jackson
7:37.0,,,102-95,,J. Jackson misses 2-pt shot from 1 ft (block by W. Barton)
7:34.0,Defensive rebound by N. Jokic,,102-95,,
7:31.0,D. Harris makes 2-pt shot from 1 ft (assist by N. Jokic),2,104-95,,
7:16.0,,,104-95,,T. Daniels misses 3-pt shot from 22 ft
7:12.0,Defensive rebound by W. Chandler,,104-95,,
7:00.0,D. Harris misses 2-pt shot from 2 ft,,104-95,,
7:00.0,Offensive rebound by N. Jokic,,104-95,,
7:00.0,Shooting foul by D. Bender (drawn by N. Jokic),,104-95,,
7:00.0,N. Jokic makes free throw 1 of 2,1,105-95,,
7:00.0,,,105-95,,M. Chriss enters the game for T. Daniels
7:00.0,J. Murray enters the game for D. Harris,,105-95,,
7:00.0,N. Jokic makes free throw 2 of 2,1,106-95,,
6:46.0,,,106-95,,T. Warren misses 2-pt shot from 6 ft
6:45.0,Defensive rebound by N. Jokic,,106-95,,
6:30.0,N. Jokic makes 3-pt shot from 26 ft (assist by W. Chandler),3,109-95,,
6:29.0,,,109-95,,Phoenix full timeout
6:16.0,,,109-95,,Turnover by T. Warren (bad pass; steal by W. Chandler)
6:11.0,W. Chandler misses 2-pt shot at rim,,109-95,,
6:09.0,Offensive rebound by Team,,109-95,,
6:09.0,Loose ball foul by N. Jokic (drawn by D. Bender),,109-95,,
6:09.0,Turnover by N. Jokic (turnover),,109-95,,
5:54.0,,,109-97,2,E. Payton makes 2-pt shot from 16 ft
5:26.0,J. Murray misses 3-pt shot from 26 ft,,109-97,,
5:22.0,,,109-97,,Defensive rebound by D. Bender
5:13.0,,,109-97,,E. Payton misses 2-pt shot from 1 ft
5:10.0,,,109-97,,Offensive rebound by T. Warren
5:10.0,,,109-99,2,T. Warren makes 2-pt shot at rim
4:54.0,W. Barton misses 3-pt shot from 25 ft,,109-99,,
4:51.0,,,109-99,,Defensive rebound by D. Bender
4:45.0,,,109-99,,Shooting foul by W. Chandler (drawn by T. Warren)
4:45.0,,,109-100,1,T. Warren makes free throw 1 of 2
4:45.0,,,109-101,1,T. Warren makes free throw 2 of 2
4:35.0,G. Harris misses 2-pt shot from 11 ft,,109-101,,
