time,New Orleans,pts.away,score,pts.home,Brooklyn
5:28.0,,,91-66,2,D. Russell makes 2-pt shot at rim
5:14.0,J. Holiday misses 2-pt shot from 5 ft,,91-66,,
5:11.0,,,91-66,,Defensive rebound by J. Harris
5:00.0,,,91-68,2,D. Russell makes 2-pt shot from 19 ft
5:00.0,New Orleans full timeout,,91-68,,
5:00.0,D. Liggins enters the game for E. Moore,,91-68,,
4:48.0,Shooting foul by Q. Acy (drawn by J. Holiday),,91-68,,
4:48.0,J. Holiday misses free throw 1 of 2,,91-68,,
4:48.0,Offensive rebound by Team,,91-68,,
4:48.0,J. Holiday makes free throw 2 of 2,1,92-68,,
4:27.0,,,92-68,,Turnover by Q. Acy (out of bounds lost ball)
4:13.0,I. Clark misses 2-pt shot from 1 ft,,92-68,,
4:11.0,,,92-68,,Defensive rebound by D. Russell
4:06.0,,,92-71,3,A. Crabbe makes 3-pt shot from 24 ft (assist by J. Harris)
3:53.0,Turnover by D. Liggins (lost ball; steal by D. Russell),,92-71,,
3:48.0,,,92-74,3,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Russell)
3:28.0,D. Liggins misses 3-pt shot from 22 ft,,92-74,,
3:25.0,,,92-74,,Defensive rebound by A. Crabbe
3:12.0,,,92-74,,D. Russell misses 3-pt shot from 25 ft
3:09.0,,,92-74,,Offensive rebound by D. Cunningham
3:07.0,,,92-77,3,A. Crabbe makes 3-pt shot from 23 ft (assist by D. Cunningham)
2:59.0,J. Holiday makes 3-pt shot from 24 ft,3,95-77,,
2:45.0,,,95-80,3,Q. Acy makes 3-pt shot from 22 ft (assist by D. Russell)
2:44.0,New Orleans full timeout,,95-80,,
2:44.0,R. Rondo enters the game for D. Liggins,,95-80,,
2:29.0,A. Davis makes 2-pt shot from 16 ft,2,97-80,,
2:11.0,,,97-80,,Q. Acy misses 3-pt shot from 24 ft
2:09.0,Defensive rebound by Team,,97-80,,
2:09.0,N. Mirotic enters the game for J. Holiday,,97-80,,
1:52.0,A. Davis misses 2-pt shot from 19 ft,,97-80,,
1:50.0,,,97-80,,Defensive rebound by J. Harris
1:41.0,,,97-80,,Q. Acy misses 2-pt shot from 2 ft (block by N. Mirotic)
1:39.0,,,97-80,,Offensive rebound by A. Crabbe
1:37.0,,,97-82,2,A. Crabbe makes 2-pt shot from 1 ft
1:23.0,Turnover by D. Miller (lost ball; steal by J. Harris),,97-82,,
1:17.0,,,97-82,,A. Crabbe misses 2-pt shot from 6 ft
1:14.0,,,97-82,,Offensive rebound by D. Cunningham
1:13.0,Jump ball: D. Cunningham vs. A. Davis (R. Rondo gains possession),,,,Jump ball: D. Cunningham vs. A. Davis (R. Rondo gains possession)
1:13.0,,,97-82,,Turnover by D. Cunningham (turnover; steal by A. Davis)
1:04.0,Turnover by R. Rondo (bad pass; steal by J. Harris),,97-82,,
0:58.0,,,97-85,3,A. Crabbe makes 3-pt shot from 22 ft (assist by Q. Acy)
0:44.0,A. Davis makes 2-pt shot at rim (assist by D. Miller),2,99-85,,
0:44.0,Shooting foul by D. Russell (drawn by A. Davis),,99-85,,
0:44.0,A. Davis makes free throw 1 of 1,1,100-85,,
0:38.0,,,100-85,,D. Russell misses 3-pt shot from 23 ft
0:33.0,Defensive rebound by N. Mirotic,,100-85,,
0:29.0,Shooting foul by J. Harris (drawn by A. Davis),,100-85,,
0:29.0,A. Davis misses free throw 1 of 2,,100-85,,
0:29.0,Offensive rebound by Team,,100-85,,
0:29.0,D. Liggins enters the game for R. Rondo,,100-85,,
0:29.0,A. Davis misses free throw 2 of 2,,100-85,,
0:27.0,,,100-85,,Defensive rebound by D. Russell
0:18.0,,,100-85,,Turnover by D. Russell (lost ball; steal by N. Mirotic)
0:00.0,D. Miller misses 3-pt shot from 22 ft (block by J. Harris),,100-85,,
0:00.0,Offensive rebound by Team,,100-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,R. Rondo makes 2-pt shot from 5 ft,2,102-85,,
11:22.0,,,102-85,,J. Harris misses 2-pt shot from 1 ft
11:19.0,,,102-85,,Offensive rebound by J. Allen
11:19.0,,,102-87,2,J. Allen makes 2-pt shot at rim
10:57.0,R. Rondo misses 2-pt shot from 2 ft,,102-87,,
10:56.0,,,102-87,,Defensive rebound by A. Crabbe
10:52.0,,,102-87,,A. Crabbe misses 3-pt shot from 27 ft
10:48.0,,,102-87,,Offensive rebound by J. Allen
10:48.0,,,102-87,,J. Allen misses 2-pt shot from 1 ft
10:45.0,Defensive rebound by A. Davis,,102-87,,
10:44.0,Turnover by A. Davis (bad pass),,102-87,,
10:44.0,,,102-87,,S. Dinwiddie enters the game for A. Crabbe
10:27.0,,,102-89,2,J. Allen makes 2-pt shot at rim (assist by D. Russell)
10:11.0,A. Davis misses 2-pt shot from 9 ft,,102-89,,
10:10.0,Offensive rebound by Team,,102-89,,
10:01.0,I. Clark misses 2-pt shot from 1 ft,,102-89,,
9:59.0,,,102-89,,Defensive rebound by D. Cunningham
9:53.0,,,102-92,3,D. Russell makes 3-pt shot from 26 ft
9:37.0,Shooting foul by J. Harris (drawn by J. Holiday),,102-92,,
9:37.0,J. Holiday misses free throw 1 of 2,,102-92,,
9:37.0,Offensive rebound by Team,,102-92,,
9:37.0,C. Diallo enters the game for I. Clark,,102-92,,
9:37.0,E. Moore enters the game for A. Davis,,102-92,,
9:37.0,J. Holiday makes free throw 2 of 2,1,103-92,,
9:29.0,,,103-92,,Turnover by D. Russell (bad pass)
9:16.0,Offensive foul by N. Mirotic (drawn by D. Cunningham),,103-92,,
9:16.0,Turnover by N. Mirotic (offensive foul),,103-92,,
9:16.0,,,103-92,,D. Carroll enters the game for D. Russell
8:59.0,,,103-92,,S. Dinwiddie misses 2-pt shot from 1 ft (block by N. Mirotic)
8:57.0,Defensive rebound by N. Mirotic,,103-92,,
8:53.0,E. Moore misses 3-pt shot from 22 ft (block by J. Harris),,103-92,,
8:50.0,Offensive rebound by N. Mirotic,,103-92,,
8:38.0,C. Diallo misses 2-pt shot from 2 ft,,103-92,,
8:34.0,,,103-92,,Defensive rebound by J. Allen
8:21.0,,,103-94,2,S. Dinwiddie makes 2-pt shot from 1 ft
8:10.0,N. Mirotic misses 3-pt shot from 26 ft,,103-94,,
8:07.0,,,103-94,,Defensive rebound by D. Carroll
