time,New Orleans,pts.away,score,pts.home,LA Clippers
3:23.0,,,26-13,,Offensive rebound by D. Jordan
3:21.0,,,26-15,2,C. Williams makes 2-pt shot from 1 ft (assist by D. Jordan)
3:06.0,I. Clark makes 3-pt shot from 23 ft (assist by S. Hill),3,29-15,,
2:48.0,,,29-17,2,D. Jordan makes 2-pt shot from 1 ft (assist by M. Harrell)
2:36.0,A. Davis misses 2-pt shot from 7 ft,,29-17,,
2:34.0,,,29-17,,Defensive rebound by M. Harrell
2:30.0,,,29-19,2,T. Wallace makes 2-pt shot from 1 ft (assist by M. Harrell)
2:12.0,E. Moore misses 3-pt shot from 25 ft,,29-19,,
2:08.0,,,29-19,,Defensive rebound by T. Harris
2:03.0,,,29-19,,Turnover by M. Harrell (lost ball; steal by J. Holiday)
1:59.0,A. Davis makes 2-pt shot from 1 ft (assist by I. Clark),2,31-19,,
1:35.0,,,31-19,,D. Jordan misses 2-pt shot from 3 ft
1:33.0,Defensive rebound by A. Davis,,31-19,,
1:29.0,I. Clark misses 3-pt shot from 22 ft,,31-19,,
1:25.0,,,31-19,,Defensive rebound by C. Williams
1:20.0,,,31-21,2,T. Wallace makes 2-pt shot at rim (assist by C. Williams)
1:02.0,A. Davis misses 3-pt shot from 25 ft,,31-21,,
0:59.0,,,31-21,,Defensive rebound by D. Jordan
0:54.0,,,31-23,2,C. Williams makes 2-pt shot from 1 ft (assist by T. Wallace)
0:39.0,New Orleans full timeout,,31-23,,
0:39.0,,,31-23,,S. Thornwell enters the game for T. Wallace
0:39.0,,,31-23,,S. Dekker enters the game for T. Harris
0:39.0,D. Miller enters the game for J. Holiday,,31-23,,
0:39.0,R. Rondo enters the game for E. Moore,,31-23,,
0:35.0,Turnover by R. Rondo (bad pass; steal by C. Williams),,31-23,,
0:19.0,,,31-23,,S. Dekker misses 2-pt shot from 2 ft (block by D. Miller)
0:14.0,Defensive rebound by S. Hill,,31-23,,
0:04.0,,,31-23,,Personal take foul by D. Jordan (drawn by R. Rondo)
0:01.0,A. Davis misses 2-pt shot from 2 ft,,31-23,,
0:01.0,,,31-23,,Defensive rebound by M. Harrell
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,I. Clark makes 2-pt shot from 13 ft,2,33-23,,
11:21.0,,,33-23,,Turnover by B. Marjanovic (turnover)
10:56.0,N. Mirotic misses 2-pt shot from 14 ft,,33-23,,
10:54.0,,,33-23,,Defensive rebound by B. Marjanovic
10:47.0,,,33-25,2,S. Thornwell makes 2-pt shot from 2 ft
10:36.0,I. Clark makes 3-pt shot from 27 ft,3,36-25,,
10:15.0,,,36-25,,W. Johnson misses 2-pt shot from 21 ft
10:10.0,Defensive rebound by N. Mirotic,,36-25,,
10:07.0,,,36-25,,Personal take foul by B. Marjanovic (drawn by N. Mirotic)
10:07.0,,,36-25,,LA Clippers full timeout
10:07.0,,,36-25,,T. Harris enters the game for B. Marjanovic
9:53.0,C. Diallo misses 2-pt shot from 17 ft,,36-25,,
9:50.0,,,36-25,,Defensive rebound by S. Thornwell
9:42.0,,,36-27,2,T. Harris makes 2-pt shot from 2 ft (assist by S. Thornwell)
9:27.0,D. Miller misses 2-pt shot from 21 ft,,36-27,,
9:25.0,Offensive rebound by D. Miller,,36-27,,
9:19.0,R. Rondo misses 2-pt shot from 20 ft,,36-27,,
9:16.0,,,36-27,,Defensive rebound by S. Thornwell
9:06.0,,,36-27,,T. Harris misses 2-pt shot from 19 ft
9:05.0,,,36-27,,Offensive rebound by Team
9:05.0,Loose ball foul by R. Rondo (drawn by M. Harrell),,36-27,,
8:53.0,,,36-29,2,M. Harrell makes 2-pt shot from 1 ft
8:49.0,Shooting foul by W. Johnson (drawn by R. Rondo),,36-29,,
8:49.0,R. Rondo misses free throw 1 of 2,,36-29,,
8:49.0,Offensive rebound by Team,,36-29,,
8:49.0,R. Rondo misses free throw 2 of 2,,36-29,,
8:44.0,,,36-29,,Defensive rebound by T. Harris
8:26.0,,,36-29,,Shooting foul by C. Diallo (drawn by T. Harris)
8:26.0,,,36-30,1,T. Harris makes free throw 1 of 2
8:26.0,A. Davis enters the game for C. Diallo,,36-30,,
8:26.0,J. Holiday enters the game for I. Clark,,36-30,,
8:26.0,,,36-30,,T. Harris misses free throw 2 of 2
8:24.0,Defensive rebound by N. Mirotic,,36-30,,
8:05.0,N. Mirotic makes 3-pt shot from 24 ft (assist by R. Rondo),3,39-30,,
7:50.0,,,39-32,2,W. Johnson makes 2-pt shot from 16 ft
7:37.0,Turnover by R. Rondo (bad pass),,39-32,,
7:19.0,,,39-32,,T. Harris misses 2-pt shot from 5 ft
7:14.0,Defensive rebound by N. Mirotic,,39-32,,
7:06.0,,,39-32,,Violation by S. Thornwell (kicked ball)
7:02.0,N. Mirotic misses 3-pt shot from 23 ft,,39-32,,
7:00.0,,,39-32,,Defensive rebound by S. Dekker
6:56.0,,,39-32,,M. Harrell misses 2-pt shot from 1 ft
6:51.0,,,39-32,,Offensive rebound by S. Dekker
6:51.0,,,39-34,2,S. Dekker makes 2-pt shot at rim
6:43.0,A. Davis makes 2-pt shot from 3 ft (assist by R. Rondo),2,41-34,,
6:33.0,,,41-36,2,S. Thornwell makes 2-pt shot from 12 ft (assist by M. Harrell)
6:11.0,Turnover by A. Davis (bad pass; steal by S. Thornwell),,41-36,,
6:09.0,,,41-36,,Shooting foul by D. Miller (drawn by T. Harris)
6:09.0,,,41-37,1,T. Harris makes free throw 1 of 2
6:09.0,,,41-37,,T. Wallace enters the game for W. Johnson
6:09.0,E. Moore enters the game for R. Rondo,,41-37,,
6:09.0,,,41-38,1,T. Harris makes free throw 2 of 2
5:57.0,,,41-38,,Personal foul by T. Wallace (drawn by J. Holiday)
5:51.0,E. Moore misses 2-pt shot from 19 ft,,41-38,,
5:47.0,,,41-38,,Defensive rebound by T. Harris
5:36.0,,,41-40,2,M. Harrell makes 2-pt shot at rim (assist by S. Thornwell)
5:27.0,New Orleans full timeout,,41-40,,
5:08.0,J. Holiday misses 2-pt shot from 3 ft (block by S. Thornwell),,41-40,,
5:04.0,,,41-40,,Defensive rebound by S. Dekker
4:57.0,,,41-43,3,S. Thornwell makes 3-pt shot from 25 ft (assist by T. Harris)
4:46.0,J. Holiday makes 2-pt shot from 1 ft,2,43-43,,
4:28.0,,,43-45,2,M. Harrell makes 2-pt shot from 6 ft
4:15.0,A. Davis makes 2-pt shot from 2 ft (assist by E. Moore),2,45-45,,
4:03.0,,,45-47,2,S. Thornwell makes 2-pt shot from 2 ft (assist by M. Harrell)
4:03.0,,,45-47,,Shooting foul by J. Holiday (drawn by S. Thornwell)
4:03.0,,,45-47,,D. Jordan enters the game for S. Dekker
4:03.0,I. Clark enters the game for D. Miller,,45-47,,
4:03.0,,,45-47,,S. Thornwell misses free throw 1 of 1
4:03.0,Defensive rebound by N. Mirotic,,45-47,,
3:40.0,A. Davis misses 2-pt shot from 16 ft,,45-47,,
3:36.0,,,45-47,,Defensive rebound by D. Jordan
3:32.0,,,45-47,,Turnover by T. Harris (bad pass)
3:23.0,E. Moore makes 2-pt shot at rim (assist by J. Holiday),2,47-47,,
3:14.0,,,47-47,,T. Wallace misses 2-pt shot from 2 ft
3:11.0,,,47-47,,Offensive rebound by D. Jordan
3:08.0,,,47-49,2,D. Jordan makes 2-pt shot from 1 ft
3:00.0,I. Clark makes 3-pt shot from 22 ft (assist by E. Moore),3,50-49,,
2:46.0,,,50-49,,T. Wallace misses 3-pt shot from 23 ft
2:43.0,Defensive rebound by N. Mirotic,,50-49,,
2:34.0,A. Davis makes 2-pt shot from 3 ft (assist by I. Clark),2,52-49,,
2:09.0,,,52-49,,S. Thornwell misses 2-pt shot from 3 ft (block by J. Holiday)
2:06.0,Defensive rebound by N. Mirotic,,52-49,,
2:01.0,N. Mirotic makes 2-pt shot from 1 ft,2,54-49,,
1:40.0,,,54-49,,Turnover by T. Harris (lost ball; steal by J. Holiday)
1:33.0,N. Mirotic makes 3-pt shot from 26 ft (assist by I. Clark),3,57-49,,
1:09.0,,,57-49,,T. Wallace misses 2-pt shot from 9 ft (block by A. Davis)
1:09.0,,,57-49,,Offensive rebound by Team
1:09.0,,,57-49,,C. Williams enters the game for M. Harrell
1:06.0,,,57-49,,C. Williams misses 3-pt shot from 25 ft
1:02.0,,,57-49,,Offensive rebound by D. Jordan
1:00.0,,,57-49,,Turnover by D. Jordan (bad pass; steal by J. Holiday)
0:48.0,A. Davis misses 2-pt shot from 13 ft (block by S. Thornwell),,57-49,,
0:44.0,Offensive rebound by A. Davis,,57-49,,
0:43.0,A. Davis misses 2-pt shot from 1 ft,,57-49,,
0:43.0,,,57-49,,Defensive rebound by C. Williams
0:36.0,,,57-49,,C. Williams misses 3-pt shot from 23 ft
0:31.0,Defensive rebound by I. Clark,,57-49,,
0:13.0,J. Holiday makes 2-pt shot from 2 ft (assist by I. Clark),2,59-49,,
0:01.0,,,59-49,,T. Harris misses 3-pt shot from 27 ft
0:00.0,,,59-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,E. Moore misses 2-pt shot from 14 ft,,59-49,,
11:45.0,,,59-49,,Defensive rebound by T. Harris
11:34.0,,,59-51,2,T. Wallace makes 2-pt shot from 2 ft (assist by T. Harris)
11:18.0,R. Rondo makes 2-pt shot from 1 ft (assist by A. Davis),2,61-51,,
11:00.0,,,61-51,,T. Wallace misses 3-pt shot from 26 ft
10:58.0,Defensive rebound by R. Rondo,,61-51,,
10:51.0,N. Mirotic misses 3-pt shot from 26 ft,,61-51,,
10:48.0,,,61-51,,Defensive rebound by D. Jordan
10:27.0,,,61-51,,T. Wallace misses 2-pt shot from 8 ft (block by A. Davis)
10:24.0,,,61-51,,Offensive rebound by W. Johnson
10:22.0,,,61-51,,W. Johnson misses 3-pt shot from 28 ft
10:22.0,Defensive rebound by J. Holiday,,61-51,,
10:14.0,J. Holiday makes 2-pt shot at rim,2,63-51,,
10:14.0,,,63-51,,LA Clippers full timeout
10:03.0,,,63-51,,D. Jordan misses 2-pt shot from 4 ft
10:00.0,Defensive rebound by N. Mirotic,,63-51,,
9:51.0,A. Davis misses 2-pt shot from 1 ft,,63-51,,
9:48.0,,,63-51,,Defensive rebound by D. Jordan
9:43.0,,,63-51,,Turnover by T. Wallace (lost ball; steal by R. Rondo)
9:39.0,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Holiday),2,65-51,,
9:39.0,,,65-51,,Violation by W. Johnson (def goaltending)
9:25.0,,,65-51,,T. Harris misses 3-pt shot from 26 ft
9:21.0,Defensive rebound by N. Mirotic,,65-51,,
9:03.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,67-51,,
8:46.0,,,67-51,,W. Johnson misses 3-pt shot from 27 ft
8:43.0,,,67-51,,Offensive rebound by D. Jordan
8:33.0,,,67-51,,Turnover by W. Johnson (bad pass; steal by A. Davis)
8:25.0,N. Mirotic misses 2-pt shot from 14 ft,,67-51,,
8:21.0,,,67-51,,Defensive rebound by D. Jordan
8:12.0,,,67-51,,T. Harris misses 3-pt shot from 26 ft
8:06.0,,,67-51,,Offensive rebound by D. Jordan
7:57.0,,,67-51,,T. Harris misses 2-pt shot from 17 ft
7:54.0,Defensive rebound by E. Moore,,67-51,,
7:52.0,A. Davis misses 2-pt shot from 2 ft,,67-51,,
7:47.0,,,67-51,,Defensive rebound by T. Harris
7:45.0,,,67-51,,T. Wallace misses 2-pt shot from 1 ft
7:39.0,,,67-51,,Offensive rebound by T. Harris
7:39.0,,,67-53,2,T. Harris makes 2-pt shot at rim
7:27.0,E. Moore misses 3-pt shot from 25 ft,,67-53,,
7:27.0,Offensive rebound by N. Mirotic,,67-53,,
7:27.0,Shooting foul by T. Harris (drawn by N. Mirotic),,67-53,,
7:27.0,N. Mirotic makes free throw 1 of 2,1,68-53,,
7:27.0,,,68-53,,M. Harrell enters the game for T. Harris
7:27.0,,,68-53,,S. Thornwell enters the game for W. Johnson
7:27.0,N. Mirotic makes free throw 2 of 2,1,69-53,,
7:13.0,,,69-53,,T. Wallace misses 2-pt shot from 9 ft (block by A. Davis)
7:11.0,Defensive rebound by E. Moore,,69-53,,
7:09.0,E. Moore makes 2-pt shot from 1 ft,2,71-53,,
7:09.0,Shooting foul by C. Williams (drawn by E. Moore),,71-53,,
7:09.0,E. Moore makes free throw 1 of 1,1,72-53,,
6:51.0,,,72-53,,M. Harrell misses 2-pt shot from 5 ft
6:47.0,Defensive rebound by J. Holiday,,72-53,,
6:46.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,74-53,,
6:46.0,Shooting foul by M. Harrell (drawn by A. Davis),,74-53,,
6:46.0,,,74-53,,S. Dekker enters the game for C. Williams
6:46.0,I. Clark enters the game for J. Holiday,,74-53,,
6:46.0,A. Davis makes free throw 1 of 1,1,75-53,,
6:31.0,,,75-53,,S. Thornwell misses 2-pt shot from 19 ft (block by N. Mirotic)
6:28.0,Defensive rebound by R. Rondo,,75-53,,
6:26.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,77-53,,
6:10.0,,,77-53,,Turnover by S. Dekker (bad pass; steal by N. Mirotic)
6:09.0,,,77-53,,Personal foul by S. Thornwell (drawn by A. Davis)
5:58.0,I. Clark misses 3-pt shot from 26 ft,,77-53,,
5:56.0,,,77-53,,Defensive rebound by S. Dekker
5:51.0,,,77-53,,Turnover by S. Thornwell (bad pass; steal by A. Davis)
5:47.0,Shooting foul by T. Wallace (drawn by E. Moore),,77-53,,
5:47.0,E. Moore makes free throw 1 of 2,1,78-53,,
5:47.0,,,78-53,,W. Johnson enters the game for D. Jordan
5:47.0,E. Moore makes free throw 2 of 2,1,79-53,,
5:32.0,,,79-55,2,W. Johnson makes 2-pt shot from 19 ft (assist by S. Thornwell)
5:16.0,D. Miller enters the game for N. Mirotic,,79-55,,
5:11.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,81-55,,
4:52.0,,,81-57,2,T. Wallace makes 2-pt shot from 1 ft
4:30.0,Turnover by R. Rondo (bad pass; steal by M. Harrell),,81-57,,
4:26.0,,,81-57,,Turnover by S. Thornwell (lost ball; steal by R. Rondo)
4:22.0,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo),2,83-57,,
3:59.0,S. Hill enters the game for E. Moore,,83-57,,
3:53.0,,,83-57,,W. Johnson misses 2-pt shot from 20 ft
3:51.0,Defensive rebound by A. Davis,,83-57,,
3:40.0,D. Miller misses 2-pt shot from 15 ft,,83-57,,
3:37.0,,,83-57,,Defensive rebound by M. Harrell
3:34.0,,,83-59,2,M. Harrell makes 2-pt shot from 1 ft (assist by S. Dekker)
3:34.0,,,83-59,,Shooting foul by S. Hill (drawn by M. Harrell)
3:34.0,C. Diallo enters the game for A. Davis,,83-59,,
3:34.0,,,83-59,,M. Harrell misses free throw 1 of 1
3:34.0,,,83-59,,Offensive rebound by W. Johnson
3:24.0,,,83-61,2,S. Thornwell makes 2-pt shot at rim (assist by M. Harrell)
3:11.0,,,83-61,,B. Marjanovic enters the game for T. Wallace
3:11.0,J. Holiday enters the game for R. Rondo,,83-61,,
3:01.0,J. Holiday misses 2-pt shot from 7 ft,,83-61,,
2:57.0,,,83-61,,Defensive rebound by B. Marjanovic
2:49.0,,,83-61,,M. Harrell misses 2-pt shot from 2 ft
2:49.0,,,83-61,,Offensive rebound by B. Marjanovic
2:49.0,,,83-63,2,B. Marjanovic makes 2-pt shot at rim
2:49.0,,,83-63,,Shooting foul by C. Diallo (drawn by B. Marjanovic)
2:49.0,New Orleans full timeout,,83-63,,
2:49.0,,,83-63,,B. Marjanovic misses free throw 1 of 1
2:47.0,Defensive rebound by C. Diallo,,83-63,,
2:23.0,C. Diallo makes 2-pt shot from 15 ft (assist by J. Holiday),2,85-63,,
2:18.0,Personal foul by C. Diallo (drawn by B. Marjanovic),,85-63,,
2:07.0,Shooting block foul by D. Miller (drawn by S. Dekker),,85-63,,
2:07.0,,,85-64,1,S. Dekker makes free throw 1 of 2
2:07.0,,,85-64,,S. Dekker misses free throw 2 of 2
2:04.0,Defensive rebound by C. Diallo,,85-64,,
1:51.0,C. Diallo misses 2-pt shot from 13 ft,,85-64,,
1:46.0,,,85-64,,Defensive rebound by M. Harrell
1:42.0,,,85-64,,Turnover by S. Thornwell (bad pass; steal by C. Diallo)
1:39.0,,,85-64,,Personal foul by S. Dekker (drawn by S. Hill)
1:39.0,S. Hill makes free throw 1 of 2,1,86-64,,
1:39.0,S. Hill misses free throw 2 of 2,,86-64,,
1:37.0,,,86-64,,Defensive rebound by M. Harrell
1:27.0,,,86-67,3,S. Thornwell makes 3-pt shot from 25 ft (assist by W. Johnson)
1:15.0,D. Miller makes 2-pt shot from 18 ft (assist by J. Holiday),2,88-67,,
0:58.0,,,88-69,2,M. Harrell makes 2-pt shot from 2 ft
0:48.0,D. Miller makes 3-pt shot from 26 ft (assist by C. Diallo),3,91-69,,
0:33.0,,,91-71,2,W. Johnson makes 2-pt shot from 3 ft (assist by S. Thornwell)
0:17.0,C. Diallo makes 2-pt shot at rim (assist by J. Holiday),2,93-71,,
0:17.0,,,93-71,,Shooting block foul by S. Dekker (drawn by C. Diallo)
0:17.0,C. Diallo misses free throw 1 of 1,,93-71,,
0:15.0,,,93-71,,Defensive rebound by B. Marjanovic
0:06.0,,,93-71,,S. Thornwell misses 2-pt shot from 3 ft (block by J. Holiday)
0:03.0,Defensive rebound by I. Clark,,93-71,,
0:02.0,I. Clark misses 2-pt shot from 1 ft,,93-71,,
0:02.0,,,93-71,,Defensive rebound by M. Harrell
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,93-71,,S. Thornwell misses 3-pt shot from 26 ft
11:44.0,Defensive rebound by N. Mirotic,,93-71,,
11:31.0,N. Mirotic misses 3-pt shot from 26 ft,,93-71,,
11:27.0,,,93-71,,Defensive rebound by B. Marjanovic
11:18.0,,,93-71,,M. Harrell misses 2-pt shot from 16 ft
11:15.0,Defensive rebound by I. Clark,,93-71,,
11:06.0,E. Okafor misses 2-pt shot from 16 ft,,93-71,,
11:04.0,,,93-71,,Defensive rebound by C. Williams
10:49.0,,,93-73,2,B. Marjanovic makes 2-pt shot from 13 ft
10:38.0,,,93-73,,Personal block foul by C. Williams (drawn by N. Mirotic)
10:29.0,Shooting foul by S. Dekker (drawn by D. Miller),,93-73,,
10:29.0,D. Miller misses free throw 1 of 2,,93-73,,
10:29.0,Offensive rebound by Team,,93-73,,
10:29.0,,,93-73,,T. Wallace enters the game for S. Dekker
10:29.0,D. Miller makes free throw 2 of 2,1,94-73,,
10:11.0,,,94-73,,B. Marjanovic misses 2-pt shot from 5 ft
10:09.0,Defensive rebound by J. Holiday,,94-73,,
10:00.0,I. Clark misses 3-pt shot from 26 ft,,94-73,,
9:58.0,,,94-73,,Defensive rebound by T. Wallace
9:49.0,,,94-73,,M. Harrell misses 2-pt shot from 3 ft
9:49.0,,,94-73,,Offensive rebound by B. Marjanovic
9:49.0,,,94-73,,Shooting foul by J. Holiday (drawn by B. Marjanovic)
9:49.0,,,94-74,1,B. Marjanovic makes free throw 1 of 2
9:49.0,A. Davis enters the game for J. Holiday,,94-74,,
9:49.0,R. Rondo enters the game for E. Okafor,,94-74,,
9:49.0,,,94-75,1,B. Marjanovic makes free throw 2 of 2
9:28.0,N. Mirotic makes 2-pt shot from 11 ft,2,96-75,,
9:22.0,,,96-77,2,S. Thornwell makes 2-pt shot from 2 ft
9:22.0,,,96-77,,Shooting foul by N. Mirotic (drawn by S. Thornwell)
9:22.0,,,96-77,,S. Thornwell misses free throw 1 of 1
9:22.0,Defensive rebound by N. Mirotic,,96-77,,
9:15.0,Shooting foul by B. Marjanovic (drawn by A. Davis),,96-77,,
9:15.0,A. Davis makes free throw 1 of 2,1,97-77,,
9:15.0,E. Moore enters the game for D. Miller,,97-77,,
9:15.0,A. Davis misses free throw 2 of 2,,97-77,,
9:13.0,,,97-77,,Defensive rebound by B. Marjanovic
9:13.0,,,97-77,,LA Clippers full timeout
9:05.0,Personal foul by N. Mirotic (drawn by M. Harrell),,97-77,,
8:51.0,,,97-77,,C. Williams misses 3-pt shot from 24 ft
8:48.0,,,97-77,,Offensive rebound by M. Harrell
8:46.0,,,97-77,,T. Wallace misses 2-pt shot from 10 ft
8:46.0,,,97-77,,Offensive rebound by B. Marjanovic
8:41.0,,,97-79,2,B. Marjanovic makes 2-pt shot at rim
8:26.0,Shooting foul by S. Thornwell (drawn by A. Davis),,97-79,,
8:26.0,A. Davis makes free throw 1 of 2,1,98-79,,
8:26.0,A. Davis makes free throw 2 of 2,1,99-79,,
8:16.0,Personal foul by R. Rondo (drawn by B. Marjanovic),,99-79,,
8:11.0,,,99-81,2,M. Harrell makes 2-pt shot at rim
7:49.0,R. Rondo misses 3-pt shot from 22 ft,,99-81,,
7:44.0,Offensive rebound by E. Moore,,99-81,,
7:42.0,N. Mirotic misses 3-pt shot from 24 ft,,99-81,,
7:42.0,,,99-81,,Defensive rebound by M. Harrell
7:35.0,,,99-83,2,B. Marjanovic makes 2-pt shot from 1 ft (assist by S. Thornwell)
7:25.0,Turnover by R. Rondo (bad pass; steal by M. Harrell),,99-83,,
7:16.0,,,99-83,,M. Harrell misses 2-pt shot from 2 ft
7:14.0,Defensive rebound by E. Moore,,99-83,,
7:02.0,Turnover by R. Rondo (lost ball; steal by S. Thornwell),,99-83,,
6:58.0,,,99-83,,Turnover by M. Harrell (lost ball; steal by I. Clark)
6:49.0,E. Moore makes 2-pt shot from 20 ft (assist by R. Rondo),2,101-83,,
6:27.0,,,101-83,,B. Marjanovic misses 2-pt shot from 11 ft
6:23.0,Defensive rebound by N. Mirotic,,101-83,,
6:15.0,N. Mirotic makes 3-pt shot from 22 ft (assist by I. Clark),3,104-83,,
6:15.0,,,104-83,,LA Clippers full timeout
6:15.0,,,104-83,,S. Dekker enters the game for M. Harrell
6:15.0,J. Holiday enters the game for R. Rondo,,104-83,,
