time,Minnesota,pts.away,score,pts.home,Detroit
9:56.0,Defensive rebound by T. Jones,,26-28,,
9:52.0,S. Muhammad misses 2-pt shot from 5 ft,,26-28,,
9:52.0,,,26-28,,Defensive rebound by L. Galloway
9:44.0,,,26-28,,H. Ellenson misses 3-pt shot from 23 ft
9:40.0,Defensive rebound by N. Bjelica,,26-28,,
9:28.0,G. Dieng makes 2-pt shot from 9 ft (assist by J. Crawford),2,28-28,,
9:13.0,Violation by G. Dieng (kicked ball),,28-28,,
9:13.0,K. Towns enters the game for G. Dieng,,28-28,,
9:13.0,,,28-28,,A. Drummond enters the game for J. Leuer
9:00.0,,,28-28,,H. Ellenson misses 3-pt shot from 27 ft
8:57.0,Defensive rebound by J. Crawford,,28-28,,
8:48.0,Turnover by K. Towns (lost ball; steal by A. Drummond),,28-28,,
8:43.0,,,28-30,2,T. Harris makes 2-pt shot at rim (assist by L. Galloway)
8:19.0,Turnover by K. Towns (lost ball; steal by A. Drummond),,28-30,,
8:15.0,,,28-32,2,T. Harris makes 2-pt shot from 1 ft (assist by I. Smith)
8:05.0,Minnesota full timeout,,28-32,,
7:58.0,J. Crawford misses 2-pt shot from 15 ft,,28-32,,
7:55.0,,,28-32,,Defensive rebound by H. Ellenson
7:50.0,,,28-34,2,H. Ellenson makes 2-pt shot from 1 ft (assist by I. Smith)
7:30.0,K. Towns misses 2-pt shot from 15 ft,,28-34,,
7:28.0,,,28-34,,Defensive rebound by T. Harris
7:24.0,,,28-36,2,T. Harris makes 2-pt shot from 13 ft (assist by I. Smith)
7:07.0,S. Muhammad misses 3-pt shot from 26 ft,,28-36,,
7:03.0,,,28-36,,Defensive rebound by I. Smith
6:55.0,,,28-36,,I. Smith misses 2-pt shot from 1 ft
6:55.0,Defensive rebound by Team,,28-36,,
6:55.0,A. Wiggins enters the game for T. Jones,,28-36,,
6:55.0,J. Teague enters the game for N. Bjelica,,28-36,,
6:55.0,T. Gibson enters the game for J. Crawford,,28-36,,
6:45.0,J. Teague misses 2-pt shot from 8 ft,,28-36,,
6:42.0,Offensive rebound by Team,,28-36,,
6:32.0,K. Towns misses 2-pt shot from 6 ft,,28-36,,
6:30.0,,,28-36,,Defensive rebound by A. Drummond
6:23.0,,,28-36,,A. Drummond misses 2-pt shot from 2 ft
6:17.0,,,28-36,,Offensive rebound by A. Drummond
6:15.0,,,28-38,2,A. Drummond makes 2-pt shot at rim
6:06.0,Personal foul by K. Towns (drawn by I. Smith),,28-38,,
6:06.0,Turnover by K. Towns (turnover),,28-38,,
6:06.0,,,28-38,,R. Jackson enters the game for I. Smith
5:53.0,,,28-38,,L. Galloway misses 2-pt shot from 12 ft
5:52.0,Defensive rebound by K. Towns,,28-38,,
5:48.0,S. Muhammad misses 2-pt shot from 5 ft,,28-38,,
5:48.0,Offensive rebound by S. Muhammad,,28-38,,
5:48.0,Shooting foul by R. Jackson (drawn by S. Muhammad),,28-38,,
5:48.0,S. Muhammad makes free throw 1 of 2,1,29-38,,
5:48.0,S. Muhammad makes free throw 2 of 2,1,30-38,,
5:32.0,,,30-41,3,T. Harris makes 3-pt shot from 26 ft
5:10.0,Turnover by A. Wiggins (bad pass; steal by T. Harris),,30-41,,
5:05.0,,,30-43,2,L. Galloway makes 2-pt shot from 1 ft
4:58.0,,,30-43,,Personal foul by T. Harris (drawn by J. Teague)
4:58.0,,,30-43,,A. Bradley enters the game for H. Ellenson
4:58.0,,,30-43,,S. Johnson enters the game for L. Galloway
4:50.0,A. Wiggins makes 2-pt shot from 3 ft (assist by T. Gibson),2,32-43,,
4:35.0,,,32-43,,A. Drummond misses 2-pt shot from 1 ft
4:34.0,,,32-43,,Offensive rebound by R. Jackson
4:27.0,,,32-46,3,T. Harris makes 3-pt shot from 25 ft (assist by A. Bradley)
4:03.0,J. Teague makes 3-pt shot from 24 ft,3,35-46,,
3:50.0,,,35-46,,Shooting foul by S. Muhammad (drawn by S. Johnson)
3:50.0,,,35-47,1,S. Johnson makes free throw 1 of 2
3:50.0,,,35-48,1,S. Johnson makes free throw 2 of 2
3:40.0,Turnover by J. Teague (turnover),,35-48,,
3:31.0,,,35-51,3,A. Bradley makes 3-pt shot from 26 ft (assist by R. Jackson)
3:22.0,,,35-51,,Personal foul by S. Johnson (drawn by S. Muhammad)
3:07.0,J. Teague makes 2-pt shot from 14 ft,2,37-51,,
2:50.0,,,37-51,,Turnover by A. Drummond (bad pass; steal by A. Wiggins)
2:44.0,Shooting foul by A. Drummond (drawn by K. Towns),,37-51,,
2:44.0,,,37-51,,Detroit full timeout
2:44.0,,,37-51,,J. Leuer enters the game for A. Drummond
2:44.0,K. Towns makes free throw 1 of 2,1,38-51,,
2:44.0,K. Towns makes free throw 2 of 2,1,39-51,,
2:21.0,,,39-53,2,T. Harris makes 2-pt shot from 14 ft (assist by R. Jackson)
2:04.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague),2,41-53,,
1:53.0,Personal foul by J. Teague (drawn by R. Jackson),,41-53,,
1:53.0,,,41-53,,I. Smith enters the game for R. Jackson
1:53.0,,,41-53,,H. Ellenson enters the game for T. Harris
1:46.0,,,41-56,3,A. Bradley makes 3-pt shot from 23 ft (assist by I. Smith)
1:27.0,J. Teague misses 2-pt shot from 3 ft,,41-56,,
1:25.0,Offensive rebound by T. Gibson,,41-56,,
1:22.0,T. Gibson makes 2-pt shot at rim,2,43-56,,
1:07.0,,,43-56,,A. Bradley misses 2-pt shot from 1 ft (block by T. Gibson)
1:07.0,,,43-56,,Offensive rebound by J. Leuer
1:07.0,,,43-56,,Shooting foul by T. Gibson (drawn by J. Leuer)
1:07.0,,,43-57,1,J. Leuer makes free throw 1 of 2
1:07.0,,,43-58,1,J. Leuer makes free throw 2 of 2
1:00.0,Turnover by J. Teague (bad pass; steal by A. Bradley),,43-58,,
0:55.0,,,43-60,2,H. Ellenson makes 2-pt shot from 5 ft
0:45.0,K. Towns misses 3-pt shot from 26 ft,,43-60,,
0:42.0,,,43-60,,Defensive rebound by A. Bradley
0:38.0,,,43-63,3,A. Bradley makes 3-pt shot from 25 ft (assist by I. Smith)
0:29.0,J. Teague misses 3-pt shot from 25 ft,,43-63,,
0:26.0,,,43-63,,Defensive rebound by S. Johnson
0:08.0,,,43-63,,Personal foul by J. Leuer (drawn by K. Towns)
0:08.0,,,43-63,,Turnover by J. Leuer (turnover)
0:03.0,,,43-63,,Personal foul by J. Leuer (drawn by A. Wiggins)
0:03.0,,,43-63,,Turnover by J. Leuer (turnover)
0:03.0,A. Wiggins misses free throw 1 of 2,,43-63,,
0:03.0,Offensive rebound by Team,,43-63,,
0:03.0,A. Wiggins makes free throw 2 of 2,1,44-63,,
0:00.0,,,44-63,,A. Bradley misses 3-pt shot from 28 ft
0:00.0,,,44-63,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,44-65,2,A. Bradley makes 2-pt shot from 16 ft
11:19.0,K. Towns makes 3-pt shot from 26 ft (assist by J. Teague),3,47-65,,
11:02.0,,,47-65,,T. Harris misses 2-pt shot from 8 ft
11:00.0,Defensive rebound by T. Gibson,,47-65,,
10:47.0,K. Towns misses 3-pt shot from 27 ft,,47-65,,
10:45.0,,,47-65,,Defensive rebound by A. Bradley
10:41.0,,,47-65,,Shooting foul by J. Teague (drawn by A. Drummond)
10:41.0,,,47-65,,A. Drummond misses free throw 1 of 2
10:41.0,,,47-65,,Offensive rebound by Team
10:41.0,,,47-66,1,A. Drummond makes free throw 2 of 2
10:31.0,S. Muhammad makes 2-pt shot from 20 ft (assist by K. Towns),2,49-66,,
10:09.0,,,49-66,,T. Harris misses 2-pt shot from 5 ft
10:08.0,,,49-66,,Offensive rebound by A. Drummond
10:08.0,,,49-68,2,A. Drummond makes 2-pt shot from 1 ft
10:08.0,,,49-68,,Shooting foul by T. Gibson (drawn by A. Drummond)
10:08.0,,,49-68,,A. Drummond misses free throw 1 of 1
10:07.0,,,49-68,,A. Drummond misses 2-pt shot from 1 ft
10:07.0,,,49-68,,Offensive rebound by A. Drummond
10:05.0,Defensive rebound by A. Wiggins,,49-68,,
9:59.0,Shooting foul by A. Bradley (drawn by A. Wiggins),,49-68,,
9:59.0,A. Wiggins makes free throw 1 of 2,1,50-68,,
9:59.0,A. Wiggins makes free throw 2 of 2,1,51-68,,
9:49.0,,,51-68,,A. Bradley misses 2-pt shot from 2 ft
9:48.0,,,51-68,,Offensive rebound by A. Drummond
9:48.0,,,51-70,2,A. Drummond makes 2-pt shot at rim
9:48.0,,,51-70,,Shooting foul by S. Muhammad (drawn by A. Drummond)
9:48.0,,,51-71,1,A. Drummond makes free throw 1 of 1
9:44.0,,,51-71,,Personal foul by R. Jackson (drawn by J. Teague)
9:33.0,K. Towns makes 2-pt shot from 2 ft (assist by J. Teague),2,53-71,,
9:24.0,Personal foul by K. Towns (drawn by A. Drummond),,53-71,,
9:16.0,,,53-71,,Shooting foul by J. Teague (drawn by R. Jackson)
9:16.0,,,53-71,,R. Jackson misses free throw 1 of 2
9:16.0,,,53-71,,Offensive rebound by Team
9:16.0,,,53-72,1,R. Jackson makes free throw 2 of 2
9:07.0,J. Teague makes 2-pt shot from 13 ft,2,55-72,,
9:03.0,Personal foul by T. Gibson (drawn by R. Jackson),,55-72,,
9:03.0,,,55-73,1,R. Jackson makes free throw 1 of 1
9:03.0,N. Bjelica enters the game for T. Gibson,,55-73,,
8:49.0,,,55-75,2,A. Bradley makes 2-pt shot from 5 ft (assist by A. Drummond)
8:37.0,Turnover by A. Wiggins (bad pass),,55-75,,
8:23.0,,,55-75,,T. Harris misses 3-pt shot from 25 ft
8:21.0,Defensive rebound by J. Teague,,55-75,,
8:10.0,S. Muhammad misses 3-pt shot from 26 ft,,55-75,,
8:06.0,,,55-75,,Defensive rebound by A. Bradley
8:05.0,,,55-77,2,A. Bradley makes 2-pt shot from 1 ft
8:04.0,Minnesota full timeout,,55-77,,
7:53.0,K. Towns misses 2-pt shot from 2 ft,,55-77,,
7:52.0,,,55-77,,Defensive rebound by A. Drummond
7:47.0,,,55-79,2,A. Bradley makes 2-pt shot from 1 ft (assist by S. Johnson)
7:23.0,S. Muhammad misses 2-pt shot from 8 ft,,55-79,,
7:21.0,Offensive rebound by S. Muhammad,,55-79,,
7:20.0,S. Muhammad misses 2-pt shot from 4 ft,,55-79,,
7:18.0,Offensive rebound by K. Towns,,55-79,,
7:17.0,K. Towns makes 2-pt shot at rim,2,57-79,,
6:55.0,,,57-79,,Turnover by A. Drummond (bad pass; steal by S. Muhammad)
6:46.0,J. Teague makes 2-pt shot from 7 ft (assist by N. Bjelica),2,59-79,,
6:39.0,,,59-79,,Offensive foul by A. Drummond (drawn by J. Teague)
6:39.0,,,59-79,,Turnover by A. Drummond (offensive foul)
6:39.0,,,59-79,,J. Leuer enters the game for A. Drummond
6:27.0,Shooting foul by J. Leuer (drawn by K. Towns),,59-79,,
6:27.0,K. Towns makes free throw 1 of 2,1,60-79,,
6:27.0,K. Towns makes free throw 2 of 2,1,61-79,,
6:12.0,,,61-82,3,T. Harris makes 3-pt shot from 25 ft (assist by S. Johnson)
5:53.0,K. Towns misses 2-pt shot from 5 ft,,61-82,,
5:53.0,,,61-82,,Defensive rebound by Team
5:49.0,,,61-84,2,J. Leuer makes 2-pt shot at rim (assist by R. Jackson)
5:49.0,,,61-84,,Shooting foul by J. Teague (drawn by J. Leuer)
5:49.0,J. Crawford enters the game for S. Muhammad,,61-84,,
5:49.0,,,61-84,,J. Leuer misses free throw 1 of 1
5:46.0,,,61-84,,Offensive rebound by J. Leuer
5:41.0,,,61-84,,S. Johnson misses 3-pt shot from 26 ft
5:39.0,Defensive rebound by K. Towns,,61-84,,
5:29.0,N. Bjelica misses 3-pt shot from 23 ft,,61-84,,
5:25.0,,,61-84,,Defensive rebound by J. Leuer
5:17.0,,,61-86,2,S. Johnson makes 2-pt shot from 15 ft (assist by R. Jackson)
4:50.0,J. Crawford makes 3-pt shot from 24 ft,3,64-86,,
4:28.0,,,64-88,2,R. Jackson makes 2-pt shot from 14 ft
4:13.0,J. Teague misses 2-pt shot from 13 ft,,64-88,,
4:08.0,,,64-88,,Defensive rebound by T. Harris
4:02.0,,,64-88,,R. Jackson misses 3-pt shot from 26 ft
4:01.0,Defensive rebound by J. Crawford,,64-88,,
3:54.0,N. Bjelica makes 3-pt shot from 27 ft (assist by J. Crawford),3,67-88,,
3:36.0,,,67-88,,A. Bradley misses 3-pt shot from 25 ft
3:34.0,Defensive rebound by Team,,67-88,,
3:34.0,G. Dieng enters the game for K. Towns,,67-88,,
3:19.0,Turnover by J. Teague (lost ball; steal by R. Jackson),,67-88,,
3:14.0,,,67-90,2,T. Harris makes 2-pt shot at rim (assist by S. Johnson)
3:14.0,Minnesota full timeout,,67-90,,
3:14.0,,,67-90,,I. Smith enters the game for R. Jackson
3:14.0,,,67-90,,H. Ellenson enters the game for T. Harris
3:14.0,T. Jones enters the game for J. Teague,,67-90,,
3:02.0,A. Wiggins makes 2-pt shot from 7 ft,2,69-90,,
2:53.0,Personal foul by A. Wiggins (drawn by A. Bradley),,69-90,,
2:53.0,,,69-90,,A. Bradley misses free throw 1 of 2
2:53.0,,,69-90,,Offensive rebound by Team
2:53.0,,,69-91,1,A. Bradley makes free throw 2 of 2
2:41.0,Offensive charge foul by A. Wiggins (drawn by I. Smith),,69-91,,
2:41.0,Turnover by A. Wiggins (offensive foul),,69-91,,
2:27.0,,,69-91,,Turnover by S. Johnson (traveling)
2:27.0,,,69-91,,L. Galloway enters the game for A. Bradley
2:13.0,J. Crawford misses 3-pt shot from 28 ft,,69-91,,
2:11.0,,,69-91,,Defensive rebound by J. Leuer
2:02.0,,,69-91,,S. Johnson misses 3-pt shot from 24 ft
1:59.0,Defensive rebound by G. Dieng,,69-91,,
1:41.0,J. Crawford misses 2-pt shot from 20 ft,,69-91,,
1:38.0,,,69-91,,Defensive rebound by I. Smith
1:30.0,,,69-91,,L. Galloway misses 3-pt shot from 22 ft
1:27.0,Defensive rebound by G. Dieng,,69-91,,
1:19.0,J. Crawford misses 2-pt shot from 2 ft,,69-91,,
1:17.0,,,69-91,,Defensive rebound by J. Leuer
1:11.0,,,69-91,,Turnover by J. Leuer (out of bounds lost ball)
1:01.0,Shooting foul by L. Galloway (drawn by T. Jones),,69-91,,
1:01.0,T. Jones makes free throw 1 of 2,1,70-91,,
1:01.0,T. Jones makes free throw 2 of 2,1,71-91,,
0:40.0,,,71-91,,I. Smith misses 2-pt shot from 1 ft
0:38.0,Defensive rebound by N. Bjelica,,71-91,,
0:33.0,A. Wiggins misses 2-pt shot from 1 ft,,71-91,,
0:29.0,Offensive rebound by G. Dieng,,71-91,,
0:29.0,G. Dieng makes 2-pt shot at rim,2,73-91,,
0:20.0,,,73-91,,J. Leuer misses 2-pt shot from 1 ft (block by G. Dieng)
0:17.0,Defensive rebound by G. Dieng,,73-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,J. Crawford makes 2-pt shot from 2 ft,2,75-91,,
11:37.0,,,75-91,,Offensive foul by J. Leuer (drawn by J. Crawford)
11:37.0,,,75-91,,Turnover by J. Leuer (offensive foul)
11:15.0,G. Dieng makes 2-pt shot from 13 ft (assist by T. Jones),2,77-91,,
10:56.0,,,77-91,,T. Harris misses 2-pt shot from 1 ft
10:54.0,Defensive rebound by K. Towns,,77-91,,
10:51.0,J. Crawford misses 3-pt shot from 26 ft,,77-91,,
10:47.0,,,77-91,,Defensive rebound by H. Ellenson
10:42.0,,,77-91,,H. Ellenson misses 3-pt shot from 24 ft
10:39.0,,,77-91,,Offensive rebound by I. Smith
10:37.0,,,77-94,3,T. Harris makes 3-pt shot from 26 ft (assist by I. Smith)
10:20.0,K. Towns misses 3-pt shot from 25 ft,,77-94,,
10:16.0,,,77-94,,Defensive rebound by J. Leuer
10:11.0,,,77-96,2,H. Ellenson makes 2-pt shot at rim (assist by I. Smith)
9:52.0,J. Crawford misses 2-pt shot from 19 ft,,77-96,,
9:49.0,,,77-96,,Defensive rebound by H. Ellenson
9:38.0,,,77-99,3,T. Harris makes 3-pt shot from 26 ft (assist by L. Galloway)
9:17.0,T. Jones misses 2-pt shot from 11 ft (block by L. Galloway),,77-99,,
9:16.0,Offensive rebound by T. Jones,,77-99,,
9:15.0,N. Bjelica misses 3-pt shot from 25 ft,,77-99,,
9:12.0,,,77-99,,Defensive rebound by H. Ellenson
9:10.0,,,77-99,,T. Harris misses 3-pt shot from 22 ft
9:05.0,Defensive rebound by K. Towns,,77-99,,
9:01.0,Shooting foul by I. Smith (drawn by N. Bjelica),,77-99,,
9:01.0,N. Bjelica makes free throw 1 of 2,1,78-99,,
9:01.0,,,78-99,,A. Drummond enters the game for J. Leuer
9:01.0,N. Bjelica makes free throw 2 of 2,1,79-99,,
8:43.0,,,79-101,2,H. Ellenson makes 2-pt shot from 1 ft (assist by I. Smith)
8:20.0,T. Jones makes 2-pt shot from 17 ft (assist by G. Dieng),2,81-101,,
8:04.0,,,81-101,,H. Ellenson misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by K. Towns,,81-101,,
7:52.0,G. Dieng makes 2-pt shot from 13 ft,2,83-101,,
7:29.0,,,83-104,3,H. Ellenson makes 3-pt shot from 25 ft (assist by I. Smith)
7:15.0,J. Crawford misses 2-pt shot from 18 ft,,83-104,,
7:11.0,,,83-104,,Defensive rebound by H. Ellenson
7:08.0,,,83-104,,Turnover by H. Ellenson (traveling)
7:02.0,Offensive foul by T. Jones (drawn by I. Smith),,83-104,,
7:02.0,Turnover by T. Jones (offensive foul),,83-104,,
6:50.0,,,83-104,,Shooting foul by G. Dieng (drawn by A. Drummond)
6:50.0,,,83-104,,Detroit full timeout
6:50.0,T. Gibson enters the game for G. Dieng,,83-104,,
6:50.0,A. Wiggins enters the game for N. Bjelica,,83-104,,
6:50.0,,,83-104,,A. Drummond misses free throw 1 of 2
6:50.0,,,83-104,,Offensive rebound by Team
6:50.0,,,83-104,,S. Johnson enters the game for H. Ellenson
6:50.0,,,83-105,1,A. Drummond makes free throw 2 of 2
6:35.0,J. Crawford makes 3-pt shot from 22 ft (assist by T. Gibson),3,86-105,,
6:11.0,,,86-107,2,A. Drummond makes 2-pt shot at rim
5:53.0,A. Wiggins makes 2-pt shot from 7 ft,2,88-107,,
5:35.0,,,88-110,3,T. Harris makes 3-pt shot from 27 ft (assist by I. Smith)
5:20.0,Shooting foul by S. Johnson (drawn by A. Wiggins),,88-110,,
5:20.0,A. Wiggins misses free throw 1 of 2,,88-110,,
5:20.0,Offensive rebound by Team,,88-110,,
5:20.0,,,88-110,,A. Bradley enters the game for L. Galloway
5:20.0,,,88-110,,R. Jackson enters the game for I. Smith
5:20.0,J. Teague enters the game for T. Jones,,88-110,,
5:20.0,A. Wiggins makes free throw 2 of 2,1,89-110,,
5:07.0,,,89-110,,A. Drummond misses 2-pt shot from 7 ft (block by K. Towns)
5:07.0,,,89-110,,Offensive rebound by Team
5:04.0,Personal foul by J. Crawford (drawn by A. Bradley),,89-110,,
4:56.0,,,89-110,,S. Johnson misses 3-pt shot from 26 ft
4:53.0,Defensive rebound by J. Teague,,89-110,,
4:47.0,K. Towns makes 3-pt shot from 26 ft (assist by J. Teague),3,92-110,,
4:30.0,,,92-112,2,T. Harris makes 2-pt shot at rim (assist by A. Drummond)
