time,Portland,pts.away,score,pts.home,Atlanta
1:42.0,,,21-18,,M. Delaney misses 3-pt shot from 25 ft
1:42.0,,,21-18,,Offensive rebound by J. Collins
1:26.0,,,21-20,2,M. Belinelli makes 2-pt shot from 15 ft
1:00.0,E. Davis makes 2-pt shot from 4 ft,2,23-20,,
0:45.0,,,23-22,2,I. Taylor makes 2-pt shot from 22 ft (assist by M. Delaney)
0:33.0,,,23-22,,Personal foul by I. Taylor (drawn by S. Napier)
0:29.0,S. Napier misses 2-pt shot from 20 ft,,23-22,,
0:26.0,,,23-22,,Defensive rebound by J. Collins
0:09.0,Personal foul by P. Connaughton (drawn by T. Cavanaugh),,23-22,,
0:06.0,,,23-22,,M. Belinelli misses 3-pt shot from 25 ft
0:00.0,,,23-22,,Offensive rebound by T. Cavanaugh
0:00.0,,,23-24,2,T. Cavanaugh makes 2-pt shot from 21 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,S. Napier makes 3-pt shot from 25 ft,3,26-24,,
11:27.0,,,26-27,3,T. Cavanaugh makes 3-pt shot from 25 ft (assist by M. Belinelli)
11:10.0,,,26-27,,Personal foul by I. Taylor (drawn by S. Napier)
11:10.0,Technical foul by S. Napier,,26-27,,
11:10.0,,,26-27,,M. Belinelli misses technical free throw
11:10.0,Defensive rebound by Team,,26-27,,
10:59.0,S. Napier makes 2-pt shot from 1 ft,2,28-27,,
10:47.0,,,28-27,,J. Collins misses 2-pt shot from 17 ft
10:44.0,Defensive rebound by E. Davis,,28-27,,
10:34.0,P. Connaughton makes 3-pt shot from 29 ft (assist by S. Napier),3,31-27,,
10:15.0,,,31-30,3,M. Belinelli makes 3-pt shot from 28 ft (assist by J. Collins)
9:56.0,E. Davis misses 2-pt shot from 1 ft,,31-30,,
9:52.0,Offensive rebound by Z. Collins,,31-30,,
9:46.0,M. Harkless makes 3-pt shot from 24 ft (assist by S. Napier),3,34-30,,
9:35.0,Personal foul by M. Harkless (drawn by M. Delaney),,34-30,,
9:35.0,,,34-30,,M. Plumlee enters the game for J. Collins
9:28.0,,,34-32,2,M. Belinelli makes 2-pt shot from 19 ft (assist by I. Taylor)
9:10.0,S. Napier misses 2-pt shot from 11 ft,,34-32,,
9:07.0,Offensive rebound by E. Davis,,34-32,,
9:06.0,E. Davis makes 2-pt shot from 1 ft,2,36-32,,
8:54.0,,,36-32,,M. Delaney misses 2-pt shot from 1 ft
8:54.0,Defensive rebound by S. Napier,,36-32,,
8:47.0,P. Connaughton misses 3-pt shot from 25 ft,,36-32,,
8:47.0,Offensive rebound by P. Connaughton,,36-32,,
8:42.0,Turnover by S. Napier (bad pass),,36-32,,
8:42.0,,,36-32,,E. Ilyasova enters the game for M. Delaney
8:42.0,,,36-32,,K. Bazemore enters the game for T. Cavanaugh
8:27.0,,,36-32,,M. Belinelli misses 2-pt shot from 17 ft
8:22.0,Defensive rebound by M. Harkless,,36-32,,
8:11.0,,,36-32,,D. Schroder enters the game for M. Belinelli
8:11.0,,,36-32,,T. Waller-Prince enters the game for I. Taylor
8:10.0,Turnover by M. Harkless (bad pass),,36-32,,
7:58.0,,,36-32,,E. Ilyasova misses 2-pt shot from 12 ft
7:54.0,Defensive rebound by P. Connaughton,,36-32,,
7:41.0,P. Connaughton misses 3-pt shot from 23 ft,,36-32,,
7:39.0,Offensive rebound by Z. Collins,,36-32,,
7:25.0,M. Harkless makes 3-pt shot from 24 ft (assist by S. Napier),3,39-32,,
7:21.0,,,39-32,,Atlanta full timeout
7:21.0,E. Turner enters the game for P. Connaughton,,39-32,,
7:21.0,C. McCollum enters the game for S. Napier,,39-32,,
7:21.0,A. Aminu enters the game for Z. Collins,,39-32,,
7:11.0,,,39-35,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by D. Schroder)
6:53.0,Turnover by M. Harkless (traveling),,39-35,,
6:42.0,Personal foul by M. Harkless (drawn by K. Bazemore),,39-35,,
6:35.0,,,39-35,,Turnover by K. Bazemore (bad pass)
6:17.0,E. Turner makes 3-pt shot from 25 ft (assist by A. Aminu),3,42-35,,
5:54.0,,,42-35,,K. Bazemore misses 2-pt shot from 3 ft (block by C. McCollum)
5:49.0,Defensive rebound by E. Turner,,42-35,,
5:43.0,A. Aminu makes 2-pt shot from 1 ft (assist by E. Turner),2,44-35,,
5:43.0,,,44-35,,Violation by E. Ilyasova (def goaltending)
5:26.0,,,44-37,2,D. Schroder makes 2-pt shot from 16 ft (assist by M. Plumlee)
5:14.0,C. McCollum misses 2-pt shot from 19 ft,,44-37,,
5:11.0,,,44-37,,Defensive rebound by M. Plumlee
5:03.0,,,44-37,,D. Schroder misses 2-pt shot from 15 ft
5:02.0,,,44-37,,Offensive rebound by Team
5:02.0,,,44-37,,Turnover by D. Schroder (traveling)
5:02.0,J. Nurkic enters the game for E. Davis,,44-37,,
4:47.0,A. Aminu misses 3-pt shot from 24 ft,,44-37,,
4:43.0,,,44-37,,Defensive rebound by T. Waller-Prince
4:35.0,,,44-39,2,K. Bazemore makes 2-pt shot from 11 ft
4:18.0,Offensive foul by J. Nurkic (drawn by K. Bazemore),,44-39,,
4:18.0,Turnover by J. Nurkic (offensive foul),,44-39,,
4:03.0,,,44-39,,K. Bazemore misses 2-pt shot from 17 ft
4:00.0,Defensive rebound by J. Nurkic,,44-39,,
3:53.0,C. McCollum misses 2-pt shot from 13 ft,,44-39,,
3:49.0,,,44-39,,Defensive rebound by T. Waller-Prince
3:47.0,,,44-39,,T. Waller-Prince misses 2-pt shot from 2 ft (block by A. Aminu)
3:47.0,,,44-39,,Offensive rebound by Team
3:47.0,,,44-39,,J. Collins enters the game for M. Plumlee
3:47.0,S. Napier enters the game for M. Harkless,,44-39,,
3:37.0,,,44-39,,Turnover by T. Waller-Prince (lost ball; steal by A. Aminu)
3:31.0,S. Napier makes 2-pt shot from 2 ft (assist by A. Aminu),2,46-39,,
3:16.0,,,46-39,,E. Ilyasova misses 2-pt shot from 20 ft
3:13.0,Defensive rebound by S. Napier,,46-39,,
2:56.0,S. Napier makes 2-pt shot from 1 ft (assist by J. Nurkic),2,48-39,,
2:56.0,,,48-39,,Atlanta full timeout
2:56.0,,,48-39,,M. Belinelli enters the game for E. Ilyasova
2:56.0,,,48-39,,T. Cavanaugh enters the game for K. Bazemore
2:43.0,,,48-39,,D. Schroder misses 2-pt shot from 14 ft
2:40.0,Defensive rebound by J. Nurkic,,48-39,,
2:38.0,Turnover by J. Nurkic (lost ball; steal by M. Belinelli),,48-39,,
2:34.0,,,48-42,3,M. Belinelli makes 3-pt shot from 25 ft
2:13.0,C. McCollum makes 2-pt shot from 11 ft (assist by E. Turner),2,50-42,,
2:00.0,,,50-42,,T. Waller-Prince misses 3-pt shot from 24 ft
1:58.0,,,50-42,,Offensive rebound by J. Collins
1:56.0,,,50-42,,J. Collins misses 2-pt shot from 1 ft
1:56.0,Defensive rebound by C. McCollum,,50-42,,
1:47.0,J. Nurkic misses 2-pt shot from 4 ft,,50-42,,
1:43.0,,,50-42,,Defensive rebound by J. Collins
1:32.0,,,50-44,2,J. Collins makes 2-pt shot from 1 ft (assist by D. Schroder)
1:11.0,Turnover by A. Aminu (lost ball; steal by T. Cavanaugh),,50-44,,
1:01.0,,,50-44,,J. Collins misses 2-pt shot from 14 ft
0:58.0,Defensive rebound by A. Aminu,,50-44,,
0:39.0,Shooting foul by T. Cavanaugh (drawn by S. Napier),,50-44,,
0:39.0,S. Napier makes free throw 1 of 2,1,51-44,,
0:39.0,E. Davis enters the game for J. Nurkic,,51-44,,
0:39.0,S. Napier makes free throw 2 of 2,1,52-44,,
0:26.0,,,52-44,,T. Cavanaugh misses 2-pt shot from 5 ft
0:23.0,,,52-44,,Offensive rebound by J. Collins
0:16.0,,,52-46,2,T. Cavanaugh makes 2-pt shot from 9 ft (assist by D. Schroder)
0:02.0,E. Turner misses 3-pt shot from 23 ft,,52-46,,
0:02.0,,,52-46,,Defensive rebound by T. Waller-Prince
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,C. McCollum makes 2-pt shot from 1 ft,2,54-46,,
11:28.0,,,54-46,,Turnover by K. Bazemore (bad pass; steal by J. Nurkic)
11:23.0,C. McCollum misses 2-pt shot from 11 ft,,54-46,,
11:20.0,,,54-46,,Defensive rebound by K. Bazemore
11:09.0,,,54-46,,E. Ilyasova misses 2-pt shot from 2 ft
11:04.0,Defensive rebound by E. Turner,,54-46,,
11:02.0,A. Aminu misses 3-pt shot from 25 ft,,54-46,,
10:59.0,Offensive rebound by S. Napier,,54-46,,
10:56.0,A. Aminu makes 3-pt shot from 24 ft (assist by S. Napier),3,57-46,,
10:34.0,,,57-46,,E. Ilyasova misses 2-pt shot from 12 ft
10:31.0,Defensive rebound by S. Napier,,57-46,,
10:20.0,E. Turner misses 2-pt shot from 15 ft,,57-46,,
10:17.0,,,57-46,,Defensive rebound by T. Waller-Prince
9:59.0,,,57-46,,Shooting foul by J. Nurkic (drawn by K. Bazemore)
9:59.0,,,57-47,1,K. Bazemore makes free throw 1 of 2
9:59.0,,,57-48,1,K. Bazemore makes free throw 2 of 2
9:43.0,E. Turner misses 3-pt shot from 25 ft,,57-48,,
9:37.0,,,57-48,,Defensive rebound by E. Ilyasova
9:32.0,,,57-48,,K. Bazemore misses 2-pt shot from 2 ft
9:29.0,Defensive rebound by J. Nurkic,,57-48,,
9:18.0,C. McCollum misses 2-pt shot from 12 ft,,57-48,,
9:14.0,,,57-48,,Defensive rebound by T. Waller-Prince
9:04.0,,,57-50,2,D. Schroder makes 2-pt shot from 17 ft (assist by M. Plumlee)
8:44.0,J. Nurkic misses 2-pt shot from 5 ft,,57-50,,
8:40.0,,,57-50,,Defensive rebound by T. Waller-Prince
8:38.0,,,57-52,2,M. Plumlee makes 2-pt shot from 1 ft (assist by T. Waller-Prince)
8:16.0,E. Turner misses 2-pt shot from 15 ft,,57-52,,
8:13.0,,,57-52,,Defensive rebound by E. Ilyasova
8:04.0,,,57-52,,E. Ilyasova misses 2-pt shot from 17 ft
8:01.0,Defensive rebound by J. Nurkic,,57-52,,
7:54.0,S. Napier makes 2-pt shot from 12 ft,2,59-52,,
7:36.0,,,59-54,2,D. Schroder makes 2-pt shot from 18 ft (assist by K. Bazemore)
7:24.0,C. McCollum makes 2-pt shot from 13 ft,2,61-54,,
7:08.0,,,61-57,3,T. Waller-Prince makes 3-pt shot from 23 ft (assist by E. Ilyasova)
6:53.0,Turnover by S. Napier (lost ball; steal by M. Plumlee),,61-57,,
6:50.0,,,61-57,,Shooting foul by C. McCollum (drawn by K. Bazemore)
6:50.0,,,61-57,,Atlanta full timeout
6:50.0,,,61-57,,K. Bazemore misses free throw 1 of 2
6:50.0,,,61-57,,Offensive rebound by Team
6:50.0,,,61-58,1,K. Bazemore makes free throw 2 of 2
6:38.0,C. McCollum misses 2-pt shot from 18 ft (block by K. Bazemore),,61-58,,
6:35.0,,,61-58,,Defensive rebound by M. Plumlee
6:28.0,,,61-58,,E. Ilyasova misses 3-pt shot from 25 ft
6:26.0,Defensive rebound by C. McCollum,,61-58,,
6:19.0,J. Nurkic misses 2-pt shot from 4 ft,,61-58,,
6:15.0,,,61-58,,Defensive rebound by K. Bazemore
6:12.0,,,61-60,2,K. Bazemore makes 2-pt shot from 1 ft
5:54.0,E. Turner makes 2-pt shot from 19 ft (assist by A. Aminu),2,63-60,,
5:33.0,,,63-60,,K. Bazemore misses 3-pt shot from 23 ft
5:30.0,Defensive rebound by J. Nurkic,,63-60,,
5:21.0,C. McCollum misses 2-pt shot from 12 ft,,63-60,,
5:19.0,Offensive rebound by J. Nurkic,,63-60,,
5:19.0,J. Nurkic makes 2-pt shot at rim,2,65-60,,
5:19.0,Shooting foul by D. Schroder (drawn by J. Nurkic),,65-60,,
5:19.0,,,65-60,,M. Belinelli enters the game for M. Plumlee
5:19.0,,,65-60,,J. Collins enters the game for K. Bazemore
5:19.0,P. Connaughton enters the game for S. Napier,,65-60,,
5:19.0,J. Nurkic makes free throw 1 of 1,1,66-60,,
5:01.0,,,66-60,,E. Ilyasova misses 2-pt shot from 2 ft (block by J. Nurkic)
4:58.0,,,66-60,,Offensive rebound by E. Ilyasova
4:57.0,,,66-60,,E. Ilyasova misses 2-pt shot from 1 ft (block by J. Nurkic)
4:57.0,Defensive rebound by C. McCollum,,66-60,,
4:50.0,Turnover by J. Nurkic (bad pass; steal by E. Ilyasova),,66-60,,
4:42.0,,,66-60,,Shooting foul by J. Nurkic (drawn by D. Schroder)
4:42.0,,,66-61,1,D. Schroder makes free throw 1 of 2
4:42.0,E. Davis enters the game for J. Nurkic,,66-61,,
4:42.0,,,66-62,1,D. Schroder makes free throw 2 of 2
4:27.0,A. Aminu misses 3-pt shot from 24 ft,,66-62,,
4:24.0,,,66-62,,Defensive rebound by D. Schroder
4:20.0,,,66-64,2,D. Schroder makes 2-pt shot from 1 ft
4:03.0,Offensive foul by E. Davis (drawn by D. Schroder),,66-64,,
4:03.0,Turnover by E. Davis (offensive foul),,66-64,,
4:03.0,,,66-64,,T. Cavanaugh enters the game for E. Ilyasova
3:49.0,,,66-67,3,D. Schroder makes 3-pt shot from 26 ft
3:47.0,Portland full timeout,,66-67,,
3:47.0,Z. Collins enters the game for A. Aminu,,66-67,,
3:33.0,,,66-67,,Personal foul by T. Cavanaugh (drawn by Z. Collins)
3:27.0,,,66-67,,Personal foul by T. Cavanaugh (drawn by C. McCollum)
3:19.0,Turnover by P. Connaughton (bad pass; steal by M. Belinelli),,66-67,,
3:19.0,Personal take foul by C. McCollum (drawn by T. Waller-Prince),,66-67,,
3:08.0,,,66-67,,Shooting foul by P. Connaughton (drawn by M. Belinelli)
3:08.0,,,66-68,1,M. Belinelli makes free throw 1 of 2
3:08.0,,,66-69,1,M. Belinelli makes free throw 2 of 2
2:51.0,Z. Collins makes 2-pt shot from 1 ft (assist by C. McCollum),2,68-69,,
2:37.0,,,68-72,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by D. Schroder)
2:22.0,C. McCollum misses 2-pt shot from 14 ft,,68-72,,
2:17.0,,,68-72,,Defensive rebound by T. Cavanaugh
2:13.0,,,68-72,,Turnover by M. Belinelli (bad pass; steal by E. Davis)
2:05.0,P. Connaughton misses 3-pt shot from 25 ft,,68-72,,
2:04.0,Offensive rebound by Team,,68-72,,
2:04.0,,,68-72,,Loose ball foul by J. Collins (drawn by E. Davis)
2:04.0,M. Harkless enters the game for E. Turner,,68-72,,
2:04.0,S. Napier enters the game for C. McCollum,,68-72,,
1:53.0,Z. Collins misses 3-pt shot from 23 ft,,68-72,,
1:51.0,,,68-72,,Defensive rebound by Team
1:40.0,,,68-72,,T. Waller-Prince misses 3-pt shot from 25 ft
1:35.0,,,68-72,,Offensive rebound by T. Cavanaugh
1:31.0,,,68-72,,M. Belinelli misses 2-pt shot from 1 ft
1:31.0,Defensive rebound by Team,,68-72,,
1:28.0,,,68-72,,I. Taylor enters the game for D. Schroder
1:28.0,,,68-72,,M. Delaney enters the game for T. Waller-Prince
1:25.0,S. Napier makes technical free throw,1,69-72,,
1:10.0,Offensive foul by E. Davis (drawn by M. Delaney),,69-72,,
1:10.0,Turnover by E. Davis (offensive foul),,69-72,,
0:52.0,,,69-72,,M. Delaney misses 3-pt shot from 23 ft
0:48.0,Defensive rebound by S. Napier,,69-72,,
0:40.0,S. Napier misses 2-pt shot from 17 ft,,69-72,,
0:38.0,Offensive rebound by E. Davis,,69-72,,
0:37.0,M. Harkless misses 3-pt shot from 24 ft,,69-72,,
0:37.0,,,69-72,,Defensive rebound by J. Collins
0:27.0,,,69-72,,M. Belinelli misses 3-pt shot from 26 ft
0:23.0,Defensive rebound by E. Davis,,69-72,,
0:05.0,Turnover by S. Napier (lost ball; steal by M. Delaney),,69-72,,
0:00.0,,,69-72,,J. Collins misses 2-pt shot from 2 ft (block by P. Connaughton)
0:00.0,,,69-72,,Turnover by I. Taylor (bad pass; steal by Z. Collins)
0:00.0,,,69-72,,Offensive rebound by I. Taylor
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,69-75,3,T. Cavanaugh makes 3-pt shot from 24 ft (assist by J. Collins)
11:25.0,Jump ball: T. Cavanaugh vs. Z. Collins (C. McCollum gains possession),,,,Jump ball: T. Cavanaugh vs. Z. Collins (C. McCollum gains possession)
11:18.0,Z. Collins misses 3-pt shot from 25 ft,,69-75,,
11:13.0,Offensive rebound by E. Davis,,69-75,,
11:07.0,,,69-75,,Personal block foul by I. Taylor (drawn by S. Napier)
10:52.0,Z. Collins misses 2-pt shot from 17 ft,,69-75,,
10:50.0,Offensive rebound by Team,,69-75,,
10:50.0,,,69-75,,Loose ball foul by J. Collins (drawn by E. Davis)
10:38.0,Turnover by C. McCollum (bad pass; steal by J. Collins),,69-75,,
10:34.0,,,69-75,,M. Belinelli misses 2-pt shot from 1 ft
10:30.0,,,69-75,,Offensive rebound by T. Cavanaugh
10:29.0,,,69-75,,Turnover by T. Cavanaugh (bad pass; steal by Z. Collins)
10:29.0,Turnover by Z. Collins (bad pass; steal by J. Collins),,69-75,,
10:29.0,Personal foul by Z. Collins (drawn by J. Collins),,69-75,,
10:29.0,A. Aminu enters the game for Z. Collins,,69-75,,
10:22.0,,,69-77,2,M. Belinelli makes 2-pt shot from 20 ft (assist by J. Collins)
10:19.0,Portland full timeout,,69-77,,
10:01.0,S. Napier misses 3-pt shot from 24 ft,,69-77,,
9:56.0,,,69-77,,Defensive rebound by M. Delaney
9:40.0,,,69-79,2,M. Delaney makes 2-pt shot from 1 ft (assist by I. Taylor)
9:21.0,E. Davis makes 2-pt shot from 10 ft (assist by C. McCollum),2,71-79,,
9:03.0,,,71-82,3,M. Delaney makes 3-pt shot from 25 ft (assist by M. Belinelli)
8:50.0,C. McCollum misses 2-pt shot at rim,,71-82,,
8:49.0,Offensive rebound by E. Davis,,71-82,,
8:49.0,E. Davis makes 2-pt shot at rim,2,73-82,,
8:22.0,,,73-82,,J. Collins misses 2-pt shot from 10 ft
8:19.0,Defensive rebound by E. Davis,,73-82,,
8:14.0,C. McCollum misses 3-pt shot from 24 ft,,73-82,,
8:10.0,,,73-82,,Defensive rebound by T. Cavanaugh
7:53.0,,,73-84,2,I. Taylor makes 2-pt shot from 1 ft (assist by J. Collins)
7:37.0,,,73-84,,Personal foul by I. Taylor (drawn by S. Napier)
7:37.0,,,73-84,,D. Schroder enters the game for M. Belinelli
7:37.0,,,73-84,,E. Ilyasova enters the game for T. Cavanaugh
7:37.0,E. Turner enters the game for M. Harkless,,73-84,,
7:37.0,P. Connaughton enters the game for S. Napier,,73-84,,
7:37.0,J. Nurkic enters the game for E. Davis,,73-84,,
7:37.0,,,73-84,,K. Bazemore enters the game for I. Taylor
7:24.0,P. Connaughton misses 2-pt shot from 17 ft,,73-84,,
7:22.0,Offensive rebound by A. Aminu,,73-84,,
7:20.0,C. McCollum misses 3-pt shot from 24 ft,,73-84,,
7:16.0,Offensive rebound by C. McCollum,,73-84,,
7:14.0,C. McCollum makes 2-pt shot from 6 ft,2,75-84,,
6:58.0,,,75-86,2,J. Collins makes 2-pt shot from 1 ft (assist by E. Ilyasova)
6:58.0,,,75-86,,Shooting foul by J. Nurkic (drawn by J. Collins)
6:58.0,,,75-87,1,J. Collins makes free throw 1 of 1
6:39.0,C. McCollum makes 2-pt shot from 1 ft (assist by J. Nurkic),2,77-87,,
6:21.0,,,77-89,2,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder)
6:10.0,Turnover by C. McCollum (lost ball; steal by K. Bazemore),,77-89,,
6:06.0,,,77-89,,M. Delaney misses 3-pt shot from 24 ft
6:01.0,Defensive rebound by J. Nurkic,,77-89,,
5:55.0,E. Turner makes 2-pt shot at rim,2,79-89,,
5:38.0,,,79-89,,K. Bazemore misses 3-pt shot from 25 ft
5:35.0,,,79-89,,Offensive rebound by J. Collins
5:27.0,,,79-92,3,E. Ilyasova makes 3-pt shot from 23 ft (assist by M. Delaney)
5:06.0,Shooting foul by D. Schroder (drawn by C. McCollum),,79-92,,
5:06.0,C. McCollum misses free throw 1 of 3,,79-92,,
5:06.0,Offensive rebound by Team,,79-92,,
5:06.0,C. McCollum makes free throw 2 of 3,1,80-92,,
5:06.0,,,80-92,,T. Cavanaugh enters the game for M. Delaney
5:06.0,,,80-92,,T. Waller-Prince enters the game for J. Collins
5:06.0,C. McCollum misses free throw 3 of 3,,80-92,,
5:00.0,,,80-92,,Defensive rebound by E. Ilyasova
