time,Miami,pts.away,score,pts.home,Denver
9:17.0,,,39-34,,Offensive rebound by K. Faried
9:16.0,,,39-34,,W. Barton misses 2-pt shot from 2 ft
9:16.0,,,39-34,,Offensive rebound by W. Barton
9:11.0,,,39-36,2,W. Barton makes 2-pt shot at rim
9:11.0,Miami full timeout,,39-36,,
9:04.0,Turnover by J. Richardson (bad pass),,39-36,,
8:42.0,,,39-36,,E. Mudiay misses 2-pt shot from 17 ft
8:39.0,Defensive rebound by J. Johnson,,39-36,,
8:36.0,T. Johnson misses 3-pt shot from 26 ft,,39-36,,
8:31.0,Offensive rebound by J. Richardson,,39-36,,
8:20.0,J. Richardson misses 3-pt shot from 25 ft,,39-36,,
8:17.0,,,39-36,,Defensive rebound by E. Mudiay
8:06.0,,,39-36,,Turnover by E. Mudiay (bad pass; steal by J. Winslow)
8:03.0,T. Johnson makes 2-pt shot from 2 ft (assist by J. Johnson),2,41-36,,
8:03.0,,,41-36,,Violation by E. Mudiay (def goaltending)
7:44.0,,,41-36,,Offensive charge foul by M. Beasley (drawn by T. Johnson)
7:44.0,,,41-36,,Turnover by M. Beasley (offensive foul)
7:44.0,W. Ellington enters the game for J. Winslow,,41-36,,
7:33.0,K. Olynyk misses 2-pt shot from 18 ft,,41-36,,
7:33.0,,,41-36,,Defensive rebound by Team
7:23.0,,,41-36,,Turnover by W. Barton (bad pass; steal by J. Richardson)
7:19.0,J. Johnson makes 2-pt shot from 2 ft (assist by T. Johnson),2,43-36,,
7:19.0,,,43-36,,Denver full timeout
7:19.0,,,43-36,,G. Harris enters the game for N. Jokic
7:19.0,,,43-36,,P. Millsap enters the game for M. Beasley
7:19.0,G. Dragic enters the game for J. Richardson,,43-36,,
6:54.0,,,43-36,,G. Harris misses 2-pt shot from 10 ft
6:53.0,Defensive rebound by J. Johnson,,43-36,,
6:47.0,G. Dragic misses 2-pt shot from 17 ft,,43-36,,
6:45.0,,,43-36,,Defensive rebound by K. Faried
6:38.0,,,43-36,,W. Barton misses 2-pt shot from 3 ft
6:35.0,Defensive rebound by G. Dragic,,43-36,,
6:32.0,T. Johnson misses 3-pt shot from 22 ft,,43-36,,
6:32.0,Offensive rebound by J. Johnson,,43-36,,
6:16.0,Turnover by K. Olynyk (turnover),,43-36,,
6:16.0,,,43-36,,W. Chandler enters the game for K. Faried
6:16.0,H. Whiteside enters the game for T. Johnson,,43-36,,
6:16.0,D. Waiters enters the game for K. Olynyk,,43-36,,
6:08.0,,,43-39,3,P. Millsap makes 3-pt shot from 25 ft (assist by E. Mudiay)
5:46.0,Turnover by H. Whiteside (lost ball; steal by P. Millsap),,43-39,,
5:43.0,,,43-42,3,G. Harris makes 3-pt shot from 25 ft (assist by P. Millsap)
5:35.0,Miami full timeout,,43-42,,
5:35.0,,,43-42,,J. Murray enters the game for E. Mudiay
5:19.0,D. Waiters misses 3-pt shot from 26 ft,,43-42,,
5:15.0,,,43-42,,Defensive rebound by P. Millsap
5:05.0,,,43-42,,P. Millsap misses 2-pt shot from 7 ft
5:03.0,Defensive rebound by J. Johnson,,43-42,,
4:59.0,Turnover by J. Johnson (traveling),,43-42,,
4:52.0,,,43-42,,Shooting foul by D. Waiters (drawn by W. Barton)
4:52.0,,,43-42,,W. Barton misses free throw 1 of 2
4:52.0,,,43-42,,Offensive rebound by Team
4:52.0,,,43-43,1,W. Barton makes free throw 2 of 2
4:39.0,G. Dragic makes 3-pt shot from 25 ft (assist by W. Ellington),3,46-43,,
4:19.0,,,46-43,,Turnover by P. Millsap (bad pass; steal by H. Whiteside)
4:14.0,J. Johnson makes 2-pt shot from 1 ft (assist by W. Ellington),2,48-43,,
4:01.0,Personal foul by H. Whiteside (drawn by P. Millsap),,48-43,,
4:01.0,,,48-43,,N. Jokic enters the game for W. Barton
3:56.0,,,48-46,3,J. Murray makes 3-pt shot from 25 ft (assist by P. Millsap)
3:31.0,Loose ball foul by H. Whiteside (drawn by W. Chandler),,48-46,,
3:31.0,,,48-47,1,W. Chandler makes free throw 1 of 2
3:31.0,B. Adebayo enters the game for H. Whiteside,,48-47,,
3:31.0,,,48-47,,W. Chandler misses free throw 2 of 2
3:30.0,W. Ellington misses 3-pt shot from 25 ft,,48-47,,
3:30.0,,,48-47,,Defensive rebound by W. Chandler
3:28.0,Defensive rebound by B. Adebayo,,48-47,,
3:15.0,D. Waiters makes 2-pt shot from 3 ft,2,50-47,,
3:01.0,,,50-47,,P. Millsap misses 3-pt shot from 25 ft
2:59.0,Defensive rebound by W. Ellington,,50-47,,
2:55.0,Turnover by D. Waiters (bad pass; steal by N. Jokic),,50-47,,
2:50.0,,,50-47,,G. Harris misses 3-pt shot from 25 ft
2:44.0,Defensive rebound by W. Ellington,,50-47,,
2:34.0,,,50-47,,Personal foul by J. Murray (drawn by B. Adebayo)
2:22.0,D. Waiters makes 3-pt shot from 25 ft,3,53-47,,
2:07.0,,,53-47,,P. Millsap misses 3-pt shot from 25 ft
2:04.0,,,53-47,,Offensive rebound by N. Jokic
2:02.0,,,53-49,2,N. Jokic makes 2-pt shot from 3 ft
1:51.0,G. Dragic makes 2-pt shot from 13 ft,2,55-49,,
1:34.0,,,55-51,2,P. Millsap makes 2-pt shot from 3 ft
1:21.0,W. Ellington misses 3-pt shot from 23 ft,,55-51,,
1:16.0,,,55-51,,Defensive rebound by N. Jokic
1:10.0,,,55-51,,Turnover by W. Chandler (turnover)
1:07.0,J. Richardson enters the game for D. Waiters,,55-51,,
0:53.0,W. Ellington misses 3-pt shot from 23 ft,,55-51,,
0:50.0,,,55-51,,Defensive rebound by P. Millsap
0:38.0,,,55-51,,J. Murray misses 2-pt shot from 3 ft
0:36.0,Defensive rebound by J. Johnson,,55-51,,
0:23.0,,,55-51,,Personal foul by J. Murray (drawn by B. Adebayo)
0:11.0,G. Dragic makes 3-pt shot from 25 ft,3,58-51,,
0:01.0,,,58-51,,J. Murray misses 2-pt shot from 8 ft (block by J. Johnson)
0:01.0,,,58-51,,Offensive rebound by J. Murray
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,58-51,,W. Chandler misses 2-pt shot from 9 ft
11:42.0,Defensive rebound by D. Waiters,,58-51,,
11:31.0,Turnover by J. Richardson (step out of bounds),,58-51,,
11:12.0,,,58-51,,Shooting foul by O. White (drawn by P. Millsap)
11:12.0,,,58-52,1,P. Millsap makes free throw 1 of 2
11:12.0,,,58-53,1,P. Millsap makes free throw 2 of 2
10:58.0,Shooting foul by N. Jokic (drawn by H. Whiteside),,58-53,,
10:58.0,H. Whiteside makes free throw 1 of 2,1,59-53,,
10:58.0,H. Whiteside misses free throw 2 of 2,,59-53,,
10:55.0,,,59-53,,Defensive rebound by N. Jokic
10:49.0,Personal foul by J. Richardson (drawn by G. Harris),,59-53,,
10:44.0,,,59-53,,Turnover by N. Jokic (bad pass; steal by G. Dragic)
10:43.0,,,59-53,,Personal foul by N. Jokic (drawn by G. Dragic)
10:31.0,H. Whiteside misses 2-pt shot from 13 ft,,59-53,,
10:27.0,,,59-53,,Defensive rebound by N. Jokic
10:19.0,,,59-55,2,P. Millsap makes 2-pt shot from 2 ft
9:57.0,G. Dragic misses 2-pt shot from 16 ft,,59-55,,
9:54.0,,,59-55,,Defensive rebound by P. Millsap
9:52.0,,,59-55,,Offensive charge foul by G. Harris
9:52.0,,,59-55,,Turnover by G. Harris (offensive foul)
9:52.0,,,59-55,,Technical foul by G. Harris
9:52.0,G. Dragic makes technical free throw,1,60-55,,
9:45.0,,,60-55,,Personal foul by W. Chandler (drawn by H. Whiteside)
9:31.0,D. Waiters misses 3-pt shot from 25 ft,,60-55,,
9:29.0,Offensive rebound by O. White,,60-55,,
9:29.0,O. White makes 2-pt shot from 2 ft,2,62-55,,
9:29.0,Shooting foul by N. Jokic (drawn by O. White),,62-55,,
9:29.0,O. White makes free throw 1 of 1,1,63-55,,
9:18.0,,,63-58,3,G. Harris makes 3-pt shot from 25 ft (assist by J. Murray)
9:01.0,Turnover by J. Richardson (bad pass),,63-58,,
8:55.0,,,63-58,,J. Murray misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by J. Richardson,,63-58,,
8:37.0,G. Dragic misses 2-pt shot from 10 ft (block by G. Harris),,63-58,,
8:37.0,Offensive rebound by Team,,63-58,,
8:30.0,G. Dragic misses 3-pt shot from 23 ft,,63-58,,
8:28.0,,,63-58,,Defensive rebound by Team
8:13.0,,,63-58,,P. Millsap misses 2-pt shot from 2 ft (block by H. Whiteside)
8:09.0,Defensive rebound by D. Waiters,,63-58,,
8:01.0,O. White misses 3-pt shot from 24 ft,,63-58,,
7:58.0,,,63-58,,Defensive rebound by N. Jokic
7:52.0,,,63-58,,N. Jokic misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by H. Whiteside,,63-58,,
7:31.0,O. White misses 2-pt shot from 3 ft (block by P. Millsap),,63-58,,
7:29.0,,,63-58,,Defensive rebound by N. Jokic
7:11.0,,,63-60,2,P. Millsap makes 2-pt shot from 10 ft
6:51.0,J. Richardson misses 2-pt shot from 18 ft,,63-60,,
6:48.0,,,63-60,,Defensive rebound by N. Jokic
6:42.0,Personal foul by G. Dragic (drawn by N. Jokic),,63-60,,
6:42.0,,,63-60,,Denver full timeout
6:42.0,T. Johnson enters the game for J. Richardson,,63-60,,
6:42.0,J. Johnson enters the game for O. White,,63-60,,
6:30.0,Personal foul by J. Johnson (drawn by P. Millsap),,63-60,,
6:25.0,,,63-63,3,W. Chandler makes 3-pt shot from 25 ft (assist by P. Millsap)
6:06.0,Turnover by G. Dragic (bad pass),,63-63,,
5:54.0,,,63-65,2,N. Jokic makes 2-pt shot from 7 ft (assist by G. Harris)
5:42.0,Miami full timeout,,63-65,,
5:34.0,T. Johnson misses 2-pt shot from 13 ft,,63-65,,
5:31.0,,,63-65,,Defensive rebound by P. Millsap
5:15.0,,,63-65,,J. Murray misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by Team,,63-65,,
5:14.0,K. Olynyk enters the game for H. Whiteside,,63-65,,
4:58.0,Shooting foul by P. Millsap (drawn by J. Johnson),,63-65,,
4:58.0,J. Johnson makes free throw 1 of 2,1,64-65,,
4:58.0,,,64-65,,M. Plumlee enters the game for N. Jokic
4:58.0,,,64-65,,W. Barton enters the game for W. Chandler
4:58.0,J. Johnson makes free throw 2 of 2,1,65-65,,
4:48.0,,,65-65,,G. Harris misses 2-pt shot from 4 ft (block by T. Johnson)
4:45.0,Defensive rebound by J. Johnson,,65-65,,
4:35.0,Turnover by J. Johnson (lost ball; steal by G. Harris),,65-65,,
4:22.0,,,65-65,,Turnover by P. Millsap (lost ball; steal by J. Johnson)
4:20.0,G. Dragic makes 2-pt shot from 2 ft (assist by J. Johnson),2,67-65,,
4:20.0,Shooting foul by J. Murray (drawn by G. Dragic),,67-65,,
4:20.0,,,67-65,,E. Mudiay enters the game for J. Murray
4:20.0,G. Dragic makes free throw 1 of 1,1,68-65,,
4:09.0,,,68-67,2,M. Plumlee makes 2-pt shot from 1 ft (assist by E. Mudiay)
3:51.0,D. Waiters misses 3-pt shot from 24 ft,,68-67,,
3:47.0,,,68-67,,Defensive rebound by G. Harris
3:41.0,Personal foul by J. Johnson (drawn by P. Millsap),,68-67,,
3:41.0,,,68-68,1,P. Millsap makes free throw 1 of 2
3:41.0,,,68-69,1,P. Millsap makes free throw 2 of 2
3:20.0,G. Dragic misses 2-pt shot from 9 ft,,68-69,,
3:17.0,,,68-69,,Defensive rebound by W. Barton
3:11.0,,,68-71,2,W. Barton makes 2-pt shot from 5 ft
2:58.0,Turnover by K. Olynyk (traveling),,68-71,,
2:58.0,J. Richardson enters the game for D. Waiters,,68-71,,
2:45.0,,,68-71,,P. Millsap misses 2-pt shot from 3 ft
2:45.0,,,68-71,,Offensive rebound by P. Millsap
2:45.0,,,68-73,2,P. Millsap makes 2-pt shot from 3 ft
2:45.0,,,68-73,,Shooting foul by T. Johnson (drawn by P. Millsap)
2:45.0,,,68-73,,P. Millsap misses free throw 1 of 1
2:45.0,Defensive rebound by K. Olynyk,,68-73,,
2:27.0,J. Johnson makes 3-pt shot from 25 ft (assist by T. Johnson),3,71-73,,
2:13.0,,,71-73,,P. Millsap misses 2-pt shot from 14 ft
2:08.0,Defensive rebound by T. Johnson,,71-73,,
2:00.0,K. Olynyk misses 3-pt shot from 23 ft,,71-73,,
1:57.0,,,71-73,,Defensive rebound by P. Millsap
1:48.0,,,71-73,,Shooting foul by G. Dragic (drawn by E. Mudiay)
1:48.0,,,71-73,,E. Mudiay misses free throw 1 of 2
1:48.0,,,71-73,,Offensive rebound by Team
1:48.0,,,71-73,,W. Chandler enters the game for P. Millsap
1:48.0,J. Winslow enters the game for G. Dragic,,71-73,,
1:48.0,,,71-74,1,E. Mudiay makes free throw 2 of 2
1:42.0,Offensive charge foul by J. Johnson (drawn by M. Plumlee),,71-74,,
1:42.0,Turnover by J. Johnson (offensive foul),,71-74,,
1:33.0,,,71-76,2,E. Mudiay makes 2-pt shot from 2 ft
1:10.0,T. Johnson misses 2-pt shot from 9 ft (block by G. Harris),,71-76,,
1:06.0,,,71-76,,Defensive rebound by W. Barton
0:49.0,,,71-76,,W. Chandler misses 2-pt shot from 4 ft
0:46.0,Defensive rebound by J. Richardson,,71-76,,
0:29.0,K. Olynyk misses 2-pt shot from 11 ft (block by M. Plumlee),,71-76,,
0:26.0,,,71-76,,Defensive rebound by W. Barton
0:06.0,,,71-76,,W. Barton misses 3-pt shot from 25 ft
0:06.0,,,71-76,,M. Plumlee misses 2-pt shot at rim
0:06.0,Defensive rebound by K. Olynyk,,71-76,,
0:02.0,,,71-76,,Defensive rebound by M. Plumlee
0:00.0,K. Olynyk misses 3-pt shot from 42 ft,,71-76,,
0:00.0,Offensive rebound by Team,,71-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,J. Richardson misses 2-pt shot from 17 ft,,71-76,,
11:36.0,,,71-76,,Defensive rebound by W. Chandler
11:31.0,Personal foul by W. Ellington (drawn by E. Mudiay),,71-76,,
11:26.0,,,71-76,,E. Mudiay misses 2-pt shot from 18 ft
11:23.0,Defensive rebound by K. Olynyk,,71-76,,
11:18.0,Turnover by K. Olynyk (bad pass),,71-76,,
11:08.0,,,71-76,,N. Jokic misses 3-pt shot from 25 ft
11:04.0,Defensive rebound by J. Richardson,,71-76,,
10:56.0,T. Johnson misses 3-pt shot from 26 ft,,71-76,,
10:53.0,,,71-76,,Defensive rebound by N. Jokic
10:47.0,,,71-79,3,W. Chandler makes 3-pt shot from 24 ft (assist by W. Barton)
10:33.0,K. Olynyk makes 3-pt shot from 25 ft (assist by J. Richardson),3,74-79,,
10:19.0,,,74-82,3,N. Jokic makes 3-pt shot from 26 ft (assist by E. Mudiay)
9:52.0,K. Olynyk misses 2-pt shot from 6 ft (block by N. Jokic),,74-82,,
9:52.0,Offensive rebound by Team,,74-82,,
9:52.0,J. Winslow misses 3-pt shot from 80 ft,,74-82,,
9:52.0,Offensive rebound by J. Winslow,,74-82,,
9:50.0,Shooting foul by M. Beasley (drawn by J. Winslow),,74-82,,
9:50.0,J. Winslow misses free throw 1 of 2,,74-82,,
9:50.0,Offensive rebound by Team,,74-82,,
9:50.0,J. Winslow misses free throw 2 of 2,,74-82,,
9:46.0,,,74-82,,Defensive rebound by W. Barton
9:37.0,,,74-82,,W. Barton misses 2-pt shot from 2 ft
9:35.0,Defensive rebound by K. Olynyk,,74-82,,
9:27.0,J. Richardson misses 3-pt shot from 26 ft,,74-82,,
9:22.0,,,74-82,,Defensive rebound by W. Chandler
9:03.0,,,74-82,,W. Chandler misses 2-pt shot from 11 ft
9:00.0,Defensive rebound by W. Ellington,,74-82,,
8:53.0,J. Richardson misses 3-pt shot from 23 ft,,74-82,,
8:49.0,,,74-82,,Defensive rebound by N. Jokic
8:40.0,,,74-82,,N. Jokic misses 2-pt shot from 5 ft (block by J. Richardson)
8:35.0,Defensive rebound by J. Richardson,,74-82,,
8:34.0,J. Richardson makes 2-pt shot from 3 ft,2,76-82,,
8:34.0,,,76-82,,Denver full timeout
8:17.0,,,76-82,,M. Beasley misses 3-pt shot from 23 ft
8:14.0,Defensive rebound by J. Richardson,,76-82,,
8:02.0,W. Ellington misses 3-pt shot from 24 ft (block by E. Mudiay),,76-82,,
8:00.0,,,76-82,,Defensive rebound by E. Mudiay
7:59.0,,,76-84,2,E. Mudiay makes 2-pt shot from 1 ft
7:37.0,T. Johnson misses 2-pt shot from 18 ft,,76-84,,
7:34.0,,,76-84,,Defensive rebound by E. Mudiay
7:32.0,Personal foul by K. Olynyk (drawn by N. Jokic),,76-84,,
7:32.0,,,76-84,,G. Harris enters the game for M. Beasley
7:32.0,G. Dragic enters the game for J. Richardson,,76-84,,
7:24.0,Shooting block foul by G. Dragic (drawn by E. Mudiay),,76-84,,
7:24.0,,,76-85,1,E. Mudiay makes free throw 1 of 2
7:24.0,,,76-85,,E. Mudiay misses free throw 2 of 2
7:21.0,Defensive rebound by J. Winslow,,76-85,,
7:18.0,Miami full timeout,,76-85,,
7:18.0,,,76-85,,P. Millsap enters the game for N. Jokic
7:18.0,J. Johnson enters the game for W. Ellington,,76-85,,
7:18.0,H. Whiteside enters the game for K. Olynyk,,76-85,,
7:18.0,D. Waiters enters the game for J. Winslow,,76-85,,
7:11.0,G. Dragic misses 3-pt shot from 25 ft,,76-85,,
7:07.0,Offensive rebound by J. Johnson,,76-85,,
7:02.0,Turnover by H. Whiteside (turnover),,76-85,,
6:45.0,,,76-85,,Turnover by P. Millsap (turnover)
6:24.0,H. Whiteside misses 2-pt shot from 4 ft,,76-85,,
6:22.0,Offensive rebound by J. Johnson,,76-85,,
6:19.0,G. Dragic misses 3-pt shot from 26 ft,,76-85,,
6:14.0,Offensive rebound by H. Whiteside,,76-85,,
6:14.0,H. Whiteside makes 2-pt shot at rim,2,78-85,,
5:53.0,,,78-85,,Turnover by P. Millsap (bad pass; steal by H. Whiteside)
5:48.0,Turnover by D. Waiters (lost ball; steal by W. Barton),,78-85,,
5:43.0,,,78-85,,Turnover by W. Barton (bad pass; steal by G. Dragic)
5:41.0,Turnover by J. Johnson (bad pass),,78-85,,
5:24.0,,,78-87,2,E. Mudiay makes 2-pt shot from 10 ft
5:12.0,,,78-87,,N. Jokic enters the game for W. Barton
5:12.0,J. Richardson enters the game for T. Johnson,,78-87,,
5:02.0,H. Whiteside misses 2-pt shot from 6 ft,,78-87,,
5:01.0,,,78-87,,Defensive rebound by W. Chandler
4:56.0,,,78-87,,P. Millsap misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by J. Richardson,,78-87,,
4:38.0,J. Johnson makes 3-pt shot from 23 ft (assist by J. Richardson),3,81-87,,
4:11.0,,,81-89,2,W. Chandler makes 2-pt shot from 3 ft
4:04.0,D. Waiters makes 2-pt shot from 3 ft (assist by G. Dragic),2,83-89,,
4:04.0,,,83-89,,Denver full timeout
3:54.0,,,83-89,,N. Jokic misses 2-pt shot from 13 ft
3:53.0,,,83-89,,Offensive rebound by Team
3:40.0,,,83-89,,E. Mudiay misses 2-pt shot from 14 ft
3:36.0,Defensive rebound by H. Whiteside,,83-89,,
3:23.0,D. Waiters makes 3-pt shot from 26 ft (assist by J. Johnson),3,86-89,,
3:03.0,Personal foul by G. Dragic (drawn by N. Jokic),,86-89,,
2:55.0,,,86-89,,E. Mudiay misses 2-pt shot from 4 ft
2:53.0,Defensive rebound by G. Dragic,,86-89,,
2:43.0,H. Whiteside makes 2-pt shot from 2 ft (assist by G. Dragic),2,88-89,,
2:17.0,,,88-89,,E. Mudiay misses 2-pt shot from 16 ft
2:15.0,Defensive rebound by G. Dragic,,88-89,,
2:12.0,J. Richardson makes 3-pt shot from 25 ft (assist by G. Dragic),3,91-89,,
2:11.0,,,91-89,,Denver full timeout
2:11.0,,,91-89,,W. Barton enters the game for E. Mudiay
1:49.0,,,91-89,,P. Millsap misses 2-pt shot from 5 ft
1:48.0,,,91-89,,Offensive rebound by P. Millsap
1:48.0,,,91-89,,Shooting foul by J. Richardson (drawn by P. Millsap)
1:48.0,,,91-89,,P. Millsap misses free throw 1 of 2
1:48.0,,,91-89,,Offensive rebound by Team
1:48.0,,,91-90,1,P. Millsap makes free throw 2 of 2
