time,Brooklyn,pts.away,score,pts.home,Sacramento
4:53.0,D. Cunningham makes free throw 1 of 2,1,70-66,,
4:53.0,C. LeVert enters the game for A. Crabbe,,70-66,,
4:53.0,,,70-66,,B. Hield enters the game for B. Bogdanovic
4:53.0,D. Cunningham makes free throw 2 of 2,1,71-66,,
4:34.0,,,71-66,,D. Fox misses 2-pt shot from 15 ft
4:31.0,Defensive rebound by J. Harris,,71-66,,
4:17.0,D. Cunningham misses 2-pt shot from 4 ft,,71-66,,
4:14.0,,,71-66,,Defensive rebound by G. Temple
3:59.0,,,71-68,2,J. Jackson makes 2-pt shot from 2 ft (assist by W. Cauley-Stein)
3:51.0,D. Cunningham misses 2-pt shot from 2 ft,,71-68,,
3:48.0,,,71-68,,Defensive rebound by B. Hield
3:40.0,,,71-70,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by B. Hield)
3:21.0,S. Dinwiddie misses 3-pt shot from 25 ft,,71-70,,
3:17.0,,,71-70,,Defensive rebound by G. Temple
3:12.0,,,71-70,,Turnover by B. Hield (bad pass; steal by S. Dinwiddie)
3:06.0,J. Harris makes 3-pt shot from 22 ft (assist by C. LeVert),3,74-70,,
2:40.0,,,74-70,,Shooting foul by D. Cunningham (drawn by W. Cauley-Stein)
2:40.0,Brooklyn full timeout,,74-70,,
2:40.0,,,74-70,,F. Mason enters the game for D. Fox
2:40.0,R. Hollis-Jefferson enters the game for D. Carroll,,74-70,,
2:40.0,,,74-71,1,W. Cauley-Stein makes free throw 1 of 2
2:40.0,,,74-71,,W. Cauley-Stein misses free throw 2 of 2
2:32.0,Defensive rebound by D. Cunningham,,74-71,,
2:16.0,S. Dinwiddie misses 3-pt shot from 27 ft,,74-71,,
2:10.0,,,74-71,,Defensive rebound by J. Jackson
2:01.0,,,74-73,2,B. Hield makes 2-pt shot from 1 ft (assist by W. Cauley-Stein)
1:43.0,Turnover by D. Cunningham (bad pass; steal by G. Temple),,74-73,,
1:39.0,,,74-73,,F. Mason misses 2-pt shot from 7 ft
1:37.0,Defensive rebound by Team,,74-73,,
1:37.0,,,74-73,,K. Koufos enters the game for W. Cauley-Stein
1:37.0,D. Russell enters the game for S. Dinwiddie,,74-73,,
1:26.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,74-73,,
1:22.0,,,74-73,,Defensive rebound by K. Koufos
1:08.0,,,74-73,,F. Mason misses 2-pt shot from 2 ft
1:06.0,Defensive rebound by Team,,74-73,,
1:06.0,,,74-73,,Violation by F. Mason (kicked ball)
0:46.0,J. Harris makes 2-pt shot from 1 ft (assist by D. Russell),2,76-73,,
0:34.0,,,76-73,,F. Mason misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by R. Hollis-Jefferson,,76-73,,
0:17.0,D. Cunningham makes 2-pt shot from 1 ft (assist by D. Russell),2,78-73,,
0:17.0,Shooting foul by J. Jackson (drawn by D. Cunningham),,78-73,,
0:17.0,D. Cunningham makes free throw 1 of 1,1,79-73,,
0:00.0,,,79-73,,B. Hield misses 2-pt shot from 19 ft
0:00.0,,,79-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,79-73,,B. Bogdanovic misses 2-pt shot from 17 ft
11:35.0,Defensive rebound by D. Cunningham,,79-73,,
11:20.0,Turnover by C. LeVert (bad pass; steal by B. Bogdanovic),,79-73,,
11:16.0,,,79-75,2,F. Mason makes 2-pt shot from 1 ft (assist by K. Koufos)
10:55.0,C. LeVert misses 3-pt shot from 25 ft,,79-75,,
10:55.0,,,79-75,,Defensive rebound by Team
10:40.0,,,79-77,2,B. Bogdanovic makes 2-pt shot from 13 ft
10:21.0,C. LeVert misses 2-pt shot from 2 ft,,79-77,,
10:18.0,,,79-77,,Defensive rebound by K. Koufos
10:08.0,,,79-77,,B. Hield misses 2-pt shot from 16 ft
10:04.0,Defensive rebound by R. Hollis-Jefferson,,79-77,,
9:47.0,Turnover by J. Harris (lost ball; steal by G. Temple),,79-77,,
9:44.0,,,79-79,2,G. Temple makes 2-pt shot from 1 ft
9:26.0,Turnover by D. Russell (bad pass; steal by F. Mason),,79-79,,
9:18.0,,,79-79,,F. Mason misses 2-pt shot from 3 ft
9:15.0,,,79-79,,Offensive rebound by F. Mason
9:13.0,,,79-79,,F. Mason misses 2-pt shot from 1 ft
9:11.0,Defensive rebound by R. Hollis-Jefferson,,79-79,,
8:58.0,D. Russell misses 3-pt shot from 25 ft,,79-79,,
8:55.0,,,79-79,,Defensive rebound by K. Koufos
8:41.0,,,79-81,2,B. Bogdanovic makes 2-pt shot from 11 ft
8:39.0,Brooklyn full timeout,,79-81,,
8:39.0,A. Crabbe enters the game for D. Cunningham,,79-81,,
8:39.0,J. Allen enters the game for C. LeVert,,79-81,,
8:22.0,Turnover by J. Allen (traveling),,79-81,,
8:07.0,,,79-84,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by K. Koufos)
7:55.0,D. Russell makes 3-pt shot from 25 ft (assist by J. Harris),3,82-84,,
7:36.0,,,82-86,2,K. Koufos makes 2-pt shot from 8 ft
7:18.0,A. Crabbe misses 3-pt shot from 25 ft,,82-86,,
7:11.0,Offensive rebound by R. Hollis-Jefferson,,82-86,,
7:11.0,Turnover by R. Hollis-Jefferson (bad pass; steal by B. Hield),,82-86,,
7:04.0,,,82-88,2,F. Mason makes 2-pt shot at rim (assist by B. Hield)
6:39.0,Shooting foul by K. Koufos (drawn by R. Hollis-Jefferson),,82-88,,
6:39.0,R. Hollis-Jefferson makes free throw 1 of 2,1,83-88,,
6:39.0,S. Dinwiddie enters the game for D. Russell,,83-88,,
6:39.0,R. Hollis-Jefferson makes free throw 2 of 2,1,84-88,,
6:20.0,,,84-90,2,G. Temple makes 2-pt shot from 17 ft
5:54.0,J. Harris misses 2-pt shot from 4 ft,,84-90,,
5:52.0,Offensive rebound by J. Harris,,84-90,,
5:52.0,Shooting foul by K. Koufos (drawn by R. Hollis-Jefferson),,84-90,,
5:52.0,R. Hollis-Jefferson makes free throw 1 of 2,1,85-90,,
5:52.0,D. Carroll enters the game for J. Harris,,85-90,,
5:52.0,R. Hollis-Jefferson misses free throw 2 of 2,,85-90,,
5:48.0,,,85-90,,Defensive rebound by G. Temple
5:33.0,,,85-90,,K. Koufos misses 2-pt shot from 9 ft
5:30.0,,,85-90,,Offensive rebound by K. Koufos
5:30.0,,,85-90,,Sacramento full timeout
5:30.0,,,85-90,,D. Fox enters the game for F. Mason
5:30.0,D. Russell enters the game for R. Hollis-Jefferson,,85-90,,
5:17.0,,,85-92,2,D. Fox makes 2-pt shot from 7 ft (assist by K. Koufos)
4:52.0,A. Crabbe misses 2-pt shot from 8 ft,,85-92,,
4:52.0,Offensive rebound by A. Crabbe,,85-92,,
4:50.0,A. Crabbe makes 2-pt shot from 6 ft,2,87-92,,
4:26.0,,,87-92,,D. Fox misses 2-pt shot from 5 ft (block by J. Allen)
4:25.0,Defensive rebound by D. Carroll,,87-92,,
4:20.0,D. Carroll makes 2-pt shot from 5 ft (assist by D. Russell),2,89-92,,
3:58.0,,,89-94,2,G. Temple makes 2-pt shot from 14 ft (assist by K. Koufos)
3:48.0,,,89-94,,W. Cauley-Stein enters the game for B. Hield
3:48.0,,,89-94,,S. Labissiere enters the game for K. Koufos
3:43.0,A. Crabbe misses 3-pt shot from 25 ft,,89-94,,
3:43.0,Offensive rebound by J. Allen,,89-94,,
3:35.0,D. Russell makes 3-pt shot from 26 ft,3,92-94,,
3:15.0,,,92-94,,W. Cauley-Stein misses 2-pt shot from 7 ft
3:12.0,Defensive rebound by D. Russell,,92-94,,
3:03.0,D. Russell makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,95-94,,
2:44.0,,,95-94,,B. Bogdanovic misses 2-pt shot from 10 ft
2:42.0,Defensive rebound by S. Dinwiddie,,95-94,,
2:29.0,D. Russell misses 3-pt shot from 22 ft,,95-94,,
2:29.0,,,95-94,,Defensive rebound by B. Bogdanovic
2:24.0,Personal foul by D. Carroll (drawn by D. Fox),,95-94,,
2:24.0,,,95-94,,B. Hield enters the game for G. Temple
