time,Sacramento,pts.away,score,pts.home,Chicago
6:39.0,,,12-14,,Turnover by L. Markkanen (lost ball; steal by G. Hill)
6:33.0,G. Temple makes 2-pt shot from 1 ft (assist by G. Hill),2,14-14,,
6:17.0,,,14-14,,D. Valentine misses 3-pt shot from 23 ft
6:14.0,Defensive rebound by G. Hill,,14-14,,
6:05.0,Z. Randolph misses 3-pt shot from 26 ft,,14-14,,
6:02.0,,,14-14,,Defensive rebound by D. Valentine
5:47.0,,,14-16,2,R. Lopez makes 2-pt shot from 6 ft
5:21.0,S. Labissiere misses 2-pt shot from 20 ft,,14-16,,
5:21.0,,,14-16,,Defensive rebound by J. Holiday
5:09.0,,,14-16,,Turnover by K. Dunn (bad pass; steal by G. Hill)
5:05.0,G. Hill makes 2-pt shot at rim,2,16-16,,
5:05.0,,,16-16,,Chicago full timeout
5:05.0,W. Cauley-Stein enters the game for S. Labissiere,,16-16,,
5:04.0,G. Temple misses 2-pt shot from 1 ft,,16-16,,
5:04.0,Offensive rebound by G. Hill,,16-16,,
4:50.0,,,16-19,3,L. Markkanen makes 3-pt shot from 22 ft (assist by K. Dunn)
4:39.0,Turnover by D. Fox (lost ball; steal by K. Dunn),,16-19,,
4:35.0,,,16-21,2,L. Markkanen makes 2-pt shot at rim (assist by K. Dunn)
4:23.0,D. Fox makes 2-pt shot from 18 ft,2,18-21,,
4:12.0,Personal foul by D. Fox (drawn by K. Dunn),,18-21,,
4:12.0,,,18-21,,P. Zipser enters the game for D. Valentine
3:58.0,,,18-21,,K. Dunn misses 3-pt shot from 25 ft (block by D. Fox)
3:53.0,Defensive rebound by Z. Randolph,,18-21,,
3:34.0,Z. Randolph makes 2-pt shot from 9 ft (assist by G. Temple),2,20-21,,
3:34.0,Shooting foul by L. Markkanen (drawn by Z. Randolph),,20-21,,
3:34.0,,,20-21,,D. Nwaba enters the game for L. Markkanen
3:34.0,F. Mason enters the game for D. Fox,,20-21,,
3:34.0,Z. Randolph makes free throw 1 of 1,1,21-21,,
3:19.0,,,21-21,,Turnover by P. Zipser (traveling)
3:19.0,,,21-21,,J. Grant enters the game for K. Dunn
3:04.0,Z. Randolph makes 2-pt shot from 21 ft (assist by W. Cauley-Stein),2,23-21,,
2:51.0,Personal foul by Z. Randolph (drawn by R. Lopez),,23-21,,
2:51.0,Sacramento full timeout,,23-21,,
2:51.0,B. Hield enters the game for G. Temple,,23-21,,
2:44.0,,,23-21,,P. Zipser misses 3-pt shot from 22 ft
2:41.0,,,23-21,,Offensive rebound by R. Lopez
2:36.0,,,23-23,2,D. Nwaba makes 2-pt shot from 2 ft
2:20.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by Z. Randolph),2,25-23,,
2:06.0,,,25-23,,J. Grant misses 3-pt shot from 25 ft
2:04.0,,,25-23,,Offensive rebound by P. Zipser
2:03.0,,,25-26,3,J. Holiday makes 3-pt shot from 24 ft (assist by D. Nwaba)
1:49.0,W. Cauley-Stein misses 2-pt shot from 2 ft,,25-26,,
1:44.0,Offensive rebound by W. Cauley-Stein,,25-26,,
1:44.0,W. Cauley-Stein makes 2-pt shot at rim,2,27-26,,
1:27.0,,,27-28,2,P. Zipser makes 2-pt shot from 12 ft (assist by J. Holiday)
1:14.0,Shooting foul by P. Zipser (drawn by F. Mason),,27-28,,
1:14.0,F. Mason makes free throw 1 of 2,1,28-28,,
1:14.0,B. Bogdanovic enters the game for G. Hill,,28-28,,
1:14.0,K. Koufos enters the game for Z. Randolph,,28-28,,
1:14.0,F. Mason makes free throw 2 of 2,1,29-28,,
1:06.0,Personal foul by W. Cauley-Stein (drawn by P. Zipser),,29-28,,
0:52.0,,,29-28,,D. Nwaba misses 2-pt shot from 2 ft (block by W. Cauley-Stein)
0:51.0,Defensive rebound by B. Bogdanovic,,29-28,,
0:51.0,Turnover by B. Bogdanovic (bad pass),,29-28,,
0:51.0,,,29-28,,C. Felicio enters the game for R. Lopez
0:38.0,,,29-30,2,C. Felicio makes 2-pt shot at rim (assist by J. Holiday)
0:24.0,B. Hield misses 2-pt shot from 6 ft,,29-30,,
0:21.0,,,29-30,,Defensive rebound by D. Nwaba
0:19.0,,,29-30,,Shooting foul by F. Mason (drawn by D. Nwaba)
0:19.0,,,29-31,1,D. Nwaba makes free throw 1 of 2
0:19.0,,,29-31,,D. Nwaba misses free throw 2 of 2
0:17.0,Defensive rebound by K. Koufos,,29-31,,
0:06.0,F. Mason misses 2-pt shot from 2 ft,,29-31,,
0:04.0,,,29-31,,Defensive rebound by P. Zipser
0:00.0,,,29-31,,J. Grant misses 2-pt shot from 1 ft (block by W. Cauley-Stein)
0:00.0,,,29-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,29-33,2,P. Zipser makes 2-pt shot from 21 ft
11:12.0,W. Cauley-Stein makes 2-pt shot from 2 ft,2,31-33,,
10:55.0,,,31-33,,Shooting foul by W. Cauley-Stein (drawn by C. Felicio)
10:55.0,,,31-34,1,C. Felicio makes free throw 1 of 2
10:55.0,,,31-35,1,C. Felicio makes free throw 2 of 2
10:40.0,B. Hield misses 2-pt shot from 18 ft,,31-35,,
10:36.0,,,31-35,,Defensive rebound by D. Nwaba
10:28.0,,,31-35,,Turnover by A. Blakeney (bad pass; steal by B. Hield)
10:21.0,Turnover by B. Hield (bad pass; steal by J. Grant),,31-35,,
10:21.0,,,31-38,3,A. Blakeney makes 3-pt shot from 22 ft (assist by D. Nwaba)
10:21.0,Sacramento full timeout,,31-38,,
10:06.0,W. Cauley-Stein misses 2-pt shot from 16 ft,,31-38,,
10:05.0,Offensive rebound by Team,,31-38,,
10:01.0,F. Mason misses 2-pt shot from 7 ft,,31-38,,
10:00.0,Offensive rebound by Team,,31-38,,
10:00.0,,,31-38,,Loose ball foul by J. Grant (drawn by K. Koufos)
9:47.0,B. Bogdanovic makes 2-pt shot from 18 ft (assist by K. Koufos),2,33-38,,
9:35.0,,,33-38,,Turnover by A. Blakeney (lost ball; steal by B. Bogdanovic)
9:29.0,B. Bogdanovic misses 2-pt shot from 1 ft,,33-38,,
9:29.0,Offensive rebound by W. Cauley-Stein,,33-38,,
9:22.0,W. Cauley-Stein makes 2-pt shot at rim,2,35-38,,
9:15.0,,,35-38,,D. Nwaba misses 2-pt shot from 1 ft
9:11.0,,,35-38,,Offensive rebound by D. Nwaba
9:10.0,,,35-40,2,D. Nwaba makes 2-pt shot from 7 ft
8:58.0,B. Bogdanovic makes 2-pt shot from 20 ft (assist by F. Mason),2,37-40,,
8:46.0,,,37-42,2,C. Felicio makes 2-pt shot from 2 ft (assist by J. Grant)
8:25.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by W. Cauley-Stein),2,39-42,,
8:16.0,,,39-42,,A. Blakeney misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by W. Cauley-Stein,,39-42,,
8:03.0,K. Koufos misses 2-pt shot from 5 ft,,39-42,,
7:59.0,,,39-42,,Defensive rebound by D. Nwaba
7:54.0,,,39-45,3,P. Zipser makes 3-pt shot from 25 ft (assist by D. Nwaba)
7:38.0,K. Koufos makes 2-pt shot from 12 ft (assist by W. Cauley-Stein),2,41-45,,
7:24.0,Sacramento full timeout,,41-45,,
7:24.0,,,41-45,,D. Valentine enters the game for A. Blakeney
7:24.0,V. Carter enters the game for W. Cauley-Stein,,41-45,,
7:24.0,G. Temple enters the game for B. Hield,,41-45,,
7:23.0,,,41-47,2,J. Grant makes 2-pt shot from 2 ft
7:08.0,G. Temple misses 3-pt shot from 25 ft,,41-47,,
7:08.0,,,41-47,,Defensive rebound by C. Felicio
6:57.0,,,41-49,2,J. Grant makes 2-pt shot from 15 ft
6:47.0,V. Carter makes 3-pt shot from 22 ft (assist by F. Mason),3,44-49,,
6:26.0,,,44-51,2,P. Zipser makes 2-pt shot from 7 ft
6:08.0,F. Mason misses 3-pt shot from 23 ft,,44-51,,
6:02.0,,,44-51,,Defensive rebound by D. Valentine
6:02.0,,,44-51,,Shooting foul by V. Carter (drawn by D. Valentine)
6:02.0,,,44-51,,D. Valentine misses free throw 1 of 2
6:02.0,,,44-51,,Offensive rebound by Team
6:02.0,,,44-51,,J. Holiday enters the game for D. Nwaba
6:02.0,Z. Randolph enters the game for K. Koufos,,44-51,,
6:02.0,,,44-52,1,D. Valentine makes free throw 2 of 2
5:50.0,Turnover by Z. Randolph (bad pass),,44-52,,
5:50.0,D. Fox enters the game for F. Mason,,44-52,,
5:37.0,,,44-52,,Turnover by J. Grant (bad pass)
5:19.0,D. Fox makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,46-52,,
4:59.0,,,46-52,,P. Zipser misses 2-pt shot at rim
4:57.0,Defensive rebound by Z. Randolph,,46-52,,
4:53.0,D. Fox misses 2-pt shot from 3 ft,,46-52,,
4:51.0,,,46-52,,Defensive rebound by P. Zipser
4:48.0,,,46-54,2,C. Felicio makes 2-pt shot from 1 ft (assist by D. Valentine)
4:48.0,,,46-54,,Shooting foul by V. Carter (drawn by C. Felicio)
4:48.0,,,46-54,,K. Dunn enters the game for J. Grant
4:48.0,,,46-54,,L. Markkanen enters the game for P. Zipser
4:48.0,,,46-54,,C. Felicio misses free throw 1 of 1
4:31.0,Shooting foul by C. Felicio (drawn by B. Bogdanovic),,46-54,,
4:31.0,B. Bogdanovic makes free throw 1 of 2,1,47-54,,
4:31.0,B. Bogdanovic makes free throw 2 of 2,1,48-54,,
4:16.0,,,48-57,3,J. Holiday makes 3-pt shot from 25 ft (assist by K. Dunn)
3:54.0,Z. Randolph makes 2-pt shot from 14 ft (assist by G. Temple),2,50-57,,
3:30.0,,,50-57,,K. Dunn misses 2-pt shot from 20 ft
3:30.0,Defensive rebound by D. Fox,,50-57,,
3:22.0,V. Carter makes 3-pt shot from 26 ft (assist by B. Bogdanovic),3,53-57,,
3:20.0,,,53-57,,Chicago full timeout
3:20.0,,,53-57,,R. Lopez enters the game for C. Felicio
2:56.0,,,53-57,,L. Markkanen misses 2-pt shot from 11 ft
2:54.0,Defensive rebound by B. Bogdanovic,,53-57,,
2:40.0,Z. Randolph makes 2-pt shot from 2 ft (assist by D. Fox),2,55-57,,
2:25.0,Personal foul by G. Temple (drawn by J. Holiday),,55-57,,
2:16.0,,,55-57,,L. Markkanen misses 2-pt shot from 13 ft (block by Z. Randolph)
2:12.0,,,55-57,,Offensive rebound by D. Valentine
2:11.0,,,55-57,,R. Lopez misses 2-pt shot from 4 ft (block by D. Fox)
2:11.0,,,55-57,,Offensive rebound by Team
2:11.0,,,55-57,,Turnover by Team (shot clock)
2:00.0,Turnover by D. Fox (lost ball; steal by K. Dunn),,55-57,,
1:58.0,Offensive rebound by V. Carter,,55-57,,
1:58.0,,,55-59,2,K. Dunn makes 2-pt shot from 2 ft (assist by R. Lopez)
1:58.0,,,55-59,,Shooting foul by V. Carter (drawn by K. Dunn)
1:58.0,,,55-60,1,K. Dunn makes free throw 1 of 1
1:43.0,Turnover by B. Bogdanovic (bad pass; steal by K. Dunn),,55-60,,
1:38.0,,,55-60,,K. Dunn misses 2-pt shot from 1 ft (block by D. Fox)
1:35.0,Defensive rebound by Z. Randolph,,55-60,,
1:27.0,G. Temple makes 2-pt shot from 2 ft (assist by Z. Randolph),2,57-60,,
1:12.0,,,57-60,,R. Lopez misses 2-pt shot from 8 ft
1:09.0,Defensive rebound by Z. Randolph,,57-60,,
0:58.0,G. Temple misses 3-pt shot from 23 ft,,57-60,,
0:57.0,Offensive rebound by Team,,57-60,,
0:57.0,,,57-60,,Personal foul by L. Markkanen (drawn by Z. Randolph)
0:44.0,Z. Randolph makes 2-pt shot from 7 ft,2,59-60,,
0:35.0,,,59-60,,L. Markkanen misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by D. Fox,,59-60,,
0:29.0,V. Carter misses 2-pt shot from 22 ft,,59-60,,
0:25.0,,,59-60,,Defensive rebound by D. Valentine
0:02.0,,,59-60,,Turnover by K. Dunn (lost ball; steal by G. Temple)
0:00.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,61-60,,
0:00.0,,,61-60,,Violation by J. Holiday (def goaltending)
0:00.0,Shooting foul by D. Valentine (drawn by B. Bogdanovic),,61-60,,
0:00.0,B. Bogdanovic misses free throw 1 of 1,,61-60,,
0:00.0,,,61-60,,Defensive rebound by L. Markkanen
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,61-60,,K. Dunn misses 2-pt shot from 5 ft
11:43.0,,,61-60,,Offensive rebound by R. Lopez
11:43.0,,,61-60,,R. Lopez misses 2-pt shot at rim
11:43.0,,,61-60,,Offensive rebound by R. Lopez
11:43.0,,,61-60,,R. Lopez misses 2-pt shot at rim
11:43.0,,,61-60,,Offensive rebound by Team
11:43.0,Personal foul by D. Fox (drawn by R. Lopez),,61-60,,
11:26.0,,,61-60,,J. Holiday misses 3-pt shot from 22 ft
11:23.0,Defensive rebound by S. Labissiere,,61-60,,
11:05.0,Z. Randolph misses 3-pt shot from 25 ft,,61-60,,
11:01.0,Offensive rebound by D. Fox,,61-60,,
10:59.0,S. Labissiere makes 2-pt shot at rim (assist by D. Fox),2,63-60,,
10:43.0,,,63-62,2,R. Lopez makes 2-pt shot at rim (assist by D. Valentine)
10:27.0,Turnover by G. Temple (out of bounds lost ball),,63-62,,
10:10.0,,,63-62,,D. Valentine misses 3-pt shot from 24 ft
10:08.0,Defensive rebound by G. Temple,,63-62,,
9:58.0,S. Labissiere misses 2-pt shot from 3 ft (block by J. Holiday),,63-62,,
9:55.0,,,63-62,,Defensive rebound by K. Dunn
9:49.0,,,63-62,,R. Lopez misses 2-pt shot from 20 ft
9:47.0,Defensive rebound by S. Labissiere,,63-62,,
9:32.0,G. Temple makes 2-pt shot from 19 ft,2,65-62,,
9:13.0,,,65-64,2,L. Markkanen makes 2-pt shot from 3 ft (assist by J. Holiday)
8:47.0,G. Hill misses 2-pt shot from 4 ft,,65-64,,
8:44.0,,,65-64,,Defensive rebound by R. Lopez
8:35.0,,,65-66,2,R. Lopez makes 2-pt shot from 6 ft (assist by K. Dunn)
8:19.0,,,65-66,,Personal foul by D. Valentine (drawn by G. Hill)
8:09.0,S. Labissiere makes 2-pt shot from 3 ft (assist by G. Hill),2,67-66,,
7:58.0,,,67-66,,K. Dunn misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by S. Labissiere,,67-66,,
7:53.0,G. Hill makes 2-pt shot from 1 ft (assist by S. Labissiere),2,69-66,,
7:53.0,Shooting foul by L. Markkanen (drawn by G. Hill),,69-66,,
7:53.0,G. Hill makes free throw 1 of 1,1,70-66,,
7:43.0,,,70-66,,L. Markkanen misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by D. Fox,,70-66,,
7:32.0,,,70-66,,Def 3 sec tech foul by R. Lopez
7:32.0,G. Temple makes technical free throw,1,71-66,,
7:17.0,G. Hill makes 2-pt shot from 7 ft,2,73-66,,
7:16.0,,,73-66,,Chicago full timeout
7:16.0,,,73-66,,D. Nwaba enters the game for D. Valentine
7:08.0,,,73-66,,Shooting foul by D. Fox (drawn by L. Markkanen)
7:08.0,,,73-67,1,L. Markkanen makes free throw 1 of 2
7:08.0,,,73-68,1,L. Markkanen makes free throw 2 of 2
6:43.0,Z. Randolph misses 3-pt shot from 24 ft,,73-68,,
6:41.0,Offensive rebound by G. Temple,,73-68,,
6:23.0,G. Hill misses 3-pt shot from 24 ft,,73-68,,
6:23.0,,,73-68,,Defensive rebound by K. Dunn
6:13.0,,,73-68,,Turnover by D. Nwaba (step out of bounds)
5:53.0,Z. Randolph makes 2-pt shot from 1 ft (assist by G. Temple),2,75-68,,
5:34.0,,,75-71,3,J. Holiday makes 3-pt shot from 26 ft (assist by R. Lopez)
5:15.0,,,75-71,,Personal foul by L. Markkanen (drawn by S. Labissiere)
5:15.0,,,75-71,,P. Zipser enters the game for L. Markkanen
5:15.0,B. Bogdanovic enters the game for G. Temple,,75-71,,
5:06.0,Z. Randolph makes 2-pt shot from 4 ft,2,77-71,,
4:51.0,,,77-71,,D. Nwaba misses 3-pt shot from 22 ft
4:46.0,Defensive rebound by G. Hill,,77-71,,
4:44.0,D. Fox misses 2-pt shot from 19 ft,,77-71,,
4:44.0,,,77-71,,Defensive rebound by D. Nwaba
4:20.0,,,77-71,,P. Zipser misses 3-pt shot from 26 ft
4:17.0,,,77-71,,Offensive rebound by Team
4:17.0,,,77-71,,J. Grant enters the game for K. Dunn
4:17.0,W. Cauley-Stein enters the game for S. Labissiere,,77-71,,
4:00.0,,,77-74,3,J. Grant makes 3-pt shot from 24 ft (assist by P. Zipser)
3:39.0,B. Bogdanovic misses 2-pt shot from 13 ft,,77-74,,
3:36.0,,,77-74,,Defensive rebound by D. Nwaba
3:19.0,,,77-76,2,D. Nwaba makes 2-pt shot from 1 ft
3:01.0,G. Hill misses 3-pt shot from 24 ft,,77-76,,
2:58.0,,,77-76,,Defensive rebound by P. Zipser
2:45.0,,,77-76,,J. Holiday misses 2-pt shot from 1 ft (block by W. Cauley-Stein)
2:41.0,Defensive rebound by Z. Randolph,,77-76,,
2:35.0,Sacramento full timeout,,77-76,,
2:35.0,,,77-76,,C. Felicio enters the game for R. Lopez
2:35.0,K. Koufos enters the game for Z. Randolph,,77-76,,
2:26.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,79-76,,
2:11.0,,,79-79,3,P. Zipser makes 3-pt shot from 26 ft (assist by D. Nwaba)
1:51.0,Turnover by W. Cauley-Stein (bad pass),,79-79,,
1:51.0,F. Mason enters the game for D. Fox,,79-79,,
1:34.0,,,79-79,,J. Grant misses 2-pt shot from 19 ft
1:30.0,,,79-79,,Offensive rebound by Team
1:30.0,G. Temple enters the game for G. Hill,,79-79,,
1:27.0,,,79-79,,J. Holiday misses 2-pt shot from 16 ft (block by G. Temple)
1:23.0,Defensive rebound by K. Koufos,,79-79,,
1:17.0,Turnover by F. Mason (bad pass; steal by J. Grant),,79-79,,
1:11.0,,,79-81,2,C. Felicio makes 2-pt shot at rim (assist by D. Nwaba)
0:58.0,,,79-81,,Personal foul by P. Zipser (drawn by K. Koufos)
0:45.0,F. Mason misses 2-pt shot from 16 ft,,79-81,,
0:45.0,,,79-81,,Defensive rebound by J. Holiday
0:38.0,Personal foul by F. Mason (drawn by J. Grant),,79-81,,
0:25.0,,,79-81,,P. Zipser misses 2-pt shot from 6 ft
0:22.0,,,79-81,,Offensive rebound by P. Zipser
0:21.0,,,79-81,,P. Zipser misses 2-pt shot from 2 ft (block by W. Cauley-Stein)
0:17.0,Defensive rebound by K. Koufos,,79-81,,
0:02.0,G. Temple makes 3-pt shot from 25 ft (assist by F. Mason),3,82-81,,
0:00.0,,,82-81,,J. Grant misses 3-pt shot from 47 ft
0:00.0,,,82-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,F. Mason misses 3-pt shot from 26 ft,,82-81,,
11:39.0,,,82-81,,Defensive rebound by D. Nwaba
11:24.0,,,82-81,,P. Zipser misses 3-pt shot from 22 ft
11:21.0,Defensive rebound by F. Mason,,82-81,,
11:08.0,B. Bogdanovic makes 2-pt shot from 13 ft,2,84-81,,
10:51.0,,,84-83,2,C. Felicio makes 2-pt shot from 1 ft (assist by J. Grant)
10:35.0,K. Koufos misses 2-pt shot from 3 ft (block by P. Zipser),,84-83,,
10:35.0,Offensive rebound by Team,,84-83,,
10:24.0,B. Bogdanovic misses 2-pt shot from 1 ft,,84-83,,
10:20.0,,,84-83,,Defensive rebound by C. Felicio
10:06.0,,,84-85,2,P. Zipser makes 2-pt shot from 9 ft
9:52.0,F. Mason makes 3-pt shot from 24 ft,3,87-85,,
9:37.0,,,87-88,3,J. Grant makes 3-pt shot from 25 ft
9:23.0,G. Temple makes 3-pt shot from 24 ft (assist by F. Mason),3,90-88,,
8:57.0,,,90-88,,J. Grant misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by K. Koufos,,90-88,,
8:42.0,W. Cauley-Stein misses 2-pt shot from 2 ft,,90-88,,
8:39.0,,,90-88,,Defensive rebound by D. Valentine
8:32.0,,,90-88,,P. Zipser misses 3-pt shot from 23 ft
8:29.0,,,90-88,,Offensive rebound by D. Nwaba
8:27.0,,,90-90,2,D. Nwaba makes 2-pt shot from 7 ft
8:08.0,K. Koufos makes 2-pt shot from 1 ft (assist by W. Cauley-Stein),2,92-90,,
7:53.0,,,92-90,,P. Zipser misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by G. Temple,,92-90,,
7:51.0,,,92-90,,Personal foul by D. Nwaba (drawn by G. Temple)
7:51.0,,,92-90,,L. Markkanen enters the game for C. Felicio
7:51.0,V. Carter enters the game for F. Mason,,92-90,,
7:51.0,G. Hill enters the game for K. Koufos,,92-90,,
7:37.0,Turnover by B. Bogdanovic (bad pass; steal by L. Markkanen),,92-90,,
7:25.0,,,92-93,3,L. Markkanen makes 3-pt shot from 24 ft (assist by J. Grant)
7:00.0,V. Carter misses 3-pt shot from 27 ft,,92-93,,
7:00.0,,,92-93,,Defensive rebound by D. Nwaba
6:34.0,,,92-93,,D. Valentine misses 3-pt shot from 24 ft
6:32.0,Defensive rebound by G. Temple,,92-93,,
6:21.0,,,92-93,,Chicago full timeout
6:21.0,,,92-93,,J. Holiday enters the game for D. Nwaba
6:21.0,,,92-93,,K. Dunn enters the game for D. Valentine
6:20.0,V. Carter makes 2-pt shot from 4 ft (assist by B. Bogdanovic),2,94-93,,
6:11.0,,,94-93,,J. Holiday misses 3-pt shot from 26 ft
6:06.0,Defensive rebound by G. Temple,,94-93,,
5:46.0,W. Cauley-Stein misses 2-pt shot from 4 ft,,94-93,,
5:43.0,,,94-93,,Defensive rebound by L. Markkanen
5:28.0,Personal foul by G. Hill (drawn by L. Markkanen),,94-93,,
5:28.0,,,94-93,,R. Lopez enters the game for P. Zipser
5:28.0,Z. Randolph enters the game for W. Cauley-Stein,,94-93,,
5:20.0,,,94-95,2,R. Lopez makes 2-pt shot from 6 ft (assist by J. Grant)
4:59.0,Z. Randolph makes 2-pt shot from 3 ft,2,96-95,,
4:32.0,,,96-95,,R. Lopez misses 2-pt shot from 8 ft
4:32.0,Defensive rebound by V. Carter,,96-95,,
4:22.0,Shooting foul by J. Grant (drawn by B. Bogdanovic),,96-95,,
4:22.0,B. Bogdanovic makes free throw 1 of 2,1,97-95,,
4:22.0,B. Bogdanovic makes free throw 2 of 2,1,98-95,,
4:12.0,,,98-97,2,L. Markkanen makes 2-pt shot from 3 ft (assist by J. Grant)
3:51.0,Z. Randolph misses 2-pt shot from 1 ft,,98-97,,
3:51.0,,,98-97,,Defensive rebound by Team
3:38.0,,,98-97,,J. Holiday misses 3-pt shot from 24 ft
3:34.0,Defensive rebound by Z. Randolph,,98-97,,
3:22.0,Sacramento full timeout,,98-97,,
3:22.0,D. Fox enters the game for G. Hill,,98-97,,
3:22.0,W. Cauley-Stein enters the game for V. Carter,,98-97,,
3:17.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by Z. Randolph),3,101-97,,
3:00.0,,,101-99,2,J. Grant makes 2-pt shot from 21 ft
2:39.0,B. Bogdanovic misses 3-pt shot from 24 ft,,101-99,,
2:36.0,,,101-99,,Defensive rebound by J. Holiday
2:22.0,,,101-99,,L. Markkanen misses 2-pt shot from 3 ft
2:20.0,Defensive rebound by Z. Randolph,,101-99,,
2:05.0,B. Bogdanovic misses 2-pt shot from 3 ft,,101-99,,
2:03.0,,,101-99,,Defensive rebound by J. Holiday
1:53.0,,,101-99,,J. Holiday misses 3-pt shot from 25 ft
1:50.0,Defensive rebound by Z. Randolph,,101-99,,
1:26.0,Z. Randolph misses 2-pt shot from 2 ft,,101-99,,
1:24.0,,,101-99,,Defensive rebound by L. Markkanen
1:14.0,,,101-99,,L. Markkanen misses 3-pt shot from 25 ft
1:10.0,Defensive rebound by D. Fox,,101-99,,
0:51.0,Z. Randolph makes 2-pt shot from 1 ft,2,103-99,,
0:51.0,,,103-99,,Chicago full timeout
0:51.0,B. Bogdanovic misses 2-pt shot from 22 ft,,103-99,,
0:51.0,Offensive rebound by Z. Randolph,,103-99,,
0:43.0,,,103-101,2,R. Lopez makes 2-pt shot from 22 ft (assist by J. Grant)
0:24.0,D. Fox makes 2-pt shot from 1 ft (assist by W. Cauley-Stein),2,105-101,,
0:24.0,,,105-101,,Chicago full timeout
0:18.0,,,105-101,,L. Markkanen misses 2-pt shot from 14 ft
0:15.0,Defensive rebound by B. Bogdanovic,,105-101,,
0:14.0,,,105-101,,Personal take foul by K. Dunn (drawn by B. Bogdanovic)
0:14.0,,,105-101,,P. Zipser enters the game for R. Lopez
0:13.0,,,105-101,,Personal foul by J. Holiday (drawn by B. Bogdanovic)
0:13.0,B. Bogdanovic makes free throw 1 of 2,1,106-101,,
0:13.0,,,106-101,,R. Lopez enters the game for P. Zipser
0:13.0,B. Bogdanovic misses free throw 2 of 2,,106-101,,
