time,Sacramento,pts.away,score,pts.home,Charlotte
1:21.0,,,27-27,,Offensive rebound by N. Batum
1:18.0,,,27-27,,F. Kaminsky misses 2-pt shot from 5 ft
1:14.0,Defensive rebound by W. Cauley-Stein,,27-27,,
1:04.0,Turnover by G. Hill (out of bounds lost ball),,27-27,,
1:04.0,,,27-27,,M. Carter-Williams enters the game for N. Batum
1:04.0,,,27-27,,M. Monk enters the game for K. Walker
1:04.0,G. Papagiannis enters the game for W. Cauley-Stein,,27-27,,
1:04.0,J. Jackson enters the game for B. Bogdanovic,,27-27,,
0:50.0,,,27-29,2,D. Howard makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
0:50.0,,,27-29,,Shooting foul by G. Papagiannis (drawn by D. Howard)
0:50.0,,,27-30,1,D. Howard makes free throw 1 of 1
0:38.0,G. Hill makes 2-pt shot from 12 ft (assist by B. Hield),2,29-30,,
0:38.0,Shooting foul by M. Monk (drawn by G. Hill),,29-30,,
0:38.0,G. Hill makes free throw 1 of 1,1,30-30,,
0:27.0,,,30-30,,D. Howard misses 2-pt shot from 2 ft
0:25.0,,,30-30,,Offensive rebound by J. Lamb
0:25.0,,,30-32,2,J. Lamb makes 2-pt shot at rim
0:05.0,B. Hield makes 3-pt shot from 22 ft (assist by G. Hill),3,33-32,,
0:00.0,,,33-35,3,J. Lamb makes 3-pt shot from 32 ft
0:00.0,G. Hill misses 3-pt shot from 43 ft,,33-35,,
0:00.0,Offensive rebound by Team,,33-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,B. Hield makes 3-pt shot from 24 ft,3,36-35,,
11:30.0,,,36-37,2,F. Kaminsky makes 2-pt shot from 20 ft (assist by J. Lamb)
11:21.0,S. Labissiere misses 3-pt shot from 25 ft,,36-37,,
11:18.0,,,36-37,,Defensive rebound by J. Lamb
11:09.0,,,36-37,,Shooting foul by G. Papagiannis (drawn by J. Lamb)
11:09.0,,,36-38,1,J. Lamb makes free throw 1 of 2
11:09.0,,,36-38,,J. Lamb misses free throw 2 of 2
11:05.0,Defensive rebound by G. Papagiannis,,36-38,,
10:44.0,B. Hield misses 2-pt shot from 6 ft,,36-38,,
10:39.0,Offensive rebound by G. Papagiannis,,36-38,,
10:38.0,G. Papagiannis misses 2-pt shot at rim,,36-38,,
10:38.0,Offensive rebound by G. Papagiannis,,36-38,,
10:37.0,G. Papagiannis makes 2-pt shot at rim,2,38-38,,
10:25.0,,,38-38,,J. O'Bryant misses 2-pt shot from 13 ft
10:23.0,Defensive rebound by B. Hield,,38-38,,
10:08.0,S. Labissiere makes 2-pt shot at rim (assist by J. Jackson),2,40-38,,
9:52.0,,,40-38,,F. Kaminsky misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by J. Jackson,,40-38,,
9:42.0,B. Hield misses 2-pt shot from 11 ft,,40-38,,
9:40.0,,,40-38,,Defensive rebound by J. O'Bryant
9:34.0,,,40-38,,Turnover by M. Carter-Williams (bad pass)
9:24.0,,,40-38,,Personal foul by M. Carter-Williams (drawn by B. Hield)
9:14.0,S. Labissiere makes 2-pt shot from 8 ft,2,42-38,,
8:56.0,,,42-38,,F. Kaminsky misses 2-pt shot from 12 ft
8:53.0,Defensive rebound by G. Papagiannis,,42-38,,
8:44.0,G. Papagiannis misses 2-pt shot from 8 ft,,42-38,,
8:41.0,,,42-38,,Defensive rebound by M. Carter-Williams
8:35.0,,,42-38,,M. Carter-Williams misses 2-pt shot from 18 ft
8:32.0,Defensive rebound by G. Papagiannis,,42-38,,
8:23.0,J. Jackson misses 3-pt shot from 23 ft,,42-38,,
8:20.0,,,42-38,,Defensive rebound by J. Lamb
8:13.0,,,42-40,2,J. Lamb makes 2-pt shot from 1 ft
7:55.0,S. Labissiere makes 2-pt shot from 9 ft (assist by G. Hill),2,44-40,,
7:34.0,,,44-42,2,J. Lamb makes 2-pt shot from 1 ft
7:18.0,J. Jackson misses 2-pt shot from 11 ft,,44-42,,
7:16.0,,,44-42,,Defensive rebound by M. Carter-Williams
7:13.0,,,44-42,,Shooting foul by G. Papagiannis (drawn by F. Kaminsky)
7:13.0,,,44-43,1,F. Kaminsky makes free throw 1 of 2
7:13.0,,,44-43,,K. Walker enters the game for M. Monk
7:13.0,W. Cauley-Stein enters the game for S. Labissiere,,44-43,,
7:13.0,,,44-44,1,F. Kaminsky makes free throw 2 of 2
6:59.0,B. Hield misses 2-pt shot from 17 ft,,44-44,,
6:57.0,,,44-44,,Defensive rebound by J. O'Bryant
6:45.0,,,44-44,,J. O'Bryant misses 3-pt shot from 24 ft
6:42.0,Defensive rebound by W. Cauley-Stein,,44-44,,
6:33.0,B. Hield misses 2-pt shot from 9 ft,,44-44,,
6:32.0,,,44-44,,Defensive rebound by Team
6:32.0,,,44-44,,Charlotte full timeout
6:32.0,D. Fox enters the game for J. Jackson,,44-44,,
6:15.0,,,44-46,2,J. O'Bryant makes 2-pt shot from 1 ft (assist by F. Kaminsky)
5:58.0,D. Fox misses 2-pt shot from 3 ft,,44-46,,
5:56.0,,,44-46,,Defensive rebound by K. Walker
5:49.0,,,44-46,,F. Kaminsky misses 2-pt shot from 2 ft
5:47.0,,,44-46,,Offensive rebound by J. O'Bryant
5:43.0,,,44-49,3,J. Lamb makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
5:22.0,,,44-49,,Personal foul by M. Carter-Williams (drawn by B. Hield)
5:22.0,,,44-49,,N. Batum enters the game for M. Carter-Williams
5:22.0,B. Bogdanovic enters the game for G. Papagiannis,,44-49,,
5:22.0,K. Koufos enters the game for B. Hield,,44-49,,
5:08.0,D. Fox makes 3-pt shot from 24 ft (assist by K. Koufos),3,47-49,,
4:51.0,,,47-49,,Shooting foul by B. Bogdanovic (drawn by K. Walker)
4:51.0,,,47-50,1,K. Walker makes free throw 1 of 2
4:51.0,,,47-50,,D. Howard enters the game for J. Lamb
4:51.0,,,47-50,,M. Williams enters the game for J. O'Bryant
4:51.0,,,47-50,,T. Graham enters the game for F. Kaminsky
4:51.0,,,47-51,1,K. Walker makes free throw 2 of 2
4:36.0,W. Cauley-Stein misses 2-pt shot from 8 ft,,47-51,,
4:33.0,,,47-51,,Defensive rebound by K. Walker
4:29.0,,,47-54,3,K. Walker makes 3-pt shot from 25 ft
4:19.0,,,47-54,,Personal foul by D. Howard (drawn by D. Fox)
4:19.0,J. Jackson enters the game for G. Hill,,47-54,,
4:19.0,V. Carter enters the game for B. Bogdanovic,,47-54,,
4:09.0,J. Jackson makes 2-pt shot from 1 ft,2,49-54,,
4:09.0,,,49-54,,Violation by D. Howard (def goaltending)
3:54.0,,,49-54,,K. Walker misses 2-pt shot from 18 ft
3:51.0,Defensive rebound by K. Koufos,,49-54,,
3:41.0,W. Cauley-Stein misses 2-pt shot from 9 ft,,49-54,,
3:39.0,,,49-54,,Defensive rebound by M. Williams
3:31.0,,,49-56,2,N. Batum makes 2-pt shot from 16 ft
3:18.0,D. Fox makes 2-pt shot from 16 ft,2,51-56,,
2:59.0,,,51-56,,N. Batum misses 3-pt shot from 25 ft
2:55.0,Defensive rebound by W. Cauley-Stein,,51-56,,
2:47.0,W. Cauley-Stein makes 2-pt shot from 19 ft (assist by D. Fox),2,53-56,,
2:29.0,,,53-58,2,N. Batum makes 2-pt shot from 13 ft
2:29.0,,,53-58,,Shooting foul by J. Jackson (drawn by N. Batum)
2:29.0,Sacramento full timeout,,53-58,,
2:29.0,,,53-59,1,N. Batum makes free throw 1 of 1
2:14.0,D. Fox misses 3-pt shot from 25 ft,,53-59,,
2:11.0,Offensive rebound by K. Koufos,,53-59,,
1:57.0,K. Koufos makes 2-pt shot from 9 ft (assist by D. Fox),2,55-59,,
1:43.0,,,55-59,,Turnover by N. Batum (bad pass; steal by K. Koufos)
1:30.0,W. Cauley-Stein misses 2-pt shot from 8 ft,,55-59,,
1:28.0,,,55-59,,Defensive rebound by N. Batum
1:18.0,,,55-62,3,M. Williams makes 3-pt shot from 28 ft (assist by N. Batum)
0:52.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,55-62,,
0:48.0,Offensive rebound by K. Koufos,,55-62,,
0:48.0,K. Koufos misses 2-pt shot at rim,,55-62,,
0:48.0,,,55-62,,Defensive rebound by D. Howard
0:44.0,,,55-65,3,T. Graham makes 3-pt shot from 24 ft (assist by D. Howard)
0:34.0,D. Fox misses 2-pt shot from 18 ft,,55-65,,
0:34.0,,,55-65,,Defensive rebound by D. Howard
0:08.0,,,55-67,2,M. Williams makes 2-pt shot from 9 ft (assist by K. Walker)
0:00.0,W. Cauley-Stein misses 3-pt shot from 25 ft,,55-67,,
0:00.0,Offensive rebound by Team,,55-67,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,B. Bogdanovic misses 2-pt shot from 3 ft,,55-67,,
11:41.0,,,55-67,,Defensive rebound by D. Howard
11:31.0,,,55-67,,M. Williams misses 2-pt shot at rim
11:31.0,,,55-67,,Offensive rebound by D. Howard
11:31.0,,,55-67,,Shooting foul by V. Carter (drawn by D. Howard)
11:31.0,,,55-67,,D. Howard misses free throw 1 of 2
11:31.0,,,55-67,,Offensive rebound by Team
11:31.0,,,55-68,1,D. Howard makes free throw 2 of 2
11:12.0,V. Carter makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,58-68,,
10:44.0,,,58-68,,K. Walker misses 2-pt shot from 17 ft (block by V. Carter)
10:44.0,,,58-68,,Offensive rebound by Team
10:44.0,,,58-68,,Turnover by Team (shot clock)
10:32.0,Offensive foul by K. Koufos (drawn by K. Walker),,58-68,,
10:32.0,Turnover by K. Koufos (offensive foul),,58-68,,
10:17.0,,,58-68,,Offensive foul by M. Williams (drawn by W. Cauley-Stein)
10:17.0,,,58-68,,Turnover by M. Williams (offensive foul)
10:07.0,B. Bogdanovic misses 3-pt shot from 25 ft,,58-68,,
10:03.0,,,58-68,,Defensive rebound by K. Walker
9:56.0,,,58-68,,Turnover by K. Walker (bad pass; steal by K. Koufos)
9:52.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,58-68,,
9:50.0,,,58-68,,Defensive rebound by M. Williams
9:41.0,,,58-68,,D. Howard misses 2-pt shot from 5 ft
9:39.0,Defensive rebound by D. Fox,,58-68,,
9:34.0,D. Fox misses 2-pt shot from 2 ft (block by D. Howard),,58-68,,
9:34.0,,,58-68,,Defensive rebound by Team
9:21.0,,,58-68,,K. Walker misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by W. Cauley-Stein,,58-68,,
9:12.0,K. Koufos misses 2-pt shot from 2 ft,,58-68,,
9:07.0,Offensive rebound by K. Koufos,,58-68,,
9:07.0,K. Koufos makes 2-pt shot at rim,2,60-68,,
8:49.0,,,60-70,2,N. Batum makes 2-pt shot from 4 ft
8:30.0,W. Cauley-Stein misses 2-pt shot from 3 ft (block by D. Howard),,60-70,,
8:27.0,,,60-70,,Defensive rebound by D. Howard
8:13.0,,,60-70,,N. Batum misses 3-pt shot from 25 ft
8:10.0,Defensive rebound by V. Carter,,60-70,,
8:03.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by D. Howard),,60-70,,
8:00.0,,,60-70,,Defensive rebound by T. Graham
7:57.0,,,60-73,3,K. Walker makes 3-pt shot from 24 ft (assist by T. Graham)
7:56.0,Sacramento full timeout,,60-73,,
7:56.0,S. Labissiere enters the game for K. Koufos,,60-73,,
7:31.0,D. Fox makes 2-pt shot from 9 ft,2,62-73,,
7:05.0,,,62-73,,K. Walker misses 2-pt shot from 3 ft (block by V. Carter)
7:03.0,,,62-73,,Offensive rebound by Team
7:03.0,,,62-73,,Turnover by Team (shot clock)
6:51.0,W. Cauley-Stein misses 2-pt shot from 6 ft (block by D. Howard),,62-73,,
6:51.0,Offensive rebound by W. Cauley-Stein,,62-73,,
6:45.0,W. Cauley-Stein makes 2-pt shot from 1 ft,2,64-73,,
6:30.0,,,64-73,,K. Walker misses 3-pt shot from 23 ft
6:30.0,Defensive rebound by S. Labissiere,,64-73,,
6:25.0,D. Fox misses 2-pt shot from 3 ft (block by K. Walker),,64-73,,
6:25.0,,,64-73,,Defensive rebound by Team
6:14.0,,,64-73,,Turnover by K. Walker (bad pass; steal by B. Bogdanovic)
5:57.0,,,64-73,,Def 3 sec tech foul by D. Howard
5:57.0,B. Bogdanovic makes technical free throw,1,65-73,,
5:47.0,Shooting foul by M. Williams (drawn by W. Cauley-Stein),,65-73,,
5:47.0,W. Cauley-Stein misses free throw 1 of 2,,65-73,,
5:47.0,Offensive rebound by Team,,65-73,,
5:47.0,W. Cauley-Stein makes free throw 2 of 2,1,66-73,,
5:31.0,,,66-76,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
5:16.0,B. Bogdanovic misses 2-pt shot from 10 ft,,66-76,,
5:14.0,,,66-76,,Defensive rebound by D. Howard
5:09.0,,,66-76,,K. Walker misses 3-pt shot from 25 ft
5:05.0,Defensive rebound by V. Carter,,66-76,,
4:59.0,Shooting foul by D. Howard (drawn by S. Labissiere),,66-76,,
4:59.0,S. Labissiere misses free throw 1 of 2,,66-76,,
4:59.0,Offensive rebound by Team,,66-76,,
4:59.0,J. Jackson enters the game for V. Carter,,66-76,,
4:59.0,S. Labissiere makes free throw 2 of 2,1,67-76,,
4:45.0,,,67-76,,Offensive foul by D. Howard
4:45.0,,,67-76,,Turnover by D. Howard (offensive foul)
4:45.0,,,67-76,,Technical foul by D. Howard
4:45.0,B. Bogdanovic makes technical free throw,1,68-76,,
4:28.0,W. Cauley-Stein misses 2-pt shot from 6 ft,,68-76,,
4:26.0,,,68-76,,Defensive rebound by D. Howard
4:15.0,,,68-78,2,M. Williams makes 2-pt shot from 1 ft (assist by K. Walker)
3:57.0,B. Bogdanovic misses 2-pt shot from 21 ft,,68-78,,
3:53.0,,,68-78,,Defensive rebound by N. Batum
3:46.0,,,68-78,,N. Batum misses 2-pt shot from 16 ft
3:43.0,,,68-78,,Offensive rebound by T. Graham
3:43.0,,,68-78,,T. Graham misses 2-pt shot at rim
3:43.0,Defensive rebound by Team,,68-78,,
3:43.0,,,68-78,,F. Kaminsky enters the game for M. Williams
3:43.0,,,68-78,,J. Lamb enters the game for T. Graham
3:43.0,B. Hield enters the game for D. Fox,,68-78,,
3:43.0,G. Hill enters the game for B. Bogdanovic,,68-78,,
3:32.0,S. Labissiere misses 3-pt shot from 25 ft,,68-78,,
3:27.0,,,68-78,,Defensive rebound by D. Howard
3:17.0,,,68-78,,Shooting foul by G. Hill (drawn by D. Howard)
3:17.0,,,68-78,,D. Howard misses free throw 1 of 2
3:17.0,,,68-78,,Offensive rebound by Team
3:17.0,,,68-79,1,D. Howard makes free throw 2 of 2
2:59.0,J. Jackson misses 2-pt shot from 18 ft,,68-79,,
2:55.0,,,68-79,,Defensive rebound by K. Walker
2:50.0,,,68-82,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by K. Walker)
2:48.0,Sacramento full timeout,,68-82,,
2:35.0,S. Labissiere makes 2-pt shot from 4 ft,2,70-82,,
2:35.0,,,70-82,,Violation by D. Howard (def goaltending)
2:28.0,,,70-82,,Offensive foul by D. Howard (drawn by G. Hill)
2:28.0,,,70-82,,Turnover by D. Howard (offensive foul)
2:12.0,B. Hield misses 2-pt shot from 2 ft (block by D. Howard),,70-82,,
2:08.0,,,70-82,,Defensive rebound by J. Lamb
2:02.0,,,70-82,,J. Lamb misses 2-pt shot from 18 ft
2:01.0,,,70-82,,Offensive rebound by Team
2:01.0,Loose ball foul by S. Labissiere (drawn by D. Howard),,70-82,,
2:01.0,,,70-82,,J. O'Bryant enters the game for D. Howard
1:56.0,,,70-84,2,J. Lamb makes 2-pt shot at rim (assist by N. Batum)
1:50.0,S. Labissiere makes 2-pt shot from 2 ft,2,72-84,,
1:50.0,Shooting foul by J. O'Bryant (drawn by S. Labissiere),,72-84,,
1:50.0,,,72-84,,M. Carter-Williams enters the game for N. Batum
1:50.0,S. Labissiere makes free throw 1 of 1,1,73-84,,
1:31.0,,,73-86,2,M. Carter-Williams makes 2-pt shot at rim (assist by J. Lamb)
1:23.0,Offensive foul by S. Labissiere (drawn by M. Carter-Williams),,73-86,,
1:23.0,Turnover by S. Labissiere (offensive foul),,73-86,,
1:23.0,G. Papagiannis enters the game for W. Cauley-Stein,,73-86,,
1:08.0,,,73-89,3,J. O'Bryant makes 3-pt shot from 27 ft (assist by K. Walker)
0:43.0,Turnover by Team (shot clock),,73-89,,
0:43.0,Personal foul by G. Hill (drawn by K. Walker),,73-89,,
0:35.0,,,73-92,3,J. Lamb makes 3-pt shot from 24 ft (assist by K. Walker)
0:21.0,G. Papagiannis makes 2-pt shot from 9 ft (assist by G. Hill),2,75-92,,
0:00.0,,,75-92,,F. Kaminsky misses 3-pt shot from 24 ft
0:00.0,,,75-92,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,75-92,,K. Walker misses 3-pt shot from 26 ft
11:45.0,Defensive rebound by J. Jackson,,75-92,,
11:32.0,S. Labissiere misses 2-pt shot from 16 ft,,75-92,,
11:27.0,,,75-92,,Defensive rebound by J. Lamb
11:23.0,Personal foul by J. Jackson (drawn by J. Lamb),,75-92,,
11:05.0,,,75-92,,K. Walker misses 3-pt shot from 25 ft
11:01.0,,,75-92,,Offensive rebound by F. Kaminsky
10:52.0,,,75-95,3,K. Walker makes 3-pt shot from 26 ft (assist by J. O'Bryant)
10:41.0,G. Papagiannis makes 2-pt shot from 19 ft (assist by G. Hill),2,77-95,,
10:22.0,,,77-95,,J. O'Bryant misses 2-pt shot from 13 ft
10:19.0,Defensive rebound by B. Hield,,77-95,,
10:00.0,J. Jackson misses 2-pt shot from 17 ft,,77-95,,
9:57.0,,,77-95,,Defensive rebound by J. O'Bryant
9:51.0,,,77-95,,J. O'Bryant misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by B. Hield,,77-95,,
9:43.0,J. Jackson makes 2-pt shot at rim (assist by B. Hield),2,79-95,,
9:29.0,,,79-95,,Turnover by K. Walker (lost ball; steal by G. Hill)
9:25.0,Shooting foul by F. Kaminsky (drawn by B. Hield),,79-95,,
9:25.0,B. Hield makes free throw 1 of 2,1,80-95,,
9:25.0,B. Hield makes free throw 2 of 2,1,81-95,,
9:10.0,,,81-95,,J. O'Bryant misses 2-pt shot from 1 ft
9:08.0,Defensive rebound by B. Hield,,81-95,,
9:00.0,G. Papagiannis misses 2-pt shot from 3 ft (block by K. Walker),,81-95,,
8:54.0,,,81-95,,Defensive rebound by K. Walker
8:52.0,,,81-95,,K. Walker misses 2-pt shot from 1 ft
8:47.0,,,81-95,,Offensive rebound by M. Carter-Williams
8:47.0,,,81-97,2,M. Carter-Williams makes 2-pt shot at rim
8:34.0,G. Papagiannis misses 2-pt shot from 2 ft,,81-97,,
8:32.0,,,81-97,,Defensive rebound by K. Walker
8:21.0,,,81-97,,M. Carter-Williams misses 2-pt shot from 18 ft
8:17.0,,,81-97,,Offensive rebound by M. Carter-Williams
8:15.0,,,81-97,,F. Kaminsky misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by G. Papagiannis,,81-97,,
8:15.0,Sacramento full timeout,,81-97,,
8:15.0,,,81-97,,N. Batum enters the game for J. O'Bryant
8:15.0,,,81-97,,M. Williams enters the game for K. Walker
8:15.0,D. Fox enters the game for G. Hill,,81-97,,
8:15.0,W. Cauley-Stein enters the game for J. Jackson,,81-97,,
8:15.0,B. Bogdanovic enters the game for G. Papagiannis,,81-97,,
7:52.0,W. Cauley-Stein misses 2-pt shot from 9 ft,,81-97,,
7:49.0,,,81-97,,Defensive rebound by F. Kaminsky
7:32.0,,,81-97,,Turnover by N. Batum (bad pass; steal by D. Fox)
7:22.0,D. Fox makes 2-pt shot from 1 ft,2,83-97,,
7:22.0,Shooting foul by M. Carter-Williams (drawn by D. Fox),,83-97,,
7:22.0,D. Fox makes free throw 1 of 1,1,84-97,,
7:13.0,Personal foul by D. Fox (drawn by M. Carter-Williams),,84-97,,
7:01.0,,,84-99,2,M. Carter-Williams makes 2-pt shot from 7 ft
6:48.0,S. Labissiere makes 2-pt shot from 7 ft (assist by W. Cauley-Stein),2,86-99,,
6:31.0,,,86-99,,J. Lamb misses 2-pt shot from 8 ft
6:28.0,Defensive rebound by D. Fox,,86-99,,
6:24.0,Turnover by B. Hield (lost ball; steal by J. Lamb),,86-99,,
6:15.0,,,86-101,2,M. Carter-Williams makes 2-pt shot from 1 ft
6:04.0,Shooting foul by J. Lamb (drawn by D. Fox),,86-101,,
6:04.0,D. Fox misses free throw 1 of 2,,86-101,,
6:04.0,Offensive rebound by Team,,86-101,,
6:04.0,,,86-101,,D. Howard enters the game for M. Carter-Williams
6:04.0,,,86-101,,K. Walker enters the game for F. Kaminsky
6:04.0,D. Fox makes free throw 2 of 2,1,87-101,,
5:49.0,,,87-101,,M. Williams misses 3-pt shot from 25 ft
5:45.0,Defensive rebound by B. Bogdanovic,,87-101,,
5:27.0,B. Hield makes 3-pt shot from 23 ft (assist by S. Labissiere),3,90-101,,
5:09.0,,,90-101,,J. Lamb misses 3-pt shot from 24 ft
5:06.0,Defensive rebound by S. Labissiere,,90-101,,
4:58.0,W. Cauley-Stein makes 2-pt shot from 18 ft (assist by D. Fox),2,92-101,,
4:57.0,,,92-101,,Charlotte full timeout
4:29.0,,,92-101,,K. Walker misses 3-pt shot from 24 ft
4:29.0,,,92-101,,Offensive rebound by D. Howard
