time,Miami,pts.away,score,pts.home,Memphis
0:35.0,J. Richardson enters the game for D. Waiters,,21-23,,
0:21.0,,,21-23,,Turnover by Team (shot clock)
0:03.0,Turnover by W. Ellington (bad pass; steal by J. Ennis),,21-23,,
0:00.0,,,21-23,,C. Parsons misses 3-pt shot from 26 ft
0:00.0,,,21-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,J. Winslow misses 2-pt shot from 3 ft,,21-23,,
11:37.0,,,21-23,,Defensive rebound by D. Davis
11:33.0,,,21-25,2,T. Evans makes 2-pt shot at rim
11:18.0,J. Winslow makes 2-pt shot at rim,2,23-25,,
11:02.0,,,23-25,,J. Ennis misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by J. Richardson,,23-25,,
10:52.0,Turnover by K. Olynyk (bad pass),,23-25,,
10:36.0,,,23-25,,Shooting foul by J. Winslow (drawn by J. Green)
10:36.0,,,23-26,1,J. Green makes free throw 1 of 2
10:36.0,,,23-26,,J. Green misses free throw 2 of 2
10:34.0,Defensive rebound by K. Olynyk,,23-26,,
10:22.0,Offensive foul by J. Richardson (drawn by B. McLemore),,23-26,,
10:22.0,Turnover by J. Richardson (offensive foul),,23-26,,
10:09.0,,,23-28,2,T. Evans makes 2-pt shot from 1 ft
9:45.0,J. Winslow misses 2-pt shot from 5 ft,,23-28,,
9:38.0,,,23-28,,Defensive rebound by J. Ennis
9:30.0,,,23-28,,J. Ennis misses 2-pt shot from 4 ft
9:27.0,Defensive rebound by T. Johnson,,23-28,,
9:18.0,J. Winslow misses 3-pt shot from 23 ft,,23-28,,
9:15.0,,,23-28,,Defensive rebound by J. Ennis
9:01.0,,,23-28,,T. Evans misses 2-pt shot at rim
8:55.0,,,23-28,,Offensive rebound by D. Davis
8:55.0,,,23-30,2,D. Davis makes 2-pt shot at rim
8:52.0,Miami full timeout,,23-30,,
8:52.0,,,23-30,,A. Harrison enters the game for J. Ennis
8:52.0,,,23-30,,M. Chalmers enters the game for B. McLemore
8:52.0,G. Dragic enters the game for T. Johnson,,23-30,,
8:43.0,Shooting foul by T. Evans (drawn by J. Richardson),,23-30,,
8:43.0,J. Richardson makes free throw 1 of 3,1,24-30,,
8:43.0,J. Richardson misses free throw 2 of 3,,24-30,,
8:43.0,Offensive rebound by Team,,24-30,,
8:43.0,J. Richardson makes free throw 3 of 3,1,25-30,,
8:29.0,,,25-30,,Turnover by T. Evans (bad pass; steal by K. Olynyk)
8:15.0,Shooting foul by D. Davis (drawn by G. Dragic),,25-30,,
8:15.0,G. Dragic makes free throw 1 of 2,1,26-30,,
8:15.0,,,26-30,,M. Gasol enters the game for D. Davis
8:15.0,G. Dragic makes free throw 2 of 2,1,27-30,,
7:51.0,,,27-30,,J. Green misses 2-pt shot from 9 ft
7:48.0,Defensive rebound by J. Winslow,,27-30,,
7:43.0,K. Olynyk makes 3-pt shot from 26 ft (assist by J. Richardson),3,30-30,,
7:26.0,,,30-30,,M. Gasol misses 2-pt shot from 9 ft
7:23.0,,,30-30,,Offensive rebound by Team
7:23.0,J. Johnson enters the game for J. Winslow,,30-30,,
7:14.0,,,30-30,,Offensive foul by M. Gasol (drawn by K. Olynyk)
7:14.0,,,30-30,,Turnover by M. Gasol (offensive foul)
6:58.0,J. Richardson makes 2-pt shot at rim (assist by G. Dragic),2,32-30,,
6:41.0,,,32-30,,Turnover by M. Gasol (turnover)
6:31.0,Turnover by G. Dragic (bad pass),,32-30,,
6:31.0,,,32-30,,D. Brooks enters the game for M. Chalmers
6:16.0,,,32-32,2,T. Evans makes 2-pt shot at rim
6:03.0,G. Dragic makes 2-pt shot at rim,2,34-32,,
5:48.0,,,34-34,2,A. Harrison makes 2-pt shot from 6 ft
5:39.0,G. Dragic makes 2-pt shot at rim,2,36-34,,
5:21.0,,,36-34,,C. Parsons enters the game for J. Green
5:21.0,D. Waiters enters the game for W. Ellington,,36-34,,
5:13.0,,,36-34,,T. Evans misses 3-pt shot from 26 ft
5:11.0,Defensive rebound by K. Olynyk,,36-34,,
4:57.0,G. Dragic misses 2-pt shot from 13 ft,,36-34,,
4:54.0,,,36-34,,Defensive rebound by M. Gasol
4:48.0,,,36-34,,Shooting foul by J. Richardson (drawn by C. Parsons)
4:48.0,,,36-34,,C. Parsons misses free throw 1 of 3
4:48.0,,,36-34,,Offensive rebound by Team
4:48.0,,,36-34,,J. Green enters the game for T. Evans
4:48.0,,,36-34,,C. Parsons misses free throw 2 of 3
4:48.0,,,36-34,,Offensive rebound by Team
4:48.0,,,36-34,,C. Parsons misses free throw 3 of 3
4:44.0,Defensive rebound by J. Johnson,,36-34,,
4:36.0,Turnover by J. Richardson (traveling),,36-34,,
4:36.0,T. Johnson enters the game for J. Richardson,,36-34,,
4:19.0,,,36-34,,M. Gasol misses 2-pt shot from 3 ft (block by J. Johnson)
4:16.0,Jump ball: M. Gasol vs. J. Johnson (K. Olynyk gains possession),,,,Jump ball: M. Gasol vs. J. Johnson (K. Olynyk gains possession)
4:16.0,Defensive rebound by K. Olynyk,,36-34,,
4:06.0,D. Waiters makes 2-pt shot from 1 ft,2,38-34,,
3:47.0,,,38-34,,Turnover by M. Gasol (lost ball; steal by D. Waiters)
3:46.0,,,38-34,,Personal take foul by C. Parsons (drawn by D. Waiters)
3:36.0,T. Johnson misses 3-pt shot from 26 ft,,38-34,,
3:32.0,,,38-34,,Defensive rebound by A. Harrison
3:28.0,,,38-34,,C. Parsons misses 3-pt shot from 23 ft
3:25.0,Defensive rebound by G. Dragic,,38-34,,
3:24.0,,,38-34,,Personal foul by D. Brooks (drawn by G. Dragic)
3:24.0,,,38-34,,J. Ennis enters the game for D. Brooks
3:11.0,J. Johnson misses 2-pt shot at rim,,38-34,,
3:09.0,Offensive rebound by G. Dragic,,38-34,,
3:09.0,B. Adebayo enters the game for K. Olynyk,,38-34,,
3:05.0,Jump ball: A. Harrison vs. G. Dragic (C. Parsons gains possession),,,,Jump ball: A. Harrison vs. G. Dragic (C. Parsons gains possession)
3:05.0,Turnover by G. Dragic (turnover; steal by A. Harrison),,38-34,,
2:58.0,,,38-34,,Turnover by C. Parsons (bad pass)
2:58.0,,,38-34,,Memphis full timeout
2:58.0,W. Ellington enters the game for G. Dragic,,38-34,,
2:39.0,W. Ellington misses 2-pt shot from 18 ft,,38-34,,
2:36.0,,,38-34,,Defensive rebound by J. Green
2:17.0,,,38-37,3,A. Harrison makes 3-pt shot from 25 ft (assist by C. Parsons)
2:02.0,D. Waiters makes 2-pt shot from 6 ft,2,40-37,,
1:45.0,,,40-37,,Turnover by C. Parsons (bad pass; steal by B. Adebayo)
1:32.0,W. Ellington misses 2-pt shot from 17 ft,,40-37,,
1:29.0,,,40-37,,Defensive rebound by C. Parsons
1:15.0,,,40-40,3,M. Gasol makes 3-pt shot from 26 ft (assist by A. Harrison)
0:51.0,W. Ellington makes 3-pt shot from 22 ft (assist by D. Waiters),3,43-40,,
0:38.0,Personal foul by B. Adebayo (drawn by M. Gasol),,43-40,,
0:34.0,,,43-40,,Shooting foul by D. Waiters (drawn by C. Parsons)
0:34.0,,,43-41,1,C. Parsons makes free throw 1 of 2
0:34.0,,,43-42,1,C. Parsons makes free throw 2 of 2
0:15.0,Miami full timeout,,43-42,,
0:15.0,,,43-42,,T. Evans enters the game for J. Ennis
0:15.0,K. Olynyk enters the game for D. Waiters,,43-42,,
0:15.0,G. Dragic enters the game for B. Adebayo,,43-42,,
0:11.0,J. Johnson makes 2-pt shot from 9 ft (assist by G. Dragic),2,45-42,,
0:00.0,,,45-42,,T. Evans misses 3-pt shot from 26 ft
0:00.0,,,45-42,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,J. Richardson misses 3-pt shot from 25 ft,,45-42,,
11:43.0,,,45-42,,Defensive rebound by J. Green
11:26.0,,,45-45,3,T. Evans makes 3-pt shot from 26 ft
11:13.0,Turnover by D. Waiters (lost ball; steal by A. Harrison),,45-45,,
11:03.0,,,45-45,,T. Evans misses 2-pt shot at rim (block by J. Richardson)
11:02.0,Defensive rebound by Team,,45-45,,
10:58.0,,,45-45,,Personal foul by M. Gasol (drawn by K. Olynyk)
10:47.0,Shooting foul by J. Green (drawn by D. Waiters),,45-45,,
10:47.0,D. Waiters misses free throw 1 of 2,,45-45,,
10:47.0,Offensive rebound by Team,,45-45,,
10:47.0,D. Waiters makes free throw 2 of 2,1,46-45,,
10:37.0,Personal foul by K. Olynyk (drawn by D. Brooks),,46-45,,
10:31.0,,,46-45,,Turnover by J. Green (step out of bounds)
10:13.0,K. Olynyk misses 3-pt shot from 25 ft,,46-45,,
10:09.0,,,46-45,,Defensive rebound by M. Gasol
10:03.0,,,46-47,2,J. Green makes 2-pt shot at rim (assist by T. Evans)
9:41.0,Offensive charge foul by K. Olynyk (drawn by A. Harrison),,46-47,,
9:41.0,Turnover by K. Olynyk (offensive foul),,46-47,,
9:41.0,B. Adebayo enters the game for K. Olynyk,,46-47,,
9:29.0,,,46-47,,M. Gasol misses 3-pt shot from 26 ft
9:26.0,Defensive rebound by D. Waiters,,46-47,,
9:09.0,G. Dragic misses 3-pt shot from 25 ft,,46-47,,
9:06.0,Offensive rebound by J. Richardson,,46-47,,
8:59.0,J. Johnson misses 3-pt shot from 26 ft,,46-47,,
8:56.0,,,46-47,,Defensive rebound by J. Green
8:46.0,Personal foul by J. Richardson (drawn by T. Evans),,46-47,,
8:33.0,,,46-49,2,A. Harrison makes 2-pt shot at rim
8:22.0,,,46-49,,Personal foul by D. Brooks (drawn by B. Adebayo)
8:22.0,,,46-49,,J. Ennis enters the game for D. Brooks
8:12.0,D. Waiters makes 2-pt shot from 1 ft,2,48-49,,
7:51.0,,,48-49,,M. Gasol misses 2-pt shot from 1 ft
7:49.0,,,48-49,,Offensive rebound by M. Gasol
7:49.0,,,48-49,,M. Gasol misses 2-pt shot at rim
7:49.0,,,48-49,,Offensive rebound by Team
7:47.0,Jump ball: M. Gasol vs. J. Richardson (A. Harrison gains possession),,,,Jump ball: M. Gasol vs. J. Richardson (A. Harrison gains possession)
7:35.0,,,48-49,,Shooting foul by B. Adebayo (drawn by M. Gasol)
7:35.0,,,48-49,,M. Gasol misses free throw 1 of 2
7:35.0,,,48-49,,Offensive rebound by Team
7:35.0,,,48-50,1,M. Gasol makes free throw 2 of 2
7:17.0,Shooting foul by A. Harrison (drawn by J. Johnson),,48-50,,
7:17.0,J. Johnson makes free throw 1 of 2,1,49-50,,
7:17.0,,,49-50,,M. Chalmers enters the game for T. Evans
7:17.0,J. Johnson makes free throw 2 of 2,1,50-50,,
7:07.0,,,50-50,,M. Gasol misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by G. Dragic,,50-50,,
6:47.0,B. Adebayo makes 2-pt shot at rim (assist by D. Waiters),2,52-50,,
6:34.0,,,52-50,,Shooting foul by D. Waiters (drawn by J. Ennis)
6:34.0,,,52-50,,Memphis full timeout
6:34.0,T. Johnson enters the game for J. Richardson,,52-50,,
6:34.0,,,52-51,1,J. Ennis makes free throw 1 of 2
6:34.0,,,52-51,,J. Ennis misses free throw 2 of 2
6:31.0,Defensive rebound by B. Adebayo,,52-51,,
6:19.0,G. Dragic makes 3-pt shot from 25 ft (assist by B. Adebayo),3,55-51,,
5:53.0,,,55-54,3,J. Green makes 3-pt shot from 26 ft (assist by M. Chalmers)
5:40.0,,,55-54,,Personal foul by J. Ennis (drawn by G. Dragic)
5:40.0,G. Dragic makes free throw 1 of 2,1,56-54,,
5:40.0,G. Dragic makes free throw 2 of 2,1,57-54,,
5:19.0,,,57-54,,Turnover by J. Green (bad pass; steal by J. Johnson)
5:11.0,D. Waiters misses 3-pt shot from 25 ft,,57-54,,
5:10.0,,,57-54,,Defensive rebound by Team
4:52.0,,,57-56,2,M. Gasol makes 2-pt shot from 1 ft (assist by A. Harrison)
4:31.0,G. Dragic makes 2-pt shot from 13 ft,2,59-56,,
4:11.0,,,59-56,,Shooting foul by T. Johnson (drawn by A. Harrison)
4:11.0,,,59-57,1,A. Harrison makes free throw 1 of 2
4:11.0,,,59-57,,C. Parsons enters the game for J. Green
4:11.0,W. Ellington enters the game for D. Waiters,,59-57,,
4:11.0,,,59-58,1,A. Harrison makes free throw 2 of 2
4:01.0,B. Adebayo makes 2-pt shot at rim (assist by G. Dragic),2,61-58,,
4:01.0,Shooting foul by J. Ennis (drawn by B. Adebayo),,61-58,,
4:01.0,B. Adebayo misses free throw 1 of 1,,61-58,,
3:59.0,,,61-58,,Defensive rebound by M. Chalmers
3:47.0,,,61-58,,Turnover by M. Chalmers (bad pass; steal by J. Johnson)
3:43.0,J. Johnson makes 2-pt shot at rim (assist by G. Dragic),2,63-58,,
3:24.0,,,63-58,,C. Parsons misses 3-pt shot from 26 ft
3:21.0,Defensive rebound by W. Ellington,,63-58,,
3:07.0,B. Adebayo misses 2-pt shot from 1 ft (block by C. Parsons),,63-58,,
3:03.0,,,63-58,,Defensive rebound by C. Parsons
2:48.0,,,63-58,,Shooting foul by B. Adebayo (drawn by M. Gasol)
2:48.0,Miami full timeout,,63-58,,
2:48.0,,,63-58,,T. Evans enters the game for A. Harrison
2:48.0,,,63-58,,B. McLemore enters the game for M. Chalmers
2:48.0,J. Winslow enters the game for B. Adebayo,,63-58,,
2:48.0,,,63-58,,M. Gasol misses free throw 1 of 2
2:48.0,,,63-58,,Offensive rebound by Team
2:48.0,,,63-58,,M. Gasol misses free throw 2 of 2
2:46.0,Defensive rebound by J. Winslow,,63-58,,
2:34.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson),3,66-58,,
2:16.0,,,66-58,,T. Evans misses 2-pt shot from 5 ft
2:14.0,Defensive rebound by J. Winslow,,66-58,,
2:08.0,J. Johnson makes 2-pt shot at rim (assist by J. Winslow),2,68-58,,
1:46.0,,,68-58,,B. McLemore misses 2-pt shot from 6 ft
1:44.0,Defensive rebound by J. Johnson,,68-58,,
1:41.0,T. Johnson misses 3-pt shot from 25 ft,,68-58,,
1:40.0,,,68-58,,Defensive rebound by Team
1:40.0,,,68-58,,D. Davis enters the game for M. Gasol
1:27.0,,,68-58,,D. Davis misses 2-pt shot from 2 ft
1:25.0,,,68-58,,Offensive rebound by J. Ennis
1:25.0,,,68-58,,Shooting foul by J. Johnson (drawn by J. Ennis)
1:25.0,,,68-59,1,J. Ennis makes free throw 1 of 2
1:25.0,,,68-60,1,J. Ennis makes free throw 2 of 2
1:09.0,J. Johnson misses 2-pt shot at rim,,68-60,,
1:06.0,,,68-60,,Defensive rebound by C. Parsons
1:00.0,,,68-60,,Memphis full timeout
0:47.0,,,68-60,,J. Ennis misses 3-pt shot from 22 ft
0:45.0,Defensive rebound by J. Johnson,,68-60,,
0:27.0,G. Dragic makes 2-pt shot from 12 ft,2,70-60,,
0:04.0,,,70-60,,B. McLemore misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by T. Johnson,,70-60,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,70-60,,D. Davis misses 2-pt shot at rim
11:41.0,Defensive rebound by T. Johnson,,70-60,,
11:31.0,Shooting foul by B. McLemore (drawn by K. Olynyk),,70-60,,
11:31.0,K. Olynyk makes free throw 1 of 2,1,71-60,,
11:31.0,K. Olynyk makes free throw 2 of 2,1,72-60,,
11:11.0,,,72-62,2,C. Parsons makes 2-pt shot from 11 ft
10:51.0,Shooting foul by C. Parsons (drawn by J. Richardson),,72-62,,
10:51.0,J. Richardson makes free throw 1 of 2,1,73-62,,
10:51.0,J. Richardson makes free throw 2 of 2,1,74-62,,
10:43.0,,,74-62,,J. Ennis misses 2-pt shot from 3 ft
10:37.0,,,74-62,,Offensive rebound by D. Davis
10:37.0,,,74-64,2,D. Davis makes 2-pt shot at rim
10:20.0,W. Ellington makes 3-pt shot from 26 ft (assist by K. Olynyk),3,77-64,,
10:08.0,,,77-64,,T. Evans misses 2-pt shot at rim (block by T. Johnson)
10:08.0,,,77-64,,Offensive rebound by Team
9:56.0,,,77-67,3,J. Ennis makes 3-pt shot from 26 ft (assist by C. Parsons)
9:33.0,J. Richardson misses 2-pt shot from 1 ft,,77-67,,
9:31.0,,,77-67,,Defensive rebound by D. Davis
9:20.0,,,77-67,,T. Evans misses 3-pt shot from 26 ft
9:16.0,Defensive rebound by J. Winslow,,77-67,,
9:05.0,T. Johnson makes 3-pt shot from 24 ft (assist by J. Winslow),3,80-67,,
8:57.0,,,80-67,,Memphis full timeout
8:57.0,,,80-67,,M. Gasol enters the game for J. Ennis
8:57.0,,,80-67,,D. Brooks enters the game for D. Davis
8:57.0,,,80-67,,A. Harrison enters the game for B. McLemore
8:57.0,,,80-67,,J. Green enters the game for C. Parsons
8:46.0,,,80-67,,Shooting foul by K. Olynyk (drawn by M. Gasol)
8:46.0,,,80-68,1,M. Gasol makes free throw 1 of 2
8:46.0,B. Adebayo enters the game for K. Olynyk,,80-68,,
8:46.0,,,80-69,1,M. Gasol makes free throw 2 of 2
8:35.0,,,80-69,,Personal foul by D. Brooks (drawn by T. Johnson)
8:21.0,J. Winslow makes 3-pt shot from 22 ft (assist by J. Richardson),3,83-69,,
7:57.0,,,83-69,,T. Evans misses 2-pt shot from 2 ft (block by B. Adebayo)
7:54.0,Defensive rebound by B. Adebayo,,83-69,,
7:32.0,J. Richardson makes 2-pt shot from 1 ft,2,85-69,,
7:12.0,Def 3 sec tech foul by J. Winslow,,85-69,,
7:12.0,,,85-70,1,M. Gasol makes technical free throw
7:12.0,,,85-70,,C. Parsons enters the game for D. Brooks
7:06.0,,,85-70,,Shooting foul by J. Richardson (drawn by A. Harrison)
7:06.0,,,85-71,1,A. Harrison makes free throw 1 of 2
7:06.0,,,85-72,1,A. Harrison makes free throw 2 of 2
6:47.0,,,85-72,,Personal foul by J. Green (drawn by B. Adebayo)
6:32.0,T. Johnson makes 2-pt shot from 1 ft,2,87-72,,
6:18.0,,,87-72,,Turnover by A. Harrison (bad pass; steal by J. Winslow)
6:12.0,T. Johnson makes 3-pt shot from 25 ft,3,90-72,,
5:54.0,Personal foul by B. Adebayo (drawn by M. Gasol),,90-72,,
5:44.0,,,90-75,3,M. Gasol makes 3-pt shot from 26 ft (assist by C. Parsons)
5:31.0,,,90-75,,Personal foul by T. Evans (drawn by B. Adebayo)
5:31.0,B. Adebayo makes free throw 1 of 2,1,91-75,,
5:31.0,B. Adebayo makes free throw 2 of 2,1,92-75,,
5:16.0,,,92-75,,T. Evans misses 3-pt shot from 26 ft
5:12.0,Defensive rebound by B. Adebayo,,92-75,,
4:53.0,W. Ellington misses 3-pt shot from 25 ft,,92-75,,
4:51.0,,,92-75,,Defensive rebound by M. Gasol
4:47.0,,,92-75,,A. Harrison misses 2-pt shot from 1 ft (block by T. Johnson)
4:43.0,Defensive rebound by T. Johnson,,92-75,,
4:39.0,Miami full timeout,,92-75,,
4:39.0,,,92-75,,D. Brooks enters the game for A. Harrison
4:39.0,J. Johnson enters the game for B. Adebayo,,92-75,,
4:24.0,J. Johnson makes 2-pt shot at rim,2,94-75,,
4:04.0,,,94-75,,C. Parsons misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by T. Johnson,,94-75,,
3:53.0,J. Richardson makes 3-pt shot from 27 ft (assist by T. Johnson),3,97-75,,
3:33.0,,,97-75,,M. Gasol misses 3-pt shot from 24 ft
3:28.0,Defensive rebound by J. Richardson,,97-75,,
3:14.0,T. Johnson makes 3-pt shot from 26 ft (assist by J. Winslow),3,100-75,,
2:54.0,,,100-75,,T. Evans misses 3-pt shot from 24 ft
2:52.0,Defensive rebound by J. Richardson,,100-75,,
2:34.0,J. Winslow misses 2-pt shot from 1 ft,,100-75,,
2:31.0,,,100-75,,Defensive rebound by C. Parsons
2:27.0,,,100-75,,D. Brooks misses 3-pt shot from 22 ft
2:23.0,Defensive rebound by J. Winslow,,100-75,,
2:11.0,Turnover by T. Johnson (lost ball; steal by C. Parsons),,100-75,,
2:03.0,,,100-77,2,T. Evans makes 2-pt shot from 1 ft
1:52.0,,,100-77,,Personal take foul by T. Evans (drawn by J. Johnson)
1:52.0,J. Johnson makes free throw 1 of 2,1,101-77,,
1:52.0,,,101-77,,D. Davis enters the game for J. Green
1:52.0,,,101-77,,J. Martin enters the game for T. Evans
1:52.0,,,101-77,,V. Hunter enters the game for C. Parsons
1:52.0,,,101-77,,A. Harrison enters the game for M. Gasol
1:52.0,,,101-77,,I. Rabb enters the game for D. Brooks
1:52.0,U. Haslem enters the game for J. Richardson,,101-77,,
1:52.0,J. Johnson misses free throw 2 of 2,,101-77,,
1:52.0,Personal take foul by J. Johnson (drawn by D. Davis),,101-77,,
1:52.0,J. Mickey enters the game for J. Johnson,,101-77,,
1:50.0,,,101-77,,Defensive rebound by D. Davis
1:39.0,Personal foul by U. Haslem (drawn by D. Davis),,101-77,,
1:39.0,,,101-77,,D. Davis misses free throw 1 of 2
