time,Detroit,pts.away,score,pts.home,Toronto
4:59.0,A. Bradley misses 3-pt shot from 22 ft,,7-18,,
4:59.0,,,7-18,,Defensive rebound by J. Valanciunas
4:51.0,,,7-18,,Turnover by D. DeRozan (turnover)
4:43.0,Shooting foul by O. Anunoby (drawn by T. Harris),,7-18,,
4:43.0,T. Harris makes free throw 1 of 2,1,8-18,,
4:43.0,T. Harris makes free throw 2 of 2,1,9-18,,
4:27.0,,,9-18,,Turnover by K. Lowry (bad pass; steal by A. Bradley)
4:23.0,T. Harris makes 2-pt shot at rim (assist by A. Bradley),2,11-18,,
4:13.0,,,11-18,,Toronto full timeout
4:13.0,,,11-18,,C. Miles enters the game for O. Anunoby
4:13.0,,,11-18,,J. Poeltl enters the game for J. Valanciunas
4:10.0,,,11-20,2,C. Miles makes 2-pt shot from 1 ft (assist by K. Lowry)
3:51.0,Turnover by A. Tolliver (traveling),,11-20,,
3:38.0,,,11-20,,S. Ibaka misses 2-pt shot from 18 ft
3:35.0,Defensive rebound by I. Smith,,11-20,,
3:29.0,,,11-20,,Personal foul by J. Poeltl (drawn by A. Drummond)
3:21.0,I. Smith misses 2-pt shot from 8 ft,,11-20,,
3:19.0,,,11-20,,Defensive rebound by J. Poeltl
3:10.0,,,11-22,2,J. Poeltl makes 2-pt shot from 2 ft (assist by D. DeRozan)
3:03.0,Detroit full timeout,,11-22,,
3:03.0,,,11-22,,D. Wright enters the game for K. Lowry
3:03.0,,,11-22,,P. Siakam enters the game for S. Ibaka
2:45.0,Turnover by A. Bradley (bad pass; steal by J. Poeltl),,11-22,,
2:41.0,D. Buycks enters the game for A. Drummond,,11-22,,
2:41.0,B. Marjanovic enters the game for I. Smith,,11-22,,
2:40.0,Shooting block foul by T. Harris (drawn by C. Miles),,11-22,,
2:40.0,,,11-23,1,C. Miles makes free throw 1 of 3
2:40.0,,,11-24,1,C. Miles makes free throw 2 of 3
2:40.0,,,11-24,,C. Miles misses free throw 3 of 3
2:39.0,Defensive rebound by B. Marjanovic,,11-24,,
2:24.0,T. Harris misses 2-pt shot from 1 ft,,11-24,,
2:21.0,,,11-24,,Defensive rebound by J. Poeltl
2:13.0,,,11-26,2,D. DeRozan makes 2-pt shot from 11 ft
1:59.0,A. Bradley makes 2-pt shot from 1 ft,2,13-26,,
1:41.0,,,13-26,,D. DeRozan misses 2-pt shot from 20 ft
1:39.0,Defensive rebound by T. Harris,,13-26,,
1:36.0,,,13-26,,Personal foul by J. Poeltl (drawn by B. Marjanovic)
1:36.0,B. Marjanovic misses free throw 1 of 2,,13-26,,
1:36.0,Offensive rebound by Team,,13-26,,
1:36.0,B. Marjanovic makes free throw 2 of 2,1,14-26,,
1:24.0,,,14-26,,D. Wright misses 2-pt shot from 1 ft
1:21.0,Defensive rebound by B. Marjanovic,,14-26,,
1:18.0,A. Bradley makes 2-pt shot at rim (assist by D. Buycks),2,16-26,,
1:01.0,,,16-29,3,C. Miles makes 3-pt shot from 25 ft (assist by D. DeRozan)
0:46.0,Turnover by B. Marjanovic (step out of bounds),,16-29,,
0:32.0,,,16-29,,C. Miles misses 3-pt shot from 26 ft
0:29.0,Defensive rebound by A. Tolliver,,16-29,,
0:10.0,Shooting foul by J. Poeltl (drawn by T. Harris),,16-29,,
0:10.0,T. Harris makes free throw 1 of 2,1,17-29,,
0:10.0,T. Harris makes free throw 2 of 2,1,18-29,,
0:04.0,,,18-29,,D. DeRozan misses 3-pt shot from 27 ft
0:02.0,,,18-29,,Offensive rebound by J. Poeltl
0:02.0,,,18-31,2,J. Poeltl makes 2-pt shot from 1 ft
0:02.0,,,18-31,,Shooting foul by T. Harris (drawn by J. Poeltl)
0:02.0,,,18-31,,J. Poeltl misses free throw 1 of 1
0:01.0,Defensive rebound by B. Marjanovic,,18-31,,
0:00.0,Turnover by B. Marjanovic (bad pass; steal by C. Miles),,18-31,,
0:00.0,,,18-31,,C. Miles misses 3-pt shot from 24 ft
0:00.0,,,18-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,B. Marjanovic makes 2-pt shot from 1 ft (assist by D. Buycks),2,20-31,,
11:30.0,,,20-31,,C. Miles misses 3-pt shot from 25 ft
11:29.0,Defensive rebound by Team,,20-31,,
11:18.0,,,20-31,,Personal foul by L. Nogueira (drawn by B. Marjanovic)
11:10.0,B. Marjanovic makes 2-pt shot at rim (assist by A. Tolliver),2,22-31,,
10:42.0,,,22-31,,Turnover by Team (shot clock)
10:35.0,D. Buycks misses 2-pt shot from 1 ft,,22-31,,
10:32.0,Offensive rebound by D. Buycks,,22-31,,
10:30.0,L. Galloway makes 3-pt shot from 25 ft (assist by D. Buycks),3,25-31,,
10:17.0,,,25-34,3,C. Miles makes 3-pt shot from 25 ft (assist by D. Wright)
10:03.0,A. Tolliver makes 3-pt shot from 25 ft (assist by D. Buycks),3,28-34,,
9:45.0,,,28-37,3,C. Miles makes 3-pt shot from 25 ft (assist by P. Siakam)
9:27.0,B. Marjanovic misses 2-pt shot from 1 ft,,28-37,,
9:27.0,,,28-37,,Defensive rebound by L. Nogueira
9:13.0,,,28-40,3,N. Powell makes 3-pt shot from 25 ft (assist by D. Wright)
9:04.0,Detroit full timeout,,28-40,,
8:59.0,,,28-40,,Personal foul by C. Miles (drawn by R. Bullock)
8:47.0,L. Galloway misses 3-pt shot from 25 ft,,28-40,,
8:43.0,Offensive rebound by R. Bullock,,28-40,,
8:42.0,R. Bullock misses 2-pt shot from 1 ft,,28-40,,
8:40.0,,,28-40,,Defensive rebound by N. Powell
8:39.0,,,28-42,2,P. Siakam makes 2-pt shot from 1 ft (assist by D. Wright)
8:22.0,B. Marjanovic makes 2-pt shot from 5 ft (assist by D. Buycks),2,30-42,,
8:06.0,,,30-42,,C. Miles misses 3-pt shot from 26 ft
8:03.0,Defensive rebound by B. Marjanovic,,30-42,,
7:53.0,D. Buycks misses 2-pt shot from 4 ft,,30-42,,
7:51.0,Offensive rebound by L. Galloway,,30-42,,
7:49.0,A. Tolliver makes 3-pt shot from 24 ft (assist by L. Galloway),3,33-42,,
7:39.0,,,33-42,,Turnover by L. Nogueira (lost ball; steal by R. Bullock)
7:39.0,,,33-42,,Personal foul by N. Powell (drawn by R. Bullock)
7:39.0,,,33-42,,J. Valanciunas enters the game for C. Miles
7:39.0,,,33-42,,K. Lowry enters the game for L. Nogueira
7:39.0,A. Drummond enters the game for B. Marjanovic,,33-42,,
7:29.0,Turnover by A. Drummond (bad pass; steal by N. Powell),,33-42,,
7:13.0,,,33-45,3,J. Valanciunas makes 3-pt shot from 26 ft (assist by N. Powell)
6:45.0,A. Drummond makes 2-pt shot at rim (assist by A. Tolliver),2,35-45,,
6:25.0,,,35-45,,J. Valanciunas misses 2-pt shot from 14 ft
6:22.0,,,35-45,,Offensive rebound by K. Lowry
6:16.0,,,35-45,,Shooting foul by R. Bullock (drawn by J. Valanciunas)
6:16.0,,,35-46,1,J. Valanciunas makes free throw 1 of 2
6:16.0,,,35-46,,D. DeRozan enters the game for D. Wright
6:16.0,I. Smith enters the game for D. Buycks,,35-46,,
6:16.0,T. Harris enters the game for R. Bullock,,35-46,,
6:16.0,A. Bradley enters the game for A. Tolliver,,35-46,,
6:16.0,,,35-47,1,J. Valanciunas makes free throw 2 of 2
6:06.0,,,35-47,,Personal foul by N. Powell (drawn by A. Bradley)
6:06.0,,,35-47,,S. Ibaka enters the game for P. Siakam
5:58.0,T. Harris makes 2-pt shot from 13 ft,2,37-47,,
5:42.0,,,37-47,,Offensive charge foul by J. Valanciunas (drawn by T. Harris)
5:42.0,,,37-47,,Turnover by J. Valanciunas (offensive foul)
5:28.0,T. Harris misses 3-pt shot from 25 ft,,37-47,,
5:24.0,Offensive rebound by Team,,37-47,,
5:12.0,Turnover by A. Bradley (bad pass),,37-47,,
4:46.0,,,37-47,,D. DeRozan misses 3-pt shot from 27 ft
4:42.0,Defensive rebound by I. Smith,,37-47,,
4:34.0,I. Smith misses 2-pt shot from 12 ft,,37-47,,
4:32.0,,,37-47,,Defensive rebound by J. Valanciunas
4:24.0,Shooting block foul by A. Drummond (drawn by J. Valanciunas),,37-47,,
4:24.0,,,37-48,1,J. Valanciunas makes free throw 1 of 2
4:24.0,,,37-48,,O. Anunoby enters the game for N. Powell
4:24.0,,,37-49,1,J. Valanciunas makes free throw 2 of 2
4:05.0,T. Harris makes 2-pt shot from 3 ft,2,39-49,,
3:43.0,,,39-49,,K. Lowry misses 3-pt shot from 26 ft
3:40.0,,,39-49,,Offensive rebound by S. Ibaka
3:38.0,,,39-49,,Turnover by S. Ibaka (bad pass; steal by L. Galloway)
3:36.0,,,39-49,,Personal foul by K. Lowry (drawn by I. Smith)
3:36.0,I. Smith misses free throw 1 of 2,,39-49,,
3:36.0,Offensive rebound by Team,,39-49,,
3:36.0,I. Smith makes free throw 2 of 2,1,40-49,,
3:21.0,,,40-49,,Turnover by K. Lowry (lost ball; steal by A. Drummond)
3:18.0,Shooting foul by S. Ibaka (drawn by A. Bradley),,40-49,,
3:18.0,A. Bradley misses free throw 1 of 2,,40-49,,
3:18.0,Offensive rebound by Team,,40-49,,
3:18.0,A. Bradley misses free throw 2 of 2,,40-49,,
3:15.0,,,40-49,,Defensive rebound by J. Valanciunas
2:53.0,,,40-49,,D. DeRozan misses 2-pt shot from 17 ft
2:48.0,Defensive rebound by A. Drummond,,40-49,,
2:37.0,L. Galloway makes 2-pt shot from 7 ft (assist by T. Harris),2,42-49,,
2:31.0,,,42-49,,Toronto full timeout
2:19.0,,,42-51,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by S. Ibaka)
2:05.0,L. Galloway makes 3-pt shot from 25 ft (assist by I. Smith),3,45-51,,
1:46.0,,,45-51,,Turnover by D. DeRozan (lost ball; steal by A. Drummond)
1:42.0,A. Bradley misses 2-pt shot from 1 ft,,45-51,,
1:42.0,Offensive rebound by A. Drummond,,45-51,,
1:39.0,A. Drummond makes 2-pt shot at rim,2,47-51,,
1:39.0,,,47-51,,Turnover by O. Anunoby (bad pass)
1:31.0,Offensive charge foul by T. Harris (drawn by O. Anunoby),,47-51,,
1:31.0,Turnover by T. Harris (offensive foul),,47-51,,
1:31.0,A. Tolliver enters the game for T. Harris,,47-51,,
1:10.0,,,47-51,,Turnover by D. DeRozan (bad pass; steal by L. Galloway)
1:01.0,I. Smith misses 2-pt shot from 2 ft,,47-51,,
1:00.0,Offensive rebound by A. Drummond,,47-51,,
1:00.0,A. Drummond makes 2-pt shot at rim,2,49-51,,
0:48.0,,,49-54,3,K. Lowry makes 3-pt shot from 25 ft (assist by J. Valanciunas)
0:38.0,L. Galloway misses 3-pt shot from 25 ft,,49-54,,
0:35.0,,,49-54,,Defensive rebound by K. Lowry
0:32.0,,,49-54,,K. Lowry misses 3-pt shot from 30 ft
0:30.0,Defensive rebound by A. Drummond,,49-54,,
0:19.0,A. Bradley makes 2-pt shot from 1 ft (assist by A. Drummond),2,51-54,,
0:03.0,,,51-54,,Turnover by D. DeRozan (lost ball; steal by A. Bradley)
0:00.0,I. Smith misses 3-pt shot from 26 ft,,51-54,,
0:00.0,Offensive rebound by Team,,51-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,I. Smith misses 2-pt shot from 8 ft,,51-54,,
11:44.0,,,51-54,,Defensive rebound by J. Valanciunas
11:37.0,,,51-54,,S. Ibaka misses 2-pt shot from 8 ft
11:35.0,Defensive rebound by A. Drummond,,51-54,,
11:19.0,A. Bradley makes 2-pt shot from 7 ft,2,53-54,,
11:04.0,,,53-54,,D. DeRozan misses 2-pt shot from 15 ft
11:04.0,Defensive rebound by A. Drummond,,53-54,,
10:52.0,A. Bradley misses 2-pt shot from 12 ft,,53-54,,
10:48.0,Offensive rebound by A. Drummond,,53-54,,
10:48.0,A. Drummond makes 2-pt shot from 1 ft,2,55-54,,
10:25.0,,,55-57,3,K. Lowry makes 3-pt shot from 26 ft (assist by D. DeRozan)
10:09.0,A. Bradley misses 2-pt shot from 3 ft,,55-57,,
10:04.0,Offensive rebound by A. Drummond,,55-57,,
10:04.0,A. Drummond makes 2-pt shot at rim,2,57-57,,
9:53.0,,,57-60,3,K. Lowry makes 3-pt shot from 25 ft (assist by J. Valanciunas)
9:43.0,,,57-60,,Personal foul by J. Valanciunas (drawn by A. Drummond)
9:36.0,I. Smith makes 2-pt shot from 15 ft,2,59-60,,
9:19.0,Def 3 sec tech foul by T. Harris,,59-60,,
9:19.0,,,59-61,1,D. DeRozan makes technical free throw
9:04.0,,,59-61,,J. Valanciunas misses 2-pt shot from 5 ft
9:02.0,Defensive rebound by A. Bradley,,59-61,,
8:55.0,T. Harris makes 2-pt shot from 1 ft (assist by A. Bradley),2,61-61,,
8:33.0,,,61-63,2,K. Lowry makes 2-pt shot from 1 ft
8:13.0,A. Drummond makes 2-pt shot at rim (assist by T. Harris),2,63-63,,
7:52.0,Personal block foul by A. Tolliver (drawn by D. DeRozan),,63-63,,
7:45.0,,,63-65,2,S. Ibaka makes 2-pt shot from 18 ft (assist by D. DeRozan)
7:25.0,T. Harris misses 2-pt shot from 11 ft,,63-65,,
7:24.0,Offensive rebound by Team,,63-65,,
7:18.0,T. Harris misses 3-pt shot from 25 ft,,63-65,,
7:15.0,,,63-65,,Defensive rebound by J. Valanciunas
7:03.0,,,63-65,,J. Valanciunas misses 2-pt shot from 2 ft
7:01.0,Defensive rebound by A. Drummond,,63-65,,
6:56.0,I. Smith misses 2-pt shot from 4 ft (block by O. Anunoby),,63-65,,
6:53.0,,,63-65,,Defensive rebound by K. Lowry
6:43.0,,,63-67,2,J. Valanciunas makes 2-pt shot at rim (assist by O. Anunoby)
6:23.0,A. Tolliver misses 3-pt shot from 27 ft,,63-67,,
6:22.0,,,63-67,,Defensive rebound by Team
6:22.0,,,63-67,,Toronto full timeout
6:02.0,,,63-67,,J. Valanciunas misses 2-pt shot from 6 ft
6:00.0,Defensive rebound by T. Harris,,63-67,,
5:49.0,A. Drummond misses 2-pt shot from 2 ft,,63-67,,
5:49.0,,,63-67,,Defensive rebound by J. Valanciunas
5:35.0,,,63-67,,J. Valanciunas misses 3-pt shot from 25 ft
5:32.0,,,63-67,,Offensive rebound by K. Lowry
5:14.0,,,63-67,,Turnover by J. Valanciunas (bad pass; steal by I. Smith)
5:08.0,T. Harris misses 3-pt shot from 26 ft,,63-67,,
5:05.0,,,63-67,,Defensive rebound by J. Valanciunas
4:58.0,Personal foul by T. Harris (drawn by J. Valanciunas),,63-67,,
4:58.0,,,63-67,,J. Poeltl enters the game for O. Anunoby
4:58.0,,,63-67,,C. Miles enters the game for J. Valanciunas
4:58.0,R. Bullock enters the game for T. Harris,,63-67,,
4:52.0,,,63-69,2,D. DeRozan makes 2-pt shot from 14 ft (assist by K. Lowry)
4:36.0,,,63-69,,Personal block foul by D. DeRozan (drawn by I. Smith)
4:29.0,A. Drummond makes 2-pt shot at rim (assist by I. Smith),2,65-69,,
4:06.0,,,65-69,,C. Miles misses 2-pt shot from 21 ft
4:03.0,Defensive rebound by A. Bradley,,65-69,,
3:51.0,A. Bradley misses 3-pt shot from 23 ft,,65-69,,
3:48.0,,,65-69,,Defensive rebound by K. Lowry
3:41.0,,,65-69,,D. DeRozan misses 2-pt shot from 11 ft
3:37.0,Defensive rebound by A. Tolliver,,65-69,,
3:33.0,Offensive charge foul by I. Smith (drawn by K. Lowry),,65-69,,
3:33.0,Turnover by I. Smith (offensive foul),,65-69,,
3:33.0,,,65-69,,P. Siakam enters the game for S. Ibaka
3:19.0,,,65-69,,Turnover by C. Miles (bad pass; steal by A. Drummond)
3:16.0,R. Bullock makes 2-pt shot at rim (assist by A. Drummond),2,67-69,,
2:57.0,,,67-69,,K. Lowry misses 3-pt shot from 24 ft
2:56.0,,,67-69,,Offensive rebound by J. Poeltl
2:56.0,Personal foul by A. Tolliver (drawn by J. Poeltl),,67-69,,
2:56.0,Detroit full timeout,,67-69,,
2:56.0,,,67-69,,D. Wright enters the game for K. Lowry
2:56.0,D. Buycks enters the game for I. Smith,,67-69,,
2:39.0,,,67-71,2,P. Siakam makes 2-pt shot from 9 ft
2:12.0,A. Bradley misses 2-pt shot from 1 ft,,67-71,,
2:07.0,Offensive rebound by A. Drummond,,67-71,,
2:07.0,A. Drummond makes 2-pt shot at rim,2,69-71,,
1:49.0,,,69-71,,J. Poeltl misses 2-pt shot at rim
1:45.0,Defensive rebound by A. Drummond,,69-71,,
1:34.0,A. Tolliver makes 3-pt shot from 25 ft (assist by D. Buycks),3,72-71,,
1:14.0,,,72-71,,Turnover by D. Wright (lost ball; steal by D. Buycks)
1:10.0,Jump ball: J. Poeltl vs. R. Bullock (D. Buycks gains possession),,,,Jump ball: J. Poeltl vs. R. Bullock (D. Buycks gains possession)
0:59.0,D. Buycks misses 2-pt shot from 3 ft (block by J. Poeltl),,72-71,,
0:59.0,Offensive rebound by Team,,72-71,,
0:57.0,A. Bradley misses 2-pt shot from 17 ft (block by J. Poeltl),,72-71,,
0:54.0,,,72-71,,Defensive rebound by D. Wright
0:41.0,,,72-71,,J. Poeltl misses 2-pt shot from 2 ft (block by A. Tolliver)
0:38.0,Defensive rebound by D. Buycks,,72-71,,
0:35.0,D. Buycks misses 2-pt shot from 2 ft (block by D. Wright),,72-71,,
0:32.0,,,72-71,,Defensive rebound by D. DeRozan
0:32.0,,,72-73,2,J. Poeltl makes 2-pt shot from 1 ft (assist by D. DeRozan)
0:20.0,,,72-73,,Shooting block foul by C. Miles (drawn by A. Drummond)
0:20.0,A. Drummond makes free throw 1 of 2,1,73-73,,
0:20.0,A. Drummond misses free throw 2 of 2,,73-73,,
0:18.0,,,73-73,,Defensive rebound by P. Siakam
0:04.0,Personal foul by D. Buycks (drawn by D. Wright),,73-73,,
0:02.0,,,73-73,,D. DeRozan misses 2-pt shot from 17 ft
0:02.0,,,73-73,,Offensive rebound by D. Wright
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,73-73,,D. Wright misses 2-pt shot from 2 ft (block by B. Marjanovic)
11:46.0,,,73-73,,Offensive rebound by Team
11:44.0,,,73-73,,C. Miles misses 3-pt shot from 23 ft
11:41.0,Defensive rebound by T. Harris,,73-73,,
11:29.0,T. Harris misses 2-pt shot from 4 ft,,73-73,,
11:27.0,,,73-73,,Defensive rebound by P. Siakam
11:14.0,,,73-73,,C. Miles misses 3-pt shot from 23 ft
11:11.0,Defensive rebound by B. Marjanovic,,73-73,,
11:04.0,D. Buycks makes 3-pt shot from 28 ft (assist by T. Harris),3,76-73,,
10:41.0,,,76-75,2,D. Wright makes 2-pt shot from 1 ft
10:19.0,B. Marjanovic misses 2-pt shot from 5 ft,,76-75,,
10:17.0,,,76-75,,Defensive rebound by D. Wright
10:11.0,,,76-75,,C. Miles misses 2-pt shot from 1 ft
10:09.0,Defensive rebound by B. Marjanovic,,76-75,,
10:02.0,L. Galloway makes 3-pt shot from 23 ft (assist by R. Bullock),3,79-75,,
9:37.0,,,79-75,,N. Powell misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by T. Harris,,79-75,,
9:24.0,Turnover by T. Harris (bad pass; steal by P. Siakam),,79-75,,
9:19.0,,,79-78,3,C. Miles makes 3-pt shot from 26 ft (assist by N. Powell)
8:54.0,B. Marjanovic misses 2-pt shot from 5 ft,,79-78,,
8:51.0,,,79-78,,Defensive rebound by J. Poeltl
8:44.0,,,79-80,2,J. Poeltl makes 2-pt shot from 2 ft (assist by D. Wright)
8:44.0,Shooting block foul by T. Harris (drawn by J. Poeltl),,79-80,,
8:44.0,A. Drummond enters the game for B. Marjanovic,,79-80,,
8:44.0,A. Tolliver enters the game for T. Harris,,79-80,,
8:44.0,,,79-80,,J. Poeltl misses free throw 1 of 1
8:41.0,Defensive rebound by A. Drummond,,79-80,,
8:26.0,Offensive charge foul by D. Buycks (drawn by D. Wright),,79-80,,
8:26.0,Turnover by D. Buycks (offensive foul),,79-80,,
8:14.0,Violation by A. Drummond (kicked ball),,79-80,,
8:09.0,,,79-80,,Offensive charge foul by J. Poeltl (drawn by A. Tolliver)
8:09.0,,,79-80,,Turnover by J. Poeltl (offensive foul)
7:54.0,Turnover by A. Drummond (out of bounds lost ball),,79-80,,
7:35.0,,,79-80,,Turnover by P. Siakam (lost ball; steal by A. Drummond)
7:26.0,A. Drummond misses 2-pt shot from 10 ft (block by P. Siakam),,79-80,,
7:22.0,Offensive rebound by A. Drummond,,79-80,,
7:21.0,A. Drummond makes 2-pt shot from 2 ft,2,81-80,,
7:05.0,,,81-80,,N. Powell misses 3-pt shot from 25 ft
7:05.0,Defensive rebound by A. Tolliver,,81-80,,
6:48.0,Turnover by R. Bullock (lost ball; steal by P. Siakam),,81-80,,
6:43.0,,,81-82,2,C. Miles makes 2-pt shot from 1 ft (assist by D. Wright)
6:43.0,,,81-82,,Shooting foul by A. Tolliver (drawn by C. Miles)
6:43.0,,,81-82,,Toronto full timeout
6:43.0,,,81-82,,K. Lowry enters the game for N. Powell
6:43.0,,,81-82,,D. DeRozan enters the game for P. Siakam
6:43.0,I. Smith enters the game for D. Buycks,,81-82,,
6:43.0,,,81-82,,C. Miles misses free throw 1 of 1
6:41.0,Defensive rebound by A. Drummond,,81-82,,
6:30.0,L. Galloway misses 3-pt shot from 27 ft,,81-82,,
6:26.0,,,81-82,,Defensive rebound by C. Miles
6:10.0,,,81-84,2,D. DeRozan makes 2-pt shot from 23 ft (assist by C. Miles)
5:52.0,A. Tolliver misses 3-pt shot from 22 ft,,81-84,,
5:51.0,,,81-84,,Defensive rebound by K. Lowry
5:28.0,,,81-87,3,K. Lowry makes 3-pt shot from 28 ft
5:12.0,A. Drummond makes 2-pt shot from 1 ft,2,83-87,,
5:00.0,Personal block foul by A. Drummond (drawn by K. Lowry),,83-87,,
5:00.0,,,83-87,,J. Valanciunas enters the game for J. Poeltl
5:00.0,T. Harris enters the game for R. Bullock,,83-87,,
5:00.0,A. Bradley enters the game for A. Tolliver,,83-87,,
4:50.0,,,83-90,3,C. Miles makes 3-pt shot from 25 ft (assist by J. Valanciunas)
4:47.0,Detroit full timeout,,83-90,,
4:30.0,I. Smith misses 2-pt shot from 5 ft,,83-90,,
4:29.0,,,83-90,,Defensive rebound by J. Valanciunas
4:18.0,,,83-90,,Turnover by J. Valanciunas (bad pass)
4:05.0,I. Smith misses 2-pt shot from 5 ft (block by C. Miles),,83-90,,
4:02.0,,,83-90,,Defensive rebound by J. Valanciunas
3:58.0,,,83-90,,Turnover by D. Wright (traveling)
3:50.0,,,83-90,,Personal foul by D. DeRozan (drawn by L. Galloway)
3:34.0,A. Bradley misses 3-pt shot from 27 ft,,83-90,,
3:34.0,Offensive rebound by Team,,83-90,,
