time,Portland,pts.away,score,pts.home,Memphis
2:16.0,E. Turner misses 2-pt shot from 10 ft,,14-21,,
2:13.0,,,14-21,,Defensive rebound by M. Gasol
2:06.0,,,14-21,,T. Evans misses 3-pt shot from 25 ft
2:03.0,Defensive rebound by E. Davis,,14-21,,
1:48.0,P. Connaughton makes 3-pt shot from 27 ft (assist by M. Leonard),3,17-21,,
1:31.0,,,17-23,2,T. Evans makes 2-pt shot at rim (assist by M. Gasol)
1:31.0,,,17-23,,Shooting foul by M. Leonard (drawn by T. Evans)
1:31.0,,,17-23,,B. McLemore enters the game for M. Chalmers
1:31.0,,,17-24,1,T. Evans makes free throw 1 of 1
1:18.0,C. McCollum makes 3-pt shot from 26 ft (assist by E. Davis),3,20-24,,
1:07.0,,,20-24,,M. Gasol misses 3-pt shot from 25 ft
1:03.0,,,20-24,,Offensive rebound by J. Ennis
1:01.0,,,20-24,,B. McLemore misses 3-pt shot from 24 ft
0:59.0,,,20-24,,Offensive rebound by M. Gasol
0:45.0,,,20-24,,J. Ennis misses 2-pt shot from 3 ft
0:43.0,Defensive rebound by E. Turner,,20-24,,
0:36.0,C. McCollum makes 3-pt shot from 27 ft,3,23-24,,
0:21.0,,,23-24,,B. McLemore misses 2-pt shot from 20 ft
0:16.0,Defensive rebound by P. Connaughton,,23-24,,
0:00.0,C. McCollum misses 3-pt shot from 24 ft,,23-24,,
0:00.0,Offensive rebound by Team,,23-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,23-24,,Offensive foul by D. Davis (drawn by S. Napier)
11:52.0,,,23-24,,Turnover by D. Davis (offensive foul)
11:38.0,M. Leonard makes 2-pt shot from 8 ft (assist by S. Napier),2,25-24,,
11:26.0,,,25-24,,T. Evans misses 2-pt shot from 1 ft
11:23.0,Defensive rebound by E. Davis,,25-24,,
11:13.0,E. Turner misses 2-pt shot from 6 ft (block by J. Martin),,25-24,,
11:11.0,,,25-24,,Defensive rebound by D. Davis
11:07.0,,,25-24,,J. Martin misses 3-pt shot from 25 ft
11:04.0,Defensive rebound by C. McCollum,,25-24,,
10:50.0,Turnover by C. McCollum (bad pass; steal by J. Martin),,25-24,,
10:45.0,,,25-24,,Turnover by D. Davis (offensive goaltending)
10:30.0,,,25-24,,Personal foul by D. Davis (drawn by E. Davis)
10:21.0,C. McCollum misses 2-pt shot from 14 ft,,25-24,,
10:21.0,Offensive rebound by Team,,25-24,,
10:21.0,,,25-24,,Loose ball foul by B. McLemore (drawn by C. McCollum)
10:08.0,Turnover by S. Napier (step out of bounds),,25-24,,
9:49.0,,,25-24,,J. Martin misses 2-pt shot from 7 ft
9:47.0,Defensive rebound by S. Napier,,25-24,,
9:38.0,,,25-24,,Personal foul by B. McLemore (drawn by M. Leonard)
9:31.0,M. Leonard makes 2-pt shot from 12 ft,2,27-24,,
9:17.0,,,27-24,,Shooting foul by C. McCollum (drawn by T. Evans)
9:17.0,,,27-25,1,T. Evans makes free throw 1 of 2
9:17.0,,,27-25,,D. Brooks enters the game for J. Ennis
9:17.0,,,27-26,1,T. Evans makes free throw 2 of 2
9:05.0,S. Napier makes 2-pt shot from 15 ft,2,29-26,,
9:05.0,Shooting foul by B. McLemore (drawn by S. Napier),,29-26,,
9:05.0,,,29-26,,A. Harrison enters the game for B. McLemore
9:05.0,S. Napier makes free throw 1 of 1,1,30-26,,
8:49.0,,,30-26,,D. Brooks misses 2-pt shot from 19 ft
8:46.0,Defensive rebound by C. McCollum,,30-26,,
8:41.0,C. McCollum misses 2-pt shot from 8 ft (block by A. Harrison),,30-26,,
8:40.0,Jump ball: A. Harrison vs. C. McCollum,,,,Jump ball: A. Harrison vs. C. McCollum
8:40.0,Defensive rebound by Team,,30-26,,
8:40.0,,,30-26,,Loose ball foul by A. Harrison (drawn by C. McCollum)
8:40.0,C. McCollum makes free throw 1 of 2,1,31-26,,
8:40.0,C. McCollum makes free throw 2 of 2,1,32-26,,
8:29.0,,,32-29,3,T. Evans makes 3-pt shot from 25 ft
8:09.0,C. McCollum makes 2-pt shot from 21 ft (assist by S. Napier),2,34-29,,
8:00.0,,,34-29,,A. Harrison misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by M. Leonard,,34-29,,
7:39.0,Offensive charge foul by E. Davis (drawn by A. Harrison),,34-29,,
7:39.0,Turnover by E. Davis (offensive foul),,34-29,,
7:39.0,,,34-29,,M. Gasol enters the game for D. Davis
7:39.0,D. Lillard enters the game for C. McCollum,,34-29,,
7:22.0,,,34-29,,J. Martin misses 3-pt shot from 22 ft
7:20.0,Defensive rebound by M. Leonard,,34-29,,
7:03.0,E. Davis misses 2-pt shot from 1 ft,,34-29,,
7:01.0,,,34-29,,Defensive rebound by D. Brooks
6:53.0,,,34-29,,A. Harrison misses 3-pt shot from 25 ft
6:51.0,Defensive rebound by Team,,34-29,,
6:51.0,,,34-29,,Loose ball foul by T. Evans (drawn by E. Davis)
6:51.0,,,34-29,,Memphis full timeout
6:51.0,,,34-29,,J. Green enters the game for J. Martin
6:51.0,,,34-29,,C. Parsons enters the game for T. Evans
6:51.0,J. Nurkic enters the game for M. Leonard,,34-29,,
6:51.0,E. Davis misses free throw 1 of 2,,34-29,,
6:51.0,Offensive rebound by Team,,34-29,,
6:51.0,E. Davis makes free throw 2 of 2,1,35-29,,
6:37.0,,,35-29,,A. Harrison misses 3-pt shot from 23 ft
6:36.0,Defensive rebound by J. Nurkic,,35-29,,
6:21.0,S. Napier misses 2-pt shot from 1 ft,,35-29,,
6:18.0,Offensive rebound by E. Davis,,35-29,,
6:18.0,E. Davis makes 2-pt shot at rim,2,37-29,,
6:05.0,,,37-29,,Offensive foul by M. Gasol (drawn by E. Turner)
6:05.0,,,37-29,,Turnover by M. Gasol (offensive foul)
6:05.0,,,37-29,,M. Chalmers enters the game for A. Harrison
6:05.0,N. Vonleh enters the game for E. Turner,,37-29,,
6:05.0,M. Harkless enters the game for E. Davis,,37-29,,
5:49.0,D. Lillard makes 2-pt shot from 22 ft,2,39-29,,
5:31.0,,,39-29,,J. Green misses 3-pt shot from 23 ft
5:26.0,Defensive rebound by J. Nurkic,,39-29,,
5:20.0,S. Napier makes 2-pt shot from 16 ft,2,41-29,,
5:19.0,,,41-29,,Memphis full timeout
5:06.0,,,41-29,,M. Gasol misses 2-pt shot from 1 ft
5:02.0,Defensive rebound by D. Lillard,,41-29,,
4:53.0,Shooting foul by D. Brooks (drawn by S. Napier),,41-29,,
4:53.0,S. Napier misses free throw 1 of 2,,41-29,,
4:53.0,Offensive rebound by Team,,41-29,,
4:53.0,S. Napier makes free throw 2 of 2,1,42-29,,
4:44.0,,,42-29,,C. Parsons misses 2-pt shot from 2 ft (block by M. Harkless)
4:44.0,,,42-29,,Offensive rebound by Team
4:44.0,,,42-29,,T. Evans enters the game for D. Brooks
4:39.0,,,42-32,3,M. Gasol makes 3-pt shot from 25 ft (assist by M. Chalmers)
4:19.0,D. Lillard misses 2-pt shot from 11 ft,,42-32,,
4:17.0,,,42-32,,Defensive rebound by T. Evans
4:04.0,,,42-32,,Shooting foul by S. Napier (drawn by M. Chalmers)
4:04.0,,,42-33,1,M. Chalmers makes free throw 1 of 2
4:04.0,,,42-34,1,M. Chalmers makes free throw 2 of 2
3:50.0,Shooting foul by T. Evans (drawn by D. Lillard),,42-34,,
3:50.0,D. Lillard makes free throw 1 of 3,1,43-34,,
3:50.0,D. Lillard makes free throw 2 of 3,1,44-34,,
3:50.0,D. Lillard makes free throw 3 of 3,1,45-34,,
3:39.0,,,45-34,,J. Green misses 2-pt shot from 15 ft
3:36.0,Defensive rebound by M. Harkless,,45-34,,
3:31.0,,,45-34,,Violation by M. Gasol (kicked ball)
3:27.0,Shooting foul by J. Green (drawn by N. Vonleh),,45-34,,
3:27.0,N. Vonleh makes free throw 1 of 2,1,46-34,,
3:27.0,N. Vonleh makes free throw 2 of 2,1,47-34,,
3:14.0,,,47-37,3,M. Chalmers makes 3-pt shot from 26 ft (assist by J. Green)
2:56.0,D. Lillard misses 2-pt shot at rim (block by M. Gasol),,47-37,,
2:56.0,,,47-37,,Defensive rebound by Team
2:56.0,Portland full timeout,,47-37,,
2:56.0,C. McCollum enters the game for D. Lillard,,47-37,,
2:40.0,,,47-37,,M. Gasol misses 2-pt shot from 4 ft (block by M. Harkless)
2:40.0,,,47-37,,Offensive rebound by Team
2:35.0,,,47-37,,M. Gasol misses 2-pt shot from 1 ft
2:33.0,Defensive rebound by N. Vonleh,,47-37,,
2:20.0,Turnover by J. Nurkic (lost ball; steal by J. Green),,47-37,,
2:16.0,,,47-37,,J. Green misses 2-pt shot at rim
2:12.0,Defensive rebound by N. Vonleh,,47-37,,
2:08.0,J. Nurkic misses 2-pt shot from 17 ft,,47-37,,
2:06.0,Offensive rebound by M. Harkless,,47-37,,
1:53.0,S. Napier misses 2-pt shot from 20 ft,,47-37,,
1:49.0,Offensive rebound by J. Nurkic,,47-37,,
1:48.0,J. Nurkic misses 2-pt shot at rim,,47-37,,
1:48.0,Offensive rebound by N. Vonleh,,47-37,,
1:45.0,N. Vonleh makes 2-pt shot at rim,2,49-37,,
1:28.0,,,49-39,2,T. Evans makes 2-pt shot from 1 ft
1:27.0,,,49-39,,Shooting foul by C. McCollum (drawn by T. Evans)
1:27.0,,,49-39,,T. Evans misses free throw 1 of 1
1:18.0,,,49-39,,Offensive rebound by M. Gasol
1:15.0,,,49-42,3,C. Parsons makes 3-pt shot from 25 ft (assist by M. Chalmers)
1:01.0,Turnover by C. McCollum (bad pass; steal by M. Gasol),,49-42,,
0:58.0,,,49-44,2,T. Evans makes 2-pt shot at rim (assist by M. Gasol)
0:58.0,Portland full timeout,,49-44,,
0:43.0,Shooting foul by M. Chalmers (drawn by S. Napier),,49-44,,
0:43.0,S. Napier makes free throw 1 of 2,1,50-44,,
0:43.0,S. Napier makes free throw 2 of 2,1,51-44,,
0:32.0,,,51-44,,T. Evans misses 2-pt shot from 1 ft (block by N. Vonleh)
0:29.0,Defensive rebound by N. Vonleh,,51-44,,
0:28.0,S. Napier makes 2-pt shot at rim,2,53-44,,
0:28.0,Shooting foul by M. Chalmers,,53-44,,
0:28.0,,,53-44,,Technical foul by M. Chalmers
0:28.0,C. McCollum makes technical free throw,1,54-44,,
0:28.0,,,54-44,,D. Brooks enters the game for M. Chalmers
0:28.0,S. Napier makes free throw 1 of 1,1,55-44,,
0:16.0,,,55-44,,C. Parsons misses 2-pt shot from 2 ft (block by M. Harkless)
0:14.0,,,55-44,,Offensive rebound by T. Evans
0:14.0,,,55-44,,Shooting foul by N. Vonleh (drawn by T. Evans)
0:14.0,,,55-45,1,T. Evans makes free throw 1 of 2
0:14.0,P. Connaughton enters the game for N. Vonleh,,55-45,,
0:14.0,,,55-46,1,T. Evans makes free throw 2 of 2
0:01.0,S. Napier misses 3-pt shot from 26 ft,,55-46,,
0:01.0,Offensive rebound by J. Nurkic,,55-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,55-48,2,D. Brooks makes 2-pt shot from 1 ft (assist by C. Parsons)
11:33.0,Turnover by C. McCollum (turnover),,55-48,,
11:18.0,,,55-48,,M. Gasol misses 2-pt shot from 5 ft
11:16.0,Defensive rebound by N. Vonleh,,55-48,,
11:07.0,C. McCollum misses 2-pt shot from 9 ft,,55-48,,
11:04.0,,,55-48,,Defensive rebound by M. Gasol
10:58.0,,,55-48,,C. Parsons misses 3-pt shot from 24 ft
10:54.0,Defensive rebound by N. Vonleh,,55-48,,
10:47.0,M. Harkless makes 2-pt shot from 1 ft (assist by D. Lillard),2,57-48,,
10:34.0,,,57-50,2,M. Chalmers makes 2-pt shot from 1 ft (assist by M. Gasol)
10:24.0,D. Lillard misses 2-pt shot from 21 ft,,57-50,,
10:21.0,,,57-50,,Defensive rebound by M. Gasol
10:15.0,,,57-50,,C. Parsons misses 2-pt shot from 1 ft
10:12.0,Defensive rebound by N. Vonleh,,57-50,,
9:59.0,D. Lillard misses 2-pt shot from 5 ft,,57-50,,
9:56.0,,,57-50,,Defensive rebound by J. Green
9:46.0,,,57-50,,M. Gasol misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by N. Vonleh,,57-50,,
9:26.0,J. Nurkic misses 2-pt shot from 20 ft,,57-50,,
9:24.0,,,57-50,,Defensive rebound by M. Gasol
9:16.0,,,57-50,,Turnover by J. Green (offensive goaltending)
8:58.0,Shooting foul by M. Gasol,,57-50,,
8:58.0,,,57-50,,Technical foul by M. Gasol
8:58.0,D. Lillard makes technical free throw,1,58-50,,
8:58.0,D. Lillard makes free throw 1 of 2,1,59-50,,
8:58.0,D. Lillard makes free throw 2 of 2,1,60-50,,
8:50.0,,,60-50,,Shooting foul by M. Harkless (drawn by M. Gasol)
8:50.0,,,60-51,1,M. Gasol makes free throw 1 of 2
8:50.0,,,60-51,,M. Gasol misses free throw 2 of 2
8:48.0,Defensive rebound by N. Vonleh,,60-51,,
8:35.0,Turnover by J. Nurkic (bad pass; steal by C. Parsons),,60-51,,
8:33.0,,,60-51,,J. Green misses 2-pt shot from 1 ft (block by N. Vonleh)
8:32.0,Defensive rebound by Team,,60-51,,
8:12.0,C. McCollum misses 3-pt shot from 22 ft,,60-51,,
8:08.0,,,60-51,,Defensive rebound by J. Green
7:53.0,,,60-53,2,J. Green makes 2-pt shot from 1 ft (assist by M. Gasol)
7:29.0,M. Harkless makes 2-pt shot from 16 ft (assist by N. Vonleh),2,62-53,,
7:16.0,,,62-55,2,M. Chalmers makes 2-pt shot from 1 ft
7:01.0,D. Lillard makes 3-pt shot from 27 ft,3,65-55,,
6:51.0,Personal foul by C. McCollum (drawn by M. Chalmers),,65-55,,
6:51.0,,,65-55,,Memphis full timeout
6:51.0,,,65-55,,T. Evans enters the game for C. Parsons
6:42.0,,,65-55,,J. Green misses 2-pt shot from 1 ft (block by N. Vonleh)
6:39.0,Defensive rebound by C. McCollum,,65-55,,
6:32.0,,,65-55,,Personal foul by J. Green (drawn by J. Nurkic)
6:28.0,J. Nurkic misses 2-pt shot from 1 ft,,65-55,,
6:28.0,,,65-55,,Defensive rebound by Team
6:28.0,Loose ball foul by J. Nurkic (drawn by M. Gasol),,65-55,,
6:16.0,,,65-55,,M. Chalmers misses 2-pt shot from 19 ft
6:12.0,Defensive rebound by M. Harkless,,65-55,,
5:55.0,J. Nurkic makes 2-pt shot from 13 ft (assist by D. Lillard),2,67-55,,
5:38.0,,,67-57,2,J. Green makes 2-pt shot at rim (assist by M. Chalmers)
5:28.0,D. Lillard misses 3-pt shot from 25 ft,,67-57,,
5:25.0,,,67-57,,Defensive rebound by M. Gasol
5:18.0,,,67-59,2,M. Chalmers makes 2-pt shot from 1 ft
4:48.0,N. Vonleh misses 2-pt shot from 5 ft (block by M. Gasol),,67-59,,
4:48.0,Offensive rebound by N. Vonleh,,67-59,,
4:48.0,J. Nurkic misses 2-pt shot from 20 ft,,67-59,,
4:48.0,Offensive rebound by Team,,67-59,,
4:48.0,Turnover by Team (shot clock),,67-59,,
4:48.0,,,67-59,,B. McLemore enters the game for D. Brooks
4:48.0,,,67-59,,D. Davis enters the game for M. Gasol
4:48.0,M. Leonard enters the game for N. Vonleh,,67-59,,
4:48.0,E. Davis enters the game for J. Nurkic,,67-59,,
4:39.0,,,67-62,3,B. McLemore makes 3-pt shot from 25 ft (assist by T. Evans)
4:23.0,M. Harkless misses 3-pt shot from 23 ft,,67-62,,
4:21.0,,,67-62,,Defensive rebound by D. Davis
4:14.0,,,67-64,2,T. Evans makes 2-pt shot from 1 ft
4:13.0,Portland full timeout,,67-64,,
4:13.0,E. Turner enters the game for C. McCollum,,67-64,,
4:13.0,S. Napier enters the game for M. Harkless,,67-64,,
3:59.0,S. Napier misses 2-pt shot from 16 ft,,67-64,,
3:57.0,,,67-64,,Defensive rebound by T. Evans
3:39.0,,,67-64,,B. McLemore misses 3-pt shot from 24 ft
3:36.0,Defensive rebound by E. Turner,,67-64,,
3:18.0,E. Turner misses 2-pt shot from 19 ft,,67-64,,
3:15.0,,,67-64,,Defensive rebound by M. Chalmers
3:14.0,Personal foul by E. Turner (drawn by T. Evans),,67-64,,
3:14.0,,,67-64,,D. Brooks enters the game for M. Chalmers
3:04.0,,,67-64,,B. McLemore misses 2-pt shot from 21 ft
3:00.0,Defensive rebound by E. Davis,,67-64,,
2:44.0,S. Napier misses 2-pt shot from 14 ft,,67-64,,
2:41.0,,,67-64,,Defensive rebound by J. Green
2:35.0,Personal foul by M. Leonard (drawn by D. Davis),,67-64,,
2:35.0,,,67-65,1,D. Davis makes free throw 1 of 2
2:35.0,,,67-65,,D. Davis misses free throw 2 of 2
2:32.0,Defensive rebound by E. Turner,,67-65,,
2:17.0,Turnover by D. Lillard (lost ball; steal by J. Green),,67-65,,
2:13.0,,,67-65,,B. McLemore misses 2-pt shot at rim
2:09.0,,,67-65,,Offensive rebound by D. Davis
2:09.0,,,67-67,2,D. Davis makes 2-pt shot at rim
1:49.0,S. Napier makes 3-pt shot from 27 ft,3,70-67,,
1:32.0,,,70-67,,T. Evans misses 2-pt shot from 2 ft
1:30.0,Defensive rebound by E. Turner,,70-67,,
1:22.0,S. Napier makes 2-pt shot at rim,2,72-67,,
1:00.0,,,72-67,,Shooting foul by E. Davis (drawn by J. Green)
1:00.0,,,72-68,1,J. Green makes free throw 1 of 2
1:00.0,C. McCollum enters the game for D. Lillard,,72-68,,
1:00.0,,,72-69,1,J. Green makes free throw 2 of 2
0:48.0,,,72-69,,Personal foul by D. Brooks (drawn by S. Napier)
0:48.0,,,72-69,,M. Gasol enters the game for J. Green
0:36.0,E. Turner misses 3-pt shot from 23 ft,,72-69,,
0:34.0,,,72-69,,Defensive rebound by D. Brooks
0:25.0,,,72-71,2,B. McLemore makes 2-pt shot at rim (assist by M. Gasol)
0:02.0,C. McCollum misses 2-pt shot from 21 ft (block by D. Davis),,72-71,,
0:00.0,Offensive rebound by Team,,72-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by S. Napier (out of bounds lost ball),,72-71,,
11:33.0,,,72-71,,Turnover by M. Gasol (traveling)
11:23.0,Offensive foul by M. Leonard (drawn by D. Brooks),,72-71,,
11:23.0,Turnover by M. Leonard (offensive foul),,72-71,,
11:09.0,,,72-74,3,M. Gasol makes 3-pt shot from 25 ft (assist by T. Evans)
10:57.0,Shooting foul by D. Davis (drawn by C. McCollum),,72-74,,
10:57.0,C. McCollum makes free throw 1 of 2,1,73-74,,
10:57.0,C. McCollum makes free throw 2 of 2,1,74-74,,
10:46.0,,,74-74,,M. Gasol misses 3-pt shot from 26 ft
10:41.0,Defensive rebound by C. McCollum,,74-74,,
10:29.0,C. McCollum makes 2-pt shot from 11 ft,2,76-74,,
10:20.0,,,76-76,2,B. McLemore makes 2-pt shot at rim (assist by M. Gasol)
10:20.0,,,76-76,,Shooting foul by M. Leonard (drawn by B. McLemore)
10:20.0,J. Nurkic enters the game for M. Leonard,,76-76,,
10:20.0,,,76-77,1,B. McLemore makes free throw 1 of 1
10:07.0,C. McCollum misses 3-pt shot from 24 ft,,76-77,,
10:05.0,Offensive rebound by C. McCollum,,76-77,,
9:57.0,N. Vonleh enters the game for E. Davis,,76-77,,
9:55.0,Jump ball: D. Davis vs. J. Nurkic (N. Vonleh gains possession),,,,Jump ball: D. Davis vs. J. Nurkic (N. Vonleh gains possession)
9:33.0,E. Turner misses 2-pt shot from 1 ft (block by B. McLemore),,76-77,,
9:30.0,,,76-77,,Defensive rebound by M. Gasol
9:23.0,,,76-77,,T. Evans misses 2-pt shot from 1 ft (block by S. Napier)
9:23.0,,,76-77,,Offensive rebound by Team
9:15.0,,,76-77,,T. Evans misses 3-pt shot from 27 ft
9:12.0,Defensive rebound by S. Napier,,76-77,,
9:04.0,N. Vonleh makes 2-pt shot at rim (assist by S. Napier),2,78-77,,
8:47.0,,,78-77,,B. McLemore misses 3-pt shot from 24 ft
8:45.0,Defensive rebound by Team,,78-77,,
8:45.0,D. Lillard enters the game for S. Napier,,78-77,,
8:30.0,J. Nurkic misses 2-pt shot from 17 ft,,78-77,,
8:23.0,Offensive rebound by E. Turner,,78-77,,
8:23.0,E. Turner misses 2-pt shot at rim (block by D. Davis),,78-77,,
8:23.0,Offensive rebound by E. Turner,,78-77,,
8:20.0,D. Lillard misses 3-pt shot from 27 ft,,78-77,,
8:20.0,,,78-77,,Defensive rebound by M. Gasol
8:20.0,Personal foul by E. Turner (drawn by M. Gasol),,78-77,,
7:59.0,,,78-77,,T. Evans misses 2-pt shot from 7 ft
7:56.0,Defensive rebound by N. Vonleh,,78-77,,
7:44.0,N. Vonleh makes 2-pt shot from 1 ft,2,80-77,,
7:39.0,,,80-77,,Memphis full timeout
7:39.0,,,80-77,,J. Green enters the game for T. Evans
7:39.0,,,80-77,,M. Chalmers enters the game for D. Davis
7:39.0,S. Napier enters the game for E. Turner,,80-77,,
7:26.0,,,80-79,2,M. Gasol makes 2-pt shot from 8 ft (assist by J. Green)
7:04.0,S. Napier misses 2-pt shot from 21 ft,,80-79,,
7:01.0,,,80-79,,Defensive rebound by B. McLemore
6:51.0,Personal foul by J. Nurkic (drawn by M. Gasol),,80-79,,
6:41.0,,,80-79,,Shooting foul by J. Nurkic (drawn by M. Gasol)
6:41.0,,,80-79,,M. Gasol misses free throw 1 of 2
6:41.0,,,80-79,,Offensive rebound by Team
