time,Atlanta,pts.away,score,pts.home,Memphis
4:52.0,Defensive rebound by J. Collins,,14-9,,
4:43.0,Turnover by D. Schroder (out of bounds lost ball),,14-9,,
4:35.0,,,14-9,,Offensive foul by M. Gasol (drawn by E. Ilyasova)
4:35.0,,,14-9,,Turnover by M. Gasol (offensive foul)
4:35.0,,,14-9,,J. Martin enters the game for J. Green
4:35.0,,,14-9,,B. McLemore enters the game for A. Harrison
4:35.0,M. Belinelli enters the game for E. Ilyasova,,14-9,,
4:35.0,D. Bembry enters the game for K. Bazemore,,14-9,,
4:16.0,T. Waller-Prince misses 2-pt shot from 14 ft,,14-9,,
4:13.0,,,14-9,,Defensive rebound by J. Martin
4:00.0,,,14-9,,Turnover by M. Gasol (lost ball; steal by J. Collins)
3:55.0,D. Bembry makes 2-pt shot from 1 ft (assist by T. Waller-Prince),2,16-9,,
3:31.0,,,16-9,,Turnover by M. Gasol (turnover)
3:31.0,,,16-9,,D. Davis enters the game for M. Gasol
3:15.0,Turnover by D. Bembry (step out of bounds),,16-9,,
3:04.0,,,16-9,,C. Parsons misses 2-pt shot from 10 ft
2:59.0,Defensive rebound by J. Collins,,16-9,,
2:57.0,,,16-9,,Personal foul by M. Chalmers (drawn by T. Waller-Prince)
2:57.0,Atlanta full timeout,,16-9,,
2:57.0,L. Babbitt enters the game for T. Waller-Prince,,16-9,,
2:52.0,,,16-9,,Personal foul by J. Martin (drawn by J. Collins)
2:42.0,Shooting foul by J. Martin (drawn by D. Schroder),,16-9,,
2:42.0,D. Schroder makes free throw 1 of 2,1,17-9,,
2:42.0,D. Schroder makes free throw 2 of 2,1,18-9,,
2:29.0,,,18-11,2,C. Parsons makes 2-pt shot from 1 ft
2:29.0,,,18-11,,Shooting foul by J. Collins (drawn by C. Parsons)
2:29.0,I. Taylor enters the game for D. Schroder,,18-11,,
2:29.0,,,18-12,1,C. Parsons makes free throw 1 of 1
2:12.0,Shooting foul by B. McLemore (drawn by M. Belinelli),,18-12,,
2:12.0,M. Belinelli makes free throw 1 of 2,1,19-12,,
2:12.0,M. Belinelli makes free throw 2 of 2,1,20-12,,
2:02.0,,,20-12,,C. Parsons misses 2-pt shot from 14 ft
1:59.0,Defensive rebound by I. Taylor,,20-12,,
1:48.0,M. Belinelli misses 3-pt shot from 25 ft,,20-12,,
1:44.0,,,20-12,,Defensive rebound by D. Davis
1:35.0,,,20-12,,M. Chalmers misses 3-pt shot from 26 ft
1:32.0,Defensive rebound by J. Collins,,20-12,,
1:21.0,,,20-12,,Personal foul by M. Chalmers (drawn by I. Taylor)
1:21.0,I. Taylor misses free throw 1 of 2,,20-12,,
1:21.0,Offensive rebound by Team,,20-12,,
1:21.0,M. Plumlee enters the game for J. Collins,,20-12,,
1:21.0,I. Taylor makes free throw 2 of 2,1,21-12,,
1:10.0,,,21-12,,Shooting foul by I. Taylor (drawn by M. Chalmers)
1:10.0,,,21-12,,M. Chalmers misses free throw 1 of 2
1:10.0,,,21-12,,Offensive rebound by Team
1:10.0,,,21-13,1,M. Chalmers makes free throw 2 of 2
1:02.0,Turnover by D. Bembry (bad pass; steal by M. Chalmers),,21-13,,
0:49.0,,,21-13,,M. Chalmers misses 2-pt shot from 1 ft
0:47.0,,,21-13,,Offensive rebound by D. Davis
0:47.0,,,21-13,,D. Davis misses 2-pt shot at rim
0:47.0,,,21-13,,Offensive rebound by D. Davis
0:45.0,,,21-15,2,D. Davis makes 2-pt shot at rim
0:29.0,I. Taylor misses 2-pt shot from 4 ft,,21-15,,
0:25.0,,,21-15,,Defensive rebound by B. McLemore
0:10.0,,,21-17,2,C. Parsons makes 2-pt shot from 8 ft
0:01.0,M. Belinelli misses 3-pt shot from 26 ft,,21-17,,
0:01.0,,,21-17,,Defensive rebound by C. Parsons
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,21-17,,D. Davis misses 2-pt shot from 13 ft
11:35.0,Defensive rebound by D. Bembry,,21-17,,
11:19.0,M. Plumlee misses 2-pt shot from 8 ft,,21-17,,
11:16.0,,,21-17,,Defensive rebound by M. Chalmers
11:12.0,,,21-19,2,B. McLemore makes 2-pt shot at rim (assist by M. Chalmers)
11:12.0,,,21-19,,Shooting foul by D. Bembry (drawn by B. McLemore)
11:12.0,J. Collins enters the game for M. Plumlee,,21-19,,
11:12.0,,,21-19,,B. McLemore misses free throw 1 of 1
11:07.0,Defensive rebound by L. Babbitt,,21-19,,
11:00.0,M. Belinelli makes 2-pt shot at rim (assist by I. Taylor),2,23-19,,
10:44.0,,,23-21,2,M. Chalmers makes 2-pt shot from 8 ft
10:20.0,Turnover by M. Belinelli (lost ball; steal by M. Chalmers),,23-21,,
10:14.0,,,23-23,2,B. McLemore makes 2-pt shot from 12 ft
9:57.0,Shooting foul by B. McLemore (drawn by I. Taylor),,23-23,,
9:57.0,I. Taylor makes free throw 1 of 2,1,24-23,,
9:57.0,,,24-23,,T. Evans enters the game for M. Chalmers
9:57.0,K. Bazemore enters the game for D. Bembry,,24-23,,
9:57.0,I. Taylor makes free throw 2 of 2,1,25-23,,
9:40.0,,,25-23,,Turnover by J. Martin (lost ball; steal by I. Taylor)
9:36.0,K. Bazemore misses 2-pt shot from 21 ft,,25-23,,
9:36.0,,,25-23,,Defensive rebound by Team
9:23.0,,,25-23,,B. McLemore misses 3-pt shot from 26 ft
9:23.0,Defensive rebound by K. Bazemore,,25-23,,
9:16.0,Turnover by K. Bazemore (lost ball; steal by B. McLemore),,25-23,,
9:09.0,,,25-25,2,B. McLemore makes 2-pt shot from 19 ft (assist by J. Martin)
8:56.0,L. Babbitt misses 3-pt shot from 27 ft,,25-25,,
8:52.0,,,25-25,,Defensive rebound by B. McLemore
8:46.0,,,25-27,2,D. Brooks makes 2-pt shot from 11 ft (assist by B. McLemore)
8:46.0,Atlanta full timeout,,25-27,,
8:46.0,,,25-27,,A. Harrison enters the game for B. McLemore
8:46.0,D. Schroder enters the game for L. Babbitt,,25-27,,
8:46.0,T. Waller-Prince enters the game for I. Taylor,,25-27,,
8:30.0,,,25-27,,Personal foul by A. Harrison (drawn by J. Collins)
8:19.0,D. Schroder misses 2-pt shot from 12 ft,,25-27,,
8:15.0,Offensive rebound by J. Collins,,25-27,,
8:05.0,D. Schroder misses 3-pt shot from 23 ft,,25-27,,
8:02.0,,,25-27,,Defensive rebound by T. Evans
7:48.0,,,25-27,,T. Evans misses 2-pt shot from 1 ft (block by J. Collins)
7:44.0,Defensive rebound by J. Collins,,25-27,,
7:41.0,M. Belinelli makes 3-pt shot from 22 ft (assist by D. Schroder),3,28-27,,
7:18.0,Personal foul by T. Waller-Prince (drawn by A. Harrison),,28-27,,
7:18.0,E. Ilyasova enters the game for M. Belinelli,,28-27,,
7:06.0,,,28-27,,T. Evans misses 2-pt shot from 5 ft
7:01.0,,,28-27,,Offensive rebound by D. Davis
7:01.0,,,28-29,2,D. Davis makes 2-pt shot at rim
6:42.0,Turnover by T. Waller-Prince (bad pass; steal by D. Davis),,28-29,,
6:31.0,,,28-29,,Offensive foul by D. Davis (drawn by D. Schroder)
6:31.0,,,28-29,,Turnover by D. Davis (offensive foul)
6:20.0,K. Bazemore makes 2-pt shot at rim (assist by J. Collins),2,30-29,,
5:56.0,,,30-32,3,T. Evans makes 3-pt shot from 26 ft (assist by D. Davis)
5:42.0,T. Waller-Prince makes 3-pt shot from 26 ft (assist by D. Schroder),3,33-32,,
5:29.0,,,33-32,,C. Parsons enters the game for J. Martin
5:29.0,,,33-32,,M. Gasol enters the game for D. Davis
5:29.0,,,33-32,,J. Green enters the game for D. Brooks
5:29.0,M. Plumlee enters the game for J. Collins,,33-32,,
5:14.0,,,33-32,,Turnover by Team (shot clock)
5:04.0,Turnover by E. Ilyasova (bad pass; steal by A. Harrison),,33-32,,
5:00.0,,,33-32,,Shooting foul by M. Plumlee (drawn by J. Green)
5:00.0,,,33-32,,J. Green misses free throw 1 of 2
5:00.0,,,33-32,,Offensive rebound by Team
5:00.0,,,33-33,1,J. Green makes free throw 2 of 2
4:45.0,M. Plumlee makes 2-pt shot at rim (assist by D. Schroder),2,35-33,,
4:25.0,,,35-33,,Turnover by M. Gasol (lost ball; steal by T. Waller-Prince)
4:16.0,D. Schroder misses 3-pt shot from 25 ft,,35-33,,
4:11.0,,,35-33,,Defensive rebound by J. Green
4:09.0,,,35-33,,Shooting foul by T. Waller-Prince (drawn by A. Harrison)
4:09.0,,,35-33,,A. Harrison misses free throw 1 of 2
4:09.0,,,35-33,,Offensive rebound by Team
4:09.0,,,35-34,1,A. Harrison makes free throw 2 of 2
4:02.0,Turnover by D. Schroder (step out of bounds),,35-34,,
3:51.0,,,35-34,,C. Parsons misses 3-pt shot from 26 ft
3:48.0,Defensive rebound by D. Schroder,,35-34,,
3:43.0,K. Bazemore makes 2-pt shot from 21 ft (assist by D. Schroder),2,37-34,,
3:29.0,,,37-34,,M. Gasol misses 2-pt shot from 19 ft
3:29.0,Defensive rebound by E. Ilyasova,,37-34,,
3:16.0,E. Ilyasova makes 2-pt shot at rim (assist by D. Schroder),2,39-34,,
3:05.0,,,39-34,,Offensive foul by C. Parsons (drawn by E. Ilyasova)
3:05.0,,,39-34,,Turnover by C. Parsons (offensive foul)
3:05.0,,,39-34,,M. Chalmers enters the game for A. Harrison
3:05.0,M. Belinelli enters the game for K. Bazemore,,39-34,,
2:55.0,D. Schroder misses 2-pt shot from 1 ft,,39-34,,
2:52.0,,,39-34,,Defensive rebound by M. Gasol
2:31.0,,,39-37,3,T. Evans makes 3-pt shot from 25 ft (assist by M. Gasol)
2:16.0,E. Ilyasova misses 2-pt shot from 18 ft,,39-37,,
2:13.0,,,39-37,,Defensive rebound by M. Gasol
2:04.0,,,39-37,,J. Green misses 3-pt shot from 23 ft
2:01.0,Defensive rebound by M. Belinelli,,39-37,,
1:53.0,T. Waller-Prince makes 3-pt shot from 26 ft (assist by D. Schroder),3,42-37,,
1:26.0,,,42-37,,J. Green misses 2-pt shot from 11 ft
1:23.0,Defensive rebound by D. Schroder,,42-37,,
1:18.0,D. Schroder makes 3-pt shot from 25 ft,3,45-37,,
0:50.0,,,45-40,3,T. Evans makes 3-pt shot from 25 ft
0:32.0,D. Schroder makes 2-pt shot at rim,2,47-40,,
0:13.0,,,47-40,,Turnover by J. Green (out of bounds lost ball)
0:13.0,,,47-40,,Memphis full timeout
0:13.0,,,47-40,,A. Harrison enters the game for C. Parsons
0:13.0,,,47-40,,D. Brooks enters the game for M. Chalmers
0:13.0,L. Babbitt enters the game for M. Plumlee,,47-40,,
0:08.0,,,47-40,,Personal take foul by A. Harrison (drawn by D. Schroder)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,47-43,3,M. Gasol makes 3-pt shot from 25 ft (assist by J. Green)
11:21.0,D. Schroder misses 2-pt shot from 2 ft (block by M. Gasol),,47-43,,
11:18.0,,,47-43,,Defensive rebound by A. Harrison
11:17.0,,,47-43,,Turnover by A. Harrison (bad pass; steal by T. Waller-Prince)
11:14.0,K. Bazemore misses 3-pt shot from 23 ft,,47-43,,
11:10.0,,,47-43,,Defensive rebound by A. Harrison
11:05.0,,,47-46,3,M. Gasol makes 3-pt shot from 25 ft (assist by T. Evans)
11:05.0,Atlanta full timeout,,47-46,,
10:52.0,T. Waller-Prince misses 3-pt shot from 26 ft,,47-46,,
10:47.0,Offensive rebound by M. Plumlee,,47-46,,
10:37.0,T. Waller-Prince misses 2-pt shot from 1 ft,,47-46,,
10:34.0,,,47-46,,Defensive rebound by J. Green
10:13.0,,,47-46,,M. Gasol misses 2-pt shot from 13 ft
10:10.0,,,47-46,,Offensive rebound by J. Green
10:04.0,Personal foul by M. Plumlee (drawn by M. Gasol),,47-46,,
10:04.0,Violation by K. Bazemore (kicked ball),,47-46,,
9:48.0,,,47-46,,A. Harrison misses 2-pt shot from 11 ft
9:43.0,Defensive rebound by D. Schroder,,47-46,,
9:40.0,,,47-46,,Personal foul by M. Gasol (drawn by D. Schroder)
9:40.0,,,47-46,,M. Chalmers enters the game for A. Harrison
9:33.0,K. Bazemore makes 2-pt shot from 11 ft,2,49-46,,
9:22.0,,,49-46,,T. Evans misses 2-pt shot from 4 ft
9:18.0,Defensive rebound by T. Waller-Prince,,49-46,,
9:14.0,K. Bazemore makes 3-pt shot from 23 ft (assist by M. Plumlee),3,52-46,,
8:51.0,,,52-46,,M. Gasol misses 2-pt shot from 21 ft
8:49.0,Defensive rebound by K. Bazemore,,52-46,,
8:43.0,Turnover by D. Schroder (bad pass; steal by M. Chalmers),,52-46,,
8:34.0,,,52-46,,M. Chalmers misses 2-pt shot from 1 ft
8:31.0,Defensive rebound by K. Bazemore,,52-46,,
8:29.0,Turnover by E. Ilyasova (lost ball; steal by D. Brooks),,52-46,,
8:28.0,Personal take foul by D. Schroder (drawn by D. Brooks),,52-46,,
8:08.0,,,52-46,,M. Gasol misses 2-pt shot from 12 ft
8:08.0,Defensive rebound by Team,,52-46,,
8:00.0,,,52-46,,Violation by M. Gasol (kicked ball)
8:00.0,,,52-46,,Personal foul by T. Evans (drawn by T. Waller-Prince)
7:53.0,D. Schroder misses 2-pt shot from 1 ft (block by J. Green),,52-46,,
7:50.0,,,52-46,,Defensive rebound by J. Green
7:46.0,,,52-46,,Shooting foul by M. Plumlee (drawn by D. Brooks)
7:46.0,,,52-47,1,D. Brooks makes free throw 1 of 2
7:46.0,D. Bembry enters the game for D. Schroder,,52-47,,
7:46.0,,,52-48,1,D. Brooks makes free throw 2 of 2
7:41.0,Turnover by T. Waller-Prince (bad pass; steal by T. Evans),,52-48,,
7:37.0,,,52-50,2,T. Evans makes 2-pt shot from 2 ft
7:17.0,T. Waller-Prince makes 2-pt shot from 8 ft (assist by E. Ilyasova),2,54-50,,
7:00.0,,,54-50,,Offensive foul by D. Brooks (drawn by T. Waller-Prince)
7:00.0,,,54-50,,Turnover by D. Brooks (offensive foul)
7:00.0,,,54-50,,A. Harrison enters the game for T. Evans
7:00.0,D. Schroder enters the game for M. Plumlee,,54-50,,
6:46.0,E. Ilyasova makes 2-pt shot at rim (assist by K. Bazemore),2,56-50,,
6:23.0,,,56-50,,D. Brooks misses 3-pt shot from 25 ft
6:20.0,,,56-50,,Offensive rebound by J. Green
6:19.0,,,56-52,2,J. Green makes 2-pt shot at rim
6:05.0,D. Schroder makes 2-pt shot at rim,2,58-52,,
6:01.0,,,58-52,,Memphis full timeout
6:01.0,,,58-52,,C. Parsons enters the game for D. Brooks
5:53.0,,,58-52,,Offensive foul by M. Gasol (drawn by D. Schroder)
5:53.0,,,58-52,,Turnover by M. Gasol (offensive foul)
5:45.0,,,58-52,,Personal foul by A. Harrison (drawn by D. Schroder)
5:37.0,T. Waller-Prince makes 3-pt shot from 23 ft (assist by D. Schroder),3,61-52,,
5:13.0,,,61-54,2,J. Green makes 2-pt shot from 20 ft (assist by A. Harrison)
4:55.0,T. Waller-Prince makes 3-pt shot from 22 ft (assist by E. Ilyasova),3,64-54,,
4:42.0,,,64-54,,A. Harrison misses 2-pt shot from 1 ft (block by D. Schroder)
4:42.0,,,64-54,,Offensive rebound by Team
4:42.0,,,64-54,,J. Martin enters the game for J. Green
4:42.0,J. Collins enters the game for E. Ilyasova,,64-54,,
4:34.0,Personal foul by D. Bembry (drawn by M. Chalmers),,64-54,,
4:27.0,,,64-54,,Turnover by M. Chalmers (bad pass; steal by K. Bazemore)
4:24.0,D. Bembry makes 2-pt shot at rim (assist by K. Bazemore),2,66-54,,
4:05.0,,,66-54,,Shooting foul by J. Collins (drawn by M. Gasol)
4:05.0,,,66-55,1,M. Gasol makes free throw 1 of 2
4:05.0,M. Belinelli enters the game for K. Bazemore,,66-55,,
4:05.0,,,66-56,1,M. Gasol makes free throw 2 of 2
3:53.0,D. Schroder misses 2-pt shot from 13 ft,,66-56,,
3:51.0,,,66-56,,Defensive rebound by M. Gasol
3:40.0,,,66-59,3,A. Harrison makes 3-pt shot from 23 ft (assist by M. Gasol)
3:24.0,J. Collins misses 2-pt shot at rim,,66-59,,
3:21.0,Offensive rebound by D. Schroder,,66-59,,
3:17.0,D. Schroder makes 2-pt shot from 6 ft,2,68-59,,
2:59.0,,,68-59,,Shooting foul by D. Bembry (drawn by M. Gasol)
2:59.0,,,68-60,1,M. Gasol makes free throw 1 of 2
2:59.0,L. Babbitt enters the game for T. Waller-Prince,,68-60,,
2:59.0,,,68-61,1,M. Gasol makes free throw 2 of 2
2:48.0,M. Belinelli makes 2-pt shot at rim (assist by J. Collins),2,70-61,,
2:28.0,,,70-63,2,C. Parsons makes 2-pt shot from 22 ft (assist by M. Gasol)
2:14.0,D. Schroder misses 2-pt shot from 21 ft,,70-63,,
2:12.0,,,70-63,,Defensive rebound by J. Martin
2:09.0,,,70-65,2,M. Gasol makes 2-pt shot at rim (assist by C. Parsons)
2:09.0,,,70-65,,Shooting foul by L. Babbitt (drawn by M. Gasol)
2:09.0,,,70-66,1,M. Gasol makes free throw 1 of 1
1:57.0,M. Belinelli misses 3-pt shot from 26 ft,,70-66,,
1:54.0,,,70-66,,Defensive rebound by C. Parsons
1:47.0,,,70-69,3,A. Harrison makes 3-pt shot from 26 ft (assist by C. Parsons)
1:22.0,M. Belinelli makes 3-pt shot from 25 ft (assist by L. Babbitt),3,73-69,,
1:14.0,,,73-69,,C. Parsons misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by J. Collins,,73-69,,
1:05.0,D. Schroder misses 2-pt shot from 15 ft (block by A. Harrison),,73-69,,
1:00.0,,,73-69,,Defensive rebound by C. Parsons
0:51.0,,,73-69,,A. Harrison misses 2-pt shot from 3 ft (block by J. Collins)
0:48.0,,,73-69,,Offensive rebound by A. Harrison
0:40.0,,,73-69,,J. Martin misses 2-pt shot from 11 ft
0:37.0,Defensive rebound by M. Belinelli,,73-69,,
0:32.0,Turnover by M. Belinelli (bad pass; steal by M. Chalmers),,73-69,,
0:09.0,,,73-72,3,A. Harrison makes 3-pt shot from 22 ft (assist by M. Gasol)
0:07.0,,,73-72,,Personal take foul by A. Harrison (drawn by D. Schroder)
0:07.0,,,73-72,,D. Brooks enters the game for A. Harrison
0:07.0,I. Taylor enters the game for D. Schroder,,73-72,,
0:07.0,T. Waller-Prince enters the game for D. Bembry,,73-72,,
0:07.0,,,73-72,,J. Green enters the game for C. Parsons
0:00.0,T. Waller-Prince misses 3-pt shot from 23 ft,,73-72,,
0:00.0,Offensive rebound by Team,,73-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by I. Taylor (bad pass; steal by C. Parsons),,73-72,,
11:33.0,,,73-72,,Turnover by M. Chalmers (bad pass; steal by M. Plumlee)
11:26.0,M. Belinelli misses 3-pt shot from 27 ft,,73-72,,
11:22.0,Offensive rebound by M. Plumlee,,73-72,,
11:13.0,L. Babbitt makes 2-pt shot from 14 ft (assist by K. Bazemore),2,75-72,,
10:57.0,,,75-72,,Turnover by C. Parsons (out of bounds lost ball)
10:46.0,K. Bazemore makes 3-pt shot from 26 ft,3,78-72,,
10:32.0,,,78-74,2,C. Parsons makes 2-pt shot from 14 ft
10:16.0,L. Babbitt misses 2-pt shot from 1 ft (block by D. Davis),,78-74,,
10:13.0,,,78-74,,Defensive rebound by M. Chalmers
9:53.0,,,78-74,,J. Martin misses 2-pt shot from 2 ft
9:51.0,Defensive rebound by M. Plumlee,,78-74,,
9:47.0,K. Bazemore misses 3-pt shot from 26 ft,,78-74,,
9:45.0,,,78-74,,Defensive rebound by J. Martin
9:30.0,,,78-74,,C. Parsons misses 2-pt shot from 15 ft
9:28.0,Defensive rebound by Team,,78-74,,
9:15.0,I. Taylor misses 2-pt shot from 5 ft,,78-74,,
9:12.0,,,78-74,,Defensive rebound by D. Davis
9:02.0,,,78-76,2,T. Evans makes 2-pt shot at rim
8:51.0,Shooting foul by T. Evans (drawn by I. Taylor),,78-76,,
8:51.0,I. Taylor makes free throw 1 of 2,1,79-76,,
8:51.0,,,79-76,,A. Harrison enters the game for C. Parsons
8:51.0,E. Ilyasova enters the game for L. Babbitt,,79-76,,
8:51.0,I. Taylor makes free throw 2 of 2,1,80-76,,
8:37.0,,,80-76,,J. Martin misses 2-pt shot from 21 ft
8:35.0,Defensive rebound by M. Belinelli,,80-76,,
8:35.0,,,80-76,,Personal foul by A. Harrison (drawn by M. Belinelli)
8:35.0,,,80-76,,B. McLemore enters the game for J. Martin
8:35.0,,,80-76,,J. Green enters the game for A. Harrison
8:35.0,T. Waller-Prince enters the game for M. Belinelli,,80-76,,
8:25.0,M. Plumlee makes 2-pt shot at rim (assist by K. Bazemore),2,82-76,,
8:11.0,,,82-78,2,M. Chalmers makes 2-pt shot from 20 ft
8:00.0,Turnover by T. Waller-Prince (bad pass; steal by J. Green),,82-78,,
7:54.0,,,82-78,,J. Green misses 2-pt shot from 2 ft
7:54.0,,,82-78,,Offensive rebound by Team
7:51.0,,,82-81,3,T. Evans makes 3-pt shot from 26 ft (assist by D. Davis)
7:29.0,,,82-81,,Personal foul by D. Davis (drawn by I. Taylor)
7:29.0,J. Collins enters the game for M. Plumlee,,82-81,,
7:29.0,D. Schroder enters the game for I. Taylor,,82-81,,
7:16.0,J. Collins makes 2-pt shot at rim (assist by D. Schroder),2,84-81,,
7:08.0,Personal foul by D. Schroder (drawn by M. Chalmers),,84-81,,
7:01.0,,,84-81,,B. McLemore misses 3-pt shot from 23 ft
6:57.0,Defensive rebound by K. Bazemore,,84-81,,
6:53.0,T. Waller-Prince makes 3-pt shot from 25 ft (assist by K. Bazemore),3,87-81,,
6:45.0,,,87-81,,Memphis full timeout
6:45.0,,,87-81,,M. Gasol enters the game for M. Chalmers
6:45.0,,,87-81,,D. Brooks enters the game for D. Davis
6:36.0,,,87-81,,B. McLemore misses 3-pt shot from 24 ft
6:34.0,,,87-81,,Offensive rebound by J. Green
6:22.0,,,87-81,,T. Evans misses 2-pt shot from 6 ft
6:18.0,Defensive rebound by T. Waller-Prince,,87-81,,
6:09.0,Shooting foul by B. McLemore (drawn by D. Schroder),,87-81,,
6:09.0,D. Schroder makes free throw 1 of 2,1,88-81,,
6:09.0,D. Schroder makes free throw 2 of 2,1,89-81,,
5:55.0,,,89-83,2,T. Evans makes 2-pt shot from 2 ft (assist by D. Brooks)
5:37.0,K. Bazemore misses 3-pt shot from 26 ft,,89-83,,
5:35.0,,,89-83,,Defensive rebound by D. Brooks
5:25.0,,,89-83,,J. Green misses 3-pt shot from 24 ft
5:18.0,,,89-83,,Offensive rebound by D. Brooks
5:18.0,,,89-85,2,D. Brooks makes 2-pt shot at rim
4:59.0,D. Schroder misses 3-pt shot from 26 ft,,89-85,,
4:55.0,,,89-85,,Defensive rebound by J. Green
4:39.0,,,89-85,,T. Evans misses 2-pt shot at rim (block by J. Collins)
4:38.0,,,89-85,,Offensive rebound by J. Green
4:38.0,,,89-85,,Shooting foul by T. Waller-Prince (drawn by J. Green)
4:38.0,Atlanta full timeout,,89-85,,
4:38.0,,,89-85,,M. Chalmers enters the game for T. Evans
4:38.0,,,89-85,,C. Parsons enters the game for B. McLemore
4:38.0,M. Belinelli enters the game for K. Bazemore,,89-85,,
4:38.0,,,89-86,1,J. Green makes free throw 1 of 2
4:38.0,,,89-86,,J. Green misses free throw 2 of 2
4:36.0,Defensive rebound by J. Collins,,89-86,,
4:22.0,D. Schroder misses 2-pt shot from 12 ft,,89-86,,
4:19.0,,,89-86,,Defensive rebound by M. Gasol
