time,Portland,pts.away,score,pts.home,New Orleans
1:30.0,Turnover by J. Nurkic (offensive foul),,18-29,,
1:15.0,,,18-31,2,J. Holiday makes 2-pt shot from 1 ft
1:00.0,D. Lillard misses 2-pt shot from 11 ft,,18-31,,
0:58.0,,,18-31,,Defensive rebound by S. Hill
0:52.0,,,18-34,3,I. Clark makes 3-pt shot from 28 ft (assist by N. Mirotic)
0:33.0,Turnover by D. Lillard (bad pass; steal by N. Mirotic),,18-34,,
0:11.0,,,18-34,,Shooting foul by Z. Collins (drawn by S. Hill)
0:11.0,,,18-35,1,S. Hill makes free throw 1 of 2
0:11.0,C. McCollum enters the game for M. Harkless,,18-35,,
0:11.0,S. Napier enters the game for Z. Collins,,18-35,,
0:11.0,,,18-36,1,S. Hill makes free throw 2 of 2
0:02.0,D. Lillard makes 2-pt shot from 1 ft,2,20-36,,
0:00.0,,,20-36,,N. Mirotic misses 3-pt shot from 52 ft
0:00.0,,,20-36,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,20-36,,Turnover by I. Clark (bad pass; steal by S. Napier)
11:35.0,A. Aminu misses 3-pt shot from 22 ft,,20-36,,
11:31.0,,,20-36,,Defensive rebound by R. Rondo
11:17.0,,,20-36,,I. Clark misses 2-pt shot from 14 ft
11:13.0,Defensive rebound by E. Davis,,20-36,,
10:59.0,,,20-36,,Personal foul by D. Miller (drawn by E. Davis)
10:51.0,C. McCollum makes 2-pt shot from 7 ft (assist by S. Napier),2,22-36,,
10:41.0,,,22-36,,Turnover by I. Clark (lost ball; steal by S. Napier)
10:37.0,S. Napier misses 2-pt shot from 2 ft,,22-36,,
10:37.0,Offensive rebound by A. Aminu,,22-36,,
10:37.0,Shooting foul by A. Davis (drawn by A. Aminu),,22-36,,
10:37.0,A. Aminu makes free throw 1 of 2,1,23-36,,
10:37.0,A. Aminu makes free throw 2 of 2,1,24-36,,
10:26.0,,,24-36,,Shooting foul by P. Connaughton (drawn by R. Rondo)
10:26.0,,,24-36,,R. Rondo misses free throw 1 of 2
10:26.0,,,24-36,,Offensive rebound by Team
10:26.0,,,24-37,1,R. Rondo makes free throw 2 of 2
10:03.0,Turnover by S. Napier (lost ball; steal by R. Rondo),,24-37,,
9:56.0,,,24-37,,D. Miller misses 3-pt shot from 25 ft
9:51.0,Defensive rebound by E. Davis,,24-37,,
9:45.0,Turnover by C. McCollum (lost ball; steal by I. Clark),,24-37,,
9:40.0,,,24-39,2,R. Rondo makes 2-pt shot from 2 ft (assist by I. Clark)
9:24.0,Turnover by E. Davis (lost ball; steal by D. Miller),,24-39,,
9:12.0,,,24-39,,Shooting foul by P. Connaughton (drawn by S. Hill)
9:12.0,Portland full timeout,,24-39,,
9:12.0,,,24-40,1,S. Hill makes free throw 1 of 2
9:12.0,,,24-41,1,S. Hill makes free throw 2 of 2
8:58.0,C. McCollum makes 2-pt shot from 17 ft (assist by P. Connaughton),2,26-41,,
8:38.0,,,26-41,,R. Rondo misses 2-pt shot from 1 ft
8:36.0,Defensive rebound by E. Davis,,26-41,,
8:22.0,Turnover by S. Napier (turnover),,26-41,,
8:08.0,,,26-41,,A. Davis misses 2-pt shot from 8 ft
8:06.0,Defensive rebound by E. Davis,,26-41,,
7:57.0,Turnover by C. McCollum (lost ball; steal by I. Clark),,26-41,,
7:51.0,,,26-41,,R. Rondo misses 2-pt shot from 1 ft
7:45.0,,,26-41,,Offensive rebound by A. Davis
7:45.0,,,26-43,2,A. Davis makes 2-pt shot at rim
7:33.0,Turnover by P. Connaughton (lost ball; steal by D. Miller),,26-43,,
7:28.0,,,26-43,,D. Miller misses 3-pt shot from 25 ft
7:25.0,Defensive rebound by E. Davis,,26-43,,
7:18.0,C. McCollum misses 2-pt shot from 1 ft,,26-43,,
7:17.0,Offensive rebound by A. Aminu,,26-43,,
7:17.0,A. Aminu misses 2-pt shot from 2 ft,,26-43,,
7:17.0,,,26-43,,Defensive rebound by A. Davis
6:57.0,,,26-46,3,R. Rondo makes 3-pt shot from 26 ft
6:55.0,Portland full timeout,,26-46,,
6:55.0,,,26-46,,N. Mirotic enters the game for I. Clark
6:55.0,,,26-46,,J. Holiday enters the game for S. Hill
6:55.0,D. Lillard enters the game for P. Connaughton,,26-46,,
6:41.0,D. Lillard misses 3-pt shot from 29 ft,,26-46,,
6:32.0,,,26-46,,Defensive rebound by A. Davis
6:21.0,,,26-46,,Turnover by R. Rondo (bad pass; steal by A. Aminu)
6:06.0,D. Lillard misses 2-pt shot at rim,,26-46,,
6:03.0,,,26-46,,Defensive rebound by A. Davis
5:57.0,,,26-46,,R. Rondo misses 3-pt shot from 23 ft
5:52.0,Defensive rebound by A. Aminu,,26-46,,
5:41.0,C. McCollum misses 2-pt shot from 13 ft,,26-46,,
5:41.0,,,26-46,,Defensive rebound by A. Davis
5:25.0,,,26-46,,J. Holiday misses 2-pt shot from 1 ft
5:25.0,Defensive rebound by E. Davis,,26-46,,
5:25.0,,,26-46,,Personal foul by J. Holiday (drawn by E. Davis)
5:25.0,,,26-46,,E. Moore enters the game for R. Rondo
5:25.0,M. Harkless enters the game for S. Napier,,26-46,,
5:08.0,A. Aminu makes 2-pt shot from 18 ft,2,28-46,,
4:43.0,,,28-48,2,N. Mirotic makes 2-pt shot from 1 ft (assist by A. Davis)
4:33.0,,,28-48,,Def 3 sec tech foul by A. Davis
4:33.0,D. Lillard makes technical free throw,1,29-48,,
4:20.0,A. Aminu makes 3-pt shot from 27 ft (assist by D. Lillard),3,32-48,,
4:10.0,,,32-50,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
3:55.0,C. McCollum makes 2-pt shot from 13 ft,2,34-50,,
3:45.0,,,34-50,,A. Davis misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by E. Davis,,34-50,,
3:32.0,Shooting foul by A. Davis (drawn by D. Lillard),,34-50,,
3:32.0,D. Lillard makes free throw 1 of 2,1,35-50,,
3:32.0,,,35-50,,R. Rondo enters the game for D. Miller
3:32.0,D. Lillard makes free throw 2 of 2,1,36-50,,
3:25.0,,,36-52,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
3:00.0,C. McCollum makes 3-pt shot from 26 ft (assist by A. Aminu),3,39-52,,
2:40.0,,,39-52,,J. Holiday misses 2-pt shot from 11 ft
2:35.0,Defensive rebound by E. Davis,,39-52,,
2:30.0,C. McCollum makes 2-pt shot from 7 ft,2,41-52,,
2:18.0,,,41-54,2,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Holiday)
1:54.0,M. Harkless misses 3-pt shot from 23 ft,,41-54,,
1:52.0,,,41-54,,Defensive rebound by R. Rondo
1:47.0,,,41-57,3,J. Holiday makes 3-pt shot from 25 ft (assist by R. Rondo)
1:20.0,M. Harkless misses 2-pt shot from 5 ft (block by N. Mirotic),,41-57,,
1:17.0,Offensive rebound by M. Harkless,,41-57,,
1:15.0,M. Harkless misses 2-pt shot from 2 ft,,41-57,,
1:12.0,,,41-57,,Defensive rebound by J. Holiday
1:11.0,,,41-60,3,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Holiday)
0:54.0,C. McCollum makes 3-pt shot from 23 ft (assist by M. Harkless),3,44-60,,
0:50.0,Personal foul by C. McCollum (drawn by A. Davis),,44-60,,
0:50.0,,,44-60,,S. Hill enters the game for A. Davis
0:35.0,,,44-60,,Turnover by J. Holiday (lost ball; steal by C. McCollum)
0:35.0,,,44-60,,Personal foul by S. Hill (drawn by D. Lillard)
0:35.0,D. Lillard makes free throw 1 of 2,1,45-60,,
0:35.0,P. Connaughton enters the game for C. McCollum,,45-60,,
0:35.0,D. Lillard misses free throw 2 of 2,,45-60,,
0:33.0,,,45-60,,Defensive rebound by N. Mirotic
0:29.0,,,45-62,2,E. Moore makes 2-pt shot from 22 ft (assist by R. Rondo)
0:23.0,D. Lillard misses 3-pt shot from 27 ft,,45-62,,
0:19.0,,,45-62,,Defensive rebound by N. Mirotic
0:03.0,,,45-64,2,J. Holiday makes 2-pt shot from 14 ft
0:00.0,P. Connaughton misses 3-pt shot from 50 ft,,45-64,,
0:00.0,Offensive rebound by Team,,45-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,45-64,,A. Davis misses 2-pt shot from 12 ft
11:35.0,Defensive rebound by A. Aminu,,45-64,,
11:22.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,47-64,,
11:08.0,,,47-64,,Turnover by R. Rondo (bad pass; steal by J. Nurkic)
11:03.0,C. McCollum misses 2-pt shot from 20 ft,,47-64,,
11:00.0,Offensive rebound by J. Nurkic,,47-64,,
10:57.0,M. Harkless makes 3-pt shot from 26 ft (assist by J. Nurkic),3,50-64,,
10:41.0,,,50-64,,New Orleans full timeout
10:32.0,,,50-64,,E. Moore misses 2-pt shot from 4 ft
10:30.0,Defensive rebound by J. Nurkic,,50-64,,
10:27.0,Turnover by D. Lillard (lost ball; steal by J. Holiday),,50-64,,
10:22.0,,,50-66,2,J. Holiday makes 2-pt shot at rim
10:11.0,C. McCollum misses 2-pt shot from 11 ft,,50-66,,
10:09.0,Offensive rebound by J. Nurkic,,50-66,,
10:07.0,J. Nurkic misses 2-pt shot from 1 ft,,50-66,,
10:05.0,,,50-66,,Defensive rebound by N. Mirotic
9:52.0,,,50-68,2,A. Davis makes 2-pt shot from 5 ft (assist by R. Rondo)
9:31.0,Turnover by D. Lillard (lost ball; steal by J. Holiday),,50-68,,
9:30.0,Violation by A. Aminu (kicked ball),,50-68,,
9:17.0,,,50-68,,A. Davis misses 3-pt shot from 24 ft
9:13.0,Defensive rebound by J. Nurkic,,50-68,,
9:01.0,Turnover by J. Nurkic (lost ball; steal by A. Davis),,50-68,,
9:01.0,Personal foul by J. Nurkic (drawn by A. Davis),,50-68,,
8:41.0,,,50-68,,J. Holiday misses 2-pt shot from 13 ft (block by A. Aminu)
8:37.0,Defensive rebound by J. Nurkic,,50-68,,
8:31.0,Turnover by D. Lillard (out of bounds lost ball),,50-68,,
8:18.0,,,50-70,2,E. Moore makes 2-pt shot from 9 ft
8:06.0,,,50-70,,Personal foul by J. Holiday (drawn by M. Harkless)
7:57.0,Turnover by A. Aminu (out of bounds lost ball),,50-70,,
7:51.0,,,50-72,2,R. Rondo makes 2-pt shot from 1 ft
7:50.0,Portland full timeout,,50-72,,
7:36.0,,,50-72,,Personal foul by E. Moore (drawn by J. Nurkic)
7:28.0,M. Harkless misses 3-pt shot from 23 ft,,50-72,,
7:24.0,,,50-72,,Defensive rebound by E. Moore
7:17.0,,,50-74,2,A. Davis makes 2-pt shot from 3 ft (assist by J. Holiday)
7:17.0,,,50-74,,Shooting foul by J. Nurkic (drawn by A. Davis)
7:17.0,,,50-75,1,A. Davis makes free throw 1 of 1
7:00.0,A. Aminu misses 3-pt shot from 26 ft,,50-75,,
6:56.0,,,50-75,,Defensive rebound by E. Moore
6:48.0,,,50-75,,N. Mirotic misses 3-pt shot from 27 ft
6:44.0,Defensive rebound by C. McCollum,,50-75,,
6:39.0,C. McCollum makes 2-pt shot from 1 ft,2,52-75,,
6:39.0,Shooting foul by A. Davis (drawn by C. McCollum),,52-75,,
6:39.0,C. McCollum makes free throw 1 of 1,1,53-75,,
6:32.0,,,53-75,,A. Davis misses 2-pt shot from 17 ft
6:28.0,Defensive rebound by M. Harkless,,53-75,,
6:24.0,A. Aminu makes 2-pt shot from 1 ft (assist by C. McCollum),2,55-75,,
6:11.0,,,55-75,,Turnover by R. Rondo (bad pass; steal by J. Nurkic)
6:05.0,D. Lillard makes 3-pt shot from 24 ft,3,58-75,,
5:50.0,,,58-75,,J. Holiday misses 3-pt shot from 24 ft
5:47.0,Defensive rebound by J. Nurkic,,58-75,,
5:35.0,A. Aminu makes 2-pt shot at rim (assist by M. Harkless),2,60-75,,
5:25.0,,,60-75,,New Orleans full timeout
5:25.0,,,60-75,,I. Clark enters the game for R. Rondo
5:25.0,,,60-75,,D. Miller enters the game for E. Moore
5:20.0,Personal foul by M. Harkless (drawn by J. Holiday),,60-75,,
5:08.0,,,60-77,2,N. Mirotic makes 2-pt shot from 1 ft (assist by A. Davis)
4:56.0,A. Aminu misses 3-pt shot from 24 ft,,60-77,,
4:56.0,Offensive rebound by Team,,60-77,,
4:56.0,,,60-77,,Loose ball foul by N. Mirotic (drawn by J. Nurkic)
4:43.0,Turnover by D. Lillard (lost ball; steal by J. Holiday),,60-77,,
4:35.0,,,60-77,,I. Clark misses 2-pt shot from 21 ft
4:27.0,,,60-77,,Offensive rebound by A. Davis
4:27.0,,,60-79,2,A. Davis makes 2-pt shot at rim
4:24.0,Shooting foul by I. Clark (drawn by C. McCollum),,60-79,,
4:24.0,C. McCollum makes free throw 1 of 2,1,61-79,,
4:24.0,E. Davis enters the game for J. Nurkic,,61-79,,
4:24.0,C. McCollum misses free throw 2 of 2,,61-79,,
4:21.0,,,61-79,,Defensive rebound by J. Holiday
4:17.0,,,61-81,2,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Holiday)
3:57.0,A. Aminu makes 2-pt shot from 1 ft (assist by C. McCollum),2,63-81,,
3:43.0,,,63-83,2,J. Holiday makes 2-pt shot from 1 ft
3:27.0,C. McCollum makes 2-pt shot from 10 ft,2,65-83,,
3:05.0,,,65-83,,Turnover by J. Holiday (bad pass)
3:05.0,,,65-83,,S. Hill enters the game for A. Davis
3:05.0,P. Connaughton enters the game for M. Harkless,,65-83,,
3:05.0,Z. Collins enters the game for A. Aminu,,65-83,,
2:53.0,D. Lillard misses 3-pt shot from 27 ft,,65-83,,
2:49.0,,,65-83,,Defensive rebound by J. Holiday
2:41.0,,,65-83,,S. Hill misses 2-pt shot from 1 ft
2:39.0,,,65-83,,Offensive rebound by S. Hill
2:36.0,,,65-83,,D. Miller misses 3-pt shot from 25 ft
2:36.0,,,65-83,,Offensive rebound by S. Hill
2:30.0,Personal foul by D. Lillard (drawn by D. Miller),,65-83,,
2:26.0,,,65-86,3,N. Mirotic makes 3-pt shot from 27 ft (assist by I. Clark)
2:13.0,Turnover by C. McCollum (lost ball; steal by N. Mirotic),,65-86,,
2:13.0,Personal foul by C. McCollum (drawn by D. Miller),,65-86,,
2:13.0,,,65-87,1,D. Miller makes free throw 1 of 2
2:13.0,S. Napier enters the game for C. McCollum,,65-87,,
2:13.0,,,65-88,1,D. Miller makes free throw 2 of 2
2:01.0,Offensive foul by E. Davis (drawn by I. Clark),,65-88,,
2:01.0,Turnover by E. Davis (offensive foul),,65-88,,
1:36.0,,,65-90,2,N. Mirotic makes 2-pt shot from 3 ft
1:20.0,Z. Collins misses 2-pt shot from 5 ft,,65-90,,
1:17.0,,,65-90,,Defensive rebound by N. Mirotic
1:04.0,,,65-90,,I. Clark misses 3-pt shot from 23 ft
1:00.0,Defensive rebound by Z. Collins,,65-90,,
0:44.0,,,65-90,,Personal block foul by N. Mirotic (drawn by Z. Collins)
0:44.0,Z. Collins makes free throw 1 of 2,1,66-90,,
0:44.0,,,66-90,,A. Davis enters the game for N. Mirotic
0:44.0,Z. Collins makes free throw 2 of 2,1,67-90,,
0:32.0,Personal foul by P. Connaughton (drawn by A. Davis),,67-90,,
0:32.0,,,67-91,1,A. Davis makes free throw 1 of 2
0:32.0,,,67-91,,A. Davis misses free throw 2 of 2
0:30.0,Defensive rebound by Z. Collins,,67-91,,
0:16.0,D. Lillard makes 2-pt shot from 1 ft,2,69-91,,
0:16.0,Shooting foul by I. Clark (drawn by D. Lillard),,69-91,,
0:16.0,D. Lillard makes free throw 1 of 1,1,70-91,,
0:00.0,,,70-91,,J. Holiday misses 2-pt shot from 21 ft
0:00.0,,,70-91,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Shooting foul by R. Rondo (drawn by D. Lillard),,70-91,,
11:45.0,D. Lillard makes free throw 1 of 2,1,71-91,,
11:45.0,J. Nurkic enters the game for E. Davis,,71-91,,
11:45.0,D. Lillard makes free throw 2 of 2,1,72-91,,
11:32.0,,,72-91,,Turnover by D. Miller (bad pass)
11:20.0,Turnover by D. Lillard (lost ball; steal by R. Rondo),,72-91,,
11:08.0,,,72-93,2,R. Rondo makes 2-pt shot from 8 ft (assist by D. Miller)
10:57.0,S. Napier misses 3-pt shot from 25 ft,,72-93,,
10:54.0,,,72-93,,Defensive rebound by R. Rondo
10:47.0,,,72-93,,Shooting foul by Z. Collins (drawn by A. Davis)
10:47.0,,,72-94,1,A. Davis makes free throw 1 of 2
10:47.0,,,72-95,1,A. Davis makes free throw 2 of 2
10:36.0,,,72-95,,Violation by A. Davis (kicked ball)
10:27.0,C. McCollum makes 2-pt shot from 2 ft,2,74-95,,
10:22.0,,,74-98,3,D. Miller makes 3-pt shot from 25 ft (assist by R. Rondo)
10:10.0,C. McCollum misses 3-pt shot from 25 ft,,74-98,,
10:06.0,,,74-98,,Defensive rebound by A. Davis
9:58.0,,,74-98,,R. Rondo misses 2-pt shot from 2 ft (block by Z. Collins)
9:58.0,,,74-98,,Offensive rebound by Team
9:56.0,,,74-98,,D. Miller misses 2-pt shot from 16 ft
9:53.0,,,74-98,,Offensive rebound by R. Rondo
9:50.0,,,74-100,2,R. Rondo makes 2-pt shot from 1 ft
9:50.0,Portland full timeout,,74-100,,
9:38.0,Shooting foul by S. Hill (drawn by J. Nurkic),,74-100,,
9:38.0,J. Nurkic misses free throw 1 of 2,,74-100,,
9:38.0,Offensive rebound by Team,,74-100,,
9:38.0,J. Nurkic makes free throw 2 of 2,1,75-100,,
9:23.0,,,75-102,2,A. Davis makes 2-pt shot from 10 ft (assist by D. Miller)
9:11.0,Z. Collins misses 2-pt shot from 5 ft (block by A. Davis),,75-102,,
9:11.0,Offensive rebound by Z. Collins,,75-102,,
9:06.0,Z. Collins makes 2-pt shot from 2 ft,2,77-102,,
8:46.0,,,77-102,,R. Rondo misses 2-pt shot from 10 ft
8:46.0,Defensive rebound by S. Napier,,77-102,,
8:35.0,J. Nurkic misses 2-pt shot from 9 ft,,77-102,,
8:29.0,Offensive rebound by Z. Collins,,77-102,,
8:29.0,Z. Collins makes 2-pt shot at rim,2,79-102,,
8:21.0,,,79-104,2,A. Davis makes 2-pt shot from 19 ft
8:03.0,D. Lillard misses 3-pt shot from 26 ft (block by R. Rondo),,79-104,,
7:59.0,,,79-104,,Defensive rebound by A. Davis
7:56.0,,,79-107,3,D. Miller makes 3-pt shot from 26 ft (assist by R. Rondo)
7:55.0,Portland full timeout,,79-107,,
7:55.0,,,79-107,,J. Holiday enters the game for R. Rondo
7:55.0,,,79-107,,E. Moore enters the game for D. Miller
7:55.0,W. Baldwin enters the game for D. Lillard,,79-107,,
7:55.0,J. Layman enters the game for C. McCollum,,79-107,,
7:55.0,M. Leonard enters the game for Z. Collins,,79-107,,
7:55.0,C. Swanigan enters the game for J. Nurkic,,79-107,,
7:34.0,C. Swanigan misses 2-pt shot from 19 ft,,79-107,,
7:31.0,,,79-107,,Defensive rebound by E. Moore
7:13.0,,,79-109,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
7:05.0,,,79-109,,Personal foul by I. Clark (drawn by S. Napier)
7:05.0,,,79-109,,C. Diallo enters the game for A. Davis
7:05.0,,,79-109,,J. Crawford enters the game for J. Holiday
6:57.0,W. Baldwin misses 2-pt shot from 19 ft,,79-109,,
6:54.0,,,79-109,,Defensive rebound by S. Hill
6:46.0,,,79-112,3,J. Crawford makes 3-pt shot from 27 ft
6:21.0,S. Napier makes 2-pt shot from 12 ft,2,81-112,,
6:05.0,,,81-112,,C. Diallo misses 2-pt shot from 15 ft
6:02.0,Defensive rebound by M. Leonard,,81-112,,
5:59.0,,,81-112,,Personal foul by I. Clark (drawn by W. Baldwin)
5:59.0,,,81-112,,D. Liggins enters the game for E. Moore
5:52.0,M. Leonard makes 2-pt shot at rim (assist by W. Baldwin),2,83-112,,
5:37.0,,,83-112,,J. Crawford misses 3-pt shot from 27 ft
5:35.0,Defensive rebound by M. Leonard,,83-112,,
5:20.0,M. Leonard makes 2-pt shot at rim (assist by J. Layman),2,85-112,,
5:07.0,,,85-112,,Turnover by S. Hill (bad pass; steal by J. Layman)
5:03.0,J. Layman makes 2-pt shot from 1 ft,2,87-112,,
4:56.0,,,87-112,,New Orleans full timeout
4:44.0,,,87-112,,J. Crawford misses 3-pt shot from 27 ft
4:38.0,Defensive rebound by J. Layman,,87-112,,
4:38.0,Shooting foul by S. Hill (drawn by C. Swanigan),,87-112,,
4:38.0,C. Swanigan misses free throw 1 of 2,,87-112,,
4:38.0,Offensive rebound by Team,,87-112,,
4:38.0,C. Swanigan makes free throw 2 of 2,1,88-112,,
4:25.0,,,88-114,2,I. Clark makes 2-pt shot from 15 ft
4:10.0,C. Swanigan misses 3-pt shot from 22 ft,,88-114,,
4:06.0,,,88-114,,Defensive rebound by J. Crawford
4:02.0,,,88-114,,Turnover by J. Crawford (lost ball; steal by W. Baldwin)
3:56.0,M. Leonard makes 2-pt shot at rim (assist by C. Swanigan),2,90-114,,
3:36.0,,,90-114,,Shooting foul by C. Swanigan (drawn by D. Liggins)
3:36.0,,,90-114,,D. Liggins misses free throw 1 of 2
3:36.0,,,90-114,,Offensive rebound by Team
3:36.0,,,90-114,,E. Okafor enters the game for C. Diallo
3:36.0,,,90-115,1,D. Liggins makes free throw 2 of 2
3:26.0,,,90-115,,Personal foul by S. Hill (drawn by W. Baldwin)
