time,Washington,pts.away,score,pts.home,Houston
1:08.0,B. Beal makes 2-pt shot from 15 ft,2,48-67,,
0:59.0,,,48-67,,Shooting foul by B. Beal (drawn by J. Harden)
0:59.0,,,48-68,1,J. Harden makes free throw 1 of 2
0:59.0,T. Satoransky enters the game for B. Beal,,48-68,,
0:59.0,,,48-69,1,J. Harden makes free throw 2 of 2
0:46.0,Shooting foul by P. Tucker (drawn by K. Oubre),,48-69,,
0:46.0,K. Oubre makes free throw 1 of 2,1,49-69,,
0:46.0,K. Oubre misses free throw 2 of 2,,49-69,,
0:46.0,,,49-69,,Defensive rebound by J. Harden
0:34.0,,,49-69,,E. Gordon misses 3-pt shot from 24 ft
0:32.0,,,49-69,,Offensive rebound by P. Tucker
0:32.0,,,49-71,2,P. Tucker makes 2-pt shot from 1 ft
0:25.0,Turnover by J. Wall (bad pass; steal by L. Mbah a Moute),,49-71,,
0:02.0,,,49-71,,J. Harden misses 3-pt shot from 30 ft
0:02.0,Defensive rebound by M. Morris,,49-71,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,49-73,2,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul)
11:20.0,M. Morris makes 2-pt shot from 12 ft,2,51-73,,
11:09.0,,,51-73,,P. Tucker misses 2-pt shot from 16 ft
11:06.0,Defensive rebound by M. Morris,,51-73,,
11:00.0,M. Morris makes 3-pt shot from 26 ft (assist by J. Wall),3,54-73,,
10:41.0,Personal foul by B. Beal (drawn by C. Capela),,54-73,,
10:41.0,T. Satoransky enters the game for B. Beal,,54-73,,
10:27.0,,,54-73,,Turnover by Team (shot clock)
10:15.0,M. Gortat makes 2-pt shot from 2 ft (assist by M. Morris),2,56-73,,
9:54.0,,,56-73,,L. Mbah a Moute misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by T. Satoransky,,56-73,,
9:46.0,J. Wall makes 2-pt shot from 16 ft,2,58-73,,
9:29.0,,,58-75,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
9:18.0,J. Wall misses 3-pt shot from 24 ft,,58-75,,
9:15.0,Offensive rebound by T. Satoransky,,58-75,,
8:59.0,J. Wall misses 2-pt shot from 15 ft,,58-75,,
8:57.0,,,58-75,,Defensive rebound by J. Harden
8:38.0,,,58-77,2,C. Capela makes 2-pt shot from 1 ft (assist by P. Tucker)
8:26.0,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall),3,61-77,,
8:11.0,,,61-77,,Turnover by J. Harden (bad pass; steal by M. Morris)
8:07.0,Shooting foul by J. Harden (drawn by J. Wall),,61-77,,
8:07.0,J. Wall misses free throw 1 of 2,,61-77,,
8:07.0,Offensive rebound by Team,,61-77,,
8:07.0,J. Wall misses free throw 2 of 2,,61-77,,
8:07.0,,,61-77,,Defensive rebound by J. Harden
8:07.0,,,61-77,,Violation by C. Paul (lane)
7:50.0,,,61-80,3,C. Paul makes 3-pt shot from 24 ft (assist by P. Tucker)
7:37.0,T. Satoransky makes 2-pt shot from 12 ft,2,63-80,,
7:28.0,Personal foul by T. Satoransky (drawn by C. Capela),,63-80,,
7:28.0,,,63-80,,N. Hilario enters the game for C. Capela
7:12.0,,,63-83,3,J. Harden makes 3-pt shot from 22 ft (assist by P. Tucker)
6:52.0,O. Porter misses 2-pt shot from 22 ft,,63-83,,
6:48.0,,,63-83,,Defensive rebound by N. Hilario
6:39.0,,,63-83,,J. Harden misses 3-pt shot from 25 ft
6:37.0,Defensive rebound by M. Morris,,63-83,,
6:30.0,T. Satoransky misses 2-pt shot from 16 ft,,63-83,,
6:27.0,,,63-83,,Defensive rebound by P. Tucker
6:23.0,,,63-83,,C. Paul misses 3-pt shot from 26 ft
6:20.0,Defensive rebound by J. Wall,,63-83,,
6:15.0,J. Wall misses 2-pt shot from 20 ft,,63-83,,
6:12.0,Offensive rebound by M. Gortat,,63-83,,
6:08.0,M. Morris misses 3-pt shot from 23 ft,,63-83,,
6:06.0,,,63-83,,Defensive rebound by N. Hilario
5:47.0,,,63-83,,Turnover by P. Tucker (bad pass; steal by O. Porter)
5:42.0,Turnover by J. Wall (lost ball; steal by L. Mbah a Moute),,63-83,,
5:35.0,,,63-83,,C. Paul misses 3-pt shot from 22 ft
5:33.0,,,63-83,,Offensive rebound by J. Harden
5:25.0,,,63-83,,C. Paul misses 3-pt shot from 23 ft
5:23.0,Defensive rebound by T. Satoransky,,63-83,,
5:12.0,Turnover by J. Wall (lost ball; steal by L. Mbah a Moute),,63-83,,
5:10.0,,,63-85,2,C. Paul makes 2-pt shot from 1 ft (assist by L. Mbah a Moute)
5:10.0,Washington full timeout,,63-85,,
5:10.0,,,63-85,,E. Gordon enters the game for C. Paul
5:10.0,,,63-85,,G. Green enters the game for L. Mbah a Moute
5:10.0,K. Oubre enters the game for M. Gortat,,63-85,,
4:47.0,J. Wall makes 3-pt shot from 25 ft (assist by K. Oubre),3,66-85,,
4:24.0,,,66-85,,N. Hilario misses 2-pt shot from 1 ft
4:23.0,Defensive rebound by M. Morris,,66-85,,
4:06.0,Turnover by M. Morris (bad pass),,66-85,,
3:59.0,,,66-85,,P. Tucker misses 3-pt shot from 22 ft
3:56.0,Defensive rebound by J. Wall,,66-85,,
3:52.0,J. Wall misses 2-pt shot from 20 ft,,66-85,,
3:49.0,,,66-85,,Defensive rebound by J. Harden
3:30.0,,,66-87,2,J. Harden makes 2-pt shot from 20 ft
3:16.0,Turnover by M. Morris (bad pass),,66-87,,
3:16.0,,,66-87,,J. Johnson enters the game for P. Tucker
3:06.0,,,66-90,2,G. Green makes 3-pt shot from 25 ft (assist by J. Harden)
2:52.0,Shooting foul by N. Hilario (drawn by K. Oubre),,66-90,,
2:52.0,,,66-90,,Houston full timeout
2:52.0,M. Scott enters the game for M. Morris,,66-90,,
2:52.0,B. Beal enters the game for O. Porter,,66-90,,
2:52.0,K. Oubre makes free throw 1 of 2,1,67-90,,
2:52.0,K. Oubre misses free throw 2 of 2,,67-90,,
2:52.0,,,67-90,,Defensive rebound by J. Harden
2:36.0,,,67-90,,E. Gordon misses 3-pt shot from 23 ft
2:33.0,Defensive rebound by J. Wall,,67-90,,
2:18.0,K. Oubre makes 3-pt shot from 22 ft (assist by M. Scott),3,70-90,,
2:06.0,,,70-90,,E. Gordon misses 3-pt shot from 23 ft
2:03.0,Defensive rebound by K. Oubre,,70-90,,
1:57.0,Turnover by J. Wall (bad pass; steal by J. Harden),,70-90,,
1:47.0,,,70-90,,G. Green misses 3-pt shot from 23 ft
1:46.0,,,70-90,,Offensive rebound by N. Hilario
1:33.0,,,70-93,3,J. Johnson makes 3-pt shot from 22 ft (assist by E. Gordon)
1:13.0,K. Oubre misses 3-pt shot from 22 ft,,70-93,,
1:10.0,,,70-93,,Defensive rebound by N. Hilario
1:03.0,,,70-93,,J. Johnson misses 3-pt shot from 22 ft
1:01.0,Defensive rebound by K. Oubre,,70-93,,
0:47.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,72-93,,
0:32.0,,,72-93,,Shooting foul by B. Beal (drawn by N. Hilario)
0:32.0,,,72-94,1,N. Hilario makes free throw 1 of 2
0:32.0,,,72-95,1,N. Hilario makes free throw 2 of 2
0:19.0,Shooting foul by E. Gordon (drawn by B. Beal),,72-95,,
0:19.0,B. Beal makes free throw 1 of 3,1,73-95,,
0:19.0,B. Beal makes free throw 2 of 3,1,74-95,,
0:19.0,B. Beal makes free throw 3 of 3,1,75-95,,
0:00.0,,,75-95,,E. Gordon misses 3-pt shot from 27 ft
0:00.0,,,75-95,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,T. Satoransky makes 2-pt shot from 3 ft,2,77-95,,
11:11.0,,,77-95,,N. Hilario misses 2-pt shot from 2 ft
11:10.0,,,77-95,,Offensive rebound by N. Hilario
11:10.0,,,77-97,2,N. Hilario makes 2-pt shot from 2 ft
11:10.0,,,77-97,,Shooting foul by T. Frazier (drawn by N. Hilario)
11:10.0,,,77-97,,N. Hilario misses free throw 1 of 1
11:10.0,Defensive rebound by B. Beal,,77-97,,
10:55.0,K. Oubre makes 2-pt shot from 5 ft,2,79-97,,
10:43.0,,,79-100,3,G. Green makes 3-pt shot from 23 ft (assist by J. Johnson)
10:34.0,,,79-100,,Violation by N. Hilario (kicked ball)
10:20.0,Shooting foul by N. Hilario (drawn by M. Scott),,79-100,,
10:20.0,M. Scott makes free throw 1 of 2,1,80-100,,
10:20.0,M. Scott misses free throw 2 of 2,,80-100,,
10:20.0,,,80-100,,Defensive rebound by N. Hilario
10:13.0,Personal foul by T. Frazier (drawn by C. Paul),,80-100,,
10:07.0,,,80-100,,N. Hilario misses 2-pt shot from 1 ft
10:04.0,Defensive rebound by T. Frazier,,80-100,,
10:00.0,B. Beal makes 3-pt shot from 24 ft (assist by T. Frazier),3,83-100,,
9:36.0,,,83-100,,Turnover by E. Gordon (traveling)
9:36.0,,,83-100,,C. Capela enters the game for N. Hilario
9:26.0,T. Frazier makes 2-pt shot from 19 ft,2,85-100,,
9:11.0,,,85-100,,C. Paul misses 3-pt shot from 26 ft
9:06.0,,,85-100,,Offensive rebound by C. Capela
8:54.0,,,85-102,2,E. Gordon makes 2-pt shot at rim
8:46.0,B. Beal misses 3-pt shot from 25 ft,,85-102,,
8:42.0,,,85-102,,Defensive rebound by C. Paul
8:29.0,,,85-104,2,G. Green makes 2-pt shot at rim (assist by C. Paul)
8:29.0,Washington full timeout,,85-104,,
8:29.0,,,85-104,,J. Harden enters the game for E. Gordon
8:17.0,B. Beal makes 2-pt shot from 11 ft,2,87-104,,
7:55.0,,,87-104,,J. Johnson misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by B. Beal,,87-104,,
7:45.0,B. Beal makes 2-pt shot from 1 ft,2,89-104,,
7:30.0,,,89-104,,Offensive foul by C. Paul (drawn by T. Frazier)
7:30.0,,,89-104,,Turnover by C. Paul (offensive foul)
7:11.0,T. Satoransky makes 2-pt shot at rim (assist by T. Frazier),2,91-104,,
6:51.0,Personal foul by T. Satoransky (drawn by C. Capela),,91-104,,
6:51.0,,,91-104,,L. Mbah a Moute enters the game for G. Green
6:37.0,,,91-107,3,J. Harden makes 3-pt shot from 25 ft
6:14.0,B. Beal makes 2-pt shot from 1 ft,2,93-107,,
5:56.0,,,93-110,3,J. Harden makes 3-pt shot from 25 ft
5:41.0,K. Oubre misses 2-pt shot from 1 ft,,93-110,,
5:41.0,,,93-110,,Defensive rebound by C. Capela
5:41.0,Loose ball foul by K. Oubre (drawn by C. Capela),,93-110,,
5:41.0,,,93-110,,P. Tucker enters the game for J. Johnson
5:41.0,J. Wall enters the game for T. Frazier,,93-110,,
5:20.0,,,93-112,2,J. Harden makes 2-pt shot from 1 ft
5:20.0,,,93-112,,Shooting foul by T. Satoransky (drawn by J. Harden)
5:20.0,,,93-113,1,J. Harden makes free throw 1 of 1
5:12.0,B. Beal misses 2-pt shot at rim (block by C. Capela),,93-113,,
5:09.0,,,93-113,,Defensive rebound by L. Mbah a Moute
5:02.0,,,93-113,,J. Harden misses 3-pt shot from 31 ft
4:59.0,Defensive rebound by B. Beal,,93-113,,
4:56.0,T. Satoransky makes 2-pt shot from 1 ft (assist by B. Beal),2,95-113,,
4:28.0,,,95-113,,Turnover by Team (shot clock)
4:22.0,T. Satoransky misses 2-pt shot from 10 ft,,95-113,,
4:20.0,,,95-113,,Defensive rebound by C. Capela
4:08.0,,,95-113,,Shooting foul by K. Oubre (drawn by C. Capela)
4:08.0,,,95-113,,C. Capela misses free throw 1 of 2
4:08.0,,,95-113,,Offensive rebound by Team
4:08.0,,,95-114,1,C. Capela makes free throw 2 of 2
3:52.0,M. Scott makes 2-pt shot from 1 ft (assist by J. Wall),2,97-114,,
3:35.0,,,97-116,2,C. Capela makes 2-pt shot at rim (assist by C. Paul)
3:35.0,Washington full timeout,,97-116,,
3:35.0,,,97-116,,J. Johnson enters the game for C. Paul
3:35.0,,,97-116,,T. Black enters the game for J. Harden
3:35.0,,,97-116,,T. Quarterman enters the game for C. Capela
3:35.0,,,97-116,,G. Green enters the game for P. Tucker
3:35.0,J. Meeks enters the game for B. Beal,,97-116,,
3:35.0,R. Sessions enters the game for T. Satoransky,,97-116,,
3:35.0,T. Frazier enters the game for J. Wall,,97-116,,
3:20.0,J. Meeks misses 3-pt shot from 22 ft,,97-116,,
3:18.0,,,97-116,,Defensive rebound by T. Quarterman
2:56.0,,,97-116,,G. Green misses 3-pt shot from 25 ft
2:53.0,,,97-116,,Offensive rebound by T. Black
2:51.0,,,97-116,,T. Quarterman misses 3-pt shot from 25 ft
2:49.0,Defensive rebound by J. Meeks,,97-116,,
2:35.0,K. Oubre misses 3-pt shot from 25 ft,,97-116,,
2:33.0,Offensive rebound by M. Scott,,97-116,,
2:30.0,Shooting foul by G. Green (drawn by K. Oubre),,97-116,,
2:30.0,K. Oubre makes free throw 1 of 2,1,98-116,,
2:30.0,K. Oubre makes free throw 2 of 2,1,99-116,,
2:13.0,,,99-118,2,J. Johnson makes 2-pt shot from 13 ft
1:55.0,T. Frazier misses 2-pt shot from 21 ft,,99-118,,
1:53.0,,,99-118,,Defensive rebound by G. Green
1:46.0,,,99-120,2,T. Quarterman makes 2-pt shot from 6 ft (assist by G. Green)
1:35.0,Shooting foul by T. Quarterman (drawn by K. Oubre),,99-120,,
1:35.0,K. Oubre misses free throw 1 of 2,,99-120,,
1:35.0,Offensive rebound by Team,,99-120,,
1:35.0,K. Oubre misses free throw 2 of 2,,99-120,,
1:35.0,,,99-120,,Defensive rebound by J. Johnson
1:26.0,,,99-120,,Turnover by J. Johnson (lost ball; steal by K. Oubre)
1:23.0,J. Meeks makes 2-pt shot at rim (assist by K. Oubre),2,101-120,,
1:04.0,,,101-120,,L. Mbah a Moute misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by T. Frazier,,101-120,,
0:53.0,J. Meeks makes 3-pt shot from 22 ft (assist by M. Scott),3,104-120,,
