time,Brooklyn,pts.away,score,pts.home,Oklahoma City
0:40.0,,,57-45,,C. Anthony misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by A. Crabbe,,57-45,,
0:26.0,R. Hollis-Jefferson makes 2-pt shot from 9 ft,2,59-45,,
0:04.0,,,59-45,,R. Westbrook misses 3-pt shot from 24 ft
0:00.0,,,59-45,,Offensive rebound by S. Adams
0:00.0,,,59-47,2,S. Adams makes 2-pt shot from 6 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,Turnover by S. Dinwiddie (lost ball; steal by R. Westbrook),,59-47,,
11:39.0,Loose ball foul by R. Hollis-Jefferson (drawn by R. Westbrook),,59-47,,
11:28.0,,,59-49,2,C. Anthony makes 2-pt shot from 14 ft
11:04.0,R. Hollis-Jefferson makes 2-pt shot at rim,2,61-49,,
10:48.0,,,61-49,,Offensive foul by S. Adams (drawn by R. Hollis-Jefferson)
10:48.0,,,61-49,,Turnover by S. Adams (offensive foul)
10:30.0,A. Crabbe makes 2-pt shot from 1 ft (assist by D. Carroll),2,63-49,,
10:15.0,,,63-49,,S. Adams misses 2-pt shot at rim (block by T. Zeller)
10:12.0,,,63-49,,Offensive rebound by A. Roberson
10:12.0,,,63-49,,A. Roberson misses 2-pt shot at rim
10:12.0,,,63-49,,Offensive rebound by P. George
10:06.0,,,63-51,2,P. George makes 2-pt shot from 10 ft
9:38.0,Turnover by Team (shot clock),,63-51,,
9:30.0,,,63-51,,P. George misses 3-pt shot from 23 ft
9:24.0,Defensive rebound by D. Carroll,,63-51,,
9:18.0,D. Carroll makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,66-51,,
8:57.0,,,66-53,2,R. Westbrook makes 2-pt shot at rim
8:30.0,D. Carroll misses 3-pt shot from 25 ft,,66-53,,
8:28.0,Offensive rebound by T. Zeller,,66-53,,
8:23.0,D. Carroll misses 3-pt shot from 25 ft,,66-53,,
8:20.0,Offensive rebound by R. Hollis-Jefferson,,66-53,,
8:20.0,Shooting foul by C. Anthony (drawn by R. Hollis-Jefferson),,66-53,,
8:20.0,R. Hollis-Jefferson makes free throw 1 of 2,1,67-53,,
8:20.0,R. Hollis-Jefferson makes free throw 2 of 2,1,68-53,,
8:10.0,,,68-53,,Shooting foul by T. Zeller (drawn by R. Westbrook)
8:10.0,,,68-54,1,R. Westbrook makes free throw 1 of 2
8:10.0,,,68-54,,R. Westbrook misses free throw 2 of 2
8:05.0,Defensive rebound by A. Crabbe,,68-54,,
7:55.0,A. Crabbe misses 3-pt shot from 26 ft,,68-54,,
7:52.0,,,68-54,,Defensive rebound by C. Anthony
7:45.0,,,68-54,,C. Anthony misses 2-pt shot from 6 ft
7:43.0,,,68-54,,Offensive rebound by C. Anthony
7:43.0,,,68-56,2,C. Anthony makes 2-pt shot at rim
7:27.0,R. Hollis-Jefferson misses 3-pt shot from 24 ft,,68-56,,
7:25.0,,,68-56,,Defensive rebound by R. Westbrook
7:22.0,,,68-58,2,R. Westbrook makes 2-pt shot at rim
7:22.0,,,68-58,,Shooting foul by A. Crabbe (drawn by R. Westbrook)
7:22.0,Brooklyn full timeout,,68-58,,
7:22.0,,,68-59,1,R. Westbrook makes free throw 1 of 1
7:07.0,D. Carroll misses 3-pt shot from 25 ft,,68-59,,
7:05.0,,,68-59,,Defensive rebound by R. Westbrook
7:01.0,Personal foul by T. Zeller (drawn by S. Adams),,68-59,,
6:52.0,,,68-61,2,P. George makes 2-pt shot from 10 ft (assist by R. Westbrook)
6:32.0,Turnover by R. Hollis-Jefferson (step out of bounds),,68-61,,
6:17.0,,,68-61,,R. Westbrook misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by Team,,68-61,,
6:13.0,C. LeVert enters the game for S. Dinwiddie,,68-61,,
6:13.0,J. Harris enters the game for A. Crabbe,,68-61,,
6:13.0,J. Allen enters the game for T. Zeller,,68-61,,
5:52.0,,,68-61,,Personal foul by R. Westbrook (drawn by J. Allen)
5:48.0,R. Hollis-Jefferson misses 2-pt shot from 6 ft,,68-61,,
5:45.0,,,68-61,,Defensive rebound by A. Roberson
5:41.0,,,68-63,2,R. Westbrook makes 2-pt shot from 17 ft
5:19.0,C. LeVert misses 3-pt shot from 22 ft,,68-63,,
5:17.0,,,68-63,,Defensive rebound by P. George
5:14.0,,,68-63,,P. George misses 3-pt shot from 25 ft
5:08.0,Defensive rebound by D. Carroll,,68-63,,
5:05.0,Turnover by D. Carroll (step out of bounds),,68-63,,
4:54.0,Personal foul by C. LeVert (drawn by R. Westbrook),,68-63,,
4:54.0,,,68-64,1,R. Westbrook makes free throw 1 of 2
4:54.0,Q. Acy enters the game for D. Carroll,,68-64,,
4:54.0,D. Russell enters the game for R. Hollis-Jefferson,,68-64,,
4:54.0,,,68-65,1,R. Westbrook makes free throw 2 of 2
4:41.0,Q. Acy misses 3-pt shot from 25 ft,,68-65,,
4:38.0,Offensive rebound by D. Russell,,68-65,,
4:38.0,Shooting foul by A. Roberson (drawn by D. Russell),,68-65,,
4:38.0,D. Russell makes free throw 1 of 2,1,69-65,,
4:38.0,D. Russell makes free throw 2 of 2,1,70-65,,
4:35.0,Personal take foul by D. Russell (drawn by A. Roberson),,70-65,,
4:35.0,,,70-66,1,A. Roberson makes free throw 1 of 2
4:35.0,,,70-66,,A. Roberson misses free throw 2 of 2
4:33.0,,,70-66,,Offensive rebound by C. Anthony
4:33.0,,,70-66,,Oklahoma City full timeout
4:33.0,,,70-66,,P. Patterson enters the game for S. Adams
4:31.0,Personal take foul by D. Russell (drawn by A. Roberson),,70-66,,
4:31.0,,,70-66,,A. Roberson misses free throw 1 of 2
4:31.0,,,70-66,,Offensive rebound by Team
4:31.0,,,70-66,,A. Roberson misses free throw 2 of 2
4:29.0,Defensive rebound by D. Russell,,70-66,,
4:16.0,Q. Acy misses 3-pt shot from 23 ft,,70-66,,
4:15.0,Offensive rebound by Team,,70-66,,
4:15.0,,,70-66,,T. Ferguson enters the game for A. Roberson
4:03.0,J. Allen makes 2-pt shot from 1 ft (assist by C. LeVert),2,72-66,,
3:49.0,,,72-66,,Shooting foul by J. Allen (drawn by R. Westbrook)
3:49.0,,,72-66,,R. Westbrook misses free throw 1 of 2
3:49.0,,,72-66,,Offensive rebound by Team
3:49.0,,,72-66,,R. Westbrook misses free throw 2 of 2
3:47.0,Defensive rebound by J. Allen,,72-66,,
3:29.0,D. Russell misses 3-pt shot from 24 ft,,72-66,,
3:27.0,,,72-66,,Defensive rebound by P. George
3:23.0,,,72-66,,R. Westbrook misses 2-pt shot from 13 ft
3:19.0,Defensive rebound by Q. Acy,,72-66,,
3:14.0,Shooting foul by P. Patterson (drawn by J. Allen),,72-66,,
3:14.0,J. Allen misses free throw 1 of 2,,72-66,,
3:14.0,Offensive rebound by Team,,72-66,,
3:14.0,J. Allen makes free throw 2 of 2,1,73-66,,
2:57.0,Personal foul by Q. Acy (drawn by P. George),,73-66,,
2:57.0,,,73-67,1,P. George makes free throw 1 of 2
2:57.0,,,73-68,1,P. George makes free throw 2 of 2
2:37.0,C. LeVert makes 2-pt shot from 12 ft,2,75-68,,
2:37.0,Shooting foul by P. Patterson (drawn by C. LeVert),,75-68,,
2:37.0,,,75-68,,J. Grant enters the game for C. Anthony
2:37.0,C. LeVert makes free throw 1 of 1,1,76-68,,
2:29.0,,,76-68,,R. Westbrook misses 2-pt shot from 1 ft
2:27.0,Defensive rebound by C. LeVert,,76-68,,
2:25.0,J. Harris makes 3-pt shot from 24 ft (assist by C. LeVert),3,79-68,,
2:08.0,,,79-68,,T. Ferguson misses 3-pt shot from 24 ft
2:05.0,Defensive rebound by J. Allen,,79-68,,
1:57.0,D. Russell makes 3-pt shot from 24 ft (assist by C. LeVert),3,82-68,,
1:44.0,,,82-68,,J. Grant misses 3-pt shot from 24 ft
1:41.0,Defensive rebound by J. Allen,,82-68,,
1:36.0,,,82-68,,R. Felton enters the game for R. Westbrook
1:28.0,J. Harris misses 2-pt shot from 2 ft,,82-68,,
1:28.0,Offensive rebound by J. Allen,,82-68,,
1:28.0,Shooting foul by P. George (drawn by J. Allen),,82-68,,
1:28.0,J. Allen misses free throw 1 of 2,,82-68,,
1:28.0,Offensive rebound by Team,,82-68,,
1:28.0,J. Allen makes free throw 2 of 2,1,83-68,,
1:20.0,,,83-68,,Shooting foul by C. LeVert (drawn by P. George)
1:20.0,,,83-69,1,P. George makes free throw 1 of 2
1:20.0,,,83-70,1,P. George makes free throw 2 of 2
1:10.0,D. Russell misses 3-pt shot from 25 ft,,83-70,,
1:08.0,,,83-70,,Defensive rebound by R. Felton
1:06.0,,,83-70,,Shooting foul by J. Harris (drawn by T. Ferguson)
1:06.0,,,83-71,1,T. Ferguson makes free throw 1 of 2
1:06.0,,,83-72,1,T. Ferguson makes free throw 2 of 2
0:56.0,Q. Acy misses 3-pt shot from 25 ft,,83-72,,
0:53.0,,,83-72,,Defensive rebound by P. George
0:42.0,,,83-72,,P. Patterson misses 2-pt shot from 1 ft
0:39.0,Defensive rebound by Q. Acy,,83-72,,
0:36.0,D. Russell makes 2-pt shot from 1 ft,2,85-72,,
0:27.0,,,85-74,2,P. George makes 2-pt shot at rim
0:02.0,J. Harris misses 2-pt shot from 1 ft (block by T. Ferguson),,85-74,,
0:00.0,,,85-74,,Defensive rebound by J. Grant
0:00.0,,,85-74,,P. George misses 3-pt shot from 43 ft
0:00.0,,,85-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,,,85-77,3,R. Felton makes 3-pt shot from 25 ft
11:35.0,Turnover by C. LeVert (bad pass),,85-77,,
11:26.0,,,85-77,,T. Ferguson misses 3-pt shot from 25 ft
11:22.0,Defensive rebound by J. Okafor,,85-77,,
11:13.0,J. Harris makes 2-pt shot at rim,2,87-77,,
10:56.0,,,87-80,3,R. Felton makes 3-pt shot from 24 ft
10:32.0,Q. Acy makes 2-pt shot from 16 ft (assist by D. Russell),2,89-80,,
10:18.0,Personal foul by C. LeVert (drawn by R. Felton),,89-80,,
10:18.0,,,89-80,,S. Adams enters the game for J. Grant
10:18.0,A. Crabbe enters the game for D. Russell,,89-80,,
10:11.0,,,89-82,2,R. Felton makes 2-pt shot from 22 ft
9:58.0,A. Crabbe misses 3-pt shot from 25 ft,,89-82,,
9:58.0,,,89-82,,Defensive rebound by S. Adams
9:47.0,,,89-84,2,R. Felton makes 2-pt shot from 13 ft
9:47.0,Brooklyn full timeout,,89-84,,
9:34.0,Shooting foul by R. Felton (drawn by C. LeVert),,89-84,,
9:34.0,C. LeVert makes free throw 1 of 2,1,90-84,,
9:34.0,C. LeVert misses free throw 2 of 2,,90-84,,
9:32.0,,,90-84,,Defensive rebound by J. Huestis
9:21.0,,,90-84,,T. Ferguson misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by C. LeVert,,90-84,,
9:08.0,Q. Acy makes 2-pt shot at rim (assist by J. Harris),2,92-84,,
8:49.0,,,92-87,3,P. Patterson makes 3-pt shot from 22 ft (assist by T. Ferguson)
8:28.0,,,92-87,,Personal foul by T. Ferguson (drawn by Q. Acy)
8:28.0,,,92-87,,R. Westbrook enters the game for T. Ferguson
8:21.0,A. Crabbe misses 2-pt shot from 9 ft,,92-87,,
8:18.0,,,92-87,,Defensive rebound by R. Felton
8:08.0,,,92-90,3,P. Patterson makes 3-pt shot from 22 ft (assist by R. Westbrook)
7:51.0,Turnover by C. LeVert (bad pass; steal by P. Patterson),,92-90,,
7:51.0,,,92-90,,Turnover by P. Patterson (bad pass)
7:51.0,S. Dinwiddie enters the game for C. LeVert,,92-90,,
7:44.0,J. Harris makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,95-90,,
7:25.0,Personal foul by S. Dinwiddie (drawn by P. Patterson),,95-90,,
7:25.0,R. Hollis-Jefferson enters the game for Q. Acy,,95-90,,
7:19.0,,,95-93,3,J. Huestis makes 3-pt shot from 24 ft (assist by R. Westbrook)
6:59.0,S. Dinwiddie misses 3-pt shot from 25 ft,,95-93,,
6:57.0,,,95-93,,Defensive rebound by J. Huestis
6:51.0,,,95-95,2,R. Westbrook makes 2-pt shot from 13 ft
6:50.0,Brooklyn full timeout,,95-95,,
6:50.0,,,95-95,,C. Anthony enters the game for P. Patterson
6:50.0,J. Allen enters the game for J. Okafor,,95-95,,
6:50.0,D. Carroll enters the game for J. Harris,,95-95,,
6:33.0,Shooting foul by S. Adams (drawn by D. Carroll),,95-95,,
6:33.0,D. Carroll misses free throw 1 of 2,,95-95,,
6:33.0,Offensive rebound by Team,,95-95,,
6:33.0,,,95-95,,P. George enters the game for J. Huestis
6:33.0,D. Carroll makes free throw 2 of 2,1,96-95,,
6:21.0,Personal foul by S. Dinwiddie (drawn by R. Westbrook),,96-95,,
6:14.0,,,96-97,2,R. Westbrook makes 2-pt shot from 14 ft
