time,Denver,pts.away,score,pts.home,Golden State
6:04.0,,,16-24,,J. Bell enters the game for Z. Pachulia
6:04.0,T. Lyles enters the game for M. Plumlee,,16-24,,
6:01.0,J. Murray misses 3-pt shot from 22 ft,,16-24,,
5:57.0,,,16-24,,Defensive rebound by J. Bell
5:43.0,,,16-24,,S. Curry misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by N. Jokic,,16-24,,
5:26.0,N. Jokic makes 2-pt shot from 12 ft,2,18-24,,
5:08.0,,,18-24,,S. Curry misses 2-pt shot from 2 ft
5:04.0,Defensive rebound by T. Lyles,,18-24,,
5:01.0,J. Murray misses 3-pt shot from 25 ft,,18-24,,
4:58.0,,,18-24,,Defensive rebound by K. Thompson
4:53.0,,,18-26,2,A. Iguodala makes 2-pt shot from 1 ft (assist by K. Thompson)
4:35.0,T. Lyles makes 2-pt shot from 16 ft (assist by J. Murray),2,20-26,,
4:28.0,,,20-26,,Turnover by S. Curry (bad pass)
4:28.0,W. Barton enters the game for W. Chandler,,20-26,,
4:15.0,T. Lyles misses 2-pt shot from 9 ft,,20-26,,
4:13.0,,,20-26,,Defensive rebound by J. Bell
4:11.0,,,20-26,,Shooting foul by T. Lyles (drawn by D. Green)
4:11.0,,,20-26,,D. Green misses free throw 1 of 2
4:11.0,,,20-26,,Offensive rebound by Team
4:11.0,,,20-26,,N. Young enters the game for A. Iguodala
4:11.0,,,20-26,,P. McCaw enters the game for K. Thompson
4:11.0,,,20-27,1,D. Green makes free throw 2 of 2
4:00.0,Turnover by J. Murray (bad pass; steal by P. McCaw),,20-27,,
3:57.0,,,20-27,,P. McCaw misses 2-pt shot from 1 ft (block by W. Barton)
3:57.0,,,20-27,,Offensive rebound by Team
3:57.0,,,20-27,,Golden State full timeout
3:53.0,,,20-27,,N. Young misses 2-pt shot from 20 ft
3:49.0,Defensive rebound by N. Jokic,,20-27,,
3:45.0,G. Harris misses 2-pt shot from 20 ft,,20-27,,
3:43.0,Offensive rebound by J. Murray,,20-27,,
3:43.0,Shooting foul by N. Young (drawn by J. Murray),,20-27,,
3:43.0,J. Murray makes free throw 1 of 2,1,21-27,,
3:43.0,J. Murray misses free throw 2 of 2,,21-27,,
3:39.0,,,21-27,,Defensive rebound by J. Bell
3:28.0,,,21-29,2,P. McCaw makes 2-pt shot from 2 ft
3:12.0,J. Murray misses 2-pt shot from 2 ft,,21-29,,
3:09.0,,,21-29,,Defensive rebound by D. Green
3:02.0,,,21-29,,O. Casspi enters the game for D. Green
3:02.0,W. Chandler enters the game for G. Harris,,21-29,,
3:02.0,M. Beasley enters the game for N. Jokic,,21-29,,
2:50.0,,,21-29,,O. Casspi misses 2-pt shot from 2 ft
2:50.0,,,21-29,,Offensive rebound by Team
2:50.0,Loose ball foul by W. Chandler (drawn by O. Casspi),,21-29,,
2:50.0,T. Craig enters the game for J. Murray,,21-29,,
2:41.0,,,21-29,,S. Curry misses 2-pt shot from 2 ft
2:37.0,,,21-29,,Offensive rebound by J. Bell
2:37.0,,,21-29,,J. Bell misses 2-pt shot at rim
2:36.0,Defensive rebound by W. Chandler,,21-29,,
2:33.0,T. Lyles makes 2-pt shot from 3 ft (assist by W. Barton),2,23-29,,
2:19.0,,,23-31,2,J. Bell makes 2-pt shot from 8 ft (assist by S. Curry)
2:09.0,Shooting foul by S. Curry (drawn by T. Lyles),,23-31,,
2:09.0,T. Lyles makes free throw 1 of 2,1,24-31,,
2:09.0,T. Lyles misses free throw 2 of 2,,24-31,,
2:06.0,,,24-31,,Defensive rebound by O. Casspi
2:02.0,Personal foul by T. Craig (drawn by J. Bell),,24-31,,
1:56.0,,,24-31,,N. Young misses 3-pt shot from 24 ft
1:50.0,Defensive rebound by T. Lyles,,24-31,,
1:36.0,T. Lyles makes 2-pt shot from 1 ft,2,26-31,,
1:22.0,,,26-33,2,S. Curry makes 2-pt shot from 1 ft
1:01.0,T. Craig makes 2-pt shot from 1 ft (assist by T. Lyles),2,28-33,,
0:46.0,,,28-33,,Turnover by O. Casspi (bad pass; steal by T. Lyles)
0:41.0,W. Barton misses 2-pt shot from 7 ft (block by J. Bell),,28-33,,
0:37.0,,,28-33,,Defensive rebound by P. McCaw
0:37.0,,,28-33,,Shooting foul by M. Beasley (drawn by S. Curry)
0:37.0,,,28-34,1,S. Curry makes free throw 1 of 2
0:37.0,,,28-35,1,S. Curry makes free throw 2 of 2
0:26.0,W. Barton misses 2-pt shot from 8 ft,,28-35,,
0:23.0,,,28-35,,Defensive rebound by O. Casspi
0:05.0,,,28-35,,N. Young misses 3-pt shot from 25 ft
0:01.0,,,28-35,,Offensive rebound by J. Bell
0:01.0,,,28-37,2,J. Bell makes 2-pt shot from 1 ft
0:01.0,,,28-37,,Shooting foul by T. Lyles (drawn by J. Bell)
0:01.0,,,28-37,,S. Livingston enters the game for S. Curry
0:01.0,,,28-37,,J. Bell misses free throw 1 of 1
0:00.0,Defensive rebound by T. Lyles,,28-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,T. Lyles misses 2-pt shot from 7 ft,,28-37,,
11:42.0,,,28-37,,Defensive rebound by D. Green
11:28.0,,,28-37,,D. Green misses 3-pt shot from 27 ft
11:24.0,,,28-37,,Offensive rebound by D. West
11:20.0,,,28-37,,K. Thompson misses 3-pt shot from 26 ft
11:17.0,Defensive rebound by M. Plumlee,,28-37,,
11:09.0,W. Barton misses 3-pt shot from 25 ft,,28-37,,
11:05.0,Offensive rebound by J. Murray,,28-37,,
11:04.0,J. Murray makes 2-pt shot from 20 ft,2,30-37,,
10:46.0,Personal foul by J. Murray (drawn by N. Young),,30-37,,
10:41.0,,,30-39,2,S. Livingston makes 2-pt shot from 6 ft (assist by D. West)
10:28.0,J. Murray misses 2-pt shot from 12 ft,,30-39,,
10:22.0,,,30-39,,Defensive rebound by D. West
10:14.0,,,30-39,,D. West misses 2-pt shot from 8 ft
10:12.0,,,30-39,,Offensive rebound by D. West
10:10.0,,,30-41,2,D. West makes 2-pt shot from 4 ft
9:47.0,J. Murray misses 2-pt shot from 3 ft (block by D. Green),,30-41,,
9:45.0,,,30-41,,Defensive rebound by K. Thompson
9:42.0,,,30-41,,Offensive charge foul by D. West (drawn by T. Craig)
9:42.0,,,30-41,,Turnover by D. West (offensive foul)
9:27.0,W. Barton misses 2-pt shot from 5 ft (block by K. Thompson),,30-41,,
9:21.0,,,30-41,,Defensive rebound by D. West
9:14.0,,,30-43,2,S. Livingston makes 2-pt shot from 12 ft
9:12.0,Denver full timeout,,30-43,,
9:12.0,N. Jokic enters the game for T. Lyles,,30-43,,
8:57.0,J. Murray makes 2-pt shot from 12 ft (assist by W. Barton),2,32-43,,
8:33.0,,,32-45,2,D. West makes 2-pt shot from 18 ft (assist by D. Green)
8:13.0,T. Craig makes 2-pt shot from 2 ft (assist by N. Jokic),2,34-45,,
8:03.0,,,34-45,,D. Green misses 3-pt shot from 24 ft
8:00.0,Defensive rebound by N. Jokic,,34-45,,
7:43.0,J. Murray makes 3-pt shot from 23 ft,3,37-45,,
7:34.0,,,37-45,,Golden State full timeout
7:34.0,,,37-45,,A. Iguodala enters the game for N. Young
7:34.0,,,37-45,,J. Bell enters the game for D. Green
7:26.0,,,37-45,,K. Thompson misses 2-pt shot from 20 ft
7:24.0,Defensive rebound by M. Plumlee,,37-45,,
7:12.0,T. Craig makes 2-pt shot from 1 ft (assist by N. Jokic),2,39-45,,
6:56.0,,,39-45,,D. West misses 2-pt shot from 18 ft
6:53.0,,,39-45,,Offensive rebound by Team
6:46.0,,,39-47,2,D. West makes 2-pt shot from 6 ft (assist by S. Livingston)
6:30.0,W. Barton misses 2-pt shot from 3 ft (block by A. Iguodala),,39-47,,
6:26.0,,,39-47,,Defensive rebound by K. Thompson
6:21.0,,,39-49,2,J. Bell makes 2-pt shot from 1 ft (assist by D. West)
6:03.0,Turnover by N. Jokic (bad pass; steal by D. West),,39-49,,
5:47.0,,,39-49,,D. West misses 2-pt shot from 5 ft (block by N. Jokic)
5:43.0,Defensive rebound by N. Jokic,,39-49,,
5:39.0,T. Craig misses 3-pt shot from 24 ft,,39-49,,
5:35.0,,,39-49,,Defensive rebound by J. Bell
5:15.0,,,39-52,3,K. Thompson makes 3-pt shot from 24 ft (assist by J. Bell)
4:55.0,M. Plumlee makes 2-pt shot from 1 ft,2,41-52,,
4:36.0,,,41-52,,Shooting foul by W. Barton (drawn by S. Livingston)
4:36.0,,,41-52,,S. Curry enters the game for D. West
4:36.0,,,41-52,,D. Green enters the game for K. Thompson
4:36.0,G. Harris enters the game for T. Craig,,41-52,,
4:36.0,,,41-53,1,S. Livingston makes free throw 1 of 2
4:36.0,,,41-53,,S. Livingston misses free throw 2 of 2
4:36.0,W. Chandler enters the game for W. Barton,,41-53,,
4:33.0,Offensive rebound by N. Jokic,,41-53,,
4:16.0,G. Harris makes 3-pt shot from 26 ft (assist by N. Jokic),3,44-53,,
4:00.0,,,44-53,,S. Livingston misses 2-pt shot from 12 ft (block by M. Plumlee)
3:56.0,Defensive rebound by M. Plumlee,,44-53,,
3:52.0,W. Chandler misses 3-pt shot from 24 ft,,44-53,,
3:48.0,Offensive rebound by Team,,44-53,,
3:48.0,,,44-53,,O. Casspi enters the game for S. Livingston
3:42.0,Shooting foul by J. Bell (drawn by M. Plumlee),,44-53,,
3:42.0,M. Plumlee makes free throw 1 of 2,1,45-53,,
3:42.0,M. Plumlee makes free throw 2 of 2,1,46-53,,
3:31.0,,,46-56,3,S. Curry makes 3-pt shot from 24 ft (assist by A. Iguodala)
3:02.0,M. Plumlee makes 2-pt shot from 1 ft,2,48-56,,
2:50.0,,,48-58,2,D. Green makes 2-pt shot from 21 ft (assist by J. Bell)
2:26.0,J. Murray misses 2-pt shot from 1 ft (block by O. Casspi),,48-58,,
2:24.0,Offensive rebound by Team,,48-58,,
2:24.0,,,48-58,,K. Thompson enters the game for J. Bell
2:23.0,Shooting foul by D. Green (drawn by N. Jokic),,48-58,,
2:23.0,N. Jokic makes free throw 1 of 3,1,49-58,,
2:23.0,N. Jokic makes free throw 2 of 3,1,50-58,,
2:23.0,N. Jokic makes free throw 3 of 3,1,51-58,,
2:08.0,,,51-58,,Turnover by S. Curry (bad pass; steal by N. Jokic)
2:02.0,J. Murray makes 2-pt shot from 1 ft (assist by N. Jokic),2,53-58,,
1:48.0,,,53-61,3,D. Green makes 3-pt shot from 27 ft (assist by S. Curry)
1:33.0,W. Chandler misses 2-pt shot from 7 ft,,53-61,,
1:29.0,,,53-61,,Defensive rebound by O. Casspi
1:23.0,,,53-63,2,S. Curry makes 2-pt shot from 1 ft
1:23.0,,,53-63,,Shooting foul by M. Plumlee (drawn by S. Curry)
1:23.0,T. Lyles enters the game for M. Plumlee,,53-63,,
1:23.0,,,53-64,1,S. Curry makes free throw 1 of 1
1:02.0,J. Murray makes 2-pt shot from 17 ft,2,55-64,,
0:51.0,,,55-64,,Offensive charge foul by O. Casspi (drawn by J. Murray)
0:51.0,,,55-64,,Turnover by O. Casspi (offensive foul)
0:36.0,J. Murray misses 3-pt shot from 25 ft,,55-64,,
0:34.0,Offensive rebound by W. Chandler,,55-64,,
0:34.0,W. Chandler misses 2-pt shot at rim,,55-64,,
0:32.0,Offensive rebound by Team,,55-64,,
0:19.0,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic),2,57-64,,
0:02.0,,,57-64,,S. Curry misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by W. Chandler,,57-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,N. Jokic makes 2-pt shot from 21 ft (assist by G. Harris),2,59-64,,
11:27.0,,,59-64,,A. Iguodala misses 3-pt shot from 25 ft
11:23.0,Defensive rebound by M. Plumlee,,59-64,,
11:19.0,J. Murray misses 2-pt shot from 1 ft,,59-64,,
11:17.0,Offensive rebound by N. Jokic,,59-64,,
11:17.0,Turnover by N. Jokic (bad pass),,59-64,,
11:07.0,,,59-64,,Turnover by D. Green (out of bounds lost ball)
10:43.0,N. Jokic makes 2-pt shot from 3 ft,2,61-64,,
10:29.0,,,61-64,,D. Green misses 3-pt shot from 24 ft
10:27.0,Defensive rebound by G. Harris,,61-64,,
10:22.0,,,61-64,,Personal foul by Z. Pachulia (drawn by N. Jokic)
10:09.0,Turnover by N. Jokic (out of bounds lost ball),,61-64,,
9:54.0,,,61-67,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
9:40.0,N. Jokic makes 2-pt shot from 11 ft (assist by G. Harris),2,63-67,,
9:27.0,,,63-67,,Turnover by Z. Pachulia (bad pass)
9:12.0,G. Harris misses 3-pt shot from 27 ft,,63-67,,
9:07.0,Offensive rebound by W. Chandler,,63-67,,
9:07.0,W. Chandler misses 2-pt shot from 6 ft,,63-67,,
9:05.0,,,63-67,,Defensive rebound by Z. Pachulia
8:57.0,,,63-67,,K. Thompson misses 2-pt shot from 18 ft
8:54.0,,,63-67,,Offensive rebound by Z. Pachulia
8:48.0,,,63-67,,Turnover by S. Curry (bad pass)
8:29.0,N. Jokic misses 2-pt shot from 8 ft,,63-67,,
8:26.0,Offensive rebound by N. Jokic,,63-67,,
8:26.0,N. Jokic makes 2-pt shot from 5 ft,2,65-67,,
8:26.0,,,65-67,,Golden State full timeout
8:02.0,,,65-67,,Z. Pachulia misses 2-pt shot from 11 ft
7:56.0,,,65-67,,Offensive rebound by K. Thompson
7:56.0,,,65-67,,K. Thompson misses 2-pt shot at rim
7:55.0,Defensive rebound by N. Jokic,,65-67,,
7:52.0,J. Murray makes 2-pt shot from 11 ft,2,67-67,,
7:41.0,,,67-69,2,D. Green makes 2-pt shot from 11 ft (assist by S. Curry)
7:14.0,N. Jokic misses 2-pt shot from 15 ft,,67-69,,
7:11.0,Offensive rebound by W. Chandler,,67-69,,
6:57.0,M. Plumlee makes 2-pt shot at rim (assist by N. Jokic),2,69-69,,
6:44.0,,,69-71,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Green)
6:34.0,,,69-71,,Personal foul by S. Curry (drawn by J. Murray)
6:20.0,J. Murray misses 3-pt shot from 27 ft,,69-71,,
6:17.0,,,69-71,,Defensive rebound by Z. Pachulia
6:06.0,,,69-73,2,K. Thompson makes 2-pt shot from 15 ft
5:39.0,N. Jokic misses 2-pt shot from 13 ft,,69-73,,
5:37.0,,,69-73,,Defensive rebound by Z. Pachulia
5:34.0,,,69-73,,Turnover by Z. Pachulia (bad pass; steal by N. Jokic)
5:30.0,M. Plumlee makes 2-pt shot at rim (assist by N. Jokic),2,71-73,,
5:20.0,,,71-73,,S. Curry misses 2-pt shot from 14 ft
5:18.0,Defensive rebound by M. Plumlee,,71-73,,
5:09.0,Turnover by M. Plumlee (lost ball; steal by S. Curry),,71-73,,
5:05.0,,,71-73,,Turnover by A. Iguodala (bad pass; steal by J. Murray)
4:59.0,G. Harris misses 2-pt shot from 19 ft,,71-73,,
4:59.0,Offensive rebound by M. Plumlee,,71-73,,
4:59.0,Turnover by M. Plumlee (bad pass),,71-73,,
4:59.0,,,71-73,,J. Bell enters the game for Z. Pachulia
4:47.0,,,71-75,2,S. Curry makes 2-pt shot from 18 ft (assist by D. Green)
4:30.0,G. Harris misses 2-pt shot from 2 ft (block by D. Green),,71-75,,
4:28.0,,,71-75,,Defensive rebound by K. Thompson
4:10.0,,,71-78,3,K. Thompson makes 3-pt shot from 26 ft
4:09.0,Denver full timeout,,71-78,,
4:09.0,,,71-78,,O. Casspi enters the game for A. Iguodala
4:09.0,,,71-78,,P. McCaw enters the game for D. Green
4:09.0,T. Lyles enters the game for W. Chandler,,71-78,,
4:09.0,W. Barton enters the game for M. Plumlee,,71-78,,
3:57.0,J. Murray misses 2-pt shot from 16 ft,,71-78,,
3:54.0,,,71-78,,Defensive rebound by O. Casspi
3:32.0,,,71-78,,P. McCaw misses 3-pt shot from 25 ft
3:28.0,Defensive rebound by G. Harris,,71-78,,
3:20.0,Turnover by N. Jokic (bad pass; steal by S. Curry),,71-78,,
3:15.0,,,71-78,,Shooting foul by N. Jokic (drawn by S. Curry)
3:15.0,,,71-79,1,S. Curry makes free throw 1 of 2
3:15.0,,,71-79,,N. Young enters the game for K. Thompson
3:15.0,T. Craig enters the game for J. Murray,,71-79,,
3:15.0,W. Chandler enters the game for N. Jokic,,71-79,,
3:15.0,,,71-80,1,S. Curry makes free throw 2 of 2
2:57.0,T. Lyles makes 2-pt shot from 15 ft,2,73-80,,
2:46.0,,,73-80,,Turnover by S. Curry (lost ball; steal by T. Lyles)
2:39.0,T. Lyles makes 2-pt shot from 2 ft,2,75-80,,
2:32.0,,,75-83,3,S. Curry makes 3-pt shot from 27 ft
2:17.0,T. Lyles misses 3-pt shot from 27 ft,,75-83,,
2:14.0,,,75-83,,Defensive rebound by J. Bell
1:57.0,,,75-85,2,N. Young makes 2-pt shot from 11 ft
1:42.0,G. Harris makes 2-pt shot from 1 ft (assist by T. Lyles),2,77-85,,
1:24.0,,,77-88,3,N. Young makes 3-pt shot from 26 ft (assist by S. Curry)
1:00.0,T. Lyles misses 2-pt shot from 4 ft,,77-88,,
0:57.0,,,77-88,,Defensive rebound by J. Bell
0:56.0,,,77-91,3,S. Curry makes 3-pt shot from 26 ft
0:44.0,,,77-91,,Personal foul by S. Curry (drawn by T. Craig)
0:44.0,,,77-91,,D. Green enters the game for J. Bell
0:36.0,W. Barton makes 2-pt shot from 10 ft,2,79-91,,
0:30.0,,,79-93,2,O. Casspi makes 2-pt shot from 1 ft (assist by S. Curry)
0:07.0,T. Lyles makes 2-pt shot from 1 ft (assist by W. Barton),2,81-93,,
0:07.0,Shooting foul by O. Casspi (drawn by T. Lyles),,81-93,,
0:07.0,T. Lyles misses free throw 1 of 1,,81-93,,
0:07.0,,,81-93,,Defensive rebound by D. Green
0:07.0,,,81-93,,K. Thompson enters the game for P. McCaw
0:03.0,,,81-93,,Turnover by D. Green (bad pass; steal by T. Craig)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,81-96,3,N. Young makes 3-pt shot from 25 ft (assist by D. West)
11:20.0,T. Lyles makes 2-pt shot from 1 ft (assist by W. Barton),2,83-96,,
11:04.0,,,83-98,2,S. Livingston makes 2-pt shot from 17 ft (assist by D. West)
10:52.0,T. Lyles makes 3-pt shot from 26 ft (assist by J. Murray),3,86-98,,
10:32.0,,,86-98,,S. Livingston misses 2-pt shot from 2 ft
10:32.0,,,86-98,,Offensive rebound by Team
10:32.0,,,86-98,,Shooting foul by T. Lyles (drawn by D. Green)
10:32.0,,,86-99,1,D. Green makes free throw 1 of 2
10:32.0,,,86-100,1,D. Green makes free throw 2 of 2
10:16.0,W. Chandler misses 2-pt shot from 9 ft,,86-100,,
10:12.0,Offensive rebound by M. Plumlee,,86-100,,
10:00.0,J. Murray makes 2-pt shot from 1 ft (assist by W. Chandler),2,88-100,,
9:46.0,,,88-102,2,D. West makes 2-pt shot from 16 ft (assist by S. Livingston)
9:28.0,Shooting foul by S. Livingston (drawn by J. Murray),,88-102,,
9:28.0,J. Murray makes free throw 1 of 2,1,89-102,,
9:28.0,J. Murray makes free throw 2 of 2,1,90-102,,
9:18.0,,,90-104,2,K. Thompson makes 2-pt shot from 20 ft
9:15.0,Denver full timeout,,90-104,,
9:15.0,N. Jokic enters the game for W. Barton,,90-104,,
9:15.0,G. Harris enters the game for M. Plumlee,,90-104,,
9:04.0,T. Lyles misses 2-pt shot from 1 ft,,90-104,,
9:00.0,,,90-104,,Defensive rebound by D. Green
8:56.0,,,90-106,2,S. Livingston makes 2-pt shot from 15 ft (assist by D. Green)
8:39.0,Shooting foul by D. West (drawn by W. Chandler),,90-106,,
8:39.0,W. Chandler makes free throw 1 of 2,1,91-106,,
8:39.0,,,91-106,,O. Casspi enters the game for D. Green
8:39.0,W. Chandler makes free throw 2 of 2,1,92-106,,
8:26.0,,,92-106,,Turnover by O. Casspi (out of bounds lost ball)
8:26.0,,,92-106,,P. McCaw enters the game for N. Young
8:14.0,Turnover by N. Jokic (bad pass; steal by O. Casspi),,92-106,,
8:10.0,,,92-108,2,O. Casspi makes 2-pt shot at rim
7:57.0,T. Lyles misses 2-pt shot from 3 ft (block by S. Livingston),,92-108,,
7:55.0,,,92-108,,Defensive rebound by S. Livingston
7:48.0,,,92-110,2,S. Livingston makes 2-pt shot from 2 ft (assist by O. Casspi)
7:48.0,Denver full timeout,,92-110,,
7:38.0,G. Harris misses 3-pt shot from 22 ft,,92-110,,
7:35.0,Offensive rebound by N. Jokic,,92-110,,
7:34.0,N. Jokic makes 2-pt shot from 7 ft,2,94-110,,
7:17.0,,,94-112,2,D. West makes 2-pt shot from 15 ft (assist by S. Livingston)
6:59.0,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic),2,96-112,,
6:37.0,,,96-112,,K. Thompson misses 2-pt shot from 12 ft
6:32.0,,,96-112,,Offensive rebound by D. West
6:24.0,,,96-112,,K. Thompson misses 2-pt shot from 10 ft
6:20.0,Defensive rebound by W. Chandler,,96-112,,
6:16.0,,,96-112,,Personal foul by D. West (drawn by N. Jokic)
6:16.0,,,96-112,,S. Curry enters the game for K. Thompson
6:16.0,,,96-112,,A. Iguodala enters the game for S. Livingston
6:09.0,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic),2,98-112,,
5:52.0,,,98-112,,Turnover by D. West (bad pass; steal by T. Lyles)
5:37.0,W. Chandler makes 2-pt shot from 2 ft (assist by T. Lyles),2,100-112,,
5:28.0,,,100-112,,Golden State full timeout
5:28.0,,,100-112,,D. Green enters the game for O. Casspi
5:25.0,,,100-112,,Turnover by S. Curry (turnover)
5:14.0,J. Murray misses 2-pt shot from 2 ft (block by D. Green),,100-112,,
5:14.0,Offensive rebound by Team,,100-112,,
5:03.0,N. Jokic misses 2-pt shot from 2 ft (block by A. Iguodala),,100-112,,
5:00.0,Offensive rebound by W. Chandler,,100-112,,
4:55.0,W. Chandler makes 2-pt shot from 17 ft,2,102-112,,
4:39.0,,,102-114,2,D. Green makes 2-pt shot from 17 ft (assist by S. Curry)
4:26.0,Turnover by T. Lyles (lost ball; steal by D. Green),,102-114,,
4:21.0,,,102-114,,S. Curry misses 3-pt shot from 26 ft
4:17.0,Defensive rebound by T. Lyles,,102-114,,
4:09.0,G. Harris makes 3-pt shot from 26 ft (assist by W. Chandler),3,105-114,,
3:50.0,,,105-116,2,S. Curry makes 2-pt shot from 18 ft
3:28.0,G. Harris misses 3-pt shot from 26 ft,,105-116,,
3:24.0,Offensive rebound by W. Chandler,,105-116,,
3:20.0,G. Harris misses 2-pt shot from 9 ft,,105-116,,
3:18.0,,,105-116,,Defensive rebound by D. West
3:12.0,,,105-116,,Shooting foul by J. Murray (drawn by S. Curry)
3:12.0,,,105-116,,S. Curry misses free throw 1 of 3
3:12.0,,,105-116,,Offensive rebound by Team
3:12.0,,,105-117,1,S. Curry makes free throw 2 of 3
3:12.0,,,105-117,,J. Bell enters the game for P. McCaw
3:12.0,,,105-117,,K. Thompson enters the game for D. West
3:12.0,,,105-118,1,S. Curry makes free throw 3 of 3
3:03.0,G. Harris misses 2-pt shot from 6 ft,,105-118,,
3:00.0,,,105-118,,Defensive rebound by S. Curry
2:47.0,,,105-118,,D. Green misses 3-pt shot from 26 ft
2:43.0,,,105-118,,Offensive rebound by A. Iguodala
2:22.0,,,105-118,,K. Thompson misses 3-pt shot from 27 ft
2:16.0,Defensive rebound by W. Chandler,,105-118,,
2:12.0,J. Murray makes 3-pt shot from 25 ft,3,108-118,,
1:55.0,,,108-118,,Turnover by S. Curry (bad pass; steal by N. Jokic)
1:51.0,G. Harris makes 3-pt shot from 26 ft (assist by J. Murray),3,111-118,,
1:35.0,,,111-118,,K. Thompson misses 3-pt shot from 26 ft
1:30.0,Defensive rebound by W. Chandler,,111-118,,
1:26.0,Shooting foul by A. Iguodala (drawn by T. Lyles),,111-118,,
1:26.0,T. Lyles misses free throw 1 of 2,,111-118,,
1:26.0,Offensive rebound by Team,,111-118,,
1:26.0,T. Lyles makes free throw 2 of 2,1,112-118,,
1:09.0,,,112-120,2,D. Green makes 2-pt shot from 1 ft
1:00.0,J. Murray misses 2-pt shot from 8 ft,,112-120,,
0:57.0,,,112-120,,Defensive rebound by A. Iguodala
