time,Brooklyn,pts.away,score,pts.home,LA Clippers
1:50.0,J. Harris makes free throw 1 of 2,1,22-28,,
1:50.0,,,22-28,,S. Kilpatrick enters the game for A. Rivers
1:50.0,J. Harris makes free throw 2 of 2,1,23-28,,
1:39.0,,,23-28,,L. Williams misses 3-pt shot from 25 ft
1:36.0,Defensive rebound by D. Russell,,23-28,,
1:30.0,D. Russell misses 3-pt shot from 26 ft,,23-28,,
1:28.0,,,23-28,,Defensive rebound by D. Jordan
1:17.0,,,23-28,,T. Harris misses 2-pt shot from 2 ft
1:17.0,,,23-28,,Offensive rebound by D. Jordan
1:17.0,,,23-28,,Shooting foul by J. Harris (drawn by D. Jordan)
1:17.0,,,23-29,1,D. Jordan makes free throw 1 of 2
1:17.0,S. Dinwiddie enters the game for D. Russell,,23-29,,
1:17.0,,,23-29,,D. Jordan misses free throw 2 of 2
1:14.0,Defensive rebound by R. Hollis-Jefferson,,23-29,,
1:03.0,Turnover by C. LeVert (bad pass; steal by L. Williams),,23-29,,
1:00.0,,,23-31,2,D. Jordan makes 2-pt shot from 1 ft (assist by T. Harris)
0:46.0,R. Hollis-Jefferson makes 2-pt shot from 13 ft (assist by S. Dinwiddie),2,25-31,,
0:41.0,Personal foul by C. LeVert (drawn by L. Williams),,25-31,,
0:41.0,,,25-31,,L. Williams misses free throw 1 of 2
0:41.0,,,25-31,,Offensive rebound by Team
0:41.0,,,25-31,,M. Harrell enters the game for D. Jordan
0:41.0,,,25-31,,S. Dekker enters the game for T. Harris
0:41.0,,,25-32,1,L. Williams makes free throw 2 of 2
0:34.0,Shooting foul by S. Thornwell (drawn by S. Dinwiddie),,25-32,,
0:34.0,S. Dinwiddie makes free throw 1 of 2,1,26-32,,
0:34.0,S. Dinwiddie makes free throw 2 of 2,1,27-32,,
0:27.0,,,27-32,,S. Dekker misses 2-pt shot at rim
0:24.0,Defensive rebound by D. Cunningham,,27-32,,
0:03.0,S. Dinwiddie misses 2-pt shot from 16 ft,,27-32,,
0:01.0,,,27-32,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,D. Cunningham misses 2-pt shot from 10 ft,,27-32,,
11:33.0,,,27-32,,Defensive rebound by S. Dekker
11:27.0,,,27-32,,Turnover by L. Williams (bad pass; steal by D. Cunningham)
11:23.0,D. Russell misses 2-pt shot from 1 ft,,27-32,,
11:18.0,Offensive rebound by J. Harris,,27-32,,
11:18.0,J. Harris makes 2-pt shot at rim,2,29-32,,
11:05.0,,,29-32,,L. Williams misses 3-pt shot from 26 ft
11:02.0,Defensive rebound by J. Harris,,29-32,,
10:55.0,J. Harris makes 2-pt shot from 2 ft (assist by D. Russell),2,31-32,,
10:45.0,,,31-35,3,S. Thornwell makes 3-pt shot from 22 ft (assist by S. Kilpatrick)
10:35.0,Shooting foul by S. Dekker (drawn by D. Russell),,31-35,,
10:35.0,D. Russell makes free throw 1 of 2,1,32-35,,
10:35.0,,,32-35,,M. Teodosic enters the game for S. Thornwell
10:35.0,D. Russell makes free throw 2 of 2,1,33-35,,
10:25.0,,,33-37,2,M. Teodosic makes 2-pt shot from 10 ft
10:07.0,D. Cunningham makes 2-pt shot from 2 ft (assist by C. LeVert),2,35-37,,
9:57.0,,,35-39,2,L. Williams makes 2-pt shot from 1 ft
9:46.0,R. Hollis-Jefferson misses 2-pt shot from 8 ft,,35-39,,
9:42.0,,,35-39,,Defensive rebound by M. Harrell
9:39.0,,,35-42,3,L. Williams makes 3-pt shot from 26 ft (assist by M. Teodosic)
9:23.0,Shooting foul by S. Kilpatrick (drawn by R. Hollis-Jefferson),,35-42,,
9:23.0,R. Hollis-Jefferson makes free throw 1 of 2,1,36-42,,
9:23.0,R. Hollis-Jefferson misses free throw 2 of 2,,36-42,,
9:21.0,,,36-42,,Defensive rebound by M. Harrell
9:13.0,,,36-44,2,L. Williams makes 2-pt shot from 15 ft
8:53.0,J. Harris makes 2-pt shot from 1 ft,2,38-44,,
8:34.0,,,38-46,2,M. Harrell makes 2-pt shot from 1 ft
8:18.0,C. LeVert makes 2-pt shot from 3 ft,2,40-46,,
8:02.0,,,40-46,,L. Williams misses 2-pt shot from 20 ft
7:58.0,,,40-46,,Offensive rebound by S. Dekker
7:54.0,,,40-46,,L. Williams misses 3-pt shot from 23 ft
7:50.0,Defensive rebound by D. Russell,,40-46,,
7:46.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by D. Russell),2,42-46,,
7:39.0,Personal foul by D. Russell (drawn by S. Kilpatrick),,42-46,,
7:39.0,,,42-46,,A. Rivers enters the game for S. Kilpatrick
7:31.0,,,42-48,2,M. Harrell makes 2-pt shot at rim (assist by M. Teodosic)
7:30.0,Brooklyn full timeout,,42-48,,
7:30.0,,,42-48,,D. Jordan enters the game for S. Dekker
7:30.0,A. Crabbe enters the game for D. Russell,,42-48,,
7:13.0,C. LeVert makes 2-pt shot from 1 ft,2,44-48,,
6:57.0,,,44-48,,L. Williams misses 2-pt shot from 9 ft
6:57.0,Defensive rebound by Team,,44-48,,
6:57.0,,,44-48,,Loose ball foul by D. Jordan (drawn by D. Cunningham)
6:43.0,D. Cunningham makes 2-pt shot from 1 ft (assist by C. LeVert),2,46-48,,
6:30.0,,,46-48,,M. Teodosic misses 3-pt shot from 26 ft
6:28.0,Defensive rebound by A. Crabbe,,46-48,,
6:14.0,Turnover by J. Harris (bad pass; steal by M. Harrell),,46-48,,
6:11.0,Shooting block foul by J. Harris (drawn by M. Harrell),,46-48,,
6:11.0,,,46-49,1,M. Harrell makes free throw 1 of 2
6:11.0,,,46-50,1,M. Harrell makes free throw 2 of 2
5:56.0,R. Hollis-Jefferson misses 3-pt shot from 24 ft,,46-50,,
5:53.0,,,46-50,,Defensive rebound by A. Rivers
5:37.0,,,46-50,,Shooting foul by R. Hollis-Jefferson (drawn by M. Teodosic)
5:37.0,,,46-51,1,M. Teodosic makes free throw 1 of 3
5:37.0,,,46-51,,M. Teodosic misses free throw 2 of 3
5:37.0,,,46-51,,Offensive rebound by Team
5:37.0,,,46-51,,T. Harris enters the game for M. Harrell
5:37.0,J. Allen enters the game for R. Hollis-Jefferson,,46-51,,
5:37.0,D. Carroll enters the game for D. Cunningham,,46-51,,
5:37.0,,,46-52,1,M. Teodosic makes free throw 3 of 3
5:26.0,J. Harris misses 3-pt shot from 25 ft,,46-52,,
5:23.0,,,46-52,,Defensive rebound by D. Jordan
5:13.0,,,46-52,,T. Harris misses 2-pt shot from 1 ft (block by J. Allen)
5:09.0,Defensive rebound by D. Carroll,,46-52,,
5:04.0,C. LeVert makes 2-pt shot from 4 ft,2,48-52,,
4:56.0,Personal foul by J. Harris (drawn by M. Teodosic),,48-52,,
4:56.0,,,48-52,,S. Thornwell enters the game for L. Williams
4:56.0,S. Dinwiddie enters the game for J. Harris,,48-52,,
4:44.0,,,48-54,2,T. Harris makes 2-pt shot from 16 ft
4:25.0,D. Carroll makes 3-pt shot from 23 ft (assist by J. Allen),3,51-54,,
4:06.0,,,51-54,,Shooting foul by J. Allen (drawn by T. Harris)
4:06.0,,,51-55,1,T. Harris makes free throw 1 of 2
4:06.0,,,51-56,1,T. Harris makes free throw 2 of 2
3:42.0,S. Dinwiddie misses 3-pt shot from 27 ft,,51-56,,
3:40.0,,,51-56,,Defensive rebound by A. Rivers
3:35.0,,,51-56,,Shooting foul by J. Allen (drawn by A. Rivers)
3:35.0,,,51-56,,A. Rivers misses free throw 1 of 2
3:35.0,,,51-56,,Offensive rebound by Team
3:35.0,R. Hollis-Jefferson enters the game for C. LeVert,,51-56,,
3:35.0,,,51-57,1,A. Rivers makes free throw 2 of 2
3:13.0,R. Hollis-Jefferson misses 2-pt shot from 14 ft,,51-57,,
3:10.0,,,51-57,,Defensive rebound by M. Teodosic
2:58.0,,,51-57,,T. Harris misses 3-pt shot from 23 ft
2:56.0,Defensive rebound by D. Carroll,,51-57,,
2:46.0,A. Crabbe misses 2-pt shot from 13 ft,,51-57,,
2:43.0,,,51-57,,Defensive rebound by A. Rivers
2:35.0,,,51-59,2,T. Harris makes 2-pt shot from 1 ft (assist by D. Jordan)
2:21.0,J. Allen misses 2-pt shot from 2 ft,,51-59,,
2:17.0,,,51-59,,Defensive rebound by D. Jordan
2:10.0,,,51-59,,A. Rivers misses 2-pt shot from 3 ft
2:09.0,Defensive rebound by J. Allen,,51-59,,
2:09.0,,,51-59,,Personal take foul by M. Teodosic (drawn by S. Dinwiddie)
2:09.0,,,51-59,,LA Clippers full timeout
2:09.0,,,51-59,,L. Williams enters the game for M. Teodosic
1:52.0,Turnover by D. Carroll (lost ball; steal by L. Williams),,51-59,,
1:49.0,,,51-61,2,T. Harris makes 2-pt shot from 1 ft (assist by S. Thornwell)
1:42.0,J. Allen makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,53-61,,
1:24.0,,,53-63,2,T. Harris makes 2-pt shot from 14 ft (assist by A. Rivers)
1:04.0,A. Crabbe misses 3-pt shot from 26 ft,,53-63,,
1:02.0,,,53-63,,Defensive rebound by D. Jordan
0:53.0,,,53-65,2,L. Williams makes 2-pt shot from 15 ft
0:29.0,J. Allen misses 3-pt shot from 24 ft,,53-65,,
0:27.0,,,53-65,,Defensive rebound by D. Jordan
0:09.0,,,53-65,,L. Williams misses 2-pt shot from 14 ft
0:06.0,Defensive rebound by D. Carroll,,53-65,,
0:01.0,Turnover by D. Carroll (bad pass; steal by S. Thornwell),,53-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by J. Allen (lost ball; steal by T. Harris),,53-65,,
11:41.0,,,53-67,2,A. Rivers makes 2-pt shot from 1 ft (assist by T. Harris)
11:32.0,,,53-67,,Personal foul by M. Teodosic (drawn by A. Crabbe)
11:18.0,J. Allen makes 2-pt shot from 2 ft (assist by D. Carroll),2,55-67,,
11:07.0,Personal foul by A. Crabbe (drawn by M. Teodosic),,55-67,,
10:54.0,,,55-67,,Turnover by T. Harris (bad pass; steal by S. Dinwiddie)
10:49.0,A. Crabbe misses 3-pt shot from 23 ft,,55-67,,
10:45.0,,,55-67,,Defensive rebound by D. Jordan
10:34.0,,,55-70,3,T. Harris makes 3-pt shot from 25 ft
10:20.0,D. Carroll misses 3-pt shot from 25 ft,,55-70,,
10:20.0,Offensive rebound by J. Allen,,55-70,,
10:16.0,A. Crabbe makes 3-pt shot from 26 ft (assist by J. Allen),3,58-70,,
9:50.0,,,58-70,,T. Harris misses 2-pt shot from 6 ft
9:46.0,,,58-70,,Offensive rebound by D. Jordan
9:46.0,,,58-72,2,D. Jordan makes 2-pt shot at rim
9:37.0,D. Carroll makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,61-72,,
9:19.0,,,61-72,,D. Jordan misses 2-pt shot from 2 ft
9:16.0,Defensive rebound by S. Dinwiddie,,61-72,,
9:12.0,D. Carroll makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,64-72,,
8:47.0,,,64-72,,D. Jordan misses 2-pt shot from 6 ft
8:45.0,Defensive rebound by D. Russell,,64-72,,
8:42.0,D. Carroll misses 3-pt shot from 26 ft,,64-72,,
8:42.0,,,64-72,,Defensive rebound by T. Harris
8:32.0,,,64-72,,M. Teodosic misses 3-pt shot from 27 ft
8:32.0,Defensive rebound by D. Carroll,,64-72,,
8:11.0,D. Carroll misses 3-pt shot from 25 ft,,64-72,,
8:11.0,,,64-72,,Defensive rebound by W. Johnson
7:56.0,,,64-72,,T. Harris misses 3-pt shot from 26 ft
7:56.0,Defensive rebound by A. Crabbe,,64-72,,
7:40.0,Shooting foul by M. Teodosic (drawn by D. Russell),,64-72,,
7:40.0,D. Russell makes free throw 1 of 2,1,65-72,,
7:40.0,R. Hollis-Jefferson enters the game for D. Carroll,,65-72,,
7:40.0,D. Russell misses free throw 2 of 2,,65-72,,
7:38.0,,,65-72,,Defensive rebound by T. Harris
7:22.0,,,65-72,,Turnover by T. Harris (bad pass; steal by R. Hollis-Jefferson)
7:16.0,A. Crabbe misses 3-pt shot from 24 ft,,65-72,,
7:14.0,,,65-72,,Defensive rebound by D. Jordan
7:04.0,,,65-75,3,A. Rivers makes 3-pt shot from 24 ft (assist by D. Jordan)
6:47.0,Turnover by J. Allen (bad pass),,65-75,,
6:47.0,,,65-75,,LA Clippers full timeout
6:47.0,D. Carroll enters the game for S. Dinwiddie,,65-75,,
6:47.0,C. LeVert enters the game for J. Allen,,65-75,,
6:32.0,,,65-75,,A. Rivers misses 3-pt shot from 27 ft
6:32.0,,,65-75,,Offensive rebound by Team
6:30.0,,,65-75,,L. Williams enters the game for M. Teodosic
6:30.0,,,65-75,,S. Thornwell enters the game for W. Johnson
6:20.0,,,65-75,,Shooting foul by A. Crabbe (drawn by L. Williams)
6:20.0,,,65-76,1,L. Williams makes free throw 1 of 2
6:20.0,,,65-77,1,L. Williams makes free throw 2 of 2
6:11.0,Turnover by D. Russell (bad pass; steal by L. Williams),,65-77,,
6:07.0,,,65-77,,Turnover by S. Thornwell (bad pass; steal by D. Carroll)
5:58.0,R. Hollis-Jefferson makes 2-pt shot from 8 ft,2,67-77,,
5:44.0,,,67-79,2,T. Harris makes 2-pt shot from 1 ft (assist by L. Williams)
5:20.0,Turnover by D. Russell (lost ball; steal by T. Harris),,67-79,,
5:16.0,,,67-79,,S. Thornwell misses 2-pt shot from 2 ft (block by C. LeVert)
5:13.0,Defensive rebound by R. Hollis-Jefferson,,67-79,,
5:08.0,D. Russell misses 2-pt shot from 12 ft,,67-79,,
5:08.0,Offensive rebound by R. Hollis-Jefferson,,67-79,,
5:02.0,D. Carroll makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,70-79,,
4:47.0,,,70-82,3,A. Rivers makes 3-pt shot from 26 ft
4:23.0,C. LeVert makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,73-82,,
4:12.0,,,73-82,,L. Williams misses 2-pt shot from 5 ft
4:12.0,,,73-82,,Offensive rebound by D. Jordan
4:11.0,,,73-82,,Shooting foul by D. Carroll (drawn by D. Jordan)
4:11.0,,,73-83,1,D. Jordan makes free throw 1 of 2
4:11.0,J. Harris enters the game for D. Carroll,,73-83,,
4:11.0,D. Cunningham enters the game for A. Crabbe,,73-83,,
4:11.0,,,73-84,1,D. Jordan makes free throw 2 of 2
3:58.0,C. LeVert misses 2-pt shot from 5 ft (block by D. Jordan),,73-84,,
3:58.0,Offensive rebound by Team,,73-84,,
3:58.0,S. Dinwiddie enters the game for D. Russell,,73-84,,
3:53.0,C. LeVert misses 3-pt shot from 25 ft,,73-84,,
3:48.0,,,73-84,,Defensive rebound by T. Harris
3:43.0,,,73-84,,Turnover by L. Williams (bad pass)
3:24.0,Turnover by S. Dinwiddie (bad pass; steal by D. Jordan),,73-84,,
3:17.0,,,73-84,,D. Jordan misses 2-pt shot from 1 ft
3:14.0,Defensive rebound by C. LeVert,,73-84,,
3:09.0,Shooting foul by T. Harris (drawn by R. Hollis-Jefferson),,73-84,,
3:09.0,R. Hollis-Jefferson makes free throw 1 of 2,1,74-84,,
3:09.0,R. Hollis-Jefferson makes free throw 2 of 2,1,75-84,,
2:48.0,,,75-84,,A. Rivers misses 3-pt shot from 25 ft
2:44.0,Defensive rebound by J. Harris,,75-84,,
2:35.0,,,75-84,,Personal foul by D. Jordan (drawn by S. Dinwiddie)
2:35.0,Brooklyn full timeout,,75-84,,
2:35.0,,,75-84,,M. Harrell enters the game for D. Jordan
2:27.0,C. LeVert misses 2-pt shot from 4 ft,,75-84,,
2:19.0,Offensive rebound by R. Hollis-Jefferson,,75-84,,
2:19.0,R. Hollis-Jefferson makes 2-pt shot at rim,2,77-84,,
2:03.0,,,77-84,,Turnover by L. Williams (bad pass; steal by C. LeVert)
1:44.0,Shooting foul by A. Rivers (drawn by S. Dinwiddie),,77-84,,
1:44.0,S. Dinwiddie makes free throw 1 of 2,1,78-84,,
1:44.0,,,78-84,,S. Kilpatrick enters the game for A. Rivers
1:44.0,S. Dinwiddie makes free throw 2 of 2,1,79-84,,
1:28.0,,,79-84,,Shooting foul by R. Hollis-Jefferson (drawn by M. Harrell)
1:28.0,,,79-85,1,M. Harrell makes free throw 1 of 2
1:28.0,,,79-85,,S. Dekker enters the game for T. Harris
1:28.0,,,79-86,1,M. Harrell makes free throw 2 of 2
1:08.0,C. LeVert makes 3-pt shot from 25 ft (assist by J. Harris),3,82-86,,
1:00.0,,,82-88,2,L. Williams makes 2-pt shot from 2 ft
1:00.0,,,82-88,,Shooting foul by C. LeVert (drawn by L. Williams)
1:00.0,,,82-89,1,L. Williams makes free throw 1 of 1
0:46.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by C. LeVert),2,84-89,,
0:38.0,,,84-91,2,S. Kilpatrick makes 2-pt shot from 2 ft
0:31.0,Shooting foul by M. Harrell (drawn by J. Harris),,84-91,,
0:31.0,J. Harris makes free throw 1 of 2,1,85-91,,
0:31.0,J. Harris makes free throw 2 of 2,1,86-91,,
0:09.0,,,86-91,,L. Williams misses 3-pt shot from 26 ft
0:06.0,,,86-91,,Offensive rebound by S. Thornwell
0:03.0,,,86-91,,L. Williams misses 2-pt shot from 2 ft
0:01.0,Defensive rebound by R. Hollis-Jefferson,,86-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,86-93,2,M. Harrell makes 2-pt shot from 3 ft (assist by S. Dekker)
11:25.0,D. Cunningham makes 3-pt shot from 23 ft (assist by R. Hollis-Jefferson),3,89-93,,
11:15.0,,,89-93,,Shooting foul by D. Cunningham (drawn by M. Harrell)
11:15.0,,,89-93,,M. Harrell misses free throw 1 of 2
11:15.0,,,89-93,,Offensive rebound by Team
11:15.0,,,89-94,1,M. Harrell makes free throw 2 of 2
11:01.0,C. LeVert misses 2-pt shot from 1 ft,,89-94,,
10:58.0,Offensive rebound by R. Hollis-Jefferson,,89-94,,
10:58.0,R. Hollis-Jefferson misses 2-pt shot at rim,,89-94,,
10:58.0,Offensive rebound by R. Hollis-Jefferson,,89-94,,
10:58.0,R. Hollis-Jefferson misses 2-pt shot at rim,,89-94,,
10:58.0,Offensive rebound by C. LeVert,,89-94,,
10:58.0,C. LeVert misses 2-pt shot at rim,,89-94,,
10:58.0,Offensive rebound by Team,,89-94,,
10:58.0,,,89-94,,Loose ball foul by S. Dekker (drawn by R. Hollis-Jefferson)
10:51.0,Shooting foul by S. Dekker (drawn by S. Dinwiddie),,89-94,,
10:51.0,S. Dinwiddie makes free throw 1 of 2,1,90-94,,
10:51.0,,,90-94,,T. Harris enters the game for S. Dekker
10:51.0,S. Dinwiddie makes free throw 2 of 2,1,91-94,,
10:43.0,,,91-94,,S. Kilpatrick misses 2-pt shot from 18 ft (block by R. Hollis-Jefferson)
10:43.0,Defensive rebound by C. LeVert,,91-94,,
10:37.0,J. Harris makes 3-pt shot from 26 ft (assist by C. LeVert),3,94-94,,
10:18.0,,,94-96,2,S. Thornwell makes 2-pt shot from 2 ft (assist by L. Williams)
10:02.0,J. Harris misses 2-pt shot from 1 ft (block by T. Harris),,94-96,,
10:00.0,,,94-96,,Defensive rebound by T. Harris
9:54.0,,,94-96,,S. Kilpatrick misses 2-pt shot from 2 ft
9:52.0,Defensive rebound by D. Cunningham,,94-96,,
9:41.0,D. Cunningham makes 3-pt shot from 23 ft (assist by R. Hollis-Jefferson),3,97-96,,
9:21.0,,,97-99,3,T. Harris makes 3-pt shot from 27 ft (assist by L. Williams)
9:04.0,R. Hollis-Jefferson misses 2-pt shot from 12 ft,,97-99,,
9:01.0,,,97-99,,Defensive rebound by T. Harris
8:57.0,,,97-99,,S. Kilpatrick misses 3-pt shot from 26 ft
8:52.0,,,97-99,,Offensive rebound by M. Harrell
8:43.0,,,97-99,,Turnover by M. Harrell (lost ball; steal by S. Dinwiddie)
8:40.0,C. LeVert makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,99-99,,
8:30.0,Personal foul by R. Hollis-Jefferson (drawn by M. Harrell),,99-99,,
8:30.0,,,99-99,,M. Teodosic enters the game for S. Thornwell
8:30.0,,,99-99,,A. Rivers enters the game for S. Kilpatrick
8:30.0,Brooklyn full timeout,,99-99,,
8:30.0,D. Carroll enters the game for C. LeVert,,99-99,,
8:30.0,A. Crabbe enters the game for R. Hollis-Jefferson,,99-99,,
8:11.0,,,99-102,3,A. Rivers makes 3-pt shot from 22 ft
8:01.0,D. Carroll misses 3-pt shot from 23 ft,,99-102,,
8:01.0,Offensive rebound by Team,,99-102,,
7:54.0,J. Harris makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,102-102,,
7:38.0,Personal foul by S. Dinwiddie (drawn by L. Williams),,102-102,,
7:38.0,,,102-102,,D. Jordan enters the game for M. Harrell
7:31.0,,,102-102,,L. Williams misses 2-pt shot from 18 ft
7:28.0,Defensive rebound by J. Harris,,102-102,,
7:20.0,J. Harris makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,105-102,,
7:09.0,,,105-102,,M. Teodosic misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by D. Carroll,,105-102,,
6:56.0,D. Cunningham misses 3-pt shot from 26 ft,,105-102,,
6:53.0,,,105-102,,Defensive rebound by Team
6:36.0,,,105-104,2,A. Rivers makes 2-pt shot from 2 ft
6:17.0,D. Carroll makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,108-104,,
6:17.0,,,108-104,,LA Clippers full timeout
