time,Golden State,pts.away,score,pts.home,Charlotte
10:01.0,,,30-20,,C. Zeller misses 2-pt shot from 1 ft (block by D. West)
10:01.0,Defensive rebound by Team,,30-20,,
10:01.0,,,30-20,,M. Williams enters the game for F. Kaminsky
10:01.0,,,30-20,,Charlotte full timeout
9:38.0,D. West misses 2-pt shot from 6 ft,,30-20,,
9:34.0,,,30-20,,Defensive rebound by C. Zeller
9:21.0,,,30-20,,M. Carter-Williams misses 3-pt shot from 28 ft
9:21.0,Defensive rebound by D. West,,30-20,,
8:58.0,N. Young makes 3-pt shot from 24 ft (assist by K. Thompson),3,33-20,,
8:46.0,,,33-20,,M. Carter-Williams misses 2-pt shot from 2 ft
8:46.0,Defensive rebound by K. Thompson,,33-20,,
8:40.0,N. Young makes 3-pt shot from 24 ft,3,36-20,,
8:30.0,,,36-20,,Charlotte full timeout
8:30.0,,,36-20,,M. Monk enters the game for D. Bacon
8:16.0,,,36-20,,J. Lamb misses 2-pt shot from 22 ft
8:13.0,Defensive rebound by N. Young,,36-20,,
7:58.0,K. Thompson makes 2-pt shot from 17 ft (assist by D. West),2,38-20,,
7:43.0,,,38-20,,Turnover by M. Monk (bad pass; steal by S. Livingston)
7:39.0,A. Iguodala misses 2-pt shot from 1 ft (block by C. Zeller),,38-20,,
7:36.0,Offensive rebound by S. Livingston,,38-20,,
7:36.0,S. Livingston misses 2-pt shot from 1 ft,,38-20,,
7:36.0,,,38-20,,Defensive rebound by M. Carter-Williams
7:36.0,Personal foul by S. Livingston (drawn by M. Carter-Williams),,38-20,,
7:36.0,,,38-20,,K. Walker enters the game for M. Carter-Williams
7:36.0,Q. Cook enters the game for D. West,,38-20,,
7:36.0,J. Bell enters the game for S. Livingston,,38-20,,
7:29.0,,,38-20,,Turnover by M. Williams (lost ball; steal by A. Iguodala)
7:24.0,A. Iguodala makes 2-pt shot at rim,2,40-20,,
7:06.0,,,40-22,2,J. Lamb makes 2-pt shot from 1 ft
6:51.0,J. Bell misses 2-pt shot from 2 ft,,40-22,,
6:49.0,,,40-22,,Defensive rebound by J. Lamb
6:45.0,,,40-22,,Turnover by J. Lamb (bad pass; steal by A. Iguodala)
6:45.0,,,40-22,,Personal foul by J. Lamb (drawn by A. Iguodala)
6:45.0,,,40-22,,D. Howard enters the game for M. Monk
6:45.0,,,40-22,,N. Batum enters the game for C. Zeller
6:24.0,Turnover by K. Thompson (bad pass),,40-22,,
6:13.0,,,40-22,,M. Williams misses 3-pt shot from 24 ft
6:10.0,Defensive rebound by A. Iguodala,,40-22,,
6:04.0,Turnover by A. Iguodala (bad pass; steal by K. Walker),,40-22,,
6:00.0,,,40-22,,K. Walker misses 2-pt shot from 1 ft (block by A. Iguodala)
5:57.0,Defensive rebound by Q. Cook,,40-22,,
5:52.0,N. Young misses 3-pt shot from 25 ft,,40-22,,
5:50.0,,,40-22,,Defensive rebound by J. Lamb
5:50.0,Personal foul by J. Bell (drawn by K. Walker),,40-22,,
5:50.0,O. Casspi enters the game for A. Iguodala,,40-22,,
5:50.0,K. Durant enters the game for K. Thompson,,40-22,,
5:49.0,,,40-22,,Offensive foul by D. Howard (drawn by O. Casspi)
5:49.0,,,40-22,,Turnover by D. Howard (offensive foul)
5:32.0,O. Casspi misses 2-pt shot from 9 ft,,40-22,,
5:29.0,,,40-22,,Defensive rebound by D. Howard
5:12.0,,,40-22,,J. Lamb misses 2-pt shot from 4 ft
5:07.0,,,40-22,,Offensive rebound by J. Lamb
5:07.0,,,40-22,,J. Lamb misses 2-pt shot at rim
5:06.0,Defensive rebound by K. Durant,,40-22,,
5:03.0,Q. Cook makes 3-pt shot from 22 ft (assist by K. Durant),3,43-22,,
4:50.0,,,43-22,,K. Walker misses 2-pt shot from 2 ft
4:48.0,Defensive rebound by O. Casspi,,43-22,,
4:48.0,Turnover by O. Casspi (bad pass),,43-22,,
4:48.0,,,43-22,,M. Kidd-Gilchrist enters the game for J. Lamb
4:45.0,,,43-22,,Turnover by N. Batum (bad pass; steal by N. Young)
4:40.0,Shooting foul by D. Howard (drawn by N. Young),,43-22,,
4:40.0,N. Young misses free throw 1 of 2,,43-22,,
4:40.0,Offensive rebound by Team,,43-22,,
4:40.0,,,43-22,,C. Zeller enters the game for D. Howard
4:40.0,N. Young misses free throw 2 of 2,,43-22,,
4:37.0,,,43-22,,Defensive rebound by M. Williams
4:18.0,,,43-22,,C. Zeller misses 2-pt shot from 3 ft (block by O. Casspi)
4:15.0,Defensive rebound by K. Durant,,43-22,,
4:15.0,Turnover by K. Durant (bad pass),,43-22,,
4:01.0,,,43-22,,M. Williams misses 2-pt shot from 10 ft
4:00.0,Defensive rebound by Team,,43-22,,
4:00.0,Golden State full timeout,,43-22,,
4:00.0,K. Thompson enters the game for N. Young,,43-22,,
3:47.0,K. Durant makes 2-pt shot from 11 ft (assist by J. Bell),2,45-22,,
3:28.0,,,45-22,,M. Kidd-Gilchrist misses 2-pt shot from 20 ft
3:25.0,,,45-22,,Offensive rebound by M. Williams
3:19.0,,,45-22,,Turnover by N. Batum (lost ball; steal by O. Casspi)
3:07.0,K. Thompson makes 3-pt shot from 23 ft (assist by K. Durant),3,48-22,,
2:57.0,,,48-24,2,K. Walker makes 2-pt shot at rim
2:57.0,,,48-24,,Shooting foul by O. Casspi (drawn by K. Walker)
2:57.0,,,48-25,1,K. Walker makes free throw 1 of 1
2:33.0,K. Durant misses 3-pt shot from 26 ft,,48-25,,
2:29.0,,,48-25,,Defensive rebound by M. Williams
2:23.0,,,48-25,,K. Walker misses 3-pt shot from 26 ft
2:19.0,,,48-25,,Offensive rebound by C. Zeller
2:18.0,,,48-28,3,N. Batum makes 3-pt shot from 25 ft (assist by C. Zeller)
2:18.0,Golden State full timeout,,48-28,,
2:18.0,D. West enters the game for J. Bell,,48-28,,
2:18.0,A. Iguodala enters the game for O. Casspi,,48-28,,
2:02.0,,,48-28,,Personal foul by M. Kidd-Gilchrist (drawn by K. Durant)
2:00.0,Offensive foul by D. West (drawn by M. Kidd-Gilchrist),,48-28,,
2:00.0,Turnover by D. West (offensive foul),,48-28,,
1:51.0,,,48-30,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
1:33.0,K. Thompson makes 3-pt shot from 24 ft (assist by Q. Cook),3,51-30,,
1:24.0,,,51-32,2,K. Walker makes 2-pt shot from 1 ft
1:10.0,K. Durant misses 2-pt shot from 11 ft,,51-32,,
1:07.0,,,51-32,,Defensive rebound by C. Zeller
1:02.0,,,51-35,3,K. Walker makes 3-pt shot from 27 ft
0:43.0,Turnover by K. Thompson (bad pass; steal by N. Batum),,51-35,,
0:43.0,,,51-35,,Turnover by N. Batum (bad pass; steal by A. Iguodala)
0:37.0,K. Durant makes 2-pt shot from 1 ft (assist by A. Iguodala),2,53-35,,
0:31.0,,,53-38,3,K. Walker makes 3-pt shot from 26 ft
0:08.0,A. Iguodala misses 3-pt shot from 26 ft,,53-38,,
0:05.0,,,53-38,,Defensive rebound by K. Walker
0:00.0,,,53-38,,K. Walker misses 2-pt shot from 1 ft (block by K. Durant)
0:00.0,Defensive rebound by A. Iguodala,,53-38,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,53-38,,D. Howard misses 2-pt shot from 3 ft
11:45.0,Defensive rebound by J. Bell,,53-38,,
11:31.0,K. Durant makes 2-pt shot from 10 ft (assist by D. West),2,55-38,,
11:13.0,,,55-40,2,M. Williams makes 2-pt shot from 2 ft (assist by N. Batum)
11:02.0,K. Durant misses 3-pt shot from 27 ft,,55-40,,
10:59.0,,,55-40,,Defensive rebound by K. Walker
10:50.0,,,55-42,2,M. Williams makes 2-pt shot from 1 ft (assist by K. Walker)
10:50.0,,,55-42,,Shooting foul by J. Bell (drawn by M. Williams)
10:50.0,,,55-43,1,M. Williams makes free throw 1 of 1
10:33.0,Turnover by D. West (bad pass; steal by N. Batum),,55-43,,
10:27.0,,,55-43,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
10:25.0,Defensive rebound by K. Durant,,55-43,,
10:23.0,Golden State full timeout,,55-43,,
10:17.0,K. Durant makes 2-pt shot from 9 ft,2,57-43,,
9:56.0,,,57-43,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by J. Bell)
9:52.0,Defensive rebound by Q. Cook,,57-43,,
9:48.0,Q. Cook makes 2-pt shot from 12 ft,2,59-43,,
9:33.0,,,59-43,,K. Walker misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by K. Durant,,59-43,,
9:24.0,D. West makes 2-pt shot from 18 ft (assist by K. Thompson),2,61-43,,
9:09.0,,,61-45,2,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by N. Batum)
8:53.0,,,61-45,,Personal foul by M. Kidd-Gilchrist (drawn by K. Durant)
8:43.0,K. Durant makes 3-pt shot from 25 ft (assist by J. Bell),3,64-45,,
8:29.0,,,64-45,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by J. Bell)
8:29.0,,,64-45,,Offensive rebound by Team
8:27.0,,,64-47,2,K. Walker makes 2-pt shot from 17 ft (assist by N. Batum)
8:05.0,K. Durant misses 2-pt shot from 10 ft,,64-47,,
7:57.0,Offensive rebound by D. West,,64-47,,
7:57.0,D. West misses 2-pt shot at rim,,64-47,,
7:56.0,,,64-47,,Defensive rebound by N. Batum
7:56.0,,,64-49,2,D. Howard makes 2-pt shot from 1 ft (assist by M. Williams)
7:56.0,,,64-49,,Shooting foul by K. Durant (drawn by D. Howard)
7:56.0,,,64-50,1,D. Howard makes free throw 1 of 1
7:37.0,Turnover by K. Thompson (traveling),,64-50,,
7:29.0,,,64-50,,Shooting foul by J. Bell (drawn by K. Walker)
7:29.0,,,64-50,,K. Walker misses free throw 1 of 2
7:29.0,,,64-50,,Offensive rebound by Team
7:29.0,,,64-51,1,K. Walker makes free throw 2 of 2
7:10.0,K. Durant misses 2-pt shot from 13 ft,,64-51,,
7:03.0,Offensive rebound by J. Bell,,64-51,,
7:03.0,J. Bell misses 2-pt shot at rim,,64-51,,
7:02.0,Offensive rebound by D. West,,64-51,,
6:48.0,Q. Cook misses 3-pt shot from 25 ft,,64-51,,
6:45.0,,,64-51,,Defensive rebound by D. Howard
6:38.0,,,64-51,,K. Walker misses 2-pt shot from 7 ft (block by J. Bell)
6:35.0,Defensive rebound by K. Thompson,,64-51,,
6:32.0,D. West makes 2-pt shot from 1 ft (assist by K. Durant),2,66-51,,
6:18.0,,,66-51,,Turnover by K. Walker (bad pass)
6:04.0,A. Iguodala enters the game for Q. Cook,,66-51,,
5:56.0,K. Durant misses 3-pt shot from 25 ft,,66-51,,
5:52.0,,,66-51,,Defensive rebound by D. Howard
5:47.0,,,66-51,,Shooting foul by D. West (drawn by D. Howard)
5:47.0,,,66-51,,D. Howard misses free throw 1 of 2
5:47.0,,,66-51,,Offensive rebound by Team
5:47.0,J. McGee enters the game for J. Bell,,66-51,,
5:47.0,O. Casspi enters the game for D. West,,66-51,,
5:47.0,,,66-52,1,D. Howard makes free throw 2 of 2
5:24.0,Turnover by K. Durant (bad pass),,66-52,,
5:09.0,,,66-52,,D. Howard misses 2-pt shot from 2 ft
5:09.0,,,66-52,,Offensive rebound by Team
5:06.0,,,66-52,,Shooting foul by J. McGee (drawn by D. Howard)
5:06.0,,,66-53,1,D. Howard makes free throw 1 of 2
5:06.0,,,66-54,1,D. Howard makes free throw 2 of 2
4:47.0,K. Thompson makes 2-pt shot from 13 ft (assist by K. Durant),2,68-54,,
4:36.0,Personal foul by K. Durant (drawn by D. Howard),,68-54,,
4:36.0,,,68-55,1,D. Howard makes free throw 1 of 2
4:36.0,,,68-56,1,D. Howard makes free throw 2 of 2
4:19.0,K. Durant makes 2-pt shot from 3 ft,2,70-56,,
4:09.0,,,70-56,,D. Howard misses 2-pt shot from 3 ft
4:07.0,Defensive rebound by K. Durant,,70-56,,
4:01.0,J. McGee makes 2-pt shot from 2 ft (assist by K. Durant),2,72-56,,
3:56.0,,,72-56,,Charlotte full timeout
3:56.0,,,72-56,,C. Zeller enters the game for M. Williams
3:56.0,,,72-56,,T. Graham enters the game for D. Howard
3:56.0,S. Livingston enters the game for K. Thompson,,72-56,,
3:48.0,,,72-58,2,N. Batum makes 2-pt shot from 19 ft (assist by K. Walker)
3:29.0,A. Iguodala misses 3-pt shot from 26 ft,,72-58,,
3:26.0,,,72-58,,Defensive rebound by M. Kidd-Gilchrist
3:21.0,,,72-60,2,N. Batum makes 2-pt shot from 7 ft
3:09.0,J. McGee makes 2-pt shot at rim (assist by K. Durant),2,74-60,,
2:53.0,,,74-60,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by J. McGee)
2:49.0,,,74-60,,Offensive rebound by K. Walker
2:46.0,,,74-60,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
2:45.0,,,74-60,,Offensive rebound by N. Batum
2:45.0,Personal foul by A. Iguodala (drawn by N. Batum),,74-60,,
2:45.0,,,74-60,,N. Batum misses free throw 1 of 2
2:45.0,,,74-60,,Offensive rebound by Team
2:45.0,,,74-60,,J. Lamb enters the game for M. Kidd-Gilchrist
2:45.0,K. Looney enters the game for J. McGee,,74-60,,
2:45.0,,,74-61,1,N. Batum makes free throw 2 of 2
2:25.0,S. Livingston misses 2-pt shot from 15 ft,,74-61,,
2:22.0,,,74-61,,Defensive rebound by C. Zeller
2:11.0,,,74-61,,C. Zeller misses 2-pt shot from 3 ft
2:09.0,,,74-61,,Offensive rebound by C. Zeller
2:08.0,,,74-61,,J. Lamb misses 3-pt shot from 25 ft
2:05.0,Defensive rebound by O. Casspi,,74-61,,
2:01.0,Shooting foul by J. Lamb (drawn by A. Iguodala),,74-61,,
2:01.0,A. Iguodala misses free throw 1 of 2,,74-61,,
2:01.0,Offensive rebound by Team,,74-61,,
2:01.0,A. Iguodala makes free throw 2 of 2,1,75-61,,
1:46.0,,,75-63,2,N. Batum makes 2-pt shot from 14 ft
1:25.0,Shooting foul by N. Batum (drawn by K. Durant),,75-63,,
1:25.0,K. Durant makes free throw 1 of 2,1,76-63,,
1:25.0,K. Durant makes free throw 2 of 2,1,77-63,,
1:16.0,,,77-66,3,N. Batum makes 3-pt shot from 24 ft (assist by C. Zeller)
0:59.0,O. Casspi makes 2-pt shot from 5 ft (assist by K. Durant),2,79-66,,
0:49.0,,,79-66,,C. Zeller misses 2-pt shot from 2 ft
0:44.0,Defensive rebound by K. Looney,,79-66,,
0:40.0,K. Durant misses 2-pt shot from 1 ft,,79-66,,
0:37.0,,,79-66,,Defensive rebound by N. Batum
0:36.0,,,79-68,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
0:30.0,K. Durant misses 2-pt shot from 18 ft,,79-68,,
0:30.0,,,79-68,,Defensive rebound by J. Lamb
0:07.0,,,79-68,,K. Walker misses 2-pt shot from 18 ft
0:06.0,Defensive rebound by O. Casspi,,79-68,,
0:00.0,O. Casspi misses 3-pt shot from 48 ft,,79-68,,
0:00.0,Offensive rebound by Team,,79-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,K. Thompson misses 3-pt shot from 25 ft,,79-68,,
11:37.0,,,79-68,,Defensive rebound by N. Batum
11:29.0,,,79-68,,K. Walker misses 3-pt shot from 26 ft
11:26.0,Defensive rebound by K. Thompson,,79-68,,
11:19.0,K. Thompson makes 2-pt shot from 20 ft,2,81-68,,
10:58.0,,,81-68,,Turnover by J. Lamb (lost ball; steal by D. West)
10:45.0,S. Livingston makes 2-pt shot from 1 ft (assist by K. Thompson),2,83-68,,
10:32.0,,,83-71,3,T. Graham makes 3-pt shot from 26 ft (assist by K. Walker)
10:10.0,A. Iguodala misses 2-pt shot from 14 ft,,83-71,,
10:03.0,Offensive rebound by A. Iguodala,,83-71,,
10:00.0,Shooting foul by K. Walker (drawn by N. Young),,83-71,,
10:00.0,N. Young makes free throw 1 of 2,1,84-71,,
10:00.0,,,84-71,,M. Carter-Williams enters the game for N. Batum
10:00.0,N. Young makes free throw 2 of 2,1,85-71,,
9:43.0,,,85-73,2,D. Howard makes 2-pt shot from 7 ft
9:24.0,D. West misses 2-pt shot from 10 ft,,85-73,,
9:24.0,,,85-73,,Defensive rebound by Team
9:04.0,,,85-73,,M. Carter-Williams misses 2-pt shot from 3 ft (block by D. West)
9:00.0,Defensive rebound by A. Iguodala,,85-73,,
8:49.0,K. Thompson misses 2-pt shot from 9 ft,,85-73,,
8:47.0,,,85-73,,Defensive rebound by J. Lamb
8:35.0,,,85-75,2,J. Lamb makes 2-pt shot from 1 ft
8:35.0,Golden State full timeout,,85-75,,
8:35.0,K. Durant enters the game for S. Livingston,,85-75,,
8:23.0,Offensive foul by D. West (drawn by M. Carter-Williams),,85-75,,
8:23.0,Turnover by D. West (offensive foul),,85-75,,
8:01.0,,,85-75,,J. Lamb misses 2-pt shot from 1 ft
7:59.0,Defensive rebound by Team,,85-75,,
7:59.0,K. Looney enters the game for D. West,,85-75,,
7:44.0,Offensive foul by K. Looney (drawn by M. Carter-Williams),,85-75,,
7:44.0,Turnover by K. Looney (offensive foul),,85-75,,
7:27.0,,,85-75,,T. Graham misses 2-pt shot from 11 ft
7:22.0,Defensive rebound by K. Durant,,85-75,,
7:19.0,K. Durant misses 2-pt shot from 8 ft,,85-75,,
7:17.0,,,85-75,,Defensive rebound by D. Howard
6:57.0,,,85-78,3,K. Walker makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
6:33.0,K. Durant misses 2-pt shot from 17 ft,,85-78,,
6:23.0,,,85-78,,Defensive rebound by K. Walker
6:17.0,,,85-78,,M. Carter-Williams misses 2-pt shot from 3 ft
6:14.0,,,85-78,,Offensive rebound by J. Lamb
6:12.0,,,85-78,,J. Lamb misses 2-pt shot from 8 ft
6:09.0,Defensive rebound by K. Looney,,85-78,,
6:05.0,K. Thompson makes 2-pt shot from 13 ft,2,87-78,,
5:46.0,,,87-78,,Shooting foul by A. Iguodala (drawn by K. Walker)
5:46.0,,,87-79,1,K. Walker makes free throw 1 of 2
5:46.0,,,87-79,,N. Batum enters the game for M. Carter-Williams
5:46.0,,,87-79,,M. Williams enters the game for T. Graham
5:46.0,,,87-80,1,K. Walker makes free throw 2 of 2
5:29.0,N. Young makes 2-pt shot from 13 ft (assist by K. Durant),2,89-80,,
5:16.0,Personal foul by K. Looney (drawn by D. Howard),,89-80,,
5:06.0,,,89-80,,Turnover by D. Howard (traveling)
5:06.0,,,89-80,,M. Kidd-Gilchrist enters the game for J. Lamb
4:50.0,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant),3,92-80,,
4:38.0,,,92-80,,N. Batum misses 3-pt shot from 25 ft
4:35.0,Defensive rebound by A. Iguodala,,92-80,,
4:33.0,A. Iguodala makes 2-pt shot at rim,2,94-80,,
4:33.0,Shooting foul by M. Kidd-Gilchrist (drawn by A. Iguodala),,94-80,,
4:33.0,A. Iguodala makes free throw 1 of 1,1,95-80,,
4:21.0,,,95-82,2,K. Walker makes 2-pt shot from 1 ft
3:57.0,Shooting foul by M. Kidd-Gilchrist (drawn by K. Durant),,95-82,,
3:57.0,K. Durant makes free throw 1 of 2,1,96-82,,
3:57.0,K. Durant makes free throw 2 of 2,1,97-82,,
3:44.0,,,97-82,,M. Kidd-Gilchrist misses 2-pt shot from 21 ft
3:39.0,,,97-82,,Offensive rebound by M. Williams
3:37.0,,,97-82,,Shooting foul by K. Looney (drawn by K. Walker)
3:37.0,,,97-82,,K. Walker misses free throw 1 of 2
3:37.0,,,97-82,,Offensive rebound by Team
3:37.0,,,97-83,1,K. Walker makes free throw 2 of 2
