time,Utah,pts.away,score,pts.home,Atlanta
3:08.0,Turnover by R. Rubio (bad pass; steal by T. Waller-Prince),,34-37,,
3:06.0,,,34-39,2,T. Waller-Prince makes 2-pt shot from 2 ft
3:06.0,,,34-39,,Shooting foul by R. Gobert (drawn by T. Waller-Prince)
3:06.0,,,34-40,1,T. Waller-Prince makes free throw 1 of 1
2:52.0,D. Mitchell makes 2-pt shot from 16 ft,2,36-40,,
2:42.0,,,36-40,,M. Belinelli misses 3-pt shot from 25 ft
2:38.0,,,36-40,,Offensive rebound by J. Collins
2:36.0,,,36-42,2,D. Dedmon makes 2-pt shot from 18 ft (assist by J. Collins)
2:18.0,D. Mitchell misses 2-pt shot from 8 ft (block by D. Dedmon),,36-42,,
2:16.0,,,36-42,,Defensive rebound by D. Dedmon
1:58.0,,,36-42,,Shooting foul by R. Rubio (drawn by M. Belinelli)
1:58.0,J. Johnson enters the game for D. Favors,,36-42,,
1:50.0,,,36-42,,Turnover by M. Belinelli (bad pass)
1:39.0,Turnover by D. Mitchell (bad pass),,36-42,,
1:29.0,,,36-42,,D. Dedmon misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by J. Ingles,,36-42,,
1:17.0,J. Johnson makes 2-pt shot from 7 ft,2,38-42,,
0:59.0,,,38-42,,M. Delaney misses 2-pt shot from 18 ft
0:55.0,Defensive rebound by D. Mitchell,,38-42,,
0:50.0,R. Gobert makes 2-pt shot from 2 ft (assist by J. Johnson),2,40-42,,
0:50.0,Shooting foul by D. Dedmon (drawn by R. Gobert),,40-42,,
0:50.0,R. Gobert makes free throw 1 of 1,1,41-42,,
0:28.0,,,41-42,,D. Dedmon misses 2-pt shot from 14 ft
0:25.0,Defensive rebound by R. Rubio,,41-42,,
0:02.0,Turnover by Team (shot clock),,41-42,,
0:01.0,,,41-42,,Turnover by T. Waller-Prince (traveling)
0:01.0,,,41-42,,K. Bazemore enters the game for T. Waller-Prince
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,41-42,,E. Ilyasova misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by J. Ingles,,41-42,,
11:30.0,D. Mitchell misses 3-pt shot from 25 ft,,41-42,,
11:27.0,,,41-42,,Defensive rebound by E. Ilyasova
11:13.0,,,41-45,3,K. Bazemore makes 3-pt shot from 23 ft (assist by E. Ilyasova)
10:52.0,R. Rubio misses 3-pt shot from 22 ft,,41-45,,
10:51.0,Offensive rebound by Team,,41-45,,
10:45.0,D. Mitchell makes 2-pt shot from 18 ft,2,43-45,,
10:29.0,,,43-48,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by D. Schroder)
10:10.0,Turnover by D. Mitchell (bad pass),,43-48,,
10:00.0,,,43-48,,D. Schroder misses 2-pt shot from 8 ft
9:59.0,,,43-48,,Offensive rebound by E. Ilyasova
9:59.0,,,43-48,,Turnover by E. Ilyasova (traveling)
9:47.0,D. Favors makes 2-pt shot at rim (assist by J. Ingles),2,45-48,,
9:47.0,Shooting foul by M. Plumlee (drawn by D. Favors),,45-48,,
9:47.0,D. Favors misses free throw 1 of 1,,45-48,,
9:44.0,,,45-48,,Defensive rebound by M. Plumlee
9:22.0,,,45-48,,K. Bazemore misses 3-pt shot from 22 ft
9:19.0,Defensive rebound by D. Mitchell,,45-48,,
9:09.0,Turnover by D. Mitchell (bad pass),,45-48,,
9:09.0,,,45-48,,D. Dedmon enters the game for M. Plumlee
9:00.0,,,45-48,,T. Waller-Prince misses 2-pt shot from 19 ft
8:57.0,Defensive rebound by R. Gobert,,45-48,,
8:44.0,J. Ingles makes 2-pt shot from 1 ft,2,47-48,,
8:28.0,,,47-48,,D. Schroder misses 2-pt shot from 1 ft (block by R. Gobert)
8:25.0,Defensive rebound by D. Mitchell,,47-48,,
8:18.0,R. Rubio makes 2-pt shot from 17 ft,2,49-48,,
8:03.0,,,49-51,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by D. Schroder)
7:48.0,D. Favors makes 2-pt shot from 17 ft (assist by R. Rubio),2,51-51,,
7:27.0,,,51-51,,T. Waller-Prince misses 3-pt shot from 25 ft
7:24.0,Defensive rebound by R. Gobert,,51-51,,
7:15.0,D. Favors misses 2-pt shot from 1 ft (block by K. Bazemore),,51-51,,
7:15.0,Offensive rebound by Team,,51-51,,
7:15.0,J. Jerebko enters the game for D. Favors,,51-51,,
7:08.0,Offensive foul by D. Mitchell (drawn by D. Dedmon),,51-51,,
7:08.0,Turnover by D. Mitchell (offensive foul),,51-51,,
6:54.0,,,51-51,,Turnover by E. Ilyasova (bad pass; steal by R. Gobert)
6:50.0,Turnover by D. Mitchell (bad pass; steal by T. Waller-Prince),,51-51,,
6:45.0,,,51-53,2,T. Waller-Prince makes 2-pt shot from 1 ft
6:29.0,Turnover by D. Mitchell (bad pass; steal by E. Ilyasova),,51-53,,
6:25.0,Personal foul by J. Jerebko (drawn by T. Waller-Prince),,51-53,,
6:25.0,,,51-53,,Atlanta full timeout
6:25.0,A. Burks enters the game for R. Rubio,,51-53,,
6:25.0,D. Favors enters the game for R. Gobert,,51-53,,
6:21.0,,,51-55,2,T. Waller-Prince makes 2-pt shot from 1 ft (assist by K. Bazemore)
6:07.0,J. Ingles makes 2-pt shot at rim (assist by D. Favors),2,53-55,,
5:51.0,,,53-57,2,D. Schroder makes 2-pt shot from 3 ft
5:39.0,Shooting foul by E. Ilyasova (drawn by D. Favors),,53-57,,
5:39.0,D. Favors misses free throw 1 of 2,,53-57,,
5:39.0,Offensive rebound by Team,,53-57,,
5:39.0,,,53-57,,M. Belinelli enters the game for K. Bazemore
5:39.0,D. Favors makes free throw 2 of 2,1,54-57,,
5:27.0,,,54-57,,Shooting foul by D. Favors (drawn by D. Schroder)
5:27.0,,,54-58,1,D. Schroder makes free throw 1 of 2
5:27.0,,,54-59,1,D. Schroder makes free throw 2 of 2
5:04.0,D. Favors misses 2-pt shot from 7 ft,,54-59,,
5:01.0,,,54-59,,Defensive rebound by D. Dedmon
4:57.0,,,54-59,,Offensive foul by D. Dedmon (drawn by D. Favors)
4:57.0,,,54-59,,Turnover by D. Dedmon (offensive foul)
4:46.0,Shooting foul by D. Dedmon (drawn by D. Favors),,54-59,,
4:46.0,D. Favors makes free throw 1 of 2,1,55-59,,
4:46.0,,,55-59,,J. Collins enters the game for E. Ilyasova
4:46.0,D. Favors makes free throw 2 of 2,1,56-59,,
4:36.0,,,56-59,,M. Belinelli misses 3-pt shot from 25 ft
4:32.0,Defensive rebound by D. Favors,,56-59,,
4:24.0,A. Burks misses 2-pt shot from 11 ft,,56-59,,
4:20.0,,,56-59,,Defensive rebound by D. Dedmon
4:14.0,,,56-61,2,D. Schroder makes 2-pt shot at rim
3:51.0,Shooting foul by J. Collins (drawn by A. Burks),,56-61,,
3:51.0,A. Burks makes free throw 1 of 2,1,57-61,,
3:51.0,J. Johnson enters the game for J. Jerebko,,57-61,,
3:51.0,R. O'Neale enters the game for J. Ingles,,57-61,,
3:51.0,A. Burks makes free throw 2 of 2,1,58-61,,
3:37.0,,,58-61,,D. Schroder misses 2-pt shot from 15 ft
3:32.0,,,58-61,,Offensive rebound by J. Collins
3:32.0,,,58-61,,J. Collins misses 2-pt shot at rim
3:32.0,,,58-61,,Offensive rebound by D. Dedmon
3:30.0,,,58-61,,D. Dedmon misses 2-pt shot from 14 ft
3:30.0,,,58-61,,Offensive rebound by J. Collins
3:26.0,,,58-61,,D. Dedmon misses 2-pt shot from 4 ft
3:26.0,,,58-61,,Offensive rebound by D. Dedmon
3:20.0,,,58-61,,T. Waller-Prince misses 3-pt shot from 23 ft
3:20.0,Defensive rebound by J. Johnson,,58-61,,
3:05.0,D. Mitchell makes 2-pt shot from 12 ft (assist by A. Burks),2,60-61,,
2:49.0,,,60-64,3,D. Dedmon makes 3-pt shot from 22 ft (assist by M. Belinelli)
2:47.0,Utah full timeout,,60-64,,
2:47.0,,,60-64,,M. Delaney enters the game for T. Waller-Prince
2:32.0,Turnover by A. Burks (bad pass; steal by M. Belinelli),,60-64,,
2:27.0,,,60-64,,D. Schroder misses 3-pt shot from 24 ft
2:21.0,,,60-64,,Offensive rebound by J. Collins
2:17.0,,,60-66,2,M. Belinelli makes 2-pt shot from 1 ft
2:03.0,,,60-66,,Personal foul by D. Schroder (drawn by D. Mitchell)
2:03.0,,,60-66,,M. Muscala enters the game for D. Dedmon
2:03.0,D. Mitchell misses free throw 1 of 2,,60-66,,
2:03.0,Offensive rebound by Team,,60-66,,
2:03.0,D. Mitchell makes free throw 2 of 2,1,61-66,,
1:54.0,,,61-68,2,D. Schroder makes 2-pt shot from 7 ft
1:28.0,A. Burks makes 2-pt shot from 18 ft (assist by R. O'Neale),2,63-68,,
1:08.0,,,63-71,3,M. Delaney makes 3-pt shot from 23 ft
1:08.0,,,63-71,,Shooting foul by R. O'Neale (drawn by M. Delaney)
1:08.0,R. Neto enters the game for D. Mitchell,,63-71,,
1:08.0,,,63-72,1,M. Delaney makes free throw 1 of 1
0:45.0,R. O'Neale misses 2-pt shot at rim,,63-72,,
0:42.0,,,63-72,,Defensive rebound by M. Muscala
0:32.0,,,63-74,2,D. Schroder makes 2-pt shot from 1 ft
0:25.0,A. Burks misses 2-pt shot at rim,,63-74,,
0:21.0,,,63-74,,Defensive rebound by J. Collins
0:05.0,,,63-74,,Turnover by D. Schroder (bad pass; steal by R. Neto)
0:00.0,J. Johnson misses 3-pt shot from 22 ft,,63-74,,
0:00.0,Offensive rebound by Team,,63-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,R. O'Neale misses 2-pt shot from 10 ft,,63-74,,
11:42.0,,,63-74,,Defensive rebound by Team
11:28.0,,,63-74,,T. Waller-Prince misses 2-pt shot from 2 ft
11:25.0,Defensive rebound by R. O'Neale,,63-74,,
11:20.0,R. O'Neale misses 2-pt shot from 1 ft (block by M. Delaney),,63-74,,
11:18.0,Offensive rebound by Team,,63-74,,
11:08.0,A. Burks misses 2-pt shot from 1 ft (block by J. Collins),,63-74,,
11:05.0,,,63-74,,Defensive rebound by M. Delaney
10:59.0,,,63-76,2,T. Waller-Prince makes 2-pt shot from 2 ft
10:44.0,A. Burks misses 2-pt shot from 10 ft,,63-76,,
10:40.0,,,63-76,,Defensive rebound by J. Collins
10:39.0,Personal foul by R. O'Neale (drawn by T. Waller-Prince),,63-76,,
10:39.0,,,63-76,,K. Bazemore enters the game for M. Belinelli
10:39.0,J. Ingles enters the game for A. Burks,,63-76,,
10:34.0,,,63-78,2,J. Collins makes 2-pt shot from 1 ft (assist by M. Delaney)
10:34.0,,,63-78,,Shooting foul by R. Gobert (drawn by J. Collins)
10:34.0,,,63-79,1,J. Collins makes free throw 1 of 1
10:18.0,Turnover by R. Rubio (bad pass; steal by K. Bazemore),,63-79,,
10:05.0,,,63-82,3,K. Bazemore makes 3-pt shot from 22 ft (assist by T. Waller-Prince)
10:04.0,Utah full timeout,,63-82,,
10:04.0,J. Jerebko enters the game for J. Johnson,,63-82,,
10:04.0,D. Mitchell enters the game for R. O'Neale,,63-82,,
9:51.0,Turnover by R. Gobert (bad pass),,63-82,,
9:33.0,,,63-84,2,K. Bazemore makes 2-pt shot from 20 ft (assist by M. Muscala)
9:13.0,Turnover by R. Rubio (bad pass; steal by T. Waller-Prince),,63-84,,
9:12.0,Personal foul by J. Ingles (drawn by T. Waller-Prince),,63-84,,
9:01.0,,,63-86,2,M. Muscala makes 2-pt shot from 3 ft (assist by T. Waller-Prince)
8:44.0,D. Mitchell misses 3-pt shot from 24 ft,,63-86,,
8:41.0,,,63-86,,Defensive rebound by J. Collins
8:35.0,,,63-86,,Turnover by M. Delaney (bad pass; steal by R. Gobert)
8:31.0,J. Jerebko makes 2-pt shot from 1 ft (assist by R. Gobert),2,65-86,,
8:31.0,Shooting foul by T. Waller-Prince (drawn by J. Jerebko),,65-86,,
8:31.0,J. Jerebko makes free throw 1 of 1,1,66-86,,
8:17.0,,,66-88,2,J. Collins makes 2-pt shot from 1 ft (assist by T. Waller-Prince)
8:12.0,Utah full timeout,,66-88,,
7:56.0,D. Mitchell makes 3-pt shot from 24 ft (assist by J. Jerebko),3,69-88,,
7:39.0,,,69-91,3,J. Collins makes 3-pt shot from 22 ft (assist by M. Delaney)
7:21.0,Offensive foul by R. Gobert (drawn by J. Collins),,69-91,,
7:21.0,Turnover by R. Gobert (offensive foul),,69-91,,
7:21.0,,,69-91,,E. Ilyasova enters the game for M. Muscala
6:59.0,,,69-91,,M. Delaney misses 2-pt shot from 3 ft (block by J. Jerebko)
6:55.0,Defensive rebound by R. Gobert,,69-91,,
6:45.0,,,69-91,,Personal foul by M. Delaney (drawn by J. Ingles)
6:38.0,,,69-91,,Personal block foul by E. Ilyasova (drawn by J. Ingles)
6:38.0,R. O'Neale enters the game for J. Ingles,,69-91,,
6:38.0,E. Udoh enters the game for R. Gobert,,69-91,,
6:33.0,D. Mitchell misses 3-pt shot from 25 ft,,69-91,,
6:30.0,Offensive rebound by E. Udoh,,69-91,,
6:27.0,D. Mitchell misses 2-pt shot from 1 ft,,69-91,,
6:22.0,,,69-91,,Defensive rebound by E. Ilyasova
6:03.0,,,69-91,,E. Ilyasova misses 3-pt shot from 23 ft
6:00.0,Defensive rebound by R. O'Neale,,69-91,,
5:55.0,,,69-91,,Personal foul by M. Delaney (drawn by R. Rubio)
5:55.0,,,69-91,,D. Dedmon enters the game for M. Delaney
5:55.0,,,69-91,,D. Schroder enters the game for J. Collins
5:55.0,R. Neto enters the game for D. Mitchell,,69-91,,
5:50.0,R. Rubio misses 2-pt shot from 18 ft,,69-91,,
5:45.0,,,69-91,,Defensive rebound by D. Dedmon
5:36.0,,,69-91,,Shooting foul by E. Udoh (drawn by T. Waller-Prince)
5:36.0,,,69-92,1,T. Waller-Prince makes free throw 1 of 2
5:36.0,,,69-92,,M. Belinelli enters the game for K. Bazemore
5:36.0,A. Burks enters the game for R. Rubio,,69-92,,
5:36.0,,,69-93,1,T. Waller-Prince makes free throw 2 of 2
5:24.0,R. O'Neale misses 2-pt shot from 15 ft,,69-93,,
5:20.0,,,69-93,,Defensive rebound by E. Ilyasova
5:08.0,Personal foul by J. Jerebko (drawn by D. Schroder),,69-93,,
5:08.0,,,69-94,1,D. Schroder makes free throw 1 of 2
5:08.0,,,69-94,,T. Dorsey enters the game for T. Waller-Prince
5:08.0,,,69-95,1,D. Schroder makes free throw 2 of 2
4:58.0,R. Neto makes 2-pt shot at rim (assist by A. Burks),2,71-95,,
4:46.0,,,71-95,,D. Schroder misses 2-pt shot from 1 ft (block by E. Udoh)
4:41.0,Defensive rebound by R. O'Neale,,71-95,,
4:39.0,R. O'Neale misses 2-pt shot from 1 ft,,71-95,,
4:37.0,Offensive rebound by R. Neto,,71-95,,
4:36.0,R. Neto makes 2-pt shot from 1 ft,2,73-95,,
4:27.0,,,73-95,,Offensive foul by E. Ilyasova (drawn by A. Burks)
