time,Sacramento,pts.away,score,pts.home,Utah
7:26.0,,,40-35,,R. Rubio enters the game for D. Exum
7:14.0,,,40-35,,Turnover by R. Rubio (bad pass; steal by S. Labissiere)
6:57.0,G. Temple makes 3-pt shot from 25 ft (assist by S. Labissiere),3,43-35,,
6:34.0,,,43-37,2,D. Mitchell makes 2-pt shot from 2 ft
6:23.0,Turnover by B. Hield (bad pass; steal by D. Favors),,43-37,,
6:18.0,Shooting block foul by W. Cauley-Stein (drawn by R. O'Neale),,43-37,,
6:18.0,,,43-38,1,R. O'Neale makes free throw 1 of 2
6:18.0,B. Bogdanovic enters the game for G. Temple,,43-38,,
6:18.0,,,43-39,1,R. O'Neale makes free throw 2 of 2
6:08.0,,,43-39,,Personal foul by D. Mitchell (drawn by S. Labissiere)
5:59.0,W. Cauley-Stein misses 2-pt shot from 3 ft (block by R. Gobert),,43-39,,
5:56.0,,,43-39,,Defensive rebound by R. Rubio
5:50.0,,,43-39,,R. Rubio misses 2-pt shot from 3 ft
5:48.0,Defensive rebound by B. Hield,,43-39,,
5:43.0,D. Fox makes 2-pt shot from 2 ft (assist by B. Hield),2,45-39,,
5:36.0,,,45-39,,R. O'Neale misses 2-pt shot from 2 ft (block by W. Cauley-Stein)
5:33.0,Defensive rebound by S. Labissiere,,45-39,,
5:30.0,D. Fox misses 2-pt shot from 2 ft (block by D. Favors),,45-39,,
5:27.0,Offensive rebound by S. Labissiere,,45-39,,
5:26.0,B. Hield makes 3-pt shot from 24 ft (assist by S. Labissiere),3,48-39,,
5:06.0,,,48-39,,Turnover by D. Mitchell (lost ball; steal by D. Fox)
5:05.0,,,48-39,,J. Crowder enters the game for D. Favors
5:05.0,,,48-39,,J. Ingles enters the game for R. O'Neale
5:02.0,Jump ball: D. Mitchell vs. D. Fox (R. Gobert gains possession),,,,Jump ball: D. Mitchell vs. D. Fox (R. Gobert gains possession)
5:02.0,Turnover by D. Fox (turnover; steal by D. Mitchell),,48-39,,
