time,Orlando,pts.away,score,pts.home,Dallas
1:36.0,,,43-39,,J. Barea misses 2-pt shot from 19 ft
1:36.0,Defensive rebound by B. Biyombo,,43-39,,
1:31.0,J. Simmons makes 2-pt shot from 8 ft (assist by E. Payton),2,45-39,,
1:31.0,Shooting foul by Y. Ferrell (drawn by J. Simmons),,45-39,,
1:31.0,,,45-39,,D. Nowitzki enters the game for S. Mejri
1:31.0,J. Simmons makes free throw 1 of 1,1,46-39,,
1:20.0,,,46-41,2,W. Matthews makes 2-pt shot from 1 ft (assist by J. Barea)
1:02.0,E. Fournier makes 2-pt shot from 15 ft (assist by M. Hezonja),2,48-41,,
0:42.0,,,48-43,2,D. Nowitzki makes 2-pt shot from 11 ft (assist by J. Barea)
0:25.0,J. Simmons misses 3-pt shot from 22 ft,,48-43,,
0:22.0,Offensive rebound by M. Hezonja,,48-43,,
0:02.0,Turnover by E. Payton (traveling),,48-43,,
0:02.0,,,48-43,,D. Smith enters the game for Y. Ferrell
0:01.0,Personal take foul by E. Fournier (drawn by D. Smith),,48-43,,
0:00.0,,,48-43,,W. Matthews misses 3-pt shot from 24 ft
0:00.0,,,48-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,48-43,,Shooting foul by E. Payton (drawn by D. Nowitzki)
11:41.0,,,48-44,1,D. Nowitzki makes free throw 1 of 2
11:41.0,,,48-45,1,D. Nowitzki makes free throw 2 of 2
11:24.0,J. Simmons misses 2-pt shot from 12 ft,,48-45,,
11:21.0,,,48-45,,Defensive rebound by H. Barnes
11:05.0,,,48-45,,Turnover by H. Barnes (bad pass; steal by E. Payton)
10:56.0,A. Gordon misses 3-pt shot from 23 ft,,48-45,,
10:53.0,,,48-45,,Defensive rebound by Y. Ferrell
10:35.0,,,48-47,2,D. Nowitzki makes 2-pt shot from 11 ft (assist by D. Smith)
10:34.0,Orlando full timeout,,48-47,,
10:13.0,A. Gordon misses 2-pt shot from 18 ft,,48-47,,
10:10.0,,,48-47,,Defensive rebound by D. Smith
10:04.0,,,48-47,,Shooting foul by A. Gordon (drawn by D. Smith)
10:04.0,,,48-48,1,D. Smith makes free throw 1 of 2
10:04.0,,,48-49,1,D. Smith makes free throw 2 of 2
9:51.0,J. Simmons misses 3-pt shot from 24 ft,,48-49,,
9:48.0,,,48-49,,Defensive rebound by D. Smith
9:43.0,,,48-52,3,Y. Ferrell makes 3-pt shot from 24 ft (assist by W. Matthews)
9:26.0,,,48-52,,Personal foul by D. Smith (drawn by E. Payton)
9:15.0,E. Payton misses 2-pt shot from 15 ft,,48-52,,
9:13.0,Offensive rebound by B. Biyombo,,48-52,,
9:11.0,E. Payton makes 3-pt shot from 26 ft (assist by B. Biyombo),3,51-52,,
8:47.0,,,51-55,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Nowitzki)
8:33.0,J. Simmons misses 2-pt shot from 19 ft,,51-55,,
8:31.0,,,51-55,,Defensive rebound by Y. Ferrell
8:24.0,,,51-55,,Shooting foul by B. Biyombo (drawn by D. Nowitzki)
8:24.0,,,51-56,1,D. Nowitzki makes free throw 1 of 2
8:24.0,,,51-57,1,D. Nowitzki makes free throw 2 of 2
8:08.0,E. Payton makes 3-pt shot from 25 ft (assist by A. Gordon),3,54-57,,
7:56.0,,,54-57,,D. Smith misses 2-pt shot from 1 ft (block by B. Biyombo)
7:56.0,,,54-57,,Offensive rebound by Team
7:54.0,,,54-59,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Smith)
7:31.0,A. Gordon misses 2-pt shot from 7 ft,,54-59,,
7:28.0,,,54-59,,Defensive rebound by Team
7:28.0,M. Hezonja enters the game for B. Biyombo,,54-59,,
7:11.0,,,54-59,,D. Nowitzki misses 2-pt shot from 11 ft
7:08.0,Defensive rebound by A. Gordon,,54-59,,
